Marshes	湿地帯
RED XIII	RED XIII
“That's the reactor.	「あれは、魔晄炉だよ。
And the Condor.”	それと、コンドルだね」
VINCENT	VINCENT
“Come to think of it,	「そういえば、魔晄炉があったな。
there was a reactor.	見たことのない形だったが……」
But I've never seen anything	
shaped like it…”	
CID	CID
“No matter how you look at it,	「ありゃどうみても魔晄炉だな
that's a reactor.	その上にいるのはコンドルか？」
And on top of it,	
is that the Condor?”	
“I can see you're very perceptive.	「ほう、よくわかったな。
Yes, it's a reactor and a Condor.”	確かに魔晄炉とコンドルだ」
“That's right, on that mountain is	「確かに、山の上にあるのは
a Condor and a reactor.”	コンドルと魔晄炉だ」
“It seems the Shinra doesn't like	「神羅は、魔晄炉の上に
the idea of having a Condor	コンドルがいることが
on top of the reactor.”	気にくわないらしい」
BARRET	BARRET
“Damn, that's one big bird!	「ちょっと大きな鳥だろ？
But why are they trying to get	なんでまた武力まで使って
rid of it with weapons?”	排除しようとするんだ？」
TIFA	TIFA
“What's so wrong with having a Condor	「魔晄炉の上にコンドルがいちゃ
on top of the reactor?”	ダメなのかしら？」
AERIS	AERITH
“Why?”	「ど～して？」
RED XIII	RED XIII
“It's not very logical.”	「理由がわからないな」
RED XIII	RED XIII
“The logic eludes me.”	「理由、わからないよ」
YUFFIE	YUFFIE
“I'm certain there must be	「きっと、魔晄炉の中に
state-of-the-art Materia	すんごいマテリアでもあるんじゃない？」
inside the reactor. Am I right?”	
VINCENT	VINCENT
“…That's too much.”	「……おおげさすぎるな」
CID	CID
“Huh?	「あん？
I don't get it.”	よくわかんねえぞ」
CAIT SITH	CAIT SITH
“Huh?…”	「ん～……」
“It seems there's some type of	「どうやら、この上の魔晄炉には
special Materia	なにやら、特別なマテリアが
in the reactor above us.”	あるらしい」
“And because the Condor came,	「そこへコンドルがきたので
the Shinra rushed troops here.”	神羅は、あわてて軍を送ってきた」
“The military wants to get	「軍の目的は、コンドルと
the Condor and all the villagers	この山に住むわたしたちの排除だ」
off this mountain.”	
“The Condor is now warming	「今、コンドルは、数年に一度しか生まない
its egg, which hatches only	タマゴを温めている」
once every few years.”	
“We would like to protect the Condor	「わたしたちは、神羅の手から
from being harmed.”	コンドルの営みを守ってやりたい」
CLOUD	CLOUD
“New lives…”	「新しい命か……」
BARRET	BARRET
“I'll do it!	「オレがやってやるぜ！
I'll protect them from Shinra!”	神羅から守ってやるぜ！」
TIFA	TIFA
“Condor's egg	「コンドルのタマゴ
A real work of nature.”	生命の営み」
“We've got to protect	「星の命
the life of the Planet.”	守らなくちゃ」
AERIS	AERITH
“We must protect	「コンドルのタマゴ、守らないと、ね？」
the condor egg, right?”	
RED XIII	RED XIII
“So, to protect the egg,	「タマゴを守るために
are you gonna protect	魔晄炉を守るのか…」
the reactor?”	
RED XIII	RED XIII
“We're going to protect the reactor	「タマゴを守るために
in order to save the egg.”	魔晄炉を守るんだ…」
YUFFIE	YUFFIE
“Special Materia, huh?	「特別なマテリアか
Well, well,	へへへ、おもしろそうだね」
things are getting interesting.”	
CAIT SITH	CAIT SITH
“I'm gonna leave it up	「どないするかは
to you all.”	みなさんにまかしますわ」
VINCENT	VINCENT
“…and come out in	「命を消さないようにか……」
one piece?”	
CID	CID
“You guys,	「どうすんだ？
what are ya gonna do?”	おめえらよう」
“Unfortunately, we don't have	「残念ながら、私たちには
the ability to fight	直接、神羅と戦うだけの能力はない」
Shinra ourselves.”	
“That's why we have hired	「兵を雇って、いっしょに
soldiers to help us.”	戦ってもらっている」
“As our sponsor, you can help us	「スポンサーとして、ギルの援助でもいい
with a contribution or	いっしょに戦ってくれるのでもいい…」
by fighting alongside of us…”	
“What do you think?	「どうだろう
You want to join us in our fight?”	いっしょに戦ってもらえないか？」
CLOUD	CLOUD
“…”	「……」
BARRET	BARRET
“What's there to think about?	「なにを迷う！
We gotta do it!”	オレたちがやるんだよ！」
TIFA	TIFA
“CLOUD…”	「CLOUD……」
AERIS	AERITH
“CLOUD, why are you	「CLOUD
still worrying about it?”	何、迷ってるの？」
RED XIII	RED XIII
“You decide what	「どうするかは
we're going to do.”	君が決めたまえ」
RED XIII	RED XIII
“What are we going to do?”	「どうするの？」
YUFFIE	YUFFIE
“If things go right,	「うまいこといきゃ
we might even be able to	その特別なマテリアってのを
pray to that special Materia.”	おがめるかもよ」
CAIT SITH	CAIT SITH
“I'll leave it up to you so	「まかしますから
please do as you see fit.”	好いたようにどうぞ」
VINCENT	VINCENT
“It's difficult to get back	「失ってしまったものを
what you've lost…”	取りもどすのは難しい……」
CID	CID
“Don't be so wishy-washy.	「グジャグジャ言ってねぇで
Hurry and make up your mind.”	さっさと決めちまえよ」
CLOUD	CLOUD
“…”	「……」
All right	わかった
Not interested	興味ないな
BARRET	BARRET
“What's wrong with you?	「なに考えてんだ、おまえは
And you call yourself a human!?”	それでも人間か！」
TIFA	TIFA
“Well…”	「そう……」
AERIS	AERITH
“What a jerk.	「なーんだ。
I'm disappointed in you.”	ガッカリ」
YUFFIE	YUFFIE
“Now we lost the Materia.”	「マテリア、損したかもね」
VINCENT	VINCENT
“Have no regrets for	「後悔しないことだな」
what's already past.”	
CID	CID
“If you've made up your mind,	「決めたんなら
let's just do it.”	さっさと行動しようぜ」
TIFA	TIFA
“CLOUD, thanks.”	「CLOUD、ありがとう」
TIFA	TIFA
“Everyone, listen to	「みんな聞いて」
what I have to say.”	
“I can't possibly leave	「私には、この人たちを
these people like this.”	放っておくなんてできないの」
“Let's do whatever	「できるかぎりのことをしたいの。
we can to help them.	みんな、いいわよね？」
All right?”	
CID	CID
“If you go that far, what can I say?	「そこまで言われちゃあな。
Well, we'll be able to do something	ま、オレ様たちにまかせておけば
if you leave it up to us.”	なんとかならぁな」
BARRET	BARRET
“Hey!	「おうよ！
We'll come to the rescue.”	オレたちがなんとかするぜ」
AERIS	AERITH
“Yes, yes.	「そうよね。
Let's do our best.”	がんばりましょ」
RED XIII	RED XIII
“Right.	「わかった。
Let me lend a hand, too.”	協力しよう」
RED XIII	RED XIII
“Got it.	「わかった。
I'm gonna lend a hand, too.”	協力するよ！」
YUFFIE	YUFFIE
“Okay, it's settled.	「よ～っし。
We're gonna get the Materia,	マテリアゲットね」
right?”	
CAIT SITH	CAIT SITH
“Well then, let's do our best.”	「ほんな、がんばりましょ」
VINCENT	VINCENT
“That's the right decision.”	「いい決断だ」
“I see…	「そうか……
Come back if you should	気が変わったら来てくれ」
change your mind.”	
“Have you by chance	「気が変わったかな？」
changed your mind?”	
CLOUD	CLOUD
“…”	「……」
Well, let's do it	ああ、やってみよう
My position hasn't changed	変わらないな
“Whew, we'll be saved.”	「ふぅ、助かるよ」
“Ask my son, who's standing	「戦術に関するくわしいことは
guard at the shed,	見張り小屋にいる、私の息子に聞いてくれ。
about the details of	よろしく頼んだよ」
our military tactics.	
We're depending on you.”	
“Ask my son, who's standing	「戦術に関するくわしいことは
guard at the shed,	見張り小屋にいる、私の息子に聞いてくれ。
about anything related to	よろしく頼んだよ」
our military tactics.”	
“Yes, yes, I've also told	「そうそう、店の方にも
the store owners about you,	君たちのことを伝えておいたので
so they should sell you	いろいろ、売ってくれるはずだ」
various items.”	
“And feel free to use our beds.”	「それと、ベッドは自由に使ってくれ」
“I'm begging you.	「頼む、魔晄炉が破壊され
Please prevent the reactor	コンドルが殺されるのを防いでくれ」
from being destroyed and	
the Condor from being killed.”	
“You've come at a good time.	「いいところへ来てくれた。
Shinra's changing its strategy now.”	神羅がやり方を変えてくるぞ」
“It seems that Shinra will destroy	「どうやら、魔晄炉を破壊して
the reactor and then take out	中からマテリアを
the Materia that's inside.”	取り出すつもりらしい」
CLOUD	CLOUD
“I see. I guess that means	「そうか、ここもか。
this area, too.”	
“Well, we can't afford to	もう、負けられないな」
lose any more.”	
BARRET	BARRET
“Man, we're walking on	「やばいぜ、負けられないぜ！」
dangerous ground.	
We can't lose now!”	
TIFA	TIFA
“Now is the time to dig in.”	「今が、がんばりどきね」
AERIS	AERITH
“We can't afford to be beaten!”	「負けられない、ね」
RED XIII	RED XIII
“We can't afford to be beaten!”	「これは負けられないね！」
YUFFIE	YUFFIE
“If we lose here, all the Materia	「ここで、負けちゃ
we gathered will be for nothing.”	せっかくのマテリアがパーだよ」
CAIT SITH	CAIT SITH
“You're right.	「そうやね。
If we lose here,	ここで負けてしまうと
we'll be in great danger.”	ちょっとやばいことに
	なりそうですな」
VINCENT	VINCENT
“We must protect this area.”	「ここは、守らなければ」
CID	CID
“Damn!	「ち！
I guess we have to protect	ここもかよ」
this area too.”	
Watch Room	見張り小屋
“Do you guys want to see it, too?”	「あんたたちも見るかい？」
CLOUD	CLOUD
“See what?”	「なにをだ？」
TIFA	TIFA
“What?”	「なにをです？」
CID	CID
“What is it?”	「なんだよ？」
“The condor.	「コンドルだよ
It's huge.	でっかいぜ。
Come on, have a look.”	いいから見てみろよ」
“What do ya think?	「どうだい？
Awesome, huh?”	すごいだろ」
“So, will you help us?	「どうだろう、協力してくれないか？
I don't want them to get killed.”	あいつらを、死なせたくないんだよ」
“They're gigantic birds and so striking.	「でかいし、かっこいいよな。
We simply can't let them be killed	あいつらを人間の勝手な都合で
by man's selfishness.”	殺しちまっていいのか？」
“Of course not.	「いいわけないよな。
There's no way,	特に神羅の都合で、なんて
especially by the Shinra.”	絶対に許しちゃだめだ」
“If you want to see them,	「見るんだったら
get on that chair over there.”	そっちのイスの上に乗りなよ。
	気のすむまで見てくれよ」
“Thanks for accepting.”	「引き受けてくれて
	ありがとう」
“So shall I let you in on our strategy?”	「じゃあさっそく戦術の説明をしようか」
“The enemy has targeted	「敵は、この山の魔晄炉を目指して登ってくる。
our mountain reactor and	それにたいして、ワナを置いて
will be climbing to reach it.”	兵を雇って守るのだ」
“We must set a trap and	「まあ、これだけなのだが……
hire soldiers to protect the place.”	この村は、お金がない。
“Well, this is all we have…	戦おうにも、お金がなくて何もできない」
This village doesn't have any money.	
Even if we wanted to fight,	
we can't because we're broke.”	
“We need 400 gil to hire one soldier.	「なにせ、兵を雇うと４００ギルも必要になる。
So, if we hire 20 soldiers,	２０部隊雇うと、８０００ギルにもなってしまう」
we need 8000 gil.”	
“We need to ask you to use	「つまり、君たちにおねがいするのは
your own money to hire these soldiers,	君たちのお金で兵を雇い、ワナを買って
buy the equipment, set it	配置し、指示してもらいたい」
up and give the commands.”	
“We know what we're asking is selfish.	「ものすごく勝手なことを言っているのは
	じゅうぶん承知している」
We sent our wives and children	「母親たちと子どもたちは、別の村へ移した。
to another village,	私たちも、かくごはできている」
But, we're resigned to stay.”	「話を元へもどそう。
“Let's get back to basics.	もしこの小屋に敵が進入したときには
If the enemy reaches this shed,	君たちが直接戦わなければならなくなる」
you'll have to fight them off	
immediately.”	
“It's a one shot gamble but	「一発勝負になってしまったが
we're asking for your help.”	よろしく頼む」
“So, shall I let you in on our strategy?”	「じゃあさっそく戦術の説明をしようか」
“The enemy has targeted	「敵は、この山の魔晄炉を目指して登ってくる。
our mountain reactor and	それにたいして、ワナを置き
will be climbing to reach it.”	兵を雇って守るのだ」
“We must set a trap and	「まあ、これだけなのだが……
hire soldiers to protect the place.”	この村は、お金がない。
“Well, this is all we have…	戦おうにも、お金がなくて何もできない」
this village doesn't have any money.	
Even if we wanted to fight,	
we can't because we're broke.”	
“We need 400 gil to hire one soldier.	「なにせ、兵を雇うと４００ギルも必要になる。
So, if we hire 20 soldiers,	２０部隊雇うと、８０００ギルにもなってしまう」
we need 8000 gil.”	
“We need to ask you to use	「つまり、君たちにおねがいするのは
your own money to hire these soldiers,	時間があるのであれば
buy the equipment, set it	君たちのお金で兵を雇い、ワナを買って
up and give the commands.”	配置し、指示してもらいたい」
“If you don't have time	「時間がないのであれば
