…You all right?	……大丈夫か？
I do a little bit of everything.”	仕事は「なんでも屋」だ」
AERIS	AERITH
“Oh…a jack of all trades.”	「はぁ……なんでも屋さん」
CLOUD	CLOUD
“Yeah, I do whatever's needed.”	「なんでもやるのさ」
CLOUD	CLOUD
“What's so funny?	「何がおかしい！
What are you laughing at?”	どうして笑う！」
AERIS	AERITH
“Sorry, I just…”	「ごめんなさい……でも、ね」
CLOUD	CLOUD
“Huh?”	「ん……？」
AERIS	AERITH
“CLOUD!	「CLOUD！
Don't let it get to you!”	かまっちゃダメ！」
AERIS	AERITH
“Sorry, bad timing on my part.”	「タイミング、悪いなぁ」
AERIS	AERITH
“Say, CLOUD.	「ねえ、CLOUD。
Have you ever been a bodyguard?”	ボディガードも仕事のうち？」
CLOUD	CLOUD
“What's that?”	「なんだって？」
AERIS	AERITH
“You CAN do anything, right?”	「何でも屋さん、でしょ？」
CLOUD	CLOUD
“Yeah, that's right.”	「……そうだけどな」
AERIS	AERITH
“Then, get me out of here.	「ここから連れ出して。
Take me home.”	家まで、連れてって」
CLOUD	CLOUD
“OK…	「お引き受けしましょう。
but it'll cost you.”	しかし、安くはない」
AERIS	AERITH
“OK then, let's see…”	「じゃあねえ……」
AERIS	AERITH
“How about	「デート、１回！」
if I go out with you once?”	
“Don't mind me.”	「オレにかまうな、だと」
“I'll give you a little more time.”	「もう少し、時間をやるぞ、と」}
CLOUD	CLOUD
“I don't know who you are, but…”	「どこの誰だか知らないが……」
CLOUD	CLOUD
“You don't know me…”	「知らない……？」
…I know you.	「……知ってるよ」
CLOUD	CLOUD
“Oh yeah…I know you.”	「そうだ……俺は知っている」
CLOUD	CLOUD
“That uniform…”	「その制服は……」
“…Hey sis,	「……おねえちゃん
this one's a little weird.”	こいつ、なんだか変だぞ、と」
CLOUD	CLOUD
“Shut up! Shinra spy!”	「だまれ！　神羅のイヌめ！」
“Reno!	「レノさん！
Want him taken out?”	やっちまいますか？」
Reno	レノ
“I haven't decided yet.”	「考え中だぞ、と」
AERIS	AERITH
“CLOUD, don't! Stop!”	「CLOUD、ダメ、やめて！」
AERIS	AERITH
“Don't fight here!	「ここで戦ってほしくない！
You'll ruin the flowers!”	お花、ふまないでほしいの！」
AERIS	AERITH
“CLOUD! Over here!”	「こっち！　CLOUD！」
AERIS	AERITH
“The exit is back there.”	「出口、奥にあるから」
Reno	レノ
“Did you see	「見たか？
that guy's eyes?”	あのにいちゃんの目」
Reno	レノ
“They were…Mako eyes.”	「……魔晄の目」
Reno	レノ
“Hmm.	「ま、いいか。
All right, c'mon, get to work.”	さ、お仕事お仕事、と」}
Reno	レノ
“They were…Mako eyes.”	「あれは………魔晄の目」
Reno	レノ
“Yeah, all right.	「ま、いいかぁ。
C'mon, get to work.”	お仕事お仕事、と」
Reno	レノ
“Oh!”	「あっ！」
Reno	レノ
“And don't step on the flowers…”	「お花、ふまないでね…だと」
“You just stepped on them yourself!”	「レノさん、ふんだ！」
“They're ruined!”	「花、ぐしゃぐしゃ！」
“You're gonna catch holy hell!”	「怒られる～！」}
Inside the Church	教会奥
Church Roof	教会屋根裏
Here's a barrel.	「タル」がある。
If I can just push it over…	これを押してやれば……
Here's a barrel.	「タル」がある。
If I can just push it over…	これを押してやれば……
Push the barrel?	「タル」を押しますか？
Yes	はい
No	いいえ
Reno	レノ
“There they are, over there!”	「いたぞ、あそこだ！」
AERIS	AERITH
“CLOUD…that one!”	「CLOUD、あれ！」
CLOUD	CLOUD
“I know.	「わかっている。
Looks like they aren't going to let us go.”	どうやら見逃すつもりはないようだな」
AERIS	AERITH
“What should we do?”	「どうしよう？」
CLOUD	CLOUD
“Well we can't let them catch us, can we?	「つかまるわけにはいかないんだろ？
Then, there's only one thing left.”	それなら、答えはひとつさ」
CLOUD	CLOUD
“AERIS!	「さあ、AERITH。
This way!”	こっちだ」
CLOUD	CLOUD
“All right.	「だいじょうぶだ。
I'll hold them off.”	俺が受け止めてやる」
AERIS	AERITH
“Right.	「わかったわ。
Make sure they don't get through!”	しっかり受け止めてね」
Reno	レノ
“The Ancient is getting away!	「古代種が逃げるぞ！
Attack! Attack! > Attack!”	撃て、撃て！、撃つな！」
Reno	レノ
“Think we killed 'em?	「やっちまったかな、と。
They never should've fought us!”	抵抗するからだぞ、と」
AERIS	AERITH
“Eaygh!!”	「きゃあっ！」
CLOUD	CLOUD
“AERIS!”	「AERITH！」
AERIS	AERITH
“CLOUD, help!”	「CLOUD、助けて！」
CLOUD	CLOUD
“AERIS!”	「AERITH！」
Hold on a minute!	しばらく待っていろ！
Fight 'em!	戦え！
RUN!	逃げるんだ！
AERIS	AERITH
“A, all right.”	「わ、わかったわ」
“Guuagh!”	「ぐわっ！」
“Urkkk!”	「ぶべっ！」
“Nwahh!”	「のわっ！」
AERIS	AERITH
“Thanks, CLOUD.”	「ありがとう、CLOUD」
AERIS	AERITH
“Oh, CLOUD	「もう、CLOUD
what are you doing!?”	なにやってるのよ！」
“The Ancient!	「古代種！
We got her!”	捕まえたぞ！」
AERIS	AERITH
“Whew, that surprised me.”	「ふぅ、おどろいた」
CLOUD	CLOUD
“AERIS, this way.”	「AERITH、こっちだ」
AERIS	AERITH
“CLOUD, hurry.”	「CLOUD、急ぎましょう」
CLOUD	CLOUD
“Damn!”	「くそっ！」
CLOUD	CLOUD
“What's that?”	「あれは……？」
AERIS	AERITH
“We'll get out through	「そこの屋根の壊れたところから
the hole in the roof.”	外に出ましょう」
AERIS	AERITH
“Jump off that beam,	「倒れたハリ、つたって行けば
and we should be able to make it	屋根の上、出られるから」}
through to the roof.”	
Church	教会
	
AERIS	AERITH
“Ha, ha…	「フフフ……
They're looking for	まださがしてるね」
me again.”	
CLOUD	CLOUD
“You mean it's not the	「初めてじゃないな？
first time they've	やつらが襲ってきたのは？」
been after you?”	
AERIS	AERITH
“…no.”	「……まあ、ね」
CLOUD	CLOUD
“They're the Turks.”	「タークスだよ、あいつらは」
AERIS	AERITH
“Hmm…”	「ふ～ん……」
CLOUD	CLOUD
“The Turks are	「タークスは神羅の組織。
a Shinra organization.	ソルジャーの人材をみつけだし
They scout for possible	スカウトするのが役目だ」
candidates for SOLDIER.”	
AERIS	AERITH
“This violently? I thought	「こんなに乱暴なやりかたで？
they were kidnapping	まるで人さらいみたい」
someone.”	
CLOUD	CLOUD
“They're also involved in	「それにウラじゃ
a lot of other dirty	汚いことをやっている」
stuff on the side.”	「スパイ、殺し屋……
“Spying,	いろいろだ」
murder…you know.”	
AERIS	AERITH
“They look like it.”	「そんな顔してるね」
CLOUD	CLOUD
“But, why're they after you?	「でも、どうして
There must be a reason,	あんたがねらわれる？
right?”	何かわけがあるんだろ？」
AERIS	AERITH
“No, not really. I think they	「う～ん……べつに。
believe I have what it	あ、わたしソルジャーの素質が
takes to be in SOLDIER!”	あるのかも！」
CLOUD	CLOUD
“Maybe you do.	「そうかもな。
You want to join?”	なりたいのか？」
AERIS	AERITH
“I don't know…	「どうかな～。
But I don't want to	でも、あんなヤツらに
get caught	つかまるのはイヤ！」
by THOSE people!”	
CLOUD	CLOUD
“Then, let's go!”	「それじゃあ、行くぞ！」}
Sector 5 Slum	５番街スラム
	
CLOUD	CLOUD
“…”	「…………」
AERIS	AERITH
“Wait…	「待って……
Wait, I said!”	ちょっと待ってってば！」
AERIS	AERITH
“Puff…	「ハア……
…wheeze…”	ハア……」
“Slow…down…	「ひとりで……さきに……
Don't leave me…”	行っちゃうんだもん……」
CLOUD	CLOUD
“Funny…”	「おかしいな……」
“I thought you were cut	「ソルジャーの素質が
out to be in SOLDIER.”	あるんじゃなかったか？」
AERIS	AERITH
“Oh! You're terrible!”	「もう！　いじわる！」
AERIS	AERITH
“Hey…CLOUD.	「ねえ……CLOUD。
Were you…ever in SOLDIER?”	あなた、もしかして……
	ソルジャー？」
CLOUD	CLOUD
“…I used to be.	「……元ソルジャーだ。
How did you guess?”	どうしてわかった？」
AERIS	AERITH
“…Your eyes.	「……あなたの目。
They have a strange glow…”	その不思議な輝き……」
CLOUD	CLOUD
“That's the sign of those who	「そう、これは魔晄を浴びた者……
have been infused with Mako…	ソルジャーのあかし」
A mark of SOLDIER.”	
“But, how did you know	「だが、どうして、あんたがそれを？」
about that?”	
AERIS	AERITH
“…Oh, nothing.”	「……ちょっと、ね」
CLOUD	CLOUD
“Nothing?”	「ちょっと……？」
AERIS	AERITH
“Right, nothing!”	「そ、ちょっと！」
AERIS	AERITH
“Come on, let's go!	「さ、行きましょ！
Bodyguard!”	ボディーガードさん！」}
	
[SAVE POINT]	【セーブポイント】
Access the Menu and select	メニューを開いて　セーブ　を選ぶと
[SAVE] to save your game.	ゲームの状態を保存できます。
Sector 5 Slum	５番街スラム
	
AERIS	AERITH
“Whew! Finally made it off!	「フ～！　やっとおりられた！
Now what?”	さて、と……」
AERIS	AERITH
“My house is over here.	「こっちよ、わたしの家は。
Hurry before they come.”	あの人たちが来ないうちに
	急ぎましょ」
“The Sector 5 and Sector 6	「この先は５番街スラムと
slums are right ahead…”	６番街スラムにつうじてんだが……」
“Do you know what kind of place they are?	「どんなところか知ってるか？
Tell me about sector 5	５番街のことを知りたい
Tell me about sector 6”	６番街のことを知りたい」
Yeah, I know	知っている
“Sector 5 slum…	「５番街スラムか……
It's not a big town.”	ま、どうってことない街さ」
“No thrills, no danger. But there	「たいしてスリルもねえが、危険もねえ。
are a few stores so if there's	店だけはあるから
something you want, stop by.”	何かほしけりゃよってみな」
“Sector 6 slum…heh heh heh,	「６番街スラムか……ヘヘヘ、
A man's paradise.	男にとっちゃパラダイス、
I've always wanted to go.”	１度は行ってみるといい」
“…But not for a nice girl like you…	「……ってことは、あんたみたいな
But there may be something else	おじょうさんには……ってとこさ。
good for you. Heh, heh, heh.”	ま、別のお楽しみもあるかもな。
	ククク……」
“Yeah, but it's a little dangerous	「だがな、あそこはちっとばかし
over there, you know.”	ヤバイぜ。なんたって……」
“That's all I got to say. If you want	「おおっと、これ以上は言えねえ。
to know more, you'll have to go there	知りたければ自分で行ってみることだ。
yourself. But you can't just waltz	もっとも、いつでも行けるわけじゃ
over there anytime you feel like it.”	ないんだが……」
“Hmm…	「……フン。
Then, I'll do as I please.”	なら好きにするさ」
“HEY! Looks like they were in Sector 6.	「ヨオ！　６番街にいったようだな。
Have fun?”	どうだ、楽しめたか？」
“That reminds me, you don't hear	「そういや最近コルネオの
much about Corneo lately.	ウワサをきかねえな。
Wonder what happened to him?”	なんかあったのか？」
“I saw her!	「ワ、ワタシは見た！
I really did!”	見たんです！」
“This woman just disappeared!	「この先の古い教会に
Right there around the old church.”	ひとりの女がスーッと
	消えていくのを！」
“I waited around a long time,	「しかも、いくら待っても
but she never came out again!”	その女は２度と出てこないじゃ
	ありませんか！」
“I tell you, it's one of them	「やっぱりあそこは
…haunted churches!	ユーレイ教会……
Ohhh…shiver…shake…”	ブルブルブル……」
“Then with a big rumble, the sector 7	「大地をゆるがす音とともに、
plate came crashing down on the slum.”	７番街スラムの上にプレートが！」
“Oh man, if something like that ever	「あんなのがここに落ちてきたら……
fell on us…ohhh…shiver…”	ブルブルブル……」
“A really weird guy lives inside of	「巨大なマテリアの中に
some Huge Materia! And then there were	眠る不気味な男！
9 little devils! Ohh…shiver…shake…”	そして９匹の悪魔たち……！
	ブルブルブル……」
“Huh?	「……え？
Oh, uh, no, I uh…	あ、いや、あの、ホントに
really didn't see it myself…I uh,	見たというよりは、ホラ、
well, it was more like a, whaddya	風のウワサというか、その……」
call…rumor I heard.”	
“All right. It was a lie.	「すみません、ウソでした。
I just made it up because	さいきんスゴイものを
nothing's been happening around	見ていないのでつい……」
here lately.”	
AERIS	AERITH
“You mean that's…”	「それってひょっとして……」}
[SAVE POINT]	【セーブポイント】
Access the Menu and select	メニューを開いて　セーブ　を選ぶと
[SAVE] to save your game.	ゲームの状態を保存できます。
Sector 5 Slum	５番街スラム
	
AERIS	AERITH
“This guy are sick.”	「ここの人、病気みたいなの」
“He passed out nearby and	「近くで倒れていたのを
someone must have helped him here.”	誰かが助けたんだって」
“That guy in the pipe's a weird one.	「へんなんだよね、このドカンの中の人。
No matter what you ask him,	何をきいても、ああとかううしか
he only answers 'uuh' or 'aahh'.”	言わないんだよね」
Earthen Pipe	ドカン
	
	
“ooh…aaah…ughhhh…”	「う……あ……あぁ……」
AERIS	AERITH
“This is the one…	「この人なの……
won't you help him?”	ね、助けてあげられない？」
CLOUD	CLOUD
“Listen, I'm no doctor.”	「悪いが俺は医者じゃない」
AERIS	AERITH
“No, I guess not…”	「そう……そうよね……」
AERIS	AERITH
“Hey…that man has a tattoo.	「あら？　この人、イレズミしてる。
I think it's the number 2.”	数字の２、かな」----
	
Received "Elixir"!	「エリクサー」を手にいれた！
“Even with all that commotion,	「あんな大きな音がしたってのに
you went on like nothing happened.	ここの人、あいかわらずなんだよね。
You must've really been through	よっぽどつらいことでも
the mill to get like that.”	あったみたいなんだよね……」
“I don't know, they might even	「こうなっちゃ、ここの人の方が
be better off this way.”	幸せかも知れないよね」
“Even though they know the planet is on its	「この星の終わりがジワジワ近づいて
last legs, there's nothing they can	くるのを知りながら
do about it.”	何もできないなんてさ」
“I wish I could close myself off like that.”	「私も、心を閉ざしてしまいたいよね……」
“These folks went	「ここの人、どっかへ
wobbling off somewhere…”	行っちゃったんだよね。
	フラフラ～っと……」
“They said something about the	「リユニオンがはじまるとか
Reunion starting'… sounded almost like a	なんとか、うわごとみたいに……
chant. Wonder what the heck that meant.”	なんのコトだかサッパリだよね」
“…sniff…sniff…”	「グスッ、グスッ……」
“First there was a rumbling…	「ゴゴゴゴ……ってなったら
…then cracking…	バリバリバリっときて
and then ker-blaMM!!…”	ドドドドドーン！！て……」
“…I was so scared…sniff…”	「こわかったよ……グスッ」
“Outta the way! Move!	「どいたどいた！
You want something?	欲しいものがあったら
Move into the store!”	店の中へどうぞ！」
“You finally think you're making a	「ミッドガルの下にいりゃ
living in the pits of Midgar,	そこそこのくらしができると
and then a big piece of scrap like	思ってたのに、まさかあの
that falls down here…what's next?”	デッカイやつが落ちてくるとは……」
“Yeah, that's right!	「そう、それよ！
But even so, where could we	けどよ、だからといって
move to now?”	今さらどこに行きゃ……」
“You ever hear of	「ウォールマーケットって
Wall Market?”	知ってっかい？」
Yeah	はい
Nope	いいえ
“It's a market in the slums of Sector 6.	「６番街スラムにあるマーケットさ。
They've got everything you	あそこに行けば何でもそろうんだけど
could ever want there.”	途中の道がね……」
“Oh yeah? Then maybe I should	「へえ、そうかい。
have you pick something up for	なら、そのうちオレの買い物も
me next time you're there…”	たのもうか……」
“What's going on with the world?	「何がどうなってるんだ！
When it's all said and done,	と、とどのつまり
we're all gonna wind up dead.”	おれたちゃもうオシマイって
	ことなのかい！？」
“You've been talking like that	「……お前、このあいだから
for sometime now.”	そのアイヅチばっかりだな」
“What am I doing? I'm walking around	「何をしてるかって？
looking at the ground.”	下を向いて歩いてるのよ」
“You find a lot of things people	「下にはいろいろ落ちてるけど
dropped when you look down.	上を見たって何も
You never find them when	落ちてきやしないもの。
you're looking up. Right?”	でしょ？」
“Never thought that would	「あんなものが
come tumbling down.	落ちてくるなんて……
Maybe I better walk around	これからは上を向いて
looking up from now on.”	歩いていこうっと」
“I'm not going to look up or down!	「もう下を見るのも
From now on I'm just going to	上を見るのもやめた！
look straight ahead.”	これからは前を向いて
	歩いていくの！」
“Maybe not.	「なーんてね。
I'm just flapping my gums.	そんな強がり言ってる
I really wonder how things	場合じゃないのよね……
will turn out.”	いったいどうなっちゃうのかな」}
Item Store	アイテム屋
	
“Hmmm,…	「……ジロジロ……
…hmph…we only trade items	……フン、アイテムは
for gil here.”	金と引き換えだよ」
“Hmmm,…	「……ジロジロ……
…hmph…we only trade items	フン、金さえだしゃ
for gil here.	アイテムはやるよ。
No matter what.”	何があろうとね……」}
Materia store	マテリア屋
	
“I don't care if it's scrap metal	「スクラップだろうが
or Materia. We can get anything	マテリアだろうが！
here in the slums.”	このスラムで、手に入らないものはない！」
“Got a lot of good Materia here.	「いいマテリアがそろってるぜ。
Why don't you look it over?”	見てってくんな！」
“You could live several lives in a place like this,	「こんなとこに住んでたら
and it still wouldn't be enough!”	命がいくつあっても足りないぜ！」
“Well, how about some Materia? I gotta	「さ、マテリア買ってくれマテリア！
make some money and get out of here!”	金をつくってここから逃げ出すんだ！」
“And I just got together enough money	「せっかくここから逃げ出す
to get out of this place…”	お金ができたのに……」
“Now it doesn't matter where I go!”	「これじゃどこへ行っても
	同じじゃないか！
	トホホ……」
“Hey!”	「オットット！」
“Hey, didn't your mother ever teach	「ひとんちのフリーザーを
you not to barge into houses	勝手に開けるなって、おっかさんに
and open up people's freezers?”	言われなかったかい？」
Weapon Store	武器屋
	
“Taking care of yourself is the	「自分の身は自分で守る。
law of the slums. But to do that,	こいつがスラムの常識よ！
first you need weapons, right?”	そのためにはまず強え武器！だろ？」
“You never know what's going to happen	「何が起こるかわからねえ！」
in this crazy world.”	
“So you'd better have a weapon	「こんな世の中だからこそ、やっぱり
you can depend on! Am I right?”	頼りになるのは強え武器！だろ？」
“I don't know crap about crap!	「もう何がなんだかわからねえ！
But I do know one thing.	でもよ、最後の最後まで必要なのは
People are always gonna	やっぱり強え武器！だろ？」
need a good strong weapon!”	
	
“Huh? You want weapons?	「ん？武器が欲しいのか？
That's too damn bad…”	なら残念だな……」
“I ain't got no weapons to sell ya!	「おまえらに売る武器はない！
And the reason is…”	なぜなら……」
“…the weapon store's over that way.”	「店はあっち、向こうだからな」
“…sure is loud outside.	「……外がさわがしいな。
Wonder what's happening.”	何かあったのか？」
“Toot toot!	「ブッブー！
Next stop…Midgar	つぎはミッドガル
Midgar.”	ミッドガルです」
“Any passengers getting off at Midgar	「お降りのお客様はブザーを
should please ring.”	ならしてくださ～い！」
“You know, Midgar's supposed to be	「ミッドガルってさあ。
sparkly 'n'	キラキラで
springy 'n'	グイーングイーンで
sleeky.”	シャキーンシャキーンなんだって」
“Oh yeah.	「いいなあ。
Someday, I'm goin' there.”	行ってみたいなあ」
“Meteor's getting closer.	「ゴオオ……ゴオオ……って
You can hear it rumbling.”	星がちかづいてくるんだよ」
“We don't do something about it	「はやくなんとかしないと
and pretty soon it'll be…ker-blam!”	ドッカーンだよ……！」}
House 1f.	民家１階
	
“Uh, test, test…	「あ～テステス……
This is a dummy message.	これはダミーのメッセージ
A test. Is it coming through?”	テストってヤツだな。
	ちゃんとでてるかい？」
“Hmph……!	「ケッ……！
Everything President Shinra	プレジデント神羅の言うことなんて
says is a lie.”	みんなうそっぱちさ」
“But you can't trust	「だがな、アバランチだか
that AVALANCHE, or whatever you call them.”	アバンチュールだか知らねえが
	あいつらも信用ならねえ」
“You can bat it around all you like,	「アレコレ言ってても
but it all comes down to wanting to	けっきょく上の連中が
live like the people up there.”	うらやましいだけなのさ」
“So who do I believe in?	「なら誰を信じるか？
Myself! Me!	決まってんじゃねえか、俺だよ俺！
I never lie to myself, that's for sure!”	俺は俺にウソをつかねえからな」
“I believe only what I say.	「俺は俺の言うことしか信じねえ。
Because I never lie to myself.”	俺は俺にウソをつかねえからな」
“And what's with the new president	「今度の神羅カンパニーの社長
of Shinra, Inc.?”	ありゃ何だ！？」
“Hell, even the old president was better	「あれならプレジデント神羅の方が
than him.”	まだましだったぜ！」
“The hell's up with that!? I don't care if	「何てこったい……！
they're AVALANCHE or Avant-garde or	アバランチだかＢランチだか
whatever. Anyone who'd bring	知らねえが、プレートごと
the plates down on us is nuts!!”	落っことすなんてどうかしてるぜ！！」
“SOLDIER?	「ソルジャーは！？
What about them!?”	ソルジャーはどうしたんだよ！」
“Damn! If they're really from SOLDIER,	「チクショウ！
they should be doing something	本物のソルジャーなら
about all this!!”	何とかしてくれるのに！！」
“Me and my woman were going	「今日はカノジョと楽しいドライブ。
for a drive. Or at least we were	……のはずが、突然の
supposed to until I had engine	エンジントラブルで
trouble and our plans fizzled.”	デートはだいなし！」
“Have you ever had that happen?	「そんな経験はございませんか？
I hate it when that happens!”	もうそんな心配はノー！」
“A new standard in engines…	「新発売のニュータイプエンジン
the 'Shinra V-3000'.	シンラＶー３０００で
For the best drive	すばらしいカーライフを！」
of your car's life!”	
“And now for the news.”	「ニュースをおつたえします」
“A terrorist attack by the group called	「テロリストグループ　アバランチの
AVALANCHE has parts of Midgar	破壊工作により、一部供給が
temporarily out of power, but they	中断していたミッドガルの電力は
will be restored momentarily.”	まもなく回復する予定です」
“Following President Shinra's address,	「プレジデント神羅につづき
Mayor Domino also spoke out today	ミッドガルのドミノ市長も
against AVALANCHE.”	アバランチ　に対する
	非難声明をだしています……」
“Now for the weather.”	「天気予報をおおくりします」
“Tomorrow's weather will be overcast	「明日のミッドガルは
most of the day,	どんよりとした
with a slight chance of	くもりぞらの１日に
showers in parts of the city.”	なるでしょう」
“The cause of the accident is still unclear at	「事故の原因はなお不明ですが
this time, however, according to some	関係者によると、カンパニーに
sources it is believed to have something to	対する破壊活動で手配されている
do with the terrorist	テロ組織　アバランチ　による
group, AVALANCHE.”	犯行声明が出されたとの
	情報もあり、現在その……」
“Citizens, unite!	「集え、民衆よ！
Come to the light, Mako energy.”	魔晄の光のもとへ！！」
“Power is Truth	「力こそ真理
Shinra is the future.	神羅こそ未来！
Real happiness can be found	カンパニーにしたがうことこそ
in obedience to the company!”	しょくんの幸福である！」
“……ga……	「……ガー……
g, ga ga………………”	ガ、ガガー……」}
House 2f.	民家２階
	
“glug…glug…”	「グーグー……」
“Now…no one…	「……これで……だれにも……
will find it…num…”	みつからムニャムニャ……」
“Top drawer…	「１番上と……２番目の……」
and the bottom one…”	
CLOUD	CLOUD
“…………”	「…………」
Open the top drawer	１番目のたなを開ける
Open the bottom drawer	２番目のたなを開ける
CLOUD	CLOUD
“………….”	「…………」
“…….huh?”	「……おや？」
Open the top drawer	１番目のたなを開ける
Open the bottom drawer	２番目のたなを開ける
Open the hidden drawer between them	たなの間のかくしだなを開ける
CLOUD	CLOUD
“Empty…….”	「からっぽ、か……」
CLOUD	CLOUD
“…….?”	「……？」
“5 gil.”	「５ギル、か……」
Take it	ぬすむ
Leave it	そのままにする
Received "5 gil"!	５ギル手にいれた！
“sniff…sniff…	「ヒック……ヒック……
…'n' I hid it…so nuthin' like this…	かくしてあったのに……
would ever happen…sniff…”	オレの……ヒック……」
“Heh heh!	「ヘヘーン！
I bought an item with the money	コツコツためたヘソクリで
I'd saved.”	アイテムをしいれたんだ！」
“My dream is to grow up and become	「ウォールマーケットで
a big time dealer on Wall Market.”	すげぇディーラーになるのが
	おれのユメなんだぜ！」
“I'm feeling pretty good today,	「今日は気分がいいから
so I'll let you have this!”	とくべつにコレ、やるよ！」
Received "Ether"!	エーテルをてにいれた
Received "Turbo Ether"!	「エーテルターボ」を手にいれた！
“Oh yeah? Fine! But don't come	「あっそ！
crawlin' back here askin' to see	ならいいよ、あとでたのんでも
it again, 'cause it ain't gonna happen!”	見せてやらないからな！」
“My dream is to grow up and become	「ウォールマーケットで
a big time dealer on Wall Market.”	すげぇディーラーになるのが
	おれのユメなんだ！」
“To be a real man you gotta	「な、何があっても
not fart around, but let	ビクビクしねえで
everyone know where you stand	こう、ドーンとかまえてんのが
right off!”	お、男ってもんだ！」
“Turtle Paradise News	「【かめ道楽　通信】
No.1	ナンバー１
For delicious wine	おいしいお酒で
with a nice zing to it…….”	すてきなひととき……
	ぜひいちど」
