“Wark!”	「クエっ！」
Chocobo Stable'.”	『チョコぼう』と呼ばれる部屋みたいな
	ものが必要となりまして」
“And they rent for 10000 gil.	「そちらを１つお貸しするのに
Currently, I can rent out up to 6	１００００ギルいただいております。
Chocobo Stables'.”	ただいま『チョコぼう』は６つまで
	お客様にお貸しできます」
“If you rent a 'Chocobo Stable',	「こちら、お借りいただきますと
we will keep up to 4 of the Chocobos you	お客様が捕まえになられました
catch in the fenced area outside.”	チョコボを一時的に外のサクの中に
	４匹までおあずかりいたしまして」
“At a later date, you can select the Chocobo	「後日、お客様が『チョコぼう』に
that you would like to put in your	選んで、お入れになる形になります」
Chocobo Stable'.”	
Choco Bill	グリン
“'Chocobo Stables' cost 10000 gil…”	「『チョコぼう』は、お１つ
	１００００ギルになりますが？」
Rent it	貸して
Don't need it	いらない
Choco Bill	グリン
“We don't have enough room to	「こちらも、６つ以上お貸しする
rent out more than 6 here…”	よゆうがありませんので…」
Choco Bill	グリン
“Thank you.”	「ありがとうございます」
“My grandson takes care of the Chocobos.	「世話の方は、向かって一番右の建物
He's in the Chocobo Stable at the far	チョコボ小屋におります孫が
right of the farm.	やっておりますので
Please tell him what you want.”	そちらに、お申し付け下さい」
Choco Bill	グリン
“Someone once told me there is a	「人から聞いた話なんですがね
Chocobo Sage'…somewhere.”	この世界のどこかに
	チョコボせんにんなんて呼ばれてる人が」
“He seems to know how to	「いるらしいんですわ。
raise some great Chocobos.”	なんでも、その、せんにんは
	すんごいチョコボの育て方を知っている
	とかいないとか」
“If he really does exist,	「まぁ、本当にいるのなら
I'd like to meet him someday.”	私も会ってみたいものですな」
Choco Bill	グリン
“Chocobos aren't hard to take care of.”	「チョコボを育てるのに、お客様の手を
	わずらわす事はありません」
“The day-to-day care will all be done	「普段の世話は
here.”	こちらがしっかりやりますので」
“But, please buy the food for the	「ただ、チョコボにあたえるエサは
Chocobo, and feed them yourselves.”	お客様がお買いになるかして
	直接おあたえください」
“Chocobo's abilities will differ	「チョコボはそのエサによって
with what you feed it, so feel	能力が大きく変わりますので
free to choose your own food.”	ご自分で、お好きなようにエサを
	選んでください」
“Also, if you're able to find a male and	「それから、オスとメスのチョコボは
a female Chocobo that like each other,	カップルにすることが出来まして
they'll produce an egg.	カップルにしたチョコボに『実』を
But only if you feed them a 'Nut'.”	あたえますとタマゴが生まれます」
“New Chocobos inherit the	「タマゴから生まれた子チョコボは
abilities of their parents.”	大抵父と母の能力を引き継いだ
	チョコボになりますが」
“I've heard that sometimes new breeds	「まれに、特異な能力を持った
of Chocobo are born with special	チョコボになることがあるようです。
abilities. I've never actually	私もほとんど見たことがないんですがね」
seen it before, though.”	
Chole	クリン
“Welcome.”	「いらっしゃいませ」
Chole	クリン
“Wasn't it	「お兄ちゃんたち
really expensive?”	だいぶ、お金取られたでしょ？」
Chole	クリン
“But don't be mad at	「でも、グリングリンお兄ちゃんや
my brother or Grandpa.”	グリンおじいちゃんを
	怒らないでね」
Chole	クリン
“Ever since Mom and Dad died,	「パパとママが死んでから
it's been like this…”	ずっとそうなの……」
Chole	クリン
“Welcome!	「いらっしゃい
Here's some good advice.”	あっそう、いいこと教えてあげるわ」
“The white Chocobo likes it when	「白い子チョコボはね、耳の裏を
you scratch behind its ears.”	こちょこちょしてあげると
	すっごくよろこぶのよ」
“But if you scratch it someplace that	「でも、へんなとこくすぐると
it doesn't like, it'll get mad,	きげんわるくしちゃうから
so be careful.”	気をつけないとダメよ」
Choco Billy	グリングリン
“Do you want a Chocobo?”	「チョコボが欲しいの？」
CLOUD	CLOUD
“Mmm…”	「う～ん……」
Give me one	くれ
Nope	いらない
Choco Billy	グリングリン
“You old folks are out of luck!”	「おじさんたち運が悪い！」
CLOUD	CLOUD
“Old folks…?”	「おじさん……」
Choco Billy	グリングリン
“Oh, I'm so glad!”	「ああ良かった！」
Choco Billy	グリングリン
“We're all out of Chocobos.	「チョコボは売り切れちゃったんだ
I'm taking care of the ones	外にいるのは、あずかり物なんでね」
out there for someone else.”	
Choco Billy	グリングリン
“You know, if you really want a Chocobo,	「そうだ、チョコボがほしいなら
you should go out and catch one.”	野生のをつかまえるといいよ」
Choco Billy	グリングリン
“Want to know	「野生のチョコボのこと
how to catch a Chocobo?”	何か知りたいかい？」
Where are they?	どこにいる？
How do I catch one?	どうやって捕まえる？
What else?	他には？
Not interested	興味ないね
Choco Billy	グリングリン
“You see those claw prints out there?	「外で３本のツメあとを見ただろ？
Wild Chocobo's will appear	あれがあるところには
in those areas.”	野生のチョコボが必ずいるよ」
“But, if you don't have 'Chocobo Lure'	「ただし『チョコボよせ』が無いと
they won't come out.	チョコボが現れないんだよ。
They're very cautious by nature.”	もともと用心深い生き物だしね」
Chocobo Lure?	チョコボよせ？
Go on	次の話を聞こう
Choco Billy	グリングリン
“'Chocobo Lure' is a type	「『チョコボよせ』はチョコボを
of Materia which	おびきだすマテリアさ」
attracts Chocobos.”	
“If you equip this,	「これを装備しておくと
they'll come to you.	野生のチョコボに会える。
But, without it,	逆を言うとこれを装備してないと
they won't appear.”	チョコボには会うことが出来ないわけさ」
Choco Billy	グリングリン
“A wild Chocobo always	「野生のチョコボは他のモンスターと
appears with other monsters.”	いっしょに出てくるんだ」
“But, you won't be able to catch it	「けど、そのままじゃ他のモンスターが
because of the monsters.”	ジャマでチョコボを
	捕まえることが出来ない」
“That is why you must defeat	「だから、まずチョコボのまわりにいる
the monsters first	モンスターを倒す必要があるんだ」
before you catch the Chocobo.”	
And then?	それから？
Is that all you can talk about?	次の話を聞こう
Choco Billy	グリングリン
“Wild Chocobos are really cautious.	「それに、野生のチョコボは用心深い
They'll run away from the smallest things.”	ちょっとしたことで、逃げてしまう」
“But, if you use 'Greens'	「けど、『野菜』を使うと
they'll focus on them	食べるのに夢中になって
and won't run away.”	逃げにくくなるのさ」
Choco Billy	グリングリン
“Whatever you do, don't make Chocobos angry.	「チョコボは怒らせない方がいいよ
They're usually calm, but if you get	普段はおとなしいんだけど
them angry, you'll get hurt.”	怒らせると痛い目にあうのはこっちさ」
“Oh, and remember,	「あっ、それと捕まえたチョコボは
once you get off a Chocobo,	一度チョコボからおりたら
it'll escape.”	一目散に逃げてしまうよ」
Choco Billy	グリングリン
“Well then, shall we get down to business?”	「じゃあ、そろそろ商談に入ろうかな」
Choco Billy	グリングリン
“I'll sell you the 'Chocobo Lure' for	「今なら『チョコボよせ』を
2000 gil, right now.”	２０００ギルで売ってあげるよ」
Choco Billy	グリングリン
“You want it?”	「買うかい？」
Buy it	買う
Don't buy it	買わない
Choco Billy	グリングリン
“Thanks!”	「まいどあり！」
Choco Billy	グリングリン
“Hey, you don't have enough.”	「ねぇ、お金がたりないよ」
Choco Billy	グリングリン
“Mmmm, if you don't have it,	「う～ん、これが無いとチョコボを
you'll never catch one.”	捕まえられないよ」
Choco Billy	グリングリン
“The 'Chocobo Lure' is 2000 gil.	「『チョコボよせ』は２０００ギルだけど
Buy it now?”	買う気になったかい」
Buy it	買う
Don't buy it	買わない
Choco Billy	グリングリン
“It wouldn't hurt to	「『野菜』も買っておいて
buy some 'Greens', either.”	そんはないよ」
“Oh, and how fast a Chocobo'll	「あっそれから、『野菜』によって
finish eating depends on	チョコボが食べ終わる長さが
what type of 'Greens' you feed them.”	違うからね」
Chocobo Ranch	チョコボ小屋
Choco Billy	グリングリン
“Welcome!”	「いらっしゃい！」
Buy	買い物をする
Get some information	チョット話を聞く
Moving Chocobos	チョコボを移動させる
Feeding Chocobos	チョコボにエサをあげる
Mating Chocobos	チョコボをカップリングする
Releasing Chocobos	チョコボを逃がす
Riding Chocobos	チョコボに乗って出かける
Do nothing	なにもしない
Choco Billy	グリングリン
“You can't take that	「ダメだよ
many out at once.”	一度に何匹も外にだしちゃ」
“You must return the Chocobo that's out,	「他のチョコボで外に出たいなら
if you want to take out	今、外に出してるチョコボを
a different one.”	戻してからにしてよ」
Choco Billy	グリングリン
“Which one are you going to take?”	「どれに乗って出かけるんだい？」
Choco Billy	グリングリン
“Ride	「これに乗って
this one?”	出かける？」
Giddyap!	うん
Whoa!	ダメ
Choco Billy	グリングリン
“You have all the 'Chocobo Stables'	「今、お客さんが持ってる
you can carry.”	『チョコぼう』はいっぱいだよ」
“If you want to put a Chocobo in it,	「もし、チョコボをいれたければ
first, you must let it go	まず、逃がすなりなんなりして
and open a 'Chocobo Stable.'”	『チョコぼう』を開けなきゃ」
Choco Billy	グリングリン
“You don't even have	「お客さんは『チョコぼう』を１つも
any 'Chocobo Stables'”	持っていないよ」
“If you want to raise Chocobos,	「チョコボを育てたいなら
go talk to Grandpa.”	おじいさんに会ってきてよ」
Choco Billy	グリングリン
“It looks like you haven't	「１匹も捕まえてないみたいだけど…」
even caught one yet…”	
Choco Billy	グリングリン
“Which one are you going to put in	どれを『チョコぼう』にいれるんだい？
the 'Chocobo Stable'?”	
“Use the Directional button	方向キー左右と○ボタンで選んでよ
left or right and [OK].”	
Choco Billy	グリングリン
“This…is a wonderful Chocobo!”	「す、すごいチョコボだよ、これ！」
Choco Billy	グリングリン
“This is a great Chocobo.”	「すごくいいチョコボだよ」
Choco Billy	グリングリン
“Mmm, this seems like a good Chocobo.”	「うん、いい感じのチョコボだね」
Choco Billy	グリングリン
“This Chocobo's so-so.”	「まあまあのチョコボだね」
Choco Billy	グリングリン
“This is a pretty average Chocobo.”	「普通のチョコボだと思うよ」
Choco Billy	グリングリン
“Mmm, this one's not bad.”	「う～ん、わるいチョコボではないけどね」
Choco Billy	グリングリン
“This one doesn't seem to be very good.”	「あまり、いい感じのチョコボじゃないね」
Choco Billy	グリングリン
“I really can't recommend this one.”	「ちょっと、おすすめ出来ないかな」
Choco Billy	グリングリン
“Want to put	「このチョコボを
this Chocobo	チョコぼうに
in your	いれるかい？」
stable?”	
Put it in	いれる
Let it go	逃がす
Choose a different one	他のにする
Choco Billy	グリングリン
“Then, give	「じゃあ、この
Chocobo	チョコボに
Ç#&	名前をつけて
a name.”	あげてよ」
Choco Billy	グリングリン
“I'm really going to let him go.”	「本当に逃がすよ」
Choco Billy	グリングリン
“In order for the Chocobo to mate,	「カップルはオスとメスがいないと…」
you need a male and a female…”	
Choco Billy	グリングリン
“In order for them to mate,	「カップリングするには『実』も必要だよ」
you need 'Nuts' too.”	
Choco Billy	グリングリン
“You don't have any 'Greens'…	「『野菜』を１つも持ってない
It just so happens I can sell you one…”	みたいだけど……
	なんなら売ってあげるよ？」
Feed?	エサ？
Mating?	カップリング？
Chocobo by the fence?	サクのチョコボは？
Ride it outside?	外で乗れる？
What are "Classes"?	クラスってなに？
Nothing	なんでもない
Choco Billy	グリングリン
“Yeah, you can ride this one.”	「うん、乗れるよ」
“And even if you take it outside,	「それに、ここから外に
this Chocobo won't run away	もちだした、チョコボはおりても
when you get off of it.”	逃げださなくなるよ」
“If you want to return it to	「それから『チョコぼう』に
your 'Chocobo Stable',	もどしたければ、チョコボに乗ったまま
just ride it onto the farm.”	牧場に入って来てよ」
“Then, you'll be able to	「そうすれば、また、エサを
feed it again.”	あげたり出来るようになるよ」
Choco Billy	グリングリン
“What the Chocobo eats are 'Greens'.	「チョコボのエサは『野菜』なんだ
The most famous one is	『ギザールの野菜』が一番有名だよね」
the 'Gizzard Greens'.”	
“Chocobos will mature differently	「それとね、チョコボは食べる『野菜』に
depending on which 'Greens'	よって、育ち方が違ったりするんだよ。
they eat. Certain 'Greens' will	ある『野菜』を食べさせてると
boost their stamina.”	スタミナモリモリになったりとかね」
“You'll have to figure out which kinds	「そこらへんの、効果は自分で
have what effects for yourselves.”	覚えていくのがいいね」
“Oh, and Chocobos are born with certain	「それと、チョコボには
natural abilities. So, no matter	もって生まれた能力があってね
how much they mature, they can't get	自分の持っている能力以上は
more abilities than what they're born with.”	育たないんだ」
“If a Chocobo's abilities don't	「エサをあげても、能力が
increase even when you feed it,	上がらなくなったら
that means it's reached its limit.”	そのチョコボの限界がきてると
	思っていいよ」
“It's best to let those kinds of	「そういうチョコボは
Chocobo go or mate them to	もう、逃がしちゃうか
get a new Chocobo.”	カップリングさせて、次の子供を
	育てるといいんじゃないかな」
Choco Billy	グリングリン
“A male and a female Chocobo together can	「カップリングっていうのは
produce an egg.”	オスのチョコボとメスのチョコボを」
Choco Billy	グリングリン
“The Chocobo out there is part of the	「外のチョコボは、お客さんが
stock that you caught.”	捕まえたチョコボのストックさ」
“We can only keep 4 Chocobos here at once.	「けど、４匹までしか置いておけないから
If you get a fifth one,	５匹目を送ってくると、最初の１匹を
the first one will have to be let go.”	逃がしちゃうからね」
“If you don't want that to happen,	「それがイヤだったら
come back and put it in your own stable.”	途中でもどってきて『チョコぼう』に
	いれるなりした方がいいね」
Choco Billy	グリン
“Chocobos' strengths are	「クラスはチョコボの強さを
divided by 'Class'.”	あらわすものさ」
Choco Billy	グリングリン
“Which Chocobo are you going to let go?”	「どのチョコボを逃がすんだい？」
Choco Billy	グリングリン
“There's still lots	「まだまだ
of room to grow.”	成長の余地は
	ありそうだね」
Choco Billy	グリングリン
“It might mature	「もう少し
a bit more.”	成長する
	かもね」
Choco Billy	グリングリン
“Don't expect it to	「もう、成長は
mature anymore.”	望めないかも」
Class	クラス
Choco Billy	グリングリン
“Your 'Chocobo Stable' is empty.”	「『チョコぼう』には１匹もいないけど…」
Choco Billy	グリングリン
“Is it all right to	「これを
let this one go?”	逃がすよ？」
Go ahead	いいよ
No, don't	ダメ
Go ahead	いいよ
No, don't	ダメ
Choco Billy	グリングリン
Gizzard Greens =	ギザールの野菜
Karaka Greens =	カラッカの野菜
Tantal Greens =	タンタルの野菜
Pasana Greens =	パサーナの野菜
Kurie Greens =	クリーエの野菜
Memit Greens =	ミメットの野菜
Reagan Greens =	レイゲンの野菜
Sylkis Greens =	シルキスの野菜
Don't feed it	やっぱりあげない
Choco Billy	グリングリン
“Looks like you don't have any 'Nuts'…	「『実』を１つも
To get them to produce an egg, you need	持ってないみたいだけど…
a 'Nut'. Do you want to buy some?”	タマゴを生ませるには『実』も必要なんだ
	なんなら売ってあげるよ？」
Choco Billy	グリングリン
“You better have a 'Chocobo Stable' prepared	「子供をいれる『チョコぼう』を
for the little ones, too.”	用意しておいてもらわないとダメだよ」
Choco Billy	グリングリン
“I can't give you anything I don't have.”	「もってないのは、あげれないよ」
Choco Billy	グリングリン
“Which 'Nut' are you going to give 'em?”	「どの実をあげるんだい？」
Choco Billy	グリングリン
“Which Chocobo are you going to feed it to?”	「どのチョコボにあげるんだい？」
Choco Billy	グリングリン
“Is this	「これで
all right?”	いいかい？」
Yeah	いいよ
No	ダメ
Choose another one	他のにする
Choco Billy	グリングリン
“Is this one all right?”	「これでいいかい？」
Yes	いいよ
Give it a different “Nut”	他の『実』にする
Quit	やっぱりやめる
Pipio Nut =	ピピオの実
Ruchin Nut =	ルチルの実
Saraha Nut =	サラハの実
Lasan Nut =	ラサンの実
Param Nut =	パラムの実
Porofu Nut =	ポロフの実
Carob Nut =	カラブの実
Zeio Nut =	ゼイオの実
Don't give 'em anything	やっぱりあげない
Choco Billy	グリングリン
“They gotta be male and female.”	「オスとメスじゃなきゃダメだよ」
Choco Billy	グリングリン
“Which two Chocobos are you	「どのチョコボをカップルにするんだい？
going to mate?	２匹に話しかけて決めてよ」
Talk to the two you like and	
make your decision.”	
This one	これにする
Different one	他のにする
This one	これにする
Different one	他のにする
Never mind	やっぱりやめた
Choco Billy	グリングリン
“There's only one…”	「１匹しかいないんだけど…」
Choco Billy	グリングリン
“So let's mate these two.”	「じゃあ、その２匹をカップルにするよ」
Go ahead	いいよ
No, I changed my mind	やっぱりダメ
Speed Plus!	スピードアップ！
Stamina Plus!	スタミナアップ！
Intelligence Plus!	かしこさアップ！
They're getting along better!	すこし仲良くなった！
Their personalities improved!	性格がよくなった！
No improvement…	なにも上がらなかった…
Choco Billy	グリングリン
“You got yourself a new Chocobo!”	「チョコボが生まれたよ！」
Looks like it's got good speed.	スピードがありそうだね
Looks like it's got good stamina.	スタミナがありそうだね
Looks intelligent.	あたまがよさそうだね
Too much energy?	元気ありすぎかな？
Choco Billy	グリングリン
“You shouldn't mate those that just mated	「１回カップリングした後や
or those that were just born.”	生まれてすぐのカップリングは
	やめておいた方がいいよ」
Choco Billy	グリングリン
“There doesn't seem to be any others	「それ以外では、カップリング
you could mate it with.”	できそうなのはいないみたいだけど」
Chole	クリン
“Hey, do you know what	「ねぇ、チョコボせんにんって
a Chocobo Sage is?”	知ってる？」
Chole	クリン
“What!?	「えっ！？
You've actually met him!?”	会ったことあるの！？」
“Wow!	「すご～い
What did he tell you?”	ねぇ、どんなお話聞いたの？」
Chole	クリン
“Wow, that's amazing!	「へぇ、おもしろ～い
…Let me take some notes.”	メモっとこ」
Chole	クリン
“Hey, did you ever see	「ねぇ、チョコボせんにんに
the Chocobo Sage again?	また会った？
What did he tell you?”	どんなお話聞いたの？」
Chole	クリン
“What?”	「な～に？」
Let me jot this down	メモをみせてもらう
Chole's Chocobo inspection	クリンのチョコボしんだん
Nothing	なんでもない
Chole	クリン
“For telling me that story,	「面白い話聞かせてくれたお礼に
I'll tell you about each	クリンがチョコボの能力を
Chocobo's abilities.”	見抜いてあげる」
Chole	クリン
“I think it's	「
`$& .”	じゃないかなぁ？」
Chole	クリン
“That's `$& ”	「　ね」
Chole	クリン
“From what I see,	「クリンが見たところ
the fastest sprinter is…”	ダッシュが１番速そうなのは…」
Chole	クリン
“And, the fastest one is…”	「それから、クリンが見たところ
	スピードが１番速そうなのは…」
Chole	クリン
“Also, from what I can tell,	「それと、クリンが見たところ
the one with the most stamina is…”	スタミナが１番ありそうなのは…」
Chole	クリン
“Finally,	「最後に、クリンが見たところ
the most intelligent one is…”	１番かしこそうなのは…」
Chole	クリン
“There are no Chocobos.”	「ねぇ、チョコボ１匹も
	いないよ」
Chole	クリン
“Hey, there's only one Chocobo.”	「ねぇ、チョコボ１匹しか
	いないよ」
Chole's Memo #1	クリンのメモ１
“Other than regular Chocobo, there are	「チョコボには普通のチョコボ以外に
Mountain Chocobo' and 'River-Chocobo'.”	『山チョコボ』と『川チョコボ』が
	いるんだって。」
Chole's Memo #2	クリンのメモ２
“In order for the 'Mountain Chocobo' and	「『山チョコボ』や『川チョコボ』が
River Chocobo' to be born,	生まれる条件は
Feed the 'Carob Nut' to	『すごくいいチョコボ』か
a 'Great Chocobo'	『いい感じのチョコボ』に
or a 'Good Chocobo' and	『カラブの実』っていうのを
have it produce an egg.	使ってタマゴを生ませるんだって。
But we don't sell any	けど、うちじゃあ
Carob Nuts'.”	『カラブの実』売ってないよ。」
Chole's Memo #3	クリンのメモ３
“A 'Great Chocobo' and	「『すごくいいチョコボ』と
a 'Good Chocobo' are found…	『いい感じのチョコボ』は
on an island southeast	チョコボせんにんがいる所から
of the Chocobo Sage's dwelling at Corel	南東の島とコレル。
and in the area west of Corel.	それとコレルの西の方で
The 'Carob Nut' can be	とれるんだって。
found south of the Chocobo Sage's dwelling.	それから『カラブの実』は
Monsters carry them.	チョコボせんにんのいる所から
Let's see, is Bone Village	南にいるモンスターが
just south of there?”	よく持ってるんだってさ。
	あそこから南って言うと
	ボーンビレッジあたりかしら？」
Chole's Memo #4	クリンのメモ４
“One surprise:	「ちょっとビックリ
If you get the "Mountain Chocobo" and	『山チョコボ』と『川チョコボ』に
the "River Chocobo" to produce an egg,	タマゴを生ませると
You'll get a Chocobo that	山も川も越えられるチョコボが
can cross mountains and rivers.	出来るんだって。
I bet that the right nut for	きっと、実は『カラブの実』が
that is the "Carob Nut."”	いいと思うな。」
Chole's Memo #5	クリンのメモ５
“Bigger surprise:	「さらにビックリ
There seems to be a Chocobo	海を渡れるチョコボもいるらしいの。
that can cross the ocean.	海も山も川も渡れちゃったら
If you could cross the ocean,	行けない所なんてなくなっちゃうね。」
mountains, and rivers,	
there'd be no place you couldn't go.”	
Chole's Memo #6	クリンのメモ６
“In order to get an Ocean Chocobo	「海を渡れるチョコボを生ませるには
you need to get a Mountain-and-River Chocobo	山と川を渡れるチョコボと
to mate with something else.”	何かをカップリングさせれば
	いいらしいの。」
Chole's Memo #7	クリンのメモ７
“If you mate the Mountain-and-River Chocobo	「山と川を渡れるチョコボと
with a 'Wonderful Chocobo',	せんにんのいる所から南で取れる
you'll get an Ocean Chocobo.	『すごいチョコボ』を
	カップリングさせると
	海を渡れるチョコボが
But to do that you can't	生まれるんだって。
use an ordinary Nut.”	けど、実は普通の実じゃダメみたい。」
Chole's Memo #8	クリンのメモ８
“The 'Nut' that produces	「『海チョコボ』を生ませる実は
Ocean Chocobos is the 'Zeio Nut'.	『ゼイオの実』っていうらしいの。
This is the first I've ever heard of it.	これも、初めて聞く名前ね。
I wonder where you get them?”	どこで手に入るのかしら？」
Chole's Memo #9	クリンのメモ９
“Zeio Nuts are found on a little island	「『ゼイオの実』は
east of the Chocobo Sage.	チョコボせんにんがいる所から
Goblins' have them.	東の小さな小島にいる
With this, you can produce	『ゴブリン』がもってるんだって
an 'Ocean Chocobo'.”	これで『海チョコボ』も
	生ませられるね。」
Chole's Memo #10	クリンのメモ１０
“According to my research,	「クリンの研究によると
Mountain, River, and Ocean Chocobos	山、川、海チョコボは
are hard to produce.	メモの条件だけだと
But, if you take the right care	チョット、生まれにくいみたい。
of the Chocobo and increase their	けど、うまく育てて
Class ranking by winning at the races,	レースにだしてクラスをあげてやると
it'll increase your chances of getting one.”	とっても生まれやすくなるみたいね.」
