“The hell are you?	「なんだお前は？
you to the 60th floor.	
Keycard 65' only takes	『カードキー６５』なら６５階まで。
you to the 65th floor.”	そういうことよ」
“It's a security system worthy of	「まあミッドガル、いえ、今や
Shinra. After all, they control	世界のエネルギー流通を一手に
everything in Midgar and in the	ひきうける神羅カンパニーの
world for that matter.”	本社としては、当然のセキュリティよね」
“Oh, I have to go.	「あらやだ、長くなっちゃったわ。
Gotta get back to work!”	それじゃおたがい、お仕事
	がんばりましょうね♥」
Shinra Bldg. 62f.	Shinra Bldg. 62f.
Shinra, Inc.	神羅カンパニー
Urban Dev. Research Library	都市開発部門資料室
Shinra, Inc.	神羅カンパニー
Space Dev. Research Library	宇宙開発部門資料室
Shinra, Inc.	神羅カンパニー
“Peace Preservation/	治安維持部門・兵器開発部門資料室
Weapon Dev. Research Library”	
Shinra, Inc.	神羅カンパニー
Scientific Research Library	科学部門資料室
Hart	ハット
“How do you do?”	「あ、これはどうも」
“This is the Midgar Mayor's Office.	「こちらはこのミッドガルの
Mayor Domino is in his office.”	市長室でございます。
	この中にはドミノ市長が
	いらっしゃいます」
“I am the Deputy Mayor.	「ちなみにわたくしは
If you should have any questions	ミッドガルの助役です。
feel free to ask me…”	困ったことがありましたら
	ぜひわたくしに……」
Domino	ドミノ
“Hmm?	「あ～？
Oh, and who might you be?”	なんだねキミたちは？」
“You all must be those…ahem…	「ああ、キミらが例の……
Me? I'm Domino, the Mayor of Midgar.”	私？　私はこの魔晄都市
	ミッドガルの市長、ドミノだ」
“Actually, I'm Mayor in name only.	「とは言っても名前だけ。
The city and everything in it is really	ホントのところ、ミッドガルの
run by Shinra, Inc.”	すべては神羅のものだ」
“My only real job is watching over	「今の私の仕事といったら
Shinra's documents…”	神羅カンパニーの資料管理……」
“Me! The Mayor!	「ミッドガルの市長が！
A librarian!	神羅の資料を！
Ohh…”	ハア……」
“You want to get upstairs?	「キミら、上へ行きたいんだろ？
I tell you what, if you can guess the	いいとも、私のカードキーをやろう。
password, I'll give you my keycard.”	合言葉を言えたらな」
“Yes, that's it.	「そう、合言葉だ。
Guess the password	それを言えたら、カードをやろう」
and I'll give you my keycard!”	
“Get it on the first try	「おまけに１回で当てたら
and I'll even throw in	ナイスなおみやげも
a special item!”	つけてやるぞ？」
Domino	ドミノ
“Got it?	「合言葉がわかったのか？
Then tell me.”	では言ってみたまえ」
“So, what's the password?”	「合言葉は？」
BEST	市長最高！！
KING	神羅最低！！
ORBS	魔晄最高！！
BOMB	市長爆発！！
MAKO	魔晄爆発！！
HOJO	神羅爆発！！
Wait a second	ちょっと待ってくれ
Domino	ドミノ
“Nope! You're ALL wrong!	「ぜんぜん違う！
It's a much better word than that!	もっとすばらしい言葉だ！
Try again!”	やり直し！」
Domino	ドミノ
“BEST!!”	「市　　長　　最　　高　　！！」
“God, I love the sound of that!	「なんとすばらしいひびき！
BEST!! I AM the best…ME!!	そのとおり！
No matter what anyone else says,	ミッドガルの市長は最高！
you'd better believe it.”	誰が何と言おうと最高！」
“…hmm. Well, OK.	「……フン、まあいいだろう。
Here, take it.”	ホラ、持っていけ」
Domino	ドミノ
“KING!!”	「神　　羅　　最　　低　　！！」
“God, I love the sound of that!	「なんとすばらしいひびき！
KING!! President Shinra sucks!	そのとおり！
I should be King of Midgar!”	プレジデント神羅は最低！
“…hmm. Well, OK.	私こそミッドガルの主！」
Here, take it.”	「……フン、まあいいだろう。
	ホラ、持っていけ」
Domino	ドミノ
“BOMB!!”	「市　　長　　爆　　発　　！！」
“God, I love the sound of that!	「なんとすばらしいひびき！
BOMB!! I'm so angry, I'm like	そのとおり！
a walking time bomb waiting to explode!”	私の怒りは最高レベルに！
“…hmm. Well, OK.	もう爆発しそうだ！」
Here, take it.”	「……フン、まあいいだろう。
	ホラ、持っていけ」
Domino	ドミノ
“MAKO!!”	「魔　　晄　　爆　　発　　！！」
“God, I love the sound of that!	「なんとすばらしいひびき！
MAKO! If I had a lot more of it,	そのとおり！
I would be a real Mayor!”	魔晄エネルギーを爆発させろ！
“…hmm. Well, OK.	そして私を真の市長に！」
Here, take it.”	「……フン、まあいいだろう。
	ホラ、持っていけ」
Received "Keycard 65"!	キーアイテム『カードキー６５』を手に入れた！
Domino	ドミノ
“Why would I do something	「なんでこんなコトするか？」
like this, you ask?”	
“Revenge, of course!”	「きまってるじゃないか。
	イヤガラセだよ。
	イヤガラセ」
“Shinra's been torturing me forever.”	「いいか、神羅はずっと私を
	苦しめてきたんだぞ」
“That's why I was a little rough	「だから私はここで
on you all just now.	キミたちをなやませ
Now go up there and really	今度はキミたちが上へ行って
make them suffer.”	神羅のやつらを困らせる」
“This ought to teach them!	「どうだ、これでおあいこだろ。
Heh heh heh…”	ヒ、ヒヒ、ヒヒヒ……」
Domino	ドミノ
“But my card will only get you	「言っておくが、私のカードでは
to the 65th floor.”	６５階までしかのぼれんよ」
“Can you believe how they treat me?	「神羅め、この私を……この私を
…ME! Like some common employee…”	一般社員とおなじあつかいに……」
Hart	ハット
“Did you speak with the Mayor?”	「市長の話は
	お聞きになりました？」
“What?	「は？
A password?	合言葉？
Oh, I get it…”	ははあ、なるほど……」
“He's got way too much time on his hands.	「あの人もヒマなんですよ。
But you can't really blame him,	なんせミッドガルの全権は
Everything in Midgar is controlled	ほとんどプレジデント神羅の
by President Shinra.”	ものですからね」
“Maybe I can help you.”	「そういうことなら
	わたくしがお手伝いしましょう」
“What do you want to know?”	「なんでもお答えしますよ？」
The password…duh!	合言葉を教えて
How about a hint?	ヒントをくれ
Get out of my face	助けなどいらない
Hart	ハット
“…I see.	「ハア、そうですか。
Then, I guess that's that.”	ではしかたありませんね」
“Good luck	「がんばってご自分で
finding it on your own.”	見つけてください」
“If you decide you want help.	「どうしてもわからなかったら
I'll just be right over here.	またどうぞ。
Ready to tell you anytime…”	いつでもお教えしますよ……」
“What can I do for you?”	「ハイハイ。何がお望みで？」
Give me the hint again	さっきのヒントをもう１度
Give me the next hint	次のヒントを
Uh, nothing	なんでもない
Hart	ハット
“Sure, sure.	「ええ、いいですとも。
All right.”	いいですとも」
“As a public servant,	「市民のみなさんに
it's my job to serve	サービスすることこそ
the needs of the people.”	わたくしたち役人のよろこび」
“So here's a hint…”	「こころよくヒントを
	お教えしましょう！
“…for 500 gil.”	「……５００ギルで」
Give him the money	金をだそう
Forget it!	ふざけるな！
“…for 1000 gil.”	「……１０００ギルで」
Give him the money	金をだそう
Forget it!	ふざけるな！
“…for 2000 gil.”	「……２０００ギルで」
Give him the money	金をだそう
Forget it!	ふざけるな！
“…for 5000 gil.”	「……５０００ギルで」
Give him the money	金をだそう
Forget it!	ふざけるな！
“…for 15000 gil.”	「……１５０００ギルで」
Give him the money	金をだそう
Forget it!	ふざけるな！
Hart	ハット
“What do you want to know?”	「なんでもお答えしますよ？」
HELP	助けてくれ
Forget it	助けなどいらない
Hart	ハット
“Hey now!	「おやおや。
You're a bit short.”	お金がたりないようですが？」
“No one works on credit nowadays…	「今どきスラムの道具屋だって
not even stores in the slums.”	ツケはききませんよ……」
Hart	ハット
“I can't believe it! I gave you all	「しかし、これだけの
these hints, and you STILL don't get it?”	ヒントでもわからないとは……」
“You guys are amazing!	「あなたがた、やっぱりスゴイ人だ。
Really, amazing…”	いろんなイミで」
“Well, seeing as things have come to this,	「こうなったらもう
I might as well just tell you.”	ズバリ合言葉をお教えします！」
Hart	ハット
“Oh, my…well,	「これはこれは……
Thank you very much.”	ありがとうございます。
“Now listen.	「いいですか。
On this floor are four research libraries	このフロアには神羅カンパニーの
for four different sections of Shinra, Inc….”	４つの部門の資料室があります」
“Parts of the password are hidden	「合言葉はその４つの資料室に
in each of the libraries.”	かくされています」
“Pay careful attention to the files	「各部屋の資料をよ～く
in each room.”	調べてみてください」
“The name of each library is written	「資料室の名前は
on the plaque outside the door.”	ドアの横のプレートに
	書いてあります」
“Now, in each library will be one file	「いいですか。
mixed in from another library.”	どの資料室にも１つだけ
	他の部の資料が
	まぎれこんでいるはずです」
“Look carefully at the numbers	「その資料の数字と
on each file.”	ファイル名をよく見ると……」
“There is a number at the beginning	「いいですか。
of each file name.”	すべての資料には
	数字がついています」
“Look at the number on	「各部屋にまぎれこんでいる
the files that don't belong	資料の名前を、その数字と
in that library.	見くらべてください」
Match the number with the letters	
in the title of the file.”	
“If the file starts with a 4,	「『４』と書いてある資料なら
then check the fourth letter and…	名前の４文字目を……
well, you get the idea.”	もう、おわかりでしょ？」
Hart	ハット
“What do you mean the next hint?	「次のヒントって……
I've practically told you, didn't I?”	もう、ズバリ答えを
	言っちゃったじゃないですか！」
“…all right.	「……わかりました。
Since this seems like a special case,	特別にわたくしのカードキーを
I'll give you MY key card!”	さしあげましょう！」
Hart	ハット
“If you run into President Shinra,	「もしプレジデント神羅に
please don't tell him about this.”	会っても、わたくしのことは
	言わないでくださいよ」
“I can't be a partner to	「これ以上神羅に
anymore trouble for Shinra.”	イジメられるのは
	ゴメンですからね……」
Domino	ドミノ
“I never thought you'd	「なんと、１回でズバリあてるとは……」
get it on the first try…”	
	
“Just goes to show you can't	「ひとは見かけによらないものだ。
judge a book by its cover.	まあいい、約束は約束だ。
Oh well, a promise is a promise.	これもやろう」
Take this, too.”	
Received "Elemental" Materia!	『ぞくせい』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Domino	ドミノ
“What…full already?	「……なんだ、アレはいっぱいか。
Come back again when it's empty.”	アレに空きができたら、またきたまえ」
Received "Elixir"!	『エリクサー』を手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Received "Potion"!	『ポーション』を手にいれた！-
Domino	ドミノ
“Hmm.	「フン、そこそこ頭は
It appears you're not completely stupid.”	はたらくようだ」
“Fine then, take this.”	「いいだろう、これを
	うけとりたまえ」
Domino	ドミノ
“I see…	「なるほど……
For you…this might be best.”	ま、キミらならこんなものかな」
“Then,	「それでは、キミたちに
this is for all of you.”	あげるのもこんなものだ」
Domino	ドミノ
“Hoo boy! You finally got it?”	「やれやれ、やっとあてたか……」
“You all really don't use	「やはり頭を使うのは
your heads much, do you?”	苦手かね？」
“……What the hey.	「……まあいい。
Here, just take it anyway.”	とっておきたまえ」
This is the Scientific Research Library.	ここは科学部門の資料室です。
Materials for the…	他の３つの資料室にはそれぞれ……
Urban Dev. Library	都市開発部門
Peace/Weapon Dev. Library	治安維持・兵器開発部門
Space Dev. Library	宇宙開発部門
are held in their respective libraries…	の資料が保管されています。
	
“Materials are non-circulating!	「持ちだし禁止！
“Please do not remove any	「このフロアの資料はすべて
Materials from this floor.”	外部に持ちだすことを
	禁じられています。」
“2 Problems with Plate	「２　神羅プレート都市の
construction in Midgar”	設計とその間題点
“5 Reactor Construction Chart”	「２　魔晄炉建造工事
	都市部着工予定表
“6 Reactor Construction Chart”	「８　魔晄炉建造工事
	都市部着工予定表
“4 Ranks and extended use	「６　魔晄兵器の長期使用に
of Mako weaponry”	関する特別規定
“24 Ranks and extended use	「１　魔晄兵器の長期使用に
of Mako weaponry”	関する特別規定
“4 Midgar City map: Sectors 0-4”	「４　ミッドガル区分地図
	０番街～４番街
“9 Midgar City map: Sectors 5-8”	「５　ミッドガル区分地図
	５番街～８番街
“3 An illustrated guide to	「６　　図説　カトー式都市空間工法
City Planning”	
“4 The Jenova Project”	「１　　ジェノバプロジェクト
	経過報告書
	神羅カンパニー科学部門
“6 Data on experimental	「２　ミッドガル周辺に生息する
animals living near Midgar”	突然変異生物実験データ
“3 File on Dr. Gast, Biologist”	「３　　　　ガストファイル
	生物博士ガスト・ファレミス
“14 The Ancients in History”	「７　　　歴史の中の古代種
	生物博士ガスト・ファレミス」
8 New plans for Urban Planning	３　新都市建設計画書
10 New plans for Urban Planning	１　新都市建設計画書
“4 Report on high Mako levels	５　生物体の高レベル魔晄による
in living beings	影響に対する調査
“2 Mako energy and the rise	「４　生物の爆発的進化と
in life forms	魔晄エネルギー
“8 Final evolutionary stages	６　地上生物の最終進化論
in land dwelling life”	
“1 Biological characteristics	「８　伝承における古代種の
of the Ancients”	生物学的特性」
“10 Biological characteristics	[COULDN'T FIND IT]
of the Ancients”	
“16 Modern history of	「２　　宇宙開発部門
Midgar space program vol. 1”	栄光の歴史　上巻
“19 Modern history of the	「４　　宇宙開発部門
Midgar Space Dev Program Vol. 2”	栄光の歴史　下巻
“7 Diminishing Mako energy	「９　魔晄エネルギーの低下と
and Planet movements”	惑星運動
“1 Results of failed space mission "YA-79"”	「５　大型飛行機械「ヨナイ７９式」
	宇宙進出計画の失敗
“6 Shinra rocket space travel”	「６　神羅ロケットエンジンと
	大陸間航行機
“7 Economic report: Space Dev Program”	「１　　最終予算報告書
	神羅宇宙開発部門
“10 Materia production and its military uses”	「１　　マテリアの製造および
	その軍事的利用に関する権利
“3 Special peace keeping law”	「２　特別治安維持法
	ハイデッカー私案
“1 Heidegger's Shinra peace keeping law”	「１　神羅特別治安維持法
	ハイデッカー私案
“1 Breakdown of SOLDIER members by class”	「３　クラス別ソルジャー配備データ
“3 Plan for new land weapons”	４　新式地上兵器開発プラン
“4 Midgar crime white paper”	「６　ミッドガル治安白書
	反神羅勢力の現状
“2 Problems with Plate	「７　神羅プレート都市の
construction in Midgar”	設計とその間題点
“This is the Space Dev Research Library.	「ここは宇宙開発部門資料室です。
Click on the plate in front of	各資料室の場所については
each library to see which it is.”	部屋の前にあるプレートを
	ごらんください。
“This is the Public Order/Weapon	「ここは治安維持部門および
Development Library.”	兵器開発部門の資料室です。
“Return materials where you found them.	「せいりせいとんを忘れずに！
Do not mix materials from other libraries.”	他の部門の資料と
	間違えないようにしましょう。
“16Modern history of	「２　　宇宙開発部門
Midgar space program vol. 1”	栄光の歴史　上巻
“17Modern history of	「４　　宇宙開発部門
Midgar space program vol. 2”	栄光の歴史　下巻
“1Results of failed space mission YA-79”	「５　大型飛行機械「ヨナイ７９式」
	宇宙進出計画の失敗
“6Shinra rocket space travel”	「６　神羅ロケットエンジンと
	大陸間航行機
“8Final evolutionary stages	「６　地上生物の最終進化論
in land dwelling life”	
“2Economic report: Space Dev Program”	「１　　最終予算報告書
	神羅宇宙開発部門
“10Materia production and its military uses”	「５　　マテリアの製造および
	その軍事的利用に関する権利
“3Special peace keeping law”	「２　特別治安維持法
	ハイデッカー私案
“14Heidegger's Shinra peace keeping law”	「１　神羅特別治安維持法
	ハイデッカー私案
“1Breakdown of SOLDIER members by class”	「３　クラス別ソルジャー配備データ
“2Plan for new land weapons”	４　新式地上兵器開発プラン
“7Economic report: anti-Shinra activities”	「７　ミッドガル治安白書
	反神羅勢力の現状
“2Construction of Midgar city	「２　神羅プレート都市の
plates and their problems”	設計とその間題点
“5Reactor construction chart”	「２　魔晄炉建造工事
	都市部着工予定表
“24Ranks and extended use of Mako weaponry”	「６　魔晄兵器の長期使用に
	関する特別規定
“4Ranks and extended use of Mako weaponry”	「１　魔晄兵器の長期使用に
	関する特別規定
“4Midgar City Map: Sectors 0 - 4”	「４　ミッドガル区分地図
	０番街～４番街
“9Midgar City Map: Sectors 5 - 8”	「５　ミッドガル区分地図
	５番街～８番街
“3An illustrated guide to city planning”	「６　　図説　カトー式都市空間工法
“1Jenova Project”	「１　　ジェノバプロジェクト
	経過報告書
	神羅カンパニー科学部門
“6Data on experimental animals	「２　ミッドガル周辺に生息する
living near Midgar”	突然変異生物実験データ
“4File on Dr. Gast, biologist”	「３　　　ガストファイルα
	生物博士ガスト・ファレミス
“4File on Dr. Gast, biologist”	「４　　　ガストファイルβ
	生物博士ガスト・ファレミス
“10New plans for urban planning”	「３　新都市建設計画書
“4Report of high Mako levels in life forms”	「５　生物体の高レベル魔晄による
	影響に対する調査
“2Mako energy and the rise in life forms”	「４　生物の爆発的進化と
	魔晄エネルギー
“6Biological Characteristics of the Ancients”	「６　伝承における古代種の
	生物学的特性
“15Diminishing Mako energy and	「９　魔晄エネルギーの低下と
Planet movements”	惑星運動
“…beep…beep…	「ピピッ……
Open the door?”	このドアをあけまスか？」
Yes	あける
No	やめておく
“…beep…beep…	「ピピッ……
…verifying keycard…	カードキー照合……
………	………………
“Level B employee: verified.	「Ｂランク社員ト確認。
You are permitted to open doors	アナタは、このフロアのドアを
on this floor up to three times.”	３回まで開けルことが許可されましタ」
“blip…	「チュウイ。
If you receive an item coupon,	アイテムクーポンをもラったら
remember to exchange it for an item.”	わすれズに、アイテムと交換しまショう」
“…Warning…do not enter the	「ケイコク。キケンですから
air conditioning ducts,	むやみに通気ダクトを
they are very dangerous...”	のぞクのはやめまショウ」
“…ga…	「……ガ……
…gaga…ga...”	……ガガ……ガ……」
“…bing…bing…	「ピピッ……
Enter command”	コマンドを入力してくだサい」
All Clear	オールクリア
Coupon Change	クーポンチェンジ
“You can exchange your coupons	「クーポンをアイテムに
for items. Here are	かえることができまス。
the items you can have...”	もラえるアイテムは……」
“A coupon…'Star Pendant'	「Ａクーポン……『星のペンダント』
B coupon….'Four Slots'	Ｂクーポン……『フォウスロット』
C coupon….'All' Materia”	Ｃクーポン……マテリア『ぜんたいか』」
“Please use caution…once you have	「ただし、クーポンチェンジ後の
exchanged coupons for items you	オールクリアはでキません。
may not select 'All Clear'.”	ゴちゅういくださイ」
“Exchange coupon?”	「クーポンチェンジしまスか？」
Yeah……	ああ……
Naw	やめておく
“………	「………………
Coupon exchange complete.”	クーポンチェンジ完了」
“…bing…bing…	「ピピッ……
Start again from the beginning?”	もう一度ハジメから
	やりなおしまスか？」
“The information and materials you	「ただしこのフロアで
received on this floor	手にいれタ記録、資料なども
will all be cleared.”	すべてクリアされまス」
“Clear them?”	「クリアしまスか？」
Yeah…	ああ……
No	やめておく
“………	「………………
Cleared.”	クリア完了」
“You are permitted to open	「アナタは、このフロアのドアを
any door on this floor up to three times.”	３回まで開けルことが許可されましタ」
“Bi, bing…	「ピピッ……
You have opened three doors.”	アナタはすでに３回
	ドアをあけていまス」
“If you access the computer,	「コンピュータにアクセスすれば
You can begin	もう１度ハジメから
this process one more time.”	やりなおすことができまス」
Received "Star Pendant"!	『星のペンダント』を手にいれた！
Received "Hourglass"!	『きんのすなどけい』を手にいれた！
Received "All" Materia!	『ぜんたいか』のマテリアを手にいれた！
Received "Four Slot"!	『フォウスロット』を手にいれた！
Received "Glow Lance"!	『グローランス』を手にいれた！
CLOUD	CLOUD
“An air-duct…	「通気ダクトか……
It doesn't look like	こちらからは
I can climb in here.”	もぐりこめそうにないな」
CLOUD	CLOUD
“An air-duct…”	「通気ダクトか……」
Climb in and look around	もぐりこんでみるか
Leave it alone	ほうっておこう
Received Key Item "A Coupon "!	キーアイテム『Ａクーポン』を手にいれた！
Received Key Item "B Coupon "!	キーアイテム『Ｂクーポン』を手にいれた！
Received Key Item "C Coupon "!	キーアイテム『Ｃクーポン』を手にいれた！
“…beep…beep…	「ピピッ……
You do not have any coupons.”	あなタはクーポンをもっていまセん」
“…beep…beep…	「ピピッ……
After you have exchanged coupons	クーポンチェンジ後の
you may no longer use 'All Clear'.”	オールクリアはでキません」
You cannot take on more materia.	これいじょうマテリアは持てません。
Please discard some materia.	なにかマテリアをすててください。
“Your 'All' Materia was	「マテリア『ぜんたいか』を
returned for a C Coupon.”	Ｃクーポンにもどしましタ」
“…huff…wheeze…	「ハーハー……
I'm trying to get rid	最近おなかのあたりが
of my love-handles…”	気になりだして……」
“…huff…puff…	「フーフー……
If you get tired, you can	つかれたらとなりの部屋で
rest up in the next room.”	やすむといいわよ」
“Hmph, hmph…	「フンッ、フンッ……
I'm head of building security	このビルの警備をあずかる
so stamina's very important to me.”	者として、体力には
	気をつかっているのだ」
“You must be a visitor.	「ビジターの方でございますね。
Feel free to use any	あいているマシンはご自由に
open machine.”	ご利用ください」
CLOUD	CLOUD
“A nap room…”	「仮眠室か……」
Let's get some rest	休んでいこう
Let's move on	先を急ごう
“…zzz…	「グーゴー……
Please…let me…	たのむ……から
get some…rest…”	ゆっくりねかせてくれ……」
Received "Phoenix Down"!	『フェニックスの尾』を手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Received "HP Shout"!	『マーベラスチアー』を手にいれた！
CLOUD	CLOUD
“What is this…a Megaphone?”	「何だこれ……メガホン？」
“Hanging on to	「こんなもの持っていっても
this won't do any good…”	しょうがないな」
Locked…	カギがかかっている……　　
There's nothing inside…	中にはなにもない……　　
Out of Order	故障中です
Please use a different floor	他の階をご利用下さい
Shinra Company Repair Management Department	神羅カンパニー修理課
“Take one to restore your energy!!	「体力回復にこの１本！！
Shinra Gym Health Drink'”	『神羅ジム特製ドリンク』」
“Only 250 gil!!”	「２５０ギルにて発売中！！」
Try it out	買ってみるか
Don't try it	やめておこう
CLOUD	CLOUD
“…Nothing…”	「……何もでてこないな」
“…”	「…………」
CLOUD	CLOUD
“…Is it broken?'”	「……こわれているのか？」
BANG on it	ガンガンたたく
Give up	あきらめよう
“Sir, what are you doing!?	「ちょっと、なにするんですか！
No violence here, please!”	乱暴はやめてください！」
Received "Mind Source"!	『マインドアップ』を手にいれた！
Received "Speed Source"!	『スピードアップ』を手にいれた！
CLOUD	CLOUD
“….”	「…………」
Should I try it?	やってみようか？
This is so stupid	バカバカしい
CLOUD	CLOUD
“Whew…”	「フウ……」
Better quit	そろそろやめよう
Just a bit longer	もうすこしつづけよう
CLOUD	CLOUD
“I think I feel	「ほんのすこし
a little lighter…	身が軽くなったような……
Maybe just a bit…”	気がするな」
Locked…	カギがかかっている……
CLOUD	CLOUD
“A model of Midgar…a city born	「ミッドガル……
from the earth's Mako.”	魔晄エネルギーを吸い出し
	生きつづける都市の模型か……」
“Some parts are missing…”	「模型が価けている……」
Insert the Midgar parts	ミッドガルパーツをはめよう
Leave it alone	ほうっておこう
CLOUD	CLOUD
“…Sounds like	「……なにかが開いたような
something opened up…”	音がしたな……」
Received Key Item "Keycard 66"!	キーアイテム『カードキー６６』を手にいれた！
CLOUD	CLOUD
“Midgar…a city born	「ミッドガル……
from the earth's Mako.	魔晄エネルギーを吸い出し
A model of the city…”	生きつづける都市の模型か……」
“When construction of Sector 6	「この建設中の６番街が
finishes, Shinra's plan	完成したとき、神羅の
will be complete.”	野望も完全なものとなる」
“That must be why he took	「その野望のために
“Is it just me or does the	「関係ないけどよ。
Conference Room smell?	あの会議室って、何か臭くないか？
There's some sort of stench	どこかから臭ってくるんだよな…… 
coming from somewhere…”	
“It gives me the feeling that I AM alive.	「なんかこう、生きがいって
The feeling of moving this world,	ものを感じるよな。
just with my hands.”	世界をこの手で動かしているっていう
	この感じ」
“Whew, I'm so sick of carrying all these files…”	 「はぁ～
	 もうファイル運びはうんざり……」
“But I get to meet lots of guys.	「でもいろんな男の人との出会いがある。
I guess that's the benefit of being a secretary!”	それがOLの特権ね！」
“Come on, we're building the future of Mako!”	 さあ、私たちで魔晄の未来をつくるのよ！
“……………………	 「……………………
……………………	 ……………………
……………………	 ……………………
……………………	 ……………………
……………………	 ……………………
……………………	 ……………………
Phew!”	………………ふう」
BARRET	BARRET
“Geez--!	「ヒュ～！ 
That's a lotta suits!”	そうそうたる顔ぶれだぜ」
Reeve	Reeve
“We have the damage estimates for Sector 7.”	「７番街の被害報告が出ました」　
“Considering those factories we already set up	「すでに稼動していた工場部分と
and all the investments,	現在までの投資額を考えると
the damage is estimated	 我が社の損害は
at approximately 10 Billion gil…”	100億ギルはくだらないかと……」
Reeve	リーブ
“The estimated cost to rebuild Sector 7 is…”	「また７番プレートの再建にかかる
	費用は……」
President Shinra	プレジデント神羅
“We're not rebuilding.”	「再建はしない」”
Reeve	リーブ
“What?”	「は？」
President Shinra	プレジデント神羅
“We're leaving Sector 7 as it is.”	「７番プレートはこのまま放っておく」
“And restarting the Neo-Midgar plan.”	「そのかわりに 
	ネオ・ミッドガル計画を再開する」
Reeve	リーブ
“…then the Ancients?”	「……では、古代種が？」
President Shinra	プレジデント神羅
“The Promised Land will soon be ours.”	「約束の地はまもなく
	我々のものになるだろう」
President Shinra	プレジデント神羅
“I want you to raise the Mako rates	「それから各地の魔晄料金を
15% in every area.”	15％値上げしたまえ」
Palmer	パルマー
“Rate hike! Rate hike!	「値上げ値上げ！
Tra, la, la!	 うひょひょひょひょ！ 
And please include our Space Program	ぜひ我が宇宙開発部にも予算を！」
in the budget!”	
President Shinra	プレジデント神羅
“Reeve and Scarlet will divide the	「魔晄料金値上げによる差益は
extra income from the rate increase.”	 リーブくんとスカーレットくんで
	分配したまえ」
Palmer	パルマー
“Oh man!”	「いいないいな！」
Reeve	リーブ
“Sir. If you raise the rates,	「プレジデント。
the people will lose confidence…”	これ以上の魔晄料金の値上げは
	住民の不満をまねき……」
President Shinra	プレジデント神羅
