ファーストレイ	Fāsuto Rei	First Ray	1st Ray
ガーゴイル	Gāgoiru	Gargoyle	Gargoyle
ガルーダ	Garūda	Garuda	Garuda
ガスダクター	Gasu Dakutā	Gas Ducter	Gas Ducter
ギロフェルゴ	Giroferugo	Guillofellgo	Ghirofelgo
ゴースト	Gōsuto	Ghost	Ghost
ゴーストシップ	Gōsuto Shippu	Ghost Ship	Ghost Ship
ギ族の亡霊	Gi-zoku no Bōrei	Gi tribe Apparition	Gi Spector
ギガース	Gigāsu	Gigas	Gigas
ジギィ	Jigī	Ziggy	Gighee
ゴブリン	Goburin	Goblin	Goblin
ゴーレム	Gōremu	Golem	Golem
グランドホーン	Gurando Hōn	Grand Horn	Grand Horn
グランガラン	Gurangaran	Grangalan	Grangalan
コグランガラン	Ko Gurangaran	Grangalan's Child	Grangalan Jr.
マゴグランガラン	Mago Gurangaran	Grangalan's Grandchild	Grangalan Jr. Jr.
グラシュトライク	Gurashutoraiku	Grashtrike	Grashtrike
グレムリン	Guremurin	Gremlin	Gremlin
グレネード	Gurenēdo	Grenade	Grenade
擲弾兵	Tekidan-hei	Grenadier	Grenade Combatant
グリフォン	Gurifon	Griffon	Griffin
グリムガード	Gurimugādo	Grim Guard	Grimguard
グロスパンツァー・大砲塔	Gurosupantsā - Taihōtō	Grosspanzer: Big Gun Turret	Grosspanzer∙Big
グロスパンツァー・車体	Gurosupantsā - Shatai	Grosspanzer: Frame	Grosspanzer∙Mobile
グロスパンツァー・小砲塔	Gurosupantsā - Shōhōtō	Grosspanzer: Small Gun Turret	Grosspanzer∙Small
戦闘員	Sentō-in	Combatant	Grunt
ガードハウンド	Gādo Haundo	Guard Hound	Guard Hound
ガードシステム	Gādo Shisutemu	Guard System	Guard System
ガーディアン	Gādian	Guardian	Guardian
ガンキャリアー	Gan Kyariā	Gun Carrier	Gun Carrier
デジョンハンマ	Dejon Hanma	Dezone Hammer	Hammer Blaster
ハードアタッカー	Hādo Atakkā	Hard Attacker	Hard Attacker
キマイラ	Kimaira	Chimera	Harpy
ネックハンター	Nekku Hantā	Neck Hunter	Head Hunter
ヘッドボンバー	Heddo Bonbā	Head Bomber	Headbomber
ヘビータンク	Hebī Tanku	Heavy Tank	Heavy Tank
ヘッジホッグパイ	Hejjihoggu Pai	Hedgehog Pie	Hedgehog Pie
ニーズへッグ	Nīzuheggu	Nidhogg	Heg
ヘルハウス	Heru Hausu	Hell House	Hell House
ヘルハーレーＶＲ２	Heru Hārē VR2	Hell Harley VR2	Hell Rider VR2
ヒポグリフ	Hipogurifu	Hippogriff	Hippogriff
オチュー	Ochū	Otyugh	Ho-chu
ハングリー	Hangurī	Hungry	Hungry
アイスゴーレム	Aisu Gōremu	Ice Golem	Ice Golem
つらら	Tsurara	Icicle	Icicle
鉄巨人	Tetsu Kyojin	Iron Giant	Iron Man
アイロネート	Aironēto	Ironet	Ironite
ジェジュジェミ	Jejujemi	Jayjujayme	Jayjujayme
ジェミニスミー	Jeminisumī	Geminismi	Jemnezmy
ジャッジ	Jajji	Judge	Jersey
ジョーカー	Jōkā	Joker	Joker
ジャンピング	Janpingu	Jumping	Jumping
カームファング	Kāmu Fangu	Kalm Fang	Kalm Fang
ゲルシュメルゼ	Gerushumeruze	Gel Schmelze	Kelzmelzer
キュルビヌュ	Kyurubinyu	Curubinew	Killbin
インセクトキマラ	Insekuto Kimara	Insect Chimera	Kimara Bug
キングベヒーモス	Kingu Behīmosu	King Behemoth	King Behemoth
キュビルデュヌス	Kyubirudyunusu	Kuvildunus	Kyuvilduns
ランドウォーム	Rando Wōmu	Land Worm	Land Worm
レーザーキャノン	Rēzā Kyanon	Laser Cannon	Laser Cannon
レッサーロプロス	Ressāropurosu	Lesser Ropross	Lessaloploth
レブリコン	Reburikon	Levrikon	Levrikon
マシンガン	Mashingan	Machine Gun	Machine Gun
マドゥジュ	Maduju	Madouge	Madouge
マジックポット	Majikku Potto	Magic Pot	Magic Pot
マグナード	Magunādo	Magnade	Magnade
モルボル	Moruboru	Morbol	Malboro
モールダンサー	Mōrudansā	Maul Dancer	Malldancer
マンドラゴラ	Mandoragora	Mandragora	Mandragora
マンホール	Manhōru	Manhole	Manhole
海兵隊員	Kaiheitai-in	Marine	Marine
マスタートンベリ	Masutā Tonberi	Master Tonberry	Master Tonberry
まつむら　やすしクン	Matsumara Yasushi-kun	Yasushi Matsumara	N/A
マキシマムキマイラ	Makishimamu Kimaira	Maximum Chimera	Maximum Kimaira
ミドガルズオルム	Midogaruzuorumu	Midgardsormr	Midgar Zolom
強化戦闘員	Kyōka Sentō-in	Strengthened Combatant	Mighty Grunt
ミラージュ	Mirāju	Mirage	Mirage
モノドライブ	Mono Doraibu	Mono Drive	Mono Drive
モススラッシャー	Mosu Surasshā	Moss Slasher	Moth Slasher
ムーバー	Mūbā	Mover	Mover
警備兵	Keibi-hei	Guard	MP
ムー	Mū	Mu	Mu
謎のニンジャ	Nazo no Ninja	Mysterious Ninja	Mystery Ninja
ニードルキッス	Nīdoru Kissu	Needle Kiss	Needle Kiss
ネロスフェロス	Nerosuferosu	Nerospheroth	Nerosuferoth
ニブルウルフ	Niburu Urufu	Nifl Wolf	Nibel Wolf
パラサイト	Parasaito	Parasite	Parasite
ポーランサリタ	Pōransarita	Pouran Salita	Pollensalta
プドゥレア	Pudurea	Poderare	Poodler
プドゥレアサンプル	Pudurea Sanpuru	Poderare Sample	Poodler Sample
プロトマシンガン	Puroto Mashingan	Proto Machine Gun	Proto Machinegun
プラウラー	Puraurā	Prowler	Prowler
ピラミッド	Piramiddo	Pyramid	Pyramid
クイックマシンガン	Kuikku Mashingan	Quick Machine Gun	Quick Machine Gun
足斬草	Ashikirisō	Foot-Cutting Grass	Razor Weed
リルフサック	Rirufusakku	Rilfsak	Rilfsak
ミサイルランチャー	Misairu Ranchā	Missile Launcher	Rocket Launcher
カノンルーレット	Kanon Rūretto	Cannon Roulette	Roulette Cannon
サハギン	Sahagin	Sahuagin	Sahagin
サンプル：Ｈ０５１２‐ＯＰＴ	Sanpuru: H0512-OPT	Sample: H0512-OPT	Sample:H0512-opt
シザース	Shizāsu	Scissors	Scissors
ソッチ	Socchi	Sotci	Scotch
スクリーマー	Sukurīmā	Screamer	Screamer
サーチアイ	Sāchi Ai	Search Eye	Scrutin Eye
スカルプチュア	Sukarupuchua	Sculpture	Sculpture
シーウォーム	Shī Wōmu	Sea Worm	Sea Worm
サーチャクラウン	Sācha Kuraun	Searcher Crown	Search Crown
上級戦闘員	Jōkyū Sentō-in	Senior Combatant	Senior Grunt
サーペント	Sāpento	Serpent	Serpent
シャドウメーカー	Shadou Mēkā	Shadow Maker	Shadow Maker
シュレッド	Shureddo	Shred	Shred
キキキアチョ	Kikikiacho	Kikiki Bird	Skeeskee
スラローム	Surarōmu	Slalom	Slalom
スラップス	Surappusu	Slaps	Slaps
スモッグファクト	Sumoggu Fakuto	Smog Factory	Smogger
ステルシーステップ	Suterushī Suteppu	Stealthy Step	Sneaky Step
スノウ	Sunou	Snow	Snow
ソルジャー：１ＳＴ	Sorujā: 1ST	Soldier: 1ST	SOLDIER:1st
ソルジャー：２ＮＤ	Sorujā: 2ND	Soldier: 2ND	SOLDIER:2nd
ソルジャー：３ＲＤ	Sorujā: 3RD	Soldier: 3RD	SOLDIER:3rd
スピードサウンド	Supīdo Saundo	Speed Sound	Sonic Speed
ソウルファイア	Souru Faia	Soul Fire	Soul Fire
特殊戦闘員	Tokushu Sentō-in	Special Combatant	Special Combatant
スペンサー	Supensā	Spenser	Spencer
スパイラル	Supairaru	Spiral	Spiral
スティルヴ	Sutiruvu	Stilve	Stilva
スティンガー	Sutingā	Stinger	Stinger
神羅潜水兵	Shinra Sensui-hei	Shinra Submariner	Submarine Crew
スイーパー	Suīpā	Sweeper	Sweeper
ソードダンス	Sōdo Dansu	Sword Dance	Sword Dance
尾跳飛	Bichōhi	Tail Leap	Tail Vault
雷神鳥	Raijinchō	Raijin Bird	Thunderbird
トーンアドゥ	Tōn'adu	Tornade	Tonadu
トンベリ	Tonberi	Tonberry	Tonberry
タッチミー	Tacchi Mī	Touch Me	Touch Me
ポイズンフロッグ	Poizun Furoggu	Poison Frog	Toxic Frog
トリックプレイ	Torikkupurei	Trick Prey	Trickplay
ダブルブレイン	Daburu Burein	Double Brain	Twin Brain
アンダーリザード	Andā Rizādo	Under Lizard	Under Lizard
海底警備兵	Kaitei Keibi-hei	Seabed Guard	Underwater MP
正体不明	Shōtai Fumei	Form Unknown	Unknown
正体不明２	Shōtai Fumei 2	Form Unknown 2	Unknown 2
正体不明３	Shōtai Fumei 3	Form Unknown 3	Unknown 3
バルロン	Baruron	Balron	Valron
ヴァギドポリス	Vagidoporisu	Vagidopolis	Vargid Police
ベルチャータスク	Beruchā Tasuku	Belcher Task	Velcher Task
ヴァイス	Vaisu	Vice	Vice
ブラキオレイドス	Burakioreidosu	Brachioraidus	Vlakorados
警告板	Keikokuban	Warning Board	Warning Board
水球	Suikyū	Water Ball	Waterpolo
ホウルイーター	Houru Ītā	Hole Eater	Whole Eater
ウィンドウィング	Windo Wingu	Wind Wing	Wind Wing
ウルフラマイター	Urufuramaitā	Wolfraimiter	Wolfmeister
超級怒龍砲	Chōkyū Doryū-hō	Transultimate Angry Dragon Cannon	XCannon
ヤン	Yan	Yang	Yang
イン	In	Yin	Ying
ゼムゼレット	Zemuzeretto	Zemzelett	Zemzelett
ゼネネ	Zenene	Zenene	Zenene
ゾロカルター	Zorokarutā	Zolokalter	Zolokalter
ズー	Zū	Zuu	Zuu
