…You all right?	……大丈夫か？
Say, CLOUD. Have you ever been a bodyguard?	ねえ、CLOUD。ボディガードも仕事のうち？
CLOUD	CLOUD
What's that?	なんだって？
{Aeris}	AERITH
You CAN do anything, right?	何でも屋さん、でしょ？
CLOUD	CLOUD
Yeah, that's right.	……そうだけどな
{Aeris}	AERITH
Then, get me out of here. Take me home.	ここから連れ出して。家まで、連れてって
CLOUD	CLOUD
OK… but it'll cost you.	お引き受けしましょう。しかし、安くはない
{Aeris}	AERITH
OK then, let's see…	じゃあねえ……
{Aeris}	AERITH
How about if I go out with you once?	デート、１回！
Don't mind me.	オレにかまうな、だと
I'll give you a little more time.	もう少し、時間をやるぞ、と}
CLOUD	CLOUD
I don't know who you are, but…	どこの誰だか知らないが……
CLOUD	CLOUD
You don't know me…	知らない……？
…I know you.	……知ってるよ
CLOUD	CLOUD
Oh yeah…I know you.	そうだ……俺は知っている
CLOUD	CLOUD
That uniform…	その制服は……
…Hey sis, this one's a little weird.	……おねえちゃんこいつ、なんだか変だぞ、と
CLOUD	CLOUD
Shut up! Shinra spy!	だまれ！　神羅のイヌめ！
Reno! Want him taken out?	レノさん！やっちまいますか？
Reno	レノ
I haven't decided yet.	考え中だぞ、と
{Aeris}	AERITH
CLOUD, don't! Stop!	CLOUD、ダメ、やめて！
{Aeris}	AERITH
Don't fight here! You'll ruin the flowers!	ここで戦ってほしくない！お花、ふまないでほしいの！
{Aeris}	AERITH
CLOUD! Over here!	こっち！　CLOUD！
{Aeris}	AERITH
The exit is back there.	出口、奥にあるから
Reno	レノ
Did you see that guy's eyes?	見たか？あのにいちゃんの目
Reno	レノ
They were…Mako eyes.	……魔晄の目
Reno	レノ
Hmm. All right, c'mon, get to work.	ま、いいか。さ、お仕事お仕事、と}
Reno	レノ
They were…Mako eyes.	あれは………魔晄の目
Reno	レノ
Yeah, all right. C'mon, get to work.	ま、いいかぁ。お仕事お仕事、と
Reno	レノ
Oh!	あっ！
Reno	レノ
And don't step on the flowers…	お花、ふまないでね…だと
You just stepped on them yourself!	レノさん、ふんだ！
They're ruined!	花、ぐしゃぐしゃ！
You're gonna catch holy hell!	怒られる～！}
Inside the Church	教会奥
Church Roof	教会屋根裏
Here's a barrel.	タルがある。
If I can just push it over…	これを押してやれば……
Here's a barrel.	タルがある。
If I can just push it over…	これを押してやれば……
Push the barrel?	タルを押しますか？
Yes	はい
No	いいえ
Reno	レノ
There they are, over there!	いたぞ、あそこだ！
{Aeris}	AERITH
CLOUD…that one!	CLOUD、あれ！
CLOUD	CLOUD
I know. Looks like they aren't going to let us go.	わかっている。どうやら見逃すつもりはないようだな
{Aeris}	AERITH
What should we do?	どうしよう？
CLOUD	CLOUD
Well we can't let them catch us, can we? Then, there's only one thing left.	つかまるわけにはいかないんだろ？それなら、答えはひとつさ
CLOUD	CLOUD
{Aeris}! This way!	さあ、AERITH。こっちだ
CLOUD	CLOUD
All right. I'll hold them off.	だいじょうぶだ。俺が受け止めてやる
{Aeris}	AERITH
Right. Make sure they don't get through!	わかったわ。しっかり受け止めてね
Reno	レノ
The Ancient is getting away! Attack! Attack! > Attack!	古代種が逃げるぞ！撃て、撃て！、撃つな！
Reno	レノ
Think we killed 'em? They never should've fought us!	やっちまったかな、と。抵抗するからだぞ、と
{Aeris}	AERITH
Eaygh!!	きゃあっ！
CLOUD	CLOUD
{Aeris}!	AERITH！
{Aeris}	AERITH
CLOUD, help!	CLOUD、助けて！
CLOUD	CLOUD
{Aeris}!	AERITH！
Hold on a minute!	しばらく待っていろ！
Fight 'em!	戦え！
RUN!	逃げるんだ！
{Aeris}	AERITH
A, all right.	わ、わかったわ
Guuagh!	ぐわっ！
Urkkk!	ぶべっ！
Nwahh!	のわっ！
{Aeris}	AERITH
Thanks, CLOUD.	ありがとう、CLOUD
{Aeris}	AERITH
Oh, CLOUD what are you doing!?	もう、CLOUDなにやってるのよ！
The Ancient! We got her!	古代種！捕まえたぞ！
{Aeris}	AERITH
Whew, that surprised me.	ふぅ、おどろいた
CLOUD	CLOUD
{Aeris}, this way.	AERITH、こっちだ
{Aeris}	AERITH
CLOUD, hurry.	CLOUD、急ぎましょう
CLOUD	CLOUD
Damn!	くそっ！
CLOUD	CLOUD
What's that?	あれは……？
{Aeris}	AERITH
We'll get out through the hole in the roof.	そこの屋根の壊れたところから外に出ましょう
{Aeris}	AERITH
Jump off that beam, and we should be able to make it through to the roof.	倒れたハリ、つたって行けば屋根の上、出られるから}
Church	教会
{Aeris}	AERITH
Ha, ha… They're looking for me again.	フフフ……まださがしてるね
CLOUD	CLOUD
You mean it's not the first time they've been after you?	初めてじゃないな？やつらが襲ってきたのは？
{Aeris}	AERITH
…no.	……まあ、ね
CLOUD	CLOUD
They're the Turks.	タークスだよ、あいつらは
{Aeris}	AERITH
Hmm…	ふ～ん……
CLOUD	CLOUD
The Turks are a Shinra organization. They scout for possible candidates for SOLDIER.	タークスは神羅の組織。ソルジャーの人材をみつけだしスカウトするのが役目だ
{Aeris}	AERITH
This violently? I thought they were kidnapping someone.	こんなに乱暴なやりかたで？まるで人さらいみたい
CLOUD	CLOUD
They're also involved in a lot of other dirty stuff on the side.	それにウラじゃ汚いことをやっている
Spying, murder…you know.	スパイ、殺し屋……いろいろだ
{Aeris}	AERITH
They look like it.	そんな顔してるね
CLOUD	CLOUD
But, why're they after you? There must be a reason, right?	でも、どうしてあんたがねらわれる？何かわけがあるんだろ？
{Aeris}	AERITH
No, not really. I think they believe I have what it takes to be in SOLDIER!	う～ん……べつに。あ、わたしソルジャーの素質があるのかも！
CLOUD	CLOUD
Maybe you do. You want to join?	そうかもな。なりたいのか？
{Aeris}	AERITH
I don't know… But I don't want to get caught by THOSE people!	どうかな～。でも、あんなヤツらにつかまるのはイヤ！
CLOUD	CLOUD
Then, let's go!	それじゃあ、行くぞ！}
Sector 5 Slum	５番街スラム
CLOUD	CLOUD
…	…………
{Aeris}	AERITH
Wait… Wait, I said!	待って……ちょっと待ってってば！
{Aeris}	AERITH
Puff… …wheeze…	ハア……ハア……
Slow…down… Don't leave me…	ひとりで……さきに……行っちゃうんだもん……
CLOUD	CLOUD
Funny…	おかしいな……
I thought you were cut out to be in SOLDIER.	ソルジャーの素質があるんじゃなかったか？
{Aeris}	AERITH
Oh! You're terrible!	もう！　いじわる！
{Aeris}	AERITH
Hey…CLOUD. Were you…ever in SOLDIER?	ねえ……CLOUD。あなた、もしかして……ソルジャー？
CLOUD	CLOUD
…I used to be. How did you guess?	……元ソルジャーだ。どうしてわかった？
{Aeris}	AERITH
…Your eyes. They have a strange glow…	……あなたの目。その不思議な輝き……
CLOUD	CLOUD
That's the sign of those who have been infused with Mako… A mark of SOLDIER.	そう、これは魔晄を浴びた者……ソルジャーのあかし
But, how did you know about that?	だが、どうして、あんたがそれを？
{Aeris}	AERITH
…Oh, nothing.	……ちょっと、ね
CLOUD	CLOUD
Nothing?	ちょっと……？
{Aeris}	AERITH
Right, nothing!	そ、ちょっと！
{Aeris}	AERITH
Come on, let's go! Bodyguard!	さ、行きましょ！ボディーガードさん！}
[SAVE POINT]	【セーブポイント】
Access the Menu and select	メニューを開いて　セーブ　を選ぶと
{PURPLE}[SAVE]{WHITE} to save your game.	ゲームの状態を保存できます。
Sector 5 Slum	５番街スラム
{Aeris}	AERITH
Whew! Finally made it off! Now what?	フ～！　やっとおりられた！さて、と……
{Aeris}	AERITH
My house is over here. Hurry before they come.	こっちよ、わたしの家は。あの人たちが来ないうちに急ぎましょ
The Sector 5 and Sector 6 slums are right ahead…	この先は５番街スラムと６番街スラムにつうじてんだが……
Do you know what kind of place they are? Tell me about sector 5 Tell me about sector 6	どんなところか知ってるか？５番街のことを知りたい６番街のことを知りたい
Yeah, I know	知っている
Sector 5 slum… It's not a big town.	５番街スラムか……ま、どうってことない街さ
No thrills, no danger. But there are a few stores so if there's something you want, stop by.	たいしてスリルもねえが、危険もねえ。店だけはあるから何かほしけりゃよってみな
Sector 6 slum…heh heh heh, A man's paradise. I've always wanted to go.	６番街スラムか……ヘヘヘ、男にとっちゃパラダイス、１度は行ってみるといい
…But not for a nice girl like you… But there may be something else good for you. Heh, heh, heh.	……ってことは、あんたみたいなおじょうさんには……ってとこさ。ま、別のお楽しみもあるかもな。ククク……
Yeah, but it's a little dangerous over there, you know.	だがな、あそこはちっとばかしヤバイぜ。なんたって……
That's all I got to say. If you want to know more, you'll have to go there yourself. But you can't just waltz over there anytime you feel like it.	おおっと、これ以上は言えねえ。知りたければ自分で行ってみることだ。もっとも、いつでも行けるわけじゃないんだが……
Hmm… Then, I'll do as I please.	……フン。なら好きにするさ
HEY! Looks like they were in Sector 6. Have fun?	ヨオ！　６番街にいったようだな。どうだ、楽しめたか？
That reminds me, you don't hear much about Corneo lately. Wonder what happened to him?	そういや最近コルネオのウワサをきかねえな。なんかあったのか？
I saw her! I really did!	ワ、ワタシは見た！見たんです！
This woman just disappeared! Right there around the old church.	この先の古い教会にひとりの女がスーッと消えていくのを！
I waited around a long time, but she never came out again!	しかも、いくら待ってもその女は２度と出てこないじゃありませんか！
I tell you, it's one of them …haunted churches! Ohhh…shiver…shake…	やっぱりあそこはユーレイ教会……ブルブルブル……
Then with a big rumble, the sector 7 plate came crashing down on the slum.	大地をゆるがす音とともに、７番街スラムの上にプレートが！
Oh man, if something like that ever fell on us…ohhh…shiver…	あんなのがここに落ちてきたら……ブルブルブル……
A really weird guy lives inside of some Huge Materia! And then there were 9 little devils! Ohh…shiver…shake…	巨大なマテリアの中に眠る不気味な男！そして９匹の悪魔たち……！ブルブルブル……
Huh? Oh, uh, no, I uh… really didn't see it myself…I uh, well, it was more like a, whaddya call…rumor I heard.	……え？あ、いや、あの、ホントに見たというよりは、ホラ、風のウワサというか、その……
All right. It was a lie. I just made it up because nothing's been happening around here lately.	すみません、ウソでした。さいきんスゴイものを見ていないのでつい……
{Aeris}	AERITH
You mean that's…	それってひょっとして……}
[SAVE POINT]	【セーブポイント】
Access the Menu and select	メニューを開いて　セーブ　を選ぶと
{PURPLE}[SAVE]{WHITE} to save your game.	ゲームの状態を保存できます。
Sector 5 Slum	５番街スラム
{Aeris}	AERITH
This guy are sick.	ここの人、病気みたいなの
He passed out nearby and someone must have helped him here.	近くで倒れていたのを誰かが助けたんだって
That guy in the pipe's a weird one. No matter what you ask him, he only answers 'uuh' or 'aahh'.	へんなんだよね、このドカンの中の人。何をきいても、ああとかううしか言わないんだよね
Earthen Pipe	ドカン
ooh…aaah…ughhhh…	う……あ……あぁ……
{Aeris}	AERITH
This is the one… won't you help him?	この人なの……ね、助けてあげられない？
CLOUD	CLOUD
Listen, I'm no doctor.	悪いが俺は医者じゃない
{Aeris}	AERITH
No, I guess not…	そう……そうよね……
{Aeris}	AERITH
Hey…that man has a tattoo. I think it's the number 2.	あら？　この人、イレズミしてる。数字の２、かな----
Received "Elixir"!	エリクサーを手にいれた！
Even with all that commotion, you went on like nothing happened. You must've really been through the mill to get like that.	あんな大きな音がしたってのにここの人、あいかわらずなんだよね。よっぽどつらいことでもあったみたいなんだよね……
I don't know, they might even be better off this way.	こうなっちゃ、ここの人の方が幸せかも知れないよね
Even though they know the planet is on its last legs, there's nothing they can do about it.	この星の終わりがジワジワ近づいてくるのを知りながら何もできないなんてさ
I wish I could close myself off like that.	私も、心を閉ざしてしまいたいよね……
These folks went wobbling off somewhere…	ここの人、どっかへ行っちゃったんだよね。フラフラ～っと……
They said something about the Reunion starting'… sounded almost like a chant. Wonder what the heck that meant.	リユニオンがはじまるとかなんとか、うわごとみたいに……なんのコトだかサッパリだよね
…sniff…sniff…	グスッ、グスッ……
First there was a rumbling… …then cracking… and then ker-blaMM!!…	ゴゴゴゴ……ってなったらバリバリバリっときてドドドドドーン！！て……
…I was so scared…sniff…	こわかったよ……グスッ
Outta the way! Move! You want something? Move into the store!	どいたどいた！欲しいものがあったら店の中へどうぞ！
You finally think you're making a living in the pits of Midgar, and then a big piece of scrap like that falls down here…what's next?	ミッドガルの下にいりゃそこそこのくらしができると思ってたのに、まさかあのデッカイやつが落ちてくるとは……
Yeah, that's right! But even so, where could we move to now?	そう、それよ！けどよ、だからといって今さらどこに行きゃ……
You ever hear of Wall Market?	ウォールマーケットって知ってっかい？
Yeah	はい
Nope	いいえ
It's a market in the slums of Sector 6. They've got everything you could ever want there.	６番街スラムにあるマーケットさ。あそこに行けば何でもそろうんだけど途中の道がね……
Oh yeah? Then maybe I should have you pick something up for me next time you're there…	へえ、そうかい。なら、そのうちオレの買い物もたのもうか……
What's going on with the world? When it's all said and done, we're all gonna wind up dead.	何がどうなってるんだ！と、とどのつまりおれたちゃもうオシマイってことなのかい！？
You've been talking like that for sometime now.	……お前、このあいだからそのアイヅチばっかりだな
What am I doing? I'm walking around looking at the ground.	何をしてるかって？下を向いて歩いてるのよ
You find a lot of things people dropped when you look down. You never find them when you're looking up. Right?	下にはいろいろ落ちてるけど上を見たって何も落ちてきやしないもの。でしょ？
Never thought that would come tumbling down. Maybe I better walk around looking up from now on.	あんなものが落ちてくるなんて……これからは上を向いて歩いていこうっと
I'm not going to look up or down! From now on I'm just going to look straight ahead.	もう下を見るのも上を見るのもやめた！これからは前を向いて歩いていくの！
Maybe not. I'm just flapping my gums. I really wonder how things will turn out.	なーんてね。そんな強がり言ってる場合じゃないのよね……いったいどうなっちゃうのかな}
Item Store	アイテム屋
Hmmm,… …hmph…we only trade items for gil here.	……ジロジロ…………フン、アイテムは金と引き換えだよ
Hmmm,… …hmph…we only trade items for gil here. No matter what.	……ジロジロ……フン、金さえだしゃアイテムはやるよ。何があろうとね……}
Materia store	マテリア屋
I don't care if it's scrap metal or Materia. We can get anything here in the slums.	スクラップだろうがマテリアだろうが！このスラムで、手に入らないものはない！
Got a lot of good Materia here. Why don't you look it over?	いいマテリアがそろってるぜ。見てってくんな！
You could live several lives in a place like this, and it still wouldn't be enough!	こんなとこに住んでたら命がいくつあっても足りないぜ！
Well, how about some Materia? I gotta make some money and get out of here!	さ、マテリア買ってくれマテリア！金をつくってここから逃げ出すんだ！
And I just got together enough money to get out of this place…	せっかくここから逃げ出すお金ができたのに……
Now it doesn't matter where I go!	これじゃどこへ行っても同じじゃないか！トホホ……
Hey!	オットット！
Hey, didn't your mother ever teach you not to barge into houses and open up people's freezers?	ひとんちのフリーザーを勝手に開けるなって、おっかさんに言われなかったかい？
Weapon Store	武器屋
Taking care of yourself is the law of the slums. But to do that, first you need weapons, right?	自分の身は自分で守る。こいつがスラムの常識よ！そのためにはまず強え武器！だろ？
You never know what's going to happen in this crazy world.	何が起こるかわからねえ！
So you'd better have a weapon you can depend on! Am I right?	こんな世の中だからこそ、やっぱり頼りになるのは強え武器！だろ？
I don't know crap about crap! But I do know one thing. People are always gonna need a good strong weapon!	もう何がなんだかわからねえ！でもよ、最後の最後まで必要なのはやっぱり強え武器！だろ？
Huh? You want weapons? That's too damn bad…	ん？武器が欲しいのか？なら残念だな……
I ain't got no weapons to sell ya! And the reason is…	おまえらに売る武器はない！なぜなら……
…the weapon store's over that way.	店はあっち、向こうだからな
…sure is loud outside. Wonder what's happening.	……外がさわがしいな。何かあったのか？
Toot toot! Next stop…Midgar Midgar.	ブッブー！つぎはミッドガルミッドガルです
Any passengers getting off at Midgar should please ring.	お降りのお客様はブザーをならしてくださ～い！
You know, Midgar's supposed to be sparkly 'n' springy 'n' sleeky.	ミッドガルってさあ。キラキラでグイーングイーンでシャキーンシャキーンなんだって
Oh yeah. Someday, I'm goin' there.	いいなあ。行ってみたいなあ
Meteor's getting closer. You can hear it rumbling.	ゴオオ……ゴオオ……って星がちかづいてくるんだよ
We don't do something about it and pretty soon it'll be…ker-blam!	はやくなんとかしないとドッカーンだよ……！}
House 1f.	民家１階
Uh, test, test… This is a dummy message. A test. Is it coming through?	あ～テステス……これはダミーのメッセージテストってヤツだな。ちゃんとでてるかい？
Hmph……! Everything President Shinra says is a lie.	ケッ……！プレジデント神羅の言うことなんてみんなうそっぱちさ
But you can't trust that AVALANCHE, or whatever you call them.	だがな、アバランチだかアバンチュールだか知らねえがあいつらも信用ならねえ
You can bat it around all you like, but it all comes down to wanting to live like the people up there.	アレコレ言っててもけっきょく上の連中がうらやましいだけなのさ
So who do I believe in? Myself! Me! I never lie to myself, that's for sure!	なら誰を信じるか？決まってんじゃねえか、俺だよ俺！俺は俺にウソをつかねえからな
I believe only what I say. Because I never lie to myself.	俺は俺の言うことしか信じねえ。俺は俺にウソをつかねえからな
And what's with the new president of Shinra, Inc.?	今度の神羅カンパニーの社長ありゃ何だ！？
Hell, even the old president was better than him.	あれならプレジデント神羅の方がまだましだったぜ！
The hell's up with that!? I don't care if they're AVALANCHE or Avant-garde or whatever. Anyone who'd bring the plates down on us is nuts!!	何てこったい……！アバランチだかＢランチだか知らねえが、プレートごと落っことすなんてどうかしてるぜ！！
SOLDIER? What about them!?	ソルジャーは！？ソルジャーはどうしたんだよ！
Damn! If they're really from SOLDIER, they should be doing something about all this!!	チクショウ！本物のソルジャーなら何とかしてくれるのに！！
Me and my woman were going for a drive. Or at least we were supposed to until I had engine trouble and our plans fizzled.	今日はカノジョと楽しいドライブ。……のはずが、突然のエンジントラブルでデートはだいなし！
Have you ever had that happen? I hate it when that happens!	そんな経験はございませんか？もうそんな心配はノー！
A new standard in engines… the 'Shinra V-3000'. For the best drive of your car's life!	新発売のニュータイプエンジンシンラＶー３０００ですばらしいカーライフを！
And now for the news.	ニュースをおつたえします
A terrorist attack by the group called AVALANCHE has parts of Midgar temporarily out of power, but they will be restored momentarily.	テロリストグループ　アバランチの破壊工作により、一部供給が中断していたミッドガルの電力はまもなく回復する予定です
Following President Shinra's address, Mayor Domino also spoke out today against AVALANCHE.	プレジデント神羅につづきミッドガルのドミノ市長もアバランチ　に対する非難声明をだしています……
Now for the weather.	天気予報をおおくりします
Tomorrow's weather will be overcast most of the day, with a slight chance of showers in parts of the city.	明日のミッドガルはどんよりとしたくもりぞらの１日になるでしょう
The cause of the accident is still unclear at this time, however, according to some sources it is believed to have something to do with the terrorist group, AVALANCHE.	事故の原因はなお不明ですが関係者によると、カンパニーに対する破壊活動で手配されているテロ組織　アバランチ　による犯行声明が出されたとの情報もあり、現在その……
Citizens, unite! Come to the light, Mako energy.	集え、民衆よ！魔晄の光のもとへ！！
Power is Truth Shinra is the future. Real happiness can be found in obedience to the company!	力こそ真理神羅こそ未来！カンパニーにしたがうことこそしょくんの幸福である！
……ga…… g, ga ga………………	……ガー……ガ、ガガー……}
House 2f.	民家２階
glug…glug…	グーグー……
Now…no one… will find it…num…	……これで……だれにも……みつからムニャムニャ……
Top drawer… and the bottom one…	１番上と……２番目の……
CLOUD	CLOUD
…………	…………
Open the top drawer	１番目のたなを開ける
Open the bottom drawer	２番目のたなを開ける
CLOUD	CLOUD
………….	…………
…….huh?	……おや？
Open the top drawer	１番目のたなを開ける
Open the bottom drawer	２番目のたなを開ける
Open the hidden drawer between them	たなの間のかくしだなを開ける
CLOUD	CLOUD
Empty…….	からっぽ、か……
CLOUD	CLOUD
…….?	……？
5 gil.	５ギル、か……
Take it	ぬすむ
Leave it	そのままにする
Received "5 gil"!	５ギル手にいれた！
sniff…sniff… …'n' I hid it…so nuthin' like this… would ever happen…sniff…	ヒック……ヒック……かくしてあったのに……オレの……ヒック……
Heh heh! I bought an item with the money I'd saved.	ヘヘーン！コツコツためたヘソクリでアイテムをしいれたんだ！
My dream is to grow up and become a big time dealer on Wall Market.	ウォールマーケットですげぇディーラーになるのがおれのユメなんだぜ！
I'm feeling pretty good today, so I'll let you have this!	今日は気分がいいからとくべつにコレ、やるよ！
Received "Ether"!	エーテルをてにいれた
Received "Turbo Ether"!	エーテルターボを手にいれた！
Oh yeah? Fine! But don't come crawlin' back here askin' to see it again, 'cause it ain't gonna happen!	あっそ！ならいいよ、あとでたのんでも見せてやらないからな！
My dream is to grow up and become a big time dealer on Wall Market.	ウォールマーケットですげぇディーラーになるのがおれのユメなんだ！
To be a real man you gotta not fart around, but let everyone know where you stand right off!	な、何があってもビクビクしねえでこう、ドーンとかまえてんのがお、男ってもんだ！
Turtle Paradise News No.1 For delicious wine with a nice zing to it…….	【かめ道楽　通信】ナンバー１おいしいお酒ですてきなひととき……ぜひいちど
Stop by the "Turtle's Paradise"!!	居酒屋かめ道楽へ！！
Temporary stopper	仮のストッパー
October 7th	１０月７日～
Um, we're, um taking care of the um, flowers for the um, lady here.	ヒーちゃんたちねえここのお花ねえおせわしてんの
…is that OK?	……ダメ？
I don't mind	ぜんぜんかまわない
No it's not!	ダメ！
CLOUD	CLOUD
Take good care of them.	大切にな
CLOUD	CLOUD
That's too much to ask of kids.	コドモには無理だな
Too much to ask?  What? I don't get it.	ムリ？　ムリってな～に？わかんな～い
{Aeris}	AERITH
CLOUD, what are you saying!?	CLOUD、なに言ってるの！？
{Aeris}	AERITH
Will you take good care of my flowers, for me?	お花、かわいがってあげてね
Yeah!	うん！
Sure!	うん！
They're purrty!	きれいだねえ！
I'm gonna water them later…	あとで、おみずあげますからね～
Hey! Where's the flower lady?	あれっ？おねえちゃんは？}
church in the slums	スラムの教会
{Aeris}	AERITH
I'm home, Mom.	ただいま、お母さん
CLOUD	CLOUD
Yeah.	ああ}
{Aeris}	AERITH
This is CLOUD. My bodyguard.	この人、CLOUD。わたしのボディーガードよ
Elmyra	エルミナ
Bodyguard? You were followed again!?	ボディーガードって……おまえ、また狙われたのかい！？
Elmyra	エルミナ
Are you all right!? You're not hurt, are you!?	体は！？　ケガはないのかい！？
{Aeris}	AERITH
I'm all right. I had CLOUD with me.	だいじょうぶ。今日はCLOUDもいてくれたし
Elmyra	エルミナ
Thank you, CLOUD.	ありがとうね、CLOUDさん
{Aeris}	AERITH
So what are you going to do now?	ねぇ、これからどうするの？
CLOUD	CLOUD
…Is Sector 7 far from here? I want to go to TIFA's bar.	……７番街は遠いのか？TIFAの店に行きたいんだ
{Aeris}	AERITH
Is TIFA…a girl?	TIFAって……女の人？
CLOUD	CLOUD
Yeah.	ああ
{Aeris}	AERITH
A girl…friend?	彼女？
CLOUD	CLOUD
Girlfriend?	彼女？
No way!	そんなんじゃない！
Yeah, that's right	そんなところだ
{Aeris}	AERITH
Hee hee hee…	ふふふ
{Aeris}	AERITH
You don't have to get THAT upset…	そ～んなにムキにならなくてもいいと思うけど
{Aeris}	AERITH
Oh, how nice.	ふ～ん、いいねえ
{Aeris}	AERITH
Well, that's…nice.	でも、まあ、いいわ
{Aeris}	AERITH
Let's see, Sector 7? I'll show you the way.	７番街だったわね。私が案内してあげる
CLOUD	CLOUD
You gotta be kidding. Why do you want to put yourself in danger again?	冗談じゃない。また危ない目にあったらどうするんだ？
{Aeris}	AERITH
I'm used to it.	なれてるわ
CLOUD	CLOUD
Used to it!?	なれてる！？
CLOUD	CLOUD
Well, I don't know… getting help from a girl…	……まあ、そうだとしても女の力をかりるなんて…
{Aeris}	AERITH
A girl!! What do you mean by that!?	女！！　女の力なんて！？
{Aeris}	AERITH
You expect me to just sit by quietly after hearing you say something like that!?	そういう言い方されてだまってるわけにはいかないわね
{Aeris}	AERITH
Mom! I'm taking CLOUD to Sector 7. I'll be back in a while.	お母さん！わたし、７番街までCLOUDをおくっていくから
Elmyra	エルミナ
But dear…I give up. You never listen once you've made up your mind.	やれやれ。言いだしたら聞かないからね
Elmyra	エルミナ
