	キュー！！
…What the hell? Who's there?	ほひ～。なんだ、なんだ！　何者だ！
AERIS	AERITH
I'm sorry, Don.	ごめんなさいね。コルネオさん
TIFA	TIFA
You still don't get it do you, Don Corneo?	まだわからない？ドン・コルネオ
Don Corneo	コルネオ
What?	ほひ！？な、なにがどういうこと？
TIFA	TIFA
Shut up, we're asking the questions now…	悪いけど質間するのは私たちのほうよ
TIFA	TIFA
What did your assistants find out? Talk! If you don't tell us…	手下に何をさぐらせてたの？言いなさい！　言わないと……
CLOUD	CLOUD
…I'll chop it off.	……切り落とすぞ
Don Corneo	コルネオ
No! Not that! I'll talk! I'll tell you everything!	や、やめてくれ！ちゃんと話す！　なんでも話す！
TIFA	TIFA
So…talk.	さ、どうぞ
Don Corneo	コルネオ
…I made 'em find out where the man with the gun-arm was. But that's what I was ordered to do.	……片腕が銃の男のねぐらを探させたんだ。そういう依頼があったんだ
TIFA	TIFA
By whom?	誰から？
Don Corneo	コルネオ
No--! If I told you that, I'd be killed!	ほひ～！しゃべったら殺される！
TIFA	TIFA
Talk! If you don't tell us…	言いなさい！　言わないと……
AERIS	AERITH
…I'll rip it off.	……ねじり切っちゃうわよ
Don Corneo	コルネオ
Waaaaaaaaaaah--! It was Heidegger of Shinra!	ほひ～！神羅のハイデッカーだ！
Heidegger, the head of Peace Preservation!	治安維持部門総括ハイデッカーだ！
CLOUD	CLOUD
The head of Peace Preservation!?	治安維持部門総括！？
TIFA	TIFA
Did you say the Shinra!? What are they up to!? Talk!	神羅ですって！！神羅の目的は！？　言いなさい！
If you don't tell us…	言わないと……
TIFA	TIFA
…I'll smash it.	……すりつぶすわよ
Don Corneo	コルネオ
…You're serious, aren't you… …ohboy, ohbooy, ohboy.	ほひ……ねえちゃん……本気だな。……えらいえらい
…I'm not fooling around here either, you know.	……俺もふざけてる場合じゃねえな
Don Corneo	コルネオ
Shinra's trying to crush a small rebel group called AVALANCHE, and want to infiltrate their hideout.	神羅はアバランチとかいうちっこいウラ組織をつぶすつもりだ。アジトもろともな
Don Corneo	コルネオ
And they're really going to crush them…literally. By breaking the supports holding up the plate above them.	文字どおり、つぶしちまうんだ。プレートを支える柱を壊してよ
TIFA	TIFA
Break the supports!?	柱を壊す！？
Don Corneo	コルネオ
You know what's going to happen? The plate'll go PING	どうなるかわかるだろ？プレートがヒューッ、ドガガガ！！だ
and everything's gonna go BAMMM!! I heard their hideout's in the Sector 7 Slums…	アバランチのアジトは７番街スラムだってな
I'm just glad it's not here in Sector 6.	この６番街スラムじゃなくて俺はホッとしてるぜ
TIFA	TIFA
They're going to wipe out the Sector 7 Slums!?	７番街スラムがなくなる！？
TIFA	TIFA
CLOUD, will you come with me to Sector 7?	CLOUD、７番街へいっしょに行ってくれる？
CLOUD	CLOUD
Of course, TIFA.	もちろんだ。TIFA
Don Corneo	コルネオ
Just a second!	ちょっと待った！
CLOUD	CLOUD
Shut up!	だまれ！
Don Corneo	コルネオ
No wait, it'll only take a second.	すぐ終わるから聞いてくれ
Why do you think scum like me babbled on about the truth?	俺たちみたいな悪堂が、こうやってべらべらとホントのことをしゃべるのはどんなときだと思う？
Because I've given up on life	１　死をかくごしたとき
Because I'm sure I'll win	２　勝利を確信しているとき
Because I'm clueless	３　なにがなんだかわからないとき
Don Corneo	コルネオ
Buuzzzzz! Wrong!	ほひ～！　はっずれ～！
Don Corneo	コルネオ
Woo-hoo!  Right!	ほひ～！　あったり～！
Don Corneo	コルネオ
Close, but no cigar!	ほひ～！　おっし～！
Don Corneo	コルネオ
Ahh, we're finally alone…	ほひ～、やっと２人きり……
All right, pussycat… Come to daddy!!	さあコネコちゃん……俺のムネへカモ～ン！
Don Corneo	コルネオ
You're so cute, I never get tired of looking at you.	ほひ～、何度見てもカワイイの～
Do you…like me, too?	お……お前も、俺のこと好きか？
Of course!	もちろんですわ
Umm…	え～と……
Don Corneo	コルネオ
You sure do know how to make a guy feel good!	ほひ、うれしいこと言ってくれるのォ！
Then, wh…what do you want to DO?	ほんなら、ナ、ナニがしたい？
Whatever YOU want, daddy	あなたのス・キ・な・コ・ト
I don't care…	べつに……
Don Corneo	コルネオ
Oh man!  I can't stand it! All right, then…	ほひほひ～！！　た、たまらん！じゃあ、おねがい……
Give me a kiss!! A KISS!!	チューして、チュー！！
All right…	ええ……
Nope, can't do that…	それはダメ……
Don Corneo	コルネオ
Why? WHY? WHY?	なんで？なんでなんで？
CLOUD	CLOUD
Because…	だって……
CLOUD	CLOUD
Because I'm gonna need that mouth of yours to give me some information!!	あんたのその口は情報をもらすのに使ってもらうからさ！！
Don Corneo	コルネオ
A man!? You tricked me!!	お、オトコ！？ほひ～、だ、だましたな！！
Somebody get in here NOW!!	だれか！　だれか！！
Don Corneo	コルネオ
A man!? What's goin' on?	オ、オトコ！？どーなってるの？
Unfortunately, no one'll be comin' to help.	おあいにくさま。あなたの子分はだれもこられないみたいよ
You're the ones from before! Wh…what the hell's going on?	お前たちはさっきの！？な、なにがどーなってるの？
Ju---st a minute!!	ちょっと待ったーッ！！
TIFA	TIFA
CLOUD…	CLOUD……
Were you really…?	まさかあなた今ホンキで……
Information? What information?	話？　話ってなんの？
Th…then why?	そ、そんならなんで？
Don Corneo	コルネオ
You don't like me?	ほひ、俺がキライなの？
There…there isn't someone else, is there?	まさか、ほ、他にスキな男でも？
No, only you	あなただけよ
Yes, his name's BARRET…	BARRETっていうの……
Don Corneo	コルネオ
No way!	ほひ～！ゆるせん！
Hmm? BARRET? That sounds familiar…	ん？BARRET？どーっかできいたような……
CLOUD	CLOUD
You know, he's one of the ones you were trying to find out about. You know, AVALANCHE…?	ホラ、あなたがさぐらせていた【アバランチ】　の……
Don Corneo	コルネオ
Oh, yeah, yeah. In Sector 7, in the slums.	ああ、そうそう。あの７番街スラムの……
Don Corneo	コルネオ
…and how do YOU know that!?	……って、なんでお前がそれを知ってるのよ！？
Don Corneo	コルネオ
Woo-hoo!	ほひ～！
Don't be shy. We're all alone now…	テレなくてもだいじょうぶ。２人きりだよ……
Received "Hyper"!	『興奮剤』を手にいれた！
Please, help me!	たのむ、助けてくれ！
Help him	助ける
Leave him	放っておく
Kotch	コッチ
I…I was just following the Don's orders! Help me!	オ、オレはただ、ドンの命令にしたがっただけなんだ！助けてくれよ！
Kotch	コッチ
Thanks!	助かった！
You know what? After you left, some Shinra guys forced themselves in here saying someone 'leaked information' and we're 'good for nothings'.	じつはあのあと、神羅の連中がドカドカやってきて『情報をリークした』だの『役立たず』だの……
They took Don somewhere and that's it… I'm still here.	ドンはむりやりどこかへつれていかれて、それっきり……オレもこんなザマさ
Kotch	コッチ
Oops! They're here again… I'm outta here! SEE ya	おっといけねえ！またあいつらがきたら……オレはいくぜ、アバヨ！
Received "Ether"!	『エーテル』を手にいれた！
Turtle's Paradise No. 2 One thing even the Gold Saucer doesn't have is… A good place for drinks with a great atmosphere! Come on by and see us at "Turtle's Paradise"	【かめ道楽　通信】ナンバー２ゴールドソーサーにただひとつ、たりないもの……それはおいしいお酒とムードのある居酒屋！ぜひいちど居酒屋『かめ道楽』へ！！
