Marshes	湿地帯
Don't be too hard on yourself, CLOUD. Let's think about what we should do next.	ま、やっちゃったことはしょうがないよね
YUFFIE	CAIT SITH
No use crying over spilt milk. Right?	きっついなぁ。次、失敗せんようにせんと
CAIT SITH	VINCENT
Geez, you don't pull any punches do you? We'll just try not to fail next time.	これ以上、犠牲を増やさぬため戦わなければならないのではないか？
VINCENT	CID
We have to fight to avoid any more casualties.	次がんばろうや、な？
CID	CLOUD
We'll do it next time, OK?	そうだな
CLOUD	これ以上、やつらの思い通りにはさせない。もう、悲しみは増やさない
Yeah.	TIFA
They've had their fun, but it's over as of now! There isn't gonna be any more suffering.	CLOUD、私……どうしたらいいの？
TIFA	BARRET
CLOUD… What should I do?	TIFA……
BARRET	RED XIII
TIFA…	……
RED XIII	YUFFIE
…	CLOUDかどうなっちゃうんだろ
YUFFIE	CAIT SITH
CLOUD I wonder what's going to happen?	気にしすぎたらしんどいだけやで。もうちょい楽にしいや
CAIT SITH	VINCENT
Y'know, worryin' only tires you out. Why don't you take it easy?	今は耐えるほかはないな
VINCENT	CID
You've got no choice but to take it for now.	ちっ、しょっぺえなあ
CID	CID
Oy, such a bitter pill to swallow.	ちょっと冗談じゃすまねえぜ、こりゃ
CID	BARRET
This ain't no joke, Jack.	ああ、かなりやばいぜ
BARRET	RED XIII
Oh man, this is real bad.	あんまりいい状態じゃないね
RED XIII	YUFFIE
Things don't seem too favorable.	もともと冗談じゃないんだよ！
YUFFIE	CAIT SITH
I told you I'm not kidding!	冗談ですんだらええけどこれはほんまのことや
CAIT SITH	VINCENT
If this were a joke it'd be one thing, but this's the truth.	かなりきびしい現実だな
VINCENT	コンドルフォート
This is a rather harsh reality.	【セーブポイント】
Fort Condor	メニューを開いてセーブを選ぶと
[Save Point]	ゲームの状態を保存できます。
Access the Menu and select	いらっしゃい。でも今は、売れないんだよ。なんせ、自分たちで使うからね
[SAVE] to save your game.	いらっしゃい。がんばってよ。あたしたちもがんばるから
Hello. I'm sorry but we're not selling anything now.	すまんが、今は売れないな
We're using everything we have for ourselves.	おう、がんばってくれよ
Hello. Do your best. We will, too.	ほう、珍しいなこんなところまで登ってくるとはな
Sorry, but I can't sell you anything now.	……　変わった目をしているな。まあ、関係ないか。ここはもうすぐ神羅との戦場になる。まきぞえにならないうちに、降りなさい
You hang in there!	ほう、珍しいな。こんなところまで登ってくるとはな
Hmmn, now this is something, I never thought anyone would ever climb up here.	ここはもうすぐ神羅との戦場になる。まきぞえにならないうちに降りなさい
…Your eyes are different. Well, anyhow. Any minute now, this will be a battlefield against Shinra.	BARRET
You'd better get down before you get involved.	神羅だって？こんなところへ何しにくるんだ
Hmmn, now this is something, I never thought anyone would ever climb up here.	TIFA
Any minute now, this will be a battlefield against Shinra. You'd better get down before you get involved.	神羅ですって？
BARRET	AERITH
Shinra? The hell those jackasses doing here?	どういうこと？戦場って
TIFA	RED XIII
You mean Shinra?	神羅か……
AERIS	RED XIII
What do you mean, a battlefield'?	また、神羅だよ
RED XIII	YUFFIE
The Shinra…	ここも、神羅かよ
RED XIII	CAIT SITH
Shinra again.	……
YUFFIE	VINCENT
The Shinra? Here too?	どういうことだ？
CAIT SITH	CID
…	戦場たあ、聞きずてならねえな
VINCENT	あなたがたも、神羅とは何かあるらしいな。せっかく、ここまで登ってきたんだ。ちょっとだけ話を聞いていかないか？
What do you mean by that?	CLOUD
CID	……
A battlefield? We can't overlook that.	いいだろう
It appears you have a problem with Shinra, too. After all, you climbed up here.	やめておこう
Why not listen to what I have to say for a moment?	TIFA
CLOUD	ええ、ぜひ
…	CID
I guess so	おうよ、言ってみろよ
Not interested	BARRET
TIFA	なに言ってやがんだ！ここの連中も神羅と戦ってるんだぞそれを見すてるのか！
Oh, by all means.	TIFA
CID	CLOUD、聞きましょう
All right, talk on!	AERITH
BARRET	せっかくここまで来たんだから、ね？CLOUD
The hell you talkin' about!? They're all fightin' the Shinra too! You gonna ignore that!?	CAIT SITH
TIFA	まぁまぁ、CLOUDさんちょっとくらい聞きましょうや
CLOUD, let's listen to what they have to say.	VINCENT
AERIS	話くらい聞いてもよかろう
After all, we came all this way, CLOUD	YUFFIE
CAIT SITH	お宝の話かい？
I know, I know, CLOUD. But let's listen for a bit.	CID
VINCENT	ほんと、人情のねえ奴だぜ
There's no harm in listening to them.	この山の上になにがのっているかわかるかな？
YUFFIE	BARRET
Is this about the jewels?	ん？なにかあったか？
CID	AERITH
Man, she sure's cold.	おっきな、鳥さん
Do you know what's at the top of this mountain?	TIFA
BARRET	もう、しっかりしてよ
Huh? Something's up there?	YUFFIE
AERIS	しっかり見てろよおっさん
A huge bird.	CAIT SITH
TIFA	そういやなんやおったな
Come on, let's get it together.	CLOUD
YUFFIE	魔晄炉と、コンドルだな
Look close, old man.	TIFA
CAIT SITH	あれは、魔晄炉とコンドルね
Yeah, come to think of it there was something.	RED XIII
CLOUD	あれは、魔晄炉それと、コンドルだな
The reactor and the Condor.	RED XIII
TIFA	あれは、魔晄炉だよ。それと、コンドルだね
That's the reactor and the Condor.	VINCENT
RED XIII	そういえば、魔晄炉があったな。見たことのない形だったが……
That's the reactor and the Condor.	CID
RED XIII	ありゃどうみても魔晄炉だなその上にいるのはコンドルか？
That's the reactor. And the Condor.	ほう、よくわかったな。確かに魔晄炉とコンドルだ
VINCENT	確かに、山の上にあるのはコンドルと魔晄炉だ
Come to think of it, there was a reactor. But I've never seen anything shaped like it…	神羅は、魔晄炉の上にコンドルがいることが気にくわないらしい
CID	BARRET
No matter how you look at it, that's a reactor. And on top of it, is that the Condor?	ちょっと大きな鳥だろ？なんでまた武力まで使って排除しようとするんだ？
I can see you're very perceptive. Yes, it's a reactor and a Condor.	TIFA
That's right, on that mountain is a Condor and a reactor.	魔晄炉の上にコンドルがいちゃダメなのかしら？
It seems the Shinra doesn't like the idea of having a Condor on top of the reactor.	AERITH
BARRET	ど～して？
Damn, that's one big bird! But why are they trying to get rid of it with weapons?	RED XIII
TIFA	理由がわからないな
What's so wrong with having a Condor on top of the reactor?	RED XIII
AERIS	理由、わからないよ
Why?	YUFFIE
RED XIII	きっと、魔晄炉の中にすんごいマテリアでもあるんじゃない？
It's not very logical.	VINCENT
RED XIII	……おおげさすぎるな
The logic eludes me.	CID
YUFFIE	あん？よくわかんねえぞ
I'm certain there must be state-of-the-art Materia inside the reactor. Am I right?	CAIT SITH
VINCENT	ん～……
…That's too much.	どうやら、この上の魔晄炉にはなにやら、特別なマテリアがあるらしい
CID	そこへコンドルがきたので神羅は、あわてて軍を送ってきた
Huh? I don't get it.	軍の目的は、コンドルとこの山に住むわたしたちの排除だ
CAIT SITH	今、コンドルは、数年に一度しか生まないタマゴを温めている
Huh?…	わたしたちは、神羅の手からコンドルの営みを守ってやりたい
It seems there's some type of special Materia in the reactor above us.	CLOUD
And because the Condor came, the Shinra rushed troops here.	新しい命か……
The military wants to get the Condor and all the villagers off this mountain.	BARRET
The Condor is now warming its egg, which hatches only once every few years.	オレがやってやるぜ！神羅から守ってやるぜ！
We would like to protect the Condor from being harmed.	TIFA
CLOUD	コンドルのタマゴ生命の営み
New lives…	星の命守らなくちゃ
BARRET	AERITH
I'll do it! I'll protect them from Shinra!	コンドルのタマゴ、守らないと、ね？
TIFA	RED XIII
Condor's egg A real work of nature.	タマゴを守るために魔晄炉を守るのか…
We've got to protect the life of the Planet.	RED XIII
AERIS	タマゴを守るために魔晄炉を守るんだ…
We must protect the condor egg, right?	YUFFIE
RED XIII	特別なマテリアかへへへ、おもしろそうだね
So, to protect the egg, are you gonna protect the reactor?	CAIT SITH
RED XIII	どないするかはみなさんにまかしますわ
We're going to protect the reactor in order to save the egg.	VINCENT
YUFFIE	命を消さないようにか……
Special Materia, huh? Well, well, things are getting interesting.	CID
CAIT SITH	どうすんだ？おめえらよう
I'm gonna leave it up to you all.	残念ながら、私たちには直接、神羅と戦うだけの能力はない
VINCENT	兵を雇って、いっしょに戦ってもらっている
…and come out in one piece?	スポンサーとして、ギルの援助でもいいいっしょに戦ってくれるのでもいい…
CID	どうだろういっしょに戦ってもらえないか？
You guys, what are ya gonna do?	CLOUD
Unfortunately, we don't have the ability to fight Shinra ourselves.	……
That's why we have hired soldiers to help us.	BARRET
As our sponsor, you can help us with a contribution or by fighting alongside of us…	なにを迷う！オレたちがやるんだよ！
What do you think? You want to join us in our fight?	TIFA
CLOUD	CLOUD……
…	AERITH
BARRET	CLOUD何、迷ってるの？
What's there to think about? We gotta do it!	RED XIII
TIFA	どうするかは君が決めたまえ
CLOUD…	RED XIII
AERIS	どうするの？
CLOUD, why are you still worrying about it?	YUFFIE
RED XIII	うまいこといきゃその特別なマテリアってのをおがめるかもよ
You decide what we're going to do.	CAIT SITH
RED XIII	まかしますから好いたようにどうぞ
What are we going to do?	VINCENT
YUFFIE	失ってしまったものを取りもどすのは難しい……
If things go right, we might even be able to pray to that special Materia.	CID
CAIT SITH	グジャグジャ言ってねぇでさっさと決めちまえよ
I'll leave it up to you so please do as you see fit.	CLOUD
VINCENT	……
It's difficult to get back what you've lost…	わかった
CID	興味ないな
Don't be so wishy-washy. Hurry and make up your mind.	BARRET
CLOUD	なに考えてんだ、おまえはそれでも人間か！
…	TIFA
All right	そう……
Not interested	AERITH
BARRET	なーんだ。ガッカリ
What's wrong with you? And you call yourself a human!?	YUFFIE
TIFA	マテリア、損したかもね
Well…	VINCENT
AERIS	後悔しないことだな
What a jerk. I'm disappointed in you.	CID
YUFFIE	決めたんならさっさと行動しようぜ
Now we lost the Materia.	TIFA
VINCENT	CLOUD、ありがとう
Have no regrets for what's already past.	TIFA
CID	みんな聞いて
If you've made up your mind, let's just do it.	私には、この人たちを放っておくなんてできないの
TIFA	できるかぎりのことをしたいの。みんな、いいわよね？
CLOUD, thanks.	CID
TIFA	そこまで言われちゃあな。ま、オレ様たちにまかせておけばなんとかならぁな
Everyone, listen to what I have to say.	BARRET
I can't possibly leave these people like this.	おうよ！オレたちがなんとかするぜ
Let's do whatever we can to help them. All right?	AERITH
CID	そうよね。がんばりましょ
If you go that far, what can I say? Well, we'll be able to do something if you leave it up to us.	RED XIII
BARRET	わかった。協力しよう
Hey! We'll come to the rescue.	RED XIII
AERIS	わかった。協力するよ！
Yes, yes. Let's do our best.	YUFFIE
RED XIII	よ～っし。マテリアゲットね
Right. Let me lend a hand, too.	CAIT SITH
RED XIII	ほんな、がんばりましょ
Got it. I'm gonna lend a hand, too.	VINCENT
YUFFIE	いい決断だ
Okay, it's settled. We're gonna get the Materia, right?	そうか……気が変わったら来てくれ
CAIT SITH	気が変わったかな？
Well then, let's do our best.	CLOUD
VINCENT	……
That's the right decision.	ああ、やってみよう
I see… Come back if you should change your mind.	変わらないな
Have you by chance changed your mind?	ふぅ、助かるよ
CLOUD	戦術に関するくわしいことは見張り小屋にいる、私の息子に聞いてくれ。よろしく頼んだよ
…	戦術に関するくわしいことは見張り小屋にいる、私の息子に聞いてくれ。よろしく頼んだよ
Well, let's do it	そうそう、店の方にも君たちのことを伝えておいたのでいろいろ、売ってくれるはずだ
My position hasn't changed	それと、ベッドは自由に使ってくれ
Whew, we'll be saved.	頼む、魔晄炉が破壊されコンドルが殺されるのを防いでくれ
Ask my son, who's standing guard at the shed, about the details of our military tactics. We're depending on you.	いいところへ来てくれた。神羅がやり方を変えてくるぞ
Ask my son, who's standing guard at the shed, about anything related to our military tactics.	どうやら、魔晄炉を破壊して中からマテリアを取り出すつもりらしい
Yes, yes, I've also told the store owners about you, so they should sell you various items.	CLOUD
And feel free to use our beds.	そうか、ここもか。もう、負けられないな
I'm begging you. Please prevent the reactor from being destroyed and the Condor from being killed.	BARRET
You've come at a good time. Shinra's changing its strategy now.	やばいぜ、負けられないぜ！
It seems that Shinra will destroy the reactor and then take out the Materia that's inside.	TIFA
CLOUD	今が、がんばりどきね
I see. I guess that means this area, too.	AERITH
Well, we can't afford to lose any more.	負けられない、ね
BARRET	RED XIII
Man, we're walking on dangerous ground. We can't lose now!	これは負けられないね！
TIFA	YUFFIE
Now is the time to dig in.	ここで、負けちゃせっかくのマテリアがパーだよ
AERIS	CAIT SITH
We can't afford to be beaten!	そうやね。ここで負けてしまうとちょっとやばいことになりそうですな
RED XIII	VINCENT
We can't afford to be beaten!	ここは、守らなければ
YUFFIE	CID
If we lose here, all the Materia we gathered will be for nothing.	ち！ここもかよ
CAIT SITH	見張り小屋
You're right. If we lose here, we'll be in great danger.	あんたたちも見るかい？
VINCENT	CLOUD
We must protect this area.	なにをだ？
CID	TIFA
Damn! I guess we have to protect this area too.	なにをです？
Watch Room	CID
Do you guys want to see it, too?	なんだよ？
CLOUD	コンドルだよでっかいぜ。いいから見てみろよ
See what?	どうだい？すごいだろ
TIFA	どうだろう、協力してくれないか？あいつらを、死なせたくないんだよ
What?	でかいし、かっこいいよな。あいつらを人間の勝手な都合で殺しちまっていいのか？
CID	いいわけないよな。特に神羅の都合で、なんて絶対に許しちゃだめだ
What is it?	見るんだったらそっちのイスの上に乗りなよ。気のすむまで見てくれよ
The condor. It's huge. Come on, have a look.	引き受けてくれてありがとう
What do ya think? Awesome, huh?	じゃあさっそく戦術の説明をしようか
So, will you help us? I don't want them to get killed.	敵は、この山の魔晄炉を目指して登ってくる。それにたいして、ワナを置いて兵を雇って守るのだ
They're gigantic birds and so striking. We simply can't let them be killed by man's selfishness.	まあ、これだけなのだが……この村は、お金がない。戦おうにも、お金がなくて何もできない
Of course not. There's no way, especially by the Shinra.	なにせ、兵を雇うと４００ギルも必要になる。２０部隊雇うと、８０００ギルにもなってしまう
If you want to see them, get on that chair over there.	つまり、君たちにおねがいするのは君たちのお金で兵を雇い、ワナを買って配置し、指示してもらいたい
Thanks for accepting.	ものすごく勝手なことを言っているのはじゅうぶん承知している
So shall I let you in on our strategy?	母親たちと子どもたちは、別の村へ移した。私たちも、かくごはできている
The enemy has targeted our mountain reactor and will be climbing to reach it.	話を元へもどそう。もしこの小屋に敵が進入したときには君たちが直接戦わなければならなくなる
We must set a trap and hire soldiers to protect the place.	一発勝負になってしまったがよろしく頼む
Well, this is all we have… This village doesn't have any money. Even if we wanted to fight, we can't because we're broke.	じゃあさっそく戦術の説明をしようか
We need 400 gil to hire one soldier. So, if we hire 20 soldiers, we need 8000 gil.	敵は、この山の魔晄炉を目指して登ってくる。それにたいして、ワナを置き兵を雇って守るのだ
We need to ask you to use your own money to hire these soldiers, buy the equipment, set it up and give the commands.	まあ、これだけなのだが……この村は、お金がない。戦おうにも、お金がなくて何もできない
We know what we're asking is selfish.  We sent our wives and children to another village, But, we're resigned to stay.	なにせ、兵を雇うと４００ギルも必要になる。２０部隊雇うと、８０００ギルにもなってしまう
Let's get back to basics. If the enemy reaches this shed, you'll have to fight them off immediately.	つまり、君たちにおねがいするのは時間があるのであれば君たちのお金で兵を雇い、ワナを買って配置し、指示してもらいたい
It's a one shot gamble but we're asking for your help.	時間がないのであれば資金援助をおねがいしたい
So, shall I let you in on our strategy?	資金援助してもらえばその資金で兵を雇い神羅の攻撃を防げる
The enemy has targeted our mountain reactor and will be climbing to reach it.	ものすごく勝手なことを言っているのはじゅうぶん承知している
We must set a trap and hire soldiers to protect the place.	母親たちと子どもたちは、別の村へ移した。私たちも、かくごはできている
Well, this is all we have… this village doesn't have any money. Even if we wanted to fight, we can't because we're broke.	話を元へもどそう。もしこの小屋に敵が進入したときには君たちが直接戦わなければならなくなる
We need 400 gil to hire one soldier. So, if we hire 20 soldiers, we need 8000 gil.	まあ、１回負けたからといってそれで、終わりにはならないけど何度も負けてしまうと、危険だね
We need to ask you to use your own money to hire these soldiers, buy the equipment, set it up and give the commands.	さて、何か聞きたいことはあるかい？
If you don't have time could you help us with a donation?	勝利条件のこと
If you donate the money, we can hire the soldiers and block Shinra's attack.	敵のこと
We know what we're asking is selfish. We sent our wives and children to another village, But, we're resigned to stay.	雇える兵のこと
Let's get back to basics. If the enemy reaches this shed, you'll have to fight them off immediately.	資金のこと
It's not the end of the world,	その他のこと
but if you lose repeatedly,	もうじゅうぶんだ
it could be dangerous.”	敵を全滅させる、もしくは敵にはコマンダーと呼ばれる司令官がいるからそいつを倒せば、勝利だ
Now then, is there anything you wish to ask?	敵が、小屋に接触したならばここへ乗りこまれてしまうから直接戦わなくてはならなくなる
Conditions for victory	もし直接戦って負けてしまったらコンドルの命も、わたしたちの命も消えてしまうだろう
The enemy	敵を全滅させる、もしくは敵にはコマンダーと呼ばれる司令官がいるからそいつを倒せば、勝利だ
Type of soldiers	敵が、小屋に接触したならばここへ乗りこまれてしまうから直接戦わなくてはならなくなる
Funding	もし直接戦って負けてしまい魔晄炉に取り付かれてもある程度までならなんとかなる
Other	ある程度といったが、どれくらい耐えられるかは実際にやってみなくてはわからないと思う
Enough	耐え切れなくなったときコンドルの命も、私たちの命も魔晄炉内部のマテリアも、神羅に奪われてしまう
You can win by wiping out the enemy or killing the enemy commander.	それと、３連岩落機、爆弾投機はまだ開発中なので設置はできない
If the enemy reaches the shed, they'll attack, and you'll have no choice but to battle immediately.	爆弾投機の開発が終わったので設置できるぞ
If you lose, the Condor's life and ours…are over.	３連岩落機、はまだ開発中なので設置はできない
You can win by wiping out the enemy or killing the enemy commander.	まず、最初にやることは味方の兵を配置することだ
If the enemy reaches the shed, they'll attack, and you'll have no choice but to battle immediately.	カーソルを動かしてバツ印がでないところで○ボタンを押すと配置決定となる
If you lose during direct contact, and even if the enemy gets to the reactor, there's still a chance to win.	すべて配置したならば、×ボタンで終了する。これで、戦闘開始となる
But, it's only a slight chance, and we have no idea how much the reactor can endure in an attack.	兵は最初、小屋の近くにしか配置できない。遠くにいると、指示が届かなくなるからな
When we can't defend against the attack any longer, the Shinra will take our lives, the Condor and all the Materia in the reactor.	兵を配置できるのはいちばん下にいる兵の横ラインまでだ
We can't use the Tristoner or Fire Catapult, because they are still not ready.	兵への指示の出し方は『セレクトボタン』でわかるからわからなくなったら、押すといい
The Fire Catapult is ready now, so we can set it up.	兵からの報告が送られてくるが○ボタンを押せば……
We can't use the Tristoner, because it is still not ready.	その報告を行った兵のところまでカーソルが移動する
First off, we must prepare the troops.	×ボタンを押せば移動せずに報告を聞き流せる
Move the cursor wherever the x mark does not appear, then press [OK] to set-up.	それから、神羅は定期的に部隊を送ってくる
After all positions are in place, press [CANCEL]. This starts the battle.	時間があるとき来てくれるとちょうどいいだろう
Soldiers can only be arranged near the shed, in the beginning.	どうしても、時間がないのならば資金援助をたのむ
