こっそり		adv, adv-to	stealthily, secretly	Hey, CLOUD! Why don't the two of us sneak out of here and spend some time together?	ね、CLOUD！ふたりでこっそり遊びにいかない？
ひめ	姫	n	young lady of noble birth, princess (esp. in Western contexts, tales, etc.),girl,small, cute, lesser (in names of species),prostitute	By my soul, please…please save Princess Rosa!	なぜかわかりま～す、わかるので～す。どうか～、どうか、ルーザ姫をお救い、くださ～～～い
すくい	救い	n, adj-no	help, aid, relief, (religious) salvation, (Christian) grace, providence	By my soul, please…please save Princess Rosa!	なぜかわかりま～す、わかるので～す。どうか～、どうか、ルーザ姫をお救い、くださ～～～い
すみか	住処	n	dwelling, house, residence, den, habitat	On the peak of a dangerous mountain… dwells the Evil Dragon King, Valvados… who's kidnapped Princess Rosa…	悪竜王ヴァルヴァドスのすみかは～はるか険しい山の上～。あわれル～ザは捕われの身～
はるか	遥か	adj-na, adv, n	far, far away, distant, remote, far off	On the peak of a dangerous mountain… dwells the Evil Dragon King, Valvados… who's kidnapped Princess Rosa…	悪竜王ヴァルヴァドスのすみかは～はるか険しい山の上～。あわれル～ザは捕われの身～
とらわれる	捕らわれる	v1, vi	to be caught, to be captured, to be taken prisoner, to be arrested, to be apprehended,to be seized with (fear, etc.), to be a slave to, to stick to, to adhere to, to be swayed by	On the peak of a dangerous mountain… dwells the Evil Dragon King, Valvados… who's kidnapped Princess Rosa…	悪竜王ヴァルヴァドスのすみかは～はるか険しい山の上～。あわれル～ザは捕われの身～
かたりかける	語りかける	v1	to make a speech, to address	But… you can't beat the Evil Dragon King now! Talk to one who can help you…	しか～し今のお前では悪竜王には勝て～ん！お前の力とな～る者に語りかけよ～
まほうつかい	魔法使い	n	magician, wizard, sorcerer, witch	The wizard	魔法使い
じゃくてん	弱点	n	weak point, weakness, shortcoming, defect, flaw, sore spot, tender spot	The Evil Dragon King's weakness	悪竜王～の～弱点
サイズ		n	size	The Princess' measurements	ル～ザ姫の～スリ～サイズ
うちかつ	打ち勝つ	v5t, vi	to conquer (e.g. an enemy), to defeat,to overcome (a difficulty),to out-hit	The power of love… Is the only weapon that can withstand the fangs of the Evil Dragon King…!	愛しあ～う２人の力こそが～悪竜王の邪悪な～る牙に打ち勝つただひとつの武器～！
わが	我が	adj-pn	my, our, one's own	I am the Evil Dragon King…Valvados! I have not harmed the Princess… I have been expecting…you!	我こそは～、悪竜王ヴァルヴァドス～！さらった姫に～何もしないで待っていたぞ～！
くちづけ	口付け	n, vs	kiss	A kiss! The power of True Love!!	口づけを～！真実の愛の～力を～！！
おう	王	n, n-suf	king, ruler, sovereign, monarch,tycoon, magnate, champion, master,king (of the senior player)	Kiss the Evil Dragon King	悪竜～王にする～
にげ	逃げ	n	escape, getaway, evasion	To home	スタコ～ラ逃げ～る
イヤ		n	ear,year	You must be kidding!	こんなのイヤー！
びじょ	美女	n	beautiful woman	Beautiful Girl	美女性
せい	性	suf	nature (of a person),sex,gender,-ty, -ity, -ness, -cy	Beautiful Girl	美女性
とける	解ける	v1, vi	to be solved,to loosen, to come untied,to be removed (e.g. restrictions), to be cleared (e.g. misunderstandings), to be broken (e.g. spells, curses),to melt	Thank…you. You've released me…from the spell and I am my normal self again…	ありがとう～ございます～。おかげで～のろいがとけて～元の姿にもどれま～した～
ゴンドラ		n	gondola (boat),gondola (of a hot-air balloon, airship, etc.), basket, cabin (of a cable car, ski lift, etc.), car (of an elevator)	Oh, that was fun. Hey, let's go on the Gondola.	あ～、おもしろかった。ね、次はゴンドラ乗ろう
かん	観	n-suf	look, appearance,spectacle, sight,observation meditation,outlook on ..., view of ...	Inside the Ferris Wheel	観らん車内部
べつじん	別人	n	different person, someone else, changed man	Two completely different people, but look exactly the same.	全然別人なんだけど、そっくり
あるき	歩き	n	walk, walking,foot messenger (of a town, village, etc.)	The way you walk, gesture…	歩きかた、手の動かしかた……
たからもの	宝物	n	treasure, treasured item, prized possession	She's my baby. My prized possession.	マリンは、オレの宝物だからな
こそこそ		adv, adv-to, vs	sneakily, secretly, stealthily	…it's CAIT SITH. What's he doin' so quietly?	……CAIT SITHだぜ。なにコソコソしてやがるんだ？
かくれ	隠れ	n	hidden, concealed, unknown, crypto-,passing away, dying, death	W, w, wait a second. I won't run or hide.	ちょちょ、ちょっと待って～や。逃げも隠れもしませんから
いする	医する	vs-s, vt	to cure, to heal	Then‚what are you goin' to do? Destroy me?	ほな、どないするんですか？ボクを壊すんですか？
おもちゃ	玩具	n	toy, plaything	You'd just be wastin' your time if you tried. This body's just a toy anyway.	そんなんしても、ムダですよ。この身体、もともとオモチャやから
ほんたい	本体	n	substance, real form,main part, main unit, body (of a machine),this machine, this appliance,object of worship (at a shrine, temple, etc.),noumenon,base price, pre-tax price	My real body's at Shinra Headquarters in Midgar. I'm controlin' this toy cat from there.	本体はミッドガルの神羅本社におるんですわ。そっから、このネコのおもちゃ操っとるわけなんです
あかす	明かす	v5s, vt	to pass (the night), to spend,to reveal, to divulge, to disclose, to expose,to prove, to verify	He won't come clean. And he won't quit being a spy.	正体はあかさない。スパイはやめない
はなしあい	話し合い	n, vs	discussion, conference	…I thought so. It won't do any good talking to you.	……まぁそうやろなぁ。話し合いにもならんわな
ひとじち	人質	n	hostage	I didn't want to do this either. Not by using dirty tricks and taking hostages…	そりゃ、ボクかってこんなことやりたない。人質とかヒレツなやりかたは……
かたば	片刃	n, adj-no	single edge (e.g. sword blade)	I didn't want to do this either. Not by using dirty tricks and taking hostages…	そりゃ、ボクかってこんなことやりたない。人質とかヒレツなやりかたは……
