やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
かって	勝手	n-pref	one's own convenience, one's way, selfishness,surroundings, environment, way of doing things,convenience, ease of use,financial circumstances, living, livelihood,kitchen,right hand (in archery), hand that pulls the bowstring,unauthorised (e.g. phone app, WWW site), unofficial	Havin' everyone worried like that. You don't give a damn 'bout no one but yourself!	心配させやがって勝手な野郎だ！
ぶん	分	n, n-suf	part, segment, share, ration,rate,degree, one's lot, one's status, relation, duty, kind, lot,relationship, connection, correspondence,in proportion to, just as much as	That's comin' outta your share, hot shot! 	チッ…刻のぶんは報酬からひくからな
ほうしゅう	報酬	n	remuneration, recompense, reward, toll	That's comin' outta your share, hot shot! 	チッ…刻のぶんは報酬からひくからな
ばしょ	場所	n	place, location, spot, position,room, space,basho, [object Object]	We're movin' out! Follow me!	場所変えるぞ。ついてこい！
かえる	変える	v1, vt	to change, to alter, to transform, to convert, to turn, to vary,to reform, to revise, to amend	We're movin' out! Follow me!	場所変えるぞ。ついてこい！
つく	就く	v5k	to ascend (the throne), to accede,to take (seat, position, course, office, etc.), to assume, to be hired, to be employed,to start (on a journey), to commence, to depart,to study (under teacher), to be an apprentice	We're movin' out! Follow me!	場所変えるぞ。ついてこい！
つかれる	疲れる	v1, vi	to get tired, to tire,to be worn out (e.g. of well used objects),to starve	Hey, CLOUD!! You were great back there!	あっ、CLOUDさん！！おつかれっす！
つぎ	次	n, adj-no	next, following, subsequent,stage, station	Heh heh…CLOUD! We'll do even better next time.	へへ……CLOUD！次の作戦も、がんばろうな
さくせん	作戦	n	tactics, strategy,military operation, naval operation	Heh heh…CLOUD! We'll do even better next time.	へへ……CLOUD！次の作戦も、がんばろうな
がんばる	頑張る	v5r, vi	to persevere, to persist, to keep at it, to hang on, to hold out, to do one's best,to insist that, to stick to (one's opinion),to remain in a place, to stick to one's post, to refuse to budge	Heh heh…CLOUD! We'll do even better next time.	へへ……CLOUD！次の作戦も、がんばろうな
しめる	閉める	v1, vt	to close, to shut	Careful, I'll shut this.	あぶないから閉めとくね
かお	顔	n	face, visage,look, expression, countenance,honor, honour, face,influence, notoriety	Oh, CLOUD!! Your face is pitch-black…	やだ！　CLOUD！！顔、まっくろ……
できあがる	出来上がる	v5r, vi	to be completed, to be finished, to be ready (e.g. to serve or eat),to be very drunk	There you go!	はい、できあがり！
たすける	助ける	v1, vt	to save, to rescue,to help, to assist,to support (financially), to contribute (to), to provide aid,to facilitate, to stimulate, to promote, to contribute to	Say, thanks for helping me back there at the reactor!	ね、魔晄炉で助けてくれてありがとう！
れい	礼	n	thanks, gratitude,manners, etiquette,bow,reward, gift,ceremony, ritual	Quit thanking me	礼なんかやめてくれ
かんしゃ	感謝	n, vs	thanks, gratitude	It bugs me when you thank me. It's just a part of my job.	感謝などされても困る。これも仕事のうちだからな
こまる	困る	v5r, vi	to be troubled, to be worried, to be bothered, to be embarrassed, to be stumped	It bugs me when you thank me. It's just a part of my job.	感謝などされても困る。これも仕事のうちだからな
ほんとうに	本当に	adv	really, truly	But, I… I was just glad…	でも、私……ほんとにうれしかったから…
まま	儘	n	as it is, as one likes, because, as,condition, state,sic, sic erat scriptum, [object Object]	Shut-off the switch in this position.	このまま、スイッチをお切りください
スイッチ		n, vs	switch	Shut-off the switch in this position.	このまま、スイッチをお切りください
きる	切る	aux-v, v5r	to cut, to cut through, to perform (surgery),to sever (connections, ties),to turn off (e.g. the light),to terminate (e.g. a conversation), to hang up (the phone), to disconnect,to punch (a ticket), to tear off (a stub),to open (something sealed),to start,to set (a limit), to do (something) in less or within a certain time, to issue (stamps, vouchers, etc.),to reduce, to decrease, to discount,to shake off (water, etc.), to let drip-dry, to let drain,to cross, to traverse,to criticize sharply,to act decisively, to do (something noticeable), to go first, to make (certain facial expressions, in kabuki),to turn (vehicle, steering wheel, etc.),to curl (a ball), to bend, to cut,to shuffle (cards),to discard a tile,to dismiss, to sack, to let go, to expulse, to excommunicate,to dig (a groove), to cut (a stencil, on a mimeograph),to trump,to cut (the connection between two groups) (in go),to start a fire (with wood-wood friction or by striking a metal against stone),to draw (a shape) in the air (with a sword, etc.),to finish, to complete	Shut-off the switch in this position.	このまま、スイッチをお切りください
くださる	下さる	v5aru	to give, to confer, to bestow,to kindly do for one, to oblige, to favour, to favor	Shut-off the switch in this position.	このまま、スイッチをお切りください
イベント		n	event	We can escape from the train event…	列車イベントをぬけるのだが……
ぬける	抜ける	v1, vt	to come out, to fall out, to be omitted, to be missing, to escape, to come loose,to fade, to discolour,to wear a hole (e.g. clothes),to leave (e.g. a meeting),to be clear, to be transparent (e.g. of the sky),to be stupid, to be absentminded, to be careless, to be inattentive,to exit (a program loop),to go through, to pass through	We can escape from the train event…	列車イベントをぬけるのだが……
せいこう	成功	n, vs	success, hit	Did it!!	大成功！！
しっぱい	失敗	n, adj-no, vs	failure, mistake, blunder	4th failure	失敗４回目
かい	回	n	counter for occurrences,a time, an instance,inning (baseball), round, game,episode, chapter, instalment,Hui (people),Islam	4th failure	失敗４回目
ちゃう		aux-v, v5u	to do something completely	Escaped	ぬけちゃう！
はつ	発	ctr	departure, departing (from ...), departing (at time ...),sending, sent (by ...), sent (at ...),engine,counter for gunshots, bursts of gas, etc., counter for bullets, bombs, etc., counter for blows (punches)	Last Train from Midgar	ミッドガル発最終列車
さいしゅう	最終	n, adj-no	last, final, closing	Last Train from Midgar	ミッドガル発最終列車
きゃくしゃ	客車	n	passenger car	Inside Train	客車内
みる	見る	aux-v, v1	to see, to look, to watch, to view, to observe,to look over, to look on, to assess, to examine, to judge,to look after, to keep an eye on, to take care of,to view (e.g. flowers, movie),to try, to try out, to test,to see that..., to find that...	Look…you can see the surface now. This city don't have no day or night.	見ろよ…地上が見えてきたぜ。ひるも夜もねえ、オレたちの街がよ
ちじょう	地上	n, adj-no	above ground, surface,earth, world	Look…you can see the surface now. This city don't have no day or night.	見ろよ…地上が見えてきたぜ。ひるも夜もねえ、オレたちの街がよ
みえる	見える	v1, vi	to be seen, to be in sight,to look, to seem, to appear,to come	Look…you can see the surface now. This city don't have no day or night.	見ろよ…地上が見えてきたぜ。ひるも夜もねえ、オレたちの街がよ
ひるむ	怯む	v5m, vi	to falter, to flinch (from), to recoil (from), to quail (at)	Look…you can see the surface now. This city don't have no day or night.	見ろよ…地上が見えてきたぜ。ひるも夜もねえ、オレたちの街がよ
よる	夜	n-adv, n-t	evening, night	Look…you can see the surface now. This city don't have no day or night.	見ろよ…地上が見えてきたぜ。ひるも夜もねえ、オレたちの街がよ
プレート		n	plate (often as in "tectonic plate")	If that plate weren't there… we could see the sky.	ミッドガルのプレートさえなけりゃなぁ…。でっけえ空がおがめんのになあ
から	空	n, adj-no	emptiness, vacuum, blank	If that plate weren't there… we could see the sky.	ミッドガルのプレートさえなけりゃなぁ…。でっけえ空がおがめんのになあ
くうちゅう	空中	n	sky, air, mid-air	A floating city… Pretty unsettling scenery.	空中に浮かぶ都市か……。おちつかない風景だな
うかぶ	浮かぶ	v5b	to float, to be suspended,to rise to surface,to come to mind, to have inspiration	A floating city… Pretty unsettling scenery.	空中に浮かぶ都市か……。おちつかない風景だな
とし	都市	n, adj-no	town, city, municipal, urban	A floating city… Pretty unsettling scenery.	空中に浮かぶ都市か……。おちつかない風景だな
おちつく	落ち着く	v5k, vi	to calm down, to compose oneself, to regain presence of mind,to calm down, to settle down, to die down, to become stable, to abate,to settle down (in a location, job, etc.), to settle in,to be settled, to be fixed, to have been reached,to harmonize with, to harmonise with, to match, to suit, to fit,to be unobtrusive, to be quiet, to be subdued	A floating city… Pretty unsettling scenery.	空中に浮かぶ都市か……。おちつかない風景だな
ふうけい	風景	n, adj-no	scenery, scene, landscape, view, sight,scene (e.g. of a crime)	A floating city… Pretty unsettling scenery.	空中に浮かぶ都市か……。おちつかない風景だな
かんじる	感じる	v1	to feel, to sense, to experience	Huh? Never expect ta hear that outta someone like you.	はあ？あんたがそんなふうに感じるとはな
いがい	意外	adj-na, adv-to, n	unexpected, surprising	…You jus' full of surprises.	……意外だぜ
うえ	上	n-suf	above, up, over, elder (e.g. daughter),top, summit,surface, on,before, previous,superiority, one's superior (i.e. one's elder),on top of that, besides, what's more,upon (further inspection, etc.), based on (and occurring after),matters concerning..., as concerns ...,since (i.e. "for that reason"),suffix indicating higher social standing,place of one's superior (i.e. the throne),emperor, sovereign, shogun, daimyo,noblewoman (esp. the wife of a nobleman)	The upper world…a city on a plate…	上の世界……プレート都市……
せかい	世界	n	the world, society, the universe,sphere, circle, world,renowned, world-famous, well-known outside of Japan,realm governed by one Buddha, space	The upper world…a city on a plate…	上の世界……プレート都市……
くさる	腐る	v5r, vi	to rot, to go bad, to decay, to spoil, to fester, to decompose, to turn sour (e.g. milk),to corrode, to weather, to crumble,to become useless, to blunt, to weaken (from lack of practice),to become depraved, to be degenerate, to be morally bankrupt, to be corrupt,to be depressed, to be dispirited, to feel discouraged, to feel down,to have the audacity to, to be bastard enough to,to lose a bet,to be drenched, to become sopping wet	It's 'cuz of that &^#$# 'pizza' that people underneath are sufferin'!	あのくさったピザのせいで下の人間がどんなに苦しんでることか……
ピザ		n	pizza,fat, ugly person	It's 'cuz of that &^#$# 'pizza' that people underneath are sufferin'!	あのくさったピザのせいで下の人間がどんなに苦しんでることか……
した	下	n-pref	below, down, under, younger (e.g. daughter),bottom,beneath, underneath,just after, right after,inferiority, one's inferior (i.e. one's junior),trade-in,preliminary, preparatory	It's 'cuz of that &^#$# 'pizza' that people underneath are sufferin'!	あのくさったピザのせいで下の人間がどんなに苦しんでることか……
どんなに		adv	how, how much	It's 'cuz of that &^#$# 'pizza' that people underneath are sufferin'!	あのくさったピザのせいで下の人間がどんなに苦しんでることか……
くるしむ	苦しむ	v5m, vi	to suffer, to groan, to be worried	It's 'cuz of that &^#$# 'pizza' that people underneath are sufferin'!	あのくさったピザのせいで下の人間がどんなに苦しんでることか……
よごす	汚す	v5s, vt	to pollute, to contaminate, to soil, to make dirty, to stain,to disgrace, to dishonour, to dishonor, to defile	All the pollution from Mako energy above falls down on the world below.	上の世界で汚された魔晄エネルギーが下の世界に降りてくる
おりる	降りる	v1, vi	to descend (e.g. a mountain), to go down, to come down,to alight (e.g. from bus), to get off, to disembark, to dismount,to step down, to retire, to give up, to quit,to be granted, to be issued, to be given,to form (of frost, dew, mist, etc.),to be passed (from the body; e.g. of a roundworm)	All the pollution from Mako energy above falls down on the world below.	上の世界で汚された魔晄エネルギーが下の世界に降りてくる
くうき	空気	n	air, atmosphere,mood, situation,someone with no presence, someone who doesn't stand out at all	And the city below is full of polluted air.	下の世界は今じゃあ汚された空気のたまり場だ
たまりば	溜まり場	n	gathering spot, haunt, rendezvous, meeting place, hang-out	And the city below is full of polluted air.	下の世界は今じゃあ汚された空気のたまり場だ
おまけ	お負け	n, vs	freebie (e.g. with a purchase), something additional, bonus, an extra,price reduction, discount,exaggeration	On top'a that, the Reactor keeps drainin' up all the energy.	おまけに魔晄炉はどんどんエネルギーをくみ上げちまう
どんどん		adv, adv-to	drumming (noise), beating, pounding, banging, booming, stamping,rapidly, quickly, steadily,continuously, one after the other, in succession	On top'a that, the Reactor keeps drainin' up all the energy.	おまけに魔晄炉はどんどんエネルギーをくみ上げちまう
くみあげる	汲み上げる	v1, vt	to draw (water, etc.), to scoop up, to pump up, to dip up,to draw on (ideas) (from subordinates, the public, etc.), to take into account, to adopt	On top'a that, the Reactor keeps drainin' up all the energy.	おまけに魔晄炉はどんどんエネルギーをくみ上げちまう
おかげ	お蔭	n	grace (of God), benevolence (of Buddha), blessing,assistance, help, aid,effects, influence	Thanks to that, the land is dying. We can't clean the air anymore.	おかげで土地は枯れる一方だ。空気をきれいにする力もなくしちまった
とち	土地	n	plot of land, lot, soil,locality, region, place	Thanks to that, the land is dying. We can't clean the air anymore.	おかげで土地は枯れる一方だ。空気をきれいにする力もなくしちまった
かれる	枯れる	v1, vi	to wither (of a plant), to be blasted, to die,to mature (of one's personality, abilities, etc.)	Thanks to that, the land is dying. We can't clean the air anymore.	おかげで土地は枯れる一方だ。空気をきれいにする力もなくしちまった
いっぽう	一方	n-adv, n-suf	one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party,on the one hand, on the other hand,whereas, although, but at the same time, meanwhile, in turn,just keeps, being inclined to ..., tending to be ..., tending to do ..., continuously ..., just keeps on ...ing, only	Thanks to that, the land is dying. We can't clean the air anymore.	おかげで土地は枯れる一方だ。空気をきれいにする力もなくしちまった
きれい	綺麗	adj-na	pretty, lovely, beautiful, fair,clean, clear, pure, tidy, neat,completely, entirely	Thanks to that, the land is dying. We can't clean the air anymore.	おかげで土地は枯れる一方だ。空気をきれいにする力もなくしちまった
ちから	力	n	force, strength, might, vigour (vigor), energy,capability, ability, proficiency, capacity, faculty,efficacy, effect,effort, endeavours (endeavors), exertions,power, authority, influence, good offices, agency,support, help, aid, assistance,stress, emphasis,means, resources	Thanks to that, the land is dying. We can't clean the air anymore.	おかげで土地は枯れる一方だ。空気をきれいにする力もなくしちまった
みんな	皆	adv, n	all, everyone, everybody,everything	Then why doesn't everyone move onto the Plate?	どうしてみんな上へ移らないんだろう……
うつる	移る	v5r, vi	to move (house), to transfer (department),to change the target of interest or concern,to elapse (passage of time),to be permeated by a colour or scent,to be infected, to be contagious, to spread (as in fire)	Then why doesn't everyone move onto the Plate?	どうしてみんな上へ移らないんだろう……
よごれる	汚れる	v1, vi	to get dirty, to become dirty,to become sullied, to become corrupted, to lose one's chastity	'Cuz they love their land, no matter how polluted it gets.	どんなに汚れていても地ベタが好きなのかもな
ち	地	n, n-suf	earth, ground, land, soil,place,territory,bottom (of a package, book, etc.),earth (one of the five elements)	'Cuz they love their land, no matter how polluted it gets.	どんなに汚れていても地ベタが好きなのかもな
ベタ		n	betta (esp. the Siamese fighting fish, Betta splendens)	'Cuz they love their land, no matter how polluted it gets.	どんなに汚れていても地ベタが好きなのかもな
スラム		n, vs	slam,slum,thrum	I know… no one lives in the slums because they want to.	わかってるさ…。好きでスラムに住んでるやつなどいない
すむ	住む	v5m, vi	to live (of humans), to reside, to inhabit, to dwell, to abide	I know… no one lives in the slums because they want to.	わかってるさ…。好きでスラムに住んでるやつなどいない
やつ	奴	pn	fellow, guy, chap,thing, object,he, she, him, her	I know… no one lives in the slums because they want to.	わかってるさ…。好きでスラムに住んでるやつなどいない
しく	敷く	v5k	to spread out, to lay out,to take a position,to impose widely (e.g. over a city)	It's like this train. It can't run anywhere except where its rails take it.	みんな、この列車とおなじ。敷かれたレールには逆らえないんだ
レール		n	rail (track),curtain rail,groundwork, spadework, preparations, arrangements	It's like this train. It can't run anywhere except where its rails take it.	みんな、この列車とおなじ。敷かれたレールには逆らえないんだ
こども	子供	n	child	Stop actin' like a damn kid. Siddown an' shu'up!	子供じゃねえんだ。じっとしてろよ
じっと	凝乎と	adv, vs	motionlessly (e.g. stand, wait), (be) still,fixedly (e.g. gaze, stare), intently (e.g. listen, think),patiently (endure), stoically,firmly (e.g. hold), restrained	Stop actin' like a damn kid. Siddown an' shu'up!	子供じゃねえんだ。じっとしてろよ
ろせん	路線	n	route (bus, train, air, etc.), line,line (taken by a group, organization, etc.), policy, course	It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
ず	図	n, n-suf	drawing, picture, diagram, figure, illustration, chart, graph,sight, scene	It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
ディスプレイ		n, vs	display	It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
きっと	屹度	adv	surely, undoubtedly, almost certainly, most likely (e.g. 90 percent),sternly, severely,having no slack, rigid, stiff, tight,suddenly, abruptly, instantly	It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
おもう	思う	v5u, vt	to think, to consider, to believe, to reckon,to think (of doing), to plan (to do),to judge, to assess, to regard,to imagine, to suppose, to dream,to expect, to look forward to,to feel, to be (in a state of mind), to desire, to want,to recall, to remember	It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
せつめい	説明	n, vs, adj-no	explanation, exposition	It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
あげる	上げる	aux-v, v1	to raise, to elevate,to do up (one's hair),to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.),to land (a boat),to deep-fry,to show someone (into a room),to summon (for geishas, etc.),to send someone (away),to enrol (one's child in school), to enroll,to increase (price, quality, status, etc.), to develop (talent, skill), to improve,to make (a loud sound), to raise (one's voice),to earn (something desirable),to praise,to give (an example, etc.), to cite,to summon up (all of one's energy, etc.),to arrest,to nominate,to give,to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.),to bear (a child),to conduct (a ceremony, esp. a wedding),(of the tide) to come in,to vomit,to do for (the sake of someone else),to complete ...,to humbly do ...	It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
ルート		n	root,route	To the Route Map Screen	『ルートマップ画面へ』
マップ		n	map	To the Route Map Screen	『ルートマップ画面へ』
がめん	画面	n	terminal screen, scene, picture, the field (in TV), photo	To the Route Map Screen	『ルートマップ画面へ』
モニター		n, vs	(computer) monitor,consumer who comments on products, television programs, etc. (programmes),program or utility that monitors a program or activity	I like this kinda stuff. Bombs and monitors…you know, flashy stuff.	私、こういうの好きなのよ。爆弾とかモニタ画面とかハイテク関係
ハイテク		adj-na, n, adj-no	high-tech	I like this kinda stuff. Bombs and monitors…you know, flashy stuff.	私、こういうの好きなのよ。爆弾とかモニタ画面とかハイテク関係
かんけい	関係	n-suf	relation, relationship, connection,participation, involvement, concern,influence, effect,sexual relations, sexual relationship,related to, connected to	I like this kinda stuff. Bombs and monitors…you know, flashy stuff.	私、こういうの好きなのよ。爆弾とかモニタ画面とかハイテク関係
こんど	今度	n-adv, n-t	this time, now,next time, another time, shortly, soon,recently, previous, last	Next time, I'll make one just for you.	今度、私の手作り作品をプレゼントしちゃおうかな
てづくり	手作り	n, adj-no	handmade, homegrown, hand-crafted, homemade	Next time, I'll make one just for you.	今度、私の手作り作品をプレゼントしちゃおうかな
さくひん	作品	n	work (e.g. book, film, composition, etc.), opus, performance, production	Next time, I'll make one just for you.	今度、私の手作り作品をプレゼントしちゃおうかな
プレゼント		vs	present, gift,to give a present or gift	Next time, I'll make one just for you.	今度、私の手作り作品をプレゼントしちゃおうかな
えむ	笑む	v5m, vi	to smile	Thanks anyway	えんりょしとくよ
たのしみ	楽しみ	adj-na, n	enjoyment, pleasure, diversion, amusement, hobby,anticipation, looking forward to	Looking forward to it	楽しみにしてるよ
こうかい	後悔	n, vs, adj-no	regret, repentance, remorse	Oh yeah, you might regret it. I'm the type who takes things personal.	そう、きっと後悔するかもよ。私、ズガッ～ンと根にもつタイプなの
ね	根	n	root (of a plant),root (of a tooth, hair, etc.), center (of a pimple, etc.),root (of all evil, etc.), source, origin, cause, basis,one's true nature,(fishing) reef	Oh yeah, you might regret it. I'm the type who takes things personal.	そう、きっと後悔するかもよ。私、ズガッ～ンと根にもつタイプなの
もつ	持つ	v5t	to hold (in one's hand), to take, to carry,to possess, to have, to own,to maintain, to keep,to last, to be durable, to keep, to survive,to take charge of, to be in charge of	Oh yeah, you might regret it. I'm the type who takes things personal.	そう、きっと後悔するかもよ。私、ズガッ～ンと根にもつタイプなの
タイプ		n, vs	type, kind, sort, style,type (of person), (ideal) type, one's type,typewriter,typing	Oh yeah, you might regret it. I'm the type who takes things personal.	そう、きっと後悔するかもよ。私、ズガッ～ンと根にもつタイプなの
うで	腕	n	arm,skill, efforts, ability	Okay, then I'll put a little extra effort in and make it with a BANG.	うん、じゃ、腕によりをかけてドッカ～ンと制作するわ
かける	掛ける	suf, v1	to hang up (e.g. a picture on the wall), to let hang, to suspend (from), to hoist (e.g. sail), to raise (e.g. flag),to put on (e.g. a blanket), to put on top of, to cover,to put on (glasses, etc.), to wear (a necklace, etc.),to make (a call),to spend (time, money), to expend, to use,to pour (liquid) onto, to sprinkle (powder or spices) onto, to splash, to throw (e.g. water) onto somebody,to turn on (an engine, radio, etc.), to set (a dial, an alarm clock, etc.), to put on (a DVD, a song, etc.),to cause (somebody inconvenience, trouble, etc.), to burden (someone), to impose,to multiply (arithmetic operation),to secure (e.g. lock),to take a seat, to sit, to rest (something on something else), to support (something on something else),to bind,to wager, to bet, to risk, to stake, to gamble,to put an effect (spell, anaesthetic, etc.) on,to hold (a play, festival, etc.),to hold an emotion for (pity, hope, etc.),to argue (in court), to deliberate (in a meeting), to present (e.g. idea to a conference, etc.),to increase further,to catch (in a trap, etc.),to set atop,to erect (a makeshift building),to apply (insurance),to pun (on a word), to use (a word) as a pivot word, to play on words,to be partway doing ..., to begin (but not complete) ..., to be about to ...,to address (someone), to direct (something, to someone), to do (something, to someone)	Okay, then I'll put a little extra effort in and make it with a BANG.	うん、じゃ、腕によりをかけてドッカ～ンと制作するわ
せいさく	制作	n, vs	work (film, book),production, creation, turning (something) out, development	Okay, then I'll put a little extra effort in and make it with a BANG.	うん、じゃ、腕によりをかけてドッカ～ンと制作するわ
もうすぐ	もう直ぐ	exp, adv	soon, shortly, before long, nearly, almost	We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
えき	駅	n	railway station, train station,staging post on a highway (in pre-modern Japan)	We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
つく	着く	v5k, vi	to arrive at, to reach,to sit on, to sit at (e.g. the table)	We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
いっぱい	一杯	n-suf, n-adv	amount necessary to fill a container (e.g. cupful, spoonful, etc.), drink (usu. alcoholic),full,one squid, octopus, crab, etc., one boat,fully, to capacity,a lot, much,all of ..., the entire ...	We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
はなせる	話せる	v1, vi	to be able to speak, to be able to talk,to be understanding, to be sensible	We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
もえる	燃える	v1, vi	to burn, to get fired up	We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
せん	線	n, n-suf	line, stripe, stria,line (e.g. telephone line), wire,ray (e.g. X-ray), beam,line (e.g. of a railroad), track, route, lane,outline, contours, form,level,division,line (of action), position, approach, policy, principle,impression one leaves, air one gives off	We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
ひ	火	n, n-suf	fire, flame, blaze	We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
うわさ	噂	n, vs, adj-no	rumour, rumor, report, hearsay, gossip, common talk	Speak of the devil…	噂をすれば、ね
ひかり	光	n	light,illumination, ray, beam, gleam, glow,happiness, hope,influence, power,vision, eyesight	That light means that we're in the ID Security Check area.	この光がＩＤ検知エリア通過のサインなの
アイディー	ＩＤ	n	identification, ID, identity	That light means that we're in the ID Security Check area.	この光がＩＤ検知エリア通過のサインなの
けんち	検知	n, vs	detection	That light means that we're in the ID Security Check area.	この光がＩＤ検知エリア通過のサインなの
エリア		n	area	That light means that we're in the ID Security Check area.	この光がＩＤ検知エリア通過のサインなの
