すれちがう	すれ違う	v5u, vi	to pass by one another,to miss meeting each other, to miss each other,to disagree	I just passed a guy in a black cape back there.	少し前にすれちがった黒マントのヤツがよ
あつめ	集め	n, suf	collecting, assembling	When I grow up, I'm gonna travel the world collecting glowing stones!	大きくなったら世界中の光る石を集めに行くんだ！
くらう	食らう	v5u, vt	to eat, to drink, to wolf, to knock back,to receive (e.g. a blow),to be on the receiving end (of something undesirable), to undergo (trouble)	To hell with the Mako reactor!	魔晄炉なんて、クソくらえじゃ！
ながいき	長生き	n, vs	longevity, long life	I don't want to die, but who can stop Meteor?	もう少し長生きしたかったのにメテオが降ってくるとはな……
こらしめる	懲らしめる	v1, vt	to chastise, to punish, to discipline	Isn't anyone brave enough to stick it to Shinra?	だれか神羅をこらしめてくれる勇気のある者はおらんかの？
は	派	n, n-suf	clique, faction, school	Shinra blamed the accident on the people. Said it was done by a rebel faction.	神羅はその事故の責任をコレル村のオレたちに押しつけた。反対派のしわざだと言ってな
さんせい	賛成	n, vs, adj-no	approval, agreement, support, favour, favor	Never should've gone along with the building of the reactor…	オレさえ魔晄炉に賛成しなければ……
にょうぼう	女房	n	wife (esp. one's own wife),court lady, female court attache, woman who served at the imperial palace,woman (esp. as a love interest)	Not only did they take advantage of me… But I lost my wife, Myrna, too…	あまい言葉にのせられたあげく女房を……ミーナを失い……
ダイン		n	dyne	Dyne was my best friend. We were close ever since we were kids…	ダインは親友だったぜ。ガキのころからのよう……
ふこう	不幸	n	unhappiness, sorrow, misfortune, disaster, accident,death (usu. of a relative), bereavement	Everything Shinra does seems to make everyone miserable…	神羅のやることはみんな不幸にしてしまうのね…
どうじょう	同情	n, vs	sympathy, compassion, feeling pity for	I'm not sympathizing with BARRET! He never should have trusted Shinra, Inc.	アタシはBARRETに同情なんてしないよ！神羅を信じたのが悪いのさ
ぽ	葡	n, n-pref, n-suf	Portugal	The Gold Saucer reopened. Why don't you go play hard and clear your heads as well as your pockets?	ゴールドソーサーが再開したよ。こんな時だからこそ、遊んで頭もサイフもカラッポにしたらどうだい？
ありがね	有り金	n	money on hand	I'm gonna use all my life savings before Meteor hits!	メテオが落ちる前にゴールドソーサーで有り金を全部使ってやるぜ！
ほこる	誇る	v5r, vi	to boast of, to be proud of	It may be dusty and poor,	ほこりっぽくて
のどか	長閑	adj-na	tranquil, calm, quiet, peaceful	but it's calm…	のどかで、まずしくて……
ちっぽけ	小っぽけ	adj-na	very small, tiny	It's a real small town.	そんなちっぽけな村だった。
そんちょう	村長	n	village headman, village mayor	Village Headman	村長
いのちがけ	命がけ	n, adj-no	putting one's life on the line, staking one's life (on), risking one's life, life and death situation	The coal's been ours for generations. Our fathers, and theirs before them, risked their lives for it.	コレルの炭坑は、俺たちのじいさんたち、おやじたちが命がけで守ってきたものだ
せきたん	石炭	n	coal	But listen, Dyne. No one uses coal nowadays. It's the sign of the times.	でもよ、ダイン。今の時代、石炭なんて誰も使わない。時代にはさからえないんだ
あかつき	暁	n	dawn, daybreak,event (e.g. "in the event of ..."), occasion, occurrence	It'll be all right, Dyne. Shinra, Inc. will guarantee your livelihood once the Mako Reactor is completed.	だいじょうぶですよ、ダインさん。魔晄炉完成のあかつきには我々神羅カンパニーがみなさんの生活を保障します
できごと	出来事	n	incident, affair, happening, event	It happened when Dyne and I were out of town for a few days.	オレとダインが村を離れているほんのわずかな時間の出来事だった。
やきはらう	焼き払う	v5u, vt	to burn down (to the ground), to clear away by burning, to reduce to ashes, to burn off	Corel was burned down by the Shinra troops.	コレル村は神羅の軍によってやきはらわれてしまったんだ。
むらびと	村人	n	villager	All the townspeople…	大勢の村人たちも……
