うら	裏	n	opposite side, bottom, other side, side hidden from view, undersurface, reverse side,rear, back, behind,lining, inside,in the shadows, behind the scenes, offstage, behind one's back,more (to something than meets the eye), hidden side (e.g. of one's personality), unknown circumstances, different side,proof,opposite (of a prediction, common sense, etc.), contrary,inverse (of a hypothesis, etc.),bottom (of an inning), last half (of an inning)	Rear Tower (Pagoda)	裏の塔
こまめ	小まめ	adj-na	taking care, working well,frequent	Once on the World Map you can access the menu to save your game anywhere. It's a good idea to save frequently!	ワールドマップではメニューを開けばどこでもセーブできるからセーブはこまめにとったほうがいいよ
そうかい	総会	n	general meeting	Is that so? Well, that's that. Have a nice trip.	そうかい？　それは残念。それじゃ、よい旅を
いいかげん	いい加減	adv	irresponsible, perfunctory, careless,lukewarm, half-baked, halfhearted, vague,reasonable, moderate,considerably, quite, rather, pretty	Damn!!	……いいかげんに、しろっ！！
てんじる	転じる	v1, vi	to turn, to shift, to alter, to distract	…don't mess with me!!	……なめてんじゃねぇっ！！
ゆうじん	友人	n	friend	Huh? You're looking for your friend? You want to know where the Lifestream is?	え？　友人をさがしてる？ライフストリームはどこかって？
ストリーム		n	stream	Huh? You're looking for your friend? You want to know where the Lifestream is?	え？　友人をさがしてる？ライフストリームはどこかって？
おぼえ	覚え	n	memory, sense, experience	When I traveled to the Southern islands, a doctor was very kind to me. I seem to recall him telling me something about the Lifestream…	【南の島】に旅行に言った時ある医者に世話になったんだけどその時に医者からそんな言葉を聞いたような覚えがあるけど……
ぐん	軍	n, n-suf	army, force, troops	Hey, listen to me! The Shinra troops are on the move.	あっ、聞いてくれよ！神羅軍の動きが活発になってきたんだ
かっぱつ	活発	adj-na, n	lively, active, vigorous, animated, brisk	Hey, listen to me! The Shinra troops are on the move.	あっ、聞いてくれよ！神羅軍の動きが活発になってきたんだ
うちたてる	打ち立てる	v1, vt	to establish, to formulate	The TV news said Rufus came up with two plans. One, is to launch a rocket into space containing Huge Materia…	テレビによると、ルーファスは２つの作戦を打ち立てたらしいね。なんでもその１つはヒュージマテリアを集めて、ロケットで宇宙に飛ばすとか……
とばす	飛ばす	aux-v, v5s	to let fly, to make fly, to send flying, to blow off (e.g. in the wind), to launch, to fire, to hurl, to shoot,to skip over, to leave out, to omit, to drop (e.g. a stitch),to run fast, to drive fast, to gallop,to spray, to splash, to spatter,to say without reservation, to call out (e.g. a jeer), to rattle of (e.g. a joke),to spread (e.g. a rumour), to circulate, to send out (a message), to issue (e.g. an appeal),to transfer (to a less important post), to send away (e.g. to a provincial branch), to demote,to dispatch quickly (e.g. a reporter),to get rid of, to burn off (alcohol),to attack (e.g. with a leg manoeuvre),to do vigorously, to do roughly, to do energetically	The TV news said Rufus came up with two plans. One, is to launch a rocket into space containing Huge Materia…	テレビによると、ルーファスは２つの作戦を打ち立てたらしいね。なんでもその１つはヒュージマテリアを集めて、ロケットで宇宙に飛ばすとか……
クレーター		n	crater	Sephiroth put up a huge barrier around the North Crater.	北のクレーターにセフィロスは巨大なバリアをはったんだ
はる	張る	v5r, vt	to stick, to paste, to affix,to stretch, to spread, to strain, to tighten, to put up (tent),to form (e.g. ice on a pond),to fill, to swell,to stick out, to put, to slap,to be expensive,to keep a watch on, to be on the lookout,to become one tile away from completion,to span, to generate	Sephiroth put up a huge barrier around the North Crater.	北のクレーターにセフィロスは巨大なバリアをはったんだ
ぶちこわす	ぶち壊す	v5s, vt	to destroy, to crush, to break by striking, to wreck,to spoil, to ruin	Rufus wants to use a mammoth cannon to smash the barrier.	ルーファスは、あの大砲でそれをぶち壊す計画なんだ
ちょくせつ	直接	adj-na, n-adv, adj-no	direct, immediate, personal, firsthand	He plans to have Shinra troops rush in and attack Sephiroth after the barrier falls.	バリアがなくなったスキに神羅軍でセフィロスを直接攻撃するつもりなのさ
こうき	好機	n	good opportunity, chance	So now's the time to defeat Sephiroth.	じゃあ今こそが、セフィロスを倒す好機なわけだ
うおうさおう	右往左往	n, vs, adj-no	moving about in confusion, going every which way, going this way and that	But with Rufus dead, the Shinra troops don't know what to do. Heidegger and Scarlet don't have what it takes to lead the troops.	でも、ルーファスが死んでしまったから神羅軍は右往左往するばかり。ハイデッカーやスカーレットじゃ神羅をまとめるには力不足だし……
ちからぶそく	力不足	n, adj-no, adj-na	lack of ability, inadequacy, (being) out of one's depth	But with Rufus dead, the Shinra troops don't know what to do. Heidegger and Scarlet don't have what it takes to lead the troops.	でも、ルーファスが死んでしまったから神羅軍は右往左往するばかり。ハイデッカーやスカーレットじゃ神羅をまとめるには力不足だし……
おとうさん	お父さん	n	father, dad, papa, pa, pop, daddy, dada,husband	My old man was a miner, but he couldn't go to work after monsters started appearing in the Mythril Mines.	ボクのお父さん、炭鉱夫なんだけどミスリルの鉱山にモンスターがでてきて仕事ができなくなっちゃったんだ
すみ	炭	n	charcoal,charred remains	My old man was a miner, but he couldn't go to work after monsters started appearing in the Mythril Mines.	ボクのお父さん、炭鉱夫なんだけどミスリルの鉱山にモンスターがでてきて仕事ができなくなっちゃったんだ
こうふ	坑夫	n	miner	My old man was a miner, but he couldn't go to work after monsters started appearing in the Mythril Mines.	ボクのお父さん、炭鉱夫なんだけどミスリルの鉱山にモンスターがでてきて仕事ができなくなっちゃったんだ
げんじつ	現実	n	reality, actuality, hard fact	It's sad. Even though he's an adult, he just doesn't want to see the world as it really is. I dunno what to do.	いい大人のクセに、現実見えていないってのは、情けないよね。まいっちゃうなぁ、もう
にし	西	n	west	South of this town past the Mythril Mine and far to the west is a Shinra harbor called Junon.	この町の南にある【ミスリルマイン】を抜けてさらに西へ行くと【ジュノン】という神羅カンパニーの港があるの
みなと	港	n	harbour, harbor, port	South of this town past the Mythril Mine and far to the west is a Shinra harbor called Junon.	この町の南にある【ミスリルマイン】を抜けてさらに西へ行くと【ジュノン】という神羅カンパニーの港があるの
たてもの	建物	n	building	They say there's a reactor and many tall buildings there. I hope to see it someday.	そこにも魔晄炉があって大きな建物がたくさん建っているそうよ。ああ、行ってみたいわぁ
たつ	建つ	v5t, vi	to be erected, to be built	They say there's a reactor and many tall buildings there. I hope to see it someday.	そこにも魔晄炉があって大きな建物がたくさん建っているそうよ。ああ、行ってみたいわぁ
わへい	和平	n, vs	peace	The world's at peace… all's well.	すべて、世は事もなし……、っと。和平じゃのう
ごはん	ご飯	n	cooked rice,meal	I got my health, and enough to eat… all's well.	今日も元気だ、ごはんがうまい……、っと。和平じゃのう
さまがわり	様変わり	n, vs	changing completely, transformation	The world's changed a lot in the past few days…	この数日で、この世界は大きく様変わりしてしまった……
てんくう	天空	n	sky, air, ether, firmament, the heavens	That huge Meteor is covering up the sky and acting like it owned it.	天空をおおうメテオ……我が物顔でかっぽする巨大なモンスター……
わがものがお	我が物顔	adj-na, n	looking or acting as if one owned the place	That huge Meteor is covering up the sky and acting like it owned it.	天空をおおうメテオ……我が物顔でかっぽする巨大なモンスター……
かっぽ	闊歩	n, vs	striding, swaggering, strutting,lording it over others, acting as though one owns the place, throwing one's weight around	That huge Meteor is covering up the sky and acting like it owned it.	天空をおおうメテオ……我が物顔でかっぽする巨大なモンスター……
いふく	衣服	n	clothes	I'm goin' on a journey to pray for their souls.	ワシは、死んでしまった友人たちのめいふくをいのる旅に出ようと思う
いのる	祈る	v5r, vt	to pray, to wish	I'm goin' on a journey to pray for their souls.	ワシは、死んでしまった友人たちのめいふくをいのる旅に出ようと思う
ぼつ	没	pref	death,rejection (of a manuscript, etc.),lacking, without	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
ふね	船	n-suf, ctr	ship, boat, watercraft, vessel, steamship,tank, tub, vat, trough,counter for boat-shaped containers (e.g. of sashimi)	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
めい	姪	n	niece	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
さかい	境	n	border, boundary,turning point, watershed,area, region, spot, space, environment,psychological state, mental state,cognitive object, something perceptible by the sense organs or mind	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
ガイドブック		n	guidebook	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
すな	砂	n	sand, grit,gold dust, silver dust	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
はく	博	n-suf	doctor, PhD,exposition, fair, exhibition	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
デザート		n	dessert,desert	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
ローズ		n	rose	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
おだやか	穏やか	adj-na, n	calm, gentle, quiet	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
アース		n	earth, (electrical) ground	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
ハープ		n	harp,harmonica	A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
すいちゅう	水中	n, adj-no	underwater	OH! It's "Guidebook"! Wanna trade it for this Underwater Materia?	おお、それは【ガイドブック】！ワシの持っている【水中呼吸マテリア】と交換せぬか？
こきゅう	呼吸	n	breathing, respiration,knack, trick, secret (of doing something),harmony, balance, synchronization, accord,short interval, short pause	OH! It's "Guidebook"! Wanna trade it for this Underwater Materia?	おお、それは【ガイドブック】！ワシの持っている【水中呼吸マテリア】と交換せぬか？
ペット		n	pet,trumpet	OH! It's "Desert Rose"! Wanna trade it for that Chocobo over there?	おお、それは【デザートローズ】！ワシのペットの【チョコボ】と交換せぬか？
せいりつ	成立	n, vs	formation, establishment, materialization, coming into existence,conclusion (e.g. of a deal), approval, completion, arrangement,being valid (of a theory, argument, etc.), holding, applying	Ok then, it's a done deal!	よし、交換成立じゃな
せんすい	潜水	n, vs	diving, submerging, going underwater	it's Underwater Materia. Go on, it's yours!	【潜水マテリア】じゃ。持っていってくれ
とむらう	弔う	v5u, vt	to mourn for, to condole with (family, etc.),to hold a memorial service (for)	I guess it's time to go on a journey for the souls of my departed friends…	では、ワシはとむらいの旅に行くとするか……
チョコ		n	chocolate	Looks like my Stable's full. I'll come back when I have room.	『チョコぼう』がいっぱいだな。空きをつくってから連れていくことにしよう
