Old man's house	オヤジ小屋
I wonder what he's doing there?”	なんでいるんじゃろうのぉ」
Chocobo Sage	チョコボせんにん
“Can't remember for the life of me…”	「思い出せんのぉ…」
Chocobo Sage	チョコボせんにん
“Oh, oh yeah!	「おお、思い出したぞ！
That Chocobo…”	あのチョコボはのぉ」
“…was bred from a	「生まれたんじゃ。
Great Chocobo' and a	『すごくいいチョコボ』か
Good Chocobo'.”	『いい感じのチョコボ』にのぉ」
“If you give them "Carob Nuts"	「『カラブの実』を使って
during breeding, there's a chance	タマゴを生ませると
you'll get one of these Chocobos.”	生まれる時があるんじゃ」
CLOUD	CLOUD
“So where's this Chocobo?”	「それで、そのチョコボは
“So where can I get some	どこにいるんだ？」
of these 'Carob Nuts'?”	「それと、その『カラブの実』は
	どこで手に入る？」
TIFA	TIFA
“So where can I	「それで、そのチョコボは
find those Chocobos?”	どこに行けば捕まえられるの？」
“…And what about those 'Carob Nuts'?”	「それと、その『カラブの実』って
	どこに行けば手にはいるの？」
CID	CID
“So where is this Chocobo?”	「で、そのチョコボは
“And what about	どこにいるんだよ」
those nut things?”	「それと、その実ってのは
	どこにあるんだ？」
Chocobo Sage	チョコボせんにん
“Huh? Where?	「はぁ？　どこで？
Where was that?”	どこじゃったかのぉ」
“And what was	「それに、実って
that nut?”	なんじゃったかのぉ？」
Chocobo Sage	チョコボせんにん
“Oh, OK. I remember!	「おお、思い出したぞ！
That Chocobo…”	あのチョコボはのぉ」
“…Is on an island southeast of here,	「こっから、ずぅっ～と南東に
In a place called Mideel	ある島か。緑にかこまれたコレル
surrounded by greenery.”	じゃったかのぉ」
“You should be able to catch one	「そこと、コレルから西の方で
just west of Mideel. And some	捕まえられるんじゃ。
Carob Nuts', too.”	それと『カラブの実』はのぉ」
“There used to be some monsters	「こっから南におる
just south of here that	モンスターがよくもっとるぞ。
had them. Or you might…”	さらにじゃなぁ」
“…	「……………。
Funny…I forgot	おかしいのぉ
What I was saying just now.”	何、言おうとしたのかのぉ」
Chocobo Sage	チョコボせんにん
“Oh right!”	「おお、思い出したぞ！」
“It was about the Mountain Chocobo	「こないだ
and the River Chocobo	教えた『山チョコボ』と
I told you about.”	『川チョコボ』じゃがなぁ」
“When you mate these two	「この２つのチョコボになぁ
together…”	タマゴを生ませると
“…You get one that can	「山も川も越えられる
cross rivers AND mountains.”	チョコボになるんじゃ」
“And…	「さらにじゃなぁ…
And…uh, what was I saying?”	さらに……なんじゃろうのぉ」
Chocobo Sage	チョコボせんにん
“Oh, yeah!	「おお、思い出したぞ！
And also…”	さらにじゃなぁ」
“There's one that	「海もわたれるチョコボも
can cross oceans, too!”	おるんじゃ」
CLOUD	CLOUD
“You probably	「また、忘れてるとは思うが……」
don't remember but…”	「そのチョコボはどうやって
“How can I get one of	手に入れるんだ？」
those Chocobos?”	
TIFA	TIFA
“You probably forgot	「どうせ
already but…	また忘れてると思うけど……」
“How can I get one of	「その、チョコボは
those Chocobos?”	どうすれば、手に入るの？」
CID	CID
“Great! I know you	「ケッ！　どうせまた
probably already forgot but,”	忘れてるんだろうけどよ」
“Where can I get one	「その、チョコボはどこに
of those Chocobos?”	行きゃあ手に入れられるんでぇ」
Chocobo Sage	チョコボせんにん
“Hey, don't talk like that!	「バカにするでないぞ！
To get an Ocean-crossing Chocobo, you just…”	海を渡れるチョコボはのぉ」
Chocobo Sage	チョコボせんにん
“Let's see now…	「なんじゃったかのぉ…
…Nope. Don't remember a thing.”	ぜんぜん思い出せんのぉ」
Chocobo Sage	チョコボせんにん
“Oh, I remember!	「おお、思い出したぞ！
The Ocean-crossing Chocobo is…”	海を渡れるチョコボはのぉ」
“The Mountain-and-River-crossing	「山と川を渡れるチョコボにのぉ
Chocobo is…uh…	………………。
Oh, what was I saying?”	なんじゃったかのぉ」
Chocobo Sage	チョコボせんにん
“Right, right! I remember! You take	「おお、思い出したぞ！
the Mountain-and-River-crossing Chocobo…”	山と川を渡れるチョコボにのぉ」
“Mate it with a 'Wonderful Chocobo'	「このスグそばで取れる
you can catch right around here…	それはいいチョコボと
And you'll get…”	タマゴを生ませるとのぉ」
“A chocobo that can cross	「海を渡れるチョコボが
the ocean will be born.	生まれるんじゃ。
Oh, but for that to happen...”	おおっ、それにのぉ」
“You’ll need a certain type	「『実』が必要じゃ
of nut. Just what type was	はて、なんの
it again...”	『実』じゃったかのぉ」
Chocobo Sage	チョコボせんにん
“Oh, right!	「おお、思い出したぞ！
You'll need a…”	その実はのぉ」
“'Zeio Nut'.	「『ゼイオの実』じゃ
Now let me see,	『ゼイオの実』はのぉ
as I remember, the Zeio Nut…”	たしか……」
“Where was it you could	「どこで手に入ったかのぉ」
find those things?”	
Chocobo Sage	チョコボせんにん
“Oh yeah!	「おお、思い出したぞ！
Zeio Nuts…”	『ゼイオの実』はのぉ
“Are the favorite of goblins.	「ゴブリンの好物じゃ。
There's a small island east of here	ここから東の小島におる
where the goblins have a bunch of them.”	ゴブリンがもっておるわ」
Chocobo Sage	チョコボせんにん
“I think…”	「もう、たぶん」
“…that's all	「教えられることは
I'm gonna remember.”	ないと思うのぉ」
Chocobo Sage	チョコボせんにん
“Oh!”	「おお！」
“That's it…”	「なんにもないのぉ…」
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Enemy Skill" Materia!	『てきのわざ』のマテリアを手にいれた！
Materia Cave	マテリアの洞窟
“Over the course of many years,	「長い年月を経て
Mako energy will crystallize into	魔晄エネルギーがマテリアの
Materia…”	結晶になっている……」
Received "Mime" Materia!	『ものまね』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Materia Cave	マテリアの洞窟
“Over the course of many years,	「長い年月を経て
Mako energy crystallizes into	魔晄エネルギーがマテリアの
Materia…”	結晶になっている……」
Received "HP<->MP"!	『ＨＰＭＰいれかえ』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Materia Cave	マテリアの洞窟
“Over the course of many years,	「長い年月を経て
Mako energy crystallizes into	魔晄エネルギーがマテリアの
Materia…”	結晶になっている……」
Received "Quadra Magic" Materia!	『まほうみだれうち』のマテリアを手にいれた！
You cannot take on more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Materia Cave	マテリアの洞窟
“Over the course of many years,	「長い年月を経て
Mako energy crystallizes into	魔晄エネルギーがマテリアの
Materia…”	結晶になっている……」
Received "Knights of the Round" Materia!	『ナイツオブラウンド』のマテリアを手にいれた！
You cannot take on more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
“Not even a Chocobo could make it across.	「ここはチョコボでも渡れないか…
Isn't there a more powerful vehicle?”	もっとパワーのある乗り物なら…？」
How to ride a Chocobo	チョコボの移動
Buggy's can cross shallow rivers and deserts	「バギーは、【川のあさい部分】や【サバク】を
	移動することができます。」
“You can even enter costa del sol and Junon by Buggy	「コスタ・デル・ソルやジュノンには
by hitching a ride on the cargo ship”	バギーに乗ったまま入ることができ、
	【運搬船】で運ぶことができます。」
“How to fly the tiny bronco.”	「タイニー・ブロンコの移動」
press the [Circle] button to get on	【決定ボタン】乗る
press the [Cancel] button to get off	【キャンセルボタン】降りる
Tiny bronco can cross shallow waters and rivers	タイニー・ブロンコは、「あさせ」を移動できます。
players can get on and off at the beach	[NOT FOUND]
How to drive the submarine	潜水艦の移動
Press the [Circle] button to get on or move forward	【決定ボタン】乗る・前進
press the [Cancel] button to get off	【キャンセルボタン】降りる・潜行＆浮上
Players can get on and off at bays like this one	このような「入りえ」でプレイヤーの乗り降りができます。
What the?	「な、なんだ！？」
“What're you tryin to do? Break the Highwind?	「お、おい！ハイウインドを壊す気か？
Let's fight on the ground”	地上で迎え撃とうぜ！！」
“What energy!	「ちくしょう、なんてエネルギーだ！
Damn you think I'm just gonna give up?”	クソツ！あきらめてたまるかってんだ！」
“What the hell was that!	「な、なんだ今のは！？
That came Buzzin past here like a powerhorse”	スゲエ勢いではしかれたぜ！」
