“She's always there	「あら、こんにちわ。
somewhere safe!”	連れていってあげる！」
Doctor	ドクター
“No! The structure can't take it!! *	「いかん！　家がもたんぞ！！
Hurry!”	急ぎたまえ！」
TIFA	TIFA
“Yes!”	「はい！」
TIFA	TIFA
“Ready CLOUD?	「いい、CLOUD……？
We're leaving now!!”	行くわよ！！」
“Well anyhow…	「ま、それはそれとして……
Hey, you all look terrible.	あなたたちも、顔色わるいわね。
Why don't you get some rest?”	すこしここで休んでいきなさい」
“OK! Perfect!	「オッケー、バッチリよ！
Well then, take care.”	それじゃ、気をつけてね」
CID	CID
“Damn!!	「ちくしょー！！
That &%$^%$ Weapon!!”	ウェポンの野郎めが！！」
“Of all the times to show up!”	「よりによって、こんな時に
	あらわれやがって……！」
CID	CID
“OK then, come on!!	「さあ、来やがれ！
You &$^%$!”	こんちくしょーめ！！」
CID	CID
“You &^$#&$#  !	「ちくしょーめ！
You tryin' to escape?”	逃げるってのかよ」
BARRET	BARRET
“Damn, man. Just a little bit more	「チクショー。あともうちっとで
an' I woudda smashed him…”	あいつをぶっつぶせたのに……」
BARRET	BARRET
“Looks like the Lifestream's	「ライフストリームの方も
settled down now too.”	どうやらおさまったみたいだな」
RED XIII	RED XIII
“Just a little more and I	「ちぇ、あともうすこしで
would have beaten him.”	やっつけられるとこだったのに」
RED XIII	RED XIII
“It looks like the Lifestream	「ライフストリームの方も
has settled as well.”	おさまったみたいだね」
CAIT SITH	CAIT SITH
“No matter how many lives I get,	「こんなん、命がなんぼあっても
it ain't enough!”	たらんわ」
CAIT SITH	CAIT SITH
“Looks like the Lifestream's back under	「なんとか、ライフストリームも
control, too.”	おさまったようですな」
YUFFIE	YUFFIE
“I swear, next time,	「あいつ、いつか絶対
that guy's dead meat!”	ぶっとばしてやるからなあ！」
YUFFIE	YUFFIE
“Well at least the Lifestream's	「ライフストリームの方も
back to normal.”	なんとかおさまったみたいだね」
VINCENT	VINCENT
“Hmm…	「ふん……。
Looks like escape is its best skill.”	逃げ足だけは、たっしゃらしいな」
VINCENT	VINCENT
“And the Lifestream	「ライフストリームの方も
also appears to be normal.”	おさまったようだな」
CID	CID
“…!?”	「……！？」
CID	CID
“Damn, you gotta be kiddin'!!”	「ち、まさか……！！」
CID	CID
“Th, this's bad!	「こ、こりゃ、やべえ……！
The main stream is kickin' up!!”	ストリーム本流の吹き上げか！？」
“Somethin' way bigger than that	「さっきまでのヤツなんか
last one is on its way!!”	くらべもんにならねえくらい
	どでかいのが来るぞ！！」
CID	CID
“No good!!	「ダメだ！！
Get outta here!!”	逃げろッ……！！」
RED XIII	RED XIII
“But what about	「でも、TIFAと
TIFA and CLOUD!?”	CLOUDが……！？」
CAIT SITH	CAIT SITH
“But what about	「そんでも、CLOUDさんたちが……！？」
CLOUD and the others?”	
YUFFIE	YUFFIE
“But what about TIFA	「でも、TIFAと
and CLOUD!?”	CLOUDが……！？」
CID	CID
“Goddammit!!	「バカ野郎！！
Don't have time to worry about anyone	ひとのこと心配してる場合か！？
other than yourself!	いつストリームが吹き出すか……」
Don't know when that stream'll blow…”	
CID	CID
“Whoa!!”	「うわっ！！」
CID	CID
“There's no time, hurry!!”	「時間がない、急げっ！！」
CID	CID
“TIFA!! CLOUD!!	「TIFA！！　CLOUD！！
Get outta here!!”	逃げろおおおっ！！」
	
TIFA	TIFA
“Wh, where am I?*	「こ、ここは……？
What's happening? I…”	どうなったの、私……？」
TIFA	TIFA
“Where's CLOUD?	「CLOUDは……！？
CLOUD, where are you!?”	CLOUDは、どこ！？」
TIFA	TIFA
“Huh…what?	「え……なに……？
Who…?”	だれ……？」
TIFA	TIFA
“Who is it?	「だれなの……？
I can't hear…”	聞こえないよ……」
TIFA	TIFA
“Wait a minute!	「ちょっと、待って……！
I know nothing about that!”	私、そんなの、知らない！」
TIFA	TIFA
“No! It's not me!	「ちがう、私じゃないよ……！
I'd never do anything like that!!”	私、そんなこと、しない！！」
TIFA	TIFA
“No! Stop it!!	「いやッ、やめて……！！
Stay back!”	なかに入って来ないで！！」
TIFA	TIFA
“Somebody…help!	「だれか、助けて……！
Please!!”	おねがい……！！」
TIFA	TIFA
“CLOUD,help me!!”	「助けて、CLOUDッ！！」
TIFA	TIFA
“Eyaaaaghh!!”	「いやあああああッ……！！」
TIFA	TIFA
“…	「………。
Where am I?”	ここは……？」
TIFA	TIFA
“CLOUD!?”	「CLOUD！？」
TIFA	TIFA
“What is it, CLOUD?	「どうしたの、CLOUD……！？
What is this?”	いったい、これは……！？」
TIFA	TIFA
“You're searching, aren't you	「さがしてるのね？
CLOUD?	CLOUD……自分を……」
Searching…for yourself…”	
“Is this the inside of your dreams?	「ここは、あなたの夢のなか……？
Or is it…	……それとも……
your…subconscious?”	あなたの……意識なの……？」
TIFA	TIFA
“I can help, too.	「……手伝うよ、私も。
We'll work together to try	本当のあなたをとりもどすため
and get the real you back!”	いっしょに、がんばろ！」
TIFA	TIFA
“But…	「でも……
Where do we start?”	どうすれば……？」
TIFA	TIFA
“It connects…	「通じているの……
to Nibelheim?”	ニブルヘイムに……？」
TIFA	TIFA
“That's right…It's probably	「そうね……。たしかに
best to start from there…”	そこからはじめるのが
	一番なのかもしれない……」
TIFA	TIFA
“Let's go have a look, CLOUD.	「行ってみましょう、CLOUD。
I know it's not easy…	つらいかもしれないけど……。
I'll be here for you…”	私がついてるから……」
“The gates of Nibelheim…	「ニブルヘイムの門……
Five years ago, Sephiroth	５年前、セフィロスとともに
passed through these gates…”	この門をくぐり……」
“And…	「そうして……
That's how it all started…”	すべてがはじまった……」
“That starry night at the well…	「星空の給水塔……。
The promise we made then…	あの夜のふたりの約束も……
What if that memory was all a lie?”	いつわりの記憶でしかないとしたら？」
“…A sealed up	「………ふうじこめられた
secret…wish…”	ひそかな……ねがい……」
“Tender feelings…	「大切な想いは……
that no one can ever know…”	だれにも知られることなく……」
“If I could just get stronger…	「『強くなりさえすれば……
Then even TIFA would	TIFAだって、俺のこと
have to notice me…”	認めてくれると……』」
TIFA	TIFA
“So that was it?”	「そうだったの……、CLOUD」
TIFA	TIFA
“Sorry, CLOUD.”	「ゴメンね、CLOUD」
“If I had only remembered	「あの時のこと
more clearly what happened,	私がちゃんとおぼえていれば
I could have done something sooner…”	もっと早くに……」
“It's not your fault, TIFA.”	「TIFAのせいじゃないよ。
	俺のせいだ」
TIFA	TIFA
“But, I remember back	「でも、あれは、たしか……
when we were eight!”	私たちが８才の時よね！」
TIFA	TIFA
“That's it! Now I know!”	「そうよ！　見つけたわ！」
TIFA	TIFA
“You weren't created five	「CLOUDは、５年前に
years ago.”	創られたんじゃない」
“My childhood memories	「幼い日の、その思い出は
weren't all made up!”	つくりものなんかじゃないもの！」
TIFA	TIFA
“Hang in there CLOUD!	「CLOUD、がんばって！
Just a little longer!	あとすこしよ！
You've almost found the real you!”	本当のあなたを、つかまえるの！」
TIFA	TIFA
“Let's go back to	「行きましょう、もう一度
Nibelheim again!”	ニブルヘイムへ……！」
“The truth is right there.	「真実は、すぐそこにある。
We almost have the answer right in	もうすぐ答えが、手に入る……」
the palm of our hands.”	
TIFA	TIFA
“There's nothing…	「私には……
I can say.”	もう、なにも言えない……」
TIFA	TIFA
“You must find	「答えはあなたが、自分自身で
the answer yourself.”	見つけなきゃ……」
TIFA	TIFA
“If you can't,	「それが見つけられないと……
then…”	あなたは……」
TIFA	TIFA
“Take your time, CLOUD.	「急がないで、CLOUD。
Slowly…little by little, OK?”	ゆっくり……すこしずつでいいの。
“You mean that member of SOLDIER	ね？」
who came with Sephiroth	「セフィロスとともに
wasn't…CLOUD?”	ニブルヘイムに出向いたソルジャーは
	CLOUDでは……なかった……？」
“That starry night at the well…	「星空の給水塔……。
and our promises…What if	あの夜のふたりの約束も……
the memory was all just a lie?”	いつわりの記憶でしかないとしたら？」
TIFA	TIFA
“Don't hurry, CLOUD…	「あせっちゃダメ、CLOUD……。
Don't answer too quickly.”	答えをいそいで、自分を追いつめないで」
TIFA	TIFA
“Just keep checking all those small emotions	「たくさんの小さな想いをたしかめながら
and it'll come back…	もどって行けばいいのよ……。
Slowly…little by little…”	ゆっくり……すこしずつね……」
TIFA	TIFA
“Right…like the sky that night…	「そう……たとえば、あの夜空の
the heavens were filled with stars…”	満天の星たち……」
“…A sealed up	「………ふうじこめられた
secret…wish…”	ひそかな……ねがい……」
“Tender feelings…	「大切な想いは……
that no one can ever know…”	だれにも知られることなく……」
“A promise under a starry sky…	「星空の約束……。しかしそれさえも
But what if that was just a	TIFAの想いによってうみだされた
memory TIFA imagined?”	幻想なのだとしたら……？」
“…A sealed up	「………ふうじこめられた
secret…wish…”	ひそかな……ねがい……」
“Tender memories…	
no one can ever know.”	
	
“You mean that member of SOLDIER who came	「大切な想いは……
with Sephiroth to Nibelheim	だれにも知られることなく……」
wasn't CLOUD?”	「セフィロスとともに
	ニブルヘイムに出向いたソルジャーは
	CLOUDでは……なかった……」
	
TIFA	TIFA
“CLOUD, what about	「ねえ、CLOUD、それなら……
your other memories?”	ほかの記憶は？」
TIFA	TIFA
“No, not memories.”	「ううん、記憶じゃない」
“A memory is something that is	「記憶って、頭の中から
consciously recalled, right?”	無理矢理ひっぱりださなくちゃ
	ならないでしょ？」
“That's why sometimes it can be	「だから間違ってたり、カタチが
mistaken or wrong.”	変わっていたり……」
TIFA	TIFA
“It's different from a memory	「でも、胸の奥にねむる思い出は
locked deep within your heart.”	ちがうわ……」
“That's why it must be a fake.	「きっとそれは、にせものなんかじゃない。
If he could recall up that memory…”	もしそんな思い出を、よびさますことが
	できれば……」
TIFA	TIFA
“That's it! What about some memory	「そうだ！　なにかしら私に関係のある
that has to do with me?”	思い出は、どう？」
TIFA	TIFA
“If I say something, you can't remember it.”	「私がなにか言って、そのことを
	あなたが思い出すんじゃなくて……」
“But if you say something,	「CLOUDがなにか言って、もし私も
and I remember it, too…	そのことをおぼえていれば……
Then we'll know that's a memory.”	それが、あなたと私の思い出……」
TIFA	TIFA
“Talk to me.	「ねえ、なにか話して。
About anything,	なんでもいいから、あなたにとって
some important memory to you…”	大切な思い出を……」
TIFA	TIFA
“Now that you mention it, why did you	「そういえば、CLOUDはどうして
want to join SOLDIER in the first place?”	ソルジャーになりたいって考えたの？」
“I always thought it was a	「私には、あなたが突然決心したように
sudden decision.”	思えたんだけど……」
“…I was devastated.	「……悔しかった。
…I wanted to be noticed.”	……認めてほしかったんだ」
“I thought if I got stronger	「強くなれば
someone would notice.”	認めてもらえる、きっと……」
TIFA	TIFA
“Someone to notice you?	「認めてほしい……？
…Who?”	……誰に？」
“Who?	「『……誰に、だって？
You know who!*	……わかるだろ？
…You, that's who.”	……TIFAに……だよ』」
“You…”	「TIFAに……」
TIFA	TIFA
“Me? Why!?”	「……私？　どうして！？」
“TIFA…Did you forget…	「TIFA……忘れちゃったの……
about those days?”	あの時のこと？」
TIFA	TIFA
“Look…I…”	「あなたは……」
TIFA	TIFA
“I'm sorry…	「ごめんなさい……。
But what are you talking about?”	なんのこと、言ってるの？」
“No…it's all right.	「ううん……いいんだ。
You were having a hard time back then.”	TIFA、あの時は大変だったしね」
“You were so busy with your own things,	「自分のことで手一杯だったから
it's only natural	あの時のおれのことなんか
you don't remember me then.”	おぼえてなくて当たり前だよ」
TIFA	TIFA
“'Then'?”	「……あの時？」
“It's important to me…	「おれにとっては大切な……
I hate to say it, but	悔しかったけど……
it's a very important memory.”	すごく大切な思い出なんだ……」
“Do you want to see it?”	「……行ってみる？」
TIFA	TIFA
“Oh…wait!”	「あ……待って！」
“Come on, hurry.”	「さあ、はやく」
“Do you know where this window	「このまどがどこに通じているか
goes to, TIFA?”	わかる、TIFA？」
“Fine…I'll go.”	「それじゃ……行くよ」
TIFA	TIFA
“CLOUD.”	「CLOUD……」
“Then…this is goodbye, TIFA.	「それじゃ……さよならだ、TIFA。
Until we meet again…”	また会うために、ね……」
TIFA	TIFA
“…!?”	「……！？」
CLOUD	CLOUD
“Uh…* Ah, uh…”	「う……あ、あ……！」
TIFA	TIFA
“CLOUD!!”	「CLOUD！！」
CLOUD	CLOUD
“Uh…% TIFA…”	「う……。TIFA……」
TIFA	TIFA
“Oh, CLOUD!	「ああ、CLOUD……！
It's really you, isn't it?”	本当にCLOUDなんだね！」
CLOUD	CLOUD
“Yeah…TIFA…	「ああ……。TIFA……
We finally…meet again…”	やっとまた……会えたな……」
TIFA	TIFA
“You stupid jerk!!	「バカッ！！
You had us all worried sick!!”	みんなに心配かけて！！」
CLOUD	CLOUD
“Krgh!”	「くッ……！」
TIFA	TIFA
“CLOUD!?	「CLOUD！？
Are you all right!?”	だいじょうぶ！？」
CLOUD	CLOUD
“V, voice…their…”	「こ、声が……。ヤツらの……」
TIFA	TIFA
“I see. We're…	「そうか……。私たち……
in the Lifestream, aren't we?”	ライフストリームの中にいるんだね」
TIFA	TIFA
“Everyone's waiting.”	「みんな、待ってるよ」
“Let's go back, CLOUD.	「帰ろう、CLOUD。
Back to everyone…”	みんなのところへ……」
CLOUD	CLOUD
“Yeah, I guess so…	「ああ、そうだな……。
Come on, TIFA.	帰ろう、TIFA。一練に……」
Let's go home…”	
Nibelheim	ニブルヘイム
Sephiroth	セフィロス
“How does it feel?”	「どんな気分なんだ？」
Sephiroth	セフィロス
“It's your first time back to your hometown	「ひさしぶりの故郷なんだろ？」
in a long time‚right?”	
Sephiroth	セフィロス
“So how does it feel?”	「どんな気分がするものなんだ？」
“I wouldn't know because	「オレには故郷がないから
I don't have a hometown…”	わからないんだ……」
CLOUD	CLOUD
“Ummm…how 'bout your parents?”	「ええと……両親は？」
Sephiroth	セフィロス
“My mother is Jenova.	「母の名はジェノバ
She died right after she gave birth to me.”	オレを生んですぐに死んだ。」
My father…	父は……
Sephiroth	セフィロス
“What does it matter?”	「オレは何を話してるんだ……」
Sephiroth	セフィロス
“All right‚let's go.”	「さあ、行こうか」
Sephiroth	セフィロス
“The Mako smells pretty bad here.”	「魔晄のにおいがするな」
“Psst…	「ヒソヒソ……
(You keep wandering around here and you'll get	（ウロチョロしてるとしかられるぞ）」
in trouble.)”	
“It's so boring‚being on watch.”	「たいくつなんだよな、見張りって」
You want to do what we always do?	いつもの、やるか？
Just sit tight‚it's your job‚right?	ガマンガマン、仕事だろ？
CLOUD	CLOUD
“Shall we practice?”	「練習でもするか？」
CLOUD	CLOUD
“I'll come and talk to you once in a while.	「時々話しにくるからさ。
Just stick with it.”	ガマンしてろよ」
“Practice…	「練習……
oh‚you mean practice my pose.”	ああ、ポーズの練習か」
“Do members of SOLDIER always have	「ソルジャーは常に他人の目を
to worry about what others think?”	意識しなくちゃならないってか？」
“…How did it go?”	「……どうだっけ？」
“…Was it like this?”	「……こうか？」
CLOUD	CLOUD
“Good job!”	「うまくなったな！」
“I really don't want to be in SOLDIER.”	「俺、ソルジャーなんかに
	なりたくないんだよねえ」
TIFA	TIFA
“CLOUD…look.”	「ほら……CLOUD」
TIFA	TIFA
“Here's the well…”	「給水塔がある……」
TIFA	TIFA
“And that's Gramps' Inn, too.”	「おじいさんの宿屋もあるね」
TIFA	TIFA
“The only truck in town.	「村で１台きりのトラック。
It's been here since we were little kids, right?”	私たちが子供のころから
	ここにあったんだよね？」
TIFA	TIFA
“This is the Nibelheim you remember, right?”	「これがあなたの記憶の中の
	ニブルヘイムなのね？」
TIFA	TIFA
“It's the same as my Nibelheim.	「私のニブルヘイムと同じ。
That's why this is…our Nibelheim.”	だからここは……私たちのニブルヘイムだね」
TIFA	TIFA
“Five years ago…two men	「５年前……ここにふたりのソルジャーが
from SOLDIER came…”	やって来た……」
TIFA	TIFA
“Sephiroth and…	「セフィロスと……
a young and vibrant soldier.”	若くて陽気なソルジャー」
TIFA	TIFA
“Can you tell me again what happened?”	「その時のようす……
	もう一度教えて？」
TIFA	TIFA
“No, CLOUD.”	「ちがうの、CLOUD」
TIFA	TIFA
“I've been hiding it for some time,	「言葉にすると……恐ろしいことになりそうで
afraid that if I told you	ずっと隠してた」
…something terrible might happen.”	
TIFA	TIFA
“But, I'm not going to	「でも、今は隠さずに言うね」
hide anything anymore.”	
TIFA	TIFA
“You weren't here.	「あなたはいなかった。
CLOUD did not come to Nibelheim	CLOUD、５年前、あなたは
five years ago.”	ニブルヘイムには来なかったのよ」
TIFA	TIFA
“I…waited.	「私……待ってたのよ。
But, CLOUD…never came.”	でも、CLOUDは……来なかった」
TIFA	TIFA
“The two that were ordered here were	「あの時派遣されてきたのは
Sephiroth and another person…”	セフィロスともう１人……」
TIFA	TIFA
“Five Years ago…I saw the real	「５年前……私はこの時初めて
Sephiroth for the very first time.”	本物のセフィロスを見た」
TIFA	TIFA
“So this is…the Great Sephiroth?”	「この人が……英雄セフィロス」
TIFA	TIFA
“But to tell the truth,	「でもね、正直に言うと
I thought he was very cold.”	なんて冷たそうな人、って思ったの」
TIFA	TIFA
“I remember a foreboding about him.”	「イヤな予感がしたの、覚えてるわ」
Sephiroth	セフィロス
“This is your hometown, right?”	「故郷なんだろ？」
TIFA	TIFA
“From the beginning…OK?”	「最初から……ね？」
TIFA	TIFA
“Try and remember, CLOUD.”	「CLOUD、思い出して」
TIFA	TIFA
“…I was wearing these clothes.”	「そう、私、この服を着てた」
TIFA	TIFA
“That's you, too.	「あ……そうだったね。
You were so small then…”	CLOUD、背、低かったんだね」
TIFA	TIFA
“…and cute.”	「……かわいいねぇ」
TIFA	TIFA
“Sephiroth once said…”	「いつかセフィロスが言ってたけど……」
TIFA	TIFA
“CLOUD made up his memories	「CLOUDは私の話にあわせて
by listening to my stories…”	この記憶をつくりだしたって言ってたけど……」
TIFA	TIFA
“Did you imagine this sky?	「この星空は、CLOUDが自分で考えた……
No, you remembered it.”	ううん、思い出したのよ」
TIFA	TIFA
“That night the stars were gorgeous.	「星がとってもきれいな夜、CLOUDと私。
It was just CLOUD and I.	ふたり、給水塔でお話した……」
We talked at the well…”	
TIFA	TIFA
“He remembered our promise too…”	「約束だって覚えていた……」
TIFA	TIFA
“That's why I kept thinking you	「だから私は、どんなときでも
were the real CLOUD.”	あなたは本当のCLOUDだって思っていたの」
TIFA	TIFA
“I still believe you're	「私はあなたがニブルヘイムのCLOUDだって
the CLOUD from Nibelheim…”	信じてる……」
TIFA	TIFA
“But you don't believe in yourself…”	「でも、あなた自身は信じていない……」
TIFA	TIFA
“These memories aren't enough.”	「この記憶だけじゃ足りないよね」
TIFA	TIFA
“…I wonder if there's anything	「あの山の向こう
beyond that mountain?”	……何があるのかな？」
“Mt. Nibel is scary.	「ニブル山はこわいよ。
Many people have died there.”	何人も人が死んでるからね」
“No one crosses that mountain alive…”	「生きては越えられない山……」
TIFA	TIFA
“How 'bout those that died?”	「じゃあ、死んだ人は？」
TIFA	TIFA
“Did mama pass through the mountains?”	「ママは山を越えていっちゃったの？」
TIFA	TIFA
“I'm going!”	「私、行ってみる！」
“I don't remember the path I walked.”	「『どこをどう歩いたのか
	覚えてないんだ』」
“TIFA missed her step.	「『TIFAが足をふみ外して
I ran to her…but didn't make it in time.”	俺はあわててかけ寄って
	でも間に合わなかった』」
“We both fell off the cliff.”	「『ふたりとも……ガケから落ちたんだ』」
“Back then, I only scarred my knees	「『この時はヒザすりむいただけで
but…”	すんだけど……』」
Tifa's Dad	TIFAパパ
“CLOUD!	「CLOUD！
Why'd you bring TIFA	どうしてこんなところへ
to a place like this!”	TIFAを連れだしたりしたんだ！」
“What the hell's the matter with you!?”	「まったく！
	おまえが何を考えてるのか
	ぜんぜんわからん！」
Tifa's Dad	TIFAパパ
“What if she dies!?”	「TIFAにもしものことがあったら
	どうするつもりだったんだ！！」
“TIFA was in a coma	「『TIFAは７日間
for seven days.”	意識不明だった』」
“We all thought she wouldn't make it.”	『死んでしまうかと思った』
“If only I could've saved her…”	『俺がちゃんと助けていれば……』
“I was so angry…	「『悔しかったんだ……
at myself for my weakness.”	何もできなかった
	自分の弱さに腹が立った』」
“Ever since then,	「『それからはTIFAが
I felt TIFA blamed me…”	いつも俺を責めているような
	気がしてさ』」
“I went out of control…	「『俺は荒れていった……
I'd get into fights	誰かれかまわず
with anyone.”	ケンカをしかけて……』」
“That was the first time	「『そんな時だ。
I heard about Sephiroth.”	セフィロスのことを知ったのは』」
“I thought if I were strong	「『セフィロスのように強くなりたい。
like Sephiroth, then…”	強くなれば、みんな俺のことを……』」
TIFA's House	TIFAの家２階
“CLOUD's coming!”	「CLOUDが来るぞ！」
“You think he wants to come in?”	「あいつ入ってくる気かな？」
TIFA	TIFA
“Was that the first day	「この日、CLOUDが初めて私の部屋に？」
you came into my room?”	
TIFA	TIFA
“…that's right.”	「……そうだったよね」
“We lived next to each other.	「家は近所なのに、私……CLOUDのこと
But I really didn't know	あまり知らなかったんだよね」
you that well.”	
TIFA	TIFA
“I've known you since we were children	「ずーっと小さなころから
and always thought we were close…”	仲良くしてたと思ってたのに……」
TIFA	TIFA
“That's right…”	「……そうだったよね」
“I…really didn't know CLOUD	「私……CLOUDのこと
that well.”	あまり知らなかったんだよね」
“That's why I was a bit surprised	「だから、給水塔に呼び出された時
when CLOUD asked me	ちょっとびっくりしたんだ」
to come out to the well.”	
“TIFA was so popular and	「TIFAはみんなの人気者だったし
I never played much with the others…”	俺、みんなとは仲良くしてなかったし……」
TIFA	TIFA
“But, but listen!	「でもね、でもね！
After CLOUD left town,	CLOUDが村を出てからは
I thought about him a lot.”	CLOUDのこと、よく考えたの」
TIFA	TIFA
“I thought, I wonder how	「CLOUDはどうしてるかな？」
CLOUD is doing?”	
“I wondered if he was	「CLOUDはソルジャーに
able to get into SOLDIER?”	なれたのかなって」
“I even started reading the newspaper,	「CLOUDの記事、あるかと思って
just to see if CLOUD was	新聞だって読むようになったのよ」
in any of the articles.”	
TIFA	TIFA
“I want…to see…Mom…”	「ママに……会いたい……」--
TIFA's House	TIFAの家２階
TIFA	TIFA
“My room?”	「私の部屋？」
CLOUD	CLOUD
“It was my first time there.”	「俺、この日、初めてここに来たんだ」
TIFA	TIFA
“Was it?”	「そう……だった？」
CLOUD	CLOUD
“I only used to look up	「いつもは外から見上げてるだけだった」
at it from outside.”	
“Hey, look!”	「おい、見ろよ！」
TIFA	TIFA
“Now that you mention it…I don't recall	「そういえば……CLOUDが私の部屋に
you ever being in my room…”	いる風景って記憶に……ない」
“TIFA always used	「TIFAはね、いつでも
to have her own group.”	この仲良し３人組といっしょだった」
TIFA	TIFA
“…That's right.”	「……そうだったね」
“I thought they were all…stupid.”	「俺は……
	みんなバカだと思っていた」
TIFA	TIFA
“What!?”	「えっ！？」
“You were all childish, laughing at	「いつもどうでもいいようなことで
every little stupid thing.”	ケラケラ笑っててさ、子供っぽかった」
TIFA	TIFA
“But we were children then.”	「だって、子供だったんだもん」
“…I know.	「……わかってる。
I was the stupid one.”	バカだったのは俺なんだ」
“I really wanted to play with everyone,	「本当はみんなといっしょに遊びたいのに
but you never let me in the group.”	どうしても、仲間に入れてって言えなかった」
“Then later…I started	「そのうちさ……
thinking I was different…”	俺はみんなとちがうんだ……」
“That I was different from	「あんな子供っぽいヤツらとはちがうんだって
those immature kids.”	思うようになったんだ」
“That then…maybe…”	「でも……もしかしたら」
“Just maybe,	「『もしかしたら
they would invite me in.”	声をかけてもらえるかもしれない』」
“I thought that might happen,	「『そう考えてみんなのまわりを
so I hung around…”	うろついていた……』」
“I was so prejudiced.	「どうしようもなくひねくれてた。
…And weak.”	そして……弱かった」
“That night I asked TIFA to come	「『給水塔にTIFA呼び出したあの夜も
out to the well…”	俺は考えていた……』」
“I thought to myself TIFA would	「『TIFAはきっと来てくれない……
never come…that she hated me.”	こんな俺のことなんか嫌ってるって』」
TIFA	TIFA
“…It was so sudden.	「そう……あのときは突然だったね。
I was a bit…surprised.”	私も……ちょっとビックリした」
TIFA	TIFA
“But…”	「でもね……」
TIFA	TIFA
“It's true we weren't THAT close, but…”	「たしかに私たちは
	それほど仲良しじゃなかったけど……」
TIFA	TIFA
“After you left town,	「CLOUDが村を出てからは
I really thought about you a lot.”	あなたのこと、ほんとによく考えたのよ」
TIFA	TIFA
“I used to wonder	「CLOUDはどうしてるかな？」
how CLOUD was doing.”	
“I wondered if you were	「CLOUDはソルジャーに
able to get into SOLDIER?”	なれたのかなって」
“I started reading the newspapers, thinking	「CLOUDの記事、のってるかもしれないから
I might see an article about you.”	新聞だって読むようになったの」
“Thanks, TIFA.”	「ありがとう、TIFA」
“Tell him what you told me, later.	「あとで、こいつに言ってやって。
He'll probably be so happy.”	きっとよろこぶよ」
TIFA	TIFA
“OK!”	「うん！」
TIFA	TIFA
“Huh?”	「あれっ？」
TIFA	TIFA
“What happened on this day?	「ねえ、この日、何があったの？
