“Welcome to Bone Village,	「ようこそ、自然主義者の村。
used a Lunar Harp to get through.”	つかって森を抜けたんだ」
I want a Lunar Harp	ルナ・ハープがほしい
Not interested	興味ない
“Ask the guy in the tent below.”	「下のテントにいる男に聞いてな」
“We use the newest system	「私たちは最新のシステムで地下に
to find buried treasure.	埋まっているものを発見するの。
We use bombs to make earthquakes,	爆弾で人工的に地震をおこし
and then check the sound waves	その振動の反射をそくていするのね」
given off by the tremors.”	
“Please push [SWITCH] to	「□ボタンを押してスタッフの
set staff in position.”	配置場所を決めてください。」
Order a search (100 gil)	調査を指示（１００ギル）
Done	もういらない
“Could not position the staff,	「お金がたりないので
due to a lack of funds.	配置しませんでした。」
“Press [SWITCH] to ignite the	「□ボタンを押せば調査用の爆弾が
bomb for the search.	地中で爆発します。
“The staff member will calculate	「各スタッフは爆発の反動を計算し
the tremors and dig up the buried item.	目的のまいぞう物の方向を指し示します。
“The dig point is where	「つまりスタッフの視線が交わった
the staff's line	ポイントがハックツポイントです。
of vision meets.	
“Move to the dig point	「地下調査する地点まで移動し□ボタンで
and press [SWITCH] to select.	決定してください。穴をほって調査します。
The staff will dig for the item.	？？？
“Now, the staff will dig here.	「ではこの地点をほります。
The result will be placed	一晩ねれば、結果が村のたからばこに
in the treasure box overnight.”	入れられます」
“Excavating is a slow process.	「ハックツってのは地道な作業だよ。
The treasures we excavate are stored	俺たちがほりおこした宝物はテント
in the box next to the tent.	の横のハコにしまっておくんだ。
Remember that.”	おぼえておきな」
“It, it's scary…”	「や、やっぱりコワイ……」
“Just a while ago, a young girl	「すこし前に、若い娘さんが
asked me the same things.”	こうやってなんか話してたんだ」
“Then the entrance to the forest made	「そしたらどうだい
a funny sound, like 'Grrrrrrgh!'.”	森の入り口がガーッって開いたんだよ」
“I thought that maybe I could do it, too.”	「おれにもできないかと思ってさ」
“Please, let me in!”	「おねがい、わたしを入れて！」
“While ago, a man in black came and	「すこし前にな、黒い服の男が
said this as he went into the forest.”	こうやって森の中に入っていったんだよ」
“Nnnnnnghaah!”	「ぬぉぉぉおおお！」
The Sleeping Forest awoke…	眠りの森がめざめた……
CLOUD	CLOUD
“This place…!”	「ここは……！」
CLOUD	CLOUD
“So that's……the capital of the Ancients	「あれが……古代種の都
The Forgotten City'.”	『忘らるる都』なのか」
CLOUD	CLOUD
“AERIS is in that 'City'.”	「あの『都』にAERISは
	いる……」
CLOUD	CLOUD
“…Ugh.”	「……ウッ」
CLOUD	CLOUD
“…Words of the Ancients?”	「……古代種の言葉？」
CLOUD	CLOUD
“…No good.	「……ダメだ。
I can't understand.”	おれには、わからない」
CLOUD	CLOUD
“…Ugh, again?”	「……ウッ、またか」
CLOUD	CLOUD
“This stream of consciousness…	「意識に流れこんでくる……
Could this be the words	……古代種の言葉なのか？」
of the Ancients…?”	
TIFA	TIFA
“Eyaaaa!”	「キャッ！？」
TIFA	TIFA
“…Consciousness of the Ancients?”	「……古代種の意識？」
TIFA	TIFA
“…I'm sorry.	「……ごめんなさい。
…I can't…understand.”	……私には……わからない」
TIFA	TIFA
“Eaayy!?	「キャッ！？
Again?”	また？」
TIFA	TIFA
“It speaks directly to my mind…	「頭に直接語りかけてくる……
Is this the Consciousness	これは、古代種の意識？」
of the Ancients?”	
CID	CID
“Whoa…!”	「おわっ！」
CID	CID
“What the hell's this?”	「なんでぃ、こりゃ？」
CID	CID
“Hey Ancients,	「古代種さんよぉ
I don't even have a clue	オレ様には、あんたが何言いたいのか
what you're trying to say to me.”	さっぱりわかんねえぜ」
CID	CID
“Whoa, @#$%!	「うわっち！
Not again!”	またかよ、おい」
CID	CID
“Who is it? Who's trying to peek	「誰だ？　オレ様の頭を
into my mind?”	のぞこうとするのは？
“Is it the Consciousness	「まさか、古代種の意識が？」
of the Ancients?”	
BARRET	BARRET
“Hey, there's a bed.”	「おっ、ベッドがあるぜ」
TIFA	TIFA
“Do you think the people who	「ここに住んでいた人たちが
used to live here used it?”	使っていたものかしら？」
RED XIII	RED XIII
“Look, there's a bed here.”	「あっ、ベッドがあるよ」
CID	CID
“Yeah, and it looks	「おっ、意外と心地よさそうな
pretty comfortable.”	ベッドじゃねぇか」
YUFFIE	YUFFIE
“How COOL! I can't believe	「ラッキ～、こんなところに
we found such a soft bed	ベッドがあるなんて～」
in a dive like this.”	
CAIT SITH	CAIT SITH
“We're in luck.	「こら、運がええですわ。
There's a bed in here.”	ええとこにベッドがあります」
VINCENT	VINCENT
“I wonder if the owners used this?”	「ここの住人が使っていたものか？」
BARRET	BARRET
“Yo, CLOUD.	「よぉ、CLOUD。
Let's take a break here.”	ここいらで一服しようぜ」
TIFA	TIFA
“Shall we take a break here?”	「ひと休み、していきましょうか？」
RED XIII	RED XIII
“Hey, let's rest a bit.	「ねぇ、休んでいこうよ。
I'm tired…”	オイラ、つかれちゃった」
CID	CID
“I'm beat.	「つかれもたまってきたし
Why don't we get some rest?”	ちっと休んでいかねぇか？」
YUFFIE	YUFFIE
“Come on--, let's rest for a while---	「ねぇ～、休もうよ～
I don't want to walk anymore…”	あたい、もう歩きたくな～い」
CAIT SITH	CAIT SITH
“Why don't we catch some ZZZs?…”	「CLOUDさん、ひとねむり
	しませんか？」
VINCENT	VINCENT
“Maybe we should take a short nap?”	「ひとねむり、するか？」
Here's a bed.	ベッドがある。
Get some rest?	休んでいきますか？
Yes	はい
No	いいえ
CLOUD	CLOUD
“I feel it…”	「感じる……」
CLOUD	CLOUD
“AERIS is here.	「ここに、AERISがいる
…and so is Sephiroth.”	……そしてセフィロスも」
CLOUD	CLOUD
“…It's not an excuse.	「……りくつじゃない。
I feel it in my soul.”	感じるんだ、おれの心が」
BARRET	BARRET
“CLOUD, what is it?”	「CLOUD、どうした？」
TIFA	TIFA
“CLOUD…what's wrong?”	「CLOUD……どうしたの？」
RED XIII	RED XIII
“What's wrong?	「どうしたんだい？
Are you sick?”	気分でも悪いの？」
CID	CID
“Do you know what TIME it is!?”	「おい、何時だと思ってんだよ！」
YUFFIE	YUFFIE
“Hey---, CLOUD.	「あれ～、CLOUD。
What's your problem?”	どしたの？」
CAIT SITH	CAIT SITH
“What's wrong?	「どないしたんですかぁ～。
What time is it…?”	こないな時間に～」
VINCENT	VINCENT
“…What's wrong?”	「……どうした？」
BARRET	BARRET
“Wh, what!	「な、なんだって！
Sephiroth!?”	セフィロスが！？」
TIFA	TIFA
“You're saying it's not just AERIS,	「AERISだけではなく
but Sephiroth, too?”	セフィロスまでいるというの？」
RED XIII	RED XIII
“What! Sephiroth's here too!?”	「え！　セフィロスまでいるの！？」
CID	CID
“Wa, wa, wait a minute.	「おいおい、ホントかよ！」
You serious!?”	
YUFFIE	YUFFIE
“No way---!	「うっそ～！
Sephiroth wasn't invited!”	セフィロスなんて
	お呼びじゃないのに～」
CAIT SITH	CAIT SITH
“Are you serious, CLOUD!?”	「ほ、ほんまですか？
	CLOUDさん！？」
VINCENT	VINCENT
“…If that's true,	「……それが本当なら、まずいな」
then we're in for it.”	
BARRET	BARRET
“How do you know that?”	「しかし、なんでそんなことが
	わかるんだ？」
TIFA	TIFA
“But how can you tell?”	「でも、どうしてそんなことが
	わかるの？」
RED XIII	RED XIII
“How did you find out?”	「どうしてわかったんだい？」
CID	CID
“Hey, how do you know!?”	「でもよぉ、なんでそんなことが
	わかるんだ！？」
YUFFIE	YUFFIE
“Wh…why?	「ど、どーして？
How can you tell	どーしてそんなことが
that kind of stuff?”	わかっちゃうわけ？」
CAIT SITH	CAIT SITH
“But how can you tell that?”	「でも、なんでそんなんが
	わかるんですか？」
VINCENT	VINCENT
“…How did you find that out?”	「……なぜわかった？」
BARRET	BARRET
“Then, we better get up	「まずいぜ、それじゃ！
offa our lazy asses!!”	のんきにねてる場合じゃないぞ」
TIFA	TIFA
“If that's true, then we've got to hurry!	「それが本当なら、急がなきゃ！
We've got to get to AERIS!”	はやくAERISを！」
RED XIII	RED XIII
“Wh,…what should we do?	「ど、どうしよう？
We must hurry to her!”	急がないと、大変なことになるよ！」
CID	CID
“@#$$, CLOUD.	「やべぇぞ、CLOUD。
We can't be sittin' around	のほほんとしてる場合じゃ、ねぇな」
on our asses.”	
YUFFIE	YUFFIE
“That means it's pretty bad	「それって、ちょーマズいんじゃない？」
…doesn't it?”	
CAIT SITH	CAIT SITH
“If that's true, then we're in for it!	「それが、ほんまやったらえらいことや！
We have to find AERIS fast!”	はよAERISさん見つけんとあかんわ」
VINCENT	VINCENT
“If that's true, we should hurry.	「それが本当なら、急ぐべきだ。
Something terrible could happen	取り返しのつかないことになる。」
at any moment.”	
CLOUD	CLOUD
“…Right.	「……ああ。
Let's hurry and	はやくAERISをさがそう」
find AERIS.”	
CLOUD	CLOUD
“No time to be sleeping.”	「ねている場合じゃない」
CLOUD	CLOUD
“No time to think about it.”	「調べているヒマはない」
CLOUD	CLOUD
“AERIS's voice……	「AERISの声の聞こえた方向……
Coming from there?”	あっちか？」
CLOUD	CLOUD
“We have to find AERIS.”	「AERISをさがさなくては」
BARRET	BARRET
“Hey yo!	「お、おい。
Wait up.”	ちょっと待ってくれ」
BARRET	BARRET
“I hate to say it, but I'm beat.	「情けねぇが、つかれちまった。
Isn't there anywhere to rest.”	どっかひとねむりできる場所をさがそうぜ」
TIFA	TIFA
“Hey, hey CLOUD.”	「ち、ちょっとCLOUD」
TIFA	TIFA
“I'm…I'm so tired.	「わ、わたし、つかれちゃった。
Can't we find somewhere to rest?”	どこか、休める場所を探さない？」
RED XIII	RED XIII
“Wait!”	「ま、待ってよ」
RED XIII	RED XIII
“I'm exhausted.	「おいら、もうヘトヘトだよ。
Let me get some rest somewhere.”	どっかで、ひとやすみさせてよ」
CID	CID
“H…ey, CLOUD”	「お……おい、CLOUD」
CID	CID
“I gotta get some more rest.	「はずかしながら、つかれちまったぜ。
Let me catch a snooze	どっかで、ちょいと眠らせてくれや」
somewhere around here.”	
YUFFIE	YUFFIE
“Ahhh--- I can't go another step!!”	「あ～、もーっ嫌っ！！」
YUFFIE	YUFFIE
“I'm so----o tired!	「アタイ、つかれちゃったよ～！
If you don't get me to a bed,	あたたかいベッドで眠らせてくんないと
I'm not taking another step!”	もう、一歩も動かないからね！」
CAIT SITH	CAIT SITH
“Wa------it!”	「ち、ちょっと待ってぇ～な」
CAIT SITH	CAIT SITH
“I'm exhausted. I'm sorry,	「わて、つかれてしまいましたわ。
but please let me rest somewhere.”	すまんけど、どっかで休ませておくれな」
VINCENT	VINCENT
“Wait, CLOUD.”	「待て、CLOUD」
VINCENT	VINCENT
“…I'm tired.”	「……つかれた」
BARRET	BARRET
“That way goes to	「そっちの方角へ行くと
the Mountains up north.	北の山に出ちまうぜ。
Let's hurry and find AERIS.”	はやくAERISをさがそうぜ」
TIFA	TIFA
“If we continue this way, we'll end	「そのまま進むと、北の山に出るわ。
up in the Northern Mountains.	AERISはそっちには
AERIS isn't over there, right?”	いないんじゃないの？」
RED XIII	RED XIII
“That road leads to the Northern Mountains.	「そっちは、北の山に行く道だよ。
We have to go the other way	AERISさがすの、方向ちがうよ」
to find AERIS.”	
CID	CID
“You thinkin' of going skiing?	「雪山でスキーでもするつもりか？
If we wanna find AERIS,	AERISさがすんなら
we go THAT way!”	そっちじゃないだろ、え！」
YUFFIE	YUFFIE
“We're looking for AERIS, right!	「AERISさがすんでしょ！
Then why are you heading for	雪山の方行って、ど～すんの！
the mountains!? What a dork!”	サイテ～！」
CAIT SITH	CAIT SITH
“CLOUD, uh	「CLOUDさん
that's the road to the Northern Mountains.”	そっちは北の山へ行く道やで」
“AERIS is waiting,	「AERISさんが待ってますんや。
let's go find her.”	はよ、さがしにいきましょ」
VINCENT	VINCENT
“This is the road to the Northern	「これは北の山へ向かう道。
Mountains.	AERISをさがすのは
Don't you want to find AERIS?”	もうあきらめたのか？」
CLOUD	CLOUD
“AERIS?”	「AERIS？」
BARRET	BARRET
“CLOUD!”	「CLOUD！」
TIFA	TIFA
“CLOUD!”	「CLOUD！」
RED XIII	RED XIII
“CLOUD!”	「CLOUD！」
CAIT SITH	CAIT SITH
“CLOUD!”	「CLOUD！」
YUFFIE	YUFFIE
“CLOUD!”	「CLOUD！」
CID	CID
“CLOUD!”	「CLOUD！」
VINCENT	VINCENT
“CLOUD!”	「CLOUD！」
BARRET	BARRET
“Stop it!!”	「やめろ！！」
TIFA	TIFA
“Stop!”	「やめて！」
RED XIII	RED XIII
“Please stop that!”	「何をするんだ！」
CAIT SITH	CAIT SITH
“What're you doing!”	「なにしとんや！！」
YUFFIE	YUFFIE
“Sto----p!”	「ストーーップ！」
CID	CID
“Dumb #^%@!”	「バカッ！」
VINCENT	VINCENT
“Stop it!”	「やめろ！」
CLOUD	CLOUD
“Ugh…what are you making me do?”	「クッ……俺に何をさせる気だ」
AERIS	AERIS
“…stay…back…”	「……来ない……で」
CLOUD	CLOUD
“…AERIS.”	「……AERIS」
CLOUD	CLOUD
“This can't be real!”	「……ウソだろ？」
Sephiroth	セフィロス
“Do not worry.	「気にすることはない。
Soon the girl will become	まもなくこの娘も星をめぐる
part of the Planet's energy.”	エネルギーとなる」
“All that is left is to go North.	「私の寄り道はもう終わった。
The 'Promised Land' waits	あとは北を目指すのみ。
for me over the snowy fields.”	雪原の向こうに待っている『約束の地』」
Sephiroth	セフィロス
“There, I will become a new being	「私はそこで新たな存在として
by uniting with the Planet.	星と一体化する。
As will this girl…”	その時はその娘も…」
CLOUD	CLOUD
“…Shut up.”	「……だまれ」
CLOUD	CLOUD
“The cycle of nature and your	「自然のサイクルも
stupid plan don't mean a thing.”	おまえのバカげた計画も関係ない」
CLOUD	CLOUD
“AERIS is gone.”	「AERISがいなくなってしまう」
“AERIS will no longer talk,	「AERISは、もうしゃべらない
no longer laugh, cry…or get angry…”	もう……笑わない
	泣かない……怒らない……」
CLOUD	CLOUD
“What about us…what are WE supposed to do?”	「俺たちは……どうしたらいい？」
CLOUD	CLOUD
“What is this pain?”	「この痛みはどうしたらいい？」
CLOUD	CLOUD
“My fingers are tingling.	「指先がチリチリする。
My mouth is dry.	口の中はカラカラだ。
My eyes are burning!”	目の奥が熱いんだ！」
Sephiroth	セフィロス
“What are you talking about?	「何を言っているのだ？
Are you trying to tell me	おまえに感情があると
you have feelings now?”	でもいうのか？」
CLOUD	CLOUD
“Of course!	「あたりまえだ！
What do you think I am!?”	俺がなんだというんだ！」
Sephiroth	セフィロス
“Ha, ha, ha……	「クックックッ……
Stop acting as if you are sad.”	悲しむふりはやめろ」
“And there's no need to act as if	「怒りにふるえる
you're angry either.”	演技も必要ない」
Sephiroth	セフィロス
“Because, CLOUD.	「なぜなら、CLOUD。
You are…”	おまえは……」
Jenova	ジェノバ
“Because, you are…a puppet.”	「なぜなら、おまえは……人形だ」
Jenova	ジェノバ
“You are…”	「おまえは……」
CLOUD	CLOUD
“I'm…a puppet?”	「俺が……人形？」
CLOUD	CLOUD
“Everyone‚listen to me.”	「みんな、聞いてくれ」
CLOUD	CLOUD
“I'm CLOUD‚ex-SOLDIER‚	「俺はニブルヘイムで生まれた
born in Nibelheim.”	元ソルジャーのCLOUDだ」
CLOUD	CLOUD
“I came to settle up	「セフィロスとの決着をつけるために
with Sephiroth.”	ここまでやってきた」
BARRET	BARRET
“What're ya tryin' to say?”	「……何が言いてえ？」
TIFA	TIFA
“…What's going on?”	「……どうしたの？」
RED XIII	RED XIII
“…Hmm?”	「……あん？」
CID	CID
“I heard that before.”	「まえにも聞いたぜ」
YUFFIE	YUFFIE
“Why now?”	「こんな時に、どして？」
CAIT SITH	CAIT SITH
“Why're you being so formal?	「なんや、いきなりあらたまって。
Is something wrong?”	どないしたんですか？」
VINCENT	VINCENT
“…You're right.”	「……そうだな」
CLOUD	CLOUD
“I came here by my own free will…	「俺は自分の意志でここまで
Or so I thought.”	やってきた……そう思っていた」
“However…”	「しかし……」
CLOUD	CLOUD
“…To tell the truth,	「……正直に話す。
I'm afraid of myself.”	俺は自分が怖い」
CLOUD	CLOUD
“…There is a part of me	「……俺の中には
that I don't understand.”	俺の知らない部分がある」
“That part that made me give	「俺はセフィロスに黒マテリアを
the Black Materia to Sephiroth.”	渡してしまった」
CLOUD	CLOUD
“If you hadn't stopped me,	「みんなが止めてくれなければ
AERIS might have been…”	AERISをこの手で……」
“…There's something inside of me.	「……そういう自分が俺の中にいる。
A person who is not really me.”	俺ではない自分が」
CLOUD	CLOUD
“That's why	「だから俺はもうこの旅をやめた方が
I should quit this journey.”	いいのかもしれない」
“Before I do something terrible.”	「とんでもないことをしてしまうかも
	しれない」
CLOUD	CLOUD
“But I am going.”	「でも、俺は行く」
“He destroyed my hometown five years ago,	「５年前、俺の故郷を焼き払い
killed AERIS‚and is	たった今AERISを殺し
now trying to destroy the Planet.	そしてこの星を破壊しようとしている
I'll never forgive…Sephiroth.”	セフィロスを……俺は許さない」
CLOUD	CLOUD
“I…	「俺は……
I must go on.”	俺は、行かなくてはならない」
CLOUD	CLOUD
“…I have a favor to ask of you.”	「……頼みがある」
CLOUD	CLOUD
“Will you all come with me?”	「みんなも来てくれ……るよな？」
CLOUD	CLOUD
“…to save me	「……俺がおかしなまねをしないように
from doing something terrible.”	見張っていてほしいんだ」
BARRET	BARRET
“…I dunno‚ man…”	「……でもよ、なんだかよ……」
TIFA	TIFA
“…But‚CLOUD”	「……でも、CLOUD」
RED XIII	RED XIII
“…All right‚CLOUD.”	「……わかった、CLOUD」
CID	CID
“Well‚ we'll face it	「ま、なんだな。
when it happens.”	そん時は、そん時だ」
YUFFIE	YUFFIE
“Leave it to me!”	「アタシにまかせな！」
CAIT SITH	CAIT SITH
“Watch you?……	「見張るやなんて、そんな……
We're all in this together!”	おんなじ仲間やないですか～」
VINCENT	VINCENT
“…I guess so.”	「……そうだな」
CLOUD	CLOUD
“I don't know how AERIS	「AERISがどうやって
tried to save the planet	メテオを防ごうとしたのかは
from the Meteor.”	わからない」
“And I guess now,	「今となっては
we'll never know.”	俺たちにはそれを知る方法もない」
CLOUD	CLOUD
“But!”	「でも！」
CLOUD	CLOUD
“We still have a chance.	「まだ、チャンスはある。
We must get that Black Materia back	セフィロスがメテオを使う前に
before Sephiroth uses it.”	黒マテリアを取り返すんだ」
CLOUD	CLOUD
“Let's go.”	「行こう」
( End of Disc 1 )	【　ディスク１が終了しました　】
“Please do not open the CD drive	
until further instructions.”	指示があるまで、ディスクホルダーを開けないで下さい
“Save the game to this point	「ここまでのゲームの状態を
on your computer?”	メモリーカードにセーブしますか？」
Yes	はい
No	いいえ
“Please change the disc.”	ディスク交換が必要です。
“Save the game to this point	「ここまでをメモリーカードに
on your computer?”	セーブしますか？」
Yes	はい
No	いいえ
Please insert disc two.	ディスク２に交換してください。
You still haven't saved your game.	現在はまだここでセーブできません。
Continue playing?	このままゲームをつづけてください。
BARRET	BARRET
“Which way'd that damn foo'	「セフィロスは……どっちだ？」
Sephiroth go?”	
TIFA	TIFA
“Sephiroth…	「セフィロスは……
I wonder which way he went?”	どっちに行ったのかしら？」
RED XIII	RED XIII
“Sephiroth…	「セフィロスは……
which way did he go?”	どっちに行ったのかな？」
CID	CID
“…Which way did that	「……どっち行きやがったんだ？
creep Sephiroth go!?”	セフィロスの野郎はよ」
YUFFIE	YUFFIE
“Ummm…	「え～っと……
Which way did that	セフィロス、どっち？」
Sephiroth guy go?”	
CAIT SITH	CAIT SITH
“I wonder which way	「セフィロスは
Sephiroth went?”	どっち行ったんやろ？」
VINCENT	VINCENT
“Which way did Sephiroth head?”	「セフィロス……
	どこへ向かった？」
BARRET	BARRET
“Hey, you alright?”	「おい、大丈夫か？」
TIFA	TIFA
“CLOUD!	「CLOUD！
Get a hold of yourself!!”	しっかりして！！」
RED XIII	RED XIII
“You all right?”	「だ、大丈夫？」
CID	CID
“Ey, hey!	「お、おい！
You alright?”	大丈夫か？」
YUFFIE	YUFFIE
“Wait!	「ち、ちょっと！
Get a hold of yourself!”	シッカリしてよ」
CAIT SITH	CAIT SITH
“CLOUD!	「CLOUDさん！
Are you all right?”	大丈夫ですか？」
VINCENT	VINCENT
“…you all right?”	「……大丈夫か？」
CLOUD	CLOUD
“Sephiroth said to me…	「セフィロスは言っていた……
Head North……	【北を目指す】……【雪原の向こう】と……」
……past the Snow Fields……”	
CLOUD	CLOUD
“…ugh.”	「……うっ」
CLOUD	CLOUD
“Hmmm…”	「ああ……」
