Wilderness	荒れ地
CAIT SITH	CAIT SITH
“Not bad, YUFFIE, not bad at all.”	「YUFFIEさん、なかなかやりますなぁ」
CID	CID
“YUFFIE!	「YUFFIE！
You sure got some nerve, kid!”	おめえいい度胸してんじゃねえか！」
VINCENT	VINCENT
“So what does this mean?	「これはどういうことか……
You will explain later.”	後でじっくり説明してもらおうか」
YUFFIE	YUFFIE
“I didn't know!	「知らない知らない！
I had nothing to do with this one!”	これはアタシとカンケーないって！」
AERIS	AERITH
“This one?	「これ『は』？
What do you mean 'THIS one'?”	これ『は』って、何？」
“So you WERE up to something!”	「YUFFIE、あなたやっぱり
	イケナイこと考えてたでしょ！」
BARRET	BARRET
“Whaddya mean 'this one'!?	「これ『は』って何だ！
This one'?”	『は』って！」
“So you WERE plannin' somethin'!!”	「おまえ、やっぱり何か
	たくらんでたんだな！！」
TIFA	TIFA
“This one?	「これ『は』？
Did you just say 'THIS one'?”	今、これ『は』って言った？」
“So you WERE trying something!”	「YUFFIE、やっぱりあなた
	何かたくらんでたのね！」
RED XIII	RED XIII
“What do you mean 'this one'?	「これ『は』って何だよ
THIS one'?”	『は』って！」
“So you were concocting some evil scheme!!”	「やっぱり何か
	悪だくみしてたんだ！！」
CAIT SITH	CAIT SITH
“This one?	「これ『は』？
What do you mean 'THIS one'?”	『は』ってなんです？」
“So you were planning	「なんやほかにも
on tricking us!”	やましいことでもあるんとちゃうか！」
CID	CID
“Whaddya mean 'THIS one'?	「これ『は』っつうのは何だ！
THIS one'!?”	『は』っつうのはよ！」
“So you WERE planning some crooked $%*&!!”	「おめえ、やっぱり何か
	たくらんでやがったな！！」
VINCENT	VINCENT
“What do you mean, 'This one'?”	「これ『は』？
	『は』とはどういうことだ？」
“You had something else in mind?”	「ほかのことなら心当たりが
	あるというのか？」
YUFFIE	YUFFIE
“No, umm, uh…”	「い、いや、あの……」
Shinra Soldier	神羅兵
“What should we do!?”	「ど、どうする！？」
Shinra Soldier	神羅兵
“Uh…Get them!	「い……や、やれ！
Grab them and ask questions later!!”	いいからやってしまえ！！」
AERIS	AERITH
“What's going on!?”	「これ、どういうこと！？」
“I thought something was missing…	「なにかたりないと思ったら
my Materia's all gone!!”	マテリア、マテリア
	なくなっちゃってる！！」
BARRET	BARRET
“The hell's goin' on!?”	「おい、どうなってんだ！？」
“I knew somethin' was missing.	「なんかたりねえと思ったら
All my Materia's gone!!”	マテリアが、マテリアが
	なくなっちまってる！！」
TIFA	TIFA
“What's going on!?”	「いったい、どうなってるの！？」
“I thought something was odd…	「なんだかおかしいと思ったら
My, my Materia is missing!!”	マテリアが、マテリアが
	なくなってるじゃない！！」
RED XIII	RED XIII
“What's going on?”	「どうなってるんだよォ？」
“I thought something was funny,	「なんかおかしいと思ったら
my Materia's disappeared!!”	マテリアが、マテリアが
	どっかへ行っちゃった！！」
CAIT SITH	CAIT SITH
“What's going on!?”	「どないなっとるんや、コレ！？」
“Something's missing…my	「なんや足りんと思とったら
Materia…it's gone!!”	マテリアがゴッソリ
	のうなっとるやないか！」
CID	CID
“What the hell's goin' on?”	「コリャー、どういうこったい！」
“I knew I was missing something…	「なんかものたりねえと思ったら、
My Materia's gone!!”	マテリアのやつ
	どっか行っちまいやがった！！」
VINCENT	VINCENT
“I thought something was wrong.	「どうもおかしいと思ったら
So that's it.”	なるほど、そういうことか」
“My Materia's been stolen…”	「みろ、マテリアが
	ぬきとられている……！」
CLOUD	CLOUD
“Hey…where's YUFFIE?”	「おい……YUFFIEは……？」
AERIS	AERITH
“Hey…where's YUFFIE?”	「ね……YUFFIE……は？」
TIFA	TIFA
“Hey…where's YUFFIE?”	「ねえ……YUFFIEは……？」
BARRET	BARRET
“Yo…where's	「おい……YUFFIEは……？」
that $#@^% YUFFIE?”	
RED XIII	RED XIII
“Hey…where's YUFFIE?”	「ねえ……YUFFIEは……？」
CAIT SITH	CAIT SITH
“Now…where's YUFFIE?”	「はて……YUFFIEさんは……？」
CID	CID
“Ey…where the hell's that damn kid?”	「オイ……YUFFIEのやつは……？」
VINCENT	VINCENT
“…”	「おい……YUFFIEは……？」
AERIS	AERITH
“I'm SO mad!!”	「くーやーしーいーっ！！」
BARRET	BARRET
“That &*&$ kid!!!”	「あーのーやーろーおーっ！！」
“Grrrrrgh!! Arrrrrgh	「ガーッ！！ガアーッ
Uhhhhhhhhhhhh!!”	ウオオオオーッ！！」
TIFA	TIFA
“She's done it again!!”	「やーらーれーたーっ！！」
“I'll never forgive her!”	「まただますなんて！
	もう許さないから！」
RED XIII	RED XIII
“ZOUNDS!!”	「チークーショーッ！！」
“Grrrrrrrgh…	「ガルルル……
Grrrgh! Grrrrrgh!!”	ガウッ！ガウウッ！！」
CAIT SITH	CAIT SITH
“She's done it again!”	「あちゃ～、やられてしもた～！」
“She sure took us for fools!”	「いや～、すっかりハメられましたなぁ！」
CID	CID
“That little ^%#^$@!!”	「あーのーやーろーおー！！」
“Takin' me for a fool!!”	「このオレ様をコケに
	しやがったな！！」
VINCENT	VINCENT
“Inexcusable…”	「これは見過ごせないな……」
AERIS	AERITH
“She was probably eyeing our	「最初からあのコ
Materia from the beginning.”	わたしたちのマテリア
	ねらってたのね、きっと」
“It looks like she went North.	「あのコ、北の方に逃げたみたい。
Let's hurry after her and	早く追いかけて、マテリア
get our Materia back!”	取り返さなくちゃ！」
BARRET	BARRET
“She was after our Materia from	「あいつ、はじめっから
the start!!”	オレたちのマテリアを
	ねらってやがったんだ！！」
“She went North!	「北だ、北に逃げてったぜ！
When I get my hand on her,	絶対に、絶対につかまえて
I'll get our Materia back!”	マテリア取りもどしてやる！」
“C'mon! We're goin' after her!”	「急げ！後を追うぞ！」
TIFA	TIFA
“She was after our Materia from the	「はじめっから私たちの
beginning.”	マテリアをねらってたんだわ」
“She won't get away with this!	「そんなことさせないから！
I'm pretty sure she ran off North.	たしか北の方に逃げてったわ。
Let's go after her!!”	後を追いましょう！！」
RED XIII	RED XIII
“Her objective was stealing our	「はじめから
Materia from the beginning.”	オイラたちのマテリアが
	ねらいだったんだ」
“…sniff…	「クンクン……
North! She ran off to the North!”	北だ！北の方に逃げたよ！」
“I'm not going to let her get away	「このまま逃がすもんか！
with this! Hurry, hurry!	早く早く！
We have to get our Materia back!”	マテリア取りもどさなきゃ！」
CAIT SITH	CAIT SITH
“She must've been after our Materia from	「さいしょっから
the beginning.”	マテリアが目的やったんやな」
“We can't just let her get away, right?	「ほっとくわけやないんですやろ？
Then, let's hurry after her!	ほんな、ちゃっちゃと追いかけましょ！
Which way? It's North, the North! It's	方角？北です、北！占いのおつげや！」
a message from the stars!”	
CID	CID
“No doubt about it!	「間違いねえ！
That kid was after our Materia	はじめからオレ様のマテリアを
from the start!!”	ねらってやがった！！」
“Hmm…	「フン……
Looks like she went North.”	どうやら北に逃げたらしいな」
“Don't drag your asses!	「グズグズするない！
We're going right NOW!	すぐ出発するぞ！
That $#@^% is history!!”	あのヤロー、とっつかまえてやる！！」
VINCENT	VINCENT
“Seems as though all that	「どうやら、最初から
she was after was our Materia.”	マテリアが目的だったようだな」
“We can't just let her get away.	「我々としても
She ran to the North…”	このままにしておくことはできないな。
	逃げたのは……北、か……」
“We must go after her and	「さあ、後を追って
retrieve our Materia back.”	マテリアを返してもらわなければ」
BARRET	BARRET
“Hey, we gotta problem!	「オイ、たいへんだ！
Our Materia's all gone!!”	オレたちのマテリアが
	なくなってる！！」
RED XIII	RED XIII
“O…OH NO!	「た、た、たいへんだよ！
All of our Materia…gone!?”	オイラたちのマテリアが
	なくなっちゃった！！」
Wutai	ウータイ
	
YUFFIE	YUFFIE
“Hey!!”	「あッ！！」
“Life is just like a river.	「人の生、ただ水の流れににたり。
It flows from the large ocean of life,	命の大海より流れいで
and eventually it returns back to it.”	また大海へと帰るものなり」
“Wutai is a historical place.	「ここは歴史の地、ウータイ。
There are some very unusual things	めずらしいものもあるから
here you should see.”	ごらんになるといいでしょう」
“YUFFIE?	「YUFFIEですか？
I saw her a while ago.	さっきみかけましたよ。
She must be in one of	このあたりの家にいるんじゃ
the houses around here.”	ないかしら……？」
“Materia is like Life.	「マテリアも人の生も
They both come from the large ocean of life,	もとは同じ。
and both must return to it.”	いずれ命の大海へと
	もどるべきものなのです」
“Life is like the dew on the leaves of the trees.	「人の生など、木の葉からしたたる
Whether Meteor falls or not is	あさつゆのようなもの。
no more than a fleeting glimmer.”	あの星が落ちようと落ちまいと
	ほんの一瞬のきらめきにすぎないのです」
“Lord Godo is in this house.”	「この先の屋敷には
	ゴドー様がいらっしゃる」
“He used to be quite strong,	「むかしはたいそう強い方だったが
but now, all he does is sleep…”	今ではねてばかりだナ……」
“What, YUFFIE…	「なに、YUFFIEとな……
It's best to ask Lord Godo about that.”	それならゴドー様にきくのが
	いちばんだナ。　なにせ……」
“But today he's not in the best of…	「いや、しかし今のゴドー様には……
Well, I should say…	とはいっても……
But really he's not so…”	しかし、あれではナ……」
“Anyhow, for some reason	「どういうわけかYUFFIEは
YUFFIE's had a fondness	むかしからマテリアが好きでナ。
for Materia ever since	いつでもマテリアのありそうな
I can remember.”	場所をウロウロしてるよ」
“She's always hung around	「YUFFIEのやつ、あの性格だからナ。
places she thought	ときどき、人の家なんかに勝手に
might have it.	あがりこんだりするんだよ」
That's just how she is.	
Sometimes she'll just	
bust into people's houses.”	
	
“Other times she'll hide in the shadows	「そんでもって、ものかげに
just like a little kid.”	かくれたりなんかして……
	まだまだコドモなんだナ」
“That reminds me, lately I've seen a	「そういえばさっきから
kid around here that reminds	YUFFIEみたいなコを
me of YUFFIE.”	みかけるな……」
“Always sneakin' around corners and	「どっかすみっこのほうで
doin' somethin' she shouldn't.”	またゴソゴソと、何か
	してるんじゃないかナ」
	
“She's always getting into fights.	「ケンカばかりしとるが
I guess she takes	あれでゴドー様と
after Godo that way.”	YUFFIEはじつに
	よくにてるんだ」
“Like father like daughter…”	「やはり親子なのかね……」
“Two girls just went off towards	「そうそう、たった今女の子がふたり
Da-chao. I wonder if	ダチャオ像の方へ行ったが
that place is popular	あれが今のはやりなのかナ？」
with the kids now?”	
“One had herself all tangled up in	「ロープでグルグルまかれて
a rope. And the other one kind of	かかえられてったよ。そういや
looked like YUFFIE.”	ひとりはYUFFIEに
	似ていたナ……」
“Hm, money?	「なに、カネ？
There's all kinds of money.”	カネと言ったっていろいろ
	あるからナ……」
“This type and that…	「あんなカネ、こんなカネ……
Hey now that you mention it,	おお、そういえばあそこにも
there was some money over there.”	カネがあったナ……」
“The end is right in front of us…”	「すぐそこに終わりが
	近づいている……」
“But what can you do about it?	「だからといって、私に何ができる？
Just go on living your	けっきょくいつもと同じ
life, day in and day out…”	生活を送るしかないんだよナ……」
“Alright, alright, alright!	「ハイハイ、ハーイ！
I know!”	ボク、しってます！」
“On the side of the mountain, right there	「あそこのお山にガガン！と
in your face is Da-chao!”	立ってるのはダチャオ像！」
“I hear you can climb to the top,	「てっぺんまでのぼることも
but since it's dangerous	できるんだけど
I'd be mighty careful if I were you!”	ちょっとアブないから
	よーくきをつけてねー！」
“A girl with Materia?	「マテリアもったおねえちゃん？
No, there hasn't been anyone climbing	ううん、ダチャオ像にはしばらく
Da-chao for some time now.”	だれものぼってないよ！」
“You know I've noticed that there's a	「そういえば、ここのマテリア屋さんの
pounding noise from time to time	中で、なんだかゴトゴト音がしてたケド」
in this store.”	
“Why Da-chao?	「なんでダチャオ像？
Alright, alright, alright!	ハイハイ、ハーイ！
I don't know!”	ボク、それわかりませーん！」
“Alright, alright, alright!	「ハイハイ、ハーイ！
I saw an old man in flashy clothes running	ハデハデなカッコをした
towards Da-chao!”	オジさんが、ダチャオ像の方に
	走っていったよ！」
“He was babblin' somethin' and looked	「なんかホヒホヒ言ってたけど
like he was floatin'!	すんごくはやいんだ！
He almost bowled me over!”	ビックリしたよ！」
“When that big star bashes into us,	「あの星がぶつかったら
both Wutai and Da-chao are going to	ダチャオ像も、ウータイも
be dust! Can't we do anything?”	みんなこわれちゃうの！？
	そんなのヤダ！」
“This is MY house! Nobody gets in!”	『アタシの家！誰も入るな！』
CLOUD	CLOUD
“You can't get away, YUFFIE.”	「もう逃げられないぞ、YUFFIE」
TIFA	TIFA
“Give it up, YUFFIE!”	「あきらめなさい、YUFFIE」
CID	CID
“You lost, YUFFIE.”	「テメエの負けだぜ、YUFFIE」
YUFFIE	YUFFIE
“O…OK, I know…	「わ……わかったよ……
I was wrong…”	アタシが悪かった……」
“You win.	「アンタたちの勝ちだ。
I'll give you back your Materia…”	マテリアはぜんぶ返すよ……」
AERIS	AERITH
“I don't think she came out from here…	「あのコ、ここから
Is that OK?”	出てないと思うけど……
	いいの？」
BARRET	BARRET
“Wait, that damn YUFFIE's	「待てよ、YUFFIEのやつ
gotta be somewhere in this	まだこの町のなかにいるはずだぜ。
cheap town! You jus' gonna leave?”	それでも行くのか？」
TIFA	TIFA
“Knowing YUFFIE,	「YUFFIEならこの町の
she's still hidden somewhere in town.	なかにかくれてるはずよ。
You sure?”	いいの？」
RED XIII	RED XIII
“I know she hasn't left town!	「YUFFIE、この町からは
You still want to leave?”	出てないよ、きっと！
	行っちゃうの？」
CID	CID
“You lettin' that damn kid off the hook?	「オイオイ、あのガキ
I know she's gotta be	ほっぽってくのか？
hiding around here somewhere!”	絶対まだこの町にいるぜ！」
VINCENT	VINCENT
“She couldn't have left town…	「YUFFIEならこの町から
I think she is must still be here.	出てはいないと思うが……
Or, do you want to go on?”	それでも行くのか？」
Pub [Turtle's Paradise]	居酒屋　『かめ道楽』
“Publicity Flyers!	「チラシキャンペーンの
Notice	おしらせ
“[Turtle's Paradise] is now having a	「ただいま居酒屋『かめ道楽』では
publicity campaign.	チラシキャンペーンを展開中です。
“Flyer's will be posted all over the world.	「世界各地にはられている
So make sure you look for our	『かめ道楽』のチラシ
flyers that say "Turtle's Paradise"	【かめ道楽　通信】　を
	さがしだしてください。」
“There's six in all.	「チラシはぜんぶで６枚。
If you find them all,	すべてさがしだした方は
make sure to let the owner of Turtle's	『かめ道楽』主人におしらせ下さい。
Paradise know. You can win a prize!	ささやかな景品をプレゼント！！
“All you have to do is read them.	「チラシは見るだけでオーケー！
Please don't take them down	他のお客様のためにも
or rip them up!!”	やぶったりしないで下さいネ！！
	
“Owner, Turtle's Paradise”	「『かめ道楽』主人」
Wutai‚ Old Man's House	ウータイ・おじじの家
	
“Well, well. Long time no see.	「おーおー、ひさしぶりじゃナ。
What have you been up to?	今まで何しとったんじゃ。
Let's see…what was your name?”	えーと…………誰だっけ？」
“No, Gramps!	「ちがうの、おじじ！
This isn't anyone you know!	ぜんぜん知らない人よ！
This is just some stranger who	知らない人が勝手に
barged into our house!”	あがりこんでるの！」
“Oh, how exciting.	「おーおー、にぎやかなことじゃ。
You a friend of my grandson's?”	マゴのおともだちかな？」
“No, Gramps!	「ちがうの、おじじ！
These guy's are creepy!	すっごくアヤしい人たちよ！
They're runnin' all over the place!”	ドタバタ走り回ってるの！」
“Oh, you know lately things have been like that.	「おーおー、このごろはアレじゃな。
You can even see the moon at noon.	ひるまでもお月さんが見えるんじゃナ。
Everyone's celebrating.”	みんなもよろこんでおるわい」
“No, Gramps!	「ちがうの、おじじ！
That's a big red planet in the sky!	あれは、真っ赤に燃えてる星よ！
Everyone's scared of it!!”	みんなこわがってるの！」
YUFFIE	YUFFIE
“…….”	「…………」
“What are we going to do, Gramps?	「どうしよう、おじじ！
Some strange-looking girl came in here	さっきもヘンなカッコした
a minute ago and I…”	おねえちゃんが、いきなり
	入ってきたとおもったら、あそこの……」
“Oh no!	「おじじ、たいへん！
More weirdos!”	また、ヘンな人たちが
	きちゃった！」
“No, these aren't like the one	「ううん、さっききた人とは
from a while ago,	ちがうの！　でもこの人たちも
but these ones look weird, too!”	ヘンなカッコ！」
Bar [Turtle Paradise]	のみどころ「かめ道楽」
	
Elena	イリーナ
“Yy, you!?	「お、お前たち！？
How did you get here?”	なんでこんなところへ……」
“Never mind that.	「そ、そんなことどうでもいいわ。
I guess it's fate	私たちタークスに会ったのが
that brought us together.”	運のつき」
“Get ready to die!!”	「さあ、かくごしなさいっ！！」
Reno	レノ
“Elena, you talk too much.”	「……イリーナ、うるさいぞ、と」
Elena	イリーナ
“Ww, what?”	「せ、先輩！？」
Reno	レノ
“What are we doing way out here	「俺たちがこんないなかに
in the middle of nowhere?”	来てるのは、何のためだ？」
Elena	イリーナ
“We're taking a vacation and	「そ、それは、休暇をとって
resting up from our work.”	ひごろのつかれをいやすため……です」
Reno	レノ
“Now our vacation is	「せっかくの休暇が
ruined.”	つぶれちまうぞ、と」
Elena	イリーナ
“B, but…”	「で、でも……」
Rude	ルード
“Even the booze tastes bad now.”	「……せっかくの酒もマズくなる」
Elena	イリーナ
“…Sorry…”	「……はい……」
Reno	レノ
“Drink, Rude!	「もっと飲めよ、ルード、と。
How long have we been a team?”	お前とくんでもう何年になる……？」
“Being a Turk's been hard at times,	「タークスの仕事はツライことも
but all in all, I'm glad I did it.”	あるけど、ま、俺はやってきて
	よかったと思ってるぜ」
“After all, I got to meet a bunch	「お前みたいなヘンなやつにも
of wing nuts like you.”	であえたぞ、と」
Rude	ルード
“To the Turks…	「タークスに……
To Reno…cheers!”	レノに……かんぱい」
Elena	イリーナ
“Hmm, you're lucky all right.	「フン、運がよかったわね。
Now get out of my sight!”	さっさと消えなさい！」
“The next time we meet	「この次に会った時は
I won't be so nice.”	ようしゃしないからね！」
“Hey, hey, welcome!	「はいはい、いらっしゃい。
You on a trip?	お客さんも旅の人だね？
Well, just relax and make yourself at home.”	ゆっくりしてっておくれナ」
“Nowadays, Wutai's just able to get by	「今のウータイは、旅の人が
thanks to the tourists.”	観光にきてくれるおかげで
	もってるようなものだからナ」
“Seems like the town got really lively	「なんだかお客さんたちが
since you arrived.	きてから、そうぞうしいナ。
Did anything happen?”	なんかあったのかい？」
“First the ground started shaking,	「地面がグラグラゆれたと思ったら
then that large star…”	今度はあのでっかい星……」
“Y, you think…	「や、やっぱりもう……
It's all over?”	ダメなのかいナ？」
“Hey.	「ウーイ。
You think the store feels gloomy?”	さびしい店だろ？」
“Let's just say that I	「ま、静かなフンイキが
like things quiet.”	おれはすきなんだけどね」
“It's been really loud and busy	「それにしても、おもては
outside.”	さっきからバタバタ
	さわがしいナ……」
“Someone outside must	「また誰か、おもてのツボに
be up to something bad…”	悪さでもしてるのかナ？」
“Hey.	「ウーイ。
Things look pretty sad around here.”	さびしい店だろ？」
“With things the way they are	「まあ、世の中がこんなに
in the world I guess there's	なっちまっちゃあ
nothing I can do about it.”	それもしかたないか」
“Running around like a fool won't help	「ジタバタしたって
matters any. So, we all might as well	どうしようもねえんだ。
sit back and have a beer…”	みんなも酒でも飲めばいいのに……」
Shinra soldier	神羅兵
“So our reports were right!	「おお、やはり休暇でこちらに
He IS here on vacation!”	きているという情報は本当だったか！」
“We've finally found him!	「ついにヤツを発見したのだ！
Get the Turks here for back-up!”	タークスにも協力をたのみたい！」
Reno	レノ
“…What a drag.”	「……やなこった、と」
Shinra soldier	神羅兵
“Ww, what was that?”	「い、今なんと……？」
Reno	レノ
“We're off duty now	「俺たちは休暇中につき
and can't save your butts.”	あんたらのおもりはできないぞ、と」
Shinra soldier	神羅兵
“We know you're off duty,	「き、君たちが休暇中なのは
but…”	我々も知っている。
	しかし……」
“If you knew, then don't bother us!	「知ってるなら消えてくれ、と。
Lookin' at you is makin' me sober.”	あんたらのカッコを見てると
	酔いがさめちまう」
Shinra soldier	神羅兵
“But you all have orders from	「しかし、ヤツを探せという
headquarters to look for him too!”	指令が本社から君たちにも
	出されているはず……！」
“All right, fine!	「ええい、もういい！
We'll get him without any	タークスの力などかりなくても
help from the Turks, just you see!”	ヤツをつかまえてみせる！」
Shinra soldier	神羅兵
“And don't think that headquarters	「このことは本社に
isn't going to hear about this!!”	報告しておくからな！！」
Elena	イリーナ
“Reno, do you think that was	「レノ先輩！
really such a good idea!?”	本当にそれでいいんですか！？」
“I mean is that the way a professional,	「これがプロフェッショナルの
a Turk, would act!?”	タークスなんですか！？」
Reno	レノ
“Elena.	「イリーナ。
Don't misunderstand.”	かんちがいするなよ、と」
“Those who sacrifice themselves	「仕事のためにすべてを
for their job aren't pros…	犠牲にするのがプロじゃない。
…just fools.”	そんなのはただの仕事バカだ、と」
Elena	イリーナ
“Rude?”	「ルード先輩……」
Rude	ルード
“…”	「…………」
Elena	イリーナ
“Well, I don't buy that!	「私にはわかりません！
Goodbye!!”	……失礼します！！」
Reno	レノ
“Relax.	「ほうっておけよ。
She's not a child.	こどもじゃないんだ。
Let her have her way.”	好きにさせるさ、と……」
Reno	レノ
“…	「…………
It's just that we're off duty!”	休暇だから手を出さないだけだ」
“I don't feel like drinking with you.	「お前らと酒を飲む気はない。
And don't talk to me.”	気安くはなしかけるなよ、と」
“Hey.	「ウーイ。
Did you hear?	旅の人、知ってるかい？
There used to be a Water God	このウータイには
here in Wutai.”	むかし水神様がいたんだナ」
“They say the Water God was a	「そりゃあでっけえ
huge snake!”	ヘビみてえな神様だったって
	話だ」
“Now we live in a world filled with Mako.	「今は魔晄の世の中だ。
Not many people would believe	そんなもん信じる人間も
in something like that now.”	少なくなったけどナ」
“But some in the world,	「でもこのウータイや
and here in Wutai,	世界のどこかには
still believe.”	まだあるらしいんだナ」
“Believe in the scales of the Water God	「水神様のうろこだとか
and in Materia that has its power in it.”	水神様の力をふうじた
	マテリアとかがさ」
“Congrats!	「おお！
You have just found all six	アナタ、この『かめ道楽』の
flyers for the "Turtle's Paradise"!	チラシを、６枚すべて
	見つけられましたね！」
“How wonderful!	「なんとすばらしい！
Now here is your prize,	それではお約束どうり
just as we promised!!	ささやかな景品を！！」
“Please come again to	「これからも『かめ道楽』を
"Turtle's Paradise"! We're	よろしくおねがいします！」
looking forward to seeing you!”	
Wutai‚Pagoda	ウータイ五強聖の塔
	
“That five-storied pagoda	「あそこに見える五重の塔は
over there is called	ウータイ五強聖の塔。
the Pagoda of the Five Mighty Gods…”	五強の塔と呼ばれています」
“The Five Gods are Power, Speed,	「五強聖とは力、速、魔、武
Magic, War and Omni. Omni has	そして、すべてをかねそなえた
the best of the others.”	総の５人を意味します」
“For generations, we in Wutai have	「そしてここウータイでは
worshipped Da-chao the Water God.”	古くからダチャオ様と
	水神様がまつられています」
“Legend has it that the village has	「古来よりこのウータイは
been protected by Da-chao,	五強聖とダチャオ様、水神様により
the Water God, and the Five Mighty Gods.”	守られてきたと言われているのです」
“But, in the last battle,	「しかしこの前の戦では
we didn't fare so well…	それもかなわず……
I guess our beliefs were	やはり伝説は伝説に
only based on legend.”	すぎなかったのかもしれません」
“Have you ever heard of the	「水神様のうろこの
Water God's scales?”	話を聞いたことがありますか？」
“They're not just regular scales.	「なんでも不思議な力を
They have special hidden powers.	ひめたうろこで
They're impervious to	それを前にすると
the strongest flames.”	どんな炎でも消えてしまうとか」
“But, of course, I don't think	「とは言え、そんなものがあっても
they'd stand up to the fire	さすがにあの、不気味に燃える星の
that huge eerie-lookin' Meteor's	炎までは消せそうもありませんが……」
gonna make when it crashes down.”	
Reno	レノ
“Hmm…	「フン、コルネオのやつ、あいかわらず
Corneo's good at escaping…”	逃げ足だけはたいしたものだ、と」
Rude	ルード
“…Elena.”	「……イリーナ」
Reno	レノ
“Let's go, Rude.	「行こうぜ、ルード。
