Ropeway Station	ロープウェイ乗り場
“Sorry it's out of order.”	「もうしわけございませんがこちらはただいま故障中です」
CLOUD	CLOUD
“Who should I ride with?”	「どっちと乗るか…」
“Welcome.	「いらっしゃいませ
This attraction is 3 GP.	こちらのアトラクションの
	お値段は３ＧＰに
	なっておりますが
“Shall you be riding this evening?”	「お乗りになられますか？」
Yes, I shall	お乗りになる
No, I shan't	お乗りにならない
“Um, I'm very sorry, but	「あの、まことに
you do not have enough GP.”	もうしわけございませんが
	ＧＰがたりませんようです」
“Would this be your	「こちらの乗り物は
first time riding with us?”	初めてでございますか？」
Yes, it would	初めてでございます
No, it would not	初めてでは無いでございます
“You will be able to see	「こちらの乗り物は
all of Gold Saucer	中からゴールドソーサーの色々な景色が
park on this ride.	お楽しみいただけます。
So please just sit back and	ただ、すわっているだけでは
enjoy a lovely view you	見ることの出来ない景色も
won't see anywhere else.”	多くございますのでマドから
	のぞいてみるとよろしいですよ」
“Is that right?”	「さようでございますか」
“This attraction can only	「それとこちら、お２人様専用の
accommodate 2 passengers, so one	アトラクションになってございますので
of you please wait over there.”	お１人様はこちらでおまちください」
“Enjoy the sights	「では、ゴールドソーサーの
of Gold Saucer.”	景色をごゆるりとお楽しみ下さい」
“Sorry but there's no show now.”	「わるいね、今の時間は何もやってないよ」
“We put on a really unusual show here.	「ここは、一風変わったショーをするんだ
But not today, so come back	今日はやってないみたいだけど
again sometime and see it.”	また、きてみるといいよ」
“What's your problem?	「な、なんだよ
Can't you see we wanna be alone?”	２人のじゃまをしないでくれ」
“Geez, what a jerk.	「ふっ、君もブスイな人だ
Why don't you just leave us alone?”	２人だけにしておいてもらえないか」
“Hey, I finally got 5000 points.”	「へへへ、ついに５０００点を
	とったぜ」
“Hey, I got 5000 points again.”	「へへへ、また５０００点を
	とったぜ」
“Hey, since the prizes changed,	「へへへ、景品が変わったんで
I got 5000 points again.”	また５０００点を取ったぜ」
“Hey, I finally got 'Undecided 4'.”	「へへへ、ついに【未定４】を
	手に入れたぜ」
“Hey, I finally got 'Undecided 5'.”	「へへへ、ついに【未定５】を
	手に入れたぜ」
“Wow!! You're so wonderful!!”	「キャー！！　ステキー！！」
“Man, I finally got a prize…”	「ああ、やっと景品を
	もらうことが出来た…」
“Well, I guess I'll go and get some more GP.”	「また、ＧＰをかせぎに行くか」
“First, I gotta memorize	「やっぱり、出てくる
the order it comes out,	順番を覚えて、先よみして
and then guess on the attacks…	攻撃すれば……
…mumble, mumble…”	ブツブツ……」
“We have to be careful	「こういう階段って
of these steps.”	気を付けないとね」
“What?	「なにをって…
A lot of things…”	色々だよいろいろ」
“Yaaay!!”	「わ～い！！」
“Eyyaaaaaa!”	「キャッキャ！」
“Come on now, no running.”	「これこれ、走るんじゃないよ」
“Now, now, be careful of Meteor.”	「これこれ、メテオには気をつけるんだよ」
“I'm dizzy!!”	「クラクラ～！！」
“Welcome to the Gold Saucer.”	「ゴールドソーサーにようこそ」
“Phew…”	「ふう……」
Man	男
“Hey boy.”	「そこの少年」
CLOUD	CLOUD
“Boy…”	「少年……」
Man	男
“How is it? You having fun?”	「どうだね？　楽しんでいるかね？」
“Mmm, so, you ARE having fun.	「ん、そうか、楽しんでいるか
Well, good, good for you boy.”	よかった、よかった、な少年よ」
CLOUD	CLOUD
“My name's CLOUD.	「俺は、CLOUDだ。
And stop calling me boy.”	少年というのはやめてくれ」
Dio	ディオ
“Mmm? Me?	「ん？　私か？
I'm the owner of the Gold Saucer.	私は、ここゴールドソーサーの園長
The name's Dio.	ディオという」
“Just call me 'Dio'.”	「気軽に『ディオちゃん』と呼んでくれ」
CLOUD	CLOUD
“(He's not even listening)”	「………（聞いちゃいないな）」
Dio	ディオ
“By the way, boy,	「そうだ、少年。
do you know what a 'Black Materia' is?”	『黒マテリア』を知っているか？」
Yeah, I know	知っている
What is it?	知らない
Dio	ディオ
“Ha ha ha…that, I say, that's	「ははははははは、少年！
a good one, boy! But it's not	ウソはいけない。　この私の目は
good to lie. You can't fool me.”	ごまかせないぞ」
Dio	ディオ
“Oh, so you do know?”	「おお、やはり知っているか」
CLOUD	CLOUD
“Why d'you ask me?”	「なぜ俺に聞いた？」
Dio	ディオ
“Well, a while back, a boy your age	「少し前に、少年くらいの少年が来て
came in and asked me if I had	『黒マテリア』はないかと
Black Materia.'”	聞いていったのでな」
Dio	ディオ
“I thought you might know who he was,	「同じくらいの少年なら
seein' as how you're both	知っているのかと思ってな」
about the same age.”	
CLOUD	CLOUD
“Did he happen to have…a black cape?”	「その男は黒いマントの……」
Dio	ディオ
“Why yes, yes indeed.	「その通りだ。
And a tattoo on his hand	それに手の甲に『１』の
that said '1'.”	タトゥーをしていたぞ」
CLOUD	CLOUD
“Where did he go!?”	「その男、どこへ行った！？」
Dio	ディオ
“Ha ha ha, I have no idea.”	「はははははは、そんなことは
	さすがの私も知らんよ」
Dio	ディオ
“Well then.”	「では」
Dio	ディオ
“I say, stop by the Battle Arena	「おお、そうだ少年よ。
if you like, boy.”	よかったら、闘技場によってみてくれ」
“You'll probably like it.	「君なら気に入ってくれると思うよ。
Many of my collections	私のコレクションの数々も
are on display there.”	かざってあることだし」
Dio	ディオ
“Ha, ha ha.”	「はははははは」
Speed square	スピードスクェア
“This way, Sir,	「お客さま
to register.”	お申しこみは
	こちらでおねがいします」
“This attraction	「こちらのアトラクションは
costs 10 GP.”	１０ＧＰになります」
Pay	はらう
Changed my mind	やっぱりやめた
“Is this your first time?	「お客様は、こちら初めてでございますね？
First, listen to the explanation	まずは、ゲームの内容をそちらで
of the game over there.”	お聞きになるのがよいかと思います」
“Thank you.”	「はい、ごあんな～い」
“Later, just a second.”	「後、ほんの少～し、まって」
“…	「…………
You don't have enough GP”	お客さん、ＧＰがたりません」
“Hear the rules	「は～い、このアトラクションの
for this attraction?”	ルールを知りたい？」
Yes	ああ
Not interested	興味ない
“This attraction is the	「このアトラクション
Shooting Coaster.”	『シューティングコースター』はね」
“While your ride's going ZOOM, you're	「ゴーッと走る中にピュンピュンと
going BANG BANG, and things are going	出てくる物をバンバンと撃って
PHEW PHEW and you destroy them with a	ドッカーンとやっつけるの。
big BOOM. Pretty simple, isn't it?”	どう、簡単でしょ？」
“Oh, to shoot, hit [OK].	「あっ撃つのは○ボタンよ。
The bar on the	それから～、画面左についてるバーは
left side of the screen is	パワーメーターなの」
your Power Meter.”	
“When it's full, it'll go BROOOOOM and	「いっぱいの時うつと、ガーンていって
when it's empty, it'll only go	少ないときはチョビチョビって
…brm…and putter out.	弱くなっちゃうの、気をつけてね」
So be careful.”	「あとね、お客さんの点数は上位３つまで
“If you make it to the Top 3,	出口の人が記録しておいてくれるの
you'll get on the Wall of Fame.”	がんばってね♥」
“It's currently under repair…”	「ただいま、故障中でして…」
“I'm sorry, please come again.”	「ごめんなさい、また来てね」
Platform	プラットホーム
Current GP	現在の持ちＧＰ
GP	ＧＰ
“Wait just a little longer please.”	「もうチョットまって」
“You had	「あなたの得点は
points.”	点でした」
“Your score is	「あなたの得点は
points.”	点です」
“Would you like to see the Wall of Fame?”	「あなたのスコア記録を見ますか？」
Yes	ああ
Not interested	興味ない
“You'll receive a prize if you get	「３０００点以上取ったら
more than 3000 Points. So good luck.”	景品があります、ガンバッテください」
HighScore CLOUD	ハイスコア　CLOUD
CLOUD	CLOUD
“Ugh…”	「うっ…」
“Welcome.	「いらっしゃいませ
Thank you for coming to	当ゴーストホテルへおいでいただき
the Ghost Hotel.”	まことに、ありがとうございます」
“Welcome.	「いらっしゃいませ
No matter what happens in this world,	世界がどうなろうとも
The Ghost Hotel will always be in business.”	当ゴーストホテルは元気いっぱい
	営業させていただきます」
“Uuuuuuuuuugh……”	「ひっひっひっひっ」
“For reservations, please	「お部屋のご予約は
step up to the counter.”	奥のカウンターでどうぞ」
“Welcome!”	「いらっしゃいませ」
“It's our most popular employee,	「当ホテルの人気者
Mr. Hangman.”	首つり君でございます」
Mr. Hangman	首つり君
“Welcome!”	「ようこそ！」
“It's 5 GP a night.	「１夜　５ＧＰですが
Would you like to stay?”	おやすみになられますか？」
Yeah, all right	ああ
No thanks	えんりょしておく
“Ugh, ugh, ugh, ugh!	「ひょっひょひょ
Enjoy, ugh, your stay.”	よい、夜を　ひょっひょひょ」
“Ugh, ugh, ugh	「ひょひょひょ
You don't have enough GP.”	ＧＰがありませんな」
Hotel Lobby	ホテルロビー
Current GP	現在の持ちＧＰ
GP	ＧＰ
	
Mr. Hangman	首つり君
“Sir…Please	「お客さん
register at the counter!!”	お部屋のご予約は
	カウンターでどうぞ！！」
[Turtle's Paradise]	【かめ道楽　通信】
No. 3	ナンバー３
“Forget the bad times	「ゴールドソーサーに
with a nice drink…	ただひとつ、たりないもの……
Only thing missing	それはおいしいお酒と
in the Gold Saucer is…	ムードのある居酒屋！
A pub with good drinks	ぜひいちど
and a great atmosphere!	居酒屋『かめ道楽』へ！！」
Stop in the	
Turtle's Paradise!”	
Hotel Shop	ホテルショップ
	
Mr. Hangman	首つり君
“Welcome.”	「いらっしゃい」
Arena Lobby	闘技場ロビー
	
“Whenever you come to the Gold Saucer,	「ゴールドソーサーに来たら
I recommend you visit the owner's museum	ここの園長ディオ様の
at least once.”	数々のコレクションを１度はのぞいて
	いくことをおすすめしますよ」
“Crap!	「ちっ！
I still don't have enough points.”	まだ、ポイントが足りねぇか」
“Hmm…”	「ふむ…」
“So, uh, how've things been since then?”	「おう、その後の調子はどうだい？」
No sweat	まかせろ
They're going	ボチボチだな
“Hmm, pretty good.”	「ほう、たいしたもんだ」
“Ha ha ha!	「ハハハッ！
Well, good luck.”	まぁ、がんばんな」
“Mmm? You're new here, aren't you?	「ん？　あんた新顔だな？
Then, you want an explanation	なら、おれ様がこの闘技場のことを
of the Battle Arena?”	教えてやろうか？」
Yeah	たのむ
Not interested	興味ないね
“What, you too?	「なんだ、あんたもかい？
With the way things are in the world,	まったく、こんな世の中だってのに
It makes you wonder	なにやってんかね、オレらは」
what we're doin' here?”	
“Well, it's a little late for me	「ま、いまさらジタバタしてもしゃ～ないし
to run around now,	こうして、スキなことをやってるのが
so I do what I love,	１番だねオレは」
it works best for me.”	
“Oh, by the way, did you know?	「そうそう、あんた知ってるかい？
I heard that there's going to be a battle	ここにはよ、最強と認められたもののみが
and only the strongest	参加をゆるされるバトルが
will be allowed to participate.”	あるって話だぜ」
“But what do they mean by 'strongest'?	「しかし、最強ってのもあいまいだよな
If ya ask me I'll say it's 'weapons.'”	とりあえず、武器かな。」
“But, there's gotta be a way	「それと、ここでの強さもコジしねぇとな。
to measure this, too.	う～ん、もう１つぐらい決め手がほしいか」
Mmm, we need	
another way to measure strength.”	
“You fight here and collect	「ここは、戦って戦って戦い抜いて
battle points.	バトルポイントをもらい
You can then exchange	そいつで商品をもらう所さ」
those points for prizes.”	
“The Battle Game…even though it's a game	「バトルゲーム…、ゲームといっても
you still use all your physical abilities.	体を張ったゲームだがな
To participate,	これには奥のフロントで
go to the front and pay yer GP's.”	ＧＰを払って、ゲームに登録すればいい」
“You can fight in up to eight battles.	「バトルは８戦まで連続で
The more you win,	行うことができる。
the more battle points you get.”	もちろん勝ち抜けば勝ち抜くほど
	もらえるバトルポイントは増えていく」
“But, if you lose,	「ただし、途中で敗けた場合
you lose all your points	そのバトルでかせいだポイントは０になる
So it's up to you whether	勝った時点で、次のバトルに進むか
or not to fight after each win.”	どうかは、あんたの自由ってわけさ」
“They also make	「それと、バトルにはハンデがつく
it harder by givin' out handicaps.”	こちらの不利な条件だらけだ」
“They decide what	「ハンデの内容は向こうがきめる
handicaps there'll be, and	こっちは、何のハンデを背負うかは
you won't know what	バトル直前までわからん」
you're up against until the battle.”	
“Oh yeah, once you leave the Battle area,	「最後に、バトルポイントは
all your battle points will	『闘技場』をでると
become useless. So watch it.”	無効になっちまう、気をつけな」
“Oh, and one more thing. The maximum	「おっと、それと個人のバトルポイントの
points you could get is 65000,	所有は６５０００までだ。
no more. So if you get that many	それ以上は入手できない
you should exchange them for something.”	１回商品に換えることだな」
“Sir, that entrance is for the	「お客様、そちらはバトルゲームへ
challengers who have already	登録をすませた、チャレンジャーが
registered. Please register here.”	入るところです。
	登録をこちらですませてください」
“Um, I'm sorry, that's only for registered	「あっ、そっちはゲームに登録した人が
participants. You can't	入るところだから、まだしてない
enter there until	あなたは、入れないわけ。
you register.”	こっちで登録してからにして」
“I'm sorry to announce that	「もうしわけございませんが
our prizes have changed.	商品が変わりましたので
Your previous battle points	前回までのバトルポイントは
are no longer valid.”	無効になりました」
“Welcome. You currently have	「ようこそ、あなたのバトルポイントは
battle points.”	ポイントです」
“Would you like to exchange them?”	「商品と交換いたしますか？」
Yeah	ああ
No, thanks	やめておく
“Thank you very much.	「ありがとうございました
Please remember, your battle	バトルポイントは闘技場内より
points become invalid	外に出ますと無効となりますので
once you leave the Battle Arena.”	ご注意ください」
“Man, I knew I should've stopped.	「やっぱり、あそこで
But it's so hard to stop…”	やめておけばなぁ
	ヤメ時がむずかしいんだ…」
“Maybe I could've made it a little further.	「もうチョットいけたかなぁ
It's so hard to know when to stop…”	ヤメ時がむずかしいんだ…」
“All right, it should be my turn	「さ～て、アタシもそろそろ
comin' up here soon.”	また戦うかな」
“I'm not going to lose this time!”	「今度は、負けないわ」
“I'll give that Meteor my ultra kick…	「メテオなんて、アタシのこのケリで
…or…maybe not.”	ガツーン……、というわけには
	いかないか？」
“Hey, have you heard?	「ねぇ、知ってる？
Something awful happened!”	なんかスゴイ事があったらしいわね」
“Two staff members and	「神羅兵と一練にここのスタッフまで
some Shinra soldiers were shot.”	撃たれたって聞いたわ」
“The soldiers died instantly,	「けど、撃たれた神羅兵は即死だった
but the staff survived.”	らしいけど、スタッフは２人とも
	ケガだけですんだって話よ」
“Those two over there eloped,	「そこの２人、カケオチしちゃったのよ
saying something about	『最後の時を君と～』とか
Our last moments together---'	なんとか言っちゃってさ
I can't bear it.”	まいっちゃうわね」
“I don't have anyone special in my life	「ま、私にはそんな人いないし
but when it happens, it happens.”	こうなったら、なるようにしか
	ならないでしょ」
“…that's why I'm working now.	「ってわけで私は働いてるわけ。
Oh, sorry for going off like that…”	あっ、ゴメンなさいグチっちゃって」
BARRET	BARRET
“Dyne…”	「ダイン……」
“You know, I've been thinking about it	「ねぇねぇ
for a while now,	前から思ってたんだけど
but you must be pretty strong.”	あなた、とっても強いわよね？」
“Probably strong enough to take on	「たぶん、歴代ファイターでも
the top 1 or 2 fighters?”	１、２をあらそう強さだわ」
“Maybe you'll be good	「あなたなら、あれに挑戦できるかも
enough for the big match…”	知れないわね……」
“How 'bout it? There's a private battle	「どう？　とっておきの裏バトルが
only for the strongest. Wanna try?”	あるんだけどやってみる？」
Let's do it	やってやるぜ
Not interested	興味ない
“Register for battle?	「バトルに登録しますか？
The entrance fee is 10 GP.”	登録料は１０ＧＰです」
Try the special battle	裏バトルをやる
Try the regular battle	普通のバトルをやる
Not interested	興味ない
“Register for battle?	「バトルに登録しますか？
The registration fee is 10 GP.”	登録料は１０ＧＰです」
Let's do it	やってやるぜ
Not interested	興味ない
“This is a one-on-one battle.	「バトルへの参加は
Which one of you will participate?”	１人となっております
	どなたが参加いたしますか？」
“You can fight up to eight battles.	「バトルは連続して８回まで
But the more battles you fight,	することができます。
the greater your handicap,	数をますごとにハンデやモンスターが
and stronger the monsters will become.”	強くなりますのでご注意ください」
“Well, good luck.”	「では、お気をつけて」
“Seems like you do not have enough GP.”	「ＧＰが足りないようですね」
Gained  Battle Points	「バトルポイントを
	ポイント獲得」
Total  BP	合計　　ＢＰ
Current GP	現在の持ちＧＰ
GP	ＧＰ
CLOUD	CLOUD
“Well, I guess I'll enjoy	「さて、たまには
a few battles.”	戦いを楽しむか」
CLOUD	CLOUD
“All right, I'll show 'em.”	「よし、ガンバルぞ」
BARRET	BARRET
“I'm gonna bust the place up!”	「あばれまくってやるぜ！」
TIFA	TIFA
“I'll show 'em with a BANG!”	「ガツーンといくわよ！」
AERIS	AERIS
“Let's make this quick.”	「サクッといってみよっかな」
RED XIII	RED XIII
“I guess it'll be fun to show off	「腕だめしには
what I've got.”	ちょうどいいかな」
CID	CID
“Let ol' CID	「このCID様にまかせとけ！」
show ya how it's done!”	
YUFFIE	YUFFIE
“I'll show you my moves!”	「アタシのカレイな舞をみせてやる！」
VINCENT	VINCENT
“Hmph…I'll show them	「フッ……戦いと言うものを
what real fighting is.”	教えてやろう」
CAIT SITH	CAIT SITH
“Then, I'm off!”	「ほな、行くで～！」-
Changed my mind	やっぱりやめた
Current BP	所持ＢＰ
Potion = 80	ポーション　　　８０
Phoenix Down = 160	フェニックスの尾　　　　１６０
Shrapnel = 320	ボムのかけら　　　　　　３２０
Ether = 640	エーテル　　　　　　　　６４０
Memmet Greens = 1280	ミメットの野菜　　　　１２８０
Fury Ring = 2560	怒りの指輪　　　　　　２５６０
Enemy lure = 5120	てきよせ　　　　　　　５１２０
Pre-Emptive = 10240	せんせいこうげき　　１０２４０
Speed Plus = 20480	スピード　　　　　　２０４８０
Championship Belt = 40960	チャンピオンベルト　４０９６０
Phoenix Down = 100	フェニックスの尾　　　　　１００
Remedy = 200	万能薬　　　　　　　　　　２００
Memmet Greens = 400	ミメットの野菜　　　　　　４００
Enemy lure = 800	てきよせ　　　　　　　　　８００
Bird Wing = 1600	巨鳥のハネ　　　　　　　１６００
S-Mine = 3200	Ｓマイン　　　　　　　　３２００
Pre-Emptive = 6400	せんせいこうげき　　　　６４００
Speed Plus = 12800	スピード　　　　　　　１２８００
Championship Belt = 25600	チャンピオンベルト　　２５６００
Omnislash(Limit 1) = 51200	超究武神覇斬（限定１）５１２００
Remedy = 100	万能薬　　　　　　　　　　１００
Enemy lure = 250	てきよせ　　　　　　　　　２５０
Right Arm = 500	ボムの右腕　　　　　　　　５００
Pre-Emptive = 1000	せんせいこうげき　　　　１０００
Regan Greens = 2000	レイゲンの野菜　　　　　２０００
Speed Plus = 4000	スピード　　　　　　　　４０００
Stardust = 8000	星の砂　　　　　　　　　８０００
Championship Belt = 16000	チャンピオンベルト　　１６０００
Omnislash (Limit 1) = 32000	超究武神覇斬（限定１）３２０００
W-Summon (Limit 1) = 64000	Ｗしょうかん（限定１）６４０００
Changed my mind	やっぱりやめた
	
“You do not have enough battle points.”	『バトルポイントがたりません』
“We are currently out of this prize.”	『こちらの商品は品切れです』
Received "Potion"!	『ポーション』を手にいれた！
Received "Phoenix Down"!	『フェニックスの尾』を手にいれた！
Received "Shrapnel"!	『ボムのかけら』を手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Received "Memmet Greens"!	『ミメットの野菜』を手にいれた！
Received "Fury Ring"!	『怒りの指輪』を手にいれた！
Received "Enemy lure"!	『てきよせ』のマテリアを手にいれた！
Received "Pre-Emptive" Materia!	「『せんせんこうげき』のマテリアを
	手にいれた！」
Received "Speed Plus" Materia!	『スピード』のマテリアを手にいれた！
Received "Championship Belt"!	『チャンピオンベルト』を手にいれた！
Received "Remedy"!	『万能薬』を手にいれた！
Received "Bird Wing"!	『巨鳥のハネ』を手にいれた！
Received "S-Mine"!	『Ｓマイン』を手にいれた！
Received "Omnislash"!	『超究武神覇斬』を手にいれた！
Received "Right Arm"!	『ボムの右腕』を手にいれた！
Received "Regan Greens"!	『レイゲンの野菜』を手にいれた！
Received "Stardust"!	『星の砂』を手にいれた！
Received "W-Summon" Materia!	『Ｗしょうかん』を手にいれた！
