Weapon seller	武器職人の小屋
“Ultimate Destruction Magic…?”	「究極の破壊魔法……」
“Come on!	「だ・か・ら！
I said don't take it seriously!”	本気にするなって言うの」
“Hey, don't just	「おいおい、勝手に
come bargin' in here!”	開けないでくれよ」
“You again?	「また、来たのかい？
All right, what is it?”	まぁ、いいけどな」
“Huh? What?	「ん？　なんだ？
If it's the Keystone you want	キーストーンなら
I already sold it!”	売っちまったよ」
“All the weapons you see here	「ここの武器は
I made myself.	ぜ～んぶ、オレ様の作品だ。
But lately I haven't been able	けど、最近は材料が
to get materials…”	手に入らなくてなぁ」
“Hey you wouldn't happen to have any	「そうだ、あんたたち
Mythril on you, would you?	ミスリルは持ってねぇか？
I'll trade you something good	もし、ゆずってくれるなら
if you could spare some.”	何かプレゼントするぜ」
“All the weapons you see here	「ここの武器は
I made myself.	ぜ～んぶ、オレ様の作品だ。
But lately I haven't been able	けど、最近は材料が
to get materials…”	手に入らなくてなぁ」
Give him some	ゆずる
Forget it	ゆずらない
“Hey thanks!	「ありがてえ
All right you can help yourself	じゃあ、大きいハコか
to either a big or small box.”	小さいハコか１つ選んで
	持ってっていいぜ」
“Yeah?	「そうかい
Well, guess that's that.”	まぁ、しょうがねぇな」
Received "Gold Armlet"!	『金の腕輪』を手にいれた！
Received "Great Gospel"!	『大いなる福音』を手にいれた！
CLOUD	CLOUD
“…No one's here.	「誰もいないようだ……
We'll come back later.”	後で、また来てみよう」
“What?	「なんだ？
You want to rest?”	やすみてぇのか？」
Yep	そう
Nope	そうでもない
“Oh all right.	「しょ～がねぇな
You can use that bed.”	ベット使っていいぜ」
Keystone	『キーストーン』
Star Cup	『星杯』
Weekend Clock	『週末の時計』
Laugh Sapling	『笑うなえぎ』
Slayer's Pot	『スレイヤーのつぼ』
Chisa's Mask	『チサのカメン』
Dio's Portrait	『ディオ画』
D Type Equipment	『Ｄガタ装備』
Kleine's Pot	『クラインのつぼ』
Calling Gourd	『呼びかけるひょうたん』
Zauger's Cup	『ゾウゲの杯』
	
CLOUD	CLOUD
“It's the Keystone…”	「キーストーンだ……」
Dio	ディオ
“Heh, heh, heh.	「はっはははははは
Long time no see, boy.	久しぶりだな少年よ
Hmm? You like that, huh?”	ん？　それが、気に入ったかね？」
Dio	ディオ
“I got it from the guy in	「それは、ここから『川』をはさんで
a little shack south	南にある小屋にすんどる男から
of here, past the 'River'.”	ゆずってもらったのだよ」
Dio	ディオ
“If you want to know more,	「それについてくわしい
go there and talk to him.”	話を聞きたいのならば
	そこに行きたまえ」
CLOUD	CLOUD
“Can you let me borrow this?”	「これを貸してもらえないか？」
Dio	ディオ
“Heh, heh, heh.	「はっはははは
Sorry, but it's not for rent.”	残念だが、貸し出しは禁止だよ」
Dio	ディオ
“Hmm.”	「ふ～む」
“Since you've been good to me in	「しかし、話によっては
the past, I CAN let you have	ゆずらないこともない
it on one condition.”	君たちには、かりもあるしねぇ」
CLOUD	CLOUD
“One condition?”	「条件は？」
Dio	ディオ
“Heh, heh, heh.	「はっははははは！
Entertain me!”	わたしを楽しませてくれたまえ！」
What do I gotta do?	何をすればいい？
Not in the mood.	そんな気分じゃない
Dio	ディオ
“Hoo boy!”	「そうこなくては！」
Dio	ディオ
“I see…	「そうか……
Then let's pretend that this	では、この話は
never happened.”	なかったことにしよう」
Dio	ディオ
“Heh, heh, heh! So!	「はっはははは！　やはり
You want the Keystone, right?	キーストーンが欲しいのだろう？
How 'bout entertaining me first?”	わたしを楽しませてくれるのかな？」
What do I gotta do?	何をすればいい？
Not in the mood.	そんな気分じゃない
Dio	ディオ
“Heh, heh, heh.	「はっはははは
Nothing all	そうむずかしいことではないよ」
that difficult.”	
“This is the Battle Arena.	「ここは、闘技場だ。少年のその力
Show me your fighting skills.	わたしに見せてくれたまえ。
Just you, boy.	少年１人でな。
I'm expecting a good fight!”	期待しているぞ！」
Dio's Museum	ディオの展示場
Dio	ディオ
“That's the best you could do?	「ふ～む、こんなものか。
Well, a promise is a promise.	まぁ、よかろう約束だ。
Go ahead, take it.”	もっていきたまえ」
Dio	ディオ
“Hmm, you did pretty well,	「なかなか、やるではないか少年！
young man!	
“Good, it's a promise,	「よかろう、約束だもっていきたまえ。
so go ahead and take it.	ついでに、こいつもやろう」
I'll give this to you too.”	
Dio	ディオ
“Heh, heh, heh!	「はっはははは！
Well done, young man!	やるな、少年よ！
And, as I promised,	よし、約束だもっていきたまえ。
you can take it.	そうだ、これもやろう」
Oh, and I'll give you this too.”	
Received Key Item "Keystone"!	キーアイテム『キーストーン』を手に入れた！！
Received "Protect Vest"!	『防弾チョッキ』を手に入れた！！
Received "Choco Feather"!	『チョコボのはね』を手に入れた！！
Dio	ディオ
“We shall meet again!	「では、またあおう少年！
Heh, heh, heh.”	はっはははは」
AERIS	AERITH
“With this,	「これがあれば
We can get into the	古代種の神殿、はいれるね。
Temple of the Ancients.	
Let's go, CLOUD!”	行こ！　CLOUD」
TIFA	TIFA
“With this Key Materia,	「このキーマテリアで
We can get in to the	古代種の神殿にはいれるわ。
Temple of the Ancients.	
Let's go, CLOUD!”	行きましょう、CLOUD」
BARRET	BARRET
“This'll get us into the	「これで、古代種の神殿とかに
Temple of the Ancients, right?”	入れるんだろ？」
	
Staff	係員
“Excuse me, sir.”	「あっ、お客さん」
Staff	係員
“I'm sorry.	「申し訳ございません。
The Tram is out of order right now.”	ロープウェイが
	故障してしまいまして」
CLOUD	CLOUD
“…So?”	「……ということは？」
Staff	係員
“I'm really sorry!”	「申し訳ございません！」
Staff	係員
“I'm afraid you won't be able to leave	「修理が終わるまで
until it's fully repaired.”	ここから出られないのです」
CAIT SITH	CAIT SITH
“What's wrong?”	「どないしたんですか？」
CAIT SITH	CAIT SITH
“Too bad.	「しゃあないな～。
It happens, though.”	ときどきあるんですわ」
CAIT SITH	CAIT SITH
“I know! Let's stay at the hotel!	「せや！　ここのホテルに泊りましょ！
They know me here.	ちょっと、顔きくんですわ
I'll go talk to them.”	話つけてきます～」
Staff	係員
“I will let you know once	「修理が終わりしだい
the repairs are completed.”	連絡させていただきます」
AERIS	AERITH
“Are you thinking of just us going back?”	「わたしたちだけ、もどるの？」
TIFA	TIFA
“Hey, CLOUD,	「ちょっと、CLOUD。
Are we going back without the others?”	私たちだけでもどるの？」
RED XIII	RED XIII
“Are we leaving the others?”	「みんなを置いてもどるの？」
YUFFIE	YUFFIE
“CLOUD!	「CLOUD！
Are we just going to leave the others?”	アタシたちだけで
	もどってどうするんだ？」
CAIT SITH	CAIT SITH
“We don't usually get the chance to be	「そういや、全員そろうのは
together like this, huh?”	めったにありませんな」
CAIT SITH	CAIT SITH
“CLOUD, how 'bout it?	「CLOUDさん、どうやろう。
Can you tell me what's happened so far?”	このへんでここまでのまとめ
	やってもらえませんか？」
“I don't really know what's goin' on because	「ボクは、途中参加やから
I wasn't here in the beginning.”	よぉわからんとこあるんです」
CID	CID
“Yeah! I'm for that!”	「おっ！　賛成だぜ！」
VINCENT	VINCENT
“Good idea.”	「それはいい考えだ」
BARRET	BARRET
“I been here since the beginnin',	「オレは最初からいるけど
an' I still don't know what	よくわからなくなっちまった」
the hell's goin' on either.”	
BARRET	BARRET
“CLOUD, the hell's goin' on?	「CLOUD、何がどうなってんだ？
C'mon, tell us!”	まとめてくれ！」
I'm tired…	つかれてるからイヤ
All right, I'll give it a shot…	やってみよう
CID	CID
“All we have to do now is sleep!	「あとはねるだけじゃねえか！
You're still young!	若いくせになに言ってんだよ！」
What're you complaining about?”	
CLOUD	CLOUD
“Phew…”	「ふう……」
CLOUD	CLOUD
“We are going after Sephiroth.”	「俺たちはセフィロスを
	追いかけている」
“Sephiroth must be in search of	「セフィロスは約束の地を
the Promised Land.”	めざしているはずだ」
CID	CID
“The Promised Land?”	「約束の地だぁ？」
CLOUD	CLOUD
“A land full of Mako energy.	「魔晄エネルギーに満ちあふれた
…Or at least that's	豊かな土地。
what the Shinra believe.”	……これは神羅の考え方だ」
“I don't know	「じっさいにはどんなところなのか
if it actually exists.”	どこにあるのかすらわからない」
AERIS	AERITH
“The Cetras will return to the Promised Land.	「セトラの民は約束の地へ帰る。
A land that promises boundless happiness.”	至上の幸福が約束された運命の土地」
BARRET	BARRET
“Cetra? That some kinda disease?”	「セトラノタミ？　なんだ、それ？」
AERIS	AERITH
“That's what the Ancients	「古代種は自分たちのことを
call themselves.”	そう呼んでいたの」
“Hey, didn't you	「ねえ、コスモキャニオンで
listen to the elders	長老たちの話、聞かなかったの？」
at Cosmo Canyon?”	
AERIS	AERITH
“…You don't 'know' where the	「……古代種も約束の地、どこにあるか
Promised Land of the Ancients is.”	知ってるわけじゃないってこと」
AERIS	AERITH
“You search and travel, until you feel it.	「求めて、旅をして、感じるの。
Then you just know	ああ、ここが約束の地だ、ってね」
that you've found it.”	
CLOUD	CLOUD
“AERIS…can you feel it too?”	「AERITHも……わかるのか？」
AERIS	AERITH
“I think so.”	「たぶん、ね」
TIFA	TIFA
“So Sephiroth is traveling the world	「セフィロスが世界のあちこちを
because he's searching for the Promised Land?	歩き回ってるのは
Is that it?”	約束の地をさがしてるのね」
AERIS	AERITH
“He's searching for that,	「それだけじゃない、きっと。
and one other thing.”	ほかにも探してるものがある」
CLOUD	CLOUD
“The Black Materia?”	「黒マテリア……だな」
CAIT SITH	CAIT SITH
“I heard from Dio	「ディオさんから、聞きましたで。
that a man in a black cape	黒マントの男が
was lookin' for the Black Materia.”	黒マテリア探してるって」
TIFA	TIFA
“I've never heard of Black Materia…”	「その黒マントもわからないわ」
TIFA	TIFA
“How many men with black capes	「数字のイレズミがある黒マントの人たち。
and number tattoos are there?”	何人いるのかしら？」
RED XIII	RED XIII
“…You know, of course,	「……あのさ。
my tattoo is number 13.”	オイラのイレズミは１３なんだけど」
CLOUD	CLOUD
“How did you get that tattoo?”	「そのイレズミは……どうしたんだ？」
RED XIII	RED XIII
“…Hojo put it on me.	「……宝条にやられたんだ。
The rest are just war scars,	他のは戦士の魔除けだけど
but the number was done by Hojo.”	数字だけは宝条がやったんだよ」
TIFA	TIFA
“So there are at least 13!?”	「最低でも１３人！？」
AERIS	AERITH
“You know…”	「……あのね」
AERIS	AERITH
“I think Hojo did something to	「黒いマントの人たちは
those men in the black capes.”	宝条に何かをされた人たちだと
“But I don't know what	思うのね」
it has to do with Sephiroth though…”	「セフィロスとの関係……
	それ、よくわからないけど」
AERIS	AERITH
“That's why I think we should just	「だから、セフィロス本人だけ
go after Sephiroth himself.”	追いかければいいんじゃないかな？」
BARRET	BARRET
“Yeah, me too!	「それ、賛成だぜ！
It's all just too damn confusin'.”	ややこしくてしょうがないからな」
AERIS	AERITH
“And…”	「それにね……」
AERIS	AERITH
“I'm sorry, forget it!”	「ゴメン、なんでもない！」
AERIS	AERITH
“I think I'm tired.	「わたし、つかれちゃった。
I'm going to bed now.”	部屋、行くね」
CAIT SITH	CAIT SITH
“What was that,	「なんやねん、急に！」
all of a sudden!?”	
YUFFIE	YUFFIE
“What!? That's it?	「おっ！　おわり？
I'm goin' to bed!”	アタシもねるよ！」
CAIT SITH	CAIT SITH
“Is that all?	「もう、おしまいですか？
How 'bout the Black Materia?”	黒マテリアの話は、どうなったんです？」
CLOUD	CLOUD
“You wouldn't understand even if I told you.”	「話したって何もわからないさ」
BARRET	BARRET
“Now all we gotta do is take action!	「行動あるのみ、だぜ！
We're startin' tomorrow!!”	明日だ、明日！」
RED XIII	RED XIII
“CLOUD…”	「CLOUD……」
RED XIII	RED XIII
“I'm number 13.	「オイラ、ナンバー１３だ。
Am I going to go mad too?”	オイラもおかしくなっちゃうのかな？」
TIFA	TIFA
“I don't know what Hojo did to you,	「宝条が何をしたのかわからないけど
but you've been all right so far, right?”	いままで、だいじょうぶだったんでしょ？」
RED XIII	RED XIII
“But…”	「でも……」
TIFA	TIFA
“Be strong.”	「弱気にならないで」
RED XIII	RED XIII
“But, I…”	「でも、オイラ……」
TIFA	TIFA
“Stop it, RED XIII!	「しつこいわよ、RED XIII！
Be strong!”	ウジウジしないで！」
CLOUD	CLOUD
“TIFA?”	「TIFA？」
TIFA	TIFA
“You're not the only one who's worried!”	「不安なのはあなただけじゃないのよ！」
CAIT SITH	CAIT SITH
“I don't know what's goin' on,	「なんやしらんけど
but we're in a bad situation…”	へんなことになってしまいましたな～」
VINCENT	VINCENT
“Hey CID,	「おい、CID
let's go back to our rooms.”	部屋にもどるぞ」
CID	CID
“…zzzz…zzzz…”	「グー……グー……」
