“Haa--ah!	「ヘヘーん！
Give me another chance! I'll fight ya!”	もう１回、もう１回勝負だ！」
Give her a lickin'	ボコボコにしてやる！
Forget it!	やなこった
“I won't lose this time!	「今度は負けないからね！
Take your time and get ready.	時間をやるから、用意しなよ。
Holler when you're ready!”	カクゴができたらかかってきな！」
“No way I'm going to fight with a	「フーンだ、誰がアンタらみたいな
punk like you more than once!”	ザコと何度もたたかうもんか！」
“I'll save enough for the doctor bill!	「ケガの治療費はいただいとくよ！
Next time, you won't be as lucky!”	次はようしゃしないからなー！」
“Thinkin' of running away?	「ム、逃げる気？
Stay and fight!	ちゃんと勝負しろ！
FIGHT, I said!”	しろったらしろ！」
“C'mon…	「シュッシュッ……
What's the matter?”	どうしたどうした！」
“You're pretty scared of me,	「アタシの強さに
huh!?”	ビビッてんだろ！！」
Petrified…	……まあな
You're gonna lose again	何度やっても同じだ
“C'mon…	「シュッシュッ……
What's the matter?”	どうしたどうした！」
“You're pretty scared of me,	「アタシの強さに
huh!?”	ビビッてんだろ！！」
Petrified…	……まあね
You're outta your league!	あなたにはムリよ
“C'mon…	「シュッシュッ……
What's the matter?”	どうしたどうした！」
“You're pretty scared of me,	「アタシの強さに
huh!?”	ビビッてんだろ！！」
Something like that	そういうこった
You're wasting your time	やるだけムダだぜ
“Wh…what!?”	「な、な、なんだと！？」
“Uuuuugh!	「キー！　ムキキー！！
Now I'm really mad!”	アッタマきたあ！」
“Make fun of me, will ya!	「バカにしやがって……
Just watch!!”	おぼえてろォ！！」
“Hmm, just as I thought.	「ヘヘ、や～っぱりそうか。
What do you expect with my skills?”	ま、アタシの
“Good luck to you guys, too.	実力からいえばそれも当然だネ」
If you feel up to it,	「アンタらもがんばれよ。
we can go another around. Later!”	また気が向いたら
	相手してやるからさ、んじゃね！」
TIFA	TIFA
“She's gone…	「行っちゃった……
What's with her?”	なんなの、あのコ……」
BARRET	BARRET
“Gone…	「行っちまった……
Wassup with that?”	なんだったんだ、アイツ……？」
AERIS	AERIS
“She's gone…	「行っちゃった……
So what was that all about?”	けっきょく、何だったのかな？」
RED XIII	RED XIII
“She's gone…	「行ってしまった……
So what did that prove?”	いったい何がしたかったんだ？」
RED XIII	RED XIII
“Huh? She's gone…	「アレレ、行っちゃったよ……
What is she doing?”	あいつ、何やってんだろ？」
CAIT SITH	CAIT SITH
“…She disappeared…	「……消えよった。
I have no clue what happened.”	なんや、サッパリわかりませんわ」
CID	CID
“She's gone, hey…	「行っちまったよ、オイ……
What's with that kid!?”	何なんだ、あのガキは！？」
VINCENT	VINCENT
“…	「…………
What could her motivation have been?”	理解に苦しむ行動だな」
“What is it, you still	「なんだよ、アタシに
have somethin' for me?”	まだなんか用？」
“…Hmmm.	「……ハハーン。
So is that it?”	さてはアレかな？」
“I know you want my help	「アタシがあんまり強いんで
because I'm so good!”	ぜひ助けてほしいと！」
“You want me to	「このアタシにいっしょに来てくれと！
go with you?”	そういうこと？」
That's right	……そういうこと
You kiddin'?	じょうだんじゃない
“What, you still	「なんだよ、アタシに
want somethin'?”	まだなんか用？」
“Hmm…	「……ハハーン。
So is that it?”	さてはアレかな？」
“You want my help	「アタシがあんまり強いんで
cause I'm so good!”	ぜひ助けてほしいと！」
“You want me to go with you!?	「このアタシにいっしょに来てくれと！
Is that what you're saying?”	そういうこと？」
That's right	……そういうこと
No way!	そんなわけない！
“What is it,	「なんだよ、アタシに
you still want somethin'?”	まだなんか用？」
“…Hmm.	「……ハハーン。
So is that it?”	さてはアレかな？」
“You want my help	「アタシがあんまり強いんで
cause I'm so good!”	ぜひ助けてほしいと！」
“So you want me to come with you!?	「このアタシにいっしょに来てくれと！
Is that what you're saying?”	そういうこと？」
That's right	……そういうこった
What're you sayin'?”	何言ってやがんでえ！
“I'm gonna leave!	「ホントに行っちゃうからね！
I mean it!”	ホントのホントだよ！」
Go ahead	ご自由に……
Wait a second!	ちょっと待った
“I'm really gonna leave!	「ホントに行っちゃうからね！
I mean it!”	ホントのホントだよ！」
Yeah, so?	ええ、どうぞ
Wait a second!	ちょっと待って！
“I'm really gonna leave!	「ホントに行っちゃうからね！
I mean it!”	ホントのホントだよ！」
GO, then!	とっとと消えろ！
Hold on!	……待ちやがれ！
“Oh yeah?	「あっそ！
Then do whatever you want!”	フーンだ、勝手にしろ！」
“Heh heh…thought so.	「へへへ、やっぱりねえ。
You put me in a spot.	いや、まいったなあ。
Hmm, what should I do?”	ウーン、どうしようかなあ」
“But, if you want me that bad,	「でも、そこまで言われちゃ
I can't refuse…”	このアタシもことわれないし……」
“All right!	「よし、わかった！
I'll go with you!”	アンタらについてってやるよ！」
What's your name?	……名前は？
Let's hurry	……先を急ごう
“Heh heh…thought so.	「へへへ、やっぱりねえ。
You put me in a spot.	いや、まいったなあ。
Hmm, what should I do?”	ウーン、どうしようかなあ」
“But, if you want me that bad,	「でも、そこまで言われちゃ
I can't refuse…”	このアタシもことわれないし……」
“All right!	「よし、わかった！
I'll go with you!”	アンタらについてってやるよ！」
What's your name?	あなた、名前は？
Come on, let's hurry!”	さ、急ぎましょ
“Heh heh…thought so.	「へへへ、やっぱりねえ。
You put me in a spot.	いや、まいったなあ。
Hmm, what should I do?”	ウーン、どうしようかなあ」
“But, if you want me that bad,	「でも、そこまで言われちゃ
I can't refuse…”	このアタシもことわれないし……」
“All right!	「よし、わかった！
I'll go with you!”	アンタらについてってやるよ！」
What's your name?	おめえ、名前は？
Come on, or we'll leave you!	早くしねえとおいてくぞ！
“Me?	「アタシ？
The name's…”	アタシの名前はね……」
“What are you talking about!?	「ヘン、何言ってんだい！
You're the one	そっちが先になのるのが
who should go first!”	マナーってもんだろ！」
“Okay forget it!	「やめやめやめ！
I'm not going with you!”	いっしょに行くのやーめた！」
“Remember, if you piss me off	「アタシを怒らせると高くつくの！
it'll cost you!!”	おぼえときな！！」
“Huh? Hey…HEY!”	「あれ、ちょ、ちょっと……」
“Wait!	「ちょっと！
I haven't even told you my name…”	アタシまだ名前……」
YUFFIE	YUFFIE
“I'm YUFFIE!	「アタシ、YUFFIE！
Good to meetcha!”	ひとつヨロシク！」
YUFFIE	YUFFIE
“Heh, heh…just as I planned.”	「へへへ……うまくいったよ」
“Now all I have to do is…	「あとはアレをナニして……
a little this and a little that…	
nyuk, nyuk, nyuk…”	クックック……」
YUFFIE	YUFFIE
“Hey, wait up!	「オ～イ、待ってよ！
Wait for me!!”	待ってってば～！！」
YUFFIE	YUFFIE
“Here, I'll give you back the	「盗んだお金ならホラ！
money I've stolen from you!”	ちゃんと返すからさァ！」
“…Or, uh, what's left of it.”	「……まだ使ってないぶんは」
