Mideel	海流の村　ミディール
CAIT SITH	CAIT SITH
“Jackpot!”	「よっしゃ、大当たりや！」
CAIT SITH	CAIT SITH
“Wait up!”	「ちょっと待って～や！」
VINCENT	VINCENT
“You've found him.”	「うむ、見つけたな」
TIFA	TIFA
“So where is he?	「それで、その人は！？
Is he safe!?	無事なんですか！？
Where is he now?”	いま、どこに……！？」
“Yeah…up ahead here…	「ああ……この先の……
At the, uh, clinic…”	ほれ、その治療所に……」
TIFA	TIFA
“He's alive!”	「生きてる……！」
“CLOUD…	「CLOUDが……
CLOUD's alive!!”	CLOUDが生きてる！！」
TIFA	TIFA
“CLOUD!!”	「CLOUD……！！」
“So how is the boy?	「どうじゃ、兄ちゃんのぐあいは？
Poor kid.	かわいそうにのう。
He sure got the worst of	よほどつらいめに
whatever it was…”	おうたんじゃろうなあ……」
“Sure hope he gets better soon.	「はやくようなると、ええのう。
Right now is when he really needs	こんな時だからこそ、さいごまで
to hold on and not give up.”	あきらめずになあ」
“It's amazing he recovered.	「しかし、よう助かったもんじゃ。
When they carried him here after they	はこびこまれてきたのを見たときは
first discovered him, I thought	こりゃあかんと思うたのに」
for sure he was a goner.”	
“That boy must have one powerful	「きっとあの兄ちゃんには
guardian angel watchin' over him.”	ごっつう強い守り神はんが
	ついとってくだはるんちゃうか」
TIFA	TIFA
“Huh?	「あれれ……？
What could that be?”	なにかしら、これ？」
“There's something stuck deep inside	「なにか、カギみたいなものが
that looks like a key…	奥にはさまってるけれど……。
It's hard to get out.”	ちょっと取りづらいわね」
“Well, I'll just let it go	「まあ、とりあえず
for now…”	いいか、別に……」
TIFA	TIFA
“There's something stuck deep inside	「あれれ……なにかしら？
that looks like an old key…”	古いカギみたいなものが
	おくにはさまってるわ」
CID	CID
“Huh?	「おう……？
The hell's this?”	なんだあ、これ？」
“Looks like a key but	「なんか、カギみたいなもんが
it's stuck way down inside, and	奥にはさまってやがるが
I can't get it out.”	ちょっと取りづれえな」
“Well, what the hell?	「まあ、かまわねえか
That's life…”	こんなもん……」
CID	CID
“Hey…what's that?	「おう……なんだあ？
Looks like a key but	カギみたいなもんが
it's stuck way down inside and”	おくにはさまってやがるな」
TIFA	TIFA
“I wonder if there's some	「よし、なんとかして……
way to get this outta here.”	取れないかしら、これ」
“If I just move this…	「ここを、こうずらして……。
And push that…	そっちを、こう押して……。
Okay! I got it out!”	オッケー！　はずれたわ！」
CID	CID
“Okay, there's gotta	「おうし、なんとか……
be a way to get it out.”	取ってやるぜ、こいつ」
“Maybe if I move this a bit…	「ここを、こうずらして……。
and push that over…	そっちを、こう押してだな……。
HAH! Gotcha!”	おっしゃ！　はずれたぜ！」
Received "Beat-up Useless Old Key"!	「『ぜったいに、まったく、何の役にも
	たちそうにない、ボロボロのカギ』を
	ひろった！！」
“Gather 'round, gather 'round, this	「さあ、さあ、出血大サービス！！
is a bargain!!	ほかじゃぜったい手に入らない
We've got the best armor and weapons,	最高の武器や防具がせいぞろい。
the likes of which you won't	はやい者勝ちだよ、チクショー！」
find anywhere else.	
But it's first come, first served,	
so get yours now!	
“Step right up!	「さ、お客さんも
You there, don't just	そんなとこでつったってないで
stand around outside.	なかへどうぞ！　どうぞ！
Go on in! Come on!	えんりょなんか、いらないから」
Don't be shy, step right up!”	
“I'll never know why he wanted to	「しかし、なんだってまた
open a store in a dead town like this.	こんなのんきな村なんかに
What's with him? …sigh…”	店を出そうと思いついたんだろうね
	うちの人は……？　はあ……」
CID	CID
“What's this?”	「な、なんだ、こりゃあ……！？」
CID	CID
“The Lifestream is gushing up	「地下のライフストリームが
from below the surface of the earth!”	地表に吹き出すってえのか！？」
CID	CID
“Damn, that's…	「おい、ありゃあ……！？
This is bad!!”	やべえぞ、こりゃ……！！」
TIFA	TIFA
“CID!?	「CID……！？
What's wrong?”	どうしたの！？」
CID	CID
“N, nothin'!!	「な、なんでもねえ！！
You and CLOUD get inside quick!!”	CLOUDと一練に、なかにいろ！！」
TIFA	TIFA
“But I…”	「でも……！？」
CID	CID
“Hey, don't worry about a thing.	「ヘッ、心配すんねえ。
I ain't about to die that easily.”	このオレ様が、そう簡単に
	くたばってたまるかってんだ」
TIFA	TIFA
“Be careful!”	「気をつけて……！」
CID	CID
“Okay, here I go!	「ようし、行くぜ！
Watch this!!”	めにもの見せてやらあ！！」
Mideel Residence	ミディール　民家
“You say you don't know when the stars	「いつ何時、空から大きな星が
are gonna fall from the sky?	降ってくるかわからないんだって？
Is that for real?”	ほんとに、ほんとの話なのかい？」
“I still don't believe it!	「わたしには、まだ信じられないよ。
How could this happen?”	なんでこんなことに
	なってしまったのかしらねえ？」
“Ancient Weapon? End of the world?	「古代ウェポン？　世界の終末？
Malarky!	そんなもん、知ったことか！
I'm gonna live to be a hundred!”	わしは、百まで生きるのじゃ」
“There's still tons of stuff I gotta do!	「やり残したことが
This's just the beginning.”	やまほどあるんじゃぞ。
	まだまだ、これからじゃい」
“And what have Shinra and SOLDIER	「そもそも神羅やソルジャー軍は
done about it? Tell me!	なにやっちょるのだ？　ああ？
They're useless!!”	ぶったるんどるわい！！」
“Actually, I'm a beautiful maid.	「あたしゃ美人のメイドだけどね
I only work in this accessory	ないしょくで、アクセサリーの
store part-time.”	売り買いもしてるのさ」
“Our goods compare	「どこ出したってはずかしくない
with the best goods anywhere.	極上の品ばっかだよ。
So, how about one?”	どうだい、ひとつ？」
“Thank you.	「どうも、ありがとさん。
Stop by again.”	また、よっておくれよ」
Mideel Residence	ミディール　民家
“I gotta feelin' something bad's gonna happen.	「なにやらよくないことが
Is everything gonna be okay?”	おこっとるというじゃないか？
	だいじょうぶなのかのう」
“I'm all right.	「わしは、いいんじゃ。
I've lived a long, full life.”	もうじゅうぶん長く生きさせて
	もろうたからね」
“But I'm worried about my son and his family	「ただ、遠くの町でくらしとる
living in that far-off town…”	息子ふうふや孫たちのことが
	気がかりでなあ……」
“I hope they're safe…”	「ちゃんと無事でいてくれたら
	ええんじゃが……」
Received "Elixir"!	CIDたちは、エリクサーを手にいれた！
“Wait a minute.”	「ちょいと待ちなさい」
“Did you just take something?”	「おまえさんたち、なんか
	取らんかったかね？」
CID	CID
“Uh, oh. I'm…”	「お、おう。そりゃ……」
Yeah, I took it, old man!	取ったぜ、おやじ！
I know nothin' about it!	知らん、まったく知らん！
CID	CID
“Hey, it's mine now!	「ありゃ、このCID様がいただいた！
An' I'll make good use of it,	バッチリ有効につかわせてもらうぜ」
believe-you-me!”	
“Heh, heh. What an oddball.	「ほっほっ、変わったお人じゃな。
We'll let him use it.”	気に入ったわい。
	そいつは好きに使うとええじゃろ」
CID	CID
“Hey thanks.	「すまねえな。
It'll help, pops!”	助かるぜ、じーさん」
CID	CID
“Wh, wh-huh…?	「さ、さあ……？
I don't know nuthin' about that.”	おりゃ、なにも知らねえぞ」
“What the hell happened to that	「なに、古くなってくさっちまった
rotten old elixir	エリクサーを、すてようと思って
I was gonna throw out?”	そこいらに出しといたんじゃが」
“If someone took that by mistake	「まちがってあんなもの飲んだら
it'll do more than make them sick…”	腹をこわすくらいじゃ
	すまされんからのう……」
“Well, if you don't know	「いや、知らんのなら
then I guess you don't know.”	いいんじゃよ。
	知らんのなら」
CID	CID
“…”	「…………
	うそ……」
Mideel Weapon Store	ミディール　武器屋
“So that overgrown moon's	「なんでももうすぐ
gonna fall on us, huh?”	あの巨大なお月さんが
	降ってくるっていうじゃない？」
“This's no joke!	「じょうだんじゃないわ！
We've got to start stocking up	とりあえず必要なものは
on supplies before they're all gone!”	買いだめしとかなくっちゃ！」
“Outta the way!	「ジャマよ、あんたたち。
Hey, move it, move it!”	ほら、どいた、どいた！」
“You again!	「あら、また会ったわね！
You aren't hoarding up	まさか、あんたたちも
goods too, are you?”	買いだめしてるっての！？」
“Don't reach in front of me!	「横取りなんかしないでよ！
Everything in this store is mine!”	このお店にあるのは、みんな
	わたしのなんだから！」
“I've got money to burn!	「お金なら、山ほどあるわよ！
I've been saving like mad	こんな日もあろうかと
just for a time like this!”	必死でためこんだんだもの！」
“C'mon, outta the way!	「ジャマよ、あんたたち。
Move, will you, move!”	ほら、どいた、どいた！」
“Oh…not much time left!!	「ああ……、時間が足りないわ！！
You never know when that moon's gonna	いつ、あの月が降ってくるかも
come crashing down!!”	知れないってのに！！」
“When it all comes down to it,	「けっきょく世の中、お金と物よ！
this world's about money	それさえあれば、いつだって
and material things!	どこでだって、やってける！」
If you got 'em, you can	
get by whenever, wherever!”	
“Gotta buy!!	「買わなくちゃ！！
Gotta buy, buy, buy!!	とにかく、買って、買って
I'm gonna shop till I drop!!”	買いまくるのよ！！」
“Welcome to the charity store,	「いらっしゃい！
a store of love and courage!	愛と勇気の、博愛ショップ！
What can I get you today?”	今日は、どんなごようですか？」
“Thank you very much!	「ありがとうございました！
Please come again.”	また、どうぞ」
“Welcome to the charity store,	「いらっしゃい！
a store of love and courage!	愛と勇気の、博愛ショップ！
Unfortunately, regarding	と、行きたいとこなんですが……」
the place you'd like to go…”	
“The other customers have booked it all up…	「そこのお客さんが
I'm afraid nothing's left.”	みんな予約しちまったんで……
	なにも残ってないんですよ」
“…just kidding!	「……というのは、じょうだんです。
Ha, hah, hah!	アハハハハ！
Now how can I help you?”	さて、それじゃ、どんなごようです？」
TIFA	TIFA
“No good…	「ダメだわ……。
I wonder if it's locked?”	カギが、かかってるのかしら」
CID	CID
“No good…	「ダメだな……。
Someone must've locked it.”	カギが、かかってやがるのか？」
TIFA	TIFA
“Hmm…you really locked this one up good.”	「へえ……、でもほんと
	よくかけてるよねえ、これ」
CID	CID
“Damn, why the hell did they	「けっ、まぎらわしいもの
make something tricky like this?”	つくりやがってよ」
TIFA	TIFA
“…The key broke off inside,	「……。折れたカギが中につまって
and I can't get to it…”	取れないよ、これ……」
“…	「………。
I don't know anything about it.”	わ、私……知ーらないっと」
CID	CID
“…The key broke off inside,	「……。折れたカギが中につまって
and I can't get to it…”	取れねーぞ、こりゃ……」
“…	「………。
I don't know a thing about it…”	し、知らねえかんな、おれは……」
TIFA	TIFA
“Oh yeah, shall I try	「そうだ、あのボロボロのカギ……
that old beat up key?”	ためしてみようかな？」
CID	CID
“Hey, I know what'll do it…	「ははあん、ここは一発……
Let's try that beat up old key!”	あのボロカギをためしてみっか！」
Use the beat up old key!	ボロボロのカギを使う！
Forget it	やっぱり、使わない
TIFA	TIFA
“I'd better not.	「やっばり、やめとこ。
It doesn't look like it fits.”	どうも、これじゃ合いそうにないし」
CID	CID
“Naw, forget it…	「やっぱ、やめとくか……。
It doesn't even look like it fits.”	どうも、こいつじゃ合いそうにないしな」
TIFA	TIFA
“Okay, this is it.”	「よし、これこれ」
CID	CID
“Yeah, this is it.”	「おう、これこれ」
TIFA	TIFA
“Hmm…Huh?	「ん……。あれ……？
This is pretty tight…”	きついな、これ……」
CID	CID
“Huh? Wha?	「うん？　ありゃ……？
Won't turn…”	まわらねえな……」
TIFA	TIFA
“Eyaaah!?”	「キャッ……！？」
CID	CID
“Wha?”	「おおっと……！？」
TIFA	TIFA
“Oh no!	「あちゃー、いっけない！
…it broke.	折れちゃった……。
Now I can't get it out…”	とれないよ、これ……」
CID	CID
“Hoo, *&%$^%	「ちい、やべえ。
Busted it…	折れちまったよ……。
Can't get the damn thing out…”	とれねーぞ、これ……」
“Is something wrong?”	「どうかしましたか……
	お客さん？」
TIFA	TIFA
“Ulp!?”	「ギクギクッ！？」
CID	CID
“Ulp!!”	「ギクッ！！」
TIFA	TIFA
“Huh? Uh, no…”	「え？　いえ、その……」
TIFA	TIFA
“What am I gonna do?”	「ど、どうしよう……？」
Lie your butt off!	ごまかしちゃおうか！
Tell them the truth!	正直にあやまろう！
CID	CID
“Oh, uh, no, uh I…”	「おう、その、なんだ……」
CID	CID
“Damn, this's bad…”	「やべえな、こりゃ……」
What the hell…lie!	ええい、ごまかしちめえ！
Just apologize and get it over with!	正直にあやまっちめえ！
TIFA	TIFA
“Nothing! I was just thinking	「な、なんでもないんです！
how nice that door was, that's all.”	ただ、ステキなドアだなあって」
CID	CID
“Er, nothin'. Hah, hah.	「な、なんでもねえぜ。ハハッ。
That's one nice door you got there, y'know.”	いや、いかしたドアだな、これ」
“Oh…why, thank you very much.”	「アハハッ、そうですか？
	それは、どうも」
TIFA	TIFA
“Whew…that was close.	「ホッ……助かった。
But I feel bad…”	でも、ちょっと、あとあじ
	わるいな……」
CID	CID
“Phew…that was a close one.	「ひゅう……、助かったぜ。
But I kinda feel a little bad about it.”	だが、ちょいとばっかし
	気がひけるな……」
TIFA	TIFA
“I'm…sorry!	「ご……、ごめんなさい！
I forced the key and it broke!”	むりやりカギをまわしたら
	こわれちゃいました！」
CID	CID
“Mmm…sorry!	「むむ……、すまねえ！
I twisted the ^%$#^ and it broke.”	むりやりカギをまわしたら
	折れちまいやがった」
“Huh?	「え？
Key? You mean the one to that door?”	カギって、そのドアの……？」
“Hah, hah, hah!	「アハハハ！
That's a good one!”	そいつはいいや！」
TIFA	TIFA
“???”	「？？？」
CID	CID
“???”	「？？？」
“Of course there's no key.	「カギがあかなくて当然ですよ。
It's a wall. We just painted a door on it.”	だって、そいつは壁にかかれた
	ただの「え」なんだから」
TIFA	TIFA
“What!?	「えーっ！？
It's not a real door?”	本物じゃないの、このドア？」
CID	CID
“Say what?	「なんだってえ？
You drew that door on the wall?”	壁にかかれたドアだあ？」
“That's right. We drew it on there to make	「そうです。そのドアをぬけて
it feel like you could pass through	どこか別の世界へ行けたら……。
it to another world.”	そんな気持ちで、かいたんですが」
“Sorry to have surprised you.	「ビックリさせちゃいましたね。
It's not much of an apology, but	おわびといっちゃなんだけど
please take this.”	これをさしあげますよ」
TIFA	TIFA
“Really?	「え、ほんとに？
Thank you.”	それじゃ……、ありがとう」
TIFA and the others	TIFAたちは、呪いの指輪を
received "Cursed Ring"!	もらってしまった！
CID	CID
“Oh, uh…well	「おう、まあ……、そんじゃ
Thanks.”	ありがとうよ」
CID and the others	CIDたちは、呪いの指輪を
received "Cursed Ring"!	もらってしまった！
“We're hoping to pass through	「できることなら、ボクらはみんな
a door like that one into another world.”	そこにあるような夢のドアをぬけて
	別の世界へ行ってみたいと
	ねがってるんじゃないでしょうか？」
“I feel that you all might be able to	「なんだかあなた方は
make my dreams come true.	ぼくのかわりにそのねがいを
Weird, isn't it?”	かなえてくれるような気がします。
	ヘンですね……」
TIFA	TIFA
“What is it?	「どうしたの、おまえ？
You're being awful friendly all of a sudden.”	やけに、ひとなつっこいわね？」
“Oh, so that's it.	「はは～ん、さてはこれかぁ。
You want the Mimmet Greens…don't you?”	ミメットの野菜がねらいだな……
	おまえ？」
Give it some Mimmet Greens	ミメットの野菜をあげる
Don't give it any	野菜はあげられない
TIFA	TIFA
“Sorry, little guy.	「ゴメンね、おチビさん。
I can't give you any.”	この野菜はあげられないのよ」
TIFA	TIFA
“Well, okay.	「しょうがないわね。
Here, go ahead and eat.”	ほら、お食べなさい」
TIFA	TIFA
“hee hee…how cute!	「うふふ……。かわいい！
I just want to tickle him.”	ちょっと、こちょこちょ
	しちゃおうかな」
CID	CID
“What's this!?	「なんでえ、こいつ。
You're bein' awful friendly.”	やけに、ひとなつっこい野郎だな？」
“Oh, so that's it.	「ははぁ、さてはこれか。
You want the Mimmet Greens…don't you?”	ミメットの野菜が好物なんだな……
	おめえ？」
Give it some Mimmet Greens.	ミメットの野菜をあげる
Don't give it any.	ち、冗談じゃねえぜ！
CID	CID
“Sorry, shorty.	「おっと、残念だけどよ。
But I can't give ya any.”	野菜はやれねえな、チビ助」
CID	CID
“Well, guess there's no way around it.	「けっ、しょうがねえなあ。
Here ya go, shrimp. Eat up.”	ほらよ、チビ助。食いな」
CID	CID
“Heh heh, hey he's kinda cute.	「へへっ、案外かわいいな。
Aw, maybe I'll just tickle him a little.”	どれ、そいじゃついでにひとつ
	こちょこちょでもしてやっか？」
“The chocobo looks like it	チョコボは、おいしそうに野菜を食べた。
enjoyed eating the Greens.”	
Tickle his feet	足の裏をこちょこちょ
Tickle his stomach	おなかをこちょこちょ
Tickle his neck	のどをこちょこちょ
Tickle his belly button	おへそをこちょこちょ
Tickle behind his ears	耳の裏をこちょこちょ
Tickle under his arms	わきの下をこちょこちょ
The chocobo looks like it loves that.	チョコボは、よろこんでいるようだ。
The chocobo looks a little ticklish.	チョコボは、くすぐったいようだ。
The chocobo looks a little angry.	チョコボは、怒っているようだ。
The chocobo looks a little shy.	チョコボは、はずかしがっているようだ。
The chocobo looks bored.	チョコボは、どうでもいいようだ。
Dined and dashed.	タダ食いだった。
Received Materia from the Chocobo!	チョコボに、『ふういん』のマテリアをもらった！
But you've got too much Materia	しかし、マテリアがいっぱいで
you can't take on anymore…	これいじょう持てない……。
The chocobo put the Materia away.	チョコボは、マテリアをしまってしまった。
TIFA	TIFA
“Oh, you scared me…!	「あ～、ビックリした……！
I thought you were dead!”	死んだかと思っちゃった！」
CID	CID
“Sheesh, you scared me.	「ひゅ～、驚かしやがって。
I thought you croaked!!”	死んだかと思っちまったぜ！！」
Chocobos ignore humans who	チョコボは、好物の野菜を
don't look like they'll give them greens.	くれそうにない人間にはつめたかった。
Mideel Item Store	ミディール　アイテム屋
“So that overgrown moon's	「なんでももうすぐ
gonna fall on us, huh?”	あの巨大なお月さんが、
	降ってくるっていうじゃない？」
“This's no joke!	「じょうだんじゃないわ！
We've got to start stocking up	とりあえず必要なものは
on supplies before they're all gone!”	買いだめしとかなくっちゃ！」
“Outta the way!	「ジャマよ、あんたたち。
Hey, move it, move it!”	ほら、どいた、どいた！」
“You again!	「あら、また会ったわね！
You aren't hoarding up	まさか、あんたたちも
goods too, are you?”	買いだめしてるっての！？」
“Don't reach in front of me!	「横取りなんかしないでよ！
Everything in this store is mine!”	このお店にあるのは、みんな
	わたしのなんだから！」
“I've got money to burn!	「お金なら、山ほどあるわよ！
I've been saving like mad	こんな日もあろうかと
just for a time like this!”	必死でためこんだんだもの！」
“C'mon, outta the way!	「ジャマよ、あんたたち。
Move, will you? Move!”	ほら、どいた、どいた！」
“Ohh…not much time left!!	「ああ……、時間が足りないわ！！
You never know when that moon's gonna	いつ、あの月が降ってくるかも
come crashing down!!”	知れないってのに！！」
“When it all comes down to it,	「けっきょく世の中、お金と物よ！
this world's about money	それさえあれば、いつだって……
and material things!	どこでだって、やってける！」
If you got 'em, you can get	
by whenever, wherever!”	
“Gotta buy!!	「買わなくちゃ！！
Gotta buy, buy, buy!!	とにかく、買って、買って
I'm gonna shop till I drop!!”	買いまくるのよ！！」
“Welcome!	「いらっしゃい、アルね。
Cash is welcome here!	やすらぎといこいのショップ。
How may I help you?”	今日、どんなようアルか？」
“Thank you!	「まいどあり、のことね！
Come again!”	また来てちょー、アルね」
“Welcome!	「へい、らっしゃい！
We always welcome cash!	いつもニコニコ現金払い！
Now, about where you want to go…”	と、行きたいとこなんだが……」
“I'm afraid other customers	「いやあ、そこのお客さんが
have already booked it up.	みんな予約しちまったもんで
There's nothing left.”	もうなにも残ってないんで……」
“…just kidding!	「……なんちゃってえ！
Just a little joke.”	じょうだんですよ、お客さん。
	さてそれじゃ、どんなごようで？」
	
Mideel Materia Store	ミディール　マテリア屋
	
“So that overgrown moon's	「なんでももうすぐ
gonna fall on us‚huh?”	あの巨大なお月さんが、
	降ってくるっていうじゃない？」
“This's no joke!	「じょうだんじゃないわ！
We've got to start stocking up	とりあえず必要なものは
on supplies before they're all gone!”	買いだめしとかなくっちゃ！」
	「ジャマよ、あんたたち。
“Outta the way!	ほら、どいた、どいた！」
Hey‚move it‚move it!”	
	
“You again!	「あら、また会ったわね！
You aren't hoarding up	まさか、あんたたちも
goods too‚are you?”	買いだめしてるっての！？」
	「横取りなんかしないでよ！
“Don't reach in front of me!	このお店にあるのは、みんな
Everything in this store is mine!”	わたしのなんだから！」
	「お金なら、山ほどあるわよ！
“I've got money to burn!	こんな日もあろうかと
I've been saving like mad	必死でためこんだんだもの！」
just for a time like this!”	「ジャマよ、あんたたち。
	ほら、どいた、どいた！」
“C'mon‚outta the way!	
Move‚will you? Move!”	
	
“Ohh…not much time left!!	「ああ……、時間が足りないわ！！
You never know when that moon's gonna	いつ、あの月が降ってくるかも
come crashing down!!”	知れないってのに！！」
	
“When it all comes down to it,	「けっきょく世の中、お金と物よ！
this world's about money	それさえあれば、いつだって……
and material things!	どこでだって、やってける！」
If you got 'em‚you can get	
by whenever‚wherever!”	
	
	
“Gotta buy!!	「買わなくちゃ！！
Gotta buy‚buy‚buy!!	とにかく、買って、買って
I'm gonna shop till I drop!!”	買いまくるのよ！！」
	
“Welcome!	「いらっしゃい、アルね。
Cash is welcome here!	やすらぎといこいのショップ。
How may I help you?”	今日、どんなようアルか？」
	
“Thank you!	「まいどあり、のことね！
Come again!”	また来てちょー、アルね」
	
“Welcome!	「いらっしゃいアルね。
We always welcome cash!	やすらぎといこいのショップね。
Now‚about where you want to go…”	と、行きたいとこアルが……」
	「あいや、そこのお客さん、
“I'm afraid other customers	みな予約しちゃったんで、もう
have already booked it up.	なにも残ってないよ、お店」
There's nothing left.”	
	
“…just kidding!	「……というのは、じょうだんアル。
Just a little joke.	エヘヘ！
Now what can I do for you?”	さて、それじゃ、どんなごようね？」
Mideel Clinic	ミディール　治療所
TIFA	TIFA
“CLOUD!?”	「CLOUD！？」
Doctor	ドクター
“Hey! You barged in here	「おやおや。そんなにあわてて
like Meteor was crashing	メテオでも降って来たかね
down or something.”	おじょうさん？」
TIFA	TIFA
“I'm sorry…but I heard a friend	「すみません、どうやら友人が
of mine was here…”	こちらでお世話になってるらしいと
	聞いたもので……」
Doctor	ドクター
“A friend?”	「友人……？」
Doctor	ドクター
“Oh…that young fellow!?”	「ああ……！　あの若者のことか！？」
“Don't worry.	「安心なさい。
He's next door.	君の友人なら、となりの部屋だよ。
But his condition isn't good.”	ただ、まだ具合が……」
TIFA	TIFA
“Here?”	「こちらですか？」
TIFA	TIFA
“Over here.”	「失礼します！」
TIFA	TIFA
“CLOUD!?”	「CLOUD……！？」
TIFA	TIFA
“Oh…CLOUD!!	「ああ……CLOUD！！
I'm so glad you're safe!?”	よかった、無事だったのね！？」
TIFA	TIFA
“…!?”	「……！？」
TIFA	TIFA
“CLOUD?”	「CLOUD……？」
CLOUD	CLOUD
“Uh…aaa…?”	「う……ああ……？」
TIFA	TIFA
“Wh…what's wrong…	「ど……どうしたの……
CLOUD?”	CLOUD……？」
CLOUD	CLOUD
“Aaa..gurk..”	「あ……。ぐげ……？」
TIFA	TIFA
“CLOUD!	「CLOUD！
What happened to you?”	どうしちゃったの……！？」
Doctor	ドクター
“Mako poisoning…	「魔晄中毒だよ……。
Quite an advanced case.”	それも、かなり重度の、ね……」
“It appears this young man's been	「どうもこの若者は
exposed to high levels of Mako energy	強烈な魔晄エネルギーに
for an extended period of time.”	長時間さらされたようだな」
“He probably has no idea	「おそらく、自分が誰なのか
who or where he is now…”	自分がいまどこにいるのかすら
	理解していないだろう……」
“Poor fellow,	「かわいそうだが、君の声も
he can't even speak.	とどいてはいまい……。
He's literally miles away from us.”	本当の彼は別の場所にいるんだ」
“Some place far away where no one's	「誰もいったことがないような
ever been…	遠い場所に……
All alone…”	ひとりぽっちでね……」
TIFA	TIFA
“Doctor!!”	「そんな……！！」
BARRET	BARRET
“This's bad…”	「チクショー。
	なんてこった……」
RED XIII	RED XIII
“How horrible…”	「なんて、むごい……」
CAIT SITH	CAIT SITH
“That's terrible…”	「あんまりやなぁ……」
CID	CID
“Damn, that's evil.”	「チ……ひでえ話だ」
YUFFIE	YUFFIE
