“You…you!	「お、おまえたち！？
RED XIII	RED XIII
“What should we do?	「どうしよう？
Are we all going to die?”	オイラたち、死んじゃうのかな」
YUFFIE	YUFFIE
“Hey old man!	「ちょいと、CIDのおっさん！
Do something!”	なんとかしてよ！」
CAIT SITH	CAIT SITH
“What shall we do?	「どないしょ！　どないしょ！」
What shall we do?”	
“I'm a toy, so I don't care, but for	「ボクはオモチャやからどうでもええけど
all of you it's a different story…”	みなさんは、そうもいかへんし……」
VINCENT	VINCENT
“We're in space now.	「宇宙に出てしまったな。
A long rest…”	万事休す、か」
CID	CID
“That damn Palmer went outta his way to	「ケッ、パルマーのヤツ、ごていねいにも
lock the Auto-Pilot device.	オートパイロット装置をロックしてやがる。
We might not be able to change course.”	こいつの航路は、変えられそうもねぇな」
CLOUD	CLOUD
“…Is this the end?”	「……終わりか」
CID	CID
“Huh? What the hell're you sayin'?	「あん？　何言ってるんだ？
You're still young,	若いってのによぉ
don't give up so easily!”	簡単にあきらめすぎじゃねえのか？」
CID	CID
“I'm not gonna crash into Meteor.”	「オレ様はよ、はなっから
	メテオなんかと
	心中するつもりはないぜ」
CID	CID
“Just watch.”	「見てみな」
CID	CID
“I keep an escape pod on the rocket	「こんな時のために
just for emergencies like this.”	こいつには脱出ポッドが
	つんであるのさ」
CID	CID
“I deciphered the lock code	「脱出ポッドのロックを解除したぜ。
on the escape pod.	メテオとぶつかるまえに
We'll bail right before	とっとと、おさらばしようぜ」
we crash into Meteor.”	
CID	CID
“Let's see,	「さてと、こいつの航路は
how's the course set?”	どうなっているのかな……っと」
CID	CID
“Yup, it's headed for a collision	「やっぱり、メテオに向かう
with Meteor.”	コースをとっているな」
CID	CID
“I finally made it…	「ついにきたぜ……
outer space…”	宇宙によ……」
BARRET	BARRET
“Hey	「おい
wait a second!”	ちょいと待ってくれよ！」
“What's gonna happen to	「ヒュージマテリアは
the Huge Materia?”	どうなるんだ？」
TIFA	TIFA
“Hey, what about the Huge Materia?”	「ねぇ、ヒュージマテリアは
	どうするの？」
RED XIII	RED XIII
“But, what are we going to do with	「ところで、ヒュージマテリアは
the Huge Materia?	どうするのさ？　あきらめちゃうの？」
Are we just going to give it up?”	
YUFFIE	YUFFIE
“Hmm? What are we gonna do	「ん？　ヒュージマテリアは
with the Huge Materia?”	どうするのさ？」
“If you don't want it, maybe…	「いらないのなら、アタシが
you could…give it to ME!”	もらっちゃお～かなぁ～」
CAIT SITH	CAIT SITH
“By the way, what are we goin' to do	「ところで、ヒュージマテリアは
with the Huge Materia?”	どないするんですか？」
VINCENT	VINCENT
“Then the remaining question	「ならば、残る間題は
is what to do with the Huge Materia.”	ヒュージマテリアをどうするか、だな」
CID	CID
“If you want the Materia,	「マテリアが欲しいんだったら
do whatever you want!”	勝手になんとかしろい！」
CLOUD	CLOUD
“…You sure?”	「……いいのか？」
CID	CID
“I dunno…”	「わからねえ」
CID	CID
“I know what I said a minute ago.”	「さっきは
	あんなこと言ったけどよ」
CID	CID
“But maybe all that I really wanted was	「オレ様は、コイツと
just to go into outer space.”	宇宙まで行きたかった。
	それだけなのかもしれねえ」
CID	CID
“So, why don't you all do whatever	「だから、お前たちも
you think is right?”	お前たちが考えているように
	行動すればいいんじゃねぇか？」
CID	CID
“…”	「…………」
CID	CID
“The Materia should be there after	「マテリアなら、そっちのハシゴを
you climb that ladder.”	のぼっていった先にあるはずだぜ」
CID	CID
“Hey, CLOUD.”	「おい、CLOUD」
CID	CID
“If you're goin' to get the Materia,	「マテリア取りに行くんなら
it's this way.”	こっちだぜ」
Shera	シエラ
“The escape pod is this way.	「脱出ポッドはこちらです。
Please hurry.”	急いで下さい」
CID	CID
“So this is…outer space…”	「これが……宇宙……」
CID	CID
“So long,	「神羅２６号……
Shinra No.26…”	あばよ……」
CID	CID
“Man…it's the real thing…	「はぁ……本物の宇宙だぜ……
I'm really here in outer space…”	ほんとうに来たんだな……」
Shera	シエラ
“Hurry.	「急いで。
I'm going to detach the escape pod.”	脱出ポッドを切りはなすわよ」
CID	CID
“Hey, Shera!	「おい、シエラ！
Does this pod really fly?”	このヘッポコポッドは動くのか？」
Shera	シエラ
“It'll be OK.”	「だいじょうぶ」
“I've checked it.”	「ついさっきまで
	私がチェックしていたから」
CID	CID
“…	「…………
Then I'm relieved.”	それなら安心だぜ」
Shera	シエラ
“…Thanks.”	「……ありがとう」
CLOUD	CLOUD
“I finally found	「ヒュージマテリア……
the Huge Materia…”	やっと見つけたぞ」
CID	CID
“It's structured so that the lock can	「このコンソールパネルから
be opened if we enter the passcode	パスコードを入力すれば
from this control panel.”	ロックが解除される仕組みになってるぜ」
CID	CID
“Hey CLOUD,	「おいCLOUD、こいつの使い方は
you know how to use it, right?”	知っているだろうな」
“Everytime it says,	「『パスコードを入力せよ』と言われるたびに
Enter Passcode,' push	そこんとこにある○×△□のボタンの
[OK] [CANCEL] [MENU] [OR] [SWITCH].	どれかひとつを押せばいいのさ」
“If you punch in the right code,	「正しいパスコードを打ちこめば
it'll unlock and you can get	ロックが外れてヒュージマテリアを
the Huge Materia!”	回収できるぜ」
CID	CID
“Whoa, pretty good!	「おっ、すげぇな！
You got the passcode in a single try!”	一発でパスコードを探りあてやがった！」
CID	CID
“You must've known the passcode.	「おまえさん、実は知ってたんじゃないのか？
If not, it's impossible.”	そうでもなきゃ、無理だぜ」
Passcode Input Error	パスコード入力エラー
Unauthorized User Identified	不正規ユーザーによるアクセスと判断
Protection System will activate in 3 minutes	３分後にプロテクトシステム作動
CID	CID
“Seems like you missed the code!”	「ミスっちまったようだな！」
“If we don't enter the correct passcode	「プロテクトシステムが作動する前に
before the protection system activates,	正しいパスコードを入力しないと
we won't be able to get the Materia back!”	マテリアを取りもどせないぜ！」
CLOUD	CLOUD
“So, what order am I supposed	「で、どういう順番で
to enter the passcode in?”	打ちこんでやればいいんだ？」
There is the control panel.	コンソールパネルがある。
Try and operate it?	操作してみますか？
Yes	はい
No	いいえ
Enter Passcode	パスコードを入力せよ
Enter Passcode 1	パスコード１を入力せよ
Enter Passcode 2	パスコード２を入力せよ
Enter Passcode 3	パスコード３を入力せよ
Enter Passcode 4	パスコード４を入力せよ
CID	CID
“I'm pretty sure that the last code was [MENU].	「確か最後のコードは△だったと思うぞ。
No, maybe it was [CANCEL]…?”	いや、×だったかな……」
CID	CID
“The second one's not [MENU].	「２番目のコードは△じゃなかった。
I'm sure of it!”	こいつはマチガイない！」
CID	CID
“I dunno.	「知らねぇ。適当に打ちこんでみれば
Just try and punch in the code randomly.”	いいんじゃないか？」
CID	CID
“I think the first code wasn't [SWITCH].”	「最初のコードは□じゃ
	なかったと思うんだが……」
CID	CID
“I think the second code wasn't [CANCEL]…”	「２番目のコードは×じゃ
	なかったと思うんだが……」
CID	CID
“Code No. 3 was [CANCEL]	「３番目のコードは×だった。
…I think.”	……ような気がする」
CID	CID
“Hmm, I can't remember.	「う～ん、思い出せねぇ。
Give me some more time!”	もうちっと時間をくれ～！」
CID	CID
“Did you use [MENU]?	「△って、使ったかな？
I'm pretty sure you didn't…”	確か、使わなかったような……」
CID	CID
“I have a feeling you	「○は一回しか押さなかった
push [OK] only once…”	ような気がするんだが……」
CID	CID
“I think there was a key that	「二回押すキーがあったような
you have to push twice…”	記憶があるんだが……」
CID	CID
“I heard there's a passcode only the	「聞いたことがあるぜ。
top people in Shinra know.”	神羅のえらいさんだけが知っている
	パスコードがあるって」
“We probably have to enter that.	「多分、そいつを入力すればいいはずだ。
Try and enter some codes while I try	思いだしてみるから、その間にお前は
and remember that passcode!”	いろいろコードを入力してみな！」
CID	CID
“Alright, CLOUD!!	「やったぜ、CLOUD！！
It's unlocked!”	ロックが外れたぞ」
CID	CID
“Yup,	「やっぱ、オレ様のすんばらしい
my great advice saved the day.”	アドバイスがモノを言ったな」
Passcode Confirmed	パスコード確認
Identified as an Authorized User	正規ユーザーと認め、ロックを解除する
“2 minutes until activation of	プロテクトシステム作動まで、あと２分
the Protection System	
“1 minute until activation of	プロテクトシステム作動まで、あと１分
the Protection System”	
Protection System Activated	プロテクトシステム作動
CID	CID
“Ahhh &$#$#!	「あちゃ～
The Protection System just activated!”	プロテクトシステムが作動しちまったぜ」
CID	CID
“…CLOUD, too bad,	「……CLOUD、残念だが
but we gotta let it go.”	あきらめるしかねぇぜ」
CID	CID
“ALRIGHT!	「よっしゃ！
Let's get outta here while we can!”	はやいとこ、脱出しようぜ」
CLOUD	CLOUD
“CID!!”	「CID！！」
CLOUD	CLOUD
“I'm gonna do whatever I can.”	「やるだけは、やってみるさ」
CID	CID
“Grrrgh!”	「ぐ……っ！」
“Damn!	「ちくしょう！　足が破片に
My leg's stuck in the debris.”	はさまれちまった……！」
CID	CID
“Don't worry 'bout me. Hurry up and go!	「オレ様にかまうな。早く行け！
If you don't hurry, the rocket's	急がないと、ロケットが
gonna crash into Meteor!”	メテオにぶつかっちまうぜ」
CLOUD	CLOUD
“…I can't go without my friends.”	「……仲間を見すてて
	行けるわけがない」
CID	CID
“You %#@&!	「この、ばか野郎……
No time to worry 'bout	人のことを心配している場合じゃ
other people!”	ねぇだろうが！」
CID	CID
“Tank Number 8 blew up…/	「爆発したのは、８番ボンベ……
So Tank Number 8…/	８番ボンベねえ……
really was malfunctioning…”	やっぱりイカレてやがったのか……」
CID	CID
“Shera…/	「シエラ……
You were right.”	確かにおまえが正しかったぜ」
CID	CID
“But,	「でもよ
…this is the end for me.”	……オレ様もこれで終わりだぁ」
Shera	シエラ
“Don't say that, CID.”	「なに言ってるのよ、CID」
CID	CID
“Huh!? Shera!?”	「あん！？　シエラ？！」
Shera	シエラ
“I tagged along.	「ついて来ちゃった。
I'm coming to help you.”	いま、助けるから」
CID	CID
“You stupid &$#%!!”	「ばか野郎のコンコンちき！！」
BARRET	BARRET
“…Damn!	「……クソッ
…Can't lift it!”	持ちあげられねぇぜ！」
TIFA	TIFA
“…I can't!	「……だめっ！
It's so heavy, I can't lift it…”	重くて、持ちあげられない……」
RED XIII	RED XIII
“I can't do anything	「オ、オイラの力じゃ
with my strength alone..!”	どうしようもないよ……！」
YUFFIE	YUFFIE
“I can't budge it by myself!!”	「ア、アタシの力じゃ
	持ちあがんないよ！！」
CAIT SITH	CAIT SITH
“What shall we do?	「ど、どないしょ～
It won't budge!”	持ちあがらへん！」
VINCENT	VINCENT
“…No.	「……だめだ。
I can't lift it.”	持ちあがらない」
CID	CID
“You're stupid.	「お前はバカだぜ。
You're really $#&^%$* stupid.”	ほんとのバカだ」
CID	CID
“… … Sorry.”	「……すまねぇ」
Highwind	ハイウインド
Head out?	「行きますか？」
Yes	いくです
No	いかないです
Head out?	「行きますか？」
Yes	いくです
No	いかないです
Last Dungeon	ラスダン
“Heyyy!	「あわわわわ！　ちょっと待ってください！」
What a minute!”	
Learner Pilot (L8)	見習いパイロット（ＬＶ８）
“Wanna Go?”	「い、行くですか？」
Yes	行くです
No	行かないです
Learner Pilot (L9)	見習いパイロット（ＬＶ９）
“Wanna go?”	「行きますか？」
Go	行きます
Don't go	行きません
Learner Pilot (L10)	見習いパイロット（ＬＶ１０）
“Shall we go?”	「行きましょうか？」
Let's	行きましょう
No, let's not	行かないでください
Learner Pilot (L11)	見習いパイロット（ＬＶ１１）
“OK then, let's go!”	「さあ、行きましょう！」
Let's go!	行きましょう！
Wait a sec…	待ってください……
Learner Pilot (L12)	見習いパイロット（ＬＶ１２）
“CLOUD, let's go!”	「CLOUDさん、行きましょう！」
Ok! Let's go!	はい！　行ってください！
Uh, wait a sec!	あ、待ってください
Learner Pilot (L13)	見習いパイロット（ＬＶ１３）
“CLOUD! I'm going!”	「CLOUDさん！　行きますよ！」
OK	おねがいします！
Excuse me, but could you wait?	すいません、待ってください
Learner Pilot (L14)	見習いパイロット（ＬＶ１４）
“Hey, CLOUD!!!”	「さあ、CLOUDさん！！！」
Yeah, let's go!	は、はい、行きましょう！
Uh, wait	あ、あ、ちょっと待って
Learner Pilot (L14 Limit Break!)	見習いパイロット（ＬＶ１４・リミットブレイク！）
“Yo, CLOUD! Whacha gonna do?”	「おう、CLOUD、どうする？　ん？」
Move it!	行ってくれ！
Wait	待てよ
Full Pilot	一人前パイロット
“CLOUD, what do you want to do?”	「CLOUDさん、いかがいたしましょう？」
Go on	行ってくれたまえ
Wait a minute	少々、待ちたまえ
CAIT SITH	CAIT SITH
“Listen, CLOUD.”	「あのな、CLOUDさん」
“We're right in the middle of the	「ボクらな、ヒュージマテリア作戦の
mission for the Huge Materia, right?”	途中ですのや」
CAIT SITH	CAIT SITH
“I know this's kinda outta the blue, but	「それでな、さっそくですけど
Junon has an Underwater Reactor.”	【ジュノン】に【海底魔晄炉】ってありますのや」
“As far as I can see,	「ボクの知ってるかぎり
that's the only one left.”	あとはあそこが残ってるだけですねん」
“That's that. Let's go!”	「ってなわけで、行きましょか！」
CLOUD	CLOUD
“Rufus and the other's plan was a failure…”	「ルーファウスたちの作戦は失敗だ……」
BARRET	BARRET
“What a bust…	「なさけねえ話だが
But I kinda hoped it'd work.”	チビ～っと期待しちまったぜ」
CAIT SITH	CAIT SITH
“We been botherin' them as much as we can…”	「さんざん邪魔しといてなんやけど……」
“But there ain't no other way…	「他に方法があるわけやないし……
Wonder if we've been wrong all this time?”	ボクらがまちごうとったんやろか？」
RED XIII	RED XIII
“Makes you worry, doesn't it?”	「悩んじゃうよね」
TIFA	TIFA
“Don't worry! Think!”	「悩んじゃダメ！　考えるの！」
CID	CID
“Hey!	「おう！
The girl's right.”	ネエちゃんの言うとおりだぜ」
“You start worryin' and there's no stoppin' it!	「悩みはじめたらキリがねえぞ！
Things just start fallin' apart and get	どんどんどんどん悪い方へ
worse and worse.”	落ちてっちまうからな」
BARRET	BARRET
“You're pretty damn optimistic !	「ずいぶん前向きじゃねえかよ！
You up to somethin'?”	で、何か考えたのか？」
CID	CID
“Yeah, I been thinkin' about this and that.	「あ～だこ～だ考えたぜ。
All the time we been up here	宇宙からこの星を見ながらな」
lookin' at the planet.”	
“I been thinkin' even when we were floatin'	「脱出ポッドで海をプカプカ
in the ocean in that escape pod.”	ただよってる時まで考えちまったぜ」
CLOUD	CLOUD
“I've…been thinking, too.	「俺も……考えた。
About the universe…planet…ocean.”	宇宙……星……海」
“How wide and big…	「広くて大きくて……
No matter where I go and what I do	俺なんかが動き回っても
it won't change a thing.”	何も変わらないんじゃないかって」
CID	CID
“Maybe you're right.”	「そうなのかもしんねえな」
CID	CID
“But I came up with something different.”	「でもよ、オレ様が考えたのは違うぜ」
CID	CID
“I always thought this Planet was so huge.	「でけえでけえと思ってたこの星も
But lookin' at it from space,	宇宙から見ると小せえ小せえ」
I realized it's so small.”	
CID	CID
“We're just floatin' in the dark.	「真っ暗な中にぽっかり浮いてやがるんだ。
……kind of makes you feel powerless.”	……とっても心ぼそそうによ」
“On top of that it's got Sephiroth	「おまけに腹の中にはセフィロスっつう
festerin' inside it like a sickness.”	病気を抱えてるんだろ？」
CID	CID
“That's why I say this Planet's still a kid.”	「だからよ、この星は子供みてえなもんだ」
“A little kid sick and trembling	「でっけえ宇宙の中で病気になっちまって
in the middle of this huge universe.”	震えてる子供みてえなもんだぜ」
CID	CID
“Someone's gotta protect it.”	「誰かが守ってやらなくちゃならねえ」
CID	CID
“Ya follow me?	「ん～？
That someone is us.”	それはオレ様たちじゃねえのか？」
TIFA	TIFA
“CID…that's beautiful.”	「CID……なんだかステキ」
BARRET	BARRET
“Yo! CID!	「おう！　CIDさんよぉ！
You even got to me!”	オレは感動しちまったぜ！」
BARRET	BARRET
“Now what?	「で、どうするんだ？
How're we gonna protect	どうやってメテオから星を守るんだ？」
the Planet from Meteor?”	
CID	CID
“…I'm still thinkin' about that.”	「………………考え中でぃ」
RED XIII	RED XIII
“Huh!?”	「あれっ！？」
RED XIII	RED XIII
“Did you…hear something?”	「なんか……聞こえた？」
CLOUD	CLOUD
“What is it?”	「これは……」
TIFA	TIFA
“Maybe it's the Planet's scream…	「星の悲鳴……メテオの……？
Or is it Meteor?”	……この星の？」
CLOUD	CLOUD
“It's the Planet's scream.	「星の悲鳴だ。
I'm sure of it.”	たしかに星の悲鳴」
CLOUD	CLOUD
“Hey, how do we know that this is	「なあ、どうして俺たちは
really the Planet's scream?”	これが悲鳴だって知ってるんだ？」
TIFA	TIFA
“Did you forget?”	「忘れたの？」
“Bugenhagen told us.”	「ブーゲンハーゲンさんが
	教えてくれたからよ」
CLOUD	CLOUD
“Bugenhagen…”	「ブーゲンハーゲン……」
RED XIII	RED XIII
“Let's go see Grandfather!	「じっちゃんに会いに行こうよ！
To Cosmo Canyon!”	【コスモキャニオン】へ！」
“I'm sure he'll be able to tell us	「きっと何かためになることを
something that will be helpful!”	教えてくれると思うんだ」
