Under Junon	アンダージュノン
the only thing I've been hearing about	神羅のことばかりなんじゃ」
is the Shinra.”	
“I miss the times	「サカナの話ばかりをしていた
when we used to talk only about fish…”	むかしが、なつかしいねぇ……」
“I almost passed out	「ウェポンを見たときにゃ
when I saw Weapon.”	本当にコシがぬけてしまったよ」
“I heard Weapon was beaten,	「あのウェポンは倒されたようだけど
but a Shinra soldier told me	神羅の兵士が、あと４匹
there are 4 more.”	ウェポンがいると言っとったんじゃ」
“They say Shinra's gathering Huge Materia	「神羅は、世界各地のヒュージマテリアを
from around the world and	上のジュノンに集めているらしいんじゃ」
bringing it to Junon.”	
“Bringing it to Junon must mean	「わざわざジュノンに集めるということは
they want to use their airplanes.”	飛行機を使いたいんだろうね」
“I've noticed	「それと最近、神羅の船の出入りが
there's been a lot of Shinra ships recently.	多いと思ったらジュノン近海の
I think they're going to	【海底魔晄炉】に行っているようなんじゃ」
the Junon Underwater Reactor.”	
“Isn't Shinra trying to	「神羅は、魔晄炉のヒュージマテリアを
transport the Reactor's Huge Materia?”	運び出そうとしているんじゃないかね？」
“I heard a war's about to start!	「戦争が、おっぱじまるのかい！？
And that's why they're moving	上では、大砲を移動させていたそうじゃよ！」
the big cannon!”	
“Could be the end of the world…”	「もうこの世は
	終わってしまうんじゃろうか……」
Weapon Store	武器屋
“Hmm, what?”	「ワシが、ほしいのかい？」
“If you see a weapon you want,	「ほしい武器があったら
you'd better buy it.”	買っていっておくれ」
Dolphin Offing	イルカの入りえ
CLOUD	CLOUD
“…That's how it is.”	「……というわけなんだ」
CLOUD	CLOUD
“Great…”	「まいったな……」
CLOUD	CLOUD
“Hey! Hold on, we're coming!”	「おい、助けるぞ！」
CLOUD	CLOUD
“A gift? What am I	「プ、プレゼントって……
supposed to do with it!?”	どうしろっていうんだ！？」
CLOUD	CLOUD
“Jump to the top of the pole?”	「柱の上までジャンプだって！？」
BARRET	BARRET
“No! You got it all wrong!	「ちがうぜ！
We're fighting against the Shinra!”	オレたちは、神羅と戦ってるんだ」
BARRET	BARRET
“Hey! Look at that!”	「おい！　あれを見ろ！」
BARRET	BARRET
“Now ain't that something!	「見せてもらったぜ、イルカのジャンプ
I ain't never seen no dolphin jump like that!”	すごいもんじゃねぇか！」
BARRET	BARRET
“Good luck CLOUD!	「CLOUD、がんばれよ！
If you make it, we'll follow you!”	おまえが上手くやったら
	オレたちも行くからよ！」
“Whoa, I'll hold the PHS for you.	「おっと、それにＰＨＳを
It'll break if it gets wet.”	あずかっておいたぜ。
	ぬれたら壊れちまうからな」
TIFA	TIFA
“No…stay calm…”	「ちがうわ、安心して」
TIFA	TIFA
“Look at that!”	「あれを見て！」
AERIS	AERIS
“No you're wrong!	「ちがうの！
We have nothing to do with the Shinra.”	わたしたち、神羅と無関係なのよ」
AERIS	AERIS
“What's that!?”	「あれはなにっ！？」
RED XIII	RED XIII
“We don't get along with the Shinra.”	「……神羅とは相性が悪いな」
RED XIII	RED XIII
“Hey! It's a monster!”	「おい、モンスターだ」
YUFFIE	YUFFIE
“Hey watch your mouth!	「しつれいなこと言うんじゃないよ！
We hate the Shinra!”	神羅なんかだいっきらいさ」
YUFFIE	YUFFIE
“Whoa, Gawd!”	「おわっ、大変だ！」
“He-y! Mr.Dolphin!”	「ねぇ～！
	イルカさ～ん！！」
Priscilla	プリシラ
“Who are you guys?	「あなたたち誰なの？
Are you members of Shinra, Inc.?”	もしかして神羅の人間！？」
Priscilla	プリシラ
“I don't believe you!	「信用できないわ！
Get out of here!”	ここから出ていって」
Priscilla	プリシラ
“Be careful, Mr.Dolphin!”	「イルカさんが、あぶない！」
Priscilla	プリシラ
“Wait a minute.”	「おにいちゃん
	ちょっと見ていて」
Priscilla	プリシラ
“Pretty cool, huh?	「すごいでしょ！
When I blow this whistle,	このホイッスルを吹くと
Mr. Dolphin jumps for me.”	イルカさんがジャンプしてくれるの」
“Here!!	「ハイ！　ホイッスルを
This is for you, CLOUD!”	おにいちゃんにプレゼント」
“Just go into the water, blow this whistle, and	「海に入ってホイッスルを吹くと
Mr. Dolphin'll jump you to the top of the pole!”	イルカさんが柱の上まで
	ジャンプさせてくれるわ！」
“See that rod sticking out at the top?	「柱の上のほうに、ボウが突き出ているの。
If you jump just right, you can	位置を合わせてジャンプすれば
climb to the top of the town.”	ボウに乗って、上の街まで上れるはずよ」
“You wanna jump with Mr. Dolphin?”	「イルカさんとジャンプしてみる？」
Explain it to me again	もう１回説明してくれ
Sure	やってみる
I'll pass	やめておく
Priscilla	プリシラ
“Come back whenever you want to	「イルカさんに会いたくなったら
see Mr. Dolphin!”	また、来てね」
Priscilla	プリシラ
“There's high voltage running	「柱には高圧電流が流れているの
through the bottom of the tower.	近よっちゃダメよ」
Don't go near it…”	
“My name is…	「わたしの名前はね
Pri-scil-la!	プ～リ～シ～ラ！
Now you say it.”	ハイ、言ってみて」
Priscilla	プリシラ
“Did you drown?	「おぼれちゃったのね？
It gets deeper the farther you go out.”	遠くの方は深くなってるの」
“[SWITCH]  Blow the whistle	□ボタン　ホイッスルを吹いてイルカを呼ぶ
to call the dolphin.”	
“Jump up to the cargo ship	「イルカに運搬船まで
on the dolphin?”	つれていってもらいますか？」
Yes	はい
No	いいえ
Dolphin Offing	イルカのいりえ
“This is bad…	「まいったな…
You don't think she's dead,	もしかして死んでしまったのか？」
do you?”	
CLOUD	CLOUD
“Mouth to mouth!?”	「人工呼吸って！？」
CLOUD	CLOUD
“But…	「あ、いや
she's just a girl…”	あの、女の子だし……」
CLOUD	CLOUD
“Guess I gotta do it…”	「……しかたない」
BARRET	BARRET
“C'mon CLOUD.”	「CLOUD、まかせたぜ」
TIFA	TIFA
“CLOUD, what are	「CLOUD、どうするの？」
you going to do?”	
AERIS	AERIS
“CLOUD, hurry!”	「CLOUD、はやくっ！」
RED XIII	RED XIII
“You know I can't.”	「私にはムリだな」
YUFFIE	YUFFIE
“Do it, CLOUD!”	「CLOUD、やれ～っ！」
Priscilla	プリシラ
“Uh…ugh…”	「う、う～ん」
“Priscilla!!”	「プリシラ！！」
“Nope…she's not breathing…”	「ダメだわい……
“OK, help her…”	呼吸しとらん……」
“Young man, do CPR!”	「オッ、あれじゃ！」
“What? You don't know how?	「若いの、人工呼吸じゃ！！」
Come over here, I'll show you.”	「なんだ？　知らんのか～？
	教えてやるから、こっちに来なさい」
“Just take a deep breath, hold it in.	「とにかく息を大きく吸いこんで
Then breathe into her.”	限界までに息を止める。
	そして、その息を口うつしするのじゃ」
“Understand?”	「わかったか？」
Once more	もう一回
Got it	わかった
“Hurry up and do it!”	「早くするんじゃ！」
“Hey hey!	「ほほっ！
Priscilla, are you alright?”	だいじょうぶかプリシラ？」
“That's still not enough!”	「まだ、たりん！」
“What are you doing?	「何をしとる！？
Hurry up! Breath deeply and	早く息を止めて人工呼吸するんじゃ」
give her mouth to mouth!”	
“Push [SWITCH] once	「□ボタン１回目　呼吸ゲージスタート」
to start the CPR gauge.	
“Push it again to stop the gauge.”	「□ボタン２回目　呼吸ゲージストップ」
Grandma's House	おばあさんの家
CLOUD	CLOUD
“Yeah…”	「そうだな……」
We'll try later	やっぱりあとにしよう
Let's rest	ひと休みしよう
CLOUD	CLOUD
“TIFA…”	「TIFA……」
“When Sephiroth and I went to Nibelheim,	「俺とセフィロスが
where were you?”	ニブルヘイムに行ったとき
	TIFAはどこにいた？」
CLOUD	CLOUD
“The other time.”	「それ以外の時間だ」
“Hmmm…”	「う～ん……」
Let's get some rest	ひと休みしよう
No time to rest	休んでいられない
TIFA	TIFA
“Get some rest?”	「休んでく？」
TIFA	TIFA
“CLOUD, come here.	「CLOUD、ちょっと来て。
Everyone's here.”	みんなそろってるわ」
TIFA	TIFA
“…We saw each other, right?”	「……会ったでしょ？」
TIFA	TIFA
“No…it was 5 years ago.	「う～ん……５年前なのよ。
I don't remember.”	覚えてないわ」
“But, something seems strange outside.	「ね、それより外の様子が変なの。
CLOUD, come quick.”	早く来て、CLOUD」
AERIS	AERIS
“Want to rest?”	「休もっか？」
AERIS	AERIS
“What are you thinking?”	「何かんがえてんの？」
BARRET	BARRET
“I'm gonna relax for a while.”	「ちょっとばかり
	くつろがせてもらおうぜ！」
RED XIII	RED XIII
“Shall we rest?”	「休むのか？」
YUFFIE	YUFFIE
“Wanna rest?”	「お休みかい？」
“I heard what happened.	「話は聞いたよ。
You've done so much for Priscilla.”	プリシラが世話になったね」
“You all must be tired.	「あんたたちもつかれただろ？
If you want to get some rest,	休むんならここをつかっておくれ」
stay here.”	
“Make yourselves at home.”	「ゆっくりしていっておくれ」
“…That reminds me”	「……そういえば』
“You again?”	「また、あんたか？」
“…Who are you?”	「……あんた誰だ？」
“…You'll find out soon.	「……そのうちわかるさ。
…But more importantly, 5 years ago…”	……それより５年前」
“5 Years ago…Nibelheim?”	「５年前……ニブルヘイム？」
“When you went to Mt. Nibel,	「あのとき……ニブル山へ行ったとき
TIFA was your guide, right?”	TIFAがガイドだったよな」
“Yeah, …surprised me.”	「ああ……おどろいたな」
“But where was TIFA	「でも、それ以外、TIFAは
other than that?”	どこにいたんだろう？」
“…I dunno.”	「……さあな」
“It was a great chance for you two to	「せっかく久しぶりに
see each other again.”	会えるチャンスだったのに」
“…You're right.”	「……そうだな」
“Why couldn't you see each other alone?”	「どうして二人きりで
	会えなかったんだろう？」
“…I don't know.	「……わからない。
I can't remember clearly…”	はっきり覚えてないから……」
“Why don't you try asking TIFA?”	「なあ、TIFAに聞いてみろよ」
“…Yeah.”	「……ああ」
“Then, get up!”	「さあ、起きろ！」
“Hey, wake up.	「ねえ、起きて。
Wake up, CLOUD!”	起きてったら、CLOUD！」
Priscilla's House	プリシラの家
“No…that tickles…”	「あぁ～ん
	くすぐったぁぃ……」
“No…Stop…”	「いや～ん、だめぇ……」
“Mr. Dolphin…”	「イルカさぁん……」
Priscilla	プリシラ
“Who are you?”	「だれなの～？」
“At least knock when	「レディの部屋に入る時は
you enter a lady's room!”	ノックぐらいしてよね！」
Priscilla	プリシラ
“Lifestream?”	「ライフストリーム？」
“Yeah, I know!	「知ってるわよ！
It's Mr. Dolphin's playground.”	イルカさんの遊び場所だもん」
“There's a	「この【大陸の南に３本ツメの島】があるの。
Three-taloned island south of the continent.	その島の下をライフストリームが
I heard the Lifestream runs below that island.”	流れているらしいのよ」
“But why are you asking about	「でも、どうして
the Lifestream?”	ライフストリームのことなんか？」
Priscilla	プリシラ
“Huh, CLOUD!?”	「えっ、CLOUDおにいちゃんがっ！？」
“Hurry up and help him!!	「早く、おにいちゃんを助けて！！
He's very important to me.”	おにいちゃんは、わたしの大事な人だもの」
Priscilla	プリシラ
“CLOUD!!”	「おにいちゃん！！」
“Stupid jerk!	「バカバカ！　心配したのよ！！
Look how much you made me worry!!	
Were you at the Lifestream?”	やっぱりライフストリームに？」
Priscilla	プリシラ
“You've gotta be more careful!	「もう、気をつけなきゃだめよ！
Because you're going to marry me one day.”	わたしのおムコさんになる人なんだから」
Priscilla	プリシラ
“I'm so happy!!	「よかった～！！
Someday I'm going to	わたし、CLOUDおにいちゃんの
be CLOUD's wife.”	おヨメさんになるって決めてるの」
Priscilla	プリシラ
“I've decided	「わたし、CLOUDおにいちゃんの
I'm gonna be CLOUD's wife.”	おヨメさんになるって決めてるの」
CLOUD	CLOUD
“Yeah, that's right.”	「ああ、そうなんだ」
TIFA	TIFA
“CLOUD fell into the Lifestream	「CLOUDが北の大空洞から
at the North Cave, and	ライフストリームに落ちて
has been missing ever since.”	行方不明になっているの……」
CID	CID
“We found CLOUD!”	「CLOUDが見つかったぜ！」
Received "Shiva" Materia!	『シヴァ』のマテリアを手に入れた！
“You cannot take on any more Materia.	「これいじょうマテリアは持てません。
Please discard some Materia.”	なにかマテリアをすててください。」
Dolphin Offing	イルカの入りえ
“Get out of the water?”	「海から出ますか？」
Yes	はい
No	いいえ
Junon Airport Path	ジュノン空港通路
“Eh!	「エホッ！
Ho!”	エホッ！」
“Hurry!	「いそげっ！
Hurry!!”	いそげっ！！」
“The new President!!	「新社長っ！！
He's here, he's here!!”	歓迎っ歓迎っ！！」
“Hey!	「こらっ！
You still dressed like that!?	ま～だ、そんな格好をしているのか！
Come 'ere!”	こっちゃこい！」
“Hey! Rookie!!	「こらっ！　新入り！！
Can't you hear me!!	聞こえんかっ！！
Come over here!”	こっちゃこい！」
“Here!!	「ほれっ！！
Get in the room!”	部屋にはいらんかっ！」
“I'm sorry.	「ごめんね。
Not yet.”	まだなの」
Locker Room	ひかえ室
“Today's the big day when we	「今日は新社長ルーファウス様を
welcome President Rufus!	おむかえする大切な日だってのに！
Hurry up and change!”	ほらっ、着替えろ！」
“There's a uniform in the locker.	「制服はロッカーに入ってる。
Hurry and change!”	はやく着替えろ！」
“Quit yappin'!	「むだぐちたたくな！
Hurry up!”	はよせいっ！」
CLOUD	CLOUD
“It's the Shinra uniform.”	「神羅兵の制服だ」
Don't change	着替えない
Change	着替える
CLOUD	CLOUD
“There's Shinra soldiers all around.	「まわりは神羅兵だらけだ。
Better not try anything dumb…”	へたに逆らうような
	愚はおかせないが…」
CLOUD	CLOUD
“Brings back memories…”	「なつかしいな…」
CLOUD	CLOUD
“A Shinra uniform…”	「神羅の制服か…」
“I was so proud when I first	「はじめてそでを通したとき
put it on.”	ほこらしく思ったっけ」
CLOUD	CLOUD
“I wonder when it was…”	「いつからだったか…」
“…I couldn't stand wearing	「こいつを着るのがたまらなく
this thing anymore.”	いやになったのは」
“Wow!	「ほ～う！
You look good in it!”	にあっとるじゃないか！」
“You remember the	「おまえ、お迎えの仕方は
greeting procedure, right!?”	覚えてるだろうな！」
“…The look on your face says you forgot.	「……忘れたって顔だな。
All right, I'll show you again!”	しょうがない！　教えちゃる！」
“Do just like I do.”	「自分と同じようにやるんだぞ」
“Commander!!	「隊長！！
We'll help too!”	自分らが手伝うであります！」
“This is how to do it!”	「見本であります！」
“We'll sing too!”	「うたうであります！」
“All right!	「おうっ！
Show 'em!!”	見せてやれぃ！！」
“Then I'll	「ではっ！
sing along with you!”	自分のうたごえに
	あわせるであります！」
“Now, march!!	「まずは行進！！
This's the Welcoming March!”	歓迎パレードであります！」
“Quietly--!!”	「せいしゅくに～！！」
“Aaaaah!”	「ア～ッ～！」
“Aaaaah!”	「ア～ッ～！」
“Hey, come on now.”	「こりゃこりゃ！」
“Dum, tada!	「ズンチャカ！
Dum, tada!!”	ズンチャッ！！」
“Now!”	「さんはいっ！」
“And…march!!”	「行進はじめ～！！」
“One, two!	「おいっちにっ！
Three, four!”	いっちにっ！」
Rufus---	ル～ファウス～
Rufus Shinra----	ル～ファウス神羅～
We---are---Shinra Company----	わ～れらが～　神羅カンパニ～
The new-----President------	あ～たらしい社長～
Oh---Oh---	おっ～　おっ～
Shinra----	神羅～
Oh---Oh oh---	おっ～　おおっ～
Shinra, Inc.---	神羅カンパニ～
Realization---of the new era---	ニュ～エイジ～　時代をきずく～
New---President---Ru--fus---	ル～ファウス新社長～
Building---the new era---	ニュ～エイジ～　時代をつくる～
Shinra---forev---er---	これからも、神羅がいちばん～
“Got it!?”	「わかったか！」
Not yet	まだまだです
All clear!	かんぺきです！
“All right!	「おう！
Once more!”	もういっちょいけえぃ！」
“Good!	「よろしい！
Make sure you do well	本番でもがんばるんだぞ！」
at the real parade!”	
“Rufus has arrived!	「ルーファウス様、到着です！
Preparation completed!”	準備完了です！」
“All right, show time!	「さあ、本番だ！
Don't disgrace yourselves!”	失礼のないようにな！」
“Keep in step with the soldier next to you	「となりの兵士と歩調をあわせて
and march smoothly!”	おごそかにいさましく歩くであります！」
“Once you're all in step,	「みんなの歩調があったら
shoulder your gun!”	銃をかかげるであります！」
“To shoulder your gun,	「銃をかかげるときには
press [OK]!”	【○ボタン】を
“We'll practice some more!”	押すであります！」
“Remember to march smoothly!”	「練習しとくであります！」
“This is the military, soldier!!	「おごそかにいさましく歩くで
	ありますよ！」
Your orders for today are to send off	「軍隊をなめちょるな！！
President Rufus at the dock!”	本日！！　次の指令は
	港でルーファウス様のお見送りだっ！」
“I'll keep drilling you	「時間まで、みっ～ちり
until it's time!”	指導しちゃる！」
“I'll help, sir!”	「手伝うであります！」
“Me too, sir!”	「おなじくであります！」
“All right!!	「よ～っし！！
Line up in order and	自分の号令にあわせて
show me your final pose!”	お見送りのキメポーズをするのだ！」
“Today's command is Formation!”	「本日の号令は
	フォーメーション名になっちょる！」
“Remember it!”	「よっ～く、覚えとけっ！」
“Ready!?”	「それではいくぞっ！」
“Junon Military Send Off, BEGIN!”	「ジュノン軍隊式
	お見送りはじめ！」
“All right!	「うっし！
Now you try it!”	おまえもやってみそ！」
“So, you got it?”	「どうだ！　わかったか？」
Not yet!	まだまだであります！
I've got it!	かんぺきであります！
“All right!	「おう！
Again!”	もういっちょ！」
“All right! Don't mess up	「よ～し！
during the real thing!”	本番でもがんばんだぞっ！」
“[OK]!”	「○ボタン：サークル！」
“[MENU]!”	「△ボタン：トライアングル！」
“[SWITCH]!”	「□ボタン：スクウェア！」
“[CANCEL]!”	「×ボタン：クロス！」
“Right: Right Turn!”	「右：ライトターン！」
“Left: Left Turn!”	「左：レフトターン！」
“All right!!”	「おっす！！」
“The Special!!”	「スペシャ～ル！！」
“Commander!!	「隊長！！
What's today's special pose?”	本日のスペシャルポーズは？」
“Huh?	「んっ？
…I haven't decided yet.”	……決めてない」
“All right, rookie!!	「よしっ、新入り！！
I'll let you decide!”	特別におまえに決めさせてやる！」
“Show me your best move!”	「得意のキメポーズ、やってみろ！」
CLOUD	CLOUD
“Let's see…	「そうだな…。
My best move is…”	俺の得意なのは」
“Wow!”	「おおっ～！」
“Awesome!”	「かっこいいであります！」
“All right!!	「よしっ！！
We'll go with that as	本日のスペシャルは
as our special!!”	これに決まり！」
“Practice it!”	「よ～くっ！
	練習しとけっ！」
“Yes sir!!”	「はっ！！」
“Well then! Meet at the dock!!	「では！　港に集合！！
Don't be late!!”	遅れるな～！！」
“Attention!	「すわっ！
Dismissed!!”	解散っ！！」
[OK]	○ボタン：サークル
[CANCEL]	×ボタン：クロス
[SWITCH]	□ボタン：スクウェア
[MENU]	△ボタン：トライアングル
Directional button Left/Right: Left/Right Turn	方向キーの左／右：レフト／ライトターン
[OK]: Present arms.	○：銃をかまえる
Press	【ボタン】　　　　△：トライアングル
[OK], [CANCEL],	スクウェア：□　　　○：サークル
[MENU] or [SWITCH].	×：クロス
Left/Right: Left/Right Turn	方向キーの左／右：レフト／ライトターン
“Someday I'll get to use my	「いつか実戦でこのスペシャルポーズを
special pose in a real battle!”	決めるであります！」
“Same here!!	「おなじくであります！！
I'll keep practicing until then!”	そのときまでくんれんであります！」
Upper Junon	アルジュノン
Upper Junon	アルジュノン
“Let the Welcome	「歓迎パレード
Parade begin!”	開始します！！」
“Oh…no!!	「いか～ん！！
No one's here!”	誰もおら～ん」
“Late!?”	「遅刻した～！？」
“Hey! Rookie!!	「こらっ！　新入り！！
It's you're fault for running	おまえがもたもたすっから！！」
around like that!!”	
“Captain!!	「隊長！！
We'll take a short cut!”	近道するであります！」
“Right!”	「うむ！」
“Good idea.”	「それはいい作戦だ」
“Get over here!!”	「こっちゃこい！！」
“Hey!!	「こらっ！！
Don't get me any madder than	これ以上、怒らせんなっ！」
I already am!”	
“All right!	「よしっ！
You first!”	さきいけっ！」
“Thanks!!”	「毎度あり！！」
“Come on, forget about your job!	「さ、仕事なんて忘れて！
Step right up!!”	入って入って！！」
“Come on in!”	「さ、どうぞどうぞ！」
