Nibelheim	ニブルヘイム
“Periodic Report to Professor Hojo”	定期報告　宝条博士へ
	
1  Clone Activity Report	１　コピー行動記録
	
“Unfortunately, no 'CLONES' have left	「残念ながら今期も村を出て行った
this town this quarter.	【コピー】はいません。
As previously reported, the 'CLONES 'seem	すでに報告させていただいたとおり
to be sensing something.”	【コピー】たちは確かに何かを
	感じてはいるようです。」
“But all they say is, 'Reunion' or 'Sephiroth'	「しかし、うわごとのように
and show no other signs of activity.”	【リユニオン】【セフィロス】などと
	言うだけであり、どこかに旅立つという
	気配はまったくありません。」
2  Confidentiality Report	２　機密保持関係報告
	
“A total of eight people have visited	「今期に村をおとずれた人間は計８名。
this town this quarter.	
	
“Fortunately, none knew about	「さいわい、今期も、５年前の事件を
the incident five years ago.	知っている者はいませんでした。
“Therefore, no one knows the town was restored	「ですから、村が燃える前と同じように
exactly as it was five years ago.	再建されたことに気づいた者はいません。
Our staff, disguised as townspeople,	村人のふりをしているスタッフの
have improved their acting skills,	演技もなかなか上手くなりましたので
and we do not report any problems	こちらの方は間題なしと思われます。」
at this time.”	
	
That is all.	以上、報告いたします
“Hi, welcome.”	「はい、いらっしゃい」
Give me a room	とめてくれ
What's your story?	話が聞きたい
“It'll be 100 gil a night.	「１泊１００ギルになります。
Is that all right with you?”	よろしいですか？」
Yes.	たのむ
Never mind.	やっぱりやめる
“Enjoy your stay.”	「では、ごゆっくりどうぞ」
“You don't have enough money.”	「お金……足りないですね」
“Well, maybe next time…”	「では、またの機会に……」
“Oh, I'm so sorry.	「あ、すいません。
I've got lots to do…”	ちょっと仕事が
	たてこんでますので……」
CLOUD	CLOUD
“This town was supposed to have	「この村は５年前に
burnt down five years ago.”	全部燃えてしまったはずだ」
“What the hell is going on?”	「いったいどうなってるんだ？」
“Sir, don't say such awful things.”	「お客さん、変なこと
	言わないで下さい！」
“I was born and raised in this town.	「私はこの村で生まれ育ちました。
What you say never happened.”	そんなことは全然なかったですよ」
TIFA	TIFA
“You're lying…”	「おじさん、ウソついてる……」
“EXCUSE ME! That's so rude…”	「失礼だなぁ……」
“If you're going to talk like that,	「変なこと言うなら
I'm going to have to ask you to leave.”	出ていってもらいますよ」
“I'm checking the Mako boiler.	「魔晄ボイラーの調子が見てるんです。
Please don't bother me now.”	ジャマしないでくださいよ」
“…Welcome.	「……いらっしゃい。
It's 100 gil a night…”	１泊１００ギルですが……」
Spend the night.	とまる
Don't stay.	やめる
CLOUD	CLOUD
“Man in a black cape?”	「黒マントの男！？」
CLOUD	CLOUD
“He has a tattoo number '6'.	「『６』のイレズミがあるな。
Hmm? He has something…”	ん？　何か持ってる……」
Received "Luck Source!"	『ラックアップ』を手にいれた！
“Urrr…rrrrr…rrrgh…	「う……あ……ぁああ……
Must…go to…Re…union…”	リユ……ニオン……行きたい……」
Nibelheim House	小さな姉弟がいた家２階
	
“Re…union.”	「……リュ……ニヨン」
“….”	「………………」
“Re…union.”	「………………ヨン」
CLOUD	CLOUD
“…The Black Cape…”	「黒マントの……」
Received "Luck Source!"	『ラックアップ』を手にいれた！
“Nice town, huh?”	「ここはいい村でしょ？」
“We've been in business here	「あたしらは昔っから
for a long time…”	ここで商売してますけどね……」
CLOUD	CLOUD
“…You're lying.”	「……ウソだ」
“Do you have anything to do	「もしかして……
with this town?”	あなた、この村の関係者？」
How about bein' born and raised here?	そう、この村で生まれ育った
Nope, guess not	いや、ちがう
CLOUD	CLOUD
“I was here until I was 14,	「１４歳までここにいた。
and I don't remember you.”	俺はあんたなんか知らない」
CLOUD	CLOUD
“…Nothing.”	「……なんでもない」
“It's not nice to lie!!”	「ウソはいけませんよ！！」
“Oh yeah?”	「ホッ……」
“How can you shop at a time like this?”	「あんたら、こんな時に
	買い物なんかして、どうするの？」
“What? Me, in business?”	「えっ？　商売だろうって？」
“Don't worry, it's all right.	「いいのいいの、ウチは会社から
I get paid by the company.”	給料出てるから」
“But my real job is protecting	「ニブルヘイムの秘密を守るのが
Nibelheim's secret.”	ウチらの本当の仕事なんだよ」
“What? Secret?”	「えっ？　秘密？」
“We don't have a clue.	「ウチらは知らないな。
But it's all right.”	でも、いいのいいの」
“It's all over anyway!”	「もう全部終わりなんだからさ！」
“Finished, finito, over!!	「終わり終わり終わり！！
Even as we speak Meteor…	ああ、こうしてる間にも
This is the end!”	メテオが～！　終末が～！！」
CLOUD	CLOUD
“A man in a black cape!?”	「黒マントの男！？」
CLOUD	CLOUD
“He has a tattoo of the number'12'.	「『１２』のイレズミがあるな。
Mmm? He has something.”	ん？　何か持ってるぞ」
Received"Elixir"!	『エリクサー』を手にいれた！
“Can…you…hear?	「聞こ……え……る？
The…voice…of…Se…phi…roth?”	セフィ……ロスの……声……」
“Something is written on the back	「ふたのウラに文字がきざまれている」
of the lid.”	
(1)Right 36	【１】　…　右　３６
“Something is written on the floor.”	「ゆかに文字がきざまれている」
(2)Left 10	【２】　…　左　１０
“Something is written on the floor.”	「ゆかに文字がきざまれている」
(3)Right 59	【３】　…　右　５９
“Something is written on the back	「ふたのウラに文字がきざまれている」
of the lid.”	
(4)Right 97	【４】　…　右　９７
“I have a bad feeling about this…”	「いやな予感が……」
Open the safe	それでも金庫をあける
Don't open it	やめる
[Empty Entry]	メモリ
[Empty Entry]	メモリ
Success	せいこう
Fail	失敗
Received Key Item "Key to the Basement"!	キーアイテム『地下室のカギ』を手にいれた！
C project	ＣーＰＲＯＪ
specimen(B)  codeC	サンプル　ー　Ｂ（コードＣ）
“A scratch left by a fingernail inside	「ビーカーの内がわにツメで
the beaker…	キズつけたあとが……
Let's get out of here…'.”	『ここから逃げよう……』」
C project	ＣーＰＲＯＪ
specimen(A)  codeZ	サンプル　ー　Ａ（コードＺ）
“A scratch left by a fingernail inside	「ビーカーの内がわにツメで
the beaker…	キズつけたあとが……
Feeding Time'…that's our chance…!”	『エサの時間が…チャンスだ……』」
“Escapee Report no. 1	「逃亡者に関する報告書　１
X Month X Day	Ｘ月Ｘ日
Two escapees were located	当施設から逃亡した２名を
near Midgar.”	ミッドガル近辺で発見しました]
“Escapee Report no. 2	「逃亡者に関する報告書　２
Description at the time of capture.	発見時の状態
“A  Former member of SOLDIER/Number(   )	「Ａ　元ソルジャー／ナンバー【無】
No effect could be detected from	魔晄照射およびジェノバの影響は
either Mako Radiation Therapy	見受けられませんでした。
or Jenova on him.	
“B  Regular/Number (   )	「Ｂ　一般／ナンバー【無】
Reaction to Jenova detected.”	ジェノバへの反応過多が見受けられました」
“Escapee Report no. 3	「逃亡者に関する報告書　３
Status.”	：処分に関して」
A  Shot for resisting.	Ａ　抵抗したため、射殺。
B  Escaped during A's resistance.	Ｂ　Ａが抵抗する間に逃亡
“Escapee Report no. 4	「逃亡者に関する報告書　４
Other	：その他
“B's whereabouts is currently unknown.	「現在、Ｂの行方は不明です。
But pursuit is unnecessary due to	しかし、Ｂは意識の乱れが
his diminishing consciousness.	かなり進行している様子でしたので
Awaiting further instructions.”	このまま放置しておいても
	間題は無いというのが我々の見解です。
	今後に関する指示をおねがいします」
CLOUD	CLOUD
“Sephiroth!”	「セフィロス！」
Sephiroth	セフィロス
“Being here brings back memories.”	「なつかしいな、ここは」
Sephiroth	セフィロス
“Are you going to participate in the Reunion?”	「ところで、おまえはリユニオンに
	参加しないのか？」
CLOUD	CLOUD
“I don't even know what a Reunion is!”	「俺はリユニオンなんて知らない！」
Sephiroth	セフィロス
“Jenova will be at the Reunion.	「ジェノバはリユニオンするものだ。
Jenova will join the Reunion,	ジェノバはリユニオンして
becoming a calamity from the skies.”	空から来た厄災となる」
CLOUD	CLOUD
“Jenova, a calamity from the skies?	「ジェノバが空から来た厄災？
You mean she wasn't an Ancient!?”	古代種じゃなかったのか！？」
Sephiroth	セフィロス
“…I see.	「……なるほど。
I don't think you have the right to participate.”	おまえには参加資格はなさそうだ」
“I will go North past Mt. Nibel.	「わたしは【ニブル山をこえて北】へいく。
If you wish to know…then follow…”	もしお前が自覚するならば……
	わたしを追ってくるがよい」
CLOUD	CLOUD
“…Reunion?	「……リユニオン？
Calamity from the skies?”	空から来た厄災？」
Hojo's Letter	宝条の手紙
“I must get rid of all those	「私の研究の邪魔をする者を全て
that stand in the way of my research.	取り除かなければならない。
Even that one from the Turks.”	タークスのあの男も例外ではない」
“I scientifically altered him	「私はタークスの男に生体学的な改造を
and put him to sleep in the basement.	ほどこし、地下に眠らせた。
If you want to find him, search the area.”	もし興味があるなら探してみるがよい」
“But…this is merely a game I thought of.	「ただし……これはあくまで私がきまぐれで
It is not necessary	おもいついたゲームにすぎない。
for you to participate	むりにつきあってくれる必要はない」
if you don't want to.”	
“There seems to be another letter.”	「手紙は２まいあるようだ」
Read it	もう１まいの用紙をみる
Ignore it	無視して旅を急ごう
“Move the dial on the safe carefully	「金庫のダイヤルはしんちょうに
but quickly. You have 20 seconds.	かつ、すばやくまわす。２０秒以内だ。
You can not go past the numbers while turning.	少しでも行き過ぎてはいけない。
The 4 hints for the numbers are…”	４つのダイヤルのヒントは……」
dial (1)	ダイヤル　【１】　のヒント
dial (2)	ダイヤル　【２】　のヒント
dial (3)	ダイヤル　【３】　のヒント
	
The lid of the box with the most oxygen.	酸素が一番多いハコのふた
Behind the Ivory's short of tea and ray.	空のない黒と白のウラ
“The creek in the floor near the chair	「２階のイスのそばのユカのきしみ……
on the second floor…	そこから左５歩、上９歩、左２歩、上６歩」
then to the left five steps, up nine steps,	
left two steps, and up six steps.”	
The fourth row has been written in invisible ink…	４行目があぶりだされた……
Dial (4) is  (Right 97)	ダイヤル　【４】　は　【右　９７】
“Look, something is written on the back…”	「よく見るとウラにも文字がかいてある……」
Look at the back	ウラを見てみよう
Ignore	無視しよう
“You still don't get it?	「まだわからないのかね？
Don't give up if you've only checked it once.	一度調べたからって安心してはだめだよ。
You have to be persistent.”	しつこく調べなくては」
“Look, this letter could be in invisible ink.”	「よく見るとこの手紙はあぶりだしのようだ」
Read it	あぶりだしてみよう
Ignore it	無視しよう
“There are four things in this mansion…	「この屋敷の中で４つあるもの……
Check more closely.”	それをもっとよく調べてみてくれ」
“Something is written on the back of the lid.”	「ふたのウラに文字がきざまれている」
(1)   Right 36	【１】　…　右　３６
“There's a carving in the floor.”	「ゆかに文字がきざまれている」
(2)   Left 10	【２】　…　左　１０
“There's a carving in the floor.”	「ゆかに文字がきざまれている」
(3)Right 59	【３】　…　右　５９
“Something is written on the back of the lid.”	「ふたのウラに文字がきざまれている」
(4)  Right 97	【４】　…　右　９７
