Highwind‚on deck	ハイウインド・甲板
“What?”	「なんだ？」
RED XIII	RED XIII
“Look at the number…”	「すごい数だ……」
CID	CID
“%#@^! They're comin'	「チッ！　みなさん
out in full force!”	総出でおでむかえかよ！」
BARRET	BARRET
“CLOUD!	「CLOUD！
You go first!”	おめぇは先に行け！」
CLOUD	CLOUD
“OK, I'm going alone.”	「俺もここで戦う」
BARRET	BARRET
“Shu'up! It won't	「バ～カ！　こんなところで
do us no good wit'	全員グダグダしてても
everyone back here!”	しょーがねぇだろ」
CID	CID
“BARRET's right.”	「だな、BARRETの言うことも
	もっともだぜ」New
“You take two of us with	「CLOUD、おまえさんは
you and go first. The rest'll	あと２人くれぇ連れて先に行ってろ。
catch up with ya later.”	残ったこっちもスグおいつくからよ！」
TIFA	TIFA
“Is this like a practice run	「ま、本番前の
before the final battle?”	準備運動ってところかしら？」
CAIT SITH	CAIT SITH
“Yeah, a major practice run…”	「なんやえらい準備運動やなぁ…」
YUFFIE	YUFFIE
“I'm fine with that.	「へへ、アタシはへっちゃらだよ。
(It's probably more fun than	（下でセフィロス相手にするより
meeting Sephiroth down there.)”	楽かもしれないし）」
VINCENT	VINCENT
“Hmm, this might be	「フッ、ヒマつぶしには
fun to pass time.”	もってこいだな」
RED XIII	RED XIII
“They're coming!	「来る！
They're already on the floor next to us!”	もう、となりのフロアまで来てる！」
BARRET	BARRET
“CLOUD!	「CLOUD！
Hurry up and	はやく決めろ！」
make up your mind!”	
CLOUD	CLOUD
“All of you!”	「みんな！」
CLOUD	CLOUD
“Later!”	「あとでまた！」
BARRET	BARRET
“Yeah, later.”	「ああ、あとでな」
CID	CID
“Yup! Later!”	「ヘッ！　あとでな」
TIFA	TIFA
“We'll meet up later.”	「うん、あとで
	また会いましょう」
Inside the Planet	星の体内
	
CLOUD	CLOUD
“Where are we?”	「ここは……？」
BARRET	BARRET
“What's that!?”	「なんだ！？」
TIFA	TIFA
“What?”	「なに！？」
CID	CID
“What the hell?”	「なんだ、なんだ！」
RED XIII	RED XIII
“Wha…what?”	「な、なんだ！？」
CAIT SITH	CAIT SITH
“What?”	「な、なんや！」
YUFFIE	YUFFIE
“What? What?”	「なに！　なに！」
VINCENT	VINCENT
“What's this?”	「これは！？」
CLOUD	CLOUD
“Jenova?”	「ジェノバ…！？」
CLOUD	CLOUD
“It's coming!!”	「来る！！」
????	？？？？
	
Li…ght…	ひ……かり……
A light…	光だ……
Is this…	これが……
Is this light…Holy?	この光が……ホーリー？
CLOUD	CLOUD
“CID!?”	「CID！？」
CLOUD	CLOUD
“BARRET!?”	「BARRET！？」
CLOUD	CLOUD
“TIFA!?”	「TIFA！？」
CID	CID
“Owww…”	「イテテテ……」
CID	CID
“Goddammit…	「なんだコンチクショウ……
So we're all here?”	けっきょく全員集合かよ……」
BARRET	BARRET
“Oww…damn, man!”	「イテテテ……」
BARRET	BARRET
“What?	「なんだオイ……
So everyone's together again?”	けっきょくみんな
	そろっちまったのか……」
TIFA	TIFA
“Owwww…”	「アイタタタ……」
TIFA	TIFA
“CLOUD…	「CLOUD……
So are we all together?”	やっぱりいっしょに
	なっちゃったね……」
BARRET	BARRET
“…And, where the hell's that?”	「……それで、いったい
	どこにいやがるんだ？
	あの……」
“Uuuugh!!”	「ウグッ……！！」
CLOUD	CLOUD
“Sephiroth!!”	「……セフィロスッ！！」
BARRET	BARRET
“Ugh!	「グッ……！
Is this…	これが……本当の
Sephiroth's power?”	セフィロスの力だってのか！？」
CID	CID
“My…my body…	「か、体が……
I can't control my body…	言うことをききやがらねえ……
Uuugh!?”	ウオッ！？」
CLOUD	CLOUD
“Sephi…roth!	「セフィ……ロス……！
Not yet…	まだだ……
I'm not…Uuuuraagh!”	まだ俺は……ウァァアア！」
RED XIII	RED XIII
“My front legs…my hind legs…	「前足が……後ろ足が……
my tail's about to rip off!!”	シッポがちぎれそうだ！！」
CAIT SITH	CAIT SITH
“This is definitely not good…	「アカン……
He's way outta our league…”	やっぱりケタちがいや……」
YUFFIE	YUFFIE
“I, I don't know if I can…go on.”	「ア、アタシもうダメ……かも……」
TIFA	TIFA
“CLOUD…	「CLOUD……
CLOUD…”	CLOUD……」
CLOUD	CLOUD
“Ugh…ugh…”	「ウ……ウ……」
CLOUD	CLOUD
“…There…”	「……こに……ある……」
“It's…there…”	「そこに……あるんだ……」
TIFA	TIFA
“CLOUD?”	「CLOUD……？」
CLOUD	CLOUD
“…Holy…Holy…	「……ホーリーが……ホーリーが
is there…”	そこにある……」
“Holy Materia is shining…	「ホーリーが輝いてる……
AERIS's prayer is shining!”	AERISのいのりが
	輝いてる……！」
TIFA	TIFA
“Holy…	「ホーリー……
AERIS…”	AERIS……」
CLOUD	CLOUD
“It's not over yet…	「まだ終わりじゃない……
This isn't the end yet!!”	終わりじゃないんだ！！」
“Uuuuuaaaaagh!!”	「ウワアァーッ！！」
“Eeeyaaaa!!”	「キャアアァーッ！！」
Let's go, everyone!	いくぞ、みんな……！
Just a moment!	もう１度だけ……！
CLOUD	CLOUD
“AERIS's memories…	「AERISの想い……
Our memories…”	俺たちの想い……」
“We came…to tell you…our memories…	「その想い伝えるために……
Come Planet! Show us your answer!”	俺たちは……来た……
	さあ、星よ！　答えを見せろ！」
“And Sephiroth!!	「そしてセフィロス！！
To the settling of everything!!”	すべての決着を！！」
BARRET	BARRET
“Not only AERIS…”	「AERISだけじゃねえ……」
“Holy is the prayer of AVALANCHE…	「ホーリーはアバランチの……
Of Marlene and Dyne…	マリンやダインの……
And everyone on the Planet!”	この星の人間のいのりだ！」
TIFA	TIFA
“AERIS is here…	「AERISがいる……
everyone is here…	みんながいる……
CLOUD is here with us!”	CLOUDがいてくれる！」
“There's still a lot for us to do…	「私たちにはまだ
I'm not giving up!!”	できることがある……！
	私、あきらめない！！」
RED XIII	RED XIII
“I'm going to see it through to the end.	「オイラはみとどける。
For our future…	みんなのこれから……
And that of the Planet…	この星のこれから……」
“I understand now, Grandpa.	「今ならわかるよ、じっちゃん。
This is my mission!”	それがオイラの使命だ！」
“I won't let the Lifestream…	「ライフストリームを……
or the Planet wither away!!”	星の命を、かれさせはしない！！」
CID	CID
“Hoo-ok!	「ヘッ……！
I can't be foolin' around	こんな穴ぐらの底でいつまでも
in this hell hole…”	はいつくばってられるかよ……」
“I still have lots of stuff	「オレ様はよ……オレ様にはよ！
to do with my life!”	まだまだ、やりてえことがあるんだよ！」
CAIT SITH	CAIT SITH
“We noticed a little late the	「まちがいにきづくんが
trouble we were getting in…”	ちぃ～と
	遅かったんかもしれん……」
“But, there's still time…	「それでも、まだ……
We can still get out of it!	まだやり直せるはずや！
Even if we can't get EVERYTHING	ぜんぶ元にはもどせんかも
back to normal!”	しれんけどな！」
“We should be able to protect	「いちばんだいじなモンを
what's most important!!”	守ることは
	できるはずや！！」
YUFFIE	YUFFIE
“Maybe…maybe I shouldn't have come…”	「や……やっぱりくるんじゃ
	なかったかも……」
“I don't need…Materia……any…”	「もう、マテリアなんか……
	マテリアなんか……」
“Nope, I still want it!!	「やっぱり欲しいッ！！
This an' that an' everything…MINE!	アレもコレも、みんなみんな
And I'm never gonna give any up!!”	アタシのもの！
	アンタなんかにやるもんか！！」
VINCENT	VINCENT
“I was frozen in time…	「あの時に凍りついた
But now I feel as though my time	私の時間が、今ふたたび
is finally beginning!”	動きはじめる……！」
“Sephiroth, now it's your time to	「セフィロス、今度はおまえが
sleep for the ages!!”	時のはざまで眠りにつく番だ！！」
CLOUD	CLOUD
“G…ugh…”	「クッ……」
BARRET	BARRET
“Urrrrrgh!!”	「ウオオォッ！！」
TIFA	TIFA
“…We're not gonna lose!!”	「……負けないっ！！」
RED XIII	RED XIII
“…No way we're gonna lose!!”	「……負けるもんか！！」
CID	CID
“This ain't nothin'!!”	「ケッ、へでもねえぜっ！！」
CAIT SITH	CAIT SITH
“We're not losin'!!”	「負けへんでェ！！」
YUFFIE	YUFFIE
“I don't like it!!”	「もうイヤ～ッ！！」
VINCENT	VINCENT
“Damn…!”	「クッ……！」
…over…	……終わった……
It's all over…	終わったんだ……
…everything…	……なにもかも……
Everyone…everything…	なにも……かも……
all finished…	終わりをつげ……
Now everything	そしてこの私から
will begin anew…with me!!	すべてがはじまる！！
CLOUD	CLOUD
“This is all we could do.”	「俺たちにできるのは
	ここまでだな」
BARRET	BARRET
“Wait! What about Holy?	「ちょっと待てよ！
What's gonna happen	ホーリーは！？
to the Planet?”	星はどうなる？」
CLOUD	CLOUD
“That…I don't know.	「それは……わからない。
Isn't the rest up to the Planet?”	あとは星が決めることだろ？」
TIFA	TIFA
“…You're right.”	「……そうね」New
“We've done all that we could do.”	「私たち、できることは
	ぜんぶやったものね」
CLOUD	CLOUD
“All right, everyone.”	「さあ、みんな」
CLOUD	CLOUD
“We did our best.”	「もう、考えてもしようがない」New
“That's it.”	「不安やなんかはここに
	置きざりにしてさ」
CLOUD	CLOUD
“Let's go home proud.”	「胸を張って帰ろう」
TIFA	TIFA
“What happened?”	「どうしたの？」
CLOUD	CLOUD
“…I feel it…”	「……感じる……」
TIFA	TIFA
“What…”	「えっ……」
CLOUD	CLOUD
“He is still…here.”	「あいつは……まだいる」
CLOUD	CLOUD
“Still…”	「まだ……」
TIFA	TIFA
“CLOUD!?”	「CLOUD！？」
CLOUD	CLOUD
“He's…laughing…”	「わ、笑ってる……」
TIFA	TIFA
“CLOUD!”	「CLOUD！」
……..Lifestream?	……ライフストリム？
…. I think I'm beginning to understand.	….わかったような気がする
What?	えっ？
“An answer from the planet…	星からの容え….約束の地….
the Promised Land…”	
I think I can meet her … there	「そこで….会えると思うんだ」
Yeah, let's go meet her.	「うん、会いに行こう」
Hey, where is everyone?	「そうだ、みんなは？」
Heeeey!	「おーーーーい！」
I'm glad you're all safe!	「良かった！みんな無事みたい」
They all seem to be safe, too.	「どうやら向こうも無事らしいな」
But… now what're we going to do?	「でもよ、これからどうするんだ？」
Holy should be moving soon,	「もうじきホーリーが動き出すんだろ？」
and that means this place will…	「そうなったら、ここは……」
Oh, Lady Luck don't fail me now…	「あ～あ、、　運命の女神さんよぉ、、」
	「何とかなんねェのかよ～」
Shit!!	「ちくしょー！！」
The flower girl?	「お花のおねえちゃん？」
Wait a damn minute!	「おいおいおい！ミッドガルどうなるんだ？」
What's gonna happen to Midgar?	
We can't let that happen!	「まずいんじゃねえのか？」
I had everyone take refuge in the slums,	「みんなスラムに非難してもろたんやけど」
but the way things are now…	「このままやったら、もう……」
It's too late for Holy.	「きっとホーリーが遅すぎたんだ」
Meteor is approaching the Planet.	「メテオが星に近づきすぎてる」
Holy is having the opposite effect.	「これじゃせっかくのホーリーも逆効果だ」
Forget Midgar, we've gotta worry about the Planet,	「ミッドガルどころか星そのものが……」
What's that!?	「あれは！？」
What the hell IS that…….?	「なんなんだ……？」
…….. Lifestream.	「……ライフストリームだ」
It's coming.	「来る」
Five hundred years later…	Five hundred years later
	500年後…
