What!?	え～っ！！
As I was coming out of the reactor, Shinra troops were just arriving.	魔晄炉から出ると、神羅の軍隊が 到着したところだった。
I recall a scientist named Hojo was in charge. He ordered the troops to gather up everyone still alive for the experiment. I didn't know what type of experiment he was talking about, but I wasn't about to let them have my dearest student.	指揮をとっていたのは、たしか宝条という科学者だったと記憶している。宝条は【少しでも息のある者は実験用に集めておけ】と兵士たちに命令していた。何の実験だか知らないが、かわいい弟子を渡すわけにはいかない。
Putting you on my back, I headed down the mountain to the village. I used the Cure spell on you many times.	私はおまえを背負って山をおりそして村を出た。私は道中何度もおまえにケアルをかけつつ
And started to head for Midgar to look for a doctor for you. I didn't like that city, and my Cure spells weren't helping.	おまえの命を救ってくれる医者を求めてミッドガルを目指した。あの街は好きではないが、私のケアルだけではどうしようもなかった。
I decided to go to Midgar to find a doctor I could trust. I'm worried about you, but I can't settle down in one place for very long.	ミッドガルの信頼できる医者におまえをあずけて私は再び旅に出ることにした。おまえのことは心配だったがひとつ場所にとどまっていられないのが私の性分だ。
Have you recovered fully? Are you well?	傷はすっかり良くなっただろうか？元気にしているだろうか？
I wonder how many years have passed since then? I just got into town again, but I can't believe it… The whole town is back to normal, except for the strange people with black clothes all around.	あれから、何年がすぎたのだ？私はふらりとこの村に戻ってきたが正直なところ、おどろいている。村は元通りだが、黒い服の不気味な者たちがうろついている……。
The town reeks of Shinra, but I won't go after them. You may think I'm running from them, but it's just that I don't want anything to do with Shinra anymore. Feels like time is running out.	神羅のにおいがぷんぷんするが私は深追いするつもりはない。逃げていると言われればそれまでだが神羅にかかわるのは、もういやなのだ。さて、TIFA。この家の者が戻って来ないうちにここを立ち去らなくてはならない。時間はなさそうだ。
I'm sure you'll find this letter. And this gift for you. It should come in handy.  	おまえは必ずこの手紙を見つけるにちがいない。それを信じてここに私からのおくりものを隠しておく。きっと役に立つだろう。
I want to give it to you myself, but it's hard for my students to see me as an old man. I can't even jump anymore. But I hope you continue to sharpen your skills and remember what I taught you.	直接渡したいところだが弟子に老いた自分を見られるのはつらい。もう私はジャンプさえ出来なくなってしまった。私の技、おまえがみがきあげてくれることをねがっている。
To my most precious student,  From Zangan	最愛の弟子へ　ザンガン
Tifa's Final Mystery?	TIFAの最終奥義
Received "Final Heaven"	『ファイナルヘブン』を手にいれた
Did you play my piano?	私のピアノを弾いたの？
No, I didn't	いや、弾かなかった
Yeah, I jammed on it	ギンギンに弾いた
Just a little…	ちょっとだけ
I can read sheet music too, you know. Ummm, let's see…	俺だって、がくふくらい読め…… えっと……
Do…\ Re…> Mi…> Ti…\ La…\ > Do…> Re…> Mi…> So…> Fa…> Do…> Re…> Do…\ Forget it…	ド…レ…ミ…シー…ラー…ド…レ…ミ…ソ…ファ…ド…レ…ド…いいや、もう
Play the piano?	ピアノでも弾くか……
…Now, how did this go?	……どうやって弾くんだったかな？
I forgot	忘れた
I remember	おぼえてる
Do [CANCEL]	×　ド
Re [SWITCH]	□　レ
Mi [MENU]	△　ミ
Fa [OK]	○　ファ
So [PAGEUP]/[PAGEDOWN] + [CANCEL]	Ｒ１かＬ１と×　ソ
La [PAGEUP]/[PAGEDOWN] + [SWITCH]	Ｒ１かＬ１と□　ラ
Ti [PAGEUP]/[PAGEDOWN] + [MENU]	Ｒ１かＬ１と△　シ
Do [PAGEUP]/[PAGEDOWN] + [OK]	Ｒ１かＬ１と○　高いド
But…I definitely remember playing the piano then. So why wasn't it burnt down?	あのとき……確かにこのピアノを弾いた。でも、なぜ焼けなかったんだ
Tattoo number '4'	『４』のイレズミだ
Received "Platinum Fist!"	『プラチナフィスト』を手にいれた！
…Where…are…you? Great…Se…phi…roth…	……どこ……で……す……か？セフィ……ロス……さま
Periodic Report to Professor Hojo	定期報告　宝条博士へ
1  Clone Activity Report	１　コピー行動記録
Unfortunately, no 'CLONES' have left this town this quarter. As previously reported, the 'CLONES 'seem to be sensing something.	残念ながら今期も村を出て行った【コピー】はいません。すでに報告させていただいたとおり【コピー】たちは確かに何かを感じてはいるようです。
But all they say is, 'Reunion' or 'Sephiroth' and show no other signs of activity.	しかし、うわごとのように【リユニオン】【セフィロス】などと言うだけであり、どこかに旅立つという気配はまったくありません。
2  Confidentiality Report	２　機密保持関係報告
A total of eight people have visited this town this quarter.	今期に村をおとずれた人間は計８名。 
Fortunately, none knew about the incident five years ago.	さいわい、今期も、５年前の事件を 知っている者はいませんでした。
Therefore, no one knows the town was restored exactly as it was five years ago. Our staff, disguised as townspeople, have improved their acting skills, and we do not report any problems at this time.	ですから、村が燃える前と同じように再建されたことに気づいた者はいません。村人のふりをしているスタッフの演技もなかなか上手くなりましたのでこちらの方は間題なしと思われます。
That is all.	以上、報告いたします
Give me a room	とめてくれ
It'll be 100 gil a night. Is that all right with you?	１泊１００ギルになります。よろしいですか？
Enjoy your stay.	では、ごゆっくりどうぞ
You don't have enough money.	お金……足りないですね
Well, maybe next time…	では、またの機会に……
Oh, I'm so sorry. I've got lots to do…	あ、すいません。ちょっと仕事がたてこんでますので……
This town was supposed to have burnt down five years ago.	この村は５年前に全部燃えてしまったはずだ
What the hell is going on?	いったいどうなってるんだ？
Sir, don't say such awful things.	お客さん、変なこと言わないで下さい！
I was born and raised in this town. What you say never happened.	私はこの村で生まれ育ちました。そんなことは全然なかったですよ
You're lying…	おじさん、ウソついてる……
EXCUSE ME! That's so rude…	失礼だなぁ……
If you're going to talk like that, I'm going to have to ask you to leave.	変なこと言うなら出ていってもらいますよ
I'm checking the Mako boiler. Please don't bother me now.	魔晄ボイラーの調子が見てるんです。ジャマしないでくださいよ
…Welcome. It's 100 gil a night…	……いらっしゃい。１泊１００ギルですが……
Spend the night.	とまる
He has a tattoo number '6'. Hmm? He has something…	『６』のイレズミがあるな。ん？　何か持ってる……
Urrr…rrrrr…rrrgh… Must…go to…Re…union…	う……あ……ぁああ……リユ……ニオン……行きたい……
Nibelheim House	小さな姉弟がいた家２階
Re…union.	……リュ……ニヨン
Re…union.	………………ヨン
…The Black Cape…	黒マントの……
Nice town, huh?	ここはいい村でしょ？
We've been in business here for a long time…	あたしらは昔っからここで商売してますけどね……
…You're lying.	……ウソだ
Do you have anything to do with this town?	もしかして……あなた、この村の関係者？
How about bein' born and raised here?	そう、この村で生まれ育った
Nope, guess not	いや、ちがう
I was here until I was 14, and I don't remember you.	１４歳までここにいた。俺はあんたなんか知らない
…Nothing.	……なんでもない
It's not nice to lie!!	ウソはいけませんよ！！
Oh yeah?	ホッ……
How can you shop at a time like this?	あんたら、こんな時に買い物なんかして、どうするの？
What? Me, in business?	えっ？　商売だろうって？
Don't worry, it's all right. I get paid by the company.	いいのいいの、ウチは会社から給料出てるから
But my real job is protecting Nibelheim's secret.	ニブルヘイムの秘密を守るのがウチらの本当の仕事なんだよ
What? Secret?	えっ？　秘密？
We don't have a clue. But it's all right.	ウチらは知らないな。でも、いいのいいの
It's all over anyway!	もう全部終わりなんだからさ！
Finished, finito, over!! Even as we speak Meteor… This is the end!	終わり終わり終わり！！ああ、こうしてる間にもメテオが～！　終末が～！！
He has a tattoo of the number'12'. Mmm? He has something.	『１２』のイレズミがあるな。ん？　何か持ってるぞ
Can…you…hear? The…voice…of…Se…phi…roth?	聞こ……え……る？セフィ……ロスの……声……
Something is written on the back of the lid.	ふたのウラに文字がきざまれている
(1)Right 36	【１】　…　右　３６
Something is written on the floor.	ゆかに文字がきざまれている
(2)Left 10	【２】　…　左　１０
(3)Right 59	【３】　…　右　５９
(4)Right 97	【４】　…　右　９７
I have a bad feeling about this…	いやな予感が……
Open the safe	それでも金庫をあける
[Empty Entry]	メモリ
Success	せいこう
Fail	失敗
Received Key Item "Key to the Basement"!	キーアイテム『地下室のカギ』を手にいれた！
C project	ＣーＰＲＯＪ
specimen(B)  codeC	サンプル　ー　Ｂ（コードＣ）
A scratch left by a fingernail inside the beaker… Let's get out of here…'.	ビーカーの内がわにツメでキズつけたあとが……『ここから逃げよう……』
specimen(A)  codeZ	サンプル　ー　Ａ（コードＺ）
A scratch left by a fingernail inside the beaker… Feeding Time'…that's our chance…!	ビーカーの内がわにツメでキズつけたあとが……『エサの時間が…チャンスだ……』
Escapee Report no. 1 X Month X Day Two escapees were located near Midgar.	逃亡者に関する報告書　１ Ｘ月Ｘ日 当施設から逃亡した２名を ミッドガル近辺で発見しました]
Escapee Report no. 2 Description at the time of capture.	逃亡者に関する報告書　２ 発見時の状態
A  Former member of SOLDIER/Number(   ) No effect could be detected from either Mako Radiation Therapy or Jenova on him.	Ａ　元ソルジャー／ナンバー【無】 魔晄照射およびジェノバの影響は 見受けられませんでした。 
B  Regular/Number (   ) Reaction to Jenova detected.	Ｂ　一般／ナンバー【無】ジェノバへの反応過多が見受けられました
Escapee Report no. 3 Status.	逃亡者に関する報告書　３：処分に関して
A  Shot for resisting.	Ａ　抵抗したため、射殺。
B  Escaped during A's resistance.	Ｂ　Ａが抵抗する間に逃亡
Escapee Report no. 4 Other	逃亡者に関する報告書　４ ：その他
B's whereabouts is currently unknown. But pursuit is unnecessary due to his diminishing consciousness. Awaiting further instructions.	現在、Ｂの行方は不明です。しかし、Ｂは意識の乱れがかなり進行している様子でしたのでこのまま放置しておいても間題は無いというのが我々の見解です。今後に関する指示をおねがいします
Sephiroth!	セフィロス！
Being here brings back memories.	なつかしいな、ここは
Are you going to participate in the Reunion?	ところで、おまえはリユニオンに参加しないのか？
I don't even know what a Reunion is!	俺はリユニオンなんて知らない！
Jenova will be at the Reunion. Jenova will join the Reunion, becoming a calamity from the skies.	ジェノバはリユニオンするものだ。ジェノバはリユニオンして空から来た厄災となる
Jenova, a calamity from the skies? You mean she wasn't an Ancient!?	ジェノバが空から来た厄災？古代種じゃなかったのか！？
…I see. I don't think you have the right to participate.	……なるほど。おまえには参加資格はなさそうだ
I will go North past Mt. Nibel. If you wish to know…then follow…	わたしは【ニブル山をこえて北】へいく。もしお前が自覚するならば……わたしを追ってくるがよい
…Reunion? Calamity from the skies?	……リユニオン？空から来た厄災？
Hojo's Letter	宝条の手紙
I must get rid of all those that stand in the way of my research. Even that one from the Turks.	私の研究の邪魔をする者を全て取り除かなければならない。タークスのあの男も例外ではない
I scientifically altered him and put him to sleep in the basement. If you want to find him, search the area.	私はタークスの男に生体学的な改造をほどこし、地下に眠らせた。もし興味があるなら探してみるがよい
But…this is merely a game I thought of. It is not necessary for you to participate if you don't want to.	ただし……これはあくまで私がきまぐれでおもいついたゲームにすぎない。むりにつきあってくれる必要はない
There seems to be another letter.	手紙は２まいあるようだ
Read it	もう１まいの用紙をみる
Ignore it	無視して旅を急ごう
Move the dial on the safe carefully but quickly. You have 20 seconds. You can not go past the numbers while turning. The 4 hints for the numbers are…	金庫のダイヤルはしんちょうにかつ、すばやくまわす。２０秒以内だ。少しでも行き過ぎてはいけない。４つのダイヤルのヒントは……
dial (1)	ダイヤル　【１】　のヒント
dial (2)	ダイヤル　【２】　のヒント
dial (3)	ダイヤル　【３】　のヒント
The lid of the box with the most oxygen.	酸素が一番多いハコのふた
Behind the Ivory's short of tea and ray.	空のない黒と白のウラ
The creek in the floor near the chair on the second floor… then to the left five steps, up nine steps, left two steps, and up six steps.	２階のイスのそばのユカのきしみ……そこから左５歩、上９歩、左２歩、上６歩
The fourth row has been written in invisible ink…	４行目があぶりだされた……
Dial (4) is  (Right 97)	ダイヤル　【４】　は　【右　９７】
Look, something is written on the back…	よく見るとウラにも文字がかいてある……
Look at the back	ウラを見てみよう
Ignore	無視しよう
You still don't get it? Don't give up if you've only checked it once. You have to be persistent.	まだわからないのかね？一度調べたからって安心してはだめだよ。しつこく調べなくては
Look, this letter could be in invisible ink.	よく見るとこの手紙はあぶりだしのようだ
Read it	あぶりだしてみよう
There are four things in this mansion… Check more closely.	この屋敷の中で４つあるもの……それをもっとよく調べてみてくれ
