Who goes there!?	なんだ、おまえたちは！
What a pain…	めんどうだな…
That's as far as you go.	ここまでだな
I don't have time to mess around with you guys.	残念だが、おまえらの相手をしてるほどヒマじゃないんでな
Enough babbling… Grab him!!	たわごとを……よし捕らえろ！！
What the?	なにごとだ！
Shinra Soldiers…	神羅兵か……
Fight them!	やってやる！
Later!	めんどくさいから逃げる
Hmph!	チッ！
CLOUD never came.	CLOUDさんこなかったっすね
CLOUD… Think he was killed?	CLOUD……やられちまったのかな
No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
CLOUD…	CLOUD……
Say, do you think CLOUD's… going to stay on and fight for AVALANCHE!?	なあ、CLOUDってさ…最後まで、おれたち…アバランチのために戦ってくれんのか？
How the hell would I know!? Do I look like a mind reader?	さあな……知らねえよ
Hmph!! If y'all weren't such screw-ups…	チッ！！おまえらがもうすこしたよりになりゃよ……
[EMPTY LINE]	あんな野郎、やとわねえでもいいんだがな…
Hey, BARRET! What about our money?	あ、BARRETさん俺たちの給料……
Uh, nothin'…sorry.	や、なんでもないっす…
CLOUD!!	CLOUD！！
Looks like I'm a little late.	約束の時間に遅れたようだ
You damn right, you're late!!	おい！　遅刻野郎！！
Come waltzin' in here makin' a big scene!	ずいぶん派手なおでましじゃねぇか
It's no big scene. Just what I always do.	そうでもない。ふつうだ
(*^%!	ケッ！！
Havin' everyone worried like that. You don't give a damn 'bout no one but yourself!	心配させやがって勝手な野郎だ！
Hmm… You were worried about me?	ほう……？心配してくれたのか
Wha!?	なにっ！！
That's comin' outta your share, hot shot! 	チッ…刻のぶんは報酬からひくからな
Wake up!	おい、おめえら！
We're movin' out! Follow me!	場所変えるぞ。ついてこい！
Hey, CLOUD!! You were great back there!	あっ、CLOUDさん！！おつかれっす！
Heh heh…CLOUD! We'll do even better next time.	へへ……CLOUD！次の作戦も、がんばろうな
Careful, I'll shut this.	あぶないから閉めとくね
Oh, CLOUD!! Your face is pitch-black…	やだ！　CLOUD！！顔、まっくろ……
There you go!	はい、できあがり！
Say, thanks for helping me back there at the reactor!	ね、魔晄炉で助けてくれてありがとう！
Yeah…	ああ……
That's OK	気にするな
Quit thanking me	礼なんかやめてくれ
Don't mention it.	気にするな。当然のことをしたまでさ
It bugs me when you thank me. It's just a part of my job.	感謝などされても困る。これも仕事のうちだからな
But, I… I was just glad…	でも、私……ほんとにうれしかったから…
You're right. We're just partners.	そうだね、私たちただの仕事仲間ね…
It's not ready yet… Whoa!!	まだできてないんだ…ウオオ…！！
Shut-off the switch in this position.	このまま、スイッチをお切りください
We can escape from the train event…	列車イベントをぬけるのだが……
Did it!!	大成功！！
4th failure	失敗４回目
3rd failure	失敗３回目
2nd failure	失敗２回目
1st failure	失敗１回目
Escaped	ぬけちゃう！
Last Train from Midgar	ミッドガル発最終列車
Inside Train	客車内
Look…you can see the surface now. This city don't have no day or night.	見ろよ…地上が見えてきたぜ。ひるも夜もねえ、オレたちの街がよ
If that plate weren't there… we could see the sky.	ミッドガルのプレートさえなけりゃなぁ…。でっけえ空がおがめんのになあ
A floating city… Pretty unsettling scenery.	空中に浮かぶ都市か……。おちつかない風景だな
Huh? Never expect ta hear that outta someone like you.	はあ？あんたがそんなふうに感じるとはな
…You jus' full of surprises.	……意外だぜ
The upper world…a city on a plate…	上の世界……プレート都市……
It's 'cuz of that &^#$# 'pizza' that people underneath are sufferin'!	あのくさったピザのせいで下の人間がどんなに苦しんでることか……
All the pollution from Mako energy above falls down on the world below.	上の世界で汚された魔晄エネルギーが下の世界に降りてくる
And the city below is full of polluted air.	下の世界は今じゃあ汚された空気のたまり場だ
On top'a that, the Reactor keeps drainin' up all the energy.	おまけに魔晄炉はどんどんエネルギーをくみ上げちまう
Thanks to that, the land is dying.	おかげで土地は枯れる一方だ。空気をきれいにする力もなくしちまった
Then why doesn't everyone move onto the Plate?	どうしてみんな上へ移らないんだろう……
Dunno. Probably 'cuz they ain't got no money. Or, maybe…	さあな。金がないからだろ。いや、それとも……
'Cuz they love their land, no matter how polluted it gets.	どんなに汚れていても地ベタが好きなのかもな
I know… no one lives in the slums because they want to.	わかってるさ…。好きでスラムに住んでるやつなどいない
It's like this train. It can't run anywhere except where its rails take it.	みんな、この列車とおなじ。敷かれたレールには逆らえないんだ
Stop actin' like a damn kid. Siddown an' shu'up!	子供じゃねえんだ。じっとしてろよ
Hey, CLOUD. You want to look at this with me?	ね、CLOUD。いっしょに見ない？
It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
To the Route Map Screen	『ルートマップ画面へ』
I like this kinda stuff. Bombs and monitors…you know, flashy stuff.	私、こういうの好きなのよ。爆弾とかモニタ画面とかハイテク関係
I know!	そうだ、CLOUD
Next time, I'll make one just for you.	今度、私の手作り作品をプレゼントしちゃおうかな
Thanks anyway	えんりょしとくよ
Looking forward to it	楽しみにしてるよ
Oh yeah, you might regret it. I'm the type who takes things personal.	そう、きっと後悔するかもよ。私、ズガッ～ンと根にもつタイプなの
Okay, then I'll put a little extra effort in and make it with a BANG.	うん、じゃ、腕によりをかけてドッカ～ンと制作するわ
We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
Speak of the devil…	噂をすれば、ね
That light means that we're in the ID Security Check area.	この光がＩＤ検知エリア通過のサインなの
…whisper…whisper… (When the lights go off, you never know what kind of creeps'll come out.)	ひそひそ……（暗くなるからチカンが多いのよ。ＩＤ検知エリアは……）
…We're almost back now. What a relief.	ま、それはさておき。もうすぐ地上に帰れるってわけ。なんだか、ホッとするね
This train hasn't switched to security mode yet.	まだ列車の非常警備体制には移行してないみたいだな
I'm sure that will change by tomorrow.	明日はそうはいかないだろうけどな
…YAWN…that sure took its toll on me. I'm gonna sleep till we get to the station.	さすがにつかれたよ。駅に着くまで、眠らせてくれ
…snore…heebeebeeheebee…snore… (Don't act so damn big, BARRET…snooze…)	スースー……ムニャムニャ…。（BARRET、いばってんじゃねえぞ…）
Someday AVALANCHE's gonna be famous …and me, too!	アバランチで名をあげていつか俺だって……っす！
CLOUD!!	CLOUDさんっ！！
Don't ya think I got a bright future ahead of me?	俺にも明るい未来がまってるっすよね？
What do you have in mind?	なにを期待してる？
Don't hold your breath	無理だな
All my life, I felt like nothin' but a sidekick.	俺、いままでずっと人生ワキ役って感じで生きてきたっすよ
But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.	でも、アバランチにはいって、星の生命を救えばこんな俺でも……いろいろとね
Oh man, that's pretty harsh. CLOUD. You really think I won't?	ああ、ひどいなあ、CLOUDさん。やっぱダメっすかね、そうすかね
I'm seein' stars. This sucks. I hate the dark.	目がチカチカしたっす。俺、暗いのだめっす。苦手っす
Last Train from Midgar	路線図
CLOUD! Look over here.	さ、CLOUD！こっちむいて
Okay, it's about to start.	さ、はじめるわよ
This is a complete model of the city of Midgar.	これが魔晄都市ミッドガルの全景フレームモデルね
It's about a 1/10000 scale.	スケールはだいたい１／１００００ってとこかな
The top plate is about 50 meters above ground.	上のプレートは、地上から約５０Ｍ離れているの
A main pillar supports the plate in the center, and there are other support pillars built in each section…	プレートを支えてるのは中心の大きな支柱と各区画に建てられた柱……。柱は、機械塔とも呼ばれてるわ
Psst…whisper…whisper… (The No. 1 Reactor we blew up was in the northern section.)	ヒソヒソ……（爆破した壱番魔晄炉が北のはずれにあるの）
Then there's No. 2, No. 3 all the way up to the No. 8 Reactor.	そこから順番に２、３……８番魔晄炉まで
The 8 Reactors provide Midgar with electricity.	８つの魔晄炉がミッドガルの電力供給を支えているのよ
Each town used to have a name, but no one in Midgar remembers them.	それぞれの街には、名前もあったんだけどミッドガルに住む人は誰も覚えちゃいないわ
Instead of names, we refer to them by numbered sectors. That's how things turned out.	名前なんかより、番号で呼ぶの。そういうところなのよ、ここは
Phew, look what's next! Look!	ふぅ…、次はこれ！ほら、見て
This is the route this train is on.	私たちがいま乗ってる列車のルートがこれよ
The route spirals around the main pillar.	プレートを支えている大きな柱に螺旋状にレールが通っているの。
We should be coming around the center, right now.	いまは柱のちょうど真ん中あたりね
Each checkpoint has an ID sensor device.	各通過ポイントにはＩＤ検知エリアが設置されてるの
It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
Whisper…whisper… (We definitely look suspicious, so we're using fake IDs.)	ひそひそ……（私たちはどう見たって不審人物だからニセのＩＤで通過してるの）
Sector 7 Station	７番街スラム駅
Yo!! Get over here, all'ya!!	おう！！みんな、集まれ！！
This mission was a success. But don't get lazy now.	今回の作戦は成功だ。だがな、気を抜くなよ
The hard part's still to come! Don't y'all be scared of that explosion!	本番はこれからだ！あんな爆発でびびるな！
Cause the next one's gonna be bigger than that!	次はもっと派手にかますぞ！
Meet back at the hideout!! Move out!	アジトに集合だ！！いくぞ！
Yo, CLOUD! You lissen up!	よう！CLOUDさんよ！あんたも聞いとけ！
Yo! What're ya doin' now?	おう！！なにしてやがる！
uh, BARRET… We, uh…	あ、BARRET…おれたち……
We can't do it. We just can't do it.	ダメだったっす。俺たちには、できないっす
Don't worry! Don't get all worried!	気にしない！気にしない！
CLOUD! Let's make the mission work!	CLOUD！作戦がんばろうね！
CLOUD? When this mission's over…	ね、CLOUD？作戦終わったらさぁ
Why don't all of us take a long vacation. Maybe we could go to a hot springs somewhere?	みんなでお休みとって温泉でもいかない？
I don't know…	わからないな
Yeah… If I feel like it.	ああ……。気がむいたらな
Alrighty then! It's a date!	うん！CLOUD、約束ね
You never know what lies ahead.	先のことなんか、わからないな
…how lovely.	……いいわ
I might just have to tempt you, then.	またそのときになったら誘惑する
Yo, you all done flappin' your gums!?	よし、気がすんだか！！
Go! Get on that train!	いけ！列車にのりこめ！
CLOUD… Don't be so distant.	ね、CLOUD。あんまり冷たくしないで
Everyone wants to be your friend. I'm sure…	みんな、CLOUDと仲良くなりたいんだよ。きっと…
Damn, man!! I'm here to fight!	ケッ！！オレたちは戦ってんだぞ！
Don't care 'bout bein' nobody's friend.	ともだちになることなんかねえんだ
Let's go! Don't be late!	オレたちもいくぞ！遅れんな
My husband never came back.	夫は帰ってこなかった。
I wonder if something happened to him?	夫の身になにかあったんだろうか？
No, I'm sure his leave was just canceled.	いや、休暇が取り消しになっただけかもしれない。
I went to the station everyday.	それからわたしは毎日駅へ行ったんだ。
Then, one day…	ある日……
You used to see that kind of thing a lot during the war.	戦争中はよくある風景だったね。
Please take AERIS somewhere safe.	AERISを安全なところへ。
That's the last thing she said before she died.	そう言い残して彼女は死んだ。
My husband never came back, and I had no child.	わたしの夫は帰らず、子供もいない。
I think I must have been very lonesome.	わたしもさびしかったんだろうね。
So I took AERIS home with me.	AERISを家に連れて帰ることにしたんだ。
I'm not letting you go tonight.	今夜は帰さないよ
Wow!	エェ！
Isn't there somewhere we could go to be alone?	ね、どっかで休んでいこう
There's only the train graveyard around here. And they say there's ghosts around too!	でも、このあたり列車基場しかないし。オバケでるっていうし
…damn.	……しまった
Hey, come over here.	ね、もっとそばにおいでよ
But people will…	だって…
Who cares?	いいだろ？
But… There's a weirdo over there.	でも…そこの変な人
Say, you're pretty gutsy.	きみ、ずいぶんどうどうとしてるね
Why don't you go snoop somewhere else, Romeo?	のぞきはえんりょしてくれないかな？
I've had it!	僕、もうたえられない
Me too.	いいわ…わたしもよ
You know this is the first time we've ever agreed on something.	はじめてだね。意見があったの…
Yes…	ええ…
Well then, shall we?	それじゃ…
urggh…	グゥグゥ……
…huff…wheez	スゥスゥ……
When you've been a train man as long as I have, you see a lot of people and a lot of lives.	長い間、駅員をしてますとね。いろんな人生の場面を目撃することになります
People meeting, parting, joy, sadness… After a while, it doesn't even get to you anymore.	出会い、別れ、よろこび、悲しみ……少々のことじゃおどろきません
I wonder how long it's been… There's an invisible rail between me and the passengers.	いつごろからですかね…。お客さんと私の間にね見えないレールを敷いてしまうんですよ
I could never live their lives. I'm just a train man plain and simple. It's easier that way.	お客さんの人生には立ち入らないようにね。私なんぞは、ただの駅員。そういう生き方が楽なんですかね
That's not to say that the crossing gate of my heart doesn't hurt now and again.	それでもね、心のふみきりが痛むときはありましたよ
Back during the war, I remember there was a lot of painful scenes then.	戦争中のことでしたね。あのころは、つらい場面が多かったです…
But, that's a story for another day…	いや、その話はまたの機会に……
First train leaves Midgar at 05:04am.	始発の出発時刻はミッドガル時０５時０４分になります
Morning. Dawn comes and things never change.	おはようございます。一夜明けても、あいかわらずですね
You be careful not to get hurt. Come on back again, hear?	けがしないよう、お気をつけて。いってらっしゃい
ALL ABOARD! The train is about to depart.	さあ、おはやく御乗車ねがいます。もうすぐ出発しますよ
I heard a rumor that the plate was going to fall, crushing this station, I've worked at so many years.	プレートが落ちるって噂を聞きましたです。長年親しんだこの駅ですからどうしてもはなれられません……
But I just can't bear to leave here.	いったい、どうして……？うそであってほしいです
Sector 7 Slums	７番街スラム
Don't get all slaphappy just 'cause today's mission went well!!	作戦ひとつうまくいったぐらいでうかれてんじゃねえぞ！！
Yo, CLOUD! Over here, now!	おい、CLOUDこっちだ！
Sector 7 Mechanized Tower	７番街機械塔
All right!! You losers go on ahead!!	よし！！おめえら、先入ってろ！！
OK! Go on ahead.	よし！先に入ってろ
Heh heh…	へへ……
You wanna meet your little baby?	幼なじみにはやく会いてえか？
Little baby?	幼なじみ？
Out of my way!	そこ、どいてくれ
Heh! Jus' calm down.	ヘッ！まあ、落ちつけよ
Can't have people suspectin' us.	街のやつらにあやしまれるとまずいからな…
Hey! Don't act like you don't know what I mean!	ヘッ！！とぼけちゃってよ
I'm tellin' you…	いいのかねえ…
You! CLOUD!! Get off your slow-movin' ass!!	よう！！　CLOUD！！チョロチョロすんじゃねぇ！！
The hell're you doin', boy? The operation's already started!!	なにやってんだ！！作戦は始まってんだぞ！！
I'm not opening up. Go away!!	開けないよ！！帰ってちょうだい
Oh &$#&@!! What the hell's wrong tonight!!	まったくよぉ！！今夜はどうなってんだかよ！！
I thought that long blackout was strange.	さっきまでずいぶん長く停電してたからみょうだと思ってたらよ
They say a Mako Reactor was destroyed above.	上で、魔晄炉爆破テロがおきたっていうじゃねぇか
I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
Woo…ah geez, I'm blitzed. I jes love them homemade cocktails. But they sure do creep up on ya.	ウウ……よっぱらっちゃった。手作りカクテル、おいしいんだもんなあ。きついんだもんなあ
Did you hear?	ねぇ、ねぇ、知ってる？
Don't care	興味ないね
No, what?	知らないよ
There's a news update. They say that there was a terrorist explosion up above, and that this time it was a Mako Reactor!!	ニュースの速報が入ったのよ。上で爆弾テロがあったっていうじゃない。それも、魔晄炉の爆発！！
You know what this means?	これがどんなに大変なことかわかる？
No, what?	わからないよ
Ya see, I keep on top of these things, an' if ya ask me…	事情通の私にいわせればね
if you knock out Midgar's power, then all of its computers and signals are going to be knocked out, too.	ミッドガルの電力がマヒしちゃったらコンピューターとか信号とかいろいろ止まっちゃうじゃない
Financially there must've been about a billion gil worth of damage.	経ざい的損失は、ん～～１０億ギルはくだらないし
An' that ain't all!! A lotta innocent people got killed, too!	それに！！たくさんの罪なき人々が死んだと思うのよ
If the explosion had been in the middle of the night, that woulda been one thing. At least the people coulda gone in their sleep.	爆破が真夜中だったから、まだいいわ。眠ってた人はそのまま目が覚めないだけね
This Mako explosion has really sent Midgar into a fit.	とにかく、魔晄炉の爆発でミッドガルは大混乱らしいの
Oh, well excuse ME!	あ、そ！
Explosions! Explosions! Oh Man! AVALANCHE is so cool!	爆発！！　爆発！！スゲッー！アバランチ、かっくいー！
Hey!! Heh heh heh… Say, you're kinda cute. Cutie pie…	あっ！！ウヘヘヘヘ……やっぱ、かわいいなぁ。マイラブリーエンジェルちゃん…
I wasn't even done with my drink. I didn't even pay my bill…	酒、飲みかけだったのによ。あっ、かんじょうもまだだ…
All's quiet!! Shh, I'm spying now!	異常なし！！ただいま、スパイ中！
OH!! There's something!! DANGER!!  ALERT!!	ああ！！なんか、でてきました！！報告～！！　報告～！！
Did you hear?	あなた、知ってる？
Bout what?	なにを……
Don't care	興味ない
About that little girl named TIFA and that bar called '7th Heaven'.	あのTIFAちゃんのお店のことよ。『セブンスヘブン』って酒場
I'm not only informed, I'm kinda nosey too. Anyhow, I got the scoop.	私は事情通のうえに、おせっかいだからいろいろ知ってるのよね
You wanna hear?	聞きたいでしょう？
You bet!	すごく聞きたい
That BARRET and three of his henchmen are like this sometimes.	あの酒場の名物BARRETと手下の３人。ときどき、こうなのよ
Suddenly, they throw out a customer and start talking trash to him. It's strange, if you ask me. And that place always smells like gun powder.	突然、お客を追い出してゴチャゴチャやってるの。なんか、あやしいのよ。火薬のにおいとかするのよね
It's dangerous, I tell you. They must be doing terrible things in there.	危ないわ。きっと、いけないことをしてるにちがいないわ
Oh really? Well, aren't you a cool one!	あ、そ！あなたってクールなのね
There's a TV in there, but my cheap aunt won't let me in the house. Look for yourself.	この家にはテレビがあんだけどよ。ケチなおばさんがいれてくんねぇのさ。まあ、見てろって
Now that you mention it, there used to be an outside TV monitor here in the slums.	そういえばよ。この７番街スラムにも街頭テレビがあったんだけどよ
But that BARRET, busted it up.	そいつをぶっこわしたのがあのBARRETさ
Shot it up with that weird machine gun hand of his. Blam, blam, blam.	ガンガンガンガンガンガン！！って、例の腕ガンでいきなりだぜ！
I think it was when President Shinra was on.	あんときは、たしかプレジデント神羅が出演してたな
He was on again this morning, too, you know.	今日のニュースでもプレジデント神羅が出るだろうからよ
TIFA better watch out for her TV. 	こりゃ、TIFAちゃんのお店のテレビもやばいかもな
Hey!! Open up! C'mon baby!!	ヘイ！！　あけてくれってんだよ！ベイビー！！
It's me! Johnny! Mom!!	俺だよ！　ジョニーだよ！かあちゃ～ん！！
SHHH!! Wait a minute!!	おい！！ちょっとまてよ！！-
Johnny	ジョニー
I thought you were something a little better than this, but you're just a punk kid after all.	おまえ、ただもんじゃねぇと思ったが幼なじみだったのかよ…
Just what the hell do you think you're doing with my little TIFA?	俺のTIFAちゃんと……そんで、お前は俺のTIFAちゃんのいったいなんなんだよ
And now?	いまはさ？
We're just friends.	ただの幼なじみだ
What's it to you?	おまえたちには関係ないだろ
But TIFA doesn't think so.	でもよ、TIFAちゃんはそう思ってねぇぜ
Why does she ask you n' not me?	なんで、俺じゃなくてお前にたのむんだよ
If TIFA's in trouble then I'LL help her.	TIFAちゃんが困ってんなら俺が助けんだ！
But then I guess not. She's nothing to me.	だけど、そうはいかねぇよな。俺にはなんもねぇ
Not those memories beneath the stars when we were kids or all the stuff we talked about.	星空の下の思い出も子供のころの夢の話もな
About all I got is the sake that she poured me everyday I went to the bar.	せいぜいあるのは、毎日お店に通ってお酒ついでもらったことぐらいさ
Crap!	くやしい！
Hey! You! Don't think you can just walk outta here like that!	おい！　幼なじみ！このまま立ちさるなんてゆるさねえ！
Shhi-! You busted a promise!! n' you made TIFA cry!!	クッ～！！　約束かわしたんだろ！！TIFAちゃんを泣かせんなよ！
Oh yeah!?	そうかよ！！
That may be but you ain't walkin' away from here!	でもよこのまま立ちさるなんてゆるさねえ！
Urgh! You made a promise, didn't ya!? n' don' you fergit that TIFA like an angel. An angel of this slum!	んがっ～！　約束したんだろ！！TIFAちゃんはスラムの街の天使だってこと忘れんなよ！-
I'm leaving. Goin' faraway. But when I come back I'll be a better man! This is goodbye!	俺、男をみがく旅に出っからよ！これで、さよならだぜ！
Hey! Childhood friend! You better take good care of TIFA!	やい！　幼なじみ！！TIFAちゃんを大切にな！
Cause, I'll be back!! Don't make her cry, dammit!!	ぜ～ったい、もどってやれよ！！いいな、泣かせんなよ！！
I'll be back, I say!! n' don' fergit it!	ぜ～ったい、もどってやれよ！！いいな、忘れんなよ！！
I hope he doesn't get hurt.	ジョニー、悪い女にだまされたりしなけりゃいいけど
That worries me the most.	それだけが、気がかりだなあ
