Ropeway Station	ロープウェイ乗り場
…whisper…whisper… (Wasn't that a little harsh, AERIS!?)	ヒソヒソ……。（AERIS！ちょっとひどいんじゃない？）
…whisper…whisper… (Just act normal when this happens)	ヒソヒソ……。（こういうとき、ヘンに気をつかわないほうがいいよ）
…whisper… (You think so…?)	ヒソヒソ……。（そうかな……）
Of course!	だいじょぶよ！
We're gonna go play…	わたしたち、遊んでくるね
So PLAY! …mess around all you want!	勝手にしろ！チャラチャラしやがってよ！
Don't forget we're after Sephiroth!	オレたちはセフィロスを追ってるんだぞ！それを忘れるんじゃねえ！
…I think he's mad.	……怒っちゃった
He'll be fine. He seems to be doing a little better now.	あ、でも、だいじょうぶみたい。なんだかいつものBARRET。少し元気でたみたい
Then, shall we!?	それじゃ、わたしたちも！
We'd better be careful, Sephiroth might be around.	セフィロスが来てるかもしれないから気をつけなくちゃね
Go together	いっしょに行く
Don't go together	いっしょに行かない
I wish we could just forget everything and have fun!	いろ～んなこと忘れて楽しめると、いいね
Go together	いっしょに行く
Don't go together	いっしょに行かない
…You want to go with me?	……私と行くのか？
Go together	いっしょに行く
Don't go together	いっしょに行かない
With me!?	アタシと！？
Go together	いっしょに行く
Don't go together	いっしょに行かない
CLOUD!	CLOUD！
CLOUD!	CLOUD！
CLOUD!	CLOUD！
CLOUD!	CLOUD！
I'll go with you.	いっしょに行くわ
Don't go alone, go with me!	１人で行かないで私と行きましょ！
Let's go together, CLOUD!	アタシといっしょに行こうよ！
Don't go by yourself…	１人ではなんだろう……
Speed Square	スピードスクェア
Chocobo Square	チョコボスクェア
Event Square	イベントスクェア
Speed Square	スピードスクェア
Event Square	イベントスクェア
Chocobo Square	チョコボスクェア
Event Square	イベントスクェア
Event Square	イベントスクェア
Speed Square	スピードスクェア
Chocobo Square	チョコボスクェア
Round Square	ラウンドスクェア
Speed Square	スピードスクェア
Round Square	ラウンドスクェア
Chocobo Square	チョコボスクェア
Round Square	ラウンドスクェア
Round Square	ラウンドスクェア
Uh… It's not time for the Event yet…	はイベントがまだでーーーーす。
Chocobo Square	チョコボスクェア
Speed Square	スピードスクェア
Battle Square	バトルスクェア
Wonder Square	ワンダースクェア
Round Square	ラウンドスクェア
Sorry it's out of order.	もうしわけございませんがこちらはただいま故障中です
Who should I ride with?	どっちと乗るか…
Welcome. This attraction is 3 GP.  	いらっしゃいませ こちらのアトラクションの お値段は３ＧＰに なっておりますが
Shall you be riding this evening?	お乗りになられますか？
Yes, I shall	お乗りになる
No, I shan't	お乗りにならない
Um, I'm very sorry, but you do not have enough GP.	あの、まことにもうしわけございませんがＧＰがたりませんようです
Would this be your first time riding with us?	こちらの乗り物は初めてでございますか？
Yes, it would	初めてでございます
No, it would not	初めてでは無いでございます
You will be able to see all of Gold Saucer park on this ride. So please just sit back and enjoy a lovely view you won't see anywhere else.	こちらの乗り物は中からゴールドソーサーの色々な景色がお楽しみいただけます。ただ、すわっているだけでは見ることの出来ない景色も多くございますのでマドからのぞいてみるとよろしいですよ
Is that right?	さようでございますか
This attraction can only accommodate 2 passengers, so one of you please wait over there.	それとこちら、お２人様専用のアトラクションになってございますのでお１人様はこちらでおまちください
Enjoy the sights of Gold Saucer.	では、ゴールドソーサーの景色をごゆるりとお楽しみ下さい
Sorry but there's no show now.	わるいね、今の時間は何もやってないよ
We put on a really unusual show here. But not today, so come back again sometime and see it.	ここは、一風変わったショーをするんだ今日はやってないみたいだけどまた、きてみるといいよ
What's your problem? Can't you see we wanna be alone?	な、なんだよ２人のじゃまをしないでくれ
Geez, what a jerk. Why don't you just leave us alone?	ふっ、君もブスイな人だ２人だけにしておいてもらえないか
Hey, I finally got 5000 points.	へへへ、ついに５０００点をとったぜ
Hey, I got 5000 points again.	へへへ、また５０００点をとったぜ
Hey, since the prizes changed, I got 5000 points again.	へへへ、景品が変わったんでまた５０００点を取ったぜ
Hey, I finally got 'Undecided 4'.	へへへ、ついに【未定４】を手に入れたぜ
Hey, I finally got 'Undecided 5'.	へへへ、ついに【未定５】を手に入れたぜ
Wow!! You're so wonderful!!	キャー！！　ステキー！！
Man, I finally got a prize…	ああ、やっと景品をもらうことが出来た…
Well, I guess I'll go and get some more GP.	また、ＧＰをかせぎに行くか
First, I gotta memorize the order it comes out, and then guess on the attacks… …mumble, mumble…	やっぱり、出てくる順番を覚えて、先よみして攻撃すれば……ブツブツ……
We have to be careful of these steps.	こういう階段って気を付けないとね
What? A lot of things…	なにをって…色々だよいろいろ
Yaaay!!	わ～い！！
Eyyaaaaaa!	キャッキャ！
Come on now, no running.	これこれ、走るんじゃないよ
Now, now, be careful of Meteor.	これこれ、メテオには気をつけるんだよ
I'm dizzy!!	クラクラ～！！
Welcome to the Gold Saucer.	ゴールドソーサーにようこそ
Phew…	ふう……
Man	男
Hey boy.	そこの少年
Boy…	少年……
Man	男
How is it? You having fun?	どうだね？　楽しんでいるかね？
Mmm, so, you ARE having fun. Well, good, good for you boy.	ん、そうか、楽しんでいるかよかった、よかった、な少年よ
My name's CLOUD. And stop calling me boy.	俺は、CLOUDだ。少年というのはやめてくれ
Dio	ディオ
Mmm? Me? I'm the owner of the Gold Saucer. The name's Dio.	ん？　私か？私は、ここゴールドソーサーの園長ディオという
Just call me 'Dio'.	気軽に『ディオちゃん』と呼んでくれ
(He's not even listening)	………（聞いちゃいないな）
Dio	ディオ
By the way, boy, do you know what a 'Black Materia' is?	そうだ、少年。『黒マテリア』を知っているか？
Yeah, I know	知っている
What is it?	知らない
Dio	ディオ
Ha ha ha…that, I say, that's a good one, boy! But it's not good to lie. You can't fool me.	ははははははは、少年！ウソはいけない。　この私の目はごまかせないぞ
Dio	ディオ
Oh, so you do know?	おお、やはり知っているか
Why d'you ask me?	なぜ俺に聞いた？
Dio	ディオ
Well, a while back, a boy your age came in and asked me if I had Black Materia.'	少し前に、少年くらいの少年が来て『黒マテリア』はないかと聞いていったのでな
Dio	ディオ
I thought you might know who he was, seein' as how you're both about the same age.	同じくらいの少年なら知っているのかと思ってな
Did he happen to have…a black cape?	その男は黒いマントの……
Dio	ディオ
Why yes, yes indeed. And a tattoo on his hand that said '1'.	その通りだ。それに手の甲に『１』のタトゥーをしていたぞ
Where did he go!?	その男、どこへ行った！？
Dio	ディオ
Ha ha ha, I have no idea.	はははははは、そんなことはさすがの私も知らんよ
Dio	ディオ
Well then.	では
Dio	ディオ
I say, stop by the Battle Arena if you like, boy.	おお、そうだ少年よ。よかったら、闘技場によってみてくれ
You'll probably like it. Many of my collections are on display there.	君なら気に入ってくれると思うよ。私のコレクションの数々もかざってあることだし
Dio	ディオ
Ha, ha ha.	はははははは
Speed square	スピードスクェア
This way, Sir, to register.	お客さまお申しこみはこちらでおねがいします
This attraction costs 10 GP.	こちらのアトラクションは１０ＧＰになります
Pay	はらう
Changed my mind	やっぱりやめた
Is this your first time? First, listen to the explanation of the game over there.	お客様は、こちら初めてでございますね？まずは、ゲームの内容をそちらでお聞きになるのがよいかと思います
Thank you.	はい、ごあんな～い
Later, just a second.	後、ほんの少～し、まって
… You don't have enough GP	…………お客さん、ＧＰがたりません
Hear the rules for this attraction?	は～い、このアトラクションのルールを知りたい？
Yes	ああ
Not interested	興味ない
This attraction is the Shooting Coaster.	このアトラクション『シューティングコースター』はね
While your ride's going ZOOM, you're going BANG BANG, and things are going PHEW PHEW and you destroy them with a big BOOM. Pretty simple, isn't it?	ゴーッと走る中にピュンピュンと出てくる物をバンバンと撃ってドッカーンとやっつけるの。どう、簡単でしょ？
Oh, to shoot, hit [OK]. The bar on the left side of the screen is your Power Meter.	あっ撃つのは○ボタンよ。それから～、画面左についてるバーはパワーメーターなの
When it's full, it'll go BROOOOOM and when it's empty, it'll only go …brm…and putter out. So be careful.	いっぱいの時うつと、ガーンていって少ないときはチョビチョビって弱くなっちゃうの、気をつけてね
If you make it to the Top 3, you'll get on the Wall of Fame.	あとね、お客さんの点数は上位３つまで出口の人が記録しておいてくれるのがんばってね♥
It's currently under repair…	ただいま、故障中でして…
I'm sorry, please come again.	ごめんなさい、また来てね
Platform	プラットホーム
Current GP	現在の持ちＧＰ
GP	ＧＰ
Wait just a little longer please.	もうチョットまって
You had points.	あなたの得点は点でした
Your score is points.	あなたの得点は点です
Would you like to see the Wall of Fame?	あなたのスコア記録を見ますか？
Yes	ああ
Not interested	興味ない
You'll receive a prize if you get more than 3000 Points. So good luck.	３０００点以上取ったら景品があります、ガンバッテください
HighScore CLOUD	ハイスコア　CLOUD
Ugh…	うっ…
Welcome. Thank you for coming to the Ghost Hotel.	いらっしゃいませ当ゴーストホテルへおいでいただきまことに、ありがとうございます
Welcome. No matter what happens in this world, The Ghost Hotel will always be in business.	いらっしゃいませ世界がどうなろうとも当ゴーストホテルは元気いっぱい営業させていただきます
Uuuuuuuuuugh……	ひっひっひっひっ
For reservations, please step up to the counter.	お部屋のご予約は奥のカウンターでどうぞ
Welcome!	いらっしゃいませ
It's our most popular employee, Mr. Hangman.	当ホテルの人気者首つり君でございます
Mr. Hangman	首つり君
Welcome!	ようこそ！
It's 5 GP a night. Would you like to stay?	１夜　５ＧＰですがおやすみになられますか？
Yeah, all right	ああ
No thanks	えんりょしておく
Ugh, ugh, ugh, ugh! Enjoy, ugh, your stay.	ひょっひょひょよい、夜を　ひょっひょひょ
Ugh, ugh, ugh You don't have enough GP.	ひょひょひょＧＰがありませんな
Hotel Lobby	ホテルロビー
Current GP	現在の持ちＧＰ
GP	ＧＰ
Mr. Hangman	首つり君
Sir…Please register at the counter!!	お客さんお部屋のご予約はカウンターでどうぞ！！
[Turtle's Paradise]	【かめ道楽　通信】
No. 3	ナンバー３
Forget the bad times with a nice drink… Only thing missing in the Gold Saucer is… A pub with good drinks and a great atmosphere! Stop in the Turtle's Paradise!	ゴールドソーサーにただひとつ、たりないもの……それはおいしいお酒とムードのある居酒屋！ぜひいちど居酒屋『かめ道楽』へ！！
Hotel Shop	ホテルショップ
Mr. Hangman	首つり君
Welcome.	いらっしゃい
Arena Lobby	闘技場ロビー
Whenever you come to the Gold Saucer, I recommend you visit the owner's museum at least once.	ゴールドソーサーに来たらここの園長ディオ様の数々のコレクションを１度はのぞいていくことをおすすめしますよ
Crap! I still don't have enough points.	ちっ！まだ、ポイントが足りねぇか
Hmm…	ふむ…
So, uh, how've things been since then?	おう、その後の調子はどうだい？
No sweat	まかせろ
They're going	ボチボチだな
Hmm, pretty good.	ほう、たいしたもんだ
Ha ha ha! Well, good luck.	ハハハッ！まぁ、がんばんな
Mmm? You're new here, aren't you? Then, you want an explanation of the Battle Arena?	ん？　あんた新顔だな？なら、おれ様がこの闘技場のことを教えてやろうか？
Yeah	たのむ
Not interested	興味ないね
What, you too? With the way things are in the world, It makes you wonder what we're doin' here?	なんだ、あんたもかい？まったく、こんな世の中だってのになにやってんかね、オレらは
Well, it's a little late for me to run around now, so I do what I love, it works best for me.	ま、いまさらジタバタしてもしゃ～ないしこうして、スキなことをやってるのが１番だねオレは
Oh, by the way, did you know? I heard that there's going to be a battle and only the strongest will be allowed to participate.	そうそう、あんた知ってるかい？ここにはよ、最強と認められたもののみが参加をゆるされるバトルがあるって話だぜ
But what do they mean by 'strongest'? If ya ask me I'll say it's 'weapons.'	しかし、最強ってのもあいまいだよなとりあえず、武器かな。
But, there's gotta be a way to measure this, too. Mmm, we need another way to measure strength.	それと、ここでの強さもコジしねぇとな。う～ん、もう１つぐらい決め手がほしいか
You fight here and collect battle points. You can then exchange those points for prizes.	ここは、戦って戦って戦い抜いてバトルポイントをもらいそいつで商品をもらう所さ
The Battle Game…even though it's a game you still use all your physical abilities. To participate, go to the front and pay yer GP's.	バトルゲーム…、ゲームといっても体を張ったゲームだがなこれには奥のフロントでＧＰを払って、ゲームに登録すればいい
You can fight in up to eight battles. The more you win, the more battle points you get.	バトルは８戦まで連続で行うことができる。もちろん勝ち抜けば勝ち抜くほどもらえるバトルポイントは増えていく
But, if you lose, you lose all your points So it's up to you whether or not to fight after each win.	ただし、途中で敗けた場合そのバトルでかせいだポイントは０になる勝った時点で、次のバトルに進むかどうかは、あんたの自由ってわけさ
They also make it harder by givin' out handicaps.	それと、バトルにはハンデがつくこちらの不利な条件だらけだ
They decide what handicaps there'll be, and you won't know what you're up against until the battle.	ハンデの内容は向こうがきめるこっちは、何のハンデを背負うかはバトル直前までわからん
Oh yeah, once you leave the Battle area, all your battle points will become useless. So watch it.	最後に、バトルポイントは『闘技場』をでると無効になっちまう、気をつけな
Oh, and one more thing. The maximum points you could get is 65000, no more. So if you get that many you should exchange them for something.	おっと、それと個人のバトルポイントの所有は６５０００までだ。それ以上は入手できない１回商品に換えることだな
Sir, that entrance is for the challengers who have already registered. Please register here.	お客様、そちらはバトルゲームへ登録をすませた、チャレンジャーが入るところです。登録をこちらですませてください
Um, I'm sorry, that's only for registered participants. You can't enter there until you register.	あっ、そっちはゲームに登録した人が入るところだから、まだしてないあなたは、入れないわけ。こっちで登録してからにして
I'm sorry to announce that our prizes have changed. Your previous battle points are no longer valid.	もうしわけございませんが商品が変わりましたので前回までのバトルポイントは無効になりました
Welcome. You currently have battle points.	ようこそ、あなたのバトルポイントはポイントです
Would you like to exchange them?	商品と交換いたしますか？
Yeah	ああ
No, thanks	やめておく
Thank you very much. Please remember, your battle points become invalid once you leave the Battle Arena.	ありがとうございましたバトルポイントは闘技場内より外に出ますと無効となりますのでご注意ください
Man, I knew I should've stopped. But it's so hard to stop…	やっぱり、あそこでやめておけばなぁヤメ時がむずかしいんだ…
Maybe I could've made it a little further. It's so hard to know when to stop…	もうチョットいけたかなぁヤメ時がむずかしいんだ…
All right, it should be my turn comin' up here soon.	さ～て、アタシもそろそろまた戦うかな
I'm not going to lose this time!	今度は、負けないわ
I'll give that Meteor my ultra kick… …or…maybe not.	メテオなんて、アタシのこのケリでガツーン……、というわけにはいかないか？
Hey, have you heard? Something awful happened!	ねぇ、知ってる？なんかスゴイ事があったらしいわね
Two staff members and some Shinra soldiers were shot.	神羅兵と一練にここのスタッフまで撃たれたって聞いたわ
The soldiers died instantly, but the staff survived.	けど、撃たれた神羅兵は即死だったらしいけど、スタッフは２人ともケガだけですんだって話よ
Those two over there eloped, saying something about Our last moments together---' I can't bear it.	そこの２人、カケオチしちゃったのよ『最後の時を君と～』とかなんとか言っちゃってさまいっちゃうわね
I don't have anyone special in my life but when it happens, it happens.	ま、私にはそんな人いないしこうなったら、なるようにしかならないでしょ
…that's why I'm working now. Oh, sorry for going off like that…	ってわけで私は働いてるわけ。あっ、ゴメンなさいグチっちゃって
Dyne…	ダイン……
You know, I've been thinking about it for a while now, but you must be pretty strong.	ねぇねぇ前から思ってたんだけどあなた、とっても強いわよね？
Probably strong enough to take on the top 1 or 2 fighters?	たぶん、歴代ファイターでも１、２をあらそう強さだわ
Maybe you'll be good enough for the big match…	あなたなら、あれに挑戦できるかも知れないわね……
How 'bout it? There's a private battle only for the strongest. Wanna try?	どう？　とっておきの裏バトルがあるんだけどやってみる？
Let's do it	やってやるぜ
Not interested	興味ない
Register for battle? The entrance fee is 10 GP.	バトルに登録しますか？登録料は１０ＧＰです
Try the special battle	裏バトルをやる
Try the regular battle	普通のバトルをやる
Not interested	興味ない
Register for battle? The registration fee is 10 GP.	バトルに登録しますか？登録料は１０ＧＰです
Let's do it	やってやるぜ
Not interested	興味ない
This is a one-on-one battle. Which one of you will participate?	バトルへの参加は１人となっておりますどなたが参加いたしますか？
You can fight up to eight battles. But the more battles you fight, the greater your handicap, and stronger the monsters will become.	バトルは連続して８回まですることができます。数をますごとにハンデやモンスターが強くなりますのでご注意ください
Well, good luck.	では、お気をつけて
Seems like you do not have enough GP.	ＧＰが足りないようですね
Gained  Battle Points	バトルポイントをポイント獲得
Total  BP	合計　　ＢＰ
Current GP	現在の持ちＧＰ
GP	ＧＰ
Well, I guess I'll enjoy a few battles.	さて、たまには戦いを楽しむか
All right, I'll show 'em.	よし、ガンバルぞ
I'm gonna bust the place up!	あばれまくってやるぜ！
I'll show 'em with a BANG!	ガツーンといくわよ！
Let's make this quick.	サクッといってみよっかな
I guess it'll be fun to show off what I've got.	腕だめしにはちょうどいいかな
Let ol' CID show ya how it's done!	このCID様にまかせとけ！
I'll show you my moves!	アタシのカレイな舞をみせてやる！
Hmph…I'll show them what real fighting is.	フッ……戦いと言うものを教えてやろう
Then, I'm off!	ほな、行くで～！-
Changed my mind	やっぱりやめた
Current BP	所持ＢＰ
Potion = 80	ポーション　　　８０
Phoenix Down = 160	フェニックスの尾　　　　１６０
Shrapnel = 320	ボムのかけら　　　　　　３２０
Ether = 640	エーテル　　　　　　　　６４０
Memmet Greens = 1280	ミメットの野菜　　　　１２８０
Fury Ring = 2560	怒りの指輪　　　　　　２５６０
Enemy lure = 5120	てきよせ　　　　　　　５１２０
Pre-Emptive = 10240	せんせいこうげき　　１０２４０
Speed Plus = 20480	スピード　　　　　　２０４８０
Championship Belt = 40960	チャンピオンベルト　４０９６０
Phoenix Down = 100	フェニックスの尾　　　　　１００
Remedy = 200	万能薬　　　　　　　　　　２００
Memmet Greens = 400	ミメットの野菜　　　　　　４００
Enemy lure = 800	てきよせ　　　　　　　　　８００
Bird Wing = 1600	巨鳥のハネ　　　　　　　１６００
S-Mine = 3200	Ｓマイン　　　　　　　　３２００
Pre-Emptive = 6400	せんせいこうげき　　　　６４００
Speed Plus = 12800	スピード　　　　　　　１２８００
Championship Belt = 25600	チャンピオンベルト　　２５６００
Omnislash(Limit 1) = 51200	超究武神覇斬（限定１）５１２００
Remedy = 100	万能薬　　　　　　　　　　１００
Enemy lure = 250	てきよせ　　　　　　　　　２５０
Right Arm = 500	ボムの右腕　　　　　　　　５００
Pre-Emptive = 1000	せんせいこうげき　　　　１０００
Regan Greens = 2000	レイゲンの野菜　　　　　２０００
Speed Plus = 4000	スピード　　　　　　　　４０００
Stardust = 8000	星の砂　　　　　　　　　８０００
Championship Belt = 16000	チャンピオンベルト　　１６０００
Omnislash (Limit 1) = 32000	超究武神覇斬（限定１）３２０００
W-Summon (Limit 1) = 64000	Ｗしょうかん（限定１）６４０００
Changed my mind	やっぱりやめた
You do not have enough battle points.	『バトルポイントがたりません』
We are currently out of this prize.	『こちらの商品は品切れです』
Received "Potion"!	『ポーション』を手にいれた！
Received "Phoenix Down"!	『フェニックスの尾』を手にいれた！
Received "Shrapnel"!	『ボムのかけら』を手にいれた！
Received "Ether"!	『エーテル』を手にいれた！
Received "Memmet Greens"!	『ミメットの野菜』を手にいれた！
Received "Fury Ring"!	『怒りの指輪』を手にいれた！
Received "Enemy lure"!	『てきよせ』のマテリアを手にいれた！
Received "Pre-Emptive" Materia!	『せんせんこうげき』のマテリアを手にいれた！
Received "Speed Plus" Materia!	『スピード』のマテリアを手にいれた！
Received "Championship Belt"!	『チャンピオンベルト』を手にいれた！
Received "Remedy"!	『万能薬』を手にいれた！
Received "Bird Wing"!	『巨鳥のハネ』を手にいれた！
Received "S-Mine"!	『Ｓマイン』を手にいれた！
Received "Omnislash"!	『超究武神覇斬』を手にいれた！
Received "Right Arm"!	『ボムの右腕』を手にいれた！
Received "Regan Greens"!	『レイゲンの野菜』を手にいれた！
Received "Stardust"!	『星の砂』を手にいれた！
Received "W-Summon" Materia!	『Ｗしょうかん』を手にいれた！
You cannot take on any more Materia.	『あなたはマテリアをこれいじょう持てないようです』
Consolation Prize	参加した記念に
Received "Tissue"!	『ポケットテッシュ』をもらった！
For winning the Special Battle, Received "Ribbon"!	裏バトルを勝った記念に 『リボン』をもらった！
For winning the Special Battle, Received "Autograph"!	裏バトルを勝った記念に 『サイン色紙』をもらった！
For winning the Special Battle, Received "Combat Diary"!	裏バトルを勝った記念に 『ディオ激闘日記』をもらった！
For winning the Special Battle, Received "Gambler"!	裏バトルを勝った記念に 『人生バクチ打ち』をもらった！
For winning the Special Battle, Received "Final Attack" Materia!	裏バトルを勝った記念に 『ファイナルアタック』 のマテリアを手にいれた！！
Welcome to Chocobo Racing.	チョコボレーシングへようこそ
I'm sorry, but this is for authorized personnel only.	申し訳ございませんがこちらは、関係者以外立ち入り禁止になっております
Go---!! Do it----!! That's it----!!	いけ～！！させ～～！！そこだ～～！！
I…I lost…	ま、まけた…
Yeahh! This is why I can't seem to quit.	やった！これが、あるからやめられないんだよな
You can only buy up to 3 tickets Think before you buy. For example, you could select half of the Chocobos and buy 3 boxes.	チョコボ券は３点までしか買えないよ～く、考えて買うんだな例えば、チョコボを半分にしぼって３点をボックスで買うとかな
Boxes?	ボックス？
Not interested	興味ないな
A box is buying 3 combinations of 2 Chocobos.	ボックスってのは３匹のチョコボの組みあわせで買う方法さ
For example, if you select Chocobo 1, 3, and 5, you can purchase combinations, such as 1 - 3, 1 - 5, 3 - 5.	例えば、１番と３番と５番のチョコボだったら１―３、１―５、３―５みたいにね
You can also play the limited wheel by selecting a Chocobo.	他にも、１匹のチョコボから流し買いって手もあるな
Limited wheel?	流し？
Not interested	興味ないな
Playing a 'Limited wheel' means you select a Chocobo and use it in all of your combinations.	流しってのは言葉どおりに  
For example, if you have Chocobo 1, then you buy 1 - 2, 1 - 3, 1 - 4.	例えば１番のチョコボから１―２、１―３、１―４って買うことさ
No matter how you make your bet, you win some and you lose some. It all comes down to skill and luck.	まぁ、どんな買い方しても当たる時は当たるし、外れる時は外れるけっきょく最後は自分のカンがもの言うってわけかな
Hey, see that Chocobo on the odds sheet?	ねぇ、あのオッズ表のチョコボって何？
That's how you can find out about a Chocobo's condition.	あれで、チョコボの調子と強さがわかるのさ
Hmm… If you find out which are the strongest, then it's easy, right?	ふ～ん強いチョコボがわかるなら簡単に当てられるじゃない
Well, not as easy as you think. It's not just a matter of the Chocobo's strength, but it also depends on the jockey and the Chocobo's personality.	そうでも、ないんだよ。強さだけじゃなくて乗っている騎手の腕前やチョコボの性格
If these are bad, the Chocobo may use too much stamina.	これが悪いと、スタミナを使いすぎてゴールまでもたなかったりといろんな要素がからんでくるからね
One usually buys tickets for the B and C rank races, right?	俺らが普段買っているチョコボ券ってＢランクとＣランクレースだろ
Rank?	ランク？
Not interested	興味ないな
Oh, that's right.	あっ、そう
In other words, the 'rank' is the Chocobo's 'strength'.  A is highest and C the lowest.	ランクっていうのは、簡単に言うとチョコボの強ささ。Ｃの上がＢ、Ｂの上がＡってわけさ
You can buy A rank tickets if you become a freelance Chocobo jockey.	フリーのチョコボレーサーになればＡランクレースのチョコボ券を買えるようになるんだよ
Of course, the higher the rank, the better your item ticket. Hey, maybe I'll become a Chocobo jockey!?	もちろん、ランクが上の方がアイテム券がいいんだ。あ～、俺もチョコボレーサーになろうかな
How DO you become one?	どうやってなる？
Not interested	興味ないな
You can become one if you own a Chocobo …and have some connections. But Chocobo's are pretty hard to catch and I don't have any connections.	コネと自分のチョコボがあればなれるんだけど…チョコボ捕まえるのは大変だしコネも持ってないからなぁ
What?	なんだ？
What?	なに？
Sir, you can't do that!	お客様、こまります！
Ticket Office	チケットオフィス
