Costa del Sol Harbor	コスタ・デル・ソル港
They all slipped through… You messed up big this time, Heidegger.	どちらも取り逃がした……。大失態だな、ハイデッカーくん
I'm ashamed of myself.	めんぼくない……です
Is that all you can do? Give one word answers and apologize for everything?	いつから返事とあやまることしかできなくなったのだ…きみは
Do something. I'll be expecting results.	……なんとかしたまえ。期待している
Ready for departure, sir!!	スキッフ発進準備完了いたしました！！
Very well then. That was fast.	わかった。早かったな
You're outstanding. I'll remember you.	ウム…君は優秀だ。覚えておこう
YES, SIR!! Thank you, sir.	ハッ！！ありがとうございます
Remember Heidegger, You're allowed only one mistake.	いいかね？　ハイデッカーくん。失敗は１度までだ
I'm the boss!	オレ、わかだいしょう！
But a bunch of hardworking deckhands like you wouldn't understand.	あなたたち、アクセク働く運搬船の労働者にはわからないでしょうねえ
On the marine blue sea, Gazing at the eternal skies that seem to go on forever… Gives you the feeling like you're taking a nap on the wing of a Cessna.	マリンブルーの海の上、どこまでも続くイターナルな空をながめながらセスナのつばさの上でおひるねする気分
It's the ultimate high!	そりゃあ、もう最高なのよ
He's quite handsome, isn't he?	なかなか、いい男ね……
Oh, don't worry, I'm not talking about you.	あっ！　あなたのことじゃないから安心して
I'm talking about President Rufus. Charming, rich, blond… He even looks good in a double-breasted suit.	ルーファウス社長のことよ。魅力的よね、お金もってるし金髪だし、ダブルのスーツだし
Heh, heh… I hear the Shinra brass are arriving soon.	ヘラヘラ……もうじき、神羅のお偉方がつくんだってよ
Heh, heh! Got nothing to do with us, does it?	ヘラヘラ……俺たちにはぜんぜん関係ねえよな
Hey! Spread out, all of you, out!!	おっと！！離れて離れて！！
Put any fingerprints, scratches, or dents on that plane and I'll put one in your head!	しもんつけたり、傷つけたりへこませたりしたらただじゃおかないぞ
Da plane, da plane!! This's something you'll never be able to do in your lifetime.	飛・行・機！！君たちには、一生手のとどかないしろもの
So you just watch from a distance… and wish.	ま、せいぜい遠くからながめるだけにしてくれよ
Costa del Sol…a harbor paradise where the sun always shines and it's summer all year round!	ここは太陽ふりそそぐ常夏の楽園。コスタデルソルの港！
Hmm…Things aren't going well… You can go sightseeing in the city.	う～ん、うまくいきません…。観光案内は、街のほうでどうぞ
You're stowaways, right?	君たち密航者なんでしょ
It's okay. I'm used to them.	いやあ、いいですよ。もう、なれっこですから
The truth is, before I worked here, I was one of the best.	じつは、僕もここに就職する前ね。密航の常習者だったりなんかしちゃって
Don't bug me. This is Rufus's first official visit since becoming President.	じゃましないでくれよ。ルーファウスさんが社長就任以来初の到着なんだ
It seems like he's here on business this time.	今回はめずらしく仕事の用事みたいなんだけどね
I'm so jealous of him I could spit. We're both about the same age but he's President.	でも、うらやましいよなあ。ボクとそんなに年もかわらないのに社長だもんなあ
Oh crap… The manager of Shinra won't come down.	まいったなあ…。神羅の課長さん、おりてこないんですよ
Even though the President's here on business. All he does is play, forgetting everything to do with work.	出張で来てるのにねえ。仕事忘れちゃって、遊んでばっかり
Rufus complimented me on my job!	ルーファウスさんにほめられちゃいましたよ！
Wow!! I guess it pays to do good work.	いやあ～～仕事のしがいがあるってもんです
Damn. I'm soaking wet down to my underwear.	まいったなあ。パンツまでびしょびしょ
Oops! You must be those AVALANCHE guys!	あ！　あんたたち、もしかしてちまたで噂のアバランチの残堂！！
Quick! Let's get outta here! Heidegger's in charge of the transport ship.	さ！　早く逃げて逃げて。運搬船はハイデッカーの管理下に置かれちゃいましたよ
That's tough for both of us.	たいへんですね、おたがい
Ride the Shinra ship?	神羅のスキッフ、乗ってみたいかい？
Yeah, I could go for that	そうだな、悪くないな
Don't think I could steer it	そうじゅう、難しそうだな
Oh…is that so?	そうか……そうなのか
Yep! Actually, we do have an old junker we're gonna get rid of, And I was thinking about going into the tourist business.	う～ん！中古の払い下げスキッフがあるんだけど観光客相手の商売でもはじめようかと思ってね
But it's probably tougher than it looks I better think this through a little more…	でも、いざやるとなると大変だから…。もすこし、考えさせてよ
Yeah. It's too much for an amateur!	そうだよな！素人には無理だよな！
Oh, oh, oh!!! I'm gonna quit this company!!	ウォォォ！！！こんな会社、やめてやるぅ！！
I mean it, I'm really gonna quit!!	やめてやるっぞう！！
Heidegger's such an idiot!!	ハイデッカーのバカヤロウッー！！
And Rufus, acting all big!!	ルーファウスのかっこつけやろうー！！
God, that sure felt good…	ああ、きもちいい……
The transport ship won't be sailing for quite awhile. Heidegger's orders.	運搬船は、当分の間、出航しませんよ。ハイデッカーの指示なしにはね
Thinking of being stowaways?	ただし！！　僕にも家ではらすかせて待ってる家族がいる。ただってわけにはいかない
It's 100 gil to Junon. Give it to me, and I'll put in a good word with the captain.	ジュノンまで１００ギル。そんだけもらえれば船長に口聞いてあげてもいいぜ
What'll we do?	どうする？
Pay up	１００ギル払う
Thank you. Come back any time you want to stowaway on our ship.	そうかい、密航したくなったらいつでもおいでよ
Hey! No money? And you're trying to stowaway? Don't make me laugh!	お～い、金もないのに密航だなんて笑わせんなよ
Okay. Come on. This way.	おっけ～。ほら、こっちだ
It's not the most pleasant ride but make the best of it.	快適な船旅とはいえないだろけどがまんしてくれよな
Ever since Rufus complimented him, he strutted around for awhile, and haven't heard a peep from him since…	ルーファウスさんにほめられて以来ひとしきり走り回って来ましたがなんの音さたもなし……
Today's a great day for a nap in the sun. It always puts me in a good mood!	今日も最高のおひるね日平。もうそれだけでごっきげんなのよね～！
Hey, who're you? You look like you've been around the world twice.	あれ、君たち？世界を飛びまわってるって顔してるね。なんだか知らないけど、がんばってくれよ
I don't know what your story is,	メテオだなんだと、みなさん大あわてで最後のヴァカンスをとりにやってくるもんだからボクら、かえっていそがしいですよ
but hang in there.”	はぁ……ボク、最後まで走りまわっているんだなあ
Everyone's in a rush to get one last vacation in before the Meteor strikes. That's why it's so busy here.	ジュノン行きはでてないんだ。最近、物資の買い占めが多くてもうてんてこまいさ
[EMPTY LINE]	こうしておひるねしていられるのもあとわずかな時間なのね
There's no ship to Junon. Recently, there's been a hoard on materials. Everything's topsy-turvy.	そう思うとなんだかさみしい気分になっちゃうのよ
Not gonna be able to nap like this for much longer.	ま、俺は気楽なもんだよ。いざとなれば空に逃げちゃうからねえ
When you put it that way, I feel kind of sad.	一番の間題は……おりる場所が残っているかどうかだよな
The only problem is… will there be anywhere left to land?	カッー！！あついな、ここは！
But I sure am glad I can get rid of that damn sailor suit.	あら、BARRETの水兵姿。かわいかったよ、けっこう
Oh‚too bad. I liked BARRET's sailor suit. He looked so cute.	うんうん。
Right, CLOUD?	そんなことより黒マント男を
The hell's that supposed to mean!? This happens to be more comfortable, so shu'up!	すまないが、少し急いでくれないか。ここは暑い、私のしたがかわいてしまう
Remember Heidegger, Only one more mistake.	あなたたち、アクセク働く運搬船の労働者には わからないでしょうねえ。
I'm the boss!	マリンブルーの海の上、どこまでも続く イターナルな空をながめながら セスナのつばさの上でおひるねする気分。
It's the ultimate high!	あっ！　あなたのことじゃないから 安心して。
Don't worry‚I'm not talking about you.	ヘラヘラ…… もうじき、神羅のお偉方がつくんだってよ。
Heh‚heh… I hear the Shinra brass are arriving soon.	おっと！！ 離れて離れて！！
Heh‚heh…! Got nothing to do with us‚does it?	しもんつけたり、傷つけたり へこませたりしたら ただじゃおかないぞ。
Hey! Spread out‚all of you‚out!!	飛・行・機！！ 君たちには、一生 手のとどかないしろもの。
Da plane‚da plane!! Here's something you'll probably never get to do in your lifetime.	ここは太陽ふりそそぐ常夏の楽園。 コスタデルソルの港！
Costa del Sol…a harbor paradise where the sun always shines and it's summer all year round!	君たち密航者なんでしょ。
Hmm…Things aren't going well… You can go sightseeing in the city.	いやあ、いいですよ。 もう、なれっこですから。
It's okay. I'm used to them.	じゃましないでくれよ。 ルーファウスさんが社長就任以来 初の到着なんだ。
The truth is‚before I worked here, I was one of the best.	今回はめずらしく仕事の用事みたい なんだけどね。
It seems like he's here on business this time.	まいったなあ…。 神羅の課長さん、おりてこないんですよ。
Oh crap… The Shinra Manager won't come down.	ルーファウスさんに ほめられちゃいましたよ！
Rufus complimented me on my job!	まいったなあ。 パンツまでびしょびしょ。
Wow!! I guess it pays to do good work.	あ！　あんたたち、もしかして ちまたで噂のアバランチの残堂！！
Damn. I'm soaked down to my underwear.	さ！　早く逃げて逃げて。 運搬船はハイデッカーの管理下に 置かれちゃいましたよ。
Yeah‚sounds good	そうか……そうなのか。
I couldn't steer it	う～ん！ 中古の払い下げスキッフがあるんだけど 観光客相手の商売でもはじめようかと 思ってね。
I mean it‚I'm really gonna quit!!	ハイデッカーの バカヤロウッー！！
God‚that sure felt good…	売り家（旧神羅べっそう）
The transport ship won't be sailing for quite awhile. Heidegger's orders.	CLOUDべっそう
House for Sale	ふかふかベッド……ん～　きもちいい…
CLOUD's Villa	ん～もうちょっとだけ…
Mmm… five more minutes…	いやはや……お客さんとは気がつきませんではずかしいところをお見せしました
Huh!?	どうぞごゆっくりごらんください
Oh, I'm sorry. I didn't know you were here. This is so embarrassing.	ところで、お客さん。ほんとに買う気あるんですかい？
Take your time and look around.	なんのことだ
So are you seriously considering buying?	失礼する
The heck do ya mean?	まあ、そうでしょう。ひきとめはしませんよ
I'm out of here	ここは何を売ってるんだ
Yes, you're right. I'm sorry, please continue.	いやですねえ。やっぱりひやかしですか？
What are you selling?	このお家ですよ。お家。もとプレジデント神羅所有のべっそう。最近、売りにでましてねえ
That's pretty low. Are you pulling my leg?	どうですか？
I'm talking about this house. This villa used to belong to President Shinra. It only recently came back on the market.	広い敷地にごうか家具＆ふかふかベッド。おまけに地下室までついちゃう
How do you like it?	土地のみんなには神羅べっそうと呼ばれてますよ
It has a large lot, comes fully furnished with this goose-down bed, and there's even a basement to boot.	もっちろん、値ははりますがね
The villagers call it the Shinra Villa.	いくらだ？
How much is it?	おろっ？買う気ある、ビンボー人のくせに？
Not interested	ま、社会勉強のため値段だけは教えときましょはい、ポッキリ３０万ギルね。
Wha? How do you plan to buy it without a dime on you?	手がでないでしょ。帰った！帰った！
Well, the price, for your information, is a steal at 300,000 gil.	地下室の品は、ほんのサービスですよ。
Out of your range? Out! Go on, out!	まあ、お金でもたまったらまたおいでください
All items in the basement are included in the sale.	もっとも、ゴールドソーサーでひとやま当てたりでもしなけりゃむりでしょうけどねえ
Well, please come by again if you should strike it rich.	どうです。りっぱなもんでしょう
I wouldn't hold my breath waiting for that to happen unless you win big at Gold Saucer.	べっそうをもつ……その心地とステータス。いいもんですよ
Well, what do you think? Isn't it a fabulous villa?	ま、気長にまつことにしますよ
The feeling you get with owning a villa is simply… indescribable.	ん～ひやかしはやめてください
Well, let's wait for the captain.	ん～　きせきだ！！まさか、ほんとにお金をもってるお客がたずねてくるとは……
Hmm Is this some kind of joke?	なにもいいことないと思いますけどほんとに買いますかい？
'Praise the Lord,' it's a miracle!! Who'd ever think someone with some real money would ever come here?	３０万ギル支払う
I probably shouldn't even ask, but are you really going to buy it?	気が変わった
Yep, 300,000 gil	ん～　さようなら！！ボクのふかふかベッド！！
I changed my mind	ん～よかった～！
Hmm, good-bye!! Good-bye fluffy bed!!	『CLOUDべっそう』を手にいれた！
Oh well, I'm kind of glad!	俺のべっそうだ。休んでいくかな
Bought "Villa CLOUD"!	休む
With pleasure	地下室
Cellar	ん～こしがいたい～
Geez my lower back's killing me!	ども！わし、管理人です
Y, yes…sir!!	どぞ、よろしく
How do you do? I'm the manager.	では、失礼して…おやすみなさい
Nice to meet you.	あっ、そのへんの品はサービスですからご自由におもちください
Well, if you'll pardon me, I'll be leaving. Good-night.	『モータードライブ』を手にいれた！
Oh, those items are free, so please help yourself.	『炎の指輪』を手にいれた！
Received "Fire Ring"!	コスタ・デル・ソル
Received "Power Source"!	ねえ、たいくつしてない？
Costa del Sol	それほどでもない
Say, aren't you bored?	バトルがおおくてね
Not that much	あら、いいじゃない。そりゃあ、ぜいたくってもんよ
Yeah, we fight a lot	あら、そ～う。わたしは、ちょっ～とたいくつな気分なのよ
Isn't that good? You're just expecting too much.	さっ、お仕事ね！
Oh, really? I'm a little bored.	はい、こちら！コスタ・デル・ソル観光案内で～す
Come on, back to work now!	なにが知りたいのかしら？
Here you are! The Costa del Sol tourist information guide.	宿を探してる
What do you want to know?	店を探してる
Where's the inn?	観光案内してくれ
Where're the stores?	そうねえ、街はずれのリゾートインがおすすめよ
Show me around town	あら？　もしかして、アッチ関係のお店？それなら、ＢＡＲで話してみるといいわ
Let's see. I recommend a resort located on the outskirts of the city.	ちょっと、まってね。いま、マニュアル見るから
If you're looking for souvenirs, we recommend Butch's.	ここ、コスタ・デル・ソルは西の大陸のげんかんとしてまた、世界有数のリゾート地として古くから発展してきました……
Wait a minute. I'm going to look at my guidebook.	あ～ん、もう！どうでもいいわね。そんなこと
It says, Costa del Sol is the gateway to the West, and is a prominent world renown resort, which has been around for ages.	遊ぶんだったら、ビーチへどうぞ。かわいい女の子もたくさんいるわよ
Come on! I don't care about that!	あなたたち、もしかしてお金持ち？
You wouldn't happen to be…rich?	そうでもない
Oh yeah…	うそ～！身なりを見れば、わかっちゃうわよ
Well, not so	でも、いちおう、教えとくね
You're kidding! You can't tell just by looking.	コスタ・デル・ソルで休んだ後はゴールドソーサーへぬけるのがリッチでメジャーな観光コースなの
But I'll tell you just in case.	やっぱりね～
After relaxing at Costa del Sol, stop by the Gold Saucer. It's a rich and exciting place to play!	でも、もしかして興味あるかしら？ゴールドソーサーへの道
I thought so.	ここから、ずっ～と南のゴールドソーサーにはカジノや遊園地があるのよ
Are you interested? This is the road to Gold Saucer.	でもね～　歩いていくのは山こえ谷こえ、そりゃもうたいへんらしいの
Head south to the Gold Saucer, and you'll find casinos and an amusement park.	ま、旅してるなら一度は行ってみるといいんじゃない
But if you're planning to walk, you'll have to cross mountains and valleys. I wouldn't recommend it.	よぅ！　元気！！オイラ、のんき！！
But if you're on a vacation, you should go there at least once.	あ～ん！　まぶしい太陽！今日もいい天気！
Yo! Wassup! We jus' hangin' out!!	１、２、３！！キッキン！
Oh, the sun's so bright! Looks like another wonderful day!	わたし、聞いちゃった。あの大きなイヌ、人の言葉話すの
1, 2, 3, here we go!	じっちゃん、あついよぅ……だって、へんなの！
I heard. That big dog talks like a human.	海でね。気持ちの悪いおじさんがてまねきしてたの
That's cool …but weird.	こわかったからね。ここで遊んでるの！
It's the ocean. A creepy man was signaling for us to come.	フム、興味深い
I was scared to come here!	この行動だが、私はやりたくてやってるわけではないのだ
Hm, that's interesting.	このシッポめが私の意志とは無関係に動いてしまうのだよ
It's not as if I'm doing this because I want to.	ガルルル……
You see, this tail of mine, moves quite independently of my will.	ね、このへんで手をうっちゃおうか
Grrr…	だめ、だきょうしちゃいけない
Shall we play our hand around here?	そうね。旅費だって高かったんだし
Not yet. Remember, no compromises.	でも、なんだってこのくらいのしか声をかけてこないの
You're right. After all, this trip was expensive.	それはきっとあれ。あたしたちがうつくしすぎるってやつ
But only your average Joes are trying to pick us up.	そうね。あ～ん、ふつうの子がうらやましい
Well, that's because we're just too beautiful and hard to approach.	ね、もういいんじゃない？コレで、がまんしちゃおう
I guess so. Well, I envy the plain Janes.	あなたの楽しい旅の記念にコスタ・デル・ソル特製『金の針』はいかがですか？
Why don't we compromise? We'll make do with what we have.	ブッチ
How about some 'Soft' as a memento of this wonderful trip? Made especially in Costa del Sol!	いやあ、ピチピチした女の子でもやとって楽がしたいですなあ
Yeah, I'd like to find a gorgeous chick and have a great time.	いやあ、バイトでかわいい子がはいってくれたんで大助かりです
Well, we're lucky to have that cutie working for us part-time.	やられました……。やとったばかりのバイトの女の子
Butch	店の売り上げと商品のマテリアもってとんずらしちゃいましたよ
You got me there… We just hired her part-time.	世の中、うまい話はないもんですなあ。 
She ran off with our money and Materia.	ま、あまりもんでよかったら、見てってください
I guess any situation that seems too good to be true, usually is.	あ、CLOUD！ちょっとだけ、かせがせてよ
Well, please feel free to browse around. Just don't mind looking at leftovers.	ここはマテリアも売ってんだ。ね、なんか買ってってよ！
Ah, CLOUD! Let me make a buck why don't you?	お客さん、注文はカウンターでおねがいします
I'm sellin' Materia. Why don't you buy some?	はだしでけるのいた～い！
Orders are taken at the counter.	どうして！！
It hurts when you kick me with your bare feet!	まだ！！
Why's that!?	キッ～～！！
Not yet!!	あなたのせい！！
Eaghhh!	なによっ！
It's your fault!	やるのっ！！
What's wrong with you!?	フッーーーー！！！
Whew!!!	男……
Grrrrr…	いい男……
A man…	どこ……
A good-looking man…	オホホホホ……
Grrrr…	もう観光案内どころじゃないのよ。……ほんとはね。ゴールドソーサーも休業続きらしいし
…pant…wheeze…	でも、メテオ好きのお客さんがけっこう多くて…いやだわ
Butch	もうだしおしみなし！世界の終わり大セールだよん！！
Good or bad everything's gotta go! It's the end of the world sale!!	メテオかんしょうツアー参加しるしの入ったアイテムはいかが？
Wanna buy a souvenir to remember participating in the Meteor tour?	うひゃ～！！でっけ～！！
Oh wow!! Man, that's huge!!	お星さま～！！メラメラ～！！
The stars!! They're in flames!!	燃えてるわ。でも、いつか燃えつきるの
They're burning. Someday they'll burn out.	わたしたちの青春とおなじよ
The stars are just like our youth.	オホホホ……終わりなのよ
Bar	おキャクさん、ノむか、サケ？ソだな、ウン、ゆっくりしてケ
Mukki	僕、この街、気にちゃった
I really like this town.	はだかで歩いてても白い目で見られないもんね
You could walk around here naked, and no one'd look twice.	ゼェゼェ……あついとこ、苦手……
…huff…puff… I can't stand hot places…	ヒッッック…ん？　注文かい？いまはないよぅ
…HIC… Mm? Wanna order? We're outta that now.	あらっ！　いらしてくれるとおもってたわ♥
Hey! I thought you'd drop by.	（つったさかなが１匹２匹…これで、４匹め。まあまあね）
(That's 1, 2…4 fishes all together…not bad.)	たのむよ、買ってくれないと俺の生活が…
Come on…please. If you don't buy from me… I won't be able to pay the rent.	やっぱ、今年はスノボかな。もうサーフィンはあきちゃったよ
Yeah, snowboarding's what's happening this year.	オレたち、これからゴールドソーサーへむかうんだ
I'm sick of surfing.	噂のチョコボレースで旅費をかせいで
We're all headin' over to Gold Saucer now.	スノボやりにアイシクルロッジへ長い旅するのさ
We're gonna make a ton of money at the Chocobo races.	バールデルソルへようこそ！トロピカルな夜にかんぱい！
Then we're gonna take a trip to Icicle Inn and snowboard.	オレたちには、やっぱサーフィンがおにあいさ
Welcome to Bar del Sol! Here's to tropical nights!	なんてたって、水着しか着る服もってないんだから
We look like great surfers…	長い旅してわかったよ。この街の海が最高だったてことがさ
But the only clothes we have are these swim trunks.	見なれちゃったり、近すぎたりしてさ 
I traveled around a long time… And this town has the most beautiful ocean I've ever seen.	そこにあるのがあたりまえみたいになるとわからなくなることってあるよな
Sometimes you can't recognize things when they're right in front of you.	ま、そんなわけでまいもどってきたわけよ
I guess I took it for granted because it's so close, and I was so used to seeing it all the time.	メテオだかなんだか知らないがオレはまだあきらめない！
That's why I came back here.	コスタデルソルの海の最高の波にのってないんだからな！
I don't care whether Meteor comes or not, I'm not giving up yet!	それまでは、ふってくるんじゃねえ
I still haven't surfed the best waves of Costa del Sol!	夜の海にうつるメテオの姿は不気味だぜ～。さすがにふるえちまったよ
I hope the Meteor doesn't strike before I do.	でもなあ、それでも太陽はのぼってきたぜ！な、すてちゃいけないよな、アレをさ
It's weird seeing Meteor's reflection on the sea in the evening! It gives you the creeps.	ま、そんなわけで今日もこの店にいるわけよ
But the sun has risen! ???	おキャクさん、ワタシ、コトバできるよにもっとおボえたい
Well, for that reason, I'm at the store today too.	ホシ、ふってくるのこまル。おキャクさんも、そだな、ウン！
But don' wan' have stars fall down. You think…same?	僕は静かにお酒を飲むです
Mukki	ボクチンは先輩の考え方がわからない！
I just want to sit here with my drink.	ボクチンはさけぶぞ！みにくいくらいのたうちまわるぞ！
My boss is a total arrogant ass!	生きるってのはそういうことじゃないのかい！どですかね？
I'm gonna tell him off! I'm gonna scream my head off!	ゼェハァ……暑さも寒さも星の思い出…
Isn't that what life's all about? What do you think?	たのむよ、買ってくれないと俺の生活どころか…みんなの生活が……
…huff…wheeze… Heat and cold are just memories of the Planet…	お店のなかではや～なことなんてわすれてたのしんでいってね♥
Come on…please. If you don't buy from me… I can't pay the rent. No one else will either.	コスタデルソル・イン
While you're here, forget all those awful things going on outside, and just enjoy yourself.	チェッ！　調子わるっ！あっ！！　あんたさ！
Costa del Sol Inn	あの大きな水兵さんの連れの方だろ？
Weren't you with that big sailor?	俺には関係ないな
What's the matter?	……人ちがいか。こまるんだよね。あの人、トイレ占拠しちまって
I don't know.	宿代の支払いもまだだし
Wrong guy? This is bad for us. That guy's taken over the john.	聞いてくれます？
And he hasn't even paid his hotel bill yet.	いきなり！　大きな水兵さんがドカドカとやってきてトイレ占領しちまって
Listen to this…	それっきりずっ～と、うなってるんだ
A big sailor just busted in here all of a sudden, and took over the restroom.	まいっちゃうよ
He's been in there moaning ever since.	はぁ……あっ、お泊まりなら悪いけど、あの人の分もたのむね
I don't know what I'm gonna do.	やだなあ、やっぱり知り合いじゃないの…うそつき
Ah…if you're checking in, would you please pay his bill, too?	どうすんの？　もう休むかい？
Come now, we know he's a friend of yours…(fibber)	一泊２００ギルだよ
Stay	どうすんだい？もうお休みにするかい？
What now? Call it a night?	休んでいくか
Stay	波音に抱かれて……いい夢を
I've changed my mind	そうですかい。またおいでくださいね
Cradled by the sound of the ocean… sweet dreams…	チェッ！！　おしいっ！
Are you sure? Please come again.	あっ！　あんたさ！連れに、かわいい女の子がいるでしょ
Shucks!!  Too bad!	さっき、探しにきてたけど。いいのかい？ほっといても
Hey! Hey you! Does your friend have a cute lady?	どうすんだい？ほっといて、もう休みます？
200 gil a night.	気がかわった
Stay	ほ～う、よゆうだね。では……
Changed my mind	そりゃそうだよね。どうぞ、どうぞ。またあとで、おこしください
You look like you can handle it. Well then…	毎度どうも！！どうします？
That's right. Don't worry. Please come by again.	一泊２００ギルになりますけど
Stay	そうですかい。私、ここで遊んでますから気がむいたら、またおこしください
Changed my mind	はい、おつかれさまでした
You sure? I'll just be playing around here so drop by whenever you feel like it.	コスタデルソル地方の明日の天気はいつもの通り、晴れとなっております
You must be tired.	おはようございます。道中お気をつけて
The weather for Costa del Sol tomorrow is going to be…sunny, again.	お連れのみなさんは先立たれましたよ
Good morning. Be careful traveling.	あっ……
Your party has departed.	これは縁起でもないことを…
Oops…	正しくは…一足先に出発しましたという意味です
That's bad luck…	おっっと！お金がたりないようですぜ
I mean, they have already left.	おはようさんっ！！
Wait a minute! There's not enough money here.	う～ん！
Good morning!!	んんっ～！
Uh uh!	マリ～ン！元気かぁ…？
Hmmm!?	とうちゃんこれ着て会いにいくからなぁ
Marlene! You OK?	おう！！　CLOUD！まだはやいんじゃねえか！
I'll wear this when I go to see you.	おう！！！いま使用中だっ！
Yo, CLOUD! Still too early, ain't it?	フゥ……。なんだか、つかれちゃったね
Hey, yo!!! Someone's in here, alright!?	わからないこと、おおくて…
Whew… I don't know why I'm so tired.	ちょっとだけ、不安なんだ
I feel a little uneasy.	わたしのこと、どう思ってる？
I dunno	どうもこうもわからないよ
Nothing much	悪いけどそういうこと考えたこともない
I don't understand anything.	あたまっ、きちゃうなあ！そんなこといえちゃうわけっ
Sorry, but I never think about those things.	も～う！相談したわたしがまちがってました
How could you say such a thing! Sometimes you make me so mad!	…………そうだよね
Oh, I never should have brought it up!!	わたしもね、わからないの。自分のこと
…You're right.	わたし、どのへんが古代種なの？
Even I don't understand myself.	古代種ってどこがどうなるの？
I wonder what part of me is like an Ancient?	へんだよね。わからないよ…
What is an Ancient supposed to be like? It's strange, isn't it?	はぁ…　どうどうめぐり。こういうのってこたえ、あるのかなあ。むずかしいよね、いろいろ
I don't understand it…	さきに休ませてね
Ahh…I'm going around in circles. I wonder if there's any answer to this? Everything's so complicated.	もういいですよっ！
I'm going to sleep.	お気をつけて！
I don't want to talk about it!	もう遊ぶ気も働く気もないです。最後の人生、ねだめですよ、ねだめ
Be careful!	では、おやすみなさ～い
I don't feel like doing anything. I just want to spend the rest of my life sleeping.	いっしょにねますかい？
Will you be staying together?	やめとく
Yes	せっぱつまった顔なんてやめ！なるようにしかなりません
No, thanks	あんまり、無理はしなさなんなって
Stop looking like a hunted animal! Whatever happens…happens.	ジョニーの新居
Johnny's New Home	なななななんだ？あななななたは！！
What's with YOU?	ああっ、あんたは？もしかしてぇ！
Johnny	元ソルジャーかつ幼なじみでモテモテの遊び人
Hey, is it really you?	そ、そして……人殺し野郎！！
We were in SOLDIER, and childhood friends before that. You were such a playboy.	えっっと……お名前なんでしたっけ？
And a $#&^ murderer!!	おまえこそ誰だ？
Why can't I remember your name?	CLOUDだ、おぼえとけ
I'm CLOUD, and don't forget it	そうだよな、ひさしぶりだもんな。俺のことなんか、わすれちゃったか
Johnny	いいぜ、このまま、あんたと俺は関係なし。
That's right. Long time no see. Do you remember me?	俺はこの街で新しいくらしをはじめた
That's okay. We'll just pretend like we don't know each other.	おたがい、いろいろあったよな。や！　もうぐちるのはやめ！いいよな、あんたたちみたいにの～天気に生きられりゃよ
A lot of things happened to us. Heh, I better stop my complaining! I sure envy you all living out under the stars.	どうどうと名乗るくらいのご身分とはね！
