Who goes there!?	なんだ、おまえたちは！
What an explosion!	しっかし、スゲェ爆発だったな
Think it's another Mako reactor accident?	ああ、また魔晄炉の事故じゃねぇのか？
Sector 8	８番街
Just what the hell's going on!?	いったい何がおこったって言うのよ
Wonder what that is on the wall over there. Let's see…	何か壁に書いてあるな？なに、なに…
Don't be fooled by Shinra!	神羅にだまされるな！
Mako energy doesn't last forever!	魔晄エネルギーは永遠ではない！
Mako is the Planet's life source!	魔晄は星の命！
The end is in sight!	いつか終わりがやってくる！
Protectors of the Planet: AVALANCHE	星の救世主：アバランチ
Received "Potion"!	ポーションを手にいれた！
Sector 8	８番街
Soldier	兵士
Hey! You there!!	おい！　そこの男！！
Soldier	兵士
That's him!!	いたぞ！！
Soldier	兵士
Halt!!	まて！！
Soldier	兵士
Over here!!	こっちだ！！
What a pain…	めんどうだな…
Soldier	兵士
That's as far as you go.	ここまでだな
I don't have time to mess around  with you guys.	残念だが、おまえらの相手をしてるほどヒマじゃないんでな
Soldier	兵士
Enough babbling… Grab him!!	たわごとを……よし捕らえろ！！
Sector 8	８番街
What the?	なにごとだ！
Shinra Soldiers…	神羅兵か……
Fight them!	やってやる！
Later!	めんどくさいから逃げる
Hmph!	チッ！
Fight them!	やってやる！
Later!	めんどくさいから逃げる
