Gongaga Village	ゴンガガ
Do you know him?	知ってるのか？
N, no, I don't know him!	い、いいえ、知らないわ！
Your face tells me differently.	いかにも知ってるって顔してるぞ
I told you, I don't!	知らないんだってば！
All right.	わ、わかったよ
…	…………
That sounds just like you, leaving town, and saying I'm joining SOLDIER!'.	でもさ、ソルジャーになるっ！なんて言い残して村を出たなんてまるでCLOUDみたいね
There were a lot of guys like that back then.	あのころは、そういうヤツがたくさんいたんだろうな
You must really be something making it in SOLDIER out of a group like that.	そんなたくさんのなかからソルジャーになるなんてCLOUD、えらいえらい
I really respect you…	そんけいしちゃうなぁ……
I just got lucky	運が良かっただけさ
I worked hard for it	がんばったからな
Don't be so humble!	けんそんしちゃってぇ！
Hard work pays off, huh.	努力はむくわれるってわけね
You know…	あのね……
I'm as proud of CLOUD joining SOLDIER as if it were me.	CLOUDがソルジャーになったの私、自分のことみたいにほこらしいのよ
CLOUD, thanks for caring.	CLOUD心配してくれてありがとう。
A reactor explosion three years ago took my husband…	３年前の魔晄炉爆発事故で夫は……
Do people really need reactors to live?	はたして、人が生きていくのに魔晄炉が必要なのでしょうか？
Aren't there more important things in life?	もっと大切なことがあるのではないでしょうか……？
You want something?	ほお……何か用かい？
Buy weapons?	武器を買いたい
Hear a story?	話を聞きたい
Nothing in particular	特に用事はない
Huh, did you want something?	え……何の用かしら？
Buy accessories?	アクセサリーを買いたい
Hear a story?	話を聞きたい
Nothing in particular	特に用事はない
Uh, need somethin'?	ああ……何か用か？
Need a room?	宿泊したい
Hear a story?	話を聞きたい
Nothing in particular	特に用事はない
Oh, you here to shop?	おお……買いものにきたのか？
Buy items?	アイテムを買いたい
Hear a story?	話を聞きたい
Nothing in particular	特に用事はない
Mayor	村長
This is Gongaga Village. Many people died here in a Mako reactor explosion.	ここは、ゴンガガ村。魔晄炉の爆発事故のために多くの人々を失った村じゃ
Mayor	村長
The Shinra people told us that everyone would be happy once the reactor was built. But all it brought us was sadness…	神羅のものたちは、魔晄炉ができれば幸せになると言いおった。しかし、魔晄炉はわしらに悲しみしか与えなかった……
…	…………
Shinra built the reactor, without even thinking about the town's safety. And, this is the result.	神羅のやつらは、村の安全など考えずに、魔晄炉を建設した。その結果が、これさ
One day, a huge explosion. killed many of the townspeople…	ある日、魔晄炉が大爆発を起こした。その事故に巻きこまれて多くの村人が死んでしまった……
It's been a while since the explosion, but you can still find the pieces it left all over town.	魔晄炉の爆発事故が起こってからずいぶんたつが、そのつめあとはいまだに村のあちこちに残っている
We voted to outlaw the use of Mako energy and live with nature, ever since the explosion.	わたしたちゴンガガ村の住人は魔晄炉の爆発事故があってからは魔晄エネルギーの利用を止めて自然とともに生きることを選んだの
People can live without the Shinra's Mako Reactors.	神羅の魔晄炉がなくても人は生きていけるのよ
No matter how much I pray, it won't bring our grandson back…	いくら　いのっても死んだマゴはかえってこん……
…You don't have enough money. Come back when you get some.	……金が足りないな。金をためてから、来るんだな
It's 80 Gil a night.	一泊８０ギルだぜ
Pay up	８０ギル払う
Don't pay	払わない
There's something shiny back there…	奥の方に、何か光るものがある……
Don't do anything	何もしない
Reach for it	手をのばしてみる
A ruined reactor.	壊れた魔晄炉……
AERIS…	AERIS……
TIFA… What happened?	TIFA……いったい、どうしたんだ？
What happened to you two?	ふたりとも、どうしたんだ？
…Zack.	……ザックス
Zack. I don't know anything about that man.	ソルジャーのザックス。おれは、そんな男、知らない
…But That name sounds familiar…	しかし……その名前には、聞き覚えがある……
Why?	なぜだ……！？
That can't…	そんな……
Grandpa	おじいさん
Have you ever met someone in SOLDIER named Zack?	なあ、あんたザックスっちゅうソルジャーに会ったことはないかの？
Grandma	おばあさん
I can't believe he hasn't contacted us in 10 years…! …After all, we're his parents.	１０年も連絡もよこさんとは……なんちゅう息子じゃ
It's 300 Gil a night.	一泊３００ギルだぜ
Pay 300 Gil	３００ギル払う
Don't pay	払わない
I am a traveling salesman, going around the world.	わたしは、世界を旅する行商人。
I came because I heard that near this village was Materia strong enough to shake the earth.	このゴンガガ村の近くに『大地をゆるがす力を持つマテリア』があると聞いて、来てみたのだが……
Even I get homesick and want to see my family.	そんなわたしだが、むしょうに家族に会いたくなることがある
I have a favor to ask of you. Can you get this letter to my lovely wife?	そこであなたに、たのみがある。どうかわたしの愛する奥さんにこの手紙をとどけてもらいたい
Will you do it for me?	おねがいできるだろうか？
Take the letter	手紙を受け取る
Not interested	興味ないね
My wife lives in Kalm. I really appreciate this.	わたしの愛する奥さんはカームの町に住んでいる。どうか、よろしくたのむ
What's going on in a world about to end? Is kindness the first to vanish?	なんということだ……死が目前に迫っているこの世界ではもはや人情もかれはてたか……
They sell the weapons on the second floor. Climb up the pole to get there.	武器は、２階で売っているわ。そこの柱をのぼってちょうだい
Lifestream? Never heard of it.	ライフストリーム？そんなもの、聞いた事ないわ
Planet structure? …Who cares about that?	星のしくみ？……どうでもいいわ、そんなこと
Why don't you go ask Bugenhagen of Cosmo Canyon hard questions like that?	そういうこむずかしい事はコスモキャニオンのブーゲンハーゲンという人に聞けば？
Seems like the Shinra is planning something big to destroy Meteor…	あのメテオをこわすために神羅が大きな計画を立てているそうね……
I heard they're going to do something with all that Huge Materia they've been gathering…	大きなマテリアを集めてなにかをするつもりらしいけど……
After what happened with the reactor you can't trust Shinra.	魔晄炉のこともあるし神羅のすることは信用できないわ
…Everyone's going to die. Everything's coming to an end.	……みんな、死ぬのよ。何もかもが、終わるのよ
You lost? When that happens the only ones you can count on are your friends.	道にまよったのじゃな？そういう時に一番たよりになるのは友、じゃよ
The first thing you gotta do is find your best friend.	もっとも大切な友を探すこと。それが先決じゃて
This reactor's useless, but I hear there's still Huge Materia at the Corel, Fort Condor, and the Junon reactors.	ここの魔晄炉はもう使い物にならんが【コレル】、【コンドルフォート】、【ジュノン】の魔晄炉の中には、大きなマテリアが残っているそうじゃ
Shinra's gathering all the Materia from those places… But for what?	いま神羅はそれの回収にかかっているそうだが……いったいなんのために
Shinra's tried a lot of things, but it's only HUMAN. It's fate that Meteor will kill the people.	神羅もいろんな手をつくしたがしょせん、ちっぽけな人間のやること。メテオによって人が滅びるのは運命なのじゃよ
Tell me, young man.	おしえてくれ、若者よ
Can't we be happy without having to sacrifice anything?	幸せは、犠牲なしに得ることはできないのじゃろうか？
Can't time pass without unhappiness?	時代は、不幸なしに越えることはできないのじゃろうか……
Hey, CLOUD. How did the Turks know to wait and ambush us here?	ねぇ、CLOUD。どうしてタークスは、オイラたちをまちぶせできたのかな
…You'd think someone told the Shinra about us?	……だれかが、オイラたちのことを神羅に知らせているのかな
…Is someone there?	……誰かいる
Reno	レノ
Hey, Rude. Who do you like?	なあ、ルード。あんた、誰がいいんだ？
Reno	レノ
What are you getting so embarrassed about? Come on? Who do you like?	なに赤くなってるのかな、と。ん？　誰がいいのかな？
Rude	ルード
…TIFA.	……………TIFA
Reno	レノ
Hmm…	な、なるほど……と
Reno	レノ
That's a tough one.	つらいところだな、あんたも
Reno	レノ
But, poor Elena. She…you…	しかし、イリーナもかわいそうにな。あいつ、あんたのこと……
Rude	ルード
No, she likes Tseng.	いや、あいつはツォンさんだ
Reno	レノ
I never knew that! But Tseng likes that Ancient…	そりゃ初耳だな、と。だってツォンさんはあの古代種……
What are they talking about?	あいつら何の話してるんだ？
Elena	イリーナ
It's so stupid!	ホント、くだらない！
They always talk about who they like or don't like. But Tseng is different.	先輩たち、いつでも誰が好きとかキライとかそんな話ばっかりなんですよ。ツォンさんは別ですけど
Elena	イリーナ
Ah! Oh no!	あ！　いけない！
Elena	イリーナ
They're here! They're really here!	先輩たち！来ました！あの人たち、ホントに来ましたよ！
Reno	レノ
Hmm… Then it's time…	そうか……出番だな、と
Reno	レノ
Rude…don't go easy on them even the girls.	ルード……あの娘がいても手を抜くなよ、と
Rude	ルード
…Don't worry, I'll do my job.	……仕事はちゃんとやるさ
Elena	イリーナ
Then, we're counting on you. I'll report to Tseng!	じゃ、先輩たち。あとはよろしくおねがいします。私はツォンさんに報告にいきま～す！
Reno	レノ
It's been a while.	久しぶりだな、と
Reno	レノ
Payback time for what you did in Sector 7.	７番街の借りを返すぞ、と
Sector 7?	７番街……忘れたな
Out of our way	ジャマだ……どこか行け
Reno	レノ
That's sad.	それはさびしいな、と
Reno	レノ
I don't like being taken for a fool.	なめられるのは嫌いだな、と
Hey, something seems wrong, Like they knew we were coming.	ねえ、なんか変じゃない？待ちぶせされてたみたいよ
…How could they know we were coming here.	……どうしてわかったのかな？わたしたち、ここに来ること
I don't like it. How'd they find out where we were?	気にいらねえぜ。どうしてオレたちの居場所がわかったんだ？
Interesting… They were definitely waiting for us.	興味深い……やつらはあきらかにまちぶせしていたようだが
I don't like this! It's like the whole world knows where we're going.	なんかイヤなかんじ！アタシたちの行き先ってバレバレみたいだよ
How'd they know that we were here?	なんで、ここにおるのんがわかったんやろ？
How did they know that we were here?	何故、わたしたちがここにいることがわかったのだ……
They followed us… But there weren't any signs of it. Then, that means…	尾行されたか……いや、そんな気配はなかった。ということは……
A spy? No way.	スパイ！？……まさか
That there's a Shinra spy…	神羅のスパイがいるとか……
A spy, maybe? No, no way.	もしかしてよ、スパイ？いや、まさかな
…someone's been informing them.	……だれかが内通しているのか
Maybe it's someone in this group?	仲間んなかにスパイでもいるんじゃないの～？
You don't think there's a spy, do you CLOUD?	まさか、CLOUDさんスパイでもおると、思てますんか？
I hate this. Now everyone's gonna blame me because I'm new.	たまらんなぁ～。そんなん、新入りのボクがうたがわれるんに決まってますやん
It means there's a Shinra spy…	神羅の手先がいる……ということか？
I don't even want to think about there being a spy…	スパイがいるなんて考えたくもない……
I trust everyone.	俺はみんなを信じるよ
Rude	ルード
That's as far as you go.	これ以上、先には進ませない
Man, looks like they've taken a short cut.	気にくわねぇな。先回りされてるみてぇだ
And a couple of Shinra dogs are here too!	けっ、神羅のイヌがいるってのかよ！
The Shinra build reactors to make money. And this is what happens.	神羅のやつらは、金もうけのために魔晄炉をつくる。そして、その結果がこれだ
You saw that village. It's always the powerless that suffer from tyrants like Shinra.	見ただろう、あの村を。神羅の横暴でよ、被害にあうのはいつでも力を持たない人間だぜ
The one's with the power control those without it. That's just the way of the world now.	力を持つものが持たないものを支配する。それが、今の世界ってわけだ
But I can't let 'em do that. That's why I formed AVALANCHE to fight 'em.	オレは、そんなことは許せねぇ。『アバランチ』を結成して神羅カンパニーと戦ってるのもそんな世界を変えてえからだ
…Yo, CLOUD You still gonna fight with us, right?	……なあ、CLOUDこれからもオレたちと一練に戦ってくんだろ？
We need you, man.	オレたちにゃ、おまえが必要なんだ
You got it	任せておけ
Not interested	興味ないね
Thanks, man.	ありがとうよ
…!!	…………！！
I never shoulda believed you.	おまえなんかに期待したオレがバカだったよ
Scarlet	スカーレット
This reactor's a failure.	ここの魔晄炉は失格ねえ
What I'm looking for is big, large, Huge Materia. You seen any?	私が探してるのはビッグでラージでヒュージなマテリアなのよ。あなた知らない？
Tseng	ツォン
…No I haven't seen it. I'll get on it right away.	……存じません。さっそく調査します
Scarlet	スカーレット
Please. We could make the ultimate weapon if we only had some.	おねがいね。それがあれば究極の兵器がつくれそうなのよ
Tseng	ツォン
I just can't wait.	それは楽しみですね
Scarlet	スカーレット
With Hojo gone, the Weapon Development's been getting a bigger budget.	宝条がいなくなったおかげで私の兵器開発部に予算がた～っぷりまわってくるの
Tseng	ツォン
I envy them.	うらやましいかぎりです
Scarlet	スカーレット
But, even if we make the perfect weapon, could that stupid Heidegger even use it?	でもね、せっかく完璧な兵器をつくってもあのバカのハイデッカーに使いこなせるのかしら
Tseng	ツォン
…	…………
Scarlet	スカーレット
Oh…sorry! I forgot Heidegger was your boss! Ha ha ha!	あら、ごめんなさい！ハイデッカーはあなたの上司だったわね！キャハハハハ！
Scarlet	スカーレット
Let's go!	行きましょ！
…Big, large, Huge Materia?	ビッグでラージでヒュージなマテリア？
An ultimate weapon? The perfect weapon?	究極の兵器？完璧な兵器？
Just what are the Shinra up to?	神羅め、今度は何を始めるつもりなんだ……
It's Scarlet, Head of Shinra Weapon Development.	神羅の兵器開発部部長スカーレットのおでましか--
Scarlet	スカーレット
Hmph! This isn't any good either.	……フンッ！ここもダメだわ
You only get junky Materia from junky reactors.	チンケな魔晄炉にはチンケなマテリアしかないみたいね
Reno	レノ
This is just part of the job. Don't take it personally.	これも仕事だ。悪く思うなよ、と
