…ding…	…ぶ…しい……
Huh?  Don't you want to test my memory on how we met CID?	雑談なんてとんでもないです！ボク、ちゃんと仕事してますよ！
I'm not just shooting the breeze! I'm also working!	あ、そうそう。チョコぼうは使ってますか？
Oh, yeah, yeah. Are you using Chocobos?	チョコボをつんでどこかに運ぶだけなんですけどね
I mean, just loading them up and transporting them.	この戦いが終わったらみなさん、どうするんですかね
I wonder what everyone's going to do when this fight's over?	この船……ハイウインドはどうなってしまうんでしょうね……
I wonder what's gonna happen to the Highwind?	つぎ、どこ行くの？はやく行こう？
Where's the next stop? Can't you get there any quicker?	それでさ、アタシをパーティーにいれて船からおろしてよ、ね、CLOUD
CLOUD, put me in your party, so I can get off this ship.	チェッ……
Hmph!	どうしてこんな乗り物なんかあるんだよ……
I wonder why anyone would ever make an airship like this…	はぁ……はぁ……
Ugh…ugh…	なに？　どっかついた？
What? Are we there?	強いウータイのためとはいえアタシ、つらいよ
I know it's all for Wutai, But I can't take much more of this.	CLOUD……はぁ……うっぷ
CLOUD…urp…ugh.	アタシ、考えたんだけどさ……フゥ……どうしてマテリアには魔法とか戦いの知識ばっかりなんだろうってさ
You know, I was thinking…phew… Why does Materia always have something to do with battles or magic?	きっと、古代種ってのは戦ってばかりいたんだよ、きっと
I bet the Ancients must've always been fighting.	大変……ウップ……だったんだろね
It must've been…ugh…terrible…	CLOUD……につまってんの？
Are you waiting for CLOUD?	空なんか……飛んでるからダメなんだよ
He's flying right now, so you can't get him.	あ、今、アタシを潜水監に押しこもうって思った？
Were you going to force me into the submarine right now?	それはヤメテ！行くんなら、アタシ、つれてかないで
Quit it! If you want to go, then just leave me behind.	……うう。何言ってるんだ、アタシ……
…ooooooh. What're you talking about? I…	パイロット……どんなやつ？
What's the pilot like?	ゆらさないでくれたらあとでYUFFIEちゃんがサインしたげるって伝えて……
Tell him YUFFIE says if he pilots the plane smoothly, I'll give him my autograph…	ミッドガル……行くの？
Headed for…Midgar?	あ、アタシ、どこでもいい。早くおろして
Uh, a, anywhere's fine…I don't care. Just hurry up and land this thing.	CLOUD……この書類にサインして
CLOUD…sign this.	なんだ？
What is it?	戦いが終わったら、マテリアはぜ～んぶ、YUFFIEさんのものです
It's a contract that says when the war is over, all the Materia will belong to me.	そう書いてある書類。よく読んで、サイン、たのむよ
It's all in there. Read it carefully and then sign it, all right?	……だめだ。書類は読まない
Forget it, I'm not even gonna read it.	字を読むと気分が悪くなる。船酔いがひどくなるからな
Whenever I read, I get airsick.	はぅ……
Oh yeah?	それ、よくわかるから何も言えないよ……
I'm the same way, so I can't say too much.	クソッ……作戦失敗。あとでRED XIII、からかって……ウサばらし、しちゃお
Damn! My plan failed. Let's pick on RED XIII later to let off steam.	はぅ……
Huh?	あんたにはわかんないだろ？この船酔い……乗り物酔いのつらさ……
How would you even know? You don't know how tough it is…getting sick on boats and rides…	たのむから……ほっといて
So, please…just leave me alone.	……よくわかるよ、YUFFIE。俺の乗り物酔いもスジガネ入りだ
I really do understand, YUFFIE. When I get sick on a flight, it's a real killer.	自分がソルジャーだと思っていた時はすっかり忘れていたけどな
When I was in SOLDIER, I completely forgot about my motion sickness.	おろ～……
Oh…	ね、なんとか酔わない方法ってないのかな？
Isn't there any way to prevent this?	俺の研究によると……
Well, according to my research…	まず、緊張していると酔わないな
First off, if you're nervous a lot, you won't get sick.	しかし、常に緊張しているわけにもいかない
But you can't always be nervous.	こういう広い場所がある乗り物では動き回るのが良い方法だ
With this much space, your best bet is to move around while you're riding.	その場で身体を動かすのもいいだろうな
It also might be a good idea to stretch sometimes, too.	でも、兵士はトラックでの移動が多かったからな
But in SOLDIER, we spent a lot of time in trucks.	あれは最悪だった……
That sucked!	ああ、それから絶対に乗り物の中でしてはいけないことがある
And there's one thing you mustn't do when riding.	それは……
And that is…	字を読むこと！
Read!	字を読むこと！
Read!	まあ、一度酔ってしまったら何をやってもどうしようもない……
Once you get sick, there's nothing anyone can do.	つらいところだよな……
I know it's tough…	あ、でも仲間がいるからちょっとだけ、元気でたよ
…So you’re a little better off than me.	気分は……はぅ……だけどね
But I don't feel…well.	ハイウインド
Highwind	良いチョコボですね～
That's a good Chocobo.	さびしいです……チョコボのせてください……
I'm bored… I want to ride a Chocobo.	どうやって？
How do I?	そのうちに
Later	はぁ……
Whew…	はい、それはですね自分で育てたチョコボにのったままハイウインドにのりこむんです
Listen…you gotta ride in on a Chocobo you've raised yourself.	そうすれば、このチョコぼうにチョコボが入ってくるんです。はい、世話は私におまかせください
Then, if you bring your Chocobo to this stable, you can let it rest here.	え？　チョコボの育て方？う～ん、それは私もよく知りません
I'll take care of it for you.	チョコボ育てのことならミッドガル近くの【グリン＆グリングリン牧場】で話を聞けばＯＫだと思いますよ
What? How do you raise a Chocobo? Can't say I know much about that.	とりあえずワールドマップへ
If you want to know about raising Chocobo, there's a Chocobo ranch near Midgar. You should ask them.	いくです
Anyhow,	いかないです
I'm going to the World Map	ハイウインド
I'm not goin'	ようこそ、オレ様の飛空艇ハイウインドへ！
Highwind	どうしたい！もちっと感激しろい！
Welcome to my airship-the Highwind!	CID……
What's wrong!? You should be more excited than that!	おう……
CID…	メンバー……足りないね
Yeah…	CLOUDがいないとダメかい？
Not enough crew.	オイラたちだけじゃ星を救えないのかな？
Do you think we aren't strong enough without CLOUD?	メテオがせまってきてウェポンが暴れていて……
Do you think we can't save the Planet alone?	そんな時に何をすればいいのかなんて私にはわからない……
Meteor is coming, and Weapon is on the rampage…	もう、わからない……
At a time like this, I don't know what I'm supposed to do.	何言ってんだ、TIFA！いっしょに考えようぜ！
No idea at all…	オレたちが乗っちまった列車は途中下車はできねえぜ！
Get a hold of yourself, TIFA! C'mon, let's think about this!	……CLOUDがいれば全部解決するような気がする
No way we can get offa this train we're on!	CLOUDがね……
If only CLOUD was here, everything would be fine.	いつもそうしていたみたいにちょっと気取ったポーズで言ってくれるの
CLOUD would…	だいじょうぶだよ、TIFAって
…stand that cocky little way he did, and tell us what to do.	TIFA！　いつからそんなに弱い女になったんだよ！
He'd say, 'Everything's under control, TIFA.'	ゴメン、BARRET
TIFA! When'd you become such a wimp!	私もちょっとびっくり。がっかりだね
I'm sorry, BARRET.	それにTIFA……オイラたちがCLOUDだと思ってたのは……
I'm so depressed, I'm surprised at myself.	……わかってる
And TIFA…the reason why we all thought it was CLOUD was because…	だから確かめたいの。もう一度会いたいの
I know.	オレ様はアイツのことはキライじゃなかったぜ
That's why I want to make sure. That's why I have to see him again.	変なヤツだったけどな
I want you to know I didn't dislike him.	カッコつけてるかと思えば間の抜けたこともする
I gotta admit he was a strange dude.	やたら物知りなヤツだと思えばあたりまえのことも知らない
Just when you thought he was cool, he'd do some damn fool thing.	動き方も話し方もなんかチグハグなんだよな
Then when you thought he was smart, he'd show how stupid he was.	今にして思えばああ、なるほどってやつだけどよ
Everything about him from his movements to his speech were kinda odd.	ま、生きてりゃそのうち会えるさ。元気だせ、ネエちゃん
Knowin' what I do now, I can see why he was that way.	……会えるよね
Well, as long as you stay alive, you just might see him again someday. So cheer up, sis.	ツンツン頭のい場所さえわかればこのハイウインドでひとっ飛びよ
…I'll be able to see him someday.	……もしかしたら
If we can find out where he is, the Highwind'll get us there in no time.	北のクレーターの奥底で地面がくずれてCLOUDはそのまま……
Maybe…	さらに地中の奥深く……
CLOUD is still stuck deep in the North Crater, where the ground cracked and swallowed him up…	地中の奥深く……ライフストリーム？
Buried in the depths of the underground…	そのライフストリームが海底スレスレを通っていてときどき地上に吹き出す
Deep within the earth…are you talking about the Lifestream?	そんな場所があるって話を聞いたことがあるんだ
The Lifestream sometimes gushes out from cracks in the ocean floor to the surface.	もし、もし、もしかしたらCLOUDも……
I heard about such a place.	見習いパイロット（ＬＶ３）
Maybe, just maybe CLOUD's…	あわわわわ！話しかけないでくださいっ！
Pilot in training (LV3)	しっかりしろい！
Yaaaaahh! Don't talk to me right now!	見習いパイロット（ＬＶ３）
Get a hold of yourself!	あわわわわ！CID艇長～！
Pilot in training (LV3)	ネエちゃん、すまねえがオレ様はコイツに着陸の仕方をしこまなくちゃなんねえんだ
Waaaaah! Captain CID!	な～に、すぐに終わっからよ
TIFA, sorry, but I've gotta show this moron how to land the ship.	そうだ、ネエちゃん
Don't worry, it'll be done in a minute.	ま、目的はなんにせよ準備が必要だろ？
Oh, and TIFA…	ＯＰＥＲＡＴＩＯＮって部屋でちょこっと準備してこいよ
No matter what your goal is, you've got to be prepared.	ＯＰＥＲＡＴＩＯＮって部屋にいろいろ用意してあっからよちょこっと準備してこいよ
Go to the Operation room and get ready.	おっし！ガーッと飛びたいときはよこいつに指示してやってくれ
I put a lot of things for you in the Operation room, so go get ready.	見習いパイロット（ＬＶ４）
OK! You just signal when you're ready to fly full speed.	あわわわ！　いくですか？ いく いかない 見習いパイロット（ＬＶ４）
Pilot in training (LV4)	あわわわ！　いくで～す！
Eagggghh! Are we going?	ま、人生いろいろだ～なぁ
We're going	さ～て、どうするよっ！オレたちに出来ることはなんだ？
We're staying put	ん～っ？なんかねえのか？
Pilot in training (LV4)	Cloudの回復を待つなんてのはナシにしてくれよな
Eagggggh! We're off!	あの～、情報あるんですけど
Well, it takes all kinds.	おう！　逆スパイか？
What're we gonna do now! What can WE do?	はぁ……もう、開きなおりましたわ
Huh? Ain't there nothin' we can do?	ガハハハとキャハハのふたりがなんや、やらかすようです
An' don' go tellin' us to wait for CLOUD to get better.	盗み聞きでも、しましょか
Oh, I've got some news.	会議室
Yeah, what!? That you a spy?	ルーファウス
Yeah… I've already told you I was.	さて……我々はふたつの課題を抱えている
Both Gya ha ha and Kya ha ha are up to something.	１　メテオの破壊２　北の大空洞のバリアを取り除きセフィロスを倒す　　　　　　
Wanna eavesdrop?	何か作戦は？
Conference Room	ルーファウス
Rufus	ほう……
Now then… We're faced with two issues.	ルーファウス
1 Destroy Meteor. 2 Remove the barrier around North Cave and defeat Sephiroth.	メテオにぶつける？我々の技術で可能なのか？
Any ideas?	ガハハハハハ！すでに最初の課題はクリアも同然！
Rufus	メテオはまもなくコッパミジンですな！
What?	そのための作戦はすでに実行に移しておるのです。それは各地のヒュージマテリアの回収なのです
Rufus	ガハハハハハ！
You're going to ram Meteor?	ハイデッカー
Do you think we have the technology to do it?	すでにニブルヘイムは回収終了。残るはコレルとコンドルフォート
Heidegger	コレルにはすでに軍隊を向かわせております
Gya haah hah hah! The first problem's already solved!	スカーレット
Meteor will soon be smashed to bits!	ヒュージマテリアは魔晄炉内で圧縮されて生成される高度に集積された特別なマテリア
The plan is already in motion. We are collecting Huge Materia from each region.	そこから引き出されるエネルギーは通常のマテリアの３３０超倍！
Gyaa haa ha ha!	キャハハハ！すごいでしょ！
Heidegger	そのヒュージマテリアを一同に集めてメテオにぶつけるの
We've already collected Materia from Nibelheim.	そりゃあもう大爆発！！メテオなんか文字どおり打ちくだいちゃうってわけよ
All that's left are Corel and Fort Condor.	スカーレット
I've already dispatched troops to Corel.	それはご心配なく！
Scarlet	それよりも、まずは各地のヒュージマテリアを回収すること
Huge Materia is a high-density, special type of Materia made through a special compression process in Mako reactors.	……それでここへ来たんです。CLOUD……CLOUDは……
The energy extracted from it is 330 times the strength of normal Materia.	ブーゲンハーゲン
Kya, ha, ha! How about that!?	……そうか。CLOUDが……
