CLOUD, you're late!	CLOUD、おそい～っ！
…I thought you wanted a briefing?	……おまえ、今回の任務が知りたかったんじゃないのか？
Our mission is to investigate an old Mako reactor.	今回の任務は老朽化した魔晄炉の調査だ
There have been reports of it malfunctioning, and producing brutal creatures.	異常動作を起こしているうえに凶暴な動物が発生している
First, we will dispose of those creatures. Then, we'll locate the problem and neutralize it.	そいつらを始末しつつ原因を見つけだし、排除する
Brutal creatures? Where?	凶暴な動物……場所はどこだ？
The Mako Reactor at Nibelheim.	ニブルヘイムの魔晄炉だ
Nibelheim…	ニブルヘイム……
That's where I'm from.	ニブルヘイムは俺の生まれ故郷なんだ
Hmm…hometown…	そうか……故郷か
Sir…s, something strange just crashed into the truck!	へ、へんな動物が！！トラックに突っこんで来ました！
That would be our Monster…	モンスターのお出ましか
Come on, let's go to work.	さあ、仕事だぞ
Sephiroth's strength is incredible. He is far stronger in reality than any stories you may have heard about him.	セフィロスの強さは普通じゃない。世間で知られているどんな話よりも……すごかった
So… Where do you come in?	あれ～？CLOUDの活躍は？
Me? I was mesmerized by the way Sephiroth fought.	俺か？　俺はセフィロスの戦いぶりにみとれていたな
…and then we reached Nibelheim.	……そして俺たちはニブルヘイムについたんだ
Nibelheim	ニブルヘイム
How does it feel?	どんな気分なんだ？
It's your first time back to your hometown in a long time, right?	ひさしぶりの故郷なんだろ？
So how does it feel?	どんな気分がするものなんだ？
I wouldn't know because I don't have a hometown…	オレには故郷がないからわからないんだ……
Ummm…how 'bout your parents?	ええと……両親は？
My mother is Jenova. She died right after she gave birth to me. My father…	母の名はジェノバ。オレを生んですぐに死んだ。父は……
What does it matter?	オレは何を話してるんだ……
All right, let's go.	さあ、行こうか
Yo wait a minute!!	ちょっと待った！！
Isn't that, uh…?	な、あれじゃねえか？
The name of Sephiroth's mother…	セフィロスが言ってた母親の名前……--
I remember Jenova. That's that damn headless spook livin' in the Shinra building.	ジェノバ……覚えてるぞ！神羅ビルにいた首ナシのバケモノだな！
That's right.	そのとおりだ
BARRET, would you please let us hear what CLOUD has to say? You can ask questions later.	ちょっとBARRET。CLOUDの話、ちゃんと聞かせて。質間はあとよ
TIFA, I was only…	でもよぉ、TIFA……
Ok CLOUD, continue.	さあCLOUD、つづけて
The childhood friends are reunited!	幼なじみの再会ね！
…I was really surprised with TIFA.	……TIFAにはおどろかされたな
The Mako smells pretty bad here.	魔晄のにおいがするな
Psst… (You keep wandering around here and you'll get in trouble.)	ヒソヒソ……（ウロチョロしてるとしかられるぞ）
Being on watch is so boring.	たいくつなんだよな、見張りって
You want to do what we always do?	いつもの、やるか？
Just sit tight, it's your job, right?	ガマンガマン、仕事だろ？
Shall we practice?	練習でもするか？
I'll come and talk to you once in a while. Just stick with it.	時々話しにくるからさ。ガマンしてろよ
Practice? Oh, you mean practice my pose.	練習……ああ、ポーズの練習か
Do members of SOLDIER always have to worry about what others think?	ソルジャーは常に他人の目を意識しなくちゃならないってか？
How did it go?	……どうだっけ？
…Was it like this?	……こうか？
Good job!	うまくなったな！
I really don't want to be in SOLDIER.	俺、ソルジャーなんかになりたくないんだよねえ
…The town was quiet.	……村はひっそりしていた
Everyone must be in their houses, afraid to come out because of the monsters.	みんな、モンスターを恐れて家に閉じこもっていたのかな？
No, maybe they're afraid of us…	いや、俺たちを恐れていたのか……
We leave for the reactor at dawn. Make sure you get to sleep early.	魔晄炉への出発は明朝。今日は早めに眠っておけ
All we need is one lookout, so you others, get some rest.	見張りはひとりでいいからおまえたちも休んでおけよ
Oh, and…	そうだったな……
You may visit your family and friends.	家族や知り合いと会ってきてもかまわないぞ
Man… I'm so nervous.	はぁ……ドキドキするなぁ
I'm excited.	俺はワクワクしてる
Look, you never know when a monster's gonna show up, right?	いつ、モンスターが来るかわからないんだろ？
…That's right. Don't blow your chance to become a hero…	……そうだったな。英雄になるチャンス、のがすなよ
Hey, if you don't calm down, you won't get a good evaluation…	おい、落ちつきがないと査定が悪くなるぞ
Hmm? You from Shinra?	ん？　あんた、神羅の？
That's right!	そのとおりだ！
Who are you?	あんたは？
Geez… Big-headed young kid.	ふん……若造がえらそうに
I'm the town's… …. …!?	私はこの村の………………！？
Aren't you CLOUD?	おまえ、CLOUDだな？
Don't you know me?	私を忘れたのか？
You're TIFA's…	TIFAの……
Right. I'm TIFA's father.	そう。TIFAの父親だ
…Long time no see, sir.	……ひさしぶりです
TIFA's father	TIFAパパ
…Stay away from my daughter.	……娘には近づかないでもらいたいものだな
We don't need the Shinra's help to protect our town!	神羅にたよらなくても自分の村ぐらい守ってみせる！
If I knew this was going to happen, I would've made mountain climbing off limits…	こんなことなら山歩きなんて禁止しておけばよかった……
I hate myself for asking you this, but…	おまえにこんなことをたのむのは腹が立つが……
Don't take your eyes off of TIFA! Hurry up and go back to her side!	TIFAのそばから離れるな！さっさと娘のそばにもどってくれ！
Until we know that there's no danger, we're not moving.	危険がないことがわかるまで私たちはここを動かないからな
I heard Sephiroth was coming so I brought my camera.	英雄セフィロスが来るってんでカメラの用意して待ってたんですよ
I want a shot of Sephiroth and a monster.	セフィロスとモンスターのツーショットが欲しいんです
Take my picture.	俺の写真をとれ
Get back in the house, it's dangerous.	危険だから家に入ってろ
I don't take pictures of nobodys.	……マイナーな人の写真はとらない主義なんですよう
All right… Fat-head…	はいはい……（えらそうに）
Hey? This guy's a real…	おろっ？（こいつはたしか……）
You… Are you CLOUD?	あんた……CLOUDくん？
Really? So that's how it is, huh?	ふ～ん……そっかぁそうなんだぁ
Gosh, CLOUD, you've grown up to be a nice-looking lad.	いや～、もう、CLOUDくん立派になってぇ
Then take my picture	それなら俺の写真をとれ
Let's do this, CLOUD. Let me take a picture of you with Sephiroth.	こうしよう、CLOUDくん。セフィロスといっしょの時に写真、とらせてもらうよ
OK, OK… Fat-head… You're just his assistant.	ほいほい……（えらそうにさ……）（セフィロスのおとものくせにさ）
Think they'd let me take a picture?	写真とらせてくれるかなぁ
What's Sephiroth doing?	セフィロス、何してる？
Once the guide gets here, we're heading out.	ガイドが来たら出発だ
Listen to me, Sephiroth. In case something happens…	セフィロス、聞いてくれ。もしものことがあったら……
…Trust me.	……安心してくれ
I'll be all right, Dad!	だいじょうぶだから、パパ！
I have two men from SOLDIER with me.	つよ～いソルジャーがふたりもいるのよ
I'm TIFA. Nice to meet you!	TIFAです。よろしくおねがいします！
TIFA! You're the guide?	TIFA！あんたがガイド！？
That's right.	そういうこと
It so happens I'm the number one guide in this town.	この村で一番のガイドといえば私のことでしょうね
It's too dangerous! I can't get you involved in this!	でも、危険すぎる！そんなことにあんたを巻きこむわけにはいかない！
There's no problem if you protect her.	おまえが守ってやれば間題はなかろう
…Let's go.	……では、行こうか
Umm…	あの……
Mr. Sephiroth! Please let me take one picture for a memento!	セフィロスさん！記念に写真を１枚
TIFA, can you ask him for me too?	TIFAちゃんからもたのんでくれないかな……
Great, thank you!	はい、どうも！
I'll give each of you a copy once I get it developed!	写真できたらみなさんにあげますからね！
Cheeeeese!	いきますよ～！
This Mansion…	この屋敷は……
…No, I'll come here later.	……いや、後にしよう
Hey, stay over here!	おい、こっちに来ていろ！
Up ahead is…Mt. Nibel.	この先は……ニブル山だ
I'll tell you about the time I went into the mountains.	山へ行ったときのことはあとで話すよ
Hey, calm down! Wait over here.	おい、落ちつけ！こっちで待ってろ
…Late again.	……また遅刻だな
I was so nervous. I couldn't get any sleep…	なんか緊張してさあ。眠れなかったんだよね、俺
Zangan	ザンガン
There's nothing that'll harm the town, right?	村に危害をくわえるようなことはないだろうな？
Why?	どうして……？
No way!	そんなことはない！
…Why do you ask?	……そんなことを聞く？
It's Sephiroth. He would never do that.	セフィロスにかぎってそんなことはしないさ
The Shinra showed up to eliminate any information that could be embarrassing to the company.	会社に不利な情報を消すために神羅がやってきたこと……
You pick these things up when you travel as much as I do.	各地を旅しているといろんな話を聞くからな
…Oh my. You sure do have faith.	……おやおや。ずいぶん信頼してるんだな
Is that you, CLOUD?	CLOUDかい？
…Yeah	……ああ
…No	……ちがう
Mom?	……母さんか？
Here, I've brought you something!	ほら、さしいれだよ！
Don't tell anyone in town!	村のみんなにはナイショだからね！
Received "Homemade Potion!”	『手づくりポーション』を手にいれた！
Nibelheim Inn	ニブルヘイムの宿
The, uh… The whole inn's booked up by Shinra for the night.	あ……本日は神羅会社の皆さんの貸し切りになってましてねぇ
CLOUD?	……CLOUDちゃん？
Is it you, CLOUD?	CLOUDちゃんかい？
It must've been two years.	２年ぶりかねえ
Say, you've really moved up in the world, being under Sephiroth's command.	セフィロスさんの部下なんて大出世だねえ、ほんとにぃ
Wow…	ほんとにねぇ……
This is really, somethin'.	いんや～
You used to be such a scrawny kid, and now look at you!	あのひねくれボウズがねぇ……
So, what do you need, CLOUD?	なんだい？　CLOUDちゃん
Where's Sephiroth?	セフィロスは？
Give me a room	泊めてくれ
How is the town?	村の様子を聞かせてくれ
He's upstairs.	ああ、２階にいるさぁ
You STILL haven't found one yet?	ま～だ、見つからないのかい？
It's all reserved for you Shinra people, so I don't mind. But, wouldn't you feel more comfortable staying at home?	貸し切りだから、かまわないよ。でも、じぶんちの方が落ちつくんじゃないかい？
Now about the town…	村のことねえ……
A lot of monsters have been appearing in the last 12 months.	モンスターちゅうのが増えたのはここ１年くらいかねぇ
Other than that, there's not much change. Nothing much exciting happens in a little town like this.	それ以外はあんまり変わんないよ。こんなちっこい村なんて変わりようないさぁ
It was all right when they were building the reactor,	あの魔晄炉つくってるころがいちばんはなやかだったよ
…while they were still building it.	……つくってる頃はねぇ
But once it was completed, it's been bad.	完成してからはダメさぁ
Within a few years, all the trees on the mountain withered away.	何年もしないうちにお山の木、枯れちゃったもんねぇ
I don't know if the reactor was good or bad…	魔晄炉なんてねぇ良かったのかねぇ悪かったのかねぇ……
I mean it's easy to say that it was a bad idea now. But what can you do about it?	悪かったちゅうのは簡単さぁ。でも、いまさらねぇ……
Anyhow, we've got to get rid of the monsters.	とりあえず、モンスターたちがいなくなればねぇ
Then, we'll be able to relax a little bit.	そうすりゃ、ちょこっとは良くなるさぁ
I'll let you in on a secret…	ここだけの話……
The Shinra aren't really popular here.	この村じゃ、神羅さんの評判はあんまり良くないのさぁ
You know what I mean, right?	CLOUDちゃんならわかるだろう？
You're from here, so you know.	この村の出身だもんねぇ
It's the same story I always tell. You still want to hear it?	なんど話してもいっしょさぁ。聞きたいかい？
Yeah, tell me again	聞かせてくれ
No, that's all right	いや、もういい
Hey, you want to rest?	ああ、休みたいのかい？
Yes, please	たのむ
It's already been paid for. Go on, get some rest.	お金はもらってるからゆっくりおやすみ
Hmmmm	……ふむふむ
Is Shinra here to get rid of the monsters?	モンスター退治にやってきた神羅の人間だな？
I'm Zangan. I travel around the world teaching children martial arts.	私はザンガン。世界中の子供たちに武術を教える旅をしている
I have 128 students all over the world!	弟子は世界中に１２８人！
In this town, a girl named TIFA is my student.	この村ではTIFAという女の子が私の弟子になった
Did you say TIFA?	TIFAだって？
TIFA has good sense. She'll be a powerful fighter.	TIFAはセンスが良いな。彼女は強くなるぞ
I want to see some Shinra techniques.	神羅の人間の戦いぶりしっかり見せてもらうよ
And if you see anything you can use, you might want to incorporate some of my techniques.	使えるようだったらザンガン流格闘術に取り入れるのもいいな
Well, good luck.	ま、しっかりやってくれ
Will we be able to use this place, too?”	俺たちも、ここ、使えるのかな？
Oh? Did you come crying home?	おっ？泣きながら帰ってきたのかな？
I think you probably know better than I do, but…	……あんたの方が良く知ってると思うけどねぇ
Nibelheim Inn	ニブルヘイムの宿２階
…We have an early start tomorrow. You should get some sleep soon.	……明日は早いぞ。そろそろ眠ったほうがいいな
It's still early.	まだ早いよ
Yeah, let's get some sleep.	ああ、そうしよう
…I'm not going to wake you up tomorrow.	……明日は起こさないからな
What are you looking at?	何を見ている？
…This scenery… I feel like I know this place.	……この風景オレは知ってるような気がする
I've hired a guide to the Mako reactor.	魔晄炉へのガイドは手配しておいた
I've heard she's young, I hope we can rely on her…	若い娘らしいがたよりにしていいものか……
It was the morning after that, right TIFA?	そのよく朝だったな、TIFA
Yes, right…	そ、そうね……
We're short one bed…	ベッドがひとつ足りない……
This is…my house. It has nothing to do with what happened five years ago.	ここは……俺の家だ。５年前の事件とは関係ないな
I can't…remember much else. There's…nothing more to talk about.	あまり……覚えてないんだ。話すことは、もう……ない
That's all right, CLOUD.	もう、いいよ、CLOUD
Yo wait, I wanna hear.	でもよ、興味あるぜ
Me too! It's been a long time, right?	わたしも！ひさしぶり、だったんでしょ？
Tell us more!	聞かせろよ！
You saw your family, right?	家族と会ったんだろ？
All right…	やれやれ……
Well, I ain't gonna force ya…	ま、ムリにとは言わねえけどよ
I don't know if you'd call it a 'family'…	家族っていっても……
My father…died when I was still young.	親父は……俺がまだ子供のころに死んでしまった
That's why my mom…… lived alone in this house.	だから母さんが……この家には母さんがひとりで住んでいた
Yeah, I saw my mom.	ああ、俺、母さんに会ったよ
My mom…she was a vibrant woman. Hadn't changed at all.	母さんは……元気な人だった。全然変わってなかった
But a few days later, she died…	その何日かあとには死んでしまったけど……
But when I saw her, she looked fine.	あの時は……本当に元気だった
Yes?	は～い？
Welcome home, CLOUD!	おかえりなさい、CLOUD！
Hi, Mom.	ただいま、母さん
Come, come… Let me take a look at you!	どれどれ……晴れ姿、母さんにもよ～く見せておくれ
Hmmm…	ふ～ん
You look so handsome.	ほれぼれしちゃうねえ
So is this a SOLDIER uniform?	これ、ソルジャーさんの制服かい？
…Mom, I…	…………母さん、俺
Are you eating right?	ちゃんとゴハンは食べてるのかい？
I'm all right. The Company takes care of me.	だいじょうぶ。会社が面倒みてくれてる
Is that so?	そうなのかい
I know you can't cook…	あんた、料理なんてできないだろ？
I've been worried sick about you.	いったいどうしてるのかと思ってたんだよ
CLOUD?	ねえ、CLOUD
You know, CLOUD…	でもねぇ、CLOUD
…isn't that right, CLOUD?	そうだろ、CLOUD？
I'll always be your mother…	母さんはね、いつだって、あんたの
…Let's stop this…	…………もう、やめよう……
TIFA's House	TIFAの家
CLOUD?	ねえ、CLOUD……
Did you go in my house?	私の家にもはいったの？
No…	い、いや……
I thought you might be home.	TIFA、いるかなと思って
I remember you weren't there.	そういえば行かなかったな
TIFA's House	TIFAの家２階
Did you go into my room?	私の部屋にもはいったの？
Received "Orthopedic Underwear!"	『ちょっと背のびパンツ』を手にいれた！
CLOUD!!!	CLOUD……それ、本当なの？
Just kidding. Don't get mad.	冗談だ、怒るな……
…CLOUD	……CLOUD
We're talking about something really important here.	今はすごく真面目な話をしているんでしょ？
The letter…	手紙だ……
Did you read it? My letter?	もしかして読んだの？私あての手紙
I'd never do that!	そんなことはしない！
Of course!	そうよね！
You remember what it said?	内容もおぼえているとか……
I don't remember	おぼえてない……
I remember clearly	はっきりと
Then, let's go on with the story about Sephiroth.	それじゃあ、セフィロスの話の続きを聞かせて？
Dear TIFA…	TIFAへの手紙……
(Remember)	（思い出す）
(Stop)	（やめる）
I read it…	俺は読んでしまった……
It was a letter addressed to TIFA from the son of the guy that runs the General Store…	よろず屋の息子がTIFAに書いた手紙だった……
TIFA, how are you? I just arrived in Midgar eight days ago.	TIFA、元気か？ぼくは８日前ミッドガルについた
Yesterday, all of Nibelheim got together to welcome me. The only person that we couldn't get a hold of was CLOUD.	きのうはニブルヘイム出身の仲間たちが集まってくれたんだ。あ、CLOUDだけは連絡先がわからなくて呼べなかったけど
But everyone said he wasn't really that close to us. So even if we asked, he probably wouldn't have come anyway.	でも、アイツはもともとみんなと仲が良かったわけでもないしきっと呼んでもつまらないからまあ、いいんじゃないかってみんなと話してた
Well, enough about him.	うーん。CLOUDの話をしてもしょうがない
CLOUD… Do you remember all of it?	ねえ、CLOUD……それ全部おぼえてるの？
No, that's it	いや、ここまでだな
Yeah, I remember	なぜか最後までおぼえてる
Because there was some stuff about me…	俺のことが書いてあったからかな……
Midgar is really something. But to tell the truth, I feel so behind on everything… so out of it.	ミッドガルはすごいところだ。ぼくは、はっきり言って遅れていて、ダサダサのナントカって感じだった
Even the rooms of people in the slums are clean.	スラムの人たちでさえ部屋の中はとてもきれいなんだ
Right now I'm living in the slums, but I plan to move to a really nice room, like the ones I've seen in magazines, once I make some money.	今はお金がないからスラムに住んでいるけどいつかは本で見たようなオシャレな部屋に住んでやるつもりだ
…But, to do that, I guess I have to find a job first.  That's right. I still haven't found a job yet.	……などと書いてみたがそのためにはまず仕事を見つけなくちゃいけない。そうなんだ。まだ、仕事、みつからないんだ
I lied to my parents and told them I found a great job with Shinra, Inc.	両親には神羅カンパニーで働き口が見つかったってウソの手紙を出してしまった
I wonder if it's too late to go back. Sometimes I think I should've taken over my parents' store.	もうあともどりはできないかな。実家のよろず屋を継げば良かったなと思う
I just made it here to Midgar but all I think about is Nibelheim.	ミッドガルについたばかりなのに考えるのはニブルヘイムのことばかりなんだ
Hey, TIFA… Is that stupid old water tower still working?	ねえ、TIFA。あのオンボロ給水塔はちゃんと動いているか？
Is the old man at the Inn doing well? Are my parents still at the shop everyday? Have any monsters attacked?	宿屋のじいさんは元気か？ぼくの両親は毎日店をあけてるか？モンスターは襲って来ないか？
And most of all, how are you, TIFA? It feels like I haven't seen you for years.	何よりTIFA、どうしてる？もう何年も会っていないような気分だよ
We were all talking about you last night.	きのうもみんなでTIFAの話でもり上がった
Everyone likes you. But because everyone idolizes you, I couldn't very well stab them in the back.	みんなTIFAが好きなんだ。でも、TIFAはみんなのアイドルだったから仲間を裏切ることができなかった
I always acted cool, but actually, I was just afraid of being jilted.	なーんてカッコつけてたけど本当は告白してフラれるのが恐かっただけなんだよ
Wow, if I keep writing like this, this'll become a love letter!	あ、これ以上書くとラブレターになってしまう！
So, I think I'll stop here. Take care. I'll write again.	だから今回はこのへんで。じゃあ、元気で。また、手紙書くよ
P.S.  Write me back, okay?	Ｐ・Ｓ　返事すごく欲しい
Nibelheim House	小さな姉弟がいた家
…Oh, you're with the Shinra? Welcome.	……ああ、神羅の方ですね。ごくろうさまです
Making the rounds?	見回りですか？
Oh, I'm sorry! It's you, CLOUD! I didn't recognize you.	あら、ごめんなさい！CLOUDくんだったのね。気づかなくって
Shinra----?	しんら～？
Chinra---?	ちんら～？
SOLDIER?	ソルジャ？
SALTZA?	そるざ？
Are you going to kill the monsters?	モンスターやっつけるの？
Are you going to…?	…………つけるの？
….	……………………
These kids are also Sephiroth fans…	この子たちもセフィロスが……
He's soooo cool!!	カッコイ～！！
Way cool!!	カッキー！！
CLOUD, you've grown up to be a strong man.	CLOUDくん、なかなかたくましくなったわね
Do your best.	がんばれ～
Do your best.	ガバレ～
Nibelheim Item Store	ニブルヘイムのよろず屋
Welcome.	はい、いらっしゃい
Hey? Aren't you…?	あれっ？あんたは……
…Have I been here before? …I don't remember.	……ここへは行ったのかな？……覚えてないな
Now you're pissin' me off!! This don't matter, so get on with it!	じれったいぜ！関係ないなら先を聞かせろ！
Oh, oh, you're…	ねえねえ、あんたは……
A Mako Reactor was built in Mt. Nibel.	魔晄炉はニブル山の中に造られていた
The cold mountain air of Mt. Nibel	ニブルの山の寒々とした空気
was the same…	変わっていなかったな…
It gets harder from here! Follow me!	さ、ここからが大変よ！ついて来て！
I'm all right. You be careful too, Guide.	俺はだいじょうぶ。ガイドさんこそ、気をつけて
Let's hurry.	早く行こうぜ
Uh…the bridge!!	は、橋が！！
Everyone seems to be all right. Will we be able to get back?	無事のようだな。もとの場所までもどれるのか？
These caves are intertwined, like an ant farm…	このへんの洞窟はアリのすみたいに入り組んでいるから……
Oh, and Sephiroth… One person seems to be missing…	それにセフィロスさん。１人、姿が見えないけど……
It may sound cruel, but we've no time to search for him. We can't go back, so we must go on. We'll travel together from here.	冷たいようだが、さがしている時間はない。さあ、もどれないなら、先へ進むぞ。これからは一練に行動する
What's this?	これは？
A mysteriously colored cave…	不思議な色の洞窟ね……
It must be the Mako energy. This mountain is especially abundant in it. That's why the Mako Reactor was built here.	魔晄エネルギーだな。この山は特にエネルギーが豊富なのだ。だから魔晄炉がつくられた
…And what's this?	……これは？
A Mako fountain. It's a miracle of nature.	魔晄の泉。自然の驚異というやつだな
It's so beautiful…	こんなにきれいなのに……
If the Mako Reactor continues to suck up the energy, this fountain will dry up too…	このまま魔晄炉がエネルギーを吸い上げ続けたらこの泉も消えてしまうのね
Materia. When you condense Mako energy, Materia is produced.	マテリアだ。魔晄エネルギーが凝縮されるとマテリアができる
It's very rare to see Materia in its natural state.	天然のマテリアを見るなんてめったにない機会だ
By the way… Why is it that when you use Materia you can also use magic, too?	そういえば……どうしてマテリアを使うと魔法を使うことができるんだ？
You were in SOLDIER and didn't even know that?	そんなことも知らずにソルジャーをやってるのか？
…the knowledge and wisdom of the Ancients is held in the Materia.	……マテリアの中にはいわゆる古代種の知識が封じこまれている
Anyone with this knowledge can freely use the powers of the land and the Planet. That knowledge interacts between ourselves and the Planet calling up magic…or so they say.	大地、星の力を自在に操る知識。その知識が星と我々をむすびつけ魔法を呼び出す……といわれている
Magic…a mysterious power…	魔法……不思議な力だ……
Ha, ha, ha !	ハハハハハ！
Did I say somethin' funny?	なにか変なこと言ったか？
A man once told me never to use unscientific terms like 'mysterious power'! It shouldn't even be called 'magic'!	ある男がな、不思議な力なんて非科学的な言い方は許さん！魔法なんて呼び方もダメだ！
I still remember how angry he was.	そう言って怒っていたのを思い出しただけだ
Who was that?	誰だ、それ？
Hojo of Shinra, Inc…. An inexperienced man assigned to take over the work of a great scientist.	神羅カンパニーの宝条。偉大な科学者の仕事を引き継いだみじゅくな男だ
He was a walking mass of complexes.	コンプレックスのかたまりのような男だな
A Mako fountain… So this is where the knowledge of the Ancients is.	魔晄の泉……この中には古代種の知識が入っているのね
We finally made it. We sure took the long way though.	ついたわ。ずいぶん遠回りしちゃったけどね
TIFA, you wait here.	TIFAはここで待っていてくれ
I'm going inside, too! I wanna see!	私も中へ行く！見たい！
Only authorized people are allowed in. This place is full of Shinra's industrial secrets.	この中は一般人立入禁止だ。神羅の企業秘密でいっぱいだからな
But!	でも！
Take care of the lady.	おじょうさんを守ってやりな
Mm, man!	ん、もう！
Better take real good care of me, then!	しっかり守ってね！
Yeah, I remember.	うん、おぼえてる
Hmm…so it was you?	そっか……CLOUDだったんだ
This is…Jenova, right? It won't open…	ＪＥＮＯＶＡ……なんだろう。ロックは……あかないか……-
This is the reason for the malfunction. This part is broken.	動作異常の原因はこれだな。この部分が壊れているんだ
CLOUD, close the valve.	CLOUD、バルブを閉じてくれ
Did you close the valve?	バルブは閉じたのか？
Why did it break?	なぜ壊れた……？
…Now I see, Hojo.	……わかったよ、宝条
But doing this will never put you on the same level as Professor Gast.	でもな、こんなことしたってあんたはガスト博士にはかなわないのさ
This is a system that condenses and freezes the Mako energy… that is, when it's working correctly.	これは魔晄エネルギーを凝縮してさらに冷やすシステムだ………本来はな
Now…what does Mako energy become when it's further condensed?	さて……さらに凝縮すると魔晄エネルギーはどうなる？
Uh, umm…Oh yeah!  It becomes a Materia.	え、ええと……そうだった！マテリアができるんだな
Right, normally. But Hojo put something else in there. …Take a look.	そう、普通ならな。でも宝条はこの中にあるものを入れた。……見ろ
Look through the window.	マドから中をのぞいて見ろ
Wh…what is this!?	こ、これは！？
Normal members of SOLDIER are humans that have been showered with Mako.	おまえたち普通のソルジャーは魔晄を浴びた人間だ
You're different from the others but still human.	一般人とはちがうがそれでも人間なんだ
But, what are they? They've been exposed to a far higher degree of Mako than you.	しかし、こいつらはなんだ？おまえたちとは比べものにならないほど高密度の魔晄に浸されている
…Is this some kind of monster?	……これがモンスター？
Exactly. And it's Hojo of Shinra that produced these monsters.	そうだ。モンスターを生み出したのは神羅カンパニーの宝条だ
Mutated living organisms produced by Mako energy. That's what these monsters really are.	魔晄エネルギーが創り出す異形の生物。それがモンスターの正体
Normal members of SOLDIER? You mean you're different?	普通のソルジャーって？あんたは違うのか？
H…hey, Sephiroth!	お、おい、セフィロス！
No…	ま、まさか……
…Was I?	……オレも？
…Was I created this way, too?	……オレはこうして生み出されたのか？
…Sephiroth.	……セフィロス
Am I the same as all these monsters?	オレはモンスターと同じだというのか……
You saw it! All of them…were humans…	お前も見ただろう！こいつらの中にいるのは……まさしく人間だ……
Human!? No way!	人間！？　まさか！--
…Ever since I was small I've felt…	……子供のころからオレは感じていた
…that I was different from the others. Special, in some way.	オレは他のやつらとはちがう。オレは特別な存在なんだと思っていた
But… not like this…	しかし、それは……それはこんな意味じゃない
Am I…human?	オレは……人間なのか？
I didn't really understand what Sephiroth meant then.	セフィロスが何を言っているのかその時の俺にはよくわからなかった
I was even more surprised that Shinra was producing monsters.	俺はなによりも神羅カンパニーがモンスターを創っていたということにショックをうけていた
Yeah, maybe so. Wanna take a breather here?	た、確かにそうかもな。ここいらで一息いれることにするか
Hmph! Pokin' his damn nose in where it don't belong. CLOUD! Why don't you finish that story?	ケッ、余計なお世話だ。おい、CLOUD。話を続けてくれ。
(Phew……)	（フッ……）
(Why you talkin' to me!?)	（な、なんでオレに話をふるんだ！？）
Save game and take a rest	セーブして一息いれよう
Keep talking	このまま話を続けてくれ
…I get it.	……なるほどな
That would seem to explain the increase in the number of monsters recently.	ここ数年来のモンスターの増加にはそういった理由があったのか
I think we should listen carefully to CLOUD. Don't you think so BARRET?	これからのCLOUDの話はじっくりと聞く必要があるな。そうではないか、BARRET？
Damn, Shinra! The more I hear, the more I hate 'em!	くっ……神羅めっ！ますます許せねえ！
…Who would have ever thought the Mako Reactor held such a secret.	……あの魔晄炉にはそんな秘密があったのね
TIFA… Were you waiting outside then?	ねぇ、TIFA。あなたはずっと外で待ってたの？
…Yes.	………ええ
