Cosmo Canyon	コスモキャニオン
It is a holy flame that protects this canyon.	つまり、この谷をまもる聖なる炎ってわけなのです
I've heard it only went out once, long ago.	でもね、あたしが生まれるうーんとまえに１度だけこの火が消えたことがあったんですって……
The elders said something horrifying occurred, but I really don't know much else about it.	とってもこわーいことがあったって長老はいってたけどあたし、よくわからないのです
So this is Cosmo Canyon… Quite a mysterious place.	これがコスモキャニオン……なるほど、神秘的な場所ですね
Have you come to seek the Study of Planet Life?	あなたがたも『星命学』の研究にいらしたので？
No	そうじゃない
Oh yeah? What? The car broke down!?	おや、さようで。え？　車がこしょう？
Why don't you look around Cosmo Canyon while I fix the car?	車がなおるまでコスモキャニオンを見学されては？
Please get some rest while I fix your car.	車がなおるまでゆっくり、体を休めてください
The repair on your car is completed.	車の修理、終わりましたよ
Now you should be able to go wherever you want.	これでもう、どこへでもいけるはずです
How much do I owe?	お礼の金を……
Much obliged	助かった、それじゃ
No charge! You'd do the same for me, right?	お礼なんて！困ったときはおたがいさまです
Please, take 1000 gil	１０００ギル受けとってくれ
I guess you're right	それもそうだ、それじゃ
…You don't even have that much. Don't tease me, okay?	……そんなお金持ってないじゃないですか。からかわないでください
Are you sure…? Well, all right. Thank you.	そうですか……それじゃ、えんりょなく
Oh yeah. Did you stay at the inn already?	ああそうそう。ここの宿屋、もう泊まりました？
There was a bottle on the sofa there a couple of days ago…was it yours?	この前、あそこのソファーにきれいなビンが置いてあったんですがあなたがたのですか？
Oh, really?	おや、そうですか
There really isn't much else to see here.	しかしここにはほかに見るべきものもあまりないようですがね
Yeah? I heard there's an awesome observatory here. I'd like to see it if I have a chance.	やはりそうですか。なんでもここにはスゴイ天文台があるそうですからね。ぜひ一度見てみたいものです
Whoa!!	うわっ！！
Don't scare me like that. I almost fell over.	おどかさないでくださいよ。危うく落ちるところだった
Nanaki, are you leaving again? We want you to stay here forever…	ナナキ、またどこかへいっちゃうですか？ずっとここにいてほしいです……
Mmm… I think the teachings of the 'Study of Planet Life' are true.	う～ん……『星命学』の教えはたしかに正しいです。そう思います
But can people used to Mako energy ever go back…?	でも一度魔晄の便利さを知ってしまった人間がはたしてもとにもどれるのだろうか……
Mmm… I can't stand here talking about the Study of Planet Life'.	う～ん……もう『星命学』がどうこう言ってられなくなりました
I think I'll head back to my homeland now…	私もそろそろ故郷にもどることにしますよ……
Oh, Nanaki's with you. Make yourselves at home.	おお、ナナキもいっしょか。ゆっくりしていきな
Wait for me! I'm coming too!	待ってくれ！　オイラも行く
Mmm?	うん？
Bugenhagen	ブーゲンハーゲン
CLOUD. Please look after Nanaki.	CLOUDよ。ナナキをよろしくたのむ
I think I grew up a little. That's what happened!	オイラ、少しだけ大人になった。そういうこと！
Ho Ho Hoooo. Come back whenever you need my knowledge.	ホーホーホウ。わしの知識が必要になったらいつでも歓迎じゃ
Tasty Cocktails!	おいしいカクテル！
Pub "Starlet"	パブ『スターレット』
Fluffy Beds!	フカフカのベッド！
In "Shildra Inn"	宿屋『シルドラ・イン』
Come in today!	ぜひいちど
It's right near Cosmo Candle!	おたちよりください！聖火コスモキャンドルのすぐそばです！
Cosmo…Canyon? I wonder if there's any relation to the planet or the Ancients…	コスモ……キャニオン？関係あるのかな？星とか、古代種とか……
I finally made it… So this is…Cosmo Canyon!	ついに来たぜ……ここが、ここがコスモキャニオンか！
RED XIII seems different, doesn't he?	RED XIII、なんだか様子がヘンじゃない？
Hmmm… Any Materia? Any Materia around?	ムフフ……あるかなマテリア？マテリアあるかな？
Hmmm…So this is Cosmo Canyon.	ハア……これがコスモキャニオンですか
Oh, welcome.	あら、いらっしゃい
The people of this canyon hate to compete. So almost everything here are replicas.	この谷の人間は、あらそいをきらうからね。ここにあるのも、ほとんどレプリカなのさ
But that's all right. Some of them you really can use.	でもだいじょうぶ。ちゃんと使えるものもあるからね
Welcome. You still want more weapons? You sure are weird…	はいよ、いらっしゃい。あれ、まだ武器を買うの？あんたも変わった人だね……
Uh, I mean, it's weird. If there weren't people like you, I'd be out of business. Heh, heh, heh…sweat…!	まあいいや、そんな人もいないとわたしもヒマになっちゃうからね。ハハハハハ！
Number 4	ナンバー４
Now hiring! Looking for someone who can stand long hours of boredom! For details, contact the "Turtle's Paradise"!!	アルバイトぼしゅう！タイクツにたえられるガマンづよい方求む！くわしいお間い合わせは居酒屋『かめ道楽』まで！！
Now hiring! No experience necessary. Looking for emotionally stable people who don't get excited at the sight of weapons! We offer a small, but good working environment!	アルバイトぼしゅう！経験は間いません。武器を見てもこうふんしないおだやかな性格の方求む！ちょっとせまいけれど明るいしょくばです！
Elder's Room	長老の部屋
Elder Hargo	長老ハーゴ
Where did I put it? I know it's around here…	どこへやったかいの……たしかこのへんに……
Mmm? Oh, we have guests.  Good, good.	ん？おお、これまたお客さんか。いいともいいとも
I know, I know.	わかっとる、わかっとる
You came to ask me something, right? Am I right?	ワシになにかききにきたんじゃろ？　そうじゃろ？
It's about the Promised Land	約束の地の話
Not really	そういうわけじゃない
…The Promised Land. So what do you want to know?	……約束の地。そうか、知りたいか
There is no one place called the Promised Land. That's what I believe.	約束の地というのはなはっきり言って存在しない。ワシはそう考えておる
No, no, it does exist. Hmmm…you can say that.	いやいや、存在する。ふむふむ……そうとも言える
In other words, it doesn't exist for us, but it did for the Ancients.	ようするにワシらには存在しないが古代種にとっては存在した
The Promised Land is the resting place of the Ancients.	ミもフタもない言い方をすれば約束の地は古代種の死に場所じゃ
The life of the Ancients is one continuous journey. A journey to grow trees and plants, raise animals, and make Mako energy.	古代種の人生はきびしい旅の日々じゃ。草や木、動物、あらゆる生き物を増やして精神エネルギーをそだてる旅
Their harsh journey continued throughout their lives…	彼らのつらい旅は生きているあいだずっと続いたという……
The place they returned to after their long journey… Their burial land is the Promised Land.	その旅を終え、星に帰る場所……つまり死に場所が約束の地
Huh? Supreme Happiness? I believe that, for the Ancients, it was the moment that they were able to return to their Planet, That moment when they were released from their fate, and gained their supreme happiness…	あん？　至上の幸福？古代種にとっては星に帰る瞬間運命から解き放たれる瞬間それは至上の幸福ではなかったか……と
At least that's what I believe. I really don't know whether or not it's true.	ワシはそう考えておるんじゃ。今となっては真実はわからんがの
Oh, that's not what you're here for?	なんじゃ、ちがったのか。
I'd appreciate it if you didn't talk about such foolish things as legends and old wives tales.	悪いんじゃが、伝説とか昔話とかワシにはそんな話しかしてやれんよ
There was this guy who studied Planetary Life' here.	ここで星命学を学んだ男がいたんだ
He couldn't take things the way they were, so he went to Midgar to form AVALANCHE.	そいつは感動してこのままじゃいけないと考えてミッドガルでアバランチを結成した
Wanna hear more?	……こんな話、興味ないよな？
Go on	つづけてくれ
Guess you could say this is where AVALANCHE was born.	言ってみりゃ、ここがアバランチの原点だな
I always wanted to come here… And finally…I made it.	オレも一度は来たいと思っていたが……ついに……来た……ぜ
A lot's happened…	いろいろ……あったぜ……
And then?	つづきは？
And then…? I don't know what's going to happen, now that there is no AVALANCHE…	つづき……？これからのことはわからねえ。アバランチはもうねえんだ……
By the way, those that came with you are all at the Cosmo Candle.	そういえば、おまえさんといっしょに来た連中がコスモキャンドルの前に集まっとったよ
Are you leaving?	もう出発するんかい？
Ahh, here it is.	おお、あったあった
My job is to gather all the legends and the knowledge of the Planet and to make a book.	ワシの仕事はこの谷につたわる伝説や星の知識を本にすること
Then, even when I return to the Planet, the children may still be taught about many things…	こうすればワシが星にかえっても子供たちにいろいろなコトを教えてやれる……
Mm…oh, this? This is the Book of Stars. I'm just finishing it.	ん……ああ、これかね。これは星の本。もう少しで書き終わるところだよ
Nothing is meaningless. If I do this then, someday, someone will run across it.	無意味なことなんかないとも。こうしておけば、いつかかならず誰かの目にふれるもんさ
The Ancients did the same. That is how we know about them, right? Maybe even my book also…	古代種だってそうしたんだ。だからワシたちは、彼らを知ることができただろ？ワシのこの本だって、きっと……
I think Bugenhagen has foreseen things.	ブーゲンハーゲン様にはすべてお見とおしかもしれんよ
About the Planet… About Nanaki… And, about himself…	この星のこと……ナナキのこと……そしてご自分のこと……
But, Bugenhagen would never say that. All he says is 'Ho Ho Hoooo'…	でも、ブーゲン様のことだからそんなこと言わんじゃろな。いつも『ホーホーホウ』……
Welcome to 'Shildra Inn'.	ようこそ『シルドラ・イン』へ
It'll be 100 gil a night. Would you like to stay?	一泊１００ギルになりますがお休みになりますか？
Welcome to 'Shindra Inn'. It's times like this when a nice soft bed will do you good.	ようこそ『シルドラ・イン』へ。このような時にこそ人にはやわらかなベッドが必要なのです
Please	おねがいします
No thank you	今はけっこうです
Welcome to 'Shildra Inn'	ようこそ『シルドラ・イン』へ。
As long as there are guests, our lights will always be on.	この地をおとずれる旅人がいるかぎりこの宿の明かりが消えることはありません
No, thanks	やめとくぜ
It's times like this when a nice soft bed will do you good.	このような時にこそ人にはやわらかなベッドが必要なのです
I'm sorry, but you don't seem to have enough for a room…	まことにもうしわけありませんがお客様、宿泊料のほうが……
Have a great dream of the stars…	すてきな星の夢を……
Well then, please come again.	では、またのおこしをおまちしております
Were you able to hear the stars whispers?	星のささやきはきこえましたか？
Welcome. How 'bout our original cocktail, 'Cosmo Candle?'	いらっしゃい。うちのオリジナルカクテル『コスモキャンドル』はいかがです？
A drink now and then is good for you. It'll relax you a bit. …If you know when to stop.	お酒はいいですよ。人の心をほがらかにさせますから。……ホドホドならね
How about our original cocktail, 'Lifestream'?	うちのオリジナルカクテル『ライフストリーム』はいかがです？
You should forget your troubles with a drink. We humans sure are weak creatures…	お酒を飲んで、つらい心をたとえひとときでもいやせるのなら、それもいい。人間なんて弱いものです……
That reminds me. I heard that someone here in Cosmo Canyon is selling some Healing Materia.	そういえば、このコスモキャニオンのどこかに、いやしのマテリアがあるという話を聞いたことがありますが
Elder Bughe	長老ブーガ
Mmm…	ほいほい
What is it?	なんじゃなんじゃ？
The story of the Ancients	古代種の話を……
…Hmm. That's no fun… I wanna tell a story.	……チェッ。つまらんのう。長話をしたいのう
You can't talk of the Ancients, without mentioning Professor Gast. He used to come here sometimes.	古代種といえばガスト博士なのじゃ。時々ここにも来ておった
He was a Shinra scholar who spent his life studying the Ancients.	博士は古代種のナゾを追い続けた 神羅の学者だったのじゃ。
He was a serious person, you never would have thought he'd be in Shinra.	神羅っぽくない生真面目な人じゃ
Must've been about 30 years ago, when he found the corpse of an Ancient. He was elated!	かれこれ３０年ちかく前になるがついに古代種の死体を見つけたとよろこんでおったな
If I recall…he named it 'Jenova' and was doing a lot of research…	たしか……ジェノバとかいう名前をつけていろいろ研究しておったのじゃが……
One day, he showed up here, looking very distressed.	ある日つかれきった顔をしてここに現れてな
He was mumbling something about Jenova not being an Ancient and that he'd done a terrible thing…	ブツブツ言うには、なんでもジェノバは古代種ではなかったとかとんでもないことをしてしまったとか……
He's been missing since then. I heard that he never went back to Shinra	それ以来、行方不明じゃ。神羅にももどらんかったそうじゃ
So, if you ever see Professor Gast, I want you to tell him…	というわけでなガスト博士に会うことがあったら伝えてほしいんじゃ
That the old man that likes to drink in Cosmo Canyon, wants to hear about the Ancients.	コスモキャニオンの酒好きジイさんが古代種の話を聞きたがっているとな
Well, there's lots to talk about, but most things about the Ancients are all legend and folk tales, and no one knows the truth.	ま、話したいのはやまやまじゃが古代種のことは言い伝えや伝説ばかりで真実はもうだ～れにもわからんのじゃ
Mmm. I'm starting to feel good now. That bartender's cocktails always hit the spot.	ん～ええ気分じゃ。マスターのつくるカクテルはいつも最高じゃの
Is that so? You brought Nanaki back here?	そうかそうか。おまえさんたちがナナキをつれてきてくれたのか
Yeah, thanks.	ウンウン、ありがとうよ
Maybe there are some people here that know about the Promised Land and the Ancients.	ここなら約束の地とか古代種とかくわしい人、いるかもね
RED XIII… I wonder what's happened to RED XIII…? He's as excited as a little boy.	RED XIII……どうしたのかな？子供みたいにはしゃいで
Are you going somewhere?	どこかへ行くの？
Live with the Planet, die with the Planet.	星とともに生き星とともに死ぬ
Maybe this is the way it should be. Who knows? I'm full of booze…	これはこれでいいのかもしれん。酒もたらふく飲めたしの……
It's when I think about the children. I wonder if we can just save our own children.	でも、子供たちのことを考えるとなあ。あの子らだけでもなんとかならんもんかのぅ
Where is the Promised Land…? Maybe Bugenhagen knows.	約束の地はどこにあるのか……ブーゲンハーゲン様はごぞんじなのかもしれんなあ
Isn't Nanaki starting to notice? The reason why Bugenhagen sent him away from the canyon…	ナナキもなんとなくわかりはじめておるんとちがうかい？ブーゲンハーゲン様がナナキをこの谷から出した理由が……
No. 5	ナンバー５
Our cocktails are good but our wine is the best! Please stop in the Turtle's Paradise!!	カクテルもいいけどやっぱり地酒がいちばん！ぜひいちど居酒屋『かめ道楽』へ！！
…num…yawn…Sir… You…forgot…your… …change.	ムニャムニャ……お客さん……おつり……おつりわすれてます……
…num…Yes, I'm coming…	ンニャ……は～い……ただいま……
Are you here to shop?	お買いもの……ですふぁ？
Oh…is that so… then let me…yawn…sleep…	ああ……そうですか……ならほっといて……ムニャ
Oh…is that so…  You're here to shop?	ああ……そうですか……お買い……もの……お買いもの！？
I'm sorry! We hardly ever get any customers. Oh, but I DO have confidence in our Materia!	し、しつれいしました！あんまりお客さんがこないもんで……あ、でもマテリアは自信ありますよ！
I'm…I'm so sorry! It seems I've gotten used to being lazy…	し、しつれいしました！いや、すっかりナマケぐせがついてしまったみたいで……
Oh man… Everything will be over, once Meteor hits…	あ～あ……あの星がぶつかったらぜんぶおしまいか……
I've been selling Materia for 10 years now, ever since I was 16. Geez, what have I been doing with my life?	１６からコツコツとマテリアを売りつづけてもう１０年。いったい僕の人生って……ん？
Welcome! Oh, it's nothing. Now, please make yourselves comfortable!	いらっしゃいませ！いえ、なんでも、なんでもないんです。さあ、どんどん買っていってくださいね！
Thank you very much!	ありがとうございました！
Oh man! This place looks like a real drag. And their Materia sucks, too.	あ～あ！たいくつそうなところだよ。たいしたマテリアもないしね
God. I HATE studying!	う～。勉強はキライだよっ！
Oh, welcome home. You want dinner first? Or…	あら、おかえりなさい。ね、すぐディナーにする？それとも……
Dinner	ディナー
Or…	それとも……
All right, it'll be ready in no time…	は～い、それじゃすぐ……
Oh honey…	まあ♥あなたったら……
Wh…who are you? You…can't just come barging into my home uninvited!!	だ、誰ですかアナタ！か、かってに人のスイートホームに入ってくるなんて！！
Hmm, this place seems like it has a lot of secrets.	なんや、いろんな秘密がありそうなとこやな
So, when's dinner?	ところでオバちゃんごはんまだですか？
All right, all right. I'm making it right now.	ハイハイ。いまつくってますよ
…But I wonder which one is going to eat…	……でもいったいどっちが食べるのかしら……
Those two…uh, Anyway, are you two friends? It really seems strange.	あの２人……というかなんというか……とにかく、あなたのお仲間？変わってるわね
What did they say?	なんやいいましたか？
Oh man, I'm so busy. I need more help. …mummble…complain…	ああ、いそがしい。もっと人手がほしいわ。ブツブツ……
Hmm… I wonder what's going to happen now?	ハァ……どうなるのかしら。これから……
Don't worry, Mom! All of us just need to go through that door!	かーちゃん、へいきだよ！みんなであのトビラの向こうにいけばいいんだ！
Mr. Bugenhagen sealed it so we wouldn't have to worry about it!	ブーゲンハーゲン様がフーインしてるんだからしんぱいないよ！
But what's a seal?	でも、フーインてなんなんだろ……
What's wrong with Bugenhagen? Is he sick?	ブーゲン様、どうしたの？びょうきなの？
No need to be sad, even if something should happen. Everything will return to the Planet…Bugenhagen says so.	何がおきても悲しむことはない。すべては星に帰っていく……ブーゲンハーゲン様はそうおっしゃいます
Just the thought of something happening to Bugenhagen…worries me.	でも、ブーゲンハーゲン様になにかあったらと思うと……やっぱり悲しいです
Nanaki's Room	ナナキの部屋
Don't worry about me. I've seen it many times.	オイラはいいよ～。何度も見たからさ
I haven't been back for a while… Let me rest for a bit.	ひさしぶりに帰ってきたんだ。ゆっくりさせてよ……
It's not that I'm afraid of that big star.	べつにあのでっかい星がこわいんじゃないんです
It's just that, uh, I have a stomach ache… That's why I'm not moving. That's the truth!	えっと、おなかがいたいからジッとしてるだけなのです。ホントなのです！
Both Nanaki and Bugenhagen are gone… I feel so lonely…	ナナキもブーゲンハーゲン様もいないです……あたし、さびしいです……
That Nanaki's slick! He said, I'll protect this canyon'! But he didn't. Forget about Nanaki.	ナナキ、ズルイです！『オイラがこの谷をまもるよ』ってそう言ってたのに！ナナキなんか、もうしらないです……
Sorry…I'm really sorry. But now, I have…	ゴメン……ゴメンよ。でも、今のオイラには……
He's finally come home, but Bugenhagen doesn't seem well…	やっと帰ってきてくれたのにブーゲンハーゲン様、元気ないです……
I want to hear Bugenhagen talk with Nanaki like we used to do…	はやく前みたいにナナキといっしょにブーゲンハーゲン様のおはなしききたいです……
Nanaki, is it true that Bugenhagen left on a journey? Then that means he's better, right? He IS going to come back soon, right?	ナナキ、ブーゲンハーゲン様たびにでたって本当なの？なら、元気になったんだよね？またすぐに帰ってくるよね？
…Don't worry. Grandpa will come back floating, saying 'Ho Ho Hoooo' again…	……だいじょうぶ。じっちゃんのことだからまたすぐにプカプカやってくるさ。『ホーホーホウ』って……
Yea, that's right! Ho Ho Hoooo'!	ウン、そうなのです！『ホーホーホウ』なのです！
It's Ho Ho Hoooo! Ho Ho Hoooo!	ホーホーホウです！ホーホーホウ！
Shildra Inn	シルドラ・イン
Hello. Looking for anything in particular?	やあ、どうも。何をお探しかな？
Hi. Of course, our store's open.	おや、どうも。もちろん、店は開いてますよ
No need to fear. I have the Study of Planet Life' right here.	怖くはありません。私には『星命学』がありますから
No, maybe I AM a bit afraid. But, whenever I'm reading 'Study of Planet Life,' I can forget all my fears.	いや、本当は怖いのかもしれない。でも、少なくとも『星命学』の本をよんでいる間は、そのことを忘れられるんです……
Received "Elixir"!	『エリクサー』を手に入れた！
Received "Telpostone"!	『テレポストーン』を手にいれた！
Received "Magic Source"!	『マジックアップ』を手にいれた！
Received "Full Cure" Materia!	『フルケア』のマテリアを手にいれた！
Gate of Naught	『無用の扉』前
Bugenhagen sealed this door shut.	このトビラってさあ。ブーゲンハーゲンさまがフーインしてるからあかないんだ
How'd he do that? With super glue?	フーインて、なんだろ？きょうりょくせっちゃくざいのことかな？
Nope… It doesn't open… How'd he seal it? With a huge magnet?	う～ん……やっぱりひらかないよ～。フーインてなんなんだろ？きょうりょくじしゃくかな？
It seems like the only one that	やはりブーゲンハーゲンでなければ
can open it is Bugenhagen…	開けられないようだ……
Observatory	天文台
Bugen Research Center	ブーゲンの研究所
CLOUD, this is my grandfather, Bugen.	CLOUD、この人がブーゲンのじっちゃん
He is incredible. He knows everything.	なんでも知ってるすごいじっちゃんさ
Ho Ho Hoooo. I hear that you looked after Nanaki. 	ホーホーホウ。ナナキがちょっとだけ世話になったようじゃの
Nanaki is still a child you see.	ナナキはまだまだ子供だからのう
Please stop, Grandfather. I'm 48.	やめてくれよ、じっちゃん！オイラはもう４８歳だよ
Ho Ho Hoooo. Nanaki's tribe has incredible longevity.	ホーホーホウ。ナナキの一族は長命じゃ
So you see his 48 years would only be equivalent to say that of a 15 or 16 year old in human reckoning.	４８歳といっても人間の年で考えればまだ１５、６歳くらいのものじゃ
15 or 16!?	１５、６歳！？
He's quiet and very deep. You thought he was an adult?	無口で考え深い。あんたはナナキのことを立派な大人だと思っていたのかな？
…Grandfather. I want to be an adult.	……じっちゃん。オイラはやく大人になりたいんだよ
I want to grow up to be able to protect you and the village.	はやくじっちゃんたちを守れるようになりたかったんだよ
Ho Ho Hoooo. No Nanaki. You can't stand on your own yet.	ホーホーホウ。いかんな、ナナキ。せのびしてはいかん
To do that now would destroy you in the long run.	せのびをするといつかは身をほろぼす
Reaching up into the heavens, threatening to snatch the very stars from the great city of Midgar. You've seen it, haven't you?	天にとどけ、星をもつかめとばかりにつくられた魔晄都市。あれを見たのであろう？
Well, that's a bad example. Looking up too much makes you lose perspective.	あれが悪い見本じゃ。上ばかり見ていて自分の身のほどを忘れておる
When it's time for the Planet to die, you'll understand that you know absolutely nothing.	この星が死ぬときになってやっと気づくのじゃ。自分が何も知らないことにな
…When the Planet dies?	……星が死ぬ？
Ho Ho Hoooo. It may be tomorrow, or 100 years from now… But it's not long off.	ホーホーホウ。明日か１００年後か……それほど遠くはない
How do you know this?	どうしてそんなことがわかるんだ？
I hear the cries of the Planet.	星の悲鳴が聞こえるのじゃ
The sounds of the stars in the heavens. While this goes on, planets are born, and die.	天に輝く星の音。こうしているうちにも星は生まれ、死ぬ
What was that?	今のは？
Ho Ho Hoooo. That was a scream from the Planet.	ホーホーホウ。この星のさけびじゃ
Didn't you hear it? As if to say… I hurt, I suffer…	痛い、苦しい……そんなふうに聞こえるじゃろ？
They have come here on a journey to save the planet.	CLOUDたちは星の命を救うために旅をしているんだ
Why don't you show them your apparatus?	じっちゃんのじまんのアレを見せてやったらどうかな
Ho Ho Hoooo. To save the planet? Ho Ho Hoooo!	ホーホーホウ！星を救う！　ホーホーホウ！
Impossible. What can humans do?	そんなことは不可能じゃ。人間なんぞに何ができる
But, then again, I guess it wouldn't hurt to show him.	しかし、なんじゃ。わしのじまんのアレを見るのはけしてムダではなかろう
He brought friends, too. I'll go get them.	ああ、その人たちもCLOUDの仲間だ。オイラが行くよ
CLOUD, please call one of them.	そうだCLOUD。誰かつれておいでよ
Only three people can fit in Grandfather's machine.	じっちゃんのアレは定員３名だからね
Bugenhagen!	ブーゲンハーゲンさま～！
Several odd looking people are here.	またヘンテコな人たちがいっぱいきましたです～
The whole place has gotten busy all of a sudden.	なんじゃ、急にさわがしくなったな
Don't worry. My machine won't run away. Go and invite your friends.	そうあわてんでもわしのアレはにげたりせんよ。仲間もさそってくるといい
Here, over here. The door's unlocked, come in.	お～い、こっちじゃ。とびらのカギは開いとるから入ってくるがいい
I hope great Bugenhagen will take care and not overexert himself.	ブーゲンハーゲン様のことどうかよろしく。あまりムリはさせないように
'Ho Ho Hoooo.' I may be light, But I'm not as young as Nanaki.	『ホーホーホウ』なんてフワフワしてても、ナナキのように若くはないからして……
Oops. That will only get you angry. You're just like me.  Ho ho ho.	おっと。そんなコト言ってると怒られるかの。ワシも似たようなもんだしの。ホッホッホ
Ho Ho Hoooo. It looks like you have them all together. Then let's begin.	ホーホーホウ。そろったようじゃな？それじゃ、はじめようかの
I'll stand there.	ホレ、そこにたつんじゃよ
So pretty…It's just like the real thing!	きれい……ホントの宇宙みたい。ね、CLOUD？
Wow! It's just like the real thing!	うわ～！　本物の宇宙みたい！
This is really somethin'!	こいつはすげえ！
Whew! Just like the real thing!	ひゃぁ～！ほんまもんみたいや～！
Woa! Wooooah! Pretty good, surprisin' me!	おっ！　おおっ！アタシを驚かせるなんてやるじゃないか！
Hmm, yes pretty good. This is my laboratory.	ほほ、そうじゃろう。これがワシのじまんの実験室じゃ
All the workings of space are entered into this 3D Holographic System.	この宇宙の仕組みが全てこの立体ホログラフィシステムにインプットされておる
Hey! A shooting star!	あっ！　流れ星！
Look, look! A shooting star!	みてみて！流れ星！
Whoa! There goes a shootin' star!	おわっ！　流れ星や！
Whoa! Shootin' stars!	おおっ！　星が流れてるぜ！
Wh, what the? A shooting star?	な、なんだ？　流れ星？
Wow, how wonderful.	うわ～、ステキ
Oh! This is amazing!!	スゴイ、スゴイ、スゴイスゴ～イ！！
I'm so overwhelmed!	感激もんですわ～！
This's really somethin'!	こいつはすごいぜ！
Whew!!	ヒュ～！！
