Wall Market	ウォールマーケット
Wanna see somethin' awesome? Follow me!	すんごいの見れんだぜ。　ついてこいよ
Honey Bee Inn	蜜蜂の館
Hey!! CLOUD!!	キャッ！！CLOUD！！
Man… Should I go…or not?	ああ……。入るべきか……　入らざるべきか？
…I get so mental at times like this. I'm hopeless!!	ああ……俺ってこういうときなんか文学的になっちゃうんだよな。まいるぜ！！
Hey!! Aren't you?	あ！！　あんたは？
What?? You mean you're…too?	エェ！！　あんたも？
Yeah, me too.	ああ、俺もだ
Don't bring me down to your level.”	おまえといっしょにするな
You're TIFA's childhood friend, and you brought a new girlfriend to a place like this!?	TIFAちゃんの幼なじみでありながらあ、新しい彼女を連れてこんなところへやってくる
What kind of guy are you!!	なんという人なんだ、あんたは！！
What…me too. I decided this after a lot of deep thought. My last memories of Midgar…you know.	エッ……俺だってよ。よく考えたすえの結論だ。最後のミッドガルの思い出によ…
But… That guy over there kinda scares me.	でもよ……あそこの男が恐くて
What the hell!? You *%^&!! This ain't no #$*&^% show!! I'm busy right now!!	あんだよ！！　てめー！！みせもんじゃねえぞ！！オレは、いまいそがしいんだよ！！
I'm feelin' like there's gonna be a fight!!	ビンビンに感じてんだよ！！戦いの予感ってやつをよ！！
Mmm? That's too bad.	ん……？ざんねんだね
This used to be where the Honey Bee Inn was!! Now, it's a barrack for the Shinra soldiers.	ここは、蜜蜂の館だった場所！！いまじゃ、神羅兵の館さ
Welcome!! Even unpopular dweebs like you may meet their destiny here!!	いらっしゃい！！もてない君でも、ここ蜜蜂の館でなら運命の子に出会えるはず！！
Pretty good, huh? Ha ha ha!	よかったねえ、ゲヒゲヒッ！
Ha ha ha !!	ゲヒッゲヒッ！！
All the young bucks gather and deceive this innocent young girl…	若いもんがよってたかってな～んも知らないかわいい娘っ子をたぶらかす……
Ohhh boy!! It's healthy, it's wholesome!!	ウ～ン！！　健全健全！！若いうちはこうでなくっちゃいかん
Yeow!! Hey, Princess!!	ヒュ～！！おじょうさんだぜ！！
Uh…ummm I, I…	え……えっとお、俺……
Uh…ummm…	あ…あの…
I'm…Jo…Johnny… Nice to meet you.	ジョ、ジョニーっていいます…。よろしく
Yeah, I only talk to the pretty ones.	ほんとっもう、きれいな子にしか声かけてないんだから
Mmmm, you're the one. You're just great.	ん～、きみがいちばん。最高なんだなっあ
Urrrrgh…no way… I can't go on.	くっ～～　どうしてもダメ……ここから先に進めないです
Between our differences and my pay, it just isn't cutting it.	ボクのレベルと給料じゃたりんです。身分がちがいすぎるです
Welcome!! Even unpopular dweebs like you may meet their destiny here!!	いらっしゃい！！もてない君でも、ここ蜜蜂の館でなら運命の彼女に出会えるはず！！
You looking for a girlfriend too?	あなたも彼女さがしですか？
You know a girl named TIFA?	TIFAという子を知らないか？
This place doesn't interest me.	俺はこんな場所には興味ない
Hey, you're pretty fast. TIFA's our newest girl.	おっ、あなた、聞き耳はやいねえ。TIFAちゃんはムチムチの新人さんだよ
But, unfortunately, she's having an interview right now.	でも、残念です。TIFAちゃんはいま面接中
Here at the Honey Bee Inn, it's customary for all the new girls to be taken to Don Corneo's mansion.	蜜蜂の館のならわしでね。新人の子はドン・コルネオの屋敷につれてかれるんだ
Don Corneo's a famous dilettante. Now he wants to settle down and is in the market for a bride.	ドン・コルネオは有名な独身貴族。そろそろ身をかためるってんでおヨメさんさがしに熱心でねえ
Hmm…Seems to like it just fine. Good for you.	ほう……まにあってますか。そりゃ、けっこうですな
Mmm! Please, please!	んっ！どぞどぞ！
The Honey Bee Inn is a private club. Only members can go in. Shoo, shoo.	蜜蜂の館は会員制になっております。残念ですが、おひきとりください
Hey! Is that a "Member's Card" I see shining in your hot little hand? Please, come in.	おっ！右手にかがやく『会員カード』どうぞ、お通りください
…Hmmmm. Sure, good excuse…	…………ふ～～～～ん。そうやって、ごまかしますか
Looks like I need to go inside to complete my disguise.	ここに女装に必要ななにかがある。俺にはわかるんだ
See ya!	いくぜ！！
Uh, sir!! It's almost closing time…	あっ、お客さん！！もうすぐ閉店なんで……
So, please remember any personal belongings.	忘れ物などなさらぬよう気をつけてくださいよ
Uuuh! I want flowers too! But, I get so nervous in front of cute girls…	くっ～～！　ボクもお花ほしい～！でもでも、かわいい女の子の前だときんちょうしちゃって……
It just seems natural to get cautious…	なんだか、自然と警戒しちゃうんです～
I bought some pretty flowers from AERIS.	AERISちゃんからきれいなお花買っちゃいましたよ
500 gil, a little expensive. Well, at least I got her name.	５００ギル、ちょっと高いかなあ。名前きけたから、まあゆるしますか
AERIS… Thanks for the flower and 1 gil.	AERISちゃん～～。お花、１ギルありがとう
I'll treasure this! I'm going to dry it and keep it for good luck.	俺、大切にすっから！押し花にして、お守りにすんだ
I asked AERIS for a date…	AERISちゃんデートにさそったらさ
And she said not even if I paid her 1,000,000 gil. Her flowers cost 300 gil, too… She's a good business woman.	１００万ギルつまれてもいやだって。お花は３００ギルもするし……。意外と商売じょうずだぜ、ありゃ
They bought lots of flowers from me.	お花たくさん買ってもらっちゃった
It's closing time. …yawn…I'm so sleepy…	もう閉店なんですよ。ふぁぁ～～　ねむいです、ハイ
Sir, is everything all right? Look, AERIS looks so lonely.	お客さん、いいんですか？ほら、AERISちゃんさびしそうじゃないの
Uurrgh! So, this is it for today, huh?	く～～っ！　今日もここまでか……
Ummm, young girls…soft skin. Ummm, OK, I'm refreshed now!	お、若いおなごにピチピチおはだ。う～ん、目がさめましたよ！
Mmmm? Pretty hard. You work out?	……ん？　かたいねぇ。きたえてるの？
That's funny. A hard, spiky hairstyle! Looks kinda familiar…	おっかしいなあ。バリバリにツンツンのヘアスタイル！見覚えあるんだけどなあ
Hey!! It's you!!	おうっ！！あんたかい！
Sorry, but I already heard about you. In addition to dressing like a woman, it seems you like to smash and grind things.	悪いけど、噂は聞いたぜ。女装が趣味の上にキュ～っとすりつぶすのが好きだって
We only let cultured customers in! Got it? Then you'd better leave!	うちは上品なお客様以外、お断り！わかったら、おひきとりねがうぜ！
Heee… The Shinra have occupied this shop!	イヒヒ……この店は神羅が占領した！
This shop is now under Shinra rule.	占領です
Corneo Hall	コルネオの館
Hey, you got a cute one with you!	ね、どう？　うちのドンと楽しいひとときをすごしてみない？
This is Don Corneo's mansion. He's a big shot here in Wall Market.	ここは、ウォールマーケットの大物、ドン・コルネオ様のお屋敷だ
Listen, the Don doesn't like men. So get the hell outta here.	いいか、ドンは男には興味ないんだ。さっさとどっかへ行ってくれ
Look, the Don's not into men. So don't let me catch you around here again…	いいか、ドンは男には興味ないんだ。さっさとどっかへ……
Hey, this looks like the Don's mansion. I'll go take a look.	ね、ここがドンの屋敷みたい。わたし、行ってくるね
I'll tell TIFA about you.	TIFAさんにあなたのこと話してきてあげる
No!! You can't!!	ダメだ！！
Why?	どうして？
Do you know what kind of …place this is?	ここは……その…………わかるだろ？
Then what am I supposed to do? You want to go in with me?	じゃあ、どうする？あなたもはいる？
Well being a man, that'll be pretty hard. Besides if I bust in there, it'll cause too much commotion.	俺は男だからな。むりやりはいったら騒ぎになってしまう
But, I just can't let you go in alone…Oh, man…	かといってAERISにいかせるわけには……いや、しかし……
First…we need to find out if TIFA's alright…	まず、TIFAの安全が確認できな……
What's so funny, AERIS?	なにがおかしいんだ？AERIS？
CLOUD, why don't you dress up like a girl? It's the only way.	CLOUD、女の子に変装しなさい。それしかない、うん
WHAT!?	ええっ！？
Just wait. I've got a cute friend I want to bring.	ちょっと待っててね。きれいな友だち、連れてくるから
AERIS! I can't…	AERIS！いくらなんでも……
You ARE worried about TIFA, aren't you? Then come on, hurry!	TIFAさんが心配なんでしょ？さ、早く早く！
A friend, huh? Sounds pretty good to me.	お友だちも、か……そりゃいいな
The Don will be happy, too. Who knows, maybe I can even…heh heh.	その方がドンもよろこぶしもしかしたら……ウヒヒ
Bar	酒場
HEY…someone's IN here… Don't look!	う………あんたなに開けてんだよ……見てんじゃねえよ…………
Got any medicine on you? I'm too hyper…and…ugh.	ねえ、あんたなんか薬もってないかい？はしゃぎ過ぎちゃってさ……う………
What…urk…	なんだよ………う………
Give her medicine	薬をわたす
Don't give her it	薬をわたさない
Huh? You'll really give me some? Thanks.	え？本当にくれるのかい？ありがたくもらうよ
Phew, I feel better now. This is for your kindness.	ふー、すっきりしたよ。お礼に、これあげるよ
What is this? Oh well.	なんだこりゃ………まあいいか
It didn't do a thing, but thanks anyways. Here, this is for your kindness.	役には立たなかったけど気持ちはうれしかったよ。お礼に、これあげるよ
Wasn't there a Pharmacy here?	たしか、薬屋さん、あったよね？」
Received Key Item "Cologne"!	キーアイテム『コロン』を手にいれた！
Received Key Item "Flower Cologne"!	キーアイテム『フラワーコロン』を手にいれた！
Received Key Item "Sexy Cologne"!	キーアイテム『セクシーコロン』を手にいれた！
Hey, could you do somethin' for me? Someone's been in there all day and they're not comin' out. I can't hold it anymore!	おい、どうにかしてくれよ。誰かが入ったきり出てこないんだ。もう、ガマンできないよ
Whoops!	うわ！　ととと
Yes? If you want to order, do it at the counter.	なんですか、お客さん。注文ならカウンターごしに　おねがいします
Man, times are bad.	ふ～うまくいかんもんだのう
Excuse us, are you the father of the girl at the Clothing Store?	あの～、服屋の親父さん、ですよね？
I own the Clothes Shop… but I ain't your father.	確かに服屋だがあなたの親父ではないぞ
I didn't say that…	そんなこと、言ってない……
Make me some clothes.	服を作ってくれ
I don't make men's clothes. And I don't feel like makin' anything right now.	わしは男物の服は作らんのだが？それに、あまり気乗りがせんしな
CLOUD, you wait over there for a second. I'll try and talk to him.	CLOUD、すこ～し、待ってて。わたし、話すから
Why don't you go over there and have something to drink.	向こうで、なにか飲んでていいよ
You know, Mister.	あのね、おじさん
He always said that just once, he'd like to dress up like a girl.	あの彼がね、一度でいいから女の子の格好したいって言うの
So, that's why I wanted a cute dress for him…	それでね、かわいいドレス着せてあげたいんだけど……
What!? A tough lookin' guy like that?	なんと！あんな無愛想なやつがか？
So, how 'bout it? Will you make him one?	ね、ね、どう？作ってくれる？
…might be interesting. I was gettin' a little bored just makin' regular clothes.	ふむ、なかなかおもしろそうだのう。普通の服ばかり作っておったのでちょっとあきとったんだよ
Then you'll do it for us?	じゃあ、作ってくれる？
Yeah, all right. What kind of dress you want?	ああ、よかろう。それで、どんなドレスがいいんじゃ？
Something…	はだ触りは
That feels clean	さらっとしたの
That feels soft	さわっとしたの
hm, hm, hm, and?	ふんふん、それで？
And something…	ひかり具合は
shiny	きらきらしたの
that shimmers	つやつやしたの
Hmm, got it. Y'know I got a friend that has the same taste as him. I'll go talk to him.	ふんふん、ようわかったわい。知り合いにその手のことが趣味な奴がおるので、ちょっと聞いてくるわい
Hey, hold on. Wait till I get an image in my head. Gulp…ummm, that's good.	なんじゃ、そう急ぎなさんな。イメージがわくまで待たんとな。ゴクゴク　ふー　うまいのう
…And then?	…それでね…
Hmm, hmmm, oh really?	ふふふ、へー
Scary, isn't it? You just never know when the plate might come crashing down.	怖いよね。いつこの上のプレートが落ちてくるかわからないね
Yeah. I'd like to climb up to the plate if I could.	そうよね。上のプレートへ登れるなら行ってみたいね
Inn	宿屋
Welcome. It'll be  Gil per night.	いらっしゃいませ。一泊　ギルです
Stay	泊まる
Don't stay	泊まらない
All right then… Please come again.	そうですか、またいらしてください
You don't have enough money.	お金が、足りませんよ
Does he mean this?	これのことか
Don't buy it	買わない
Buy the one for 200 Gil	２００ギルの物
Buy the one for 100 Gil	１００ギルの物
Buy the one for 50 Gil	５０ギルの物
I don't have enough money. I'll get him the other one.	お金が足りないな。別のやつにしよう
Thank you very much. Please come again.	ありがとうございました。またいらしてください
Materia Store	マテリアショップ
…We're closed now.	………今は休みだよ
How was it?	どうだった？
Not yet.	まだだ
Hmm, I'm countin' on you.	そうか、頼むよ
I'm sorry, we're sold out and I've got nothing for you.	すいませんねえちょっと切らしちゃってなんにもないんですよ
Hey man. Got a minute? I need to talk…man to man.	なあ、お兄さん。お兄さんを男と見こんで相談があるんだけど聞いてくれないかな？
What is it?	言ってみろ
Not interested	興味ないな
Sorry about that. Just forget it.	そうか、すまなかったな。忘れてくれ
Really! I really appreciate it.	本当か！　そりゃありがたい
I'm sorry, but young lady… Would you turn the other way, for a second?	………で、悪いんだけどそっちのおじょうさんちょっとだけ向こうを向いててくれないかな
Why?	え～、どうして～？
…AERIS.	………AERIS
Gosh!	もうっ！
I'm sorry, lady.	すまないね、おじょうさん
Now here's the thing. Do you know that vending machine in the Inn?	で、本題なんだけど宿屋の中に自動販売機があるのは知っているか？
I'm itchin' to know what they're selling in it. I just can't ask a girl to go get it.	俺はあの自動販売機でなにを売っているのか気になってしょうがないんだよ。ちょっと女性には頼めない物らしいんだよ
What? Why don't I buy it myself? Well to tell you the truth, I got in a fight with the guy at the Inn and can't go there anymore. Come on, so how 'bout it?	え？　自分で買いに行けって？うーん、実は宿屋の奴とケンカしててね行きにくいんだよね。なあ、頼むよ
I'll go	引き受けよう
Finished?	もういいの？
Good, thanks. I'll be waitin' here when you're done.	そうか、ありがたい。頼んだよ
I got it.	持ってきたぞ
Oh, really!! Hey!	おお、本当か！！あっ！
Geez.	もう
And, what was it?	で、なんだった
A protein drink set. That jerk. I'm gonna do so much more business than him, his head'll spin.	気合充填ドリンクゴールドセットかあいつめ、きっちり商売してやがるぜ。まけてられんな、こりゃ
A Stamina Drink Set. That jerk. I'm gonna do so much more business than him, his head'll spin.	スタミナ回復ドラッグセットかあいつめ、きっちり商売してやがるぜ。まけてられんな、こりゃ
A Muscle Relaxing Cream Set. That jerk. I'm gonna do so much more business than him, his head'll spin.	キン肉スッキリぬり薬セットかあいつめ、きっちり商売してやがるぜ。まけてられんな、こりゃ
Thanks, bud. I'm motivated now. Take this, it's not much…	お兄さん、ありがとうよ。やる気になってきたぜ。気持ちていどだけど、もらってくれよ
Received Key Item "Diamond Tiara"!	キーアイテム『ダイヤのティアラ』を手にいれた！
Received Key Item "Ruby Tiara"!	キーアイテム『ルビーのティアラ』を手にいれた！
Received Key Item "Glass Tiara"!	キーアイテム『ガラスのティアラ』を手にいれた！
Let's do some shoppin'.	おかいものしましょうや
Good luck.	頼んだよ
Come by again. I'll still be here doin' business.	またよってくれよ。ちゃんと商売してるからさ
You want somethin'? I don't wanna hear any complaints bout how things look.	なにか用か？資材置き場のもんくは聞かねえぞ
How 'bout it? Wanna buy somethin'?	どうじゃ？何か買わんか？
You goin' up to the plate? You better have batteries.	あんたも、上のプレートへ行くのか？このジンクバッテリーが必要になるぞ
You're gonna sell me something you just found?	ひろったものを売りつけるのか？
Hey, you knew? I repaired them, so it's all right.	お、よく知ってるな。修理してあるから、大丈夫さ
Why do I need batteries to climb up to the plate?	上のプレートへ登るのにどうしてバッテリーが必要なんだ？
You'll find out when you get there. How 'bout 100 gil for each?	登ってみりゃわかるよ。３つで３００ギルだ。買うかい？
All right, I'll take them	わかった、買おう
I think you're full of it	信じられないな
All right then, go see for yourself. You'll be back again.	そうか、自分の目で確かめてまた来たらいいだろう
Great! How 'bout another one?	そうかそうかもう１つどうだい？
…Hmm.	……そうだな
No, that's enough	もういらない
Huh? Sorry, those were the last ones.	ありゃ？すまん、いまので最後だ
Received "Batteries"!	『ジンクバッテリー』を手にいれた！
Come again.	また、こいや
Hmm, looks like you're a little short, son. Come back again.	残念だな、お金が足りないよまた、こいや
Oh, so you're back? I got something good for you. Why don't you buy it?	よう、また来たな。ちょっと出物があるんだが買ってかないか？
You probably just found it lying around somewhere, right?	どうせ、どこかでひろったんだろ？
I'll admit that I found it, but you may never be able to get another one like it again.	まあ、ひろったのは認めるがこんなにいいものはもう手にはいらないかもな
How 'bout 129,000 gil for it?	１２９０００ギルでどうだい？
…What kind of price is that?	……なんて値段だ
Oh, all right…I'll buy it	しかたがない、買おう
No, I don't want it	いらない
Hey, much obliged. You'll never regret it!	おう、ありがたい。絶対に、損をしたと思わないよ
Hmm, that's too bad. This's really something.	そうか、残念だな。おもしろそうな物なんだがな
Received "Sneak Glove"!	『盗族の小手』を手にいれた！
Item Store	道具屋
…	……………　　
…Beeeeeep… blipppp…	………ヒ……パー…………
…Broken.	壊れてるぞ
Whoa!	うわっ！
Hmm? Let me see that.	どれどれ？オレ様にまかせとけって
It should work now. Go on, try it now.	これで、動くんじゃねえか？ネエちゃん、触ってみてくれよ
CID! What did you do!?	CID！　何をしたの！？
Don't get mad, you'll just get more wrinkles. Hey, something's comin' out.	そう怒るなよ、シワが増えるぞ。お、何か出てきたぜ
Received "Premium Heart"!	『プレミアムハート』を手にいれた！
Pharmacy	薬屋
Oh, you have a coupon? Then please select any one medicine you like.	おや、クーポンをお持ちですね。それでは、商品を１つだけ選んでください
Disinfectant	消毒薬
Deodorant	消臭薬
Digestive	消化薬
Don't just stand there, say something!!	いるならいるって言ってくださいよ
Received Key Item "Disinfectant"!	キーアイテム『消毒薬』を手にいれた！
Received Key Item "Deodorant"!	キーアイテム『消臭薬』を手にいれた！
Received Key Item "Digestive"!	キーアイテム『消化薬』を手にいれた！
Here you are.	はいどうぞ
Diner	定食屋
Welcome! Sit wherever you like!	いらっしゃい！どうぞ、お好きなところへ
Yes, what will you have?	はい、何にしましょう？
Hmm…	そうだな………
Korean B.B.Q. Plate	焼肉定食
Sushi Plate	さしみ定食
Today's Special	今日のおすすめ
One Korean B.B.Q. Plate.	焼肉定食でーす
One Sushi Plate.	さしみ定食でーす
One Today's Special.	おすすめでーす
Comin' up!	あいよー！
In this store, you pay first. It'll be 70 Gil.	当店は、料金前払いになっております。お代は　７０ギルになります
Thank you. Just a second.	ありがとうございます。少々おまちください
Hey! Cancel that last order!	店長！　オーダー取り消しです
Excuse me! You can't come in here and order things without any money. Come again…when you have money.	お客さん！お金もないのに注文しちゃだめですよ。次は、お金のある時にきてくださいね
There you go. Enjoy.	おまたせしました。どうぞ、ごゆっくり
Thank you. Here's an item coupon for the Pharmacy.	ありがとうございました。薬屋商品クーポンをどうぞ。
You can exchange it for one item there.	薬屋で、商品ひとつと交換できます
That's our last coupon for now.	クーポンがなくなりましたので、このサービスは終了させていただきます。
Watch for our NEXT promotion!	次なるサービスにご期待ください
Keep out of the kitchen!	お客さま、キッチンへは入らないでください！
Have a seat over here.	どうぞ、ここへおすわりください
Sit down	すわる
Don't sit down	すわらない
Received Key Item "Pharmacy Coupon"!	キーアイテム『薬屋商品クーポン』を手にいれた！
No comment	……………
It was all right	まあまあだな
I've had better dog food	口にあわなかった
Thank you very much!	ありがとうございました
Umf…grunt…smack… Don't sneak up on me like that!	ん…が…ぐふっ……急に話しかけんなよ
I'm gonna get another Pharmacy Coupon today.	今日もこれで薬屋商品クーポンをゲットだぜ
I always get the Special.	俺はいつもおすすめ定食さ
It's thanks to the Don that we can eat like this.	こうやってメシが食えるのもドンのおかげだよ
…umf…scarf…glub…	モグモグ………
Sorry! But we're completely full! Please come again!	すいませーん。今、満席なんです。また、来てください
Men's Hall	男の館
Oh dear. I've gained weight again.	やーねぇ。またふとっちゃったわ
Join the club.	あなたも
Try it with us.	ごいっしょにどうですか
More strength.	もっと、体力ですね
I bet you could climb all the way up to the upper plate if you used that pipe.	あのパイプを登り切れば上のプレートへ行けるそうですからね
Don't you know? The old man at the Weapon shop can tell you more about it.	おや、ご存じない。武器屋の戦車じいさんがくわしく教えてくれますよ
These days, you've got to have strength. Come on, you should work out.	こんな時だからこそ体力ですよ。あなたも、きたえましょう
All right…1, 2, 3. Squats are all in the rhythm.	はい、１、２、３スクワットはリズムですよ
I'm doing my best, bro'!	あにきー！がんばりやすぜー！
How's… this!?	これでどうだー！
Are you the one who wants to be cute?	あなたね？かわいくなりたいのは
Cute?	かわいく？
Right.	そうなの
And about the wig…	それで、かつらなんだけど……
Yeah, I heard. But it'll cost ya.	ええ、聞いてるわよ。でも、タダってわけにはねぇ
Urrrrgh!!!	うぉー！！！
Big Bro!! The only way you're gonna get cuter is if you can beat Big Bro!!	兄貴！かわいい格好は兄貴を極めた者のみができるんですぜ！！
That's right!	そういうことじゃー！
So, you've got to compete with us!	ということでわしらと勝負じゃー！
You're right. Let's do squats.	そうね。こいつらとスクワットで勝負しましょう
All right! We'll beat you out of this gym!	ようがす！わしらがコテンパンにしてさしあげますぜ！
Are you…	もしかして、あんたは
THE beautiful Bro?	きれいな、お兄さん？
What? You didn't know? Always running around here sayin' Big Bro' this, Big Bro' that…	いまごろなにいっとるんじゃい。兄貴は、兄貴はそれはもう…
Never mind that, come over here.	あんた、いいからこっちへきなさいよ
No, I'll explain the rules.	じゃあ、ルールを説明するわね
From the ready position, push [SWITCH] to squat, push [CANCEL] to get up, and push [OK] to go back to the ready position.	かまえから□ボタンでしゃがむしゃがみから×ボタンで立つ立ちから○ボタンでかまえへ
So it's [SWITCH], [CANCEL], [OK] in that order.	□ボタン、×ボタン、○ボタンと、順番に押すのよ
Got it?	わかった？
Don't have it	わからない
Got it	わかった
Then I'll explain it again.	じゃあ、もう一度説明するわよ
Whoever has the most squats after 30 seconds gets the wig.	３０秒でこなした回数がこいつよりも上だったらこのかつらをあげるわ
I'm not going to lose.	絶対に負けないっすよ
Big Bro's wig is MINE!!	兄貴のかつらはわしらのもんじゃー！
Just be quiet…	やかましいわね、こいつ
It's not fair for you to start right away, So, you want some practice?	ぶっつけ本番ってのもかわいそうだから、練習する？
A little	軽く練習でもする
Don't need to practice	練習など必要ない
Then, start practicing!	じゃ、練習始め！
You had  squats.	いまので、回ね
Now let's begin the real thing. Start!	じゃあ、本番やるわよ。本番、始め！
He had  squats and you had  squats.	こいつが、回であなたが、回ね
Sorry You lose.	残念でした。あなたの負けね
Oh, a tie.	あらまぁ、引き分けね
Congratulations, you win.	おめでとー、あなたの勝ちね
Since the old man from the clothing store asked me, I can't keep it from you, so…	服屋のおやじの頼みだから渡さないわけには、いかないから
Oh, now where did I put it?	あれ、どこへしまったのかしら？
All right then.	しかたあるまい
Here, take this.	あんたには、これをやろう
Stupid! What kinda place is that to hide it in!?	こん、ボケ！なんてとこに隠してやがんだ！
Uuuuhh, Bro's fists of steel cut to the bone!	うう、兄貴の鉄ケンは骨のズイまでしびれやすぜ…
Sorry…you should still be able to use it if you disinfect it first.	ごめんね、ちょっとなんだけど消毒すれば使えるから
Received Key Item "Wig"!	キーアイテム『クセゲのかつら』を手にいれた！
Good job. Here's a hand-me-down.	あなた、よくがんばったわね。あたしのお古をあげるわね
Hey, Bro I…I was supposed to get that.	あ、兄貴そ、それはあっしがもらえるはず……
Shut up! You have no room to talk, tying with a beginner like him!!	やかましい！素人さんと引き分けといてなまいき言ってんじゃねえ！！
Received Key Item "Dyed Wig"!	キーアイテム『チャパツのかつら』を手にいれた！
You're really something. Okay, I'm a man of my word, here you are.	あんた、すごいねぇ。約束通り、これをあげるよ
Big Bro I'm so mad I'm so so so---mad!	兄貴っーくやしいっすよーむちゃくちゃくやしいっすよー！
Shut up! Don't cry, just because you lost!	やかましー！負けたあげくに、めそめそすんじゃねえ！
Received Key Item "Blonde Wig"!	キーアイテム『ブロンドのかつら』を手にいれた！
Take care of it.	大事につかってね
Big Bro… Get a hold of yourself.	あにきーしっかりしてくだせー
Hmm, pretty good.	あら、けっこういけてるじゃないの
Ehhhh, so so.	へぇ、まあまあね
Ummm, not quite there.	うーん、もうちょっとね
So? How's it?	どう？　がんばってる？
Boutique	ブティック
Excuse me! I'd like to get a dress.	すいませ～ん！ドレス１着、くださいな
Umm, it might take a little time. Will that be all right?	うーん、ちょっと時間がかかるかもしれませんがかまいませんか？
What's the problem?	何かあったんですか？
