Under Junon	アンダージュノン
They said a plane carrying Huge Materia would be taking off from the airport above.	なんでも、大きなマテリアをつんだ飛行機が上のエアポートから飛びたつんだとか
I remember years ago, seein' the Shinra build a long pipe underwater.	ワシャ、むかし神羅が海底に長～いパイプをつくっていたのを見たことがある！
The underwater reactor is connected to Junon by a pipe. You should be able to get to the reactor through it.	海底魔晄炉ならたぶん上のジュノンからつながっている海底パイプを通っていけるはずじゃ
What? CLOUD is missing?	なに？CLOUDくんが行方不明じゃと！？
What? The Northern…what? Sorry, but I don't think I follow.	なに？　北の……なんだって？残念じゃがワシには、よくわからん……
But…I think I remember hearing Priscilla saying 'Life…something' before.	じゃが……ライフなんたらといえばプリシラから聞いたような気がするな？
I think I've heard Priscilla mentioning 'Life…something' before.	ライフなんたらといえばプリシラから聞いたような気がするな……
Listen CLOUD, I'm over the hill, but Priscilla is still a child.	なぁ、CLOUDくん……ワシはもう老いぼれじゃがプリシラは、まだ子供なんじゃ
Isn't there a way to protect at least her from Meteor?	なんとか、あの子だけでもメテオから、守る方法はないんじゃろうか……
Ever since…Shinra built that city up above during the war…ugh, ugh.	戦争中にぃ……神羅が上の街をつくってからぁ……ゲホゲホ
There's been no fish in the water! It got so polluted…phew…	サカナもぉ……さっぱりとれんわ！海が汚れてしもうてな……フゥ
It seems like there's something going on again up there.	また急に上の街が騒がしくなってきたみたいなんじゃ！
Is that huge plane going to take off again with that deafening roar?	あの、でっかい飛行機がうるさい音をたてて飛びたつんじゃなかろうか？
I don't think I'll ever…cough… …live to see things… …beautiful again.	ワシが生きている間には……ゴホッもどることはないんじゃろうな……むかしのような…きれいな海には
Once Meteor hits, not just the fish, but the whole ocean will be destroyed…	メテオが落ちてきたらサカナどころか、海まで失ってしまうんじゃなぁ……
There's a dolphin in the bay. If you get close enough and blow the whistle, it might come to you.	入りえにイルカがおったぞ。近づいてホイッスルを吹いたらよってくるかもしれんな
If you want to get on the ship, why not have the dolphin take you?	船に乗りたいんならイルカに船まで連れていってもらったらどうじゃ？
Wow, now this is rare. We almost never have anyone other than the Shinra people visit this town.	おんや？　めずらしいねぇ。神羅以外の人間がこの村にやって来るなんてねぇ
I know you guys want to go to the Western Continent, but the only way is on a Shinra ship.	あんたたち西の大陸に行きたいんだろうけど神羅の船に乗るしか方法がないよ
Hey, come in for a while.	ちょっと、おはいり
For the past few decades, the only thing I've been hearing about is the Shinra.	ここ数十年、耳に入ってくるのは神羅のことばかりなんじゃ
I miss the times when we used to talk only about fish…	サカナの話ばかりをしていたむかしが、なつかしいねぇ……
I almost passed out when I saw Weapon.	ウェポンを見たときにゃ本当にコシがぬけてしまったよ
I heard Weapon was beaten, but a Shinra soldier told me there are 4 more.	あのウェポンは倒されたようだけど神羅の兵士が、あと４匹ウェポンがいると言っとったんじゃ
They say Shinra's gathering Huge Materia from around the world and bringing it to Junon.	神羅は、世界各地のヒュージマテリアを上のジュノンに集めているらしいんじゃ
Bringing it to Junon must mean they want to use their airplanes.	わざわざジュノンに集めるということは飛行機を使いたいんだろうね
I've noticed there's been a lot of Shinra ships recently. I think they're going to the Junon Underwater Reactor.	それと最近、神羅の船の出入りが多いと思ったらジュノン近海の【海底魔晄炉】に行っているようなんじゃ
Isn't Shinra trying to transport the Reactor's Huge Materia?	神羅は、魔晄炉のヒュージマテリアを運び出そうとしているんじゃないかね？
I heard a war's about to start! And that's why they're moving the big cannon!	戦争が、おっぱじまるのかい！？上では、大砲を移動させていたそうじゃよ！
Could be the end of the world…	もうこの世は終わってしまうんじゃろうか……
Hmm, what?	ワシが、ほしいのかい？
If you see a weapon you want, you'd better buy it.	ほしい武器があったら買っていっておくれ
Dolphin Offing	イルカの入りえ
…That's how it is.	……というわけなんだ
Great…	まいったな……
Hey! Hold on, we're coming!	おい、助けるぞ！
A gift? What am I supposed to do with it!?	プ、プレゼントって……どうしろっていうんだ！？
Jump to the top of the pole?	柱の上までジャンプだって！？
No! You got it all wrong! We're fighting against the Shinra!	ちがうぜ！オレたちは、神羅と戦ってるんだ
Hey! Look at that!	おい！　あれを見ろ！
Now ain't that something! I ain't never seen no dolphin jump like that!	見せてもらったぜ、イルカのジャンプすごいもんじゃねぇか！
Good luck CLOUD! If you make it, we'll follow you!	CLOUD、がんばれよ！おまえが上手くやったらオレたちも行くからよ！
Whoa, I'll hold the PHS for you. It'll break if it gets wet.	おっと、それにＰＨＳをあずかっておいたぜ。ぬれたら壊れちまうからな
No…stay calm…	ちがうわ、安心して
Look at that!	あれを見て！
No you're wrong! We have nothing to do with the Shinra.	ちがうの！わたしたち、神羅と無関係なのよ
What's that!?	あれはなにっ！？
We don't get along with the Shinra.	……神羅とは相性が悪いな
Hey! It's a monster!	おい、モンスターだ
Hey watch your mouth! We hate the Shinra!	しつれいなこと言うんじゃないよ！神羅なんかだいっきらいさ
Whoa, Gawd!	おわっ、大変だ！
He-y! Mr.Dolphin!	ねぇ～！イルカさ～ん！！
Who are you guys? Are you members of Shinra, Inc.?	あなたたち誰なの？もしかして神羅の人間！？
I don't believe you! Get out of here!	信用できないわ！ここから出ていって
Be careful, Mr.Dolphin!	イルカさんが、あぶない！
Wait a minute.	おにいちゃんちょっと見ていて
Pretty cool, huh? When I blow this whistle, Mr. Dolphin jumps for me.	すごいでしょ！このホイッスルを吹くとイルカさんがジャンプしてくれるの
Here!! This is for you, CLOUD!	ハイ！　ホイッスルをおにいちゃんにプレゼント
Just go into the water, blow this whistle, and Mr. Dolphin'll jump you to the top of the pole!	海に入ってホイッスルを吹くとイルカさんが柱の上までジャンプさせてくれるわ！
See that rod sticking out at the top? If you jump just right, you can climb to the top of the town.	柱の上のほうに、ボウが突き出ているの。位置を合わせてジャンプすればボウに乗って、上の街まで上れるはずよ
You wanna jump with Mr. Dolphin?	イルカさんとジャンプしてみる？
Explain it to me again	もう１回説明してくれ
Sure	やってみる
I'll pass	やめておく
Come back whenever you want to see Mr. Dolphin!	イルカさんに会いたくなったらまた、来てね
There's high voltage running through the bottom of the tower. Don't go near it…	柱には高圧電流が流れているの近よっちゃダメよ
My name is… Pri-scil-la! Now you say it.	わたしの名前はねプ～リ～シ～ラ！ハイ、言ってみて
Did you drown? It gets deeper the farther you go out.	おぼれちゃったのね？遠くの方は深くなってるの
[SWITCH]  Blow the whistle to call the dolphin.	□ボタン　ホイッスルを吹いてイルカを呼ぶ
Jump up to the cargo ship on the dolphin?	イルカに運搬船までつれていってもらいますか？
Dolphin Offing	イルカのいりえ
This is bad… You don't think she's dead, do you?	まいったな…もしかして死んでしまったのか？
Mouth to mouth!?	人工呼吸って！？
But… she's just a girl…	あ、いやあの、女の子だし……
Guess I gotta do it…	……しかたない
C'mon CLOUD.	CLOUD、まかせたぜ
CLOUD, what are you going to do?	CLOUD、どうするの？
CLOUD, hurry!	CLOUD、はやくっ！
You know I can't.	私にはムリだな
Do it, CLOUD!	CLOUD、やれ～っ！
Uh…ugh…	う、う～ん
Priscilla!!	プリシラ！！
Nope…she's not breathing…	ダメだわい……呼吸しとらん……
OK, help her…	オッ、あれじゃ！
Young man, do CPR!	若いの、人工呼吸じゃ！！
What? You don't know how? Come over here, I'll show you.	なんだ？　知らんのか～？教えてやるから、こっちに来なさい
Just take a deep breath, hold it in. Then breathe into her.	とにかく息を大きく吸いこんで限界までに息を止める。そして、その息を口うつしするのじゃ
Understand?	わかったか？
Once more	もう一回
Hurry up and do it!	早くするんじゃ！
Hey hey! Priscilla, are you alright?	ほほっ！だいじょうぶかプリシラ？
That's still not enough!	まだ、たりん！
What are you doing? Hurry up! Breath deeply and give her mouth to mouth!	何をしとる！？早く息を止めて人工呼吸するんじゃ
Push [SWITCH] once to start the CPR gauge.	□ボタン１回目　呼吸ゲージスタート
Push it again to stop the gauge.	□ボタン２回目　呼吸ゲージストップ
Grandma's House	おばあさんの家
We'll try later	やっぱりあとにしよう
Let's rest	ひと休みしよう
When Sephiroth and I went to Nibelheim, where were you?	俺とセフィロスがニブルヘイムに行ったときTIFAはどこにいた？
The other time.	それ以外の時間だ
Hmmm…	う～ん……
Let's get some rest	ひと休みしよう
No time to rest	休んでいられない
Get some rest?	休んでく？
CLOUD, come here. Everyone's here.	CLOUD、ちょっと来て。みんなそろってるわ
…We saw each other, right?	……会ったでしょ？
No…it was 5 years ago. I don't remember.	う～ん……５年前なのよ。覚えてないわ
But, something seems strange outside. CLOUD, come quick.	ね、それより外の様子が変なの。早く来て、CLOUD
Want to rest?	休もっか？
What are you thinking?	何かんがえてんの？
I'm gonna relax for a while.	ちょっとばかりくつろがせてもらおうぜ！
Shall we rest?	休むのか？
Wanna rest?	お休みかい？
I heard what happened. You've done so much for Priscilla.	話は聞いたよ。プリシラが世話になったね
You all must be tired. If you want to get some rest, stay here.	あんたたちもつかれただろ？休むんならここをつかっておくれ
Make yourselves at home.	ゆっくりしていっておくれ
…That reminds me	……そういえば』
You again?	また、あんたか？
…Who are you?	……あんた誰だ？
…You'll find out soon. …But more importantly, 5 years ago…	……そのうちわかるさ。……それより５年前
5 Years ago…Nibelheim?	５年前……ニブルヘイム？
When you went to Mt. Nibel, TIFA was your guide, right?	あのとき……ニブル山へ行ったときTIFAがガイドだったよな
Yeah, …surprised me.	ああ……おどろいたな
But where was TIFA other than that?	でも、それ以外、TIFAはどこにいたんだろう？
…I dunno.	……さあな
It was a great chance for you two to see each other again.	せっかく久しぶりに会えるチャンスだったのに
…You're right.	……そうだな
Why couldn't you see each other alone?	どうして二人きりで会えなかったんだろう？
…I don't know. I can't remember clearly…	……わからない。はっきり覚えてないから……
Why don't you try asking TIFA?	なあ、TIFAに聞いてみろよ
…Yeah.	……ああ
Then, get up!	さあ、起きろ！
Hey, wake up. Wake up, CLOUD!	ねえ、起きて。起きてったら、CLOUD！
Priscilla's House	プリシラの家
No…that tickles…	あぁ～んくすぐったぁぃ……
No…Stop…	いや～ん、だめぇ……
Mr. Dolphin…	イルカさぁん……
Who are you?	だれなの～？
At least knock when you enter a lady's room!	レディの部屋に入る時はノックぐらいしてよね！
Lifestream?	ライフストリーム？
Yeah, I know! It's Mr. Dolphin's playground.	知ってるわよ！イルカさんの遊び場所だもん
There's a Three-taloned island south of the continent. I heard the Lifestream runs below that island.	この【大陸の南に３本ツメの島】があるの。その島の下をライフストリームが流れているらしいのよ
But why are you asking about the Lifestream?	でも、どうしてライフストリームのことなんか？
Huh, CLOUD!?	えっ、CLOUDおにいちゃんがっ！？
Hurry up and help him!! He's very important to me.	早く、おにいちゃんを助けて！！おにいちゃんは、わたしの大事な人だもの
CLOUD!!	おにいちゃん！！
Stupid jerk! Look how much you made me worry!! Were you at the Lifestream?	バカバカ！　心配したのよ！！やっぱりライフストリームに？
You've gotta be more careful! Because you're going to marry me one day.	もう、気をつけなきゃだめよ！わたしのおムコさんになる人なんだから
I'm so happy!! Someday I'm going to be CLOUD's wife.	よかった～！！わたし、CLOUDおにいちゃんのおヨメさんになるって決めてるの
I've decided I'm gonna be CLOUD's wife.	わたし、CLOUDおにいちゃんのおヨメさんになるって決めてるの
Yeah, that's right.	ああ、そうなんだ
CLOUD fell into the Lifestream at the North Cave, and has been missing ever since.	CLOUDが北の大空洞からライフストリームに落ちて行方不明になっているの……
We found CLOUD!	CLOUDが見つかったぜ！
Received "Shiva" Materia!	『シヴァ』のマテリアを手に入れた！
You cannot take on any more Materia. Please discard some Materia.	これいじょうマテリアは持てません。なにかマテリアをすててください。
Get out of the water?	海から出ますか？
Junon Airport Path	ジュノン空港通路
Eh! Ho!	エホッ！エホッ！
Hurry! Hurry!!	いそげっ！いそげっ！！
The new President!! He's here, he's here!!	新社長っ！！歓迎っ歓迎っ！！
Hey! You still dressed like that!? Come 'ere!	こらっ！ま～だ、そんな格好をしているのか！こっちゃこい！
Hey! Rookie!! Can't you hear me!! Come over here!	こらっ！　新入り！！聞こえんかっ！！こっちゃこい！
Here!! Get in the room!	ほれっ！！部屋にはいらんかっ！
I'm sorry. Not yet.	ごめんね。まだなの
Locker Room	ひかえ室
Today's the big day when we welcome President Rufus! Hurry up and change!	今日は新社長ルーファウス様をおむかえする大切な日だってのに！ほらっ、着替えろ！
There's a uniform in the locker. Hurry and change!	制服はロッカーに入ってる。はやく着替えろ！
Quit yappin'! Hurry up!	むだぐちたたくな！はよせいっ！
It's the Shinra uniform.	神羅兵の制服だ
Don't change	着替えない
Change	着替える
There's Shinra soldiers all around. Better not try anything dumb…	まわりは神羅兵だらけだ。へたに逆らうような愚はおかせないが…
Brings back memories…	なつかしいな…
A Shinra uniform…	神羅の制服か…
I was so proud when I first put it on.	はじめてそでを通したときほこらしく思ったっけ
I wonder when it was…	いつからだったか…
…I couldn't stand wearing this thing anymore.	こいつを着るのがたまらなくいやになったのは
Wow! You look good in it!	ほ～う！にあっとるじゃないか！
You remember the greeting procedure, right!?	おまえ、お迎えの仕方は覚えてるだろうな！
…The look on your face says you forgot. All right, I'll show you again!	……忘れたって顔だな。しょうがない！　教えちゃる！
Do just like I do.	自分と同じようにやるんだぞ
Commander!! We'll help too!	隊長！！自分らが手伝うであります！
This is how to do it!	見本であります！
We'll sing too!	うたうであります！
All right! Show 'em!!	おうっ！見せてやれぃ！！
Then I'll sing along with you!	ではっ！自分のうたごえにあわせるであります！
Now, march!! This's the Welcoming March!	まずは行進！！歓迎パレードであります！
Quietly--!!	せいしゅくに～！！
Aaaaah!	ア～ッ～！
Hey, come on now.	こりゃこりゃ！
Dum, tada! Dum, tada!!	ズンチャカ！ズンチャッ！！
Now!	さんはいっ！
And…march!!	行進はじめ～！！
One, two! Three, four!	おいっちにっ！いっちにっ！
Rufus---	ル～ファウス～
Rufus Shinra----	ル～ファウス神羅～
We---are---Shinra Company----	わ～れらが～　神羅カンパニ～
The new-----President------	あ～たらしい社長～
Oh---Oh---	おっ～　おっ～
Shinra----	神羅～
Oh---Oh oh---	おっ～　おおっ～
Shinra, Inc.---	神羅カンパニ～
Realization---of the new era---	ニュ～エイジ～　時代をきずく～
New---President---Ru--fus---	ル～ファウス新社長～
Building---the new era---	ニュ～エイジ～　時代をつくる～
Shinra---forev---er---	これからも、神羅がいちばん～
Got it!?	わかったか！
Not yet	まだまだです
All clear!	かんぺきです！
All right! Once more!	おう！もういっちょいけえぃ！
Good! Make sure you do well at the real parade!	よろしい！本番でもがんばるんだぞ！
Rufus has arrived! Preparation completed!	ルーファウス様、到着です！準備完了です！
All right, show time! Don't disgrace yourselves!	さあ、本番だ！失礼のないようにな！
Keep in step with the soldier next to you and march smoothly!	となりの兵士と歩調をあわせておごそかにいさましく歩くであります！
Once you're all in step, shoulder your gun!	みんなの歩調があったら銃をかかげるであります！
To shoulder your gun, press [OK]!	銃をかかげるときには【○ボタン】を押すであります！
We'll practice some more!	練習しとくであります！
Remember to march smoothly!	おごそかにいさましく歩くでありますよ！
This is the military, soldier!!  Your orders for today are to send off President Rufus at the dock!	軍隊をなめちょるな！！本日！！　次の指令は港でルーファウス様のお見送りだっ！
I'll keep drilling you until it's time!	時間まで、みっ～ちり指導しちゃる！
I'll help, sir!	手伝うであります！
Me too, sir!	おなじくであります！
All right!! Line up in order and show me your final pose!	よ～っし！！自分の号令にあわせてお見送りのキメポーズをするのだ！
Today's command is Formation!	本日の号令はフォーメーション名になっちょる！
Remember it!	よっ～く、覚えとけっ！
Ready!?	それではいくぞっ！
Junon Military Send Off, BEGIN!	ジュノン軍隊式お見送りはじめ！
All right! Now you try it!	うっし！おまえもやってみそ！
So, you got it?	どうだ！　わかったか？
Not yet!	まだまだであります！
I've got it!	かんぺきであります！
All right! Again!	おう！もういっちょ！
All right! Don't mess up during the real thing!	よ～し！本番でもがんばんだぞっ！
[OK]!	○ボタン：サークル！
[MENU]!	△ボタン：トライアングル！
[SWITCH]!	□ボタン：スクウェア！
[CANCEL]!	×ボタン：クロス！
Right: Right Turn!	右：ライトターン！
Left: Left Turn!	左：レフトターン！
All right!!	おっす！！
The Special!!	スペシャ～ル！！
Commander!! What's today's special pose?	隊長！！本日のスペシャルポーズは？
Huh? …I haven't decided yet.	んっ？……決めてない
All right, rookie!! I'll let you decide!	よしっ、新入り！！特別におまえに決めさせてやる！
Show me your best move!	得意のキメポーズ、やってみろ！
Let's see… My best move is…	そうだな…。俺の得意なのは
Wow!	おおっ～！
Awesome!	かっこいいであります！
All right!! We'll go with that as as our special!!	よしっ！！本日のスペシャルはこれに決まり！
Practice it!	よ～くっ！練習しとけっ！
Yes sir!!	はっ！！
Well then! Meet at the dock!! Don't be late!!	では！　港に集合！！遅れるな～！！
Attention! Dismissed!!	すわっ！解散っ！！
[OK]	○ボタン：サークル
[CANCEL]	×ボタン：クロス
[SWITCH]	□ボタン：スクウェア
[MENU]	△ボタン：トライアングル
Directional button Left/Right: Left/Right Turn	方向キーの左／右：レフト／ライトターン
[OK]: Present arms.	○：銃をかまえる
Press	【ボタン】　　　　△：トライアングル
[OK], [CANCEL],	スクウェア：□　　　○：サークル
[MENU] or [SWITCH].	×：クロス
Left/Right: Left/Right Turn	方向キーの左／右：レフト／ライトターン
Someday I'll get to use my special pose in a real battle!	いつか実戦でこのスペシャルポーズを決めるであります！
Same here!! I'll keep practicing until then!	おなじくであります！！そのときまでくんれんであります！
Upper Junon	アルジュノン
Let the Welcome Parade begin!	歓迎パレード開始します！！
Oh…no!! No one's here!	いか～ん！！誰もおら～ん
Late!?	遅刻した～！？
Hey! Rookie!! It's you're fault for running around like that!!	こらっ！　新入り！！おまえがもたもたすっから！！
Captain!! We'll take a short cut!	隊長！！近道するであります！
Right!	うむ！
Good idea.	それはいい作戦だ
Get over here!!	こっちゃこい！！
Hey!! Don't get me any madder than I already am!	こらっ！！これ以上、怒らせんなっ！
All right! You first!	よしっ！さきいけっ！
Thanks!!	毎度あり！！
Come on, forget about your job! Step right up!!	さ、仕事なんて忘れて！入って入って！！
Come on in!	さ、どうぞどうぞ！
Now!! !	それっ！！……！
Just GO! Then you just nonchalantly sneak in from the back! Make sure no one sees you!	いっちゃれ！さりげな～く、【後ろ】から！ばれないようにしのびこむのだ！
Now listen up! This parade's gonna be broadcast live on Shinra TV around the world!	いいか！このパレードは全世界の神羅ＴＶに生中継されておる！
If you look bad, the whole Junon army will look bad. Remember that and don't screw up!	ぶさまなかっこうをさらせばジュノン軍隊全体のはじとな～る。そこんとこ、きもにめいじて行動せい！
OK! Jump in when I give you the sign!	んだば！！自分が合図したら列にしのびこ～め！
Just sneak in from the back! Don't mess up the row! And no matter what you do, don't try to go in from the front!	さりげな～く、【後ろ】から！列をみだすな！前からいこうとしてもダ～メだぞ！
All right!! Start marching!!	よしっ！！かけ足準備！！
Hey!! Don't run away from me!	こりゃ！！逃げようとすな！
Hey!! Don't play around!	こりゃ！！楽しようとすな！
Charge!!	とっつげき～！！
No, what're you doing!?	なにやっちょる！！
Live TV Ratings%	ＴＶ中継視ちょう率　　　　　％
I'll go first! Now you watch close and do as I do, rookie!	まずは、自分がいくであります！新入りさんは、よ～く見て自分のまねをすればいいでありますよ！
Just sneak into the back of the line when you see an opening.	うしろから、サササッとパレードのあいてる場所にしのびこむであります！
TV Producer	ＴＶ番組プロデューサー
What the hell was that soldier doing?	なんだったんだ！？あの兵士は？
AD	ＡＤ
I don't know.	さあ？
Are the points up?	数字はあがったのか？
So-so.	まずまずです
They just shot up!!	最高です！！
This's terrible! Am…am I fired?	ズタボロです！ボク…クビですかねえ？
Really.	そうか
I want somebody to send that soldier an expensive gift.	あの兵士あてに高級そしなでもおくっとけ
We did it!	でかした！
Send that soldier something special.	あの兵士あてにこころづけでもおくっとけ
What!? You're FIRED!!	なぬ！！おまえはクビ～！！
Send that soldier a bomb or something!	あの兵士には爆弾でもおくっとけ～！
Received 6 "Ether"	『エーテル』６個手にいれた！
Received 5000 gil!	５０００ギル手にいれた！
Received "Grenade"!	『手榴弾』を手にいれた！
Received 6 "Potion"!	『ポーション』６個手にいれた！
Hmm…	そうか
Better send that soldier something.	あの兵士あてにそしなでもおくっとけ
Well, it's so-so.	まあそこそこってとこです
Good! We made it.	うっし！まにあった
Oh! President Rufus!	おっおっ！ルーファウス様！
Hey! Line up and shut up!	ほれ！しずかにならんどれ！
Don't make a move!	１歩たりとも動くなよ！
Hey!	こらっ！
How's the job?	ごくろう
What happened to the Airship?	飛空艇はどうしたんだ？
The long range airship is still being prepared.	大陸間移動可能な飛空艇はまだ準備中なんですよ
It should be ready in about three more days.	もう３日待っていただければ。ガハハハハハ！
It should be ready in about three more days. Rufus	ルーファウス
Even the Air Force's Gelnika?	空軍のゲルニカもか？
Gya haa haa!	……ガハハハハハ！
Stop that stupid horse laugh.	その笑いかたはやめろ
Things are different than when Father was in charge.	もうオヤジのときのようにはいかないからな
Gya…	ガハ……
Is the ship ready?	船の準備はいいのか？
Yes Sir, we'll get it ready quickly.	それはすぐに、はい
What a disaster.	災難だったな
Heidegger was really irritated…	ハイデッカーはイライラしてるからな
The man in the Black Cape's been roaming the city, but we can't find him.	黒マントの男が街をうろついてるのに発見できないんだ
Man in a Black Cape?	黒マントの男？
He showed up two or three days ago, and killed a few of our soldiers.	２、３日前にあらわれたんだ。そいつに兵士たちが何人か殺されてなぁ
He disappeared right after that. There's a rumor going around that it was Sephiroth.	その後、行方不明さ。あの英雄セフィロスだってウワサだぜ
Attention! Dismissed!	こら～っ！すみやかに解散せ～っ！
Hey! Hey you! You messing with the army?	おいっ！　おまえっ！軍隊をなめとるんか？
Who cares?	興味ないね
What if I am?	知らないね
You're too lazy!! No break for you!!	たるんどる！！おまえは休み時間な～し！！
Get over here!	こっちゃこ～い！
President Rufus is being sent off at the port.	ルーファウス様の見送りなら港に集合だよ
Elevator	急いだほうがいいんじゃない
Upper Junon	エレベーター
Junon Inn	アルジュノン
Are you sure it's all right?	いいんですか～？
Nap while on duty?	勤務時間中におひるね？
30 gil	３０ギル
Forget it	用はない
Welcome to 'Inn'd of the line' in Junon. Wait, I shouldn't be sayin' stuff like that.	ジュノン場末の安宿へようこそ！あっ、こんなこと自分で言うことないか……
Wanna spend the night?	お泊まりですか？
Come again.	またきてよね
Aw, knock it off already! You don't have enough moolah! No, you 'forget it'!	やだな～！　お客さん！お金ないんじゃない！こっちが用なしですよ
Enjoy your stay.	ぐっすりおやすみなさい
Good morning! You still seem a little sleepy.	おっはようございます！まだ眠そうな顔してますね～
Looking forward to seeing you again.	またの御利用おまちしてます
Our rates are the same as the 1st class hotels.	値段だけは高級ホテルなみにランクアップですよ
Would you like to stay?	お泊まりですか？
400 gil	４００ギル
Oh, a Soldier! Welcome!	あら、兵隊さん！いっらっしゃい
Oh, welcome!	あら、いらっしゃい！
They're not going to get me down! Not me!! Weapon, Meteor, even bad customers, aren't going to get me!	まけないわ、まけないのよ！！ウェポン、メテオ、こわい客！！なんといわれたって、まけないんだから！
Materia Store	なんでも屋
Please! Come in…	ど～ぞ！おはいりくださ～い
Welcome!	いらっしゃいま～せ！
No charge for a smile…	うふ♥この笑顔はサービスにしとくわ
Buy a lot, cutie!	たくさん買っていってね
Please go to the counter.	カウンターへどうぞ
Thank you very much!	ありがとうございました～！
There're lots of stores in Junon.	ジュノンにはお店が多いんでね
If we don't do this…we can't compete.	こうでもしないと……商売に勝ち残っていけないんですよ
But, what bothers me is that the girls make more than me.	でも、店の売り上げよりも女の子たちのバイト代のほうが高いってのが悩みの種なんだなあ
I hired more girls after hearing that the world's coming to an end, but I wonder if I should have.	もうこの世の終わりだってんで女の子たち、増やしてみたんだけど失敗かなあ
