Crater	クレーター
This is incredible…	ほんと、すっごいわね……
This is the Promised Land the President had been searching for!!	まさにプレジデントがさがしもとめた約束の地！！
But, I'll be the one who gets it.	だが、手にいれるのは私だ
Sorry, old man.	悪いな、おやじ
That land is no one's.	あの場所は誰のものにもならん
It's where the Reunion will take place… They will all gather here…	……リユニオンの終着点。……みんな集まれ、か
I wonder if we'll see…Sephiroth?	セフィロス……会えるのかな？
We need to cross when the wind is calm, or we'll get swept off!	気流がおさまるタイミングを見て渡らないとはじき飛ばされちゃうわ！
Wh…who---a	うっ、うわ～っ
Uph…Se…phi…roth…	…グ……フ……ッ……セフィ…ロ…ス…
Received "Kaiser Knuckle"!	『カイザーナックル』を手にいれた！
Sephiroth!!!	セフィローーース！！
This is the end!	ここまでだ！
Jenova's cells…	ジェノバ細胞……
Our…	……我ら？
Master…	主人は……
He disappeared!?	消えた！？
I'll take care of the Black Materia. No matter what happens, I'll be right here.	黒マテリアは、オレにまかせとけ！何があっても、ここでじっとしてるからよ
He got away?	逃げちまったのか？
He might still be nearby…	近くにいるかもしれない……
I'll protect the Black Materia no matter what!	オイラ何があっても黒マテリアを守ってみせるよ！
I feel something…danger?	殺気？　何か感じるよ……
Hey, hey,! What's goin' on?	オイオイ！どうなってんだぁ？
I was just getting into it!	せっかくヤる気になってたのに！
Vanished? That can't be!	き、きえてしまうなんて…そんなアホな！
Stay on alert. You never know when Sephiroth might appear.	セフィロスはいつ現れるのかわからない。気をぬくなよ
What I wanted was a body. A seeing, hearing, moving body. Soon it will be…over.	……欲しかったのは身体見、聞き、話し、移動する肉体。まもなく……終わる
Hmph… Heh, heh…	……フッフフッ……
You're right. This is the end of this body's usefulness.	そう、ここまでだ。この身体の役目はな
Our purpose is to deliver the Black	我らの役目は黒マテリアを
Materia to our master.	主人のもとへ運ぶこと
Those who carry Jenova's cells…	ジェノバ細胞を持つ者たち……
Of course…Sephiroth.	もちろん……セフィロス
Take this!!	くらえ！！
This is the end…for all of you.	おまえたちは、もう終わりだ…
Received "Black Materia"!	『黒マテリア』を手にいれた！
Received "Poison Ring"!	『ポイズンリング』を手にいれた！
Received "MP Turbo" Materia!	『ＭＰターボ』のマテリアを手にいれた！
BARRET	クラウド
Are CLOUD and the others alright?	竜巻の内部１
Are CLOUD and the others alright?	CLOUDたちだいじょうぶなのかよぅ？
But what's up with that? One little piece of Materia, destroying the planet…	しかし、なんだよな。このちっぽけな黒マテリアが星を滅ぼすなんてよ……
The hell was that?	おめえら、今の何だよ！
H, huh!?	あ、あれっ！？
Hey…guys!	み、みんなっ！！
Where are we? Where did we end up?	ここ、どこなんだよっ！どこ行っちまったんだよっ！
Something's weird here! It got pitch black all of a sudden, and everyone disappeared!	なんか様子が変なんだよ！真っ暗になっちまってみんないなくなっちまった！
Yea…yeah!	お、おう！
I don't know what's goin' on, but let's just get on with it.	なんだかわからねえがとにかく行けばいいんだな！
Everyone's waiting! CLOUD's in trouble!	ね、みんなが待ってるの！CLOUDが大変なの！
Please come. Help us!	おねがい、来て！私たちを助けて！
Over there!	あっちなの！
…hee hee hee… And remember… …the Black Materia!	ウフフフフ……黒マテリア…………忘れるなよ
BARRET, you're here! I'm so glad!!	BARRET、ここにいたのね！よかった！！
RED XIII, you're here! I'm so glad!!	RED XIII、ここにいたのね！よかった！！
I wonder how CLOUD and the others are?	ねえ、CLOUDたちだいじょうぶかな……
It's hard to believe… such a small piece of Materia could destroy the Planet.	でもさあ……このちっぽけな黒マテリアが星を滅ぼすなんてさ……
What the!?	な、なに！？
Is everyone all right?	みんな、だいじょうぶ！？
What's going on?	どうなっちゃったの？
Where am I!? Don't leave me alone!	ここはどこなんだ！？オイラを１人にしないでよっ！
Something is strange… Why was it dark all of a sudden and where is everybody?	なんか様子が変なんだ……真っ暗になっちゃってみんないなくなっちゃうし……
R, right!	う、うん！
I'm not sure I understand… but I'll go if you want me to.	よくわかんないけどとにかくそっちへ行けばいいんだね！
…hmm. So that's what this is all about.	……なるほどな。そういうわけか
The Jenova Reunion…	ジェノバはリユニオンする、か
I'll explain later. Right now, the only thing I'm thinking about is beating Sephiroth.	説明はあとだ。今はセフィロスを倒すことだけを考えるんだ
He's here. The real Sephiroth is just beyond here.	セフィロスは、いる本当のセフィロスはこの奥にいるんだ
It's both incredibly wicked and cruel…	どうしようもなく邪悪でどうしようもなく残忍……
But it's releasing a powerfully strong will from deep within the Planet's wound.	しかし、とほうもなく強い意志をこの星の傷の奥底から放っている
…The Black Materia is back in our hands.	……黒マテリアは俺たちの手にもどった
Now all we have to do is defeat Sephiroth and that'll be the end of it.	あとはセフィロスを倒せばすべてを終わらせることができるんだ……
I'm going to face Sephiroth.	セフィロスに会いにいく
Sephiroth is inside.	セフィロスは、この奥にいるんだ
Don't give it to ANYONE. I'm counting on you.	誰にも渡さないでくれ。たのんだぞ
Hold on to this… I don't trust myself.	これを持っていてくれ。俺は……自信がない
I don't think I can…	自信がないんだ……
We're going in first! You guys stay and keep watch.	オレたちは先に行く！みんなは待機していてくれ
Sephiroth… What a damn crazy #*&^%.	セフィロスか……わけのわからねぇヤツだな
Give the Black Materia to...	黒マテリアを
Give to BARRET	BARRETにあずける
Don't Give to BARRET	BARRETにあずけない
Damn! The pressure's on now.	おっと！　責任重大だぜ
Not Sephiroth!? You mean all this time it wasn't Sephiroth we've been after?	セフィロスじゃない！？今まで私たちが追ってきたのはセフィロスじゃなかったの？
But Sephiroth is…	でもセフィロスは……
We'd better not take the Black Materia any further. Why don't you give it to someone else to hold on to?	黒マテリアは、この先持って行かないほうがイイわ。だれかにあずけたらどう？
Let's find Sephiroth!!	セフィロスを追いかけましょう！！
What's happening, CLOUD? That wasn't Sephiroth!	どうなってんの、CLOUD？セフィロスじゃなかったよ！
CLOUD, be careful!	気をつけてよCLOUD！
Give to RED XIII.	RED XIIIにあずける
Don't give to RED XIII.	RED XIIIにあずけない
You want me to take the Black Materia? All right, I understand.	オ、オイラが黒マテリアを？……うん、わかったよ
Hoo-boy…	やれやれ…だな
Let me catch some shut-eye.	しばらく休ませてくれ
Me and Black Materia just don't mix.	くっ、黒マテリアなんてオレ様には、にあわねぇよ
What!? You mean that wasn't Sephiroth? All that time I was following this …thing?	な、なんだよ！？セフィロスじゃなかったってわけ？アタシ、こんなバケモノについてきたのかい
Shouldn't we hurry? The real Sephiroth is still close, right?	いそがなくていいのか？本物のセフィロスはまだ近くにいるんだろ？
I don't want anything to do with that Black Materia!	アタシは黒いマテリアなんてほしくないよ！
You serious!? That's not Sephiroth!	ホンマですかいな！？セフィロスやありまへんで！
Something feels rea---lly weird here!	いや～な予感がするんですわ！
No, not the Black Materia, please.	黒マテリアはカンベンしとくなはれ
So it wasn't Sephiroth…?	セフィロスではなかったのか…？
You never know when Sephiroth may show up… so don't let your guard down.	セフィロスはいつ現れるのかわからない。気をぬくんじゃないぞ
How about if you hold on to the Black Materia?	黒マテリア……おまえが持っていてはどうだ？
You mean… we weren't in pursuit of Sephiroth?	私たちが追ってきたのはセフィロスではなかったのか…？
Guess I shouldn't have worried about it.	悩むことなんかなかったな
TIFA, you'll be alright now.	TIFA、もうだいじょうぶだ
Yeah, sorry I made you worry. I solved the mystery.	ああ、心配かけたな。謎は解けた
I'll explain it to you later. I need to do something now.	説明はあとだ。今はやらなくちゃならないことがある
Sure, OK.	そ、そうよね
I think I overdid it a little, too.	私もちょっと大騒ぎしすぎちゃった
Really?	ほ、ほんと？
What…do you mean?	ど、どういうことなの？
Why Nibelheim!? Are you high on Mako or something?	なんでニブルヘイムなんだよ！魔晄に酔っちまったのかぁ？
But, how!? A dream?  An illusion?	でも、どうして！？夢？　まぼろし？
But TIFA! Isn't this an illusion?	でも、TIFAさん！これ、まぼろしとちゃいますか？
But why Nibelheim? This is freaky, REALLY freaky!	でも、どうしてニブルヘイム？絶対へんだよ、これ！
Why, is it an illusion?	……なぜだ……幻覚か？
What the hell? Why Nibelheim!?	どうしてだよっ！どうしてニブルヘイムなんだよ！
This is an illusion Sephiroth made up.	これはセフィロスが創り出した幻覚さ
He's trying to confuse us.	俺たちを混乱させようとしているんだ
It'll be all right. As long as we know it's an illusion, there's nothing to be afraid of.	だいじょうぶ。幻覚だとわかっていれば何も恐くはない
Come on, let's keep going.	さあ、このまま通り抜けよう
Yeah, you're right…	そうよね……
Look!!	あっ！！
That ain't CLOUD… The hell is he?	CLOUDじゃねえぞ……誰だ、こいつ？
CLOUD's not here… I wonder who…this is?	CLOUDがいない……誰だろう……この男
CLOUD, something's strange here. Who is this guy?	CLOUDさん、変やでこの人、誰や？
Huh---? CLOUD's not here.	おろ～っ！CLOUDがいないよ
That's not CLOUD. Who is this man?	……CLOUDではない。だれだ、この男は？
CLOUD's not here…	CLOUDがいねえじゃねえか……
Stop…Sephiroth.	やめて……セフィロス
This is so stupid…	くだらない……
How the hell're we gonna get outta here?	どうやればここから抜け出せるんだ？
Is this illusion going to continue forever? How do we get out of it?	この幻はず～っと続くの？どうやって抜け出すの？
Come on, we have to hurry back to the real world!	はよう、元の世界にもどりましょ！
I don't want to be in an illusion. Let's get back to the real world!	アタシ、幻覚なんていやだよ。はやく元の世界に帰ろ！
Now, how can we get out of here?	さて……どうやったらここから抜け出せるのか……
Hey, CLOUD. Let's get back to the real world, OK?	CLOUDよぅ。早く元の世界にもどろうじゃねえか
CLOUD… It's just an illusion.	CLOUD……これは幻覚なんだから
Don't worry about it…	気にしちゃダメなんだから……
Ha, ha, ha, ha!	クハハハハ！
What is this? What happened?	なにこれ？　どうしたの？
Calm down, TIFA.	おちつくんだ、TIFA
Sephiroth is near. Anything could happen.	セフィロスが近くにいるんだ。何がおこっても不思議じゃない
Nibelheim	幻のニブルヘイム
Hey, you alright!?	おい、だいじょうぶか！！
Damn! This was an illusion.	クソッ！　これは幻だったな
You all right!?	だ、だいじょうぶか！！
We were in an illusion…	あ、幻想の中だった……
Everyone OK!?	だいじょうぶですか！？
Umm…this was a hallucination.	あ……これ、幻やったんやね
He…hey, you! You alright!?	お、おい、アンタ！だいじょ～ぶかよ！？
Oh, a dream! But it felt so real…	あ、マボロシかぁ！でも、ちょっと生々しいなぁ
Are you all right?	……だいじょうぶか？
Hmm…it was an illusion.	フム……幻想だったな
He…hey you! You alright!?	お、おい、おまえ！だいじょうぶかよっ！
Damn! This was all made up.	いけね！こりゃ全部、つくりもんだったな
Sephiroth! I know you're listening! I know what you want to say!	セフィロス！　聞こえてるんだろ！おまえが言いたいことはわかった！
That I wasn't in Nibelheim five years ago.	５年前、ニブルヘイム。そこに俺はいなかった
That's it, isn't it?	おまえが言いたいのはそういうことなんだろ？
I see you finally understand.	理解してもらえたようだな
What you are trying to say is that you want to confuse me, right?	おまえが言いたいことはな。俺を混乱させたいんだろう？
But…even making me see those things won't affect me.	しかし……こんなものを見せられても俺はなんとも思わない
I remember it all. The heat of the fire…the pain in my body…and in my heart!	なぜなら俺は覚えている。この炎の熱さを……身体の……心の痛みを！
Oh, is that so?	さて、それはどうかな？
You are just a puppet… You have no heart…and cannot feel any pain…	おまえは人形……心など持たない……痛みなど感じない……
How can there be any meaning in the memory of such a being?	そんなおまえの記憶にどれほどの意味がある？
What I have shown you is reality. What you remember, that is the illusion.	私が見せた世界が真実の過去。幻想をつくりだしたのは……おまえだ
…Do you understand?	……理解できたかな？
I don't want to understand.	理解する気なんかない
But, I want to ask you one thing. Why…why are you doing this?	が、ひとつ聞きたい。なぜ……こんなことをする？
I want to take you back to your real self.	おまえには本来の自分を取りもどしてもらいたいのだ
The one who gave me the Black Materia that day…	そしていつかそうしたように黒マテリアを私に……
Who would have ever thought a failed experiment would prove so useful?	それにしても失敗作だと思われたおまえが一番役に立つとは……
Hojo would die if he knew.	宝条が知ったら悔しがるだろうな
Hojo!? What does he have to do with me!?	宝条！？俺と何の関係がある！
Five years ago you were…	おまえは……そう、５年前だ
…constructed by Hojo, piece by piece, right after Nibelheim was burnt.	ニブルヘイムが炎につつまれたその後に宝条の手で創り出されたのだ
A puppet made up of vibrant Jenova cells, her knowledge, and the power of the Mako.	ジェノバ細胞のおどろくべき生命力、能力と魔晄の力が創り出した人形
An incomplete Sephiroth-clone. Not even given a number. …That is your reality.	セフィロス・コピー・インコンプリート。ナンバリング無し。それがおまえの真実
CLOUD… Don't listen to him…	CLOUD……相手しちゃだめよ……
Cover your ears! Close your eyes!	耳をふさぐの！　目を閉じるの！
All that talk of Hojo constructing you is a lie.	宝条に創り出された？そんなのウソに決まってるわ
Don't we have our memories together?	だって、私たちにはあの思い出があるじゃない？
Being kids together, starlit nights…	子供のころ、星がきれいな夜……
What's wrong, TIFA? I'm not affected by it.	どうしたんだ、TIFA？俺は全然気にしてない
…I wasn't paying attention to him.	……というか途中から聞いていなかった
Ha, ha, ha…TIFA…	クックックッ……TIFAよ
Why are you so worried and scared by those words?	その言葉とはうらはらにおまえは何をおびえている？
Hmm…Shall I show everyone here what's in your heart?	フム……おまえの心をここにうつし出して見ようか？
Ha, ha, ha… You don't look well.	クックックッ……都合が悪いそうだ
…TIFA? Is Sephiroth right?	……TIFA？セフィロスが正しいのか？
What's wrong, TIFA?	どうしたんだ、TIFA？
Why are you so scared? Don't worry about me. I'm all right.	何をそんなに恐れているんだ？俺のことならだいじょうぶ
No matter how confused I am, I'll never believe a word that Sephiroth says.	俺はどんなに混乱していてもセフィロスの言葉なんて信じない
It's true that sometimes I can't figure out who I am.	たしかに俺は自分自身がわからなくなることがある
There's a lot of things muddled up in my memories.	記憶だってあやふやな部分がたくさんあるんだ
But, TIFA…	でも、TIFA
You said, 'Long time no see, CLOUD' right?	TIFAは言ってくれただろ？『CLOUD、ひさしぶりね』って
Those words will always support me.	TIFAのその言葉がいつでも俺をささえてくれる
I am the one you grew up with. I'm CLOUD of Nibelheim.	俺はTIFAの幼なじみなんだ。俺はニブルヘイムのCLOUDなんだ
No matter how much I lose faith in myself, that is the truth.	どんなに自分がわからなくなってもそれだけは真実
That's why you shouldn't be so scared.	だからTIFA……そんなにおびえないでくれ
No matter what anyone else says to me, it's your opinion that counts…	誰のどんな言葉よりもTIFAのその態度に俺は……
No, that's not true, CLOUD…	ち、ちがうの、CLOUD……
What's not? I'm the same CLOUD you grew up with, aren't I?	何がちがうんだ？俺は……TIFAの幼なじみのCLOUDじゃないのか？
That's not what I mean… I don't know how to say it…	そういう意味じゃない……でも、うまく言葉にできない……
CLOUD, I need some time… Just give me a little time…	CLOUD、ほんの少しでいいの。時間を……時間をちょうだい
CLOUD… Don't blame TIFA.	CLOUD……TIFAを責めるな
I'll explain.	私が説明してやろう
The ability to change one's looks, voice, and words, is the power of Jenova.	他人の記憶にあわせて自分の姿、声、言動を変化させるのはジェノバの能力だ
Inside of you, Jenova has merged with TIFA's memories, creating you.	おまえの中のジェノバがTIFAの記憶にあわせておまえをつくりだした
Out of TIFA's memory…	TIFAの記憶に登場する少年たち……
A boy named CLOUD might've just been a part of them.	その中にはCLOUDという名の少年がいたのかもしれないな
Please…don't think right now.	今は何も考えないで。おねがい……
Ha, ha, ha… Think, CLOUD!	クックックッ……考えろ、CLOUD
…CLOUD? Ha, ha, ha…Oh, excuse me. You never had a name…	……CLOUD？クックックッ……これは失礼。おまえには名前などなかったな
Shut up…Sephiroth.	だまれ……セフィロス
You still don't understand? Then…	まだわからないのか？ならば……
Do you remember the picture that we took before we headed for Mt. Nibel?	村からニブル山へ出発するとき写真をとったのを覚えているか？
…TIFA, you remember, right?	……TIFA、覚えているな？
But there is no way he would know.	……CLOUDは……知るはずもないか
Now…what happened to that picture?	さて……写真はどうしたかな？
…Is this it?	……これか
…Do you want to see it? It turned out pretty good.	……見るか？なかなか良くとれている
CLOUD…Don't…	CLOUD……だめ……
I…should be in the picture.	俺は……写っているはずだ
Even if I'm not in there, no worry. This is just an illusory world Sephiroth made up.	もし、写っていなくても心配ない。ここはセフィロスが創り出した幻想の世界
It's a photograph.	【写真です】
…Just as I thought.	……やっぱりな
This picture's a fake. The truth is in my memory.	この写真はニセものなんだ。真実は俺の記憶の中にある
…Five years ago, I came back to Nibelheim, to inspect the reactor. I was sixteen.	……５年前、俺はニブルヘイムに帰った。魔晄炉調査が任務だった。１６歳だった
The town hadn't changed at all. What did I do? Oh yeah…	村は全然変わっていなかった。俺は何をした？　そうだ……
…SOLDIER, First Class?	……ソルジャー・クラス１ＳＴ？
…SOLDIER? When did I enter SOLDIER?	……ソルジャー？俺はいつソルジャーになったんだ？
Stop, CLOUD!!	やめて、CLOUD！！
How did I join SOLDIER?	ソルジャーってどうやってなるんだ？
Why…why can't I remember?	なぜ……思い出せない？
I'm…I'm…	俺は……俺は……
…I didn't have to worry about it, because I was…	……悩むことはなかったななぜなら俺は……
…CLOUD?	……CLOUD？
Let's go, TIFA. I'm…I'm all right.	行こう、TIFA。俺は……だいじょうぶだ
I saw my mom. I saw the people in town.	母さんに会った。村の人たちに会った
Yeah, I went to TIFA's room. There, I…	そう、TIFAの部屋にはいったんだ。そこで俺は……
I played the piano!	ピアノを弾いた！
I looked in the drawers!	タンスをしらべた！
I read the letter addressed to TIFA!	TIFAに来た手紙をよんだ！
I spent the night and went to the reactor in Mt. Nibel. I was excited about it.	一泊してからニブル山の魔晄炉へ行った。俺ははりきっていた
Because that was my first mission after becoming First Class in SOLDIER.	なぜなら、その任務はソルジャー・クラス１ＳＴになって初めての仕事で……
He---y! Is anyone here?	お～い！誰かいるのか！？
Give me a hand!	手をかしてくれっ！
Hey it's you! You're still sane, right?	おっ、あんたか！あんたは正気なんだろうな？
Then come over here and help me!	それならこっちに来て手伝ってくれ！
I'll check this house. You check that one over there!	俺はこの家を見てくる。あんたはそっちの家を！
Hey! What about the other houses?	おい！ほかの家の様子はどうだ？
…Sephi…roth	……セフィロ……ス
…Hey, ummm… Am I going to die?	……な、なぁ……おれ、死んじゃうの？
Terrible…	ひどい……
Sephiroth… This is too terrible…	セフィロス……ひどすぎる……
What's…next?	今度は……なんだ？
Stop it already!!	もうやめてっ！！
This is bad… Just like Corel.	こりゃひでえ……コレルもな、こうだったぜ
This is terrible… Did Sephiroth do this?	ひどい……セフィロスがやったの？
This is insane…	ひどいですなぁ……
Wow… I didn't know it was THIS bad…	うひゃ……こんなにスゴイとは思わなかったよ……
All this happened while I slept?	……私が眠っているあいだにこんなことが……
This is terrible…	こりゃ、ひでえなぁ……
…This is what actually happened five years ago.	……これは５年前現実にあった風景だ
But…	けれども……
It's probably not me that will come out of the Shinra mansion.	きっと、あの神羅屋敷から出てくるのは俺じゃない
He's going to try and show us another stupid illusion.	また、くだらない幻覚を見せようって気なんだ
See…didn't I tell you?	ほら……言ったとおりだろ？
I don't want to…watch this. CLOUD…Don't watch.	こんなの……見たくない。CLOUD……見ちゃだめよ
…What's wrong, TIFA? I told you before, right?	……どうしたんだ、TIFA？さっきも言っただろ？
As long as we know that it's just an illusion, there's no need to be scared.	幻だとわかっていれば何も恐くない
Inside Northern Cave	大空洞
Wow!! That's amazing!	すっご～い！
It's all Materia!!	これ、ぜ～んぶマテリアだわ！
The outside is rich with Mako energy. The inside is a treasure trove of Materia. This truly is the Promised Land.	外は豊富な魔晄。そして中心部はマテリアの宝庫。これぞまさに約束の地だな
There is no such thing as the Promised Land. It's a legend…an old wives tale… …It's utterly ridiculous.	約束の地など存在しない。伝説……言い伝え……ばかばかしい
Everything's as I imagined it to be. Isn't it splendid?	想像していたとおりのものがここにある。それで良いではないか？
It is that kind of dullness that makes you a second-rate scientist.	そのカタさが二流科学者の限界だな
What's happening?	どうした！？
It's coming from within the wall! Something's in there! It's moving!	壁の中よ！何か入ってる！　動いてる！
Weapon…	ウェポン……
Then it really does exist… I didn't believe in it.	……本当にいたのか。信じてはいなかった
What does this mean?	なんだというのだ？
…Weapon. A monster created by the Planet.	……ウェポン。星が生み出すモンスター
They appear when the Planet's in danger and destroy everything.	星の危機にあらわれてすべてを無にする……
That's what was stated in Professor Gast's report.	ガスト博士のレポートにはそう記されていたな
I never saw that report… Where is it?	そんなレポートは見たことがない。……どこにある？
Here, right here.	ここだ、ここ
You keep a lot of things to yourself.	君は隠し事が多いな
Mr. President… I've got a bad feeling about this place…	社長……なんだかイヤ～な予感がするわ
Hmm…maybe we should go back to our ship now. We need to prepare for the inspection anyway.	フム……一度飛空艇に帰ろうか。本格的な調査の準備も必要だしな
Hey!!! Where did you come from?	ちょっと！！どこから来たのよっ！
…Don't know…	……さあ
This place is going to get rough.	ここはあんたたちの手には負えない
Better leave things to me and get out of here while you still can!!	あとは俺にまかせてさっさと出て行け
Leave things to you? Hmph…I don't know what you mean.	……おまえにまかせる？フッ……良くわからないな
This is where the Reunion is happening. Where everything begins and ends.	ここはリユニオンの最終地点。すべてが終わり、また始まる場所
CLOUD?	CLOUD……？
Hey! We're here to help you!	おう！助けに来てやったぞ！
I'm here! I'm here to help you, CLOUD!	来たよ！助けに来たよ、CLOUD！
Thanks…BARRET. Where's the Black Materia?	ありがとう……BARRET。黒マテリアは？
Thanks…RED XIII. Where's the Black Materia?	ありがとう……RED XIII。黒マテリアは？
It's safe. I have it.	だいじょうぶだ。ちゃんと持ってるぜ
It's safe. I'm holding on to it.	だいじょうぶ。しっかり持ってるよ
I'll take it from here. Give me the…Black Materia.	ここからは俺がやる。黒マテリアを……俺に
Are you all right, CLOUD?	だいじょうぶ？　CLOUD
Okay then, here. Had a lot of pressure holding this thing.	じゃあ、これ。すげえプレッシャーだったぜ
Then…here you go. I was a little apprehensive holding this thing.	それじゃあ、はい。これ持ってるの恐かったんだ
Thanks. Leave the rest to me.	ありがとう。あとは俺が…………やります
Sorry to make you worry, but I'm all right now.	心配かけたけどもうだいじょうぶです
I'll make sure that the Black Materia is delivered.	黒マテリアは俺がちゃんととどけますから
Come on. The Black Materia…	『さあ、黒マテリアを……』
Please wait! Just a little longer!!	待ってください！　もう少しだけ！
Everyone, thanks for everything. And…I'm sorry.	みんな、今までありがとう。それに……ごめんなさい
…Sorry.	……ごめんなさい
…Sorry.	……すいません
Especially you, TIFA. I'm really sorry.	特にTIFA……さん。本当にごめんなさい
You've been so good to me… I don't know what to say…	いろいろ良くしてくれたのに……なんて言ったらいいのか……
I never lived up to being 'CLOUD'.	俺、CLOUDにはなりきれませんでした
TIFA… Maybe one day you'll meet the real 'CLOUD'.	TIFAさん……いつかどこかで本当のCLOUDくんに会えるといいですね
Professor Hojo…	宝条博士……
Ha,ha,ha… this is perfect!!!	クックックッ……素晴らしい……
It means that my experiment was a complete success.	私の実験がパーフェクトに成功したわけだな
What number were you? Huh?  Where is your tattoo?	おまえ、ナンバーはいくつだ？ん？イレズミはどこだ？
Professor Hojo… I don't have a number.	宝条博士……俺、ナンバー、ありません
You didn't give me one because you said I was a failed experiment.	俺、失敗作だから博士がナンバーをくれませんでした
What the--? You mean only a failure made it here?	なんということだ……失敗作だけがここまでたどりついたというのか……
I didn't know the 'Reunion' already started.	リユニオンが始まってること俺、ずっと知りませんでした
But, here I am. And I brought the Black Materia with me Just as Sephiroth wanted.	でも、ここまで来たんです。セフィロスの望みどおりに黒マテリアも持ってきました
Shut up, miserable failure…	だまれ、失敗作め……
Professor…please give me a number. Please, Professor…	博士……ナンバー、ください。俺にもナンバーをください……
Won't you give me one? …Professor?	ダメですか……博士？
I never dreamed what I thought was a success…was actually a failure, and that which I considered a failure was my greatest success…	私が成功とみなした個体が失敗……失敗と判定したおまえが最も優れていたとは……
What are you guys talking about?	おまえたちは何の話をしているのだ？
You can't hear my voice?	私の声、聞こえないの！？
No, don't!!! Please! Stop CLOUD!	だめ、だめよ！CLOUDを止めて！
Did you see it!! It's Sephiroth! So he IS here!	見たか！！　セフィロスだぞ！やはり、ここにいたのだ！
This is perfect! Both Jenova's Reunion and Sephiroth's  will!	素晴らしい！ジェノバのリユニオンとセフィロスの意志のちから！
They won't be diffused into the Lifestream, but gathered here!	ライフストリームに拡散することなくここに結集したのだ！
Mwa, haa, ha…	クァックァックァッ！
What are you so happy about, Professor? You know what this means, don't you?	宝条博士……何がそんなにうれしいの？どういうことかわかってるの……？
CLOUD has the Black Materia!	CLOUDは黒マテリアを持っているのよ！
Sephiroth is going to summon Meteor! Every single person is going to die!	セフィロスはメテオを呼んでしまうのよ！みんな、みんな、死んじゃうのよ！
Whatever I say now is too little… too late. We must evacuate.	もう、何を言っても遅い……そろそろ、ここから出た方が良さそうだ
I want you all to come with me. There's still much more I want to know.	君たちも一練に来てもらおうか。いろいろと話が聞きたい
Yo!   CLOUD! Stop! Don't do it!	おい！　CLOUD！やめろっ！　やめてくれ！
CLOUD, NO! Stop!  Please!	CLOUD！　やめて！　やめてよ！
CLOUD!!	CLOUDーーーーー！！
Who…was that?	あいつは……何者だ？
…He's a Sephiroth-clone I created after the real Sephiroth died five years ago.	……５年前、セフィロスが死んだ直後に私が創ったセフィロス・コピーのひとつ
Jenova cells and Mako, with my knowledge and skills, have been combined with science and nature to bring him to life.	ジェノバ細胞と魔晄、それにくわえて私の知識、技術、ひらめきが生み出した科学と神秘の生命、セフィロス・コピー
…I'm not wild about the failure part, but the Jenova Reunion Theory has now been proven.	……失敗作だというのが気に入らないがジェノバのリユニオン仮説は証明された
