CLOUD never came.	CLOUDさんこなかったっすね
You're right. We're just partners.	そうだね、私たちただの仕事仲間ね…
It's not ready yet… Whoa!!	まだできてないんだ…ウオオ…！！
Shut-off the switch in this position.	このまま、スイッチをお切りください
We can escape from the train event…	列車イベントをぬけるのだが……
Did it!!	大成功！！
4th failure	失敗４回目
3rd failure	失敗３回目
2nd failure	失敗２回目
1st failure	失敗１回目
Escaped	ぬけちゃう！
Last Train from Midgar	ミッドガル発最終列車
Inside Train	客車内
Look…you can see the surface now. This city don't have no day or night.	見ろよ…地上が見えてきたぜ。ひるも夜もねえ、オレたちの街がよ
If that plate weren't there… we could see the sky.	ミッドガルのプレートさえなけりゃなぁ…。でっけえ空がおがめんのになあ
A floating city… Pretty unsettling scenery.	空中に浮かぶ都市か……。おちつかない風景だな
Huh? Never expect ta hear that outta someone like you.	はあ？あんたがそんなふうに感じるとはな
…You jus' full of surprises.	……意外だぜ
The upper world…a city on a plate…	上の世界……プレート都市……
It's 'cuz of that &^#$# 'pizza' that people underneath are sufferin'!	あのくさったピザのせいで下の人間がどんなに苦しんでることか……
All the pollution from Mako energy above falls down on the world below.	上の世界で汚された魔晄エネルギーが下の世界に降りてくる
And the city below is full of polluted air.	下の世界は今じゃあ汚された空気のたまり場だ
On top'a that, the Reactor keeps drainin' up all the energy.	おまけに魔晄炉はどんどんエネルギーをくみ上げちまう
Thanks to that, the land is dying.	おかげで土地は枯れる一方だ。空気をきれいにする力もなくしちまった
Then why doesn't everyone move onto the Plate?	どうしてみんな上へ移らないんだろう……
Dunno. Probably 'cuz they ain't got no money. Or, maybe…	さあな。金がないからだろ。いや、それとも……
'Cuz they love their land, no matter how polluted it gets.	どんなに汚れていても地ベタが好きなのかもな
I know… no one lives in the slums because they want to.	わかってるさ…。好きでスラムに住んでるやつなどいない
It's like this train. It can't run anywhere except where its rails take it.	みんな、この列車とおなじ。敷かれたレールには逆らえないんだ
Stop actin' like a damn kid. Siddown an' shu'up!	子供じゃねえんだ。じっとしてろよ
Hey, CLOUD. You want to look at this with me?	ね、CLOUD。いっしょに見ない？
It's a map of the Midgar Rail System. Let's look at it together. I'll explain it to you.	ミッドガル列車路線図ディスプレイ。二人で見ればきっと楽しいと思うの。私、説明してあげるね
To the Route Map Screen	『ルートマップ画面へ』
I like this kinda stuff. Bombs and monitors…you know, flashy stuff.	私、こういうの好きなのよ。爆弾とかモニタ画面とかハイテク関係
I know!	そうだ、CLOUD
Next time, I'll make one just for you.	今度、私の手作り作品をプレゼントしちゃおうかな
Thanks anyway	えんりょしとくよ
Looking forward to it	楽しみにしてるよ
Oh yeah, you might regret it. I'm the type who takes things personal.	そう、きっと後悔するかもよ。私、ズガッ～ンと根にもつタイプなの
Okay, then I'll put a little extra effort in and make it with a BANG.	うん、じゃ、腕によりをかけてドッカ～ンと制作するわ
We're almost there. After talking with you, I'm ready to try! I think you've lit my fuse!	もうすぐ駅に着くね。CLOUDといっぱい話せて燃えたわ。私、導火線に火がついたかもよ
Speak of the devil…	噂をすれば、ね
That light means that we're in the ID Security Check area.	この光がＩＤ検知エリア通過のサインなの
…whisper…whisper… (When the lights go off, you never know what kind of creeps'll come out.)	ひそひそ……（暗くなるからチカンが多いのよ。ＩＤ検知エリアは……）
…We're almost back now. What a relief.	ま、それはさておき。もうすぐ地上に帰れるってわけ。なんだか、ホッとするね
This train hasn't switched to security mode yet.	まだ列車の非常警備体制には移行してないみたいだな
I'm sure that will change by tomorrow.	明日はそうはいかないだろうけどな
…YAWN…that sure took its toll on me. I'm gonna sleep till we get to the station.	さすがにつかれたよ。駅に着くまで、眠らせてくれ
…snore…heebeebeeheebee…snore… (Don't act so damn big, BARRET…snooze…)	スースー……ムニャムニャ…。（BARRET、いばってんじゃねえぞ…）
Someday AVALANCHE's gonna be famous …and me, too!	アバランチで名をあげていつか俺だって……っす！
CLOUD!!	CLOUDさんっ！！
Don't ya think I got a bright future ahead of me?	俺にも明るい未来がまってるっすよね？
What do you have in mind?	なにを期待してる？
Don't hold your breath	無理だな
All my life, I felt like nothin' but a sidekick.	俺、いままでずっと人生ワキ役って感じで生きてきたっすよ
But, after joinin' AVALANCHE and tryin' to save the Planet, I feel like I can do lots of things.	でも、アバランチにはいって、星の生命を救えばこんな俺でも……いろいろとね
Oh man, that's pretty harsh. CLOUD. You really think I won't?	ああ、ひどいなあ、CLOUDさん。やっぱダメっすかね、そうすかね
I'm seein' stars. This sucks. I hate the dark.	目がチカチカしたっす。俺、暗いのだめっす。苦手っす
Last Train from Midgar	路線図
CLOUD! Look over here.	さ、CLOUD！こっちむいて
Okay, it's about to start.	さ、はじめるわよ
This is a complete model of the city of Midgar.	これが魔晄都市ミッドガルの全景フレームモデルね
It's about a 1/10000 scale.	スケールはだいたい１／１００００ってとこかな
The top plate is about 50 meters above ground.	上のプレートは、地上から約５０Ｍ離れているの
A main pillar supports the plate in the center, and there are other support pillars built in each section…	プレートを支えてるのは中心の大きな支柱と各区画に建てられた柱……。柱は、機械塔とも呼ばれてるわ
Psst…whisper…whisper… (The No. 1 Reactor we blew up was in the northern section.)	ヒソヒソ……（爆破した壱番魔晄炉が北のはずれにあるの）
Then there's No. 2, No. 3 all the way up to the No. 8 Reactor.	そこから順番に２、３……８番魔晄炉まで
The 8 Reactors provide Midgar with electricity.	８つの魔晄炉がミッドガルの電力供給を支えているのよ
Each town used to have a name, but no one in Midgar remembers them.	それぞれの街には、名前もあったんだけどミッドガルに住む人は誰も覚えちゃいないわ
Instead of names, we refer to them by numbered sectors. That's how things turned out.	名前なんかより、番号で呼ぶの。そういうところなのよ、ここは
Phew, look what's next! Look!	ふぅ…、次はこれ！ほら、見て
This is the route this train is on. The route spirals around the main pillar.	私たちがいま乗ってる列車のルートがこれよ
We should be coming around the center, right now.	プレートを支えている大きな柱に螺旋状にレールが通っているの。いまは柱のちょうど真ん中あたりね
Each checkpoint has an ID sensor device.	各通過ポイントにはＩＤ検知エリアが設置されてるの
It checks the identities and backgrounds of each passenger on the train and is linked up to the central data bank at Shinra headquarters.	乗客すべての身分やなにから全部！神羅ビルのホストコンピュータと連動してチェックされちゃうわけよ
Whisper…whisper… (We definitely look suspicious, so we're using fake IDs.)	ひそひそ……（私たちはどう見たって不審人物だからニセのＩＤで通過してるの）
Sector 7 Station	７番街スラム駅
Yo!! Get over here, all'ya!!	おう！！みんな、集まれ！！
This mission was a success. But don't get lazy now.	今回の作戦は成功だ。だがな、気を抜くなよ
The hard part's still to come! Don't y'all be scared of that explosion!	本番はこれからだ！あんな爆発でびびるな！
Cause the next one's gonna be bigger than that!	次はもっと派手にかますぞ！
Meet back at the hideout!! Move out!	アジトに集合だ！！いくぞ！
Yo, CLOUD! You lissen up!	よう！CLOUDさんよ！あんたも聞いとけ！
Yo! What're ya doin' now?	おう！！なにしてやがる！
uh, BARRET… We, uh…	あ、BARRET…おれたち……
We can't do it. We just can't do it.	ダメだったっす。俺たちには、できないっす
Don't worry! Don't get all worried!	気にしない！気にしない！
CLOUD! Let's make the mission work!	CLOUD！作戦がんばろうね！
CLOUD? When this mission's over…	ね、CLOUD？作戦終わったらさぁ
Why don't all of us take a long vacation. Maybe we could go to a hot springs somewhere?	みんなでお休みとって温泉でもいかない？
I don't know…	わからないな
Yeah… If I feel like it.	ああ……。気がむいたらな
Alrighty then! It's a date!	うん！CLOUD、約束ね
You never know what lies ahead.	先のことなんか、わからないな
…how lovely.	……いいわ
I might just have to tempt you, then.	またそのときになったら誘惑する
Yo, you all done flappin' your gums!?	よし、気がすんだか！！
Go! Get on that train!	いけ！列車にのりこめ！
CLOUD… Don't be so distant.	ね、CLOUD。あんまり冷たくしないで
Everyone wants to be your friend. I'm sure…	みんな、CLOUDと仲良くなりたいんだよ。きっと…
Damn, man!! I'm here to fight!	ケッ！！オレたちは戦ってんだぞ！
Don't care 'bout bein' nobody's friend.	ともだちになることなんかねえんだ
Let's go! Don't be late!	オレたちもいくぞ！遅れんな
My husband never came back.	夫は帰ってこなかった。
I wonder if something happened to him?	夫の身になにかあったんだろうか？
No, I'm sure his leave was just canceled.	いや、休暇が取り消しになっただけかもしれない。
I went to the station everyday.	それからわたしは毎日駅へ行ったんだ。
Then, one day…	ある日……
You used to see that kind of thing a lot during the war.	戦争中はよくある風景だったね。
Please take AERIS somewhere safe.	AERISを安全なところへ。
That's the last thing she said before she died.	そう言い残して彼女は死んだ。
My husband never came back, and I had no child.	わたしの夫は帰らず、子供もいない。
I think I must have been very lonesome.	わたしもさびしかったんだろうね。
So I took AERIS home with me.	AERISを家に連れて帰ることにしたんだ。
I'm not letting you go tonight.	今夜は帰さないよ
Wow!	エェ！
Isn't there somewhere we could go to be alone?	ね、どっかで休んでいこう
There's only the train graveyard around here. And they say there's ghosts around too!	でも、このあたり列車基場しかないし。オバケでるっていうし
…damn.	……しまった
Hey, come over here.	ね、もっとそばにおいでよ
But people will…	だって…
Who cares?	いいだろ？
But… There's a weirdo over there.	でも…そこの変な人
Say, you're pretty gutsy.	きみ、ずいぶんどうどうとしてるね
Why don't you go snoop somewhere else, Romeo?	のぞきはえんりょしてくれないかな？
I've had it!	僕、もうたえられない
Me too.	いいわ…わたしもよ
You know this is the first time we've ever agreed on something.	はじめてだね。意見があったの…
Yes…	ええ…
Well then, shall we?	それじゃ…
urggh…	グゥグゥ……
…huff…wheez	スゥスゥ……
When you've been a train man as long as I have, you see a lot of people and a lot of lives.	長い間、駅員をしてますとね。いろんな人生の場面を目撃することになります
People meeting, parting, joy, sadness… After a while, it doesn't even get to you anymore.	出会い、別れ、よろこび、悲しみ……少々のことじゃおどろきません
I wonder how long it's been… There's an invisible rail between me and the passengers.	いつごろからですかね…。お客さんと私の間にね見えないレールを敷いてしまうんですよ
I could never live their lives. I'm just a train man plain and simple. It's easier that way.	お客さんの人生には立ち入らないようにね。私なんぞは、ただの駅員。そういう生き方が楽なんですかね
That's not to say that the crossing gate of my heart doesn't hurt now and again.	それでもね、心のふみきりが痛むときはありましたよ
Back during the war, I remember there was a lot of painful scenes then.	戦争中のことでしたね。あのころは、つらい場面が多かったです…
But, that's a story for another day…	いや、その話はまたの機会に……
First train leaves Midgar at 05:04am.	始発の出発時刻はミッドガル時０５時０４分になります
Morning. Dawn comes and things never change.	おはようございます。一夜明けても、あいかわらずですね
You be careful not to get hurt. Come on back again, hear?	けがしないよう、お気をつけて。いってらっしゃい
ALL ABOARD! The train is about to depart.	さあ、おはやく御乗車ねがいます。もうすぐ出発しますよ
I heard a rumor that the plate was going to fall, crushing this station, I've worked at so many years.	プレートが落ちるって噂を聞きましたです。長年親しんだこの駅ですからどうしてもはなれられません……
But I just can't bear to leave here.	いったい、どうして……？うそであってほしいです
Sector 7 Slums	７番街スラム
Don't get all slaphappy just 'cause today's mission went well!!	作戦ひとつうまくいったぐらいでうかれてんじゃねえぞ！！
Yo, CLOUD! Over here, now!	おい、CLOUDこっちだ！
Sector 7 Mechanized Tower	７番街機械塔
All right!! You losers go on ahead!!	よし！！おめえら、先入ってろ！！
OK! Go on ahead.	よし！先に入ってろ
Heh heh…	へへ……
You wanna meet your little baby?	幼なじみにはやく会いてえか？
Little baby?	幼なじみ？
Out of my way!	そこ、どいてくれ
Heh! Jus' calm down.	ヘッ！まあ、落ちつけよ
Can't have people suspectin' us.	街のやつらにあやしまれるとまずいからな…
Hey! Don't act like you don't know what I mean!	ヘッ！！とぼけちゃってよ
I'm tellin' you…	いいのかねえ…
You! CLOUD!! Get off your slow-movin' ass!!	よう！！　CLOUD！！チョロチョロすんじゃねぇ！！
The hell're you doin', boy? The operation's already started!!	なにやってんだ！！作戦は始まってんだぞ！！
I'm not opening up. Go away!!	開けないよ！！帰ってちょうだい
Oh &$#&@!! What the hell's wrong tonight!!	まったくよぉ！！今夜はどうなってんだかよ！！
I thought that long blackout was strange.	さっきまでずいぶん長く停電してたからみょうだと思ってたらよ
They say a Mako Reactor was destroyed above.	上で、魔晄炉爆破テロがおきたっていうじゃねぇか
I was jes sittin' here drinkin', watchin' the news by myself. n' all of a sudden I get kicked outta the &*%$ store. What's up with that!?	酒かっくらいながら、ニュースを見てりゃよ。突然、店を追い出される。たまんねぇよなぁ！！
Woo…ah geez, I'm blitzed. I jes love them homemade cocktails. But they sure do creep up on ya.	ウウ……よっぱらっちゃった。手作りカクテル、おいしいんだもんなあ。きついんだもんなあ
Did you hear?	ねぇ、ねぇ、知ってる？
Don't care	興味ないね
No, what?	知らないよ
There's a news update. They say that there was a terrorist explosion up above, and that this time it was a Mako Reactor!!	ニュースの速報が入ったのよ。上で爆弾テロがあったっていうじゃない。それも、魔晄炉の爆発！！
You know what this means?	これがどんなに大変なことかわかる？
No, what?	わからないよ
Ya see, I keep on top of these things, an' if ya ask me…	事情通の私にいわせればね
if you knock out Midgar's power, then all of its computers and signals are going to be knocked out, too.	ミッドガルの電力がマヒしちゃったらコンピューターとか信号とかいろいろ止まっちゃうじゃない
Financially there must've been about a billion gil worth of damage.	経ざい的損失は、ん～～１０億ギルはくだらないし
An' that ain't all!! A lotta innocent people got killed, too!	それに！！たくさんの罪なき人々が死んだと思うのよ
If the explosion had been in the middle of the night, that woulda been one thing. At least the people coulda gone in their sleep.	爆破が真夜中だったから、まだいいわ。眠ってた人はそのまま目が覚めないだけね
This Mako explosion has really sent Midgar into a fit.	とにかく、魔晄炉の爆発でミッドガルは大混乱らしいの
Oh, well excuse ME!	あ、そ！
Explosions! Explosions! Oh Man! AVALANCHE is so cool!	爆発！！　爆発！！スゲッー！アバランチ、かっくいー！
Hey!! Heh heh heh… Say, you're kinda cute. Cutie pie…	あっ！！ウヘヘヘヘ……やっぱ、かわいいなぁ。マイラブリーエンジェルちゃん…
I wasn't even done with my drink. I didn't even pay my bill…	酒、飲みかけだったのによ。あっ、かんじょうもまだだ…
All's quiet!! Shh, I'm spying now!	異常なし！！ただいま、スパイ中！
OH!! There's something!! DANGER!!  ALERT!!	ああ！！なんか、でてきました！！報告～！！　報告～！！
Did you hear?	あなた、知ってる？
Bout what?	なにを……
Don't care	興味ない
About that little girl named TIFA and that bar called '7th Heaven'.	あのTIFAちゃんのお店のことよ。『セブンスヘブン』って酒場
I'm not only informed, I'm kinda nosey too. Anyhow, I got the scoop.	私は事情通のうえに、おせっかいだからいろいろ知ってるのよね
You wanna hear?	聞きたいでしょう？
You bet!	すごく聞きたい
That BARRET and three of his henchmen are like this sometimes.	あの酒場の名物BARRETと手下の３人。ときどき、こうなのよ
Suddenly, they throw out a customer and start talking trash to him. It's strange, if you ask me. And that place always smells like gun powder.	突然、お客を追い出してゴチャゴチャやってるの。なんか、あやしいのよ。火薬のにおいとかするのよね
It's dangerous, I tell you. They must be doing terrible things in there.	危ないわ。きっと、いけないことをしてるにちがいないわ
Oh really? Well, aren't you a cool one!	あ、そ！あなたってクールなのね
There's a TV in there, but my cheap aunt won't let me in the house. Look for yourself.	この家にはテレビがあんだけどよ。ケチなおばさんがいれてくんねぇのさ。まあ、見てろって
Now that you mention it, there used to be an outside TV monitor here in the slums.	そういえばよ。この７番街スラムにも街頭テレビがあったんだけどよ
But that BARRET, busted it up.	そいつをぶっこわしたのがあのBARRETさ
Shot it up with that weird machine gun hand of his. Blam, blam, blam.	ガンガンガンガンガンガン！！って、例の腕ガンでいきなりだぜ！
I think it was when President Shinra was on.	あんときは、たしかプレジデント神羅が出演してたな
He was on again this morning, too, you know.	今日のニュースでもプレジデント神羅が出るだろうからよ
TIFA better watch out for her TV. 	こりゃ、TIFAちゃんのお店のテレビもやばいかもな
Hey!! Open up! C'mon baby!!	ヘイ！！　あけてくれってんだよ！ベイビー！！
It's me! Johnny! Mom!!	俺だよ！　ジョニーだよ！かあちゃ～ん！！
SHHH!! Wait a minute!!	おい！！ちょっとまてよ！！-
Johnny	ジョニー
I thought you were something a little better than this, but you're just a punk kid after all.	おまえ、ただもんじゃねぇと思ったが幼なじみだったのかよ…
Just what the hell do you think you're doing with my little TIFA?	俺のTIFAちゃんと……そんで、お前は俺のTIFAちゃんのいったいなんなんだよ
And now?	いまはさ？
We're just friends.	ただの幼なじみだ
What's it to you?	おまえたちには関係ないだろ
But TIFA doesn't think so.	でもよ、TIFAちゃんはそう思ってねぇぜ
Why does she ask you n' not me?	なんで、俺じゃなくてお前にたのむんだよ
If TIFA's in trouble then I'LL help her.	TIFAちゃんが困ってんなら俺が助けんだ！
But then I guess not. She's nothing to me.	だけど、そうはいかねぇよな。俺にはなんもねぇ
Not those memories beneath the stars when we were kids or all the stuff we talked about.	星空の下の思い出も子供のころの夢の話もな
About all I got is the sake that she poured me everyday I went to the bar.	せいぜいあるのは、毎日お店に通ってお酒ついでもらったことぐらいさ
Crap!	くやしい！
Hey! You! Don't think you can just walk outta here like that!	おい！　幼なじみ！このまま立ちさるなんてゆるさねえ！
Shhi-! You busted a promise!! n' you made TIFA cry!!	クッ～！！　約束かわしたんだろ！！TIFAちゃんを泣かせんなよ！
Oh yeah!?	そうかよ！！
That may be but you ain't walkin' away from here!	でもよこのまま立ちさるなんてゆるさねえ！
Urgh! You made a promise, didn't ya!? n' don' you fergit that TIFA like an angel. An angel of this slum!	んがっ～！　約束したんだろ！！TIFAちゃんはスラムの街の天使だってこと忘れんなよ！-
I'm leaving. Goin' faraway. But when I come back I'll be a better man! This is goodbye!	俺、男をみがく旅に出っからよ！これで、さよならだぜ！
Hey! Childhood friend! You better take good care of TIFA!	やい！　幼なじみ！！TIFAちゃんを大切にな！
Cause, I'll be back!! Don't make her cry, dammit!!	ぜ～ったい、もどってやれよ！！いいな、泣かせんなよ！！
I'll be back, I say!! n' don' fergit it!	ぜ～ったい、もどってやれよ！！いいな、忘れんなよ！！
I hope he doesn't get hurt.	ジョニー、悪い女にだまされたりしなけりゃいいけど
That worries me the most.	それだけが、気がかりだなあ
Ah…Johnny's gone. You look a little disappointed.	はぁ……　ジョニーのやつ、行っちまった。なんだか急にはりあいなくなっちゃったよ
I don't like to say it myself but, I'm just a lonely guy when I'm not drinking.	俺って自分で言うのもなんだけど酒飲んでないと、さびしがりやさんなわけよ
Yesterday, everyone in town was peeking at the two of you from outside the bar.	きのう、お店の外からあなたたちのこと街のみんなでのぞき見してたのよ
TIFA's childhood friend. That's a good one!	TIFAちゃんの幼なじみだなんてにくいにくい！
Listen! If there isn't anyone to listen, what's the use of getting gossip on everyone!?	もう！！！話を聞いてくれる人がいないと情報を集めてもしかたないのよね！
Yeah, and you Mr. I-don't-care!	そうだ、あなた！興味ない男さん！
I'll get a little more information that would pique even your interest. You wait and see!	今度はきっと、あなたでも興味のわくすご～い情報を集めておくから楽しみにしておいて
H, hey!! Keep your mitts off of Marlene!!	おっおい！マリンちゃんには手を出すなよ！！
Ahh! Now I ain't got no one to pick on!	あ～あ！いじめる相手がいなくなっちゃうよ！
When it comes down to it…I'm gutless. I'm still just a no-good kid.	ああ～、いざとなると勇気がでない。だめだな、ボクって。まだ子供だな～
We're closed today. Come back tomorrow.	本日は閉店いたしました。またのご来店をおまちしております
Don't be taken in by the Shinra. Mako energy will not last forever. Mako is the life of the Planet and that life is finite. The end is coming. Saviors of the Planet:  AVALANCHE	神羅にだまされるな！魔晄エネルギーは永遠ではない！魔晄は星の命！いつか終わりがやってくる！星の救世主：アバランチ
What crappy handwriting. And look at all this graffiti!	きたない字だな。おまけに、いたずら書きだらけだ
7th Heaven	セブンスヘブン
Papa!!	とうちゃん！！
Marlene! Aren't you going to say anything to CLOUD?	ほら、マリン！CLOUDにおかえりなさいは？
Welcome home, CLOUD. Looks like everything went well.	おかえりなさい、CLOUD。作戦はうまくいったみたいね
Did you fight with BARRET?	BARRETとはケンカしなかった？
Yeah	やっちゃった
Not this time	ガマンした
I should have known.	やっぱり？
He's always pushing people around, and you've always been in fights ever since you were little.	BARRETはあんな人だしCLOUDは子供のころからケンカばかりしてたしね
I was worried.	……ちょっと、心配だったんだ
Hmm. You've grown up. When you were little you used to get into fights at the drop of a hat.	ふ～ん。CLOUDもおとなになったのね。子供のころは、すぐケンカだったのに
Enter name	『TIFA名前入力』
Flowers? How nice…	あら？お花なんてめずらしいわね
You almost never see them here in the slums.	スラムじゃ、めったにさかないのよ
But…	でも……
A flower for me? Oh CLOUD, you shouldn't have…	プレゼントに、お花なんてCLOUD、そうなんだ～
…	そんなんじゃないさ
Give it to TIFA	TIFA、あげる
Give it to Marlene	マリン、あげる
Thank you, CLOUD. It smells wonderful.	ありがとう、CLOUD。ん～、いいかおり！
Maybe I should fill the store with flowers.	お店を花でいっぱいにしちゃおうかな
Thudthudthud!!	『ドカドカドカ！！　というＳＥがはいるよてい』
Marlene	マリン
Papa, welcome home!	とうちゃん、おかえり！
You all right, BARRET?	BARRET、ごくろうさま
Great!!	おう！！
Get in here, fools!! We're startin' the meetin'!!	おめえら！！会議をはじめっぞ！！
Everyone is down below.	みんなは下にいるわよ
Yeah.	おう、ただいま
Huh? Where'd you get that flower?	ん？どうしたんだ、その花は？-
CLOUD gave it to me.	……CLOUDにもらったの
Oh…	そうか……
Did you thank him?	マリン、ありがとうは言ったのか？
Thank you, CLOUD.	お花、ありがとうね、CLOUD
We'll take care of you.	ちゃんとお世話するからね
CLOUD… come over here.	CLOUD……こっちにきて
Sit down.	どうぞ、すわって
How about… …something to drink?	ねえ……何かのむ？
I don't feel like it	いまはそんな気分じゃないな
Give me something hard	キツイの、くれないか
OHH!!	も～う！！
I can make a drink just as good as anyone else.	私だってちゃんとお酒ぐらいつくれるようになったのよ
Everyone says my drinks taste the best!	お客さんだって、TIFAちゃんのつくるお酒はおいしいよっていってくれるんだから！
Just a minute. I'll make one for you.	まってて。いまつくるから
You know, I'm relieved you made it back safely.	なんだか、ほっとしちゃった。CLOUDが無事もどってきて
What's with you all of a sudden? That job wasn't even tough.	急にどうした？あのていどの仕事、なんでもないさ
I guess not…	そうね……
You were in SOLDIER.	CLOUD、ソルジャーになったんだもんね--
Make sure you get your pay from BARRET.	……今回の報酬なんだけどBARRETからもらってね
Don't worry. Once I get that money, I'm outta here.	そうするよ。報酬をもらえば、また、お別れだな
CLOUD. Are you feeling all right?	ねえ、CLOUD。気分はどう？
…Yeah… Why?	……ふつうさ。どうしてそんなことを聞く？
No reason. You just look a little tired I guess.	ううん、なんでもない。ただ、つかれてないのかなって…-
You'd better go down below.	みんなのところに行ってあげて
AVALANCHE Hideout	アバランチアジト
Yo, CLOUD! There's somethin' I wanna ask ya.	おい、CLOUDさんよ。聞きたいことがあるんだ
Was there anyone from SOLDIER fighting us today?	きょう、オレたちが戦った相手にソルジャーはいたのか？
None. I'm positive.	いや、いなかった。それは確実だ
You sound pretty sure.	ずいぶんと自信たっぷりじゃねえか
If there was anyone from SOLDIER you wouldn't be standing here now.	もしソルジャーと戦っていたらあんたたちが生きてるはずないからな
Don't go thinkin' you so bad jus' cuz you was in SOLDIER.	自分が元ソルジャーだからってえらそうに言うんじゃねえよ！
…	…………-
Yeah, you're strong.	確かにおまえは強い
Probably all them guys in SOLDIER are.	おそらくソルジャーってのはみんな強いんだろうさ
But don't forget that your skinny ass's workin' for AVALANCHE now! Don't get no ideas bout hangin' on to Shinra.	でもな、おまえは反乱組織アバランチにやとわれてる身だ。神羅のかたを持つんじゃねえ！
Stayin' with Shinra? You asked me a question and I answered it…that's all.	神羅のかたをもつ？俺はあんたの質問に答えただけだ
I'm going upstairs. I want to talk about my money.	俺は上で待っている。報酬の話がしたい
Wait, CLOUD!	待って、CLOUD！
TIFA! Let him go!	TIFA！そんなヤツ放っておけ！
Looks like he still misses the Shinra!	どうやら神羅に未練タラタラらしいからな！
Shut up!	だまれ！
I don't care about neither Shinra nor SOLDIER!	俺は神羅にもソルジャーにも未練はない！
But don't get me wrong!	でも、かんちがいするな！
I don't care about AVALANCHE or the Planet for that matter!	星の命にもおまえたちアバランチの活動にも興味はない！
You think I'm a little too uptight?	もしかして、俺、カタマってます？
No…	いや……
The next mission will be to blow up the Sector 5 Reactor.	次の作戦は、五番魔晄炉爆破！！俺、緊張しちまって、ガチガチなんすよ
CLOUD, you're great! Don't you ever get nervous?	CLOUDさんは、さっすがすね～。ぜんぜん緊張とかしないでしょ？
Or are you like, impervious to feelings? Naw, that couldn't be it.	もしかして何も感じないとか？エヘヘ…そんなわけないっすよね
Well, that's OK. Don't worry about me. I don't look like it, but I'm a coward at heart.	いや～、いいっすよ。気を使ってくれなくても。俺、体に似合わず、小心者っすから
…CLOUD.	……CLOUDさん
You say you don't care, but you came to talk to me.	興味ないとかいいながら…俺に話しかけてる
CLOUD… You just want friends.	CLOUDさん……ほんとは友だちほしいんっすよね
Isn't that right?	ね、そうなんでしょ？
Blow off	冗談じゃない
I really don't care	やっぱり興味ない
Yeah, well. You look kind of lonely to me.	そうかなあ。なんか、さびしそうなんだけど
If you ever got anything you want to get off your chest, you can always talk to me.	俺みたいなのでよかったらいつでもＯＫっすから
You're terrible. Real cold-blooded.	ひどいなあ。冷たいなあ
Oops…	うかつ……
Hey, look at the news… What a blast.	見てよ、このニュース……。こんなに爆発してる
Think it was all because of my bomb? But all I really did was just make it like the computer told me.	やっぱり、私の爆弾のせい？でも、このコンピューターの指示通り作っただけなのに
Oh no! I must've made a miscalculation somewhere.	やだ！どっかで計算まちがったかしら
Hey, that was my first bomb. Makes me kinda proud.	でも、私の爆弾の晴れぶたい。ちょっと、うれしいんだ
Money…	報酬……
Oh my. It must have been for a lot of it.	ああ、まいったわ。たしか、高額って約束よね
Sure! Well, what the hell? It's a verbal agreement. Now let me figure this out.	う～ん！ま、いいか、口約束だし。さ、計算しなきゃ…
Oh stop it, CLOUD! Did you hear me?	やだ！　CLOUD！聞こえちゃったかしら
President Shinra	プレジデント神羅
