Dolphin Shores	イルカの海辺
We ain't jus' gonna let them take the Huge Materia, are we?	まさか、ヒュージマテリアをやつらに、わたしちまうんじゃねーだろうな
Aren't we going after the Huge Materia?	ヒュージマテリアを追うんじゃないのかい？
Submarine Dock	ジュノン潜水監ドック
Shinra dog!!	神羅のイヌ……！！
Ignore it	無視する
Dognap it!	イヌ質にする
Feelin' lonely!? Better get back to your master.	さびしがりやさん！主人のもとにかえるんだな
Shinra dog!! I'm gonna dognap you!!	神羅のイヌめ！！おまえをイヌ質にしてやる！！
Those attackers won't bother us now.	これで戦闘員も手をだせまい…
Inside Submarine	潜水監内部
P…Please!! Spare me!!	はっ！！命だけはおたすけ！！
Hmm…	そうだな……
Take them all hostage	まとめて人質にする
Fight them	バトルだな
Be grateful. I'm taking you prisoner.	感謝しろよ。ほりょにしてやる
Don't think we're weak.	あまくみるな
We can't go back after coming this far.	ここまできてもどるわけにはいかないな
Thank you!	ありがとうございやす！
You're pretty nice!	やさしいでやんすね！
Inside Submarine	潜水監内部
You want the Sub? Just try an' take it!	潜水監がほしけりゃ力ずくで奪ってみな！
Um…sir! Maybe we shouldn't piss them off…	ああ……先輩！そんな強気な発言は…
Come on, CLOUD! Follow me!	いくぞ、CLOUD！オレにつづけ
Damn, man!! …What the?	ケッ！！……なんてな
Hey yo! Remember I was the leader first, man!	覚えてるか？最初はオレがリーダーでよ！
Yo! We come a long ways since we got on this train!	なあ！　あの列車に乗ってからよずいぶん遠くにきたもんだ！
Lotsa things changed! This and that.	かわっちまったぜ！あれやこれやとよ
Inside Submarine	潜水監内部
We're breakin' out of here!	ここから脱出だ！
But how? We're at the bottom of the sea!!	でも……ここ海の底なのよ！
Whatcha gonna do!?	どうすんだよ！！
I can't swim…	オイラ、およげないんだけど…
Damn! What are we gonna do?	クソッ！どうすんだ！
I wanna get outta here, now!	はやく、でたいよっ！
What we gonna do?	どないすんねんな？
We're at the bottom of the sea.	ここは深海だぞ
We're gonna hop on a torpedo and blast outta here!	ギョライに乗って飛びだす！
Don't worry! I won't miss!	心配するな！ねらいははずさない！
We don't even have a target. We're just aiming at the sky.	標的はなにもないただの空だからな
Submarine Bridge	潜水監・ブリッジ
NO, NO!! This is terrible!	こりゃ！！こりゃ、いかん！
We don't have much time left! I don't want to die!	もうあとがないであります！自分は死にたくないであります！
There's still so much more I've got to do!	自分はくいがのこるであります！
I never even got to do my special victory dance in battle!	一度も実戦でスペシャルポーズやったことないであります！
All right!! Then make this your first victory!!	うっっし！！この戦いに初勝利し～！！
Go on, show 'em!!	見せつけちゃれ！！
Yes, sir!!	はっ！！
Remember your last training. Begin!!	最後のくんれんはじめ～！！
I'm back! An' now I got no regrets!!	待たせたなっ！思い残すことはないっ！！
ATT----ACK!!	とっつげき～！！
Someone…please. I'm sorry I can't take it anymore.	だれか、すまない……。俺、もうげんかいなんだ
The lack of space, the shaking, the roar of the engine…	このせまさ、ゆれ、エンジン音……
Stop your blubberin'!! How we gonna move this without you?	ピコピコしやがって！！どうやって動かすんだ？
DAMN! I've GOT to get back in the air!	クッソ～イ！オレ様は空飛ばねえとだめなんでぃ！
I can't budge it.	オイラの足じゃ動かせないよぅ～
I…I can't… I'm history.	あたしも、もぅダメ～。あきらめちゃおうよ
What are we going to do? We stole a submarine but can't pilot it.	どうしよう……。潜水監うばっても、動かせない
Better hurry. Reno's getting away.	いそがねば。レノをとりのがすことになる
I can't fit in this seat..." No good!	あかん！シートにすわられへん！
See!?	ほら！！
Just fiddle with the controls, and we'll get somewhere!	てきとうにさわってればなんとかなるよ
Hey CLOUD? Why don't you try piloting it?	ねえ、CLOUD？そうじゅうしてみたら
They say you don't get motion sickness if you're driving.	ほら、運転すると酔わないっていうでしょ
You can do it, CLOUD!	がんばって、CLOUD！
Arrrrrrrgh!!	んが～！！
EY!! Looks likes we're almost on our way! Just keep on fiddlin' with it!!	おっ！！　いけそうだぜ！このピコピコ！！
It's all up to you!	あとはおまえさんにまかせるぜ！
Don't worry!	心配すんな！
If it breaks down, I'll smack it one. That'll fix it!	止まっちまったらオレがぶったたいて直すからよ！
It moved!	動いたよ！
CLOUD!! Try it!	CLOUD！！やってみてよ
Hunka junk…just gotta do this!	こんなもんはこうすりゃ！
SEE! Now you take over!	ほぅれ～見ろぃ！あとはたのんだぜぃ！
I'll be watchin' from here!	オレ様はここで見物してらい！
HEY---! It's movin'!	あっ～！動いちゃった！！
Oh man, this sucks!! CLOUD, do something!	こりゃ、さいて～！CLOUDっ、なんとかして
I'll hold my breath, so HURRY!	息止めてるからはやくはやく～
It's movin'--- Keep it up, CLOUD!	動いたようやなぁ～！CLOUDさん、あとはたのんますわ
Oh please drive safely, CLOUD!	CLOUDさん安全運転してや～
I'm not very mechanical, but it seems like we're starting to move.	どうやら、動きはじめたようだな。私は機械に弱い
Hang in there.	よろしくたのんだぞ
Shinra's technology is really something.	神羅の技術はたいしたものだな
Hey, you're right… I DO feel a little better driving.	そうだな……動かしてるほうが気がまぎれる
No sweat. Just leave everything to me.	ここは俺にまかせてくれ
Well, now what?	さて、どうするか？
Read the manual	操作説明を見る
Sit in the seat	席にすわる
Leave it alone	そっとしておく
Everything seems set…	準備は完了だな……
Read the manual	操作説明を見る
Start the mission!	ミッション開始！！
This switch?	このスイッチか…？
Main screen: ON	『メインビューアー・スクリーンオン』
Change the screen mode.	画面モードを切り替えます。
Submarine Operation Manual - Beginner's Edition	『潜水監の操作マニュアル・初心者編』
Button Placements	『ボタン配置』
Controls	【ボタン】
[MENU]: Speed Up	△：前進（シフトアップ）
[SWITCH]: Fire!	□：ギョライ発射！
[CANCEL]: Speed Dn	×：後退（シフトダウン）
Directional controls	【方向キー】
Up: Descend	上：下降
Left: Left rotation Right: Right rotation	左：左旋回　　　　右：右旋回
Down: Ascend	下：上昇
Mission Orders	『ミッション指令』
Presently on the ocean floor near Junon, a Red Leader Submarine carrying Huge Materia is being escorted by covert Shinra Submarine Units.	現在、ジュノン海底には、ヒュージマテリアを積んだ赤いボス潜水監を護衛するため神羅海軍潜水監隊が潜行している模様。
Furthermore, it has been confirmed that several mines have been dispersed onto the ocean floor.	また、海底には機雷が多数配置されていることを確認。
The ocean floor can only be monitored with Shinra's Sonar Radar Screen.	海底の様子は、神羅特製ソナーレーダー画面を 通じてしか知ることはできない。
Enemy subs can only be detected within the Sonar area.	潜行している敵潜水監は、ソナーはんい内に とらえないかぎり、認識不可能だ。
Get in front of the detected enemy sub and "Lock On"!!	発見した敵潜水監を正面にとらえ【ロックオン！】 
Push [SWITCH] to fire the torpedo! The mines are found on the radar screen at the top of the indicators.	□ボタンでギョライを撃ちこめ！ レーダー画面上、のびちぢみする光の柱の上に 表示されるのが、機雷だ。
The mines inflict great damage, so be careful!	機雷への接触は大きなダメージとなるので注意！
Objective	『クリア条件』
Sink the Red Leader Submarine carrying the Huge Materia!	ヒュージマテリアを積んだ赤いボス潜水監の撃破！
Time Limit: 10 minutes!	タイムリミットは、１０分！
Advice	『ワンポイントアドバイス』
1. Get the enemy submarine in front of you!	１．敵潜水監を正面にとらえよ！
2. When the lock-on marker flashes red, launch torpedos!	２．ロックオンマークが赤く点滅したらギョライ発射！
3. Concentrate attack on the Red Leader Submarine!	３．赤いボス潜水監を集中攻撃せよ！
4. If you lose track of the enemy, push [PAGEDOWN] and use your radar!	４．敵を見失ったらＲ１ボタンの全体レーダーで探索！
Submarine Operation Manual - Intermediate Edition	『潜水監の操作マニュアル・中級者編』
Radar Screen	『レーダー画面の見方』
The mines are found at the top of the indicators on the screen.	レーダー画面上、のびちぢみする光の柱は柱の上に機雷がひそんでいることをあらわしている。
The basic strategies are to 1) avoid the indicators, and 2) "Lock On" to enemies from behind.	柱をさけつつ、敵潜水監を背後からとらえ確実にロックオンするのが基本戦術となる。
The lower gauge shows the sub's remaining power.	画面下のよこゲージは潜水監の耐久力をしめす。
The right gauge shows the sub's speed.	画面右のたてゲージは潜水監のスピード。
Other warnings are as follows…	その他、各種警告の意味は以下の通り……
WARNING…Enemy submarine detected nearby!	ＷＡＲＮＩＮＧ…近くに敵潜水監発見！
ALERT…Approaching torpedo detected!	ＡＬＥＲＴ…接近するギョライ発見！
MINE…Mine detected nearby!	ＭＩＮＥ…近くに機雷発見！
CONFLICT…Collision with the ocean floor!	ＣＯＮＦＬＩＣＴ…海底に衝突（バックまたは転回せよ）
Loading torpedoes	『ギョライの装填』
Preparation time is needed before the next torpedo can be fired.	ギョライは一発撃つと次の発射までに 時間がかかる。
Take your time, and don't waste your shots!	むだ撃ちはせず、確実にねらっていけ！
Submarine Operation Manual - Advanced Edition	『潜水監の操作マニュアル・マスター編』
How to release the "Lock On" mode	『ロックオンのはずしかた』
If the sub leaves the center of the sonar screen, the "Lock On" mode will reset.	ソナーはんい内にとらえた潜水監を画面中心部からはずすとロックオンがリセットされる。
Other Controls	『ＬＲボタン／スタートボタン』
[PAGEUP]: Climb	Ｌ１：水和上昇
[PAGEDOWN]: Sight	Ｒ１：全体レーダーサイト
[CAMERA]: Dive	Ｌ２：水和下降
[TARGET]: View	Ｒ２：視点切りかえ
[START]: Help & Pause	スタートボタン：キー操作ヘルプ＆ＰＡＵＳＥ
When Locked On by an enemy torpedo	『敵のギョライに追われたとき』
Shift up to maximum speed by pressing [MENU] repeatedly. This will enable you to speed up past the maximum speed and outrun the torpedo!	最高速までシフトアップし、△ボタンを押し続ければさらに限界値までスピードアップ！ギョライをかわすことが可能！
…That is all.	……以上。では、健闘をいのる！
I guess…	『とりあえず……』
Victorious in Mini-game	ミニゲーム勝利
Defeat in Mini-game	ミニゲーム敗北
Phew! We did it!!	ふぅ～！　やったな！！
The Huge Materia should be at the bottom of the sea by now. Let's continue the search…	ヒュージマテリアは海底に沈んだはずだ。このまま、探索を続けるか…
…All Shinra Submarine Units, do you read…?	『……神羅潜水監部隊全機、応答せよ……』
Hmm…? …Must be from Shinra.	ん……？……神羅の通信か
…Report, No. 2…	『……どうした、２号機応答せよ……』
No. 2…	２号機……
…I saw that written at the dock! They must mean this sub.	……通路に書いてあった！この潜水監のことよ
Is it us?	オレたちじゃねえのか？
We're Submarine No. 2	オイラたちだよ、２号機って
Make 'em shut up! Just answer somethin'!	うっせいってんだ！適当に返事しろぃ！
Oh my god! They mean us.	ゲロゲロ……！あたしたちのことだよぉ
We need to respond!	応答するしかないやろ！
We've no choice but to respond.	こたえるしかあるまい
All right, I'll do it.	わかった、やってみる
This is Shinra No. 2… Everything's normal.	こちら神羅２号機……。異常なし
…Roger…	『……了解』
…Your next mission is…	『………次のミッションを伝える……』
…Return to Junon Dock…	『……すみやかにジュノンドックに帰航せよ……』
…We will transport the Huge Materia from the airport…	『…ヒュージマテリアをエアポートより搬出する…』
…Those without other assignments will report for guard duty…	『……作業のないものは警備にあたること……』
That is all. Over and out…	『……以上、通信終了……』
Junon Airport… We should make it if we hurry.	【ジュノンエアポート】…。急げばまにあうか
Forget about the Huge Materia for now.	海底のヒュージマテリアはあとまわしだ
We're climbing!	浮上するぞ！
Aye, aye… CAPTAIN!	はいはい……監長さん！
#%$@! What's all this 'Climbing!' crap? Gimme a break!	チッ！　なにが浮上だっ！調子のいい野郎だぜ！
Take o-ff!	発進～！
The airport? No sweat!	エアポートだろっ！まかせときぃ！
Climbing…arrrgh…my ears…! LET ME OUT--I HATE THIS!	浮上……みみみみ耳がツーン…おろして～もうだめえ～
We gotta hurry!	ほんな、急ぎましょ！
First the ocean, now the air… What a busy day.	海から空か…いそがしいな
Received "Shinra Sub"!	『神羅の最新潜水監』を手にいれた！
…We lost. I guess I'm just not cut out for all this.	……負けてしまった。俺にはむいてないようだ
We're gettin' outta here!	脱出するぞ！
Hear that? Junon Airport!	聞いたか？【ジュノンエアポート】！
We can still get the Huge Materia back! Let's hurry!	ヒュージマテリアを取り返せる！急ぐぞ！
It seems like a key to somewhere…	どこかのカギみたいだ……
Do you think it's…?	これがそうなのか……
It seems really old.	おそろしく古いな
…Analysis completed…	『……分析結果……』
…Exact date of origin: undetermined…	『……取得物の生成年代は特定不能……』
…Estimated to be several thousand years old…	『……数千年前のものと判別……』
Key of the Ancients…	古代種の鍵……
Several thousand years… ……Ancients?	数千年…………古代種？
Received Key Item "Key to Ancients"!	キーアイテム『古代種の鍵』を手にいれた！
Anyhow…	『とりあえず……』
So this is the Leader Sub…	これが俺たちの撃沈したボス潜水監か……
Damn…makes me sick just thinking about it…	ウップ…………思い出したら気持ちが悪くなってきた
…Huge Materia recovered…	『……ヒュージマテリア回収完了……』
…No damage appears to have been sustained…	『……損傷はない模様……』
…phew… That's good to hear.	……ふぅ……。ひとまず、よかったな
Received Key Item "Huge Materia"!	キーアイテム『ヒュージマテリア』を手にいれた！
Hmmmm…	う～ん……
Fight them	バトル
Take them prisoner	ほりょにしとく
Piloting a submarine is very difficult! I am completely clueless!	潜水監の操作はむずかしいでありますよ！自分はチンプンカンプンであります！
I thank you! I am happy to be a hostage!	ありがとであります！ほりょにしてくれて自分はしあわせであります！
Hey! Who am I to know?	こりゃ！き、きやすく話かけんな！
Submarine Bridge	潜水監・ブリッジ
An unconditional surrender, huh?	無条件こうふくというやつだな
We're your prisoners	人質だな
Don't bet on it…	あまいな…
Received "Shinra Sub"!	『神羅の最新潜水監』を手にいれた！
We'll hide it somewhere secluded.	めだたない場所へうつしておくぞ
It looks like a key to something.	どこかのカギみたいだ……
You think it could be…?	これがそうなのか……
It seems really old.	おそろしく古いな
…Analysis completed…	『……分析結果……』
…Exact date of origin undetermined…	『……取得物の生成年代は特定不能……』
…Estimated to be several thousand years…	『……数千年前のものと判別……』
The Key of the Ancients…	古代種の鍵……
Several thousand years… …Ancients?	数千年…………古代種？
Received Key Item "Key to Ancients"!	キーアイテム『古代種の鍵』を手にいれた！
For now…	『とりあえず……』
Received Key Item "Huge Materia"!	キーアイテム『ヒュージマテリア』を手にいれた！
Hallway	神羅飛空艇・通路
Research Room	神羅飛空艇・研究室
Cargo Room	神羅飛空艇・カーゴルーム
Received "Hades" Materia!	『ハーデス』のマテリアを手にいれた！
Cannot take on anymore Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Received "Outsider"!	『アウトサイダー』を手にいれた！
Received "Escort Guard"!	『エスコードガード』を手にいれた！
Received "Heaven's Cloud"!	『天の叢雲』を手にいれた！
Received "Conformer"!	『不倶戴天』を手にいれた！
Received "Spirit Lance"!	『ロンギヌス』を手にいれた！
Received "Megalixir"!	『ラストエリクサー』を手にいれた！
Received "Double Cut" Materia!	『れんぞくぎり』のマテリアを手にいれた！
Received "Highwind"!	『ハイウインド』を手にいれた！
This is the Shinra's Gelnika type airplane… I wonder why it went down here?	これは、神羅のゲルニカ型飛空艇……なぜこんなところに沈んでいるんだ？
What is this place? Must be some kind of a Research Establishment because there's a Mako generator.	なんだ、ここは……魔晄ジェネレータがあるという事はなにかの研究施設なのか？
This is terrible… It's all messed up…	ひどいな……メチャメチャだ
This must be the Cargo Room…	ここはカーゴルームか……
Turks!?	タークス！？
Rude	ルード
Again?	……またか
Reno	レノ
We just seem to keep running into each other lately!	どうも最近いろいろと縁があるな、と
Reno	レノ
There were weapons and Materia developed solely to destroy Sephiroth.	この飛空艇には、セフィロスに対抗するために開発された武器やマテリアが積んであった
Rude	ルード
But, it was attacked by Weapon and sunk to the bottom of the sea.	……しかし、ウェポンに襲われて海の底に沈んでしまった
