Marshes	湿地帯
If you go that far, what can I say? Well, we'll be able to do something if you leave it up to us.	そこまで言われちゃあな。ま、オレ様たちにまかせておけばなんとかならぁな
Hey! We'll come to the rescue.	おうよ！オレたちがなんとかするぜ
Yes, yes. Let's do our best.	そうよね。がんばりましょ
Right. Let me lend a hand, too.	わかった。協力しよう
Got it. I'm gonna lend a hand, too.	わかった。協力するよ！
Okay, it's settled. We're gonna get the Materia, right?	よ～っし。マテリアゲットね
Well then, let's do our best.	ほんな、がんばりましょ
That's the right decision.	いい決断だ
I see… Come back if you should change your mind.	そうか……気が変わったら来てくれ
Have you by chance changed your mind?	気が変わったかな？
…	……
Well, let's do it	ああ、やってみよう
My position hasn't changed	変わらないな
Whew, we'll be saved.	ふぅ、助かるよ
Ask my son, who's standing guard at the shed, about the details of our military tactics. We're depending on you.	戦術に関するくわしいことは見張り小屋にいる、私の息子に聞いてくれ。よろしく頼んだよ
Ask my son, who's standing guard at the shed, about anything related to our military tactics.	戦術に関するくわしいことは見張り小屋にいる、私の息子に聞いてくれ。よろしく頼んだよ
Yes, yes, I've also told the store owners about you, so they should sell you various items.	そうそう、店の方にも君たちのことを伝えておいたのでいろいろ、売ってくれるはずだ
And feel free to use our beds.	それと、ベッドは自由に使ってくれ
I'm begging you. Please prevent the reactor from being destroyed and the Condor from being killed.	頼む、魔晄炉が破壊されコンドルが殺されるのを防いでくれ
You've come at a good time. Shinra's changing its strategy now.	いいところへ来てくれた。神羅がやり方を変えてくるぞ
It seems that Shinra will destroy the reactor and then take out the Materia that's inside.	どうやら、魔晄炉を破壊して中からマテリアを取り出すつもりらしい
I see. I guess that means this area, too.	そうか、ここもか。
Well, we can't afford to lose any more.	もう、負けられないな
Man, we're walking on dangerous ground. We can't lose now!	やばいぜ、負けられないぜ！
Now is the time to dig in.	今が、がんばりどきね
We can't afford to be beaten!	負けられない、ね
We can't afford to be beaten!	これは負けられないね！
If we lose here, all the Materia we gathered will be for nothing.	ここで、負けちゃせっかくのマテリアがパーだよ
You're right. If we lose here, we'll be in great danger.	そうやね。ここで負けてしまうとちょっとやばいことになりそうですな
We must protect this area.	ここは、守らなければ
Damn! I guess we have to protect this area too.	ち！ここもかよ
Watch Room	見張り小屋
Do you guys want to see it, too?	あんたたちも見るかい？
See what?	なにをだ？
What?	なにをです？
What is it?	なんだよ？
The condor. It's huge. Come on, have a look.	コンドルだよでっかいぜ。いいから見てみろよ
What do ya think? Awesome, huh?	どうだい？すごいだろ
So, will you help us? I don't want them to get killed.	どうだろう、協力してくれないか？あいつらを、死なせたくないんだよ
They're gigantic birds and so striking. We simply can't let them be killed by man's selfishness.	でかいし、かっこいいよな。あいつらを人間の勝手な都合で殺しちまっていいのか？
Of course not. There's no way, especially by the Shinra.	いいわけないよな。特に神羅の都合で、なんて絶対に許しちゃだめだ
If you want to see them, get on that chair over there.	見るんだったらそっちのイスの上に乗りなよ。気のすむまで見てくれよ
Thanks for accepting.	引き受けてくれてありがとう
So shall I let you in on our strategy?	じゃあさっそく戦術の説明をしようか
The enemy has targeted our mountain reactor and will be climbing to reach it.	敵は、この山の魔晄炉を目指して登ってくる。
We must set a trap and hire soldiers to protect the place.	それにたいして、ワナを置いて兵を雇って守るのだ
Well, this is all we have… This village doesn't have any money. Even if we wanted to fight, we can't because we're broke.	まあ、これだけなのだが……この村は、お金がない。戦おうにも、お金がなくて何もできない
We need 400 gil to hire one soldier. So, if we hire 20 soldiers, we need 8000 gil.	なにせ、兵を雇うと４００ギルも必要になる。２０部隊雇うと、８０００ギルにもなってしまう
We need to ask you to use your own money to hire these soldiers, buy the equipment, set it up and give the commands.	つまり、君たちにおねがいするのは君たちのお金で兵を雇い、ワナを買って配置し、指示してもらいたい
We know what we're asking is selfish.  We sent our wives and children to another village, But, we're resigned to stay.	ものすごく勝手なことを言っているのはじゅうぶん承知している
Let's get back to basics. If the enemy reaches this shed, you'll have to fight them off immediately.	母親たちと子どもたちは、別の村へ移した。私たちも、かくごはできている
It's a one shot gamble but we're asking for your help.	話を元へもどそう。もしこの小屋に敵が進入したときには君たちが直接戦わなければならなくなる
So, shall I let you in on our strategy?	一発勝負になってしまったがよろしく頼む
The enemy has targeted our mountain reactor and will be climbing to reach it.	じゃあさっそく戦術の説明をしようか
We must set a trap and hire soldiers to protect the place.	敵は、この山の魔晄炉を目指して登ってくる。それにたいして、ワナを置き兵を雇って守るのだ
Well, this is all we have… this village doesn't have any money. Even if we wanted to fight, we can't because we're broke.	まあ、これだけなのだが……この村は、お金がない。戦おうにも、お金がなくて何もできない
We need 400 gil to hire one soldier. So, if we hire 20 soldiers, we need 8000 gil.	なにせ、兵を雇うと４００ギルも必要になる。２０部隊雇うと、８０００ギルにもなってしまう
We need to ask you to use your own money to hire these soldiers, buy the equipment, set it up and give the commands.	つまり、君たちにおねがいするのは時間があるのであれば君たちのお金で兵を雇い、ワナを買って配置し、指示してもらいたい
If you don't have time could you help us with a donation?	時間がないのであれば資金援助をおねがいしたい
If you donate the money, we can hire the soldiers and block Shinra's attack.	資金援助してもらえばその資金で兵を雇い神羅の攻撃を防げる
We know what we're asking is selfish. We sent our wives and children to another village, But, we're resigned to stay.	ものすごく勝手なことを言っているのはじゅうぶん承知している
Let's get back to basics. If the enemy reaches this shed, you'll have to fight them off immediately.	母親たちと子どもたちは、別の村へ移した。私たちも、かくごはできている
It's not the end of the world, but if you lose repeatedly, it could be dangerous.	話を元へもどそう。もしこの小屋に敵が進入したときには君たちが直接戦わなければならなくなる
Now then, is there anything you wish to ask?	まあ、１回負けたからといってそれで、終わりにはならないけど何度も負けてしまうと、危険だね
Conditions for victory	さて、何か聞きたいことはあるかい？
The enemy	勝利条件のこと
Type of soldiers	敵のこと
Funding	雇える兵のこと
Other	資金のこと
Enough	その他のこと
You can win by wiping out the enemy or killing the enemy commander.	もうじゅうぶんだ
If the enemy reaches the shed, they'll attack, and you'll have no choice but to battle immediately.	敵を全滅させる、もしくは敵にはコマンダーと呼ばれる司令官がいるからそいつを倒せば、勝利だ
If you lose, the Condor's life and ours…are over.	敵が、小屋に接触したならばここへ乗りこまれてしまうから直接戦わなくてはならなくなる
You can win by wiping out the enemy or killing the enemy commander.	もし直接戦って負けてしまったらコンドルの命も、わたしたちの命も消えてしまうだろう
If the enemy reaches the shed, they'll attack, and you'll have no choice but to battle immediately.	敵を全滅させる、もしくは敵にはコマンダーと呼ばれる司令官がいるからそいつを倒せば、勝利だ
If you lose during direct contact, and even if the enemy gets to the reactor, there's still a chance to win.	敵が、小屋に接触したならばここへ乗りこまれてしまうから直接戦わなくてはならなくなる
But, it's only a slight chance, and we have no idea how much the reactor can endure in an attack.	もし直接戦って負けてしまい魔晄炉に取り付かれてもある程度までならなんとかなる
When we can't defend against the attack any longer, the Shinra will take our lives, the Condor and all the Materia in the reactor.	ある程度といったが、どれくらい耐えられるかは実際にやってみなくてはわからないと思う
We can't use the Tristoner or Fire Catapult, because they are still not ready.	耐え切れなくなったときコンドルの命も、私たちの命も魔晄炉内部のマテリアも、神羅に奪われてしまう
The Fire Catapult is ready now, so we can set it up.	それと、３連岩落機、爆弾投機はまだ開発中なので設置はできない
We can't use the Tristoner, because it is still not ready.	爆弾投機の開発が終わったので設置できるぞ
First off, we must prepare the troops.	３連岩落機、はまだ開発中なので設置はできない
Move the cursor wherever the x mark does not appear, then press [OK] to set-up.	まず、最初にやることは味方の兵を配置することだ
After all positions are in place, press [CANCEL]. This starts the battle.	カーソルを動かしてバツ印がでないところで○ボタンを押すと配置決定となる
Soldiers can only be arranged near the shed, in the beginning.	すべて配置したならば、×ボタンで終了する。これで、戦闘開始となる
That's because if the soldiers are too far away, they won't be able to follow instructions.	兵は最初、小屋の近くにしか配置できない。遠くにいると、指示が届かなくなるからな
You can only put soldiers above the horizontal line at the very bottom.	兵を配置できるのはいちばん下にいる兵の横ラインまでだ
Soldiers can be instructed by pushing [ASSIST]. So if any commands are unclear, push it.	兵への指示の出し方は『セレクトボタン』でわかるからわからなくなったら、押すといい
Soldiers can report by pushing [OK]…	兵からの報告が送られてくるが○ボタンを押せば……
The cursor will move to the soldier who made the report.	その報告を行った兵のところまでカーソルが移動する
Press [CANCEL] and you'll hear the report without moving.	×ボタンを押せば移動せずに報告を聞き流せる
And you can bet Shinra will send platoons at you on a regular basis.	それから、神羅は定期的に部隊を送ってくる
It would be great if you could spare the time to help us…	時間があるとき来てくれるとちょうどいいだろう
But, if you really don't have time, would you contribute some financial assistance?	どうしても、時間がないのならば資金援助をたのむ
Hey, looks like they're getting ready to attack right now! Please, any help is appreciated…	お、ちょうどいいのが登ってきたぞ。手始めには、ちょうどいい数だ。それじゃあいっちょ、おねがいしますか
Whew, that was good. But, Shinra's troops will be back.	ふう、うまくいったな。しかし、神羅はかならずまたやってくる
Be sure and scout the area well… We don't know when they'll attack again.	次は、いつ攻めてくるかわからないからときどき、見てきてくれよ
My God! They're attacking! We're counting on you.	しまった！入りこんできたぞ！君たち、たのんだよ
We made it through that one somehow. But, Shinra'll be back.	なんとかしのいだな。しかし、神羅はかならずまたやってくる
Be sure and scout the area well… We don't know when they'll attack again.	次は、いつ攻めてくるかわからないからときどき、見てきてくれよ
Are you all right? Looks like a few got through.	大丈夫か？何匹か入りこまれたな
We have  allies left, so here's  gil.	味方は、体残ったからギル返すよ
We have 20 allies left, so we'll return 4000 gil to you.	味方は、２０体残ったから４０００ギル返すよ
Hey we're a little short on money… so could you at least make it  gil?	おいおい、所持金がちょっと少なすぎないか？せめて、ギルはないとな
Hang in there, if we lose  more times, we're in deep trouble.	後、回負けると危ないからがんばってくれよ
How are things going? Seems like there's no activity at Shinra.	やあ、調子はどうだい？今は、神羅もおとなしいようだよ
Perfect timing! They're just around the corner. Get ready.	おお、ちょうどのタイミングだ！もう、すぐそこまで来ているらしいぞ。準備してくれ
Wait	まだ準備ができていない
OK, ready	準備はできている
Contribute gil	資金援助をする
Let them handle it	今回はまかせる
Hear more	説明を聞きたい
Preparations ready?	もう準備はいいかい？
Wait	まだ準備ができていない
OK, ready	準備はできている
Contribute gil	資金援助をする
Let them handle it	今回はまかせる
Hear more	説明を聞きたい
Ready?	もう準備はいいかい？
Wait	まだ準備ができていない
OK, ready	準備はできている
Hear more	説明を聞きたい
I see, very well then. Maybe, we'll fight together again sometime.	そうか、わかった。次は、いっしょに戦ってくれよな
Sorry. We only have  gil. We have to beg for your help.	すまない。資金が、ギルしかないんだ。君たちにおねがいするしかないのだよ
We have  gil right now.	現在資金はギル残っている
We need 3000 gil for each battle.	１回の戦闘で必要な資金はだいたい３０００ギルくらいだ
How much can you help?	どれくらい援助してくれるんだい？
500 gil	５００ギル
1000 gil	１０００ギル
2000 gil	２０００ギル
3000 gil	３０００ギル
5000 gil	５０００ギル
Nothing right now	今は、やめておく
We are very grateful, but you don't have enough money.	ありがたいのだが所持金が足りないようだぞ
Thanks. This makes gil.	ありがとう。これで資金はギルになったよ
That's enough money for now. If we run out, we'll ask you for more.	今は、じゅうぶんだから足りなくなったら、また、おねがいするよ
How goes it? The Shinra troops have attacked times since you were here.	やあ、ひさしぶりだね。あれから神羅が回やってきたよ。おかげで資金がかなり減ってしまった
So we're getting a little short on funds.	ちょっと、遅かったな。つい先ほど神羅に攻めこまれてしまったよ
You're just a little too late… They attacked when you weren't here.	次はもうすこし早く来てくれよな
The situation has changed. Looks like the enemy is set to attack. If we lose here, it's over.	どうやら事態が変わったらしい。奴らこれで終わりにする気らしい。これに負けるとやばいぞ
Our lives are in your hands. We're counting on you.	おれたちの明日は君たちにたくす。たのんだぞ
… Even if you could only spare them…	……せめて彼らだけでも……
