Wilderness	荒れ地
BARRET	BARRET
Whaddya mean 'this one'!? This one'?	これ『は』って何だ！『は』って！
So you WERE plannin' somethin'!!	おまえ、やっぱり何かたくらんでたんだな！！
TIFA	TIFA
This one? Did you just say 'THIS one'?	これ『は』？今、これ『は』って言った？
So you WERE trying something!	YUFFIE、やっぱりあなた何かたくらんでたのね！
RED XIII	RED XIII
What do you mean 'this one'? THIS one'?	これ『は』って何だよ『は』って！
So you were concocting some evil scheme!!	やっぱり何か悪だくみしてたんだ！！
CAIT SITH	CAIT SITH
This one? What do you mean 'THIS one'?	これ『は』？『は』ってなんです？
So you were planning on tricking us!	なんやほかにもやましいことでもあるんとちゃうか！
CID	CID
Whaddya mean 'THIS one'? THIS one'!?	これ『は』っつうのは何だ！『は』っつうのはよ！
So you WERE planning some crooked $%*&!!	おめえ、やっぱり何かたくらんでやがったな！！
VINCENT	VINCENT
What do you mean, 'This one'?	これ『は』？『は』とはどういうことだ？
You had something else in mind?	ほかのことなら心当たりがあるというのか？
YUFFIE	YUFFIE
No, umm, uh…	い、いや、あの……
Shinra Soldier	神羅兵
What should we do!?	ど、どうする！？
Shinra Soldier	神羅兵
Uh…Get them! Grab them and ask questions later!!	い……や、やれ！いいからやってしまえ！！
AERIS	AERITH
What's going on!?	これ、どういうこと！？
I thought something was missing… my Materia's all gone!!	なにかたりないと思ったらマテリア、マテリアなくなっちゃってる！！
BARRET	BARRET
The hell's goin' on!?	おい、どうなってんだ！？
I knew somethin' was missing. All my Materia's gone!!	なんかたりねえと思ったらマテリアが、マテリアがなくなっちまってる！！
TIFA	TIFA
What's going on!?	いったい、どうなってるの！？
I thought something was odd… My, my Materia is missing!!	なんだかおかしいと思ったらマテリアが、マテリアがなくなってるじゃない！！
RED XIII	RED XIII
What's going on?	どうなってるんだよォ？
I thought something was funny, my Materia's disappeared!!	なんかおかしいと思ったらマテリアが、マテリアがどっかへ行っちゃった！！
CAIT SITH	CAIT SITH
What's going on!?	どないなっとるんや、コレ！？
Something's missing…my Materia…it's gone!!	なんや足りんと思とったらマテリアがゴッソリのうなっとるやないか！
CID	CID
What the hell's goin' on?	コリャー、どういうこったい！
I knew I was missing something… My Materia's gone!!	なんかものたりねえと思ったら、マテリアのやつどっか行っちまいやがった！！
VINCENT	VINCENT
I thought something was wrong. So that's it.	どうもおかしいと思ったらなるほど、そういうことか
My Materia's been stolen…	みろ、マテリアがぬきとられている……！
CLOUD	CLOUD
Hey…where's YUFFIE?	おい……YUFFIEは……？
AERIS	AERITH
Hey…where's YUFFIE?	ね……YUFFIE……は？
TIFA	TIFA
Hey…where's YUFFIE?	ねえ……YUFFIEは……？
BARRET	BARRET
Yo…where's that $#@^% YUFFIE?	おい……YUFFIEは……？
RED XIII	RED XIII
Hey…where's YUFFIE?	ねえ……YUFFIEは……？
CAIT SITH	CAIT SITH
Now…where's YUFFIE?	はて……YUFFIEさんは……？
CID	CID
Ey…where the hell's that damn kid?	オイ……YUFFIEのやつは……？
VINCENT	VINCENT
…	おい……YUFFIEは……？
AERIS	AERITH
I'm SO mad!!	くーやーしーいーっ！！
BARRET	BARRET
That &*&$ kid!!!	あーのーやーろーおーっ！！
Grrrrrgh!! Arrrrrgh Uhhhhhhhhhhhh!!	ガーッ！！ガアーッウオオオオーッ！！
TIFA	TIFA
She's done it again!!	やーらーれーたーっ！！
I'll never forgive her!	まただますなんて！もう許さないから！
RED XIII	RED XIII
ZOUNDS!!	チークーショーッ！！
Grrrrrrrgh… Grrrgh! Grrrrrgh!!	ガルルル……ガウッ！ガウウッ！！
CAIT SITH	CAIT SITH
She's done it again!	あちゃ～、やられてしもた～！
She sure took us for fools!	いや～、すっかりハメられましたなぁ！
CID	CID
That little ^%#^$@!!	あーのーやーろーおー！！
Takin' me for a fool!!	このオレ様をコケにしやがったな！！
VINCENT	VINCENT
Inexcusable…	これは見過ごせないな……
AERIS	AERITH
She was probably eyeing our Materia from the beginning.	最初からあのコわたしたちのマテリアねらってたのね、きっと
It looks like she went North. Let's hurry after her and get our Materia back!	あのコ、北の方に逃げたみたい。早く追いかけて、マテリア取り返さなくちゃ！
BARRET	BARRET
She was after our Materia from the start!!	あいつ、はじめっからオレたちのマテリアをねらってやがったんだ！！
She went North! When I get my hand on her, I'll get our Materia back!	北だ、北に逃げてったぜ！絶対に、絶対につかまえてマテリア取りもどしてやる！
C'mon! We're goin' after her!	急げ！後を追うぞ！
TIFA	TIFA
She was after our Materia from the beginning.	はじめっから私たちのマテリアをねらってたんだわ
She won't get away with this! I'm pretty sure she ran off North. Let's go after her!!	そんなことさせないから！たしか北の方に逃げてったわ。後を追いましょう！！
RED XIII	RED XIII
Her objective was stealing our Materia from the beginning.	はじめからオイラたちのマテリアがねらいだったんだ
…sniff… North! She ran off to the North!	クンクン……北だ！北の方に逃げたよ！
I'm not going to let her get away with this! Hurry, hurry! We have to get our Materia back!	このまま逃がすもんか！早く早く！マテリア取りもどさなきゃ！
CAIT SITH	CAIT SITH
She must've been after our Materia from the beginning.	さいしょっからマテリアが目的やったんやな
We can't just let her get away, right? Then, let's hurry after her! Which way? It's North, the North! It's a message from the stars!	ほっとくわけやないんですやろ？ほんな、ちゃっちゃと追いかけましょ！方角？北です、北！占いのおつげや！
CID	CID
No doubt about it! That kid was after our Materia from the start!!	間違いねえ！はじめからオレ様のマテリアをねらってやがった！！
Hmm… Looks like she went North.	フン……どうやら北に逃げたらしいな
Don't drag your asses! We're going right NOW! That $#@^% is history!!	グズグズするない！すぐ出発するぞ！あのヤロー、とっつかまえてやる！！
VINCENT	VINCENT
Seems as though all that she was after was our Materia.	どうやら、最初からマテリアが目的だったようだな
We can't just let her get away. She ran to the North…	我々としてもこのままにしておくことはできないな。逃げたのは……北、か……
We must go after her and retrieve our Materia back.	さあ、後を追ってマテリアを返してもらわなければ
BARRET	BARRET
Hey, we gotta problem! Our Materia's all gone!!	オイ、たいへんだ！オレたちのマテリアがなくなってる！！
RED XIII	RED XIII
O…OH NO! All of our Materia…gone!?	た、た、たいへんだよ！オイラたちのマテリアがなくなっちゃった！！
Wutai	ウータイ
YUFFIE	YUFFIE
Hey!!	あッ！！
Life is just like a river. It flows from the large ocean of life, and eventually it returns back to it.	人の生、ただ水の流れににたり。命の大海より流れいでまた大海へと帰るものなり
Wutai is a historical place. There are some very unusual things here you should see.	ここは歴史の地、ウータイ。めずらしいものもあるからごらんになるといいでしょう
YUFFIE? I saw her a while ago. She must be in one of the houses around here.	YUFFIEですか？さっきみかけましたよ。このあたりの家にいるんじゃないかしら……？
Materia is like Life. They both come from the large ocean of life, and both must return to it.	マテリアも人の生ももとは同じ。いずれ命の大海へともどるべきものなのです
Life is like the dew on the leaves of the trees. Whether Meteor falls or not is no more than a fleeting glimmer.	人の生など、木の葉からしたたるあさつゆのようなもの。あの星が落ちようと落ちまいとほんの一瞬のきらめきにすぎないのです
Lord Godo is in this house.	この先の屋敷にはゴドー様がいらっしゃる
He used to be quite strong, but now, all he does is sleep…	むかしはたいそう強い方だったが今ではねてばかりだナ……
What, YUFFIE… It's best to ask Lord Godo about that.	なに、YUFFIEとな……それならゴドー様にきくのがいちばんだナ。　なにせ……
But today he's not in the best of… Well, I should say… But really he's not so…	いや、しかし今のゴドー様には……とはいっても……しかし、あれではナ……
Anyhow, for some reason YUFFIE's had a fondness for Materia ever since I can remember.	どういうわけかYUFFIEはむかしからマテリアが好きでナ。いつでもマテリアのありそうな場所をウロウロしてるよ
She's always hung around places she thought might have it. That's just how she is. Sometimes she'll just bust into people's houses.	YUFFIEのやつ、あの性格だからナ。ときどき、人の家なんかに勝手にあがりこんだりするんだよ
Other times she'll hide in the shadows just like a little kid.	そんでもって、ものかげにかくれたりなんかして……まだまだコドモなんだナ
That reminds me, lately I've seen a kid around here that reminds me of YUFFIE.	そういえばさっきからYUFFIEみたいなコをみかけるな……
Always sneakin' around corners and doin' somethin' she shouldn't.	どっかすみっこのほうでまたゴソゴソと、何かしてるんじゃないかナ
She's always getting into fights. I guess she takes after Godo that way.	ケンカばかりしとるがあれでゴドー様とYUFFIEはじつによくにてるんだ
Like father like daughter…	やはり親子なのかね……
Two girls just went off towards Da-chao. I wonder if that place is popular with the kids now?	そうそう、たった今女の子がふたりダチャオ像の方へ行ったがあれが今のはやりなのかナ？
One had herself all tangled up in a rope. And the other one kind of looked like YUFFIE.	ロープでグルグルまかれてかかえられてったよ。そういやひとりはYUFFIEに似ていたナ……
Hm, money? There's all kinds of money.	なに、カネ？カネと言ったっていろいろあるからナ……
This type and that… Hey now that you mention it, there was some money over there.	あんなカネ、こんなカネ……おお、そういえばあそこにもカネがあったナ……
The end is right in front of us…	すぐそこに終わりが近づいている……
But what can you do about it? Just go on living your life, day in and day out…	だからといって、私に何ができる？けっきょくいつもと同じ生活を送るしかないんだよナ……
Alright, alright, alright! I know!	ハイハイ、ハーイ！ボク、しってます！
On the side of the mountain, right there in your face is Da-chao!	あそこのお山にガガン！と立ってるのはダチャオ像！
I hear you can climb to the top, but since it's dangerous I'd be mighty careful if I were you!	てっぺんまでのぼることもできるんだけどちょっとアブないからよーくきをつけてねー！
A girl with Materia? No, there hasn't been anyone climbing Da-chao for some time now.	マテリアもったおねえちゃん？ううん、ダチャオ像にはしばらくだれものぼってないよ！
You know I've noticed that there's a pounding noise from time to time in this store.	そういえば、ここのマテリア屋さんの中で、なんだかゴトゴト音がしてたケド
Why Da-chao? Alright, alright, alright! I don't know!	なんでダチャオ像？ハイハイ、ハーイ！ボク、それわかりませーん！
Alright, alright, alright! I saw an old man in flashy clothes running towards Da-chao!	ハイハイ、ハーイ！ハデハデなカッコをしたオジさんが、ダチャオ像の方に走っていったよ！
He was babblin' somethin' and looked like he was floatin'! He almost bowled me over!	なんかホヒホヒ言ってたけどすんごくはやいんだ！ビックリしたよ！
When that big star bashes into us, both Wutai and Da-chao are going to be dust! Can't we do anything?	あの星がぶつかったらダチャオ像も、ウータイもみんなこわれちゃうの！？そんなのヤダ！
This is MY house! Nobody gets in!	『アタシの家！誰も入るな！』
CLOUD	CLOUD
You can't get away, YUFFIE.	もう逃げられないぞ、YUFFIE
TIFA	TIFA
Give it up, YUFFIE!	あきらめなさい、YUFFIE
CID	CID
You lost, YUFFIE.	テメエの負けだぜ、YUFFIE
YUFFIE	YUFFIE
O…OK, I know… I was wrong…	わ……わかったよ……アタシが悪かった……
You win. I'll give you back your Materia…	アンタたちの勝ちだ。マテリアはぜんぶ返すよ……
AERIS	AERITH
I don't think she came out from here… Is that OK?	あのコ、ここから出てないと思うけど……いいの？
BARRET	BARRET
Wait, that damn YUFFIE's gotta be somewhere in this cheap town! You jus' gonna leave?	待てよ、YUFFIEのやつまだこの町のなかにいるはずだぜ。それでも行くのか？
TIFA	TIFA
Knowing YUFFIE, she's still hidden somewhere in town. You sure?	YUFFIEならこの町のなかにかくれてるはずよ。いいの？
RED XIII	RED XIII
I know she hasn't left town! You still want to leave?	YUFFIE、この町からは出てないよ、きっと！行っちゃうの？
CID	CID
You lettin' that damn kid off the hook? I know she's gotta be hiding around here somewhere!	オイオイ、あのガキほっぽってくのか？絶対まだこの町にいるぜ！
VINCENT	VINCENT
She couldn't have left town… I think she is must still be here. Or, do you want to go on?	YUFFIEならこの町から出てはいないと思うが……それでも行くのか？
Pub [Turtle's Paradise]	居酒屋　『かめ道楽』
Publicity Flyers! Notice	チラシキャンペーンの おしらせ
[Turtle's Paradise] is now having a publicity campaign.	ただいま居酒屋『かめ道楽』では チラシキャンペーンを展開中です。
Flyer's will be posted all over the world. So make sure you look for our flyers that say "Turtle's Paradise" 	世界各地にはられている『かめ道楽』のチラシ【かめ道楽　通信】　をさがしだしてください。
There's six in all. If you find them all, make sure to let the owner of Turtle's Paradise know. You can win a prize!	チラシはぜんぶで６枚。 すべてさがしだした方は 『かめ道楽』主人におしらせ下さい。 ささやかな景品をプレゼント！！
All you have to do is read them. Please don't take them down or rip them up!!	チラシは見るだけでオーケー！ 他のお客様のためにも やぶったりしないで下さいネ！！ 
Owner, Turtle's Paradise	『かめ道楽』主人
Wutai‚ Old Man's House	ウータイ・おじじの家
Well, well. Long time no see. What have you been up to? Let's see…what was your name?	おーおー、ひさしぶりじゃナ。今まで何しとったんじゃ。えーと…………誰だっけ？
No, Gramps! This isn't anyone you know! This is just some stranger who barged into our house!	ちがうの、おじじ！ぜんぜん知らない人よ！知らない人が勝手にあがりこんでるの！
Oh, how exciting. You a friend of my grandson's?	おーおー、にぎやかなことじゃ。マゴのおともだちかな？
No, Gramps! These guy's are creepy! They're runnin' all over the place!	ちがうの、おじじ！すっごくアヤしい人たちよ！ドタバタ走り回ってるの！
Oh, you know lately things have been like that. You can even see the moon at noon. Everyone's celebrating.	おーおー、このごろはアレじゃな。ひるまでもお月さんが見えるんじゃナ。みんなもよろこんでおるわい
No, Gramps! That's a big red planet in the sky! Everyone's scared of it!!	ちがうの、おじじ！あれは、真っ赤に燃えてる星よ！みんなこわがってるの！
YUFFIE	YUFFIE
…….	…………
What are we going to do, Gramps? Some strange-looking girl came in here a minute ago and I…	どうしよう、おじじ！さっきもヘンなカッコしたおねえちゃんが、いきなり入ってきたとおもったら、あそこの……
Oh no! More weirdos!	おじじ、たいへん！また、ヘンな人たちがきちゃった！
No, these aren't like the one from a while ago, but these ones look weird, too!	ううん、さっききた人とはちがうの！　でもこの人たちもヘンなカッコ！
Bar [Turtle Paradise]	のみどころかめ道楽
Elena	イリーナ
Yy, you!? How did you get here?	お、お前たち！？なんでこんなところへ……
Never mind that. I guess it's fate that brought us together.	そ、そんなことどうでもいいわ。私たちタークスに会ったのが運のつき
Get ready to die!!	さあ、かくごしなさいっ！！
Reno	レノ
Elena, you talk too much.	……イリーナ、うるさいぞ、と
Elena	イリーナ
Ww, what?	せ、先輩！？
Reno	レノ
What are we doing way out here in the middle of nowhere?	俺たちがこんないなかに来てるのは、何のためだ？
Elena	イリーナ
We're taking a vacation and resting up from our work.	そ、それは、休暇をとってひごろのつかれをいやすため……です
Reno	レノ
Now our vacation is ruined.	せっかくの休暇がつぶれちまうぞ、と
Elena	イリーナ
B, but…	で、でも……
Rude	ルード
Even the booze tastes bad now.	……せっかくの酒もマズくなる
Elena	イリーナ
…Sorry…	……はい……
Reno	レノ
Drink, Rude! How long have we been a team?	もっと飲めよ、ルード、と。お前とくんでもう何年になる……？
Being a Turk's been hard at times, but all in all, I'm glad I did it.	タークスの仕事はツライこともあるけど、ま、俺はやってきてよかったと思ってるぜ
After all, I got to meet a bunch of wing nuts like you.	お前みたいなヘンなやつにもであえたぞ、と
Rude	ルード
To the Turks… To Reno…cheers!	タークスに……レノに……かんぱい
Elena	イリーナ
Hmm, you're lucky all right. Now get out of my sight!	フン、運がよかったわね。さっさと消えなさい！
The next time we meet I won't be so nice.	この次に会った時はようしゃしないからね！
Hey, hey, welcome! You on a trip? Well, just relax and make yourself at home.	はいはい、いらっしゃい。お客さんも旅の人だね？ゆっくりしてっておくれナ
Nowadays, Wutai's just able to get by thanks to the tourists.	今のウータイは、旅の人が観光にきてくれるおかげでもってるようなものだからナ
Seems like the town got really lively since you arrived. Did anything happen?	なんだかお客さんたちがきてから、そうぞうしいナ。なんかあったのかい？
First the ground started shaking, then that large star…	地面がグラグラゆれたと思ったら今度はあのでっかい星……
Y, you think… It's all over?	や、やっぱりもう……ダメなのかいナ？
Hey. You think the store feels gloomy?	ウーイ。さびしい店だろ？
Let's just say that I like things quiet.	ま、静かなフンイキがおれはすきなんだけどね
It's been really loud and busy outside.	それにしても、おもてはさっきからバタバタさわがしいナ……
Someone outside must be up to something bad…	また誰か、おもてのツボに悪さでもしてるのかナ？
Hey. Things look pretty sad around here.	ウーイ。さびしい店だろ？
With things the way they are in the world I guess there's nothing I can do about it.	まあ、世の中がこんなになっちまっちゃあそれもしかたないか
Running around like a fool won't help matters any. So, we all might as well sit back and have a beer…	ジタバタしたってどうしようもねえんだ。みんなも酒でも飲めばいいのに……
Shinra soldier	神羅兵
So our reports were right! He IS here on vacation!	おお、やはり休暇でこちらにきているという情報は本当だったか！
We've finally found him! Get the Turks here for back-up!	ついにヤツを発見したのだ！タークスにも協力をたのみたい！
Reno	レノ
…What a drag.	……やなこった、と
Shinra soldier	神羅兵
Ww, what was that?	い、今なんと……？
Reno	レノ
We're off duty now and can't save your butts.	俺たちは休暇中につきあんたらのおもりはできないぞ、と
Shinra soldier	神羅兵
We know you're off duty, but…	き、君たちが休暇中なのは我々も知っている。しかし……
If you knew, then don't bother us! Lookin' at you is makin' me sober.	知ってるなら消えてくれ、と。あんたらのカッコを見てると酔いがさめちまう
Shinra soldier	神羅兵
But you all have orders from headquarters to look for him too!	しかし、ヤツを探せという指令が本社から君たちにも出されているはず……！
All right, fine! We'll get him without any help from the Turks, just you see!	ええい、もういい！タークスの力などかりなくてもヤツをつかまえてみせる！
Shinra soldier	神羅兵
And don't think that headquarters isn't going to hear about this!!	このことは本社に報告しておくからな！！
Elena	イリーナ
Reno, do you think that was really such a good idea!?	レノ先輩！本当にそれでいいんですか！？
I mean is that the way a professional, a Turk, would act!?	これがプロフェッショナルのタークスなんですか！？
Reno	レノ
Elena. Don't misunderstand.	イリーナ。かんちがいするなよ、と
Those who sacrifice themselves for their job aren't pros… …just fools.	仕事のためにすべてを犠牲にするのがプロじゃない。そんなのはただの仕事バカだ、と
Elena	イリーナ
Rude?	ルード先輩……
Rude	ルード
…	…………
Elena	イリーナ
Well, I don't buy that! Goodbye!!	私にはわかりません！……失礼します！！
Reno	レノ
Relax. She's not a child. Let her have her way.	ほうっておけよ。こどもじゃないんだ。好きにさせるさ、と……
Reno	レノ
… It's just that we're off duty!	…………休暇だから手を出さないだけだ
I don't feel like drinking with you. And don't talk to me.	お前らと酒を飲む気はない。気安くはなしかけるなよ、と
Hey. Did you hear? There used to be a Water God here in Wutai.	ウーイ。旅の人、知ってるかい？このウータイにはむかし水神様がいたんだナ
They say the Water God was a huge snake!	そりゃあでっけえヘビみてえな神様だったって話だ
Now we live in a world filled with Mako. Not many people would believe in something like that now.	今は魔晄の世の中だ。そんなもん信じる人間も少なくなったけどナ
But some in the world, and here in Wutai, still believe.	でもこのウータイや世界のどこかにはまだあるらしいんだナ
Believe in the scales of the Water God and in Materia that has its power in it.	水神様のうろこだとか水神様の力をふうじたマテリアとかがさ
Congrats! You have just found all six flyers for the "Turtle's Paradise"! 	おお！アナタ、この『かめ道楽』のチラシを、６枚すべて見つけられましたね！
How wonderful! Now here is your prize, just as we promised!!	なんとすばらしい！それではお約束どうりささやかな景品を！！
Please come again to "Turtle's Paradise"! We're looking forward to seeing you!	これからも『かめ道楽』をよろしくおねがいします！
Wutai‚Pagoda	ウータイ五強聖の塔
That five-storied pagoda over there is called the Pagoda of the Five Mighty Gods…	あそこに見える五重の塔はウータイ五強聖の塔。五強の塔と呼ばれています
The Five Gods are Power, Speed, Magic, War and Omni. Omni has the best of the others.	五強聖とは力、速、魔、武そして、すべてをかねそなえた総の５人を意味します
For generations, we in Wutai have worshipped Da-chao the Water God.	そしてここウータイでは古くからダチャオ様と水神様がまつられています
Legend has it that the village has been protected by Da-chao, the Water God, and the Five Mighty Gods.	古来よりこのウータイは五強聖とダチャオ様、水神様により守られてきたと言われているのです
But, in the last battle, we didn't fare so well… I guess our beliefs were only based on legend.	しかしこの前の戦ではそれもかなわず……やはり伝説は伝説にすぎなかったのかもしれません
Have you ever heard of the Water God's scales?	水神様のうろこの話を聞いたことがありますか？
They're not just regular scales. They have special hidden powers. They're impervious to the strongest flames.	なんでも不思議な力をひめたうろこでそれを前にするとどんな炎でも消えてしまうとか
But, of course, I don't think they'd stand up to the fire that huge eerie-lookin' Meteor's gonna make when it crashes down.	とは言え、そんなものがあってもさすがにあの、不気味に燃える星の炎までは消せそうもありませんが……
Reno	レノ
Hmm… Corneo's good at escaping…	フン、コルネオのやつ、あいかわらず逃げ足だけはたいしたものだ、と
Rude	ルード
…Elena.	……イリーナ
Reno	レノ
Let's go, Rude. We'll give them a taste of what the Turks can do.	行こうぜ、ルード。タークスの仕事やつにじっくり見せてやろう
Reno	レノ
That sounded okay.	……と、言いたいところだが
Reno	レノ
If he has Elena, that's going to make things a little difficult.	イリーナが向こうの手にわたったとなるとちょっとやっかいだぞ、と
And uh…	そこで……と
CLOUD	CLOUD
…OK. Corneo took YUFFIE from us.	……いいだろう。こちらもYUFFIEをコルネオにさらわれた
And without YUFFIE, there's no way we'll get our Materia back.	YUFFIEがいないとマテリアも取りもどせない
TIFA	TIFA
…All right. Corneo stole YUFFIE from us as well.	……わかったわ。私たちもYUFFIEをコルネオにさらわれたの
And without her, there's no way we'll get our Materia back.	あのコがいないとマテリアも取りもどせないもの
CID	CID
That's just beautiful! And now that *#$^@'s walked off with YUFFIE too!	……ケッ、しかたねえか。こっちもYUFFIEのやつをあのヤロウに持ってかれちまったからな
And without that brat, we can't get our hands on our Materia!	あのガキがいねえとマテリアも取りもどせねえってこった
Reno	レノ
Don't misunderstand.	かんちがいするなよ、と
We have no intention of joining you. We're only agreeing not to fight each other…for now.	お前らと手を組む気などない。ただ、たがいのジャマはしない。それだけのことだぞ、と
CLOUD	CLOUD
That's fine. We have no intention of cooperating with you, either.	けっこうだ。俺たちもタークスと協力するつもりはサラサラない
Now, uh, which direction did Corneo run off?	ところで、コルネオはいったいどこへ逃げたんだ？
TIFA	TIFA
The same goes for us. We don't want to make friends with the Turks.	ええ、私たちもそのつもり。タークスと仲良くあくしゅなんてえんりょしておくわ
Now, which direction did Corneo run off?	ところで、コルネオはいったいどこへ逃げたのかしら？
CID	CID
Of course! There ain't no way we'd wanna work with the Turks anyway!	あったりめえじゃねえか！タークスと手を組むなんざ、こっちからねがいさげでえ
Anyhow, which direction did that %^$*& run off?	にしてもよ、あのヤロウいったいどこへ逃げやがった？
Reno	レノ
Hmm, nice attitude. Here's a clue, it's the most obvious place.	フン、あの性格だ。だいたい想像つくぞ。ここらで一番めだつのは……と
Wutai‚Main Mtn.	ウータイ総本山
Godo	ゴドー
GOOGAH…what do you want?	グガーなにか用かな？
Godo	ゴドー
Don't have…GAH…anything much but, you should be able to…GOO…rest yourselves here. GOGAH…make yourselves at home.	なにもンガーないが、旅のつかれをいやすことぐらいはグーできるだろう。ゴガーゆっくりしていきなさい
Godo	ゴドー
…YUFFIE? …Nope, never heard of her. …GOOGO…	……YUFFIE？…………知らぬな、そんな名は。グーゴー
Godo	ゴドー
…You again? I said it once, and I'll say it again, I don't know her.	……くどいな。知らぬものは、知らぬ
Godo	ゴドー
Listen, I said I didn't know her! There isn't anyone named YUFFIE here in Wutai!	知らぬと言ったら知らぬ！YUFFIEなどという者はこのウータイにはおらん！
Godo	ゴドー
…Never seen you around here before…	……見かけない顔だな……
Lately, I've been seeing a lot of Shinra soldiers around here…You wouldn't know anything about that, would you?	このところ、この近くで神羅の兵をよく見かけるが……おぬしたちと関係があるのか
Godo	ゴドー
I don't care about who you are.	おぬしたちが何者か。そんなことに興味はない
But, if you're in trouble with the Shinra, I'm going to have to ask you to leave.	ただ、神羅ともめごとを起こそうというのなら早々に出ていってくれ
I don't want the Shinra hanging around here looking over my shoulder.	神羅ににらまれたくはないのでな……
What's with you, you coward?	なんだい、このいくじなし！
Godo	ゴドー
