Wark!	クエっ！
To raise a Chocobo, you'll need a Chocobo Stable'.	チョコボをお育てになるには『チョコぼう』と呼ばれる部屋みたいなものが必要となりまして
And they rent for 10000 gil. Currently, I can rent out up to 6 Chocobo Stables'.	そちらを１つお貸しするのに１００００ギルいただいております。ただいま『チョコぼう』は６つまでお客様にお貸しできます
If you rent a 'Chocobo Stable', we will keep up to 4 of the Chocobos you catch in the fenced area outside.	こちら、お借りいただきますとお客様が捕まえになられましたチョコボを一時的に外のサクの中に４匹までおあずかりいたしまして
At a later date, you can select the Chocobo that you would like to put in your Chocobo Stable'.	後日、お客様が『チョコぼう』に選んで、お入れになる形になります
'Chocobo Stables' cost 10000 gil…	『チョコぼう』は、お１つ１００００ギルになりますが？
Rent it	貸して
We don't have enough room to rent out more than 6 here…	こちらも、６つ以上お貸しするよゆうがありませんので…
Thank you.	ありがとうございます
My grandson takes care of the Chocobos. He's in the Chocobo Stable at the far right of the farm. Please tell him what you want.	世話の方は、向かって一番右の建物チョコボ小屋におります孫がやっておりますのでそちらに、お申し付け下さい
Someone once told me there is a Chocobo Sage'…somewhere.	人から聞いた話なんですがねこの世界のどこかにチョコボせんにんなんて呼ばれてる人が
He seems to know how to raise some great Chocobos.	いるらしいんですわ。なんでも、その、せんにんはすんごいチョコボの育て方を知っているとかいないとか
If he really does exist, I'd like to meet him someday.	まぁ、本当にいるのなら私も会ってみたいものですな
Chocobos aren't hard to take care of.	チョコボを育てるのに、お客様の手をわずらわす事はありません
The day-to-day care will all be done here.	普段の世話はこちらがしっかりやりますので
But, please buy the food for the Chocobo, and feed them yourselves.	ただ、チョコボにあたえるエサはお客様がお買いになるかして直接おあたえください
Chocobo's abilities will differ with what you feed it, so feel free to choose your own food.	チョコボはそのエサによって能力が大きく変わりますのでご自分で、お好きなようにエサを選んでください
Also, if you're able to find a male and a female Chocobo that like each other, they'll produce an egg. But only if you feed them a 'Nut'.	それから、オスとメスのチョコボはカップルにすることが出来ましてカップルにしたチョコボに『実』をあたえますとタマゴが生まれます
New Chocobos inherit the abilities of their parents.	タマゴから生まれた子チョコボは大抵父と母の能力を引き継いだチョコボになりますが
I've heard that sometimes new breeds of Chocobo are born with special abilities. I've never actually seen it before, though.	まれに、特異な能力を持ったチョコボになることがあるようです。私もほとんど見たことがないんですがね
Chole	クリン
Wasn't it really expensive?	お兄ちゃんたちだいぶ、お金取られたでしょ？
But don't be mad at my brother or Grandpa.	でも、グリングリンお兄ちゃんやグリンおじいちゃんを怒らないでね
Ever since Mom and Dad died, it's been like this…	パパとママが死んでからずっとそうなの……
Welcome! Here's some good advice.	いらっしゃいあっそう、いいこと教えてあげるわ
The white Chocobo likes it when you scratch behind its ears.	白い子チョコボはね、耳の裏をこちょこちょしてあげるとすっごくよろこぶのよ
But if you scratch it someplace that it doesn't like, it'll get mad, so be careful.	でも、へんなとこくすぐるときげんわるくしちゃうから気をつけないとダメよ
Choco Billy	グリングリン
Do you want a Chocobo?	チョコボが欲しいの？
Mmm…	う～ん……
Give me one	くれ
You old folks are out of luck!	おじさんたち運が悪い！
Old folks…?	おじさん……
Oh, I'm so glad!	ああ良かった！
We're all out of Chocobos. I'm taking care of the ones out there for someone else.	チョコボは売り切れちゃったんだ外にいるのは、あずかり物なんでね
You know, if you really want a Chocobo, you should go out and catch one.	そうだ、チョコボがほしいなら野生のをつかまえるといいよ
Want to know how to catch a Chocobo?	野生のチョコボのこと何か知りたいかい？
Where are they?	どこにいる？
How do I catch one?	どうやって捕まえる？
What else?	他には？
You see those claw prints out there? Wild Chocobo's will appear in those areas.	外で３本のツメあとを見ただろ？あれがあるところには野生のチョコボが必ずいるよ
But, if you don't have 'Chocobo Lure' they won't come out. They're very cautious by nature.	ただし『チョコボよせ』が無いとチョコボが現れないんだよ。もともと用心深い生き物だしね
Chocobo Lure?	チョコボよせ？
Go on	次の話を聞こう
'Chocobo Lure' is a type of Materia which attracts Chocobos.	『チョコボよせ』はチョコボをおびきだすマテリアさ
If you equip this, they'll come to you. But, without it, they won't appear.	これを装備しておくと野生のチョコボに会える。逆を言うとこれを装備してないとチョコボには会うことが出来ないわけさ
A wild Chocobo always appears with other monsters.	野生のチョコボは他のモンスターといっしょに出てくるんだ
But, you won't be able to catch it because of the monsters.	けど、そのままじゃ他のモンスターがジャマでチョコボを捕まえることが出来ない
That is why you must defeat the monsters first before you catch the Chocobo.	だから、まずチョコボのまわりにいるモンスターを倒す必要があるんだ
And then?	それから？
Wild Chocobos are really cautious. They'll run away from the smallest things.	それに、野生のチョコボは用心深いちょっとしたことで、逃げてしまう
But, if you use 'Greens' they'll focus on them and won't run away.	けど、『野菜』を使うと食べるのに夢中になって逃げにくくなるのさ
Whatever you do, don't make Chocobos angry. They're usually calm, but if you get them angry, you'll get hurt.	チョコボは怒らせない方がいいよ普段はおとなしいんだけど怒らせると痛い目にあうのはこっちさ
Oh, and remember, once you get off a Chocobo, it'll escape.	あっ、それと捕まえたチョコボは一度チョコボからおりたら一目散に逃げてしまうよ
Well then, shall we get down to business?	じゃあ、そろそろ商談に入ろうかな
I'll sell you the 'Chocobo Lure' for 2000 gil, right now.	今なら『チョコボよせ』を２０００ギルで売ってあげるよ
You want it?	買うかい？
Buy it	買う
Thanks!	まいどあり！
Hey, you don't have enough.	ねぇ、お金がたりないよ
Mmmm, if you don't have it, you'll never catch one.	う～ん、これが無いとチョコボを捕まえられないよ
The 'Chocobo Lure' is 2000 gil. Buy it now?	『チョコボよせ』は２０００ギルだけど買う気になったかい
It wouldn't hurt to buy some 'Greens', either.	『野菜』も買っておいてそんはないよ
Oh, and how fast a Chocobo'll finish eating depends on what type of 'Greens' you feed them.	あっそれから、『野菜』によってチョコボが食べ終わる長さが違うからね
Chocobo Ranch	チョコボ小屋
Welcome!	いらっしゃい！
Buy	買い物をする
Get some information	チョット話を聞く
Moving Chocobos	チョコボを移動させる
Feeding Chocobos	チョコボにエサをあげる
Mating Chocobos	チョコボをカップリングする
Releasing Chocobos	チョコボを逃がす
Riding Chocobos	チョコボに乗って出かける
Do nothing	なにもしない
You can't take that many out at once.	ダメだよ一度に何匹も外にだしちゃ
You must return the Chocobo that's out, if you want to take out a different one.	他のチョコボで外に出たいなら今、外に出してるチョコボを戻してからにしてよ
Which one are you going to take?	どれに乗って出かけるんだい？
Ride this one?	これに乗って出かける？
Whoa!	ダメ
You have all the 'Chocobo Stables' you can carry.	今、お客さんが持ってる『チョコぼう』はいっぱいだよ
If you want to put a Chocobo in it, first, you must let it go and open a 'Chocobo Stable.'	もし、チョコボをいれたければまず、逃がすなりなんなりして『チョコぼう』を開けなきゃ
You don't even have any 'Chocobo Stables'	お客さんは『チョコぼう』を１つも持っていないよ
If you want to raise Chocobos, go talk to Grandpa.	チョコボを育てたいならおじいさんに会ってきてよ
It looks like you haven't even caught one yet…	１匹も捕まえてないみたいだけど…
Which one are you going to put in the 'Chocobo Stable'?	どれを『チョコぼう』にいれるんだい？
Use the Directional button left or right and [OK].	方向キー左右と○ボタンで選んでよ
This…is a wonderful Chocobo!	す、すごいチョコボだよ、これ！
This is a great Chocobo.	すごくいいチョコボだよ
Mmm, this seems like a good Chocobo.	うん、いい感じのチョコボだね
This Chocobo's so-so.	まあまあのチョコボだね
This is a pretty average Chocobo.	普通のチョコボだと思うよ
Mmm, this one's not bad.	う～ん、わるいチョコボではないけどね
This one doesn't seem to be very good.	あまり、いい感じのチョコボじゃないね
I really can't recommend this one.	ちょっと、おすすめ出来ないかな
Want to put this Chocobo in your stable?	このチョコボをチョコぼうにいれるかい？
Put it in	いれる
Let it go	逃がす
Choose a different one	他のにする
Then, give Chocobo Ç#& a name.	じゃあ、このチョコボに名前をつけてあげてよ
I'm really going to let him go.	本当に逃がすよ
In order for the Chocobo to mate, you need a male and a female…	カップルはオスとメスがいないと…
In order for them to mate, you need 'Nuts' too.	カップリングするには『実』も必要だよ
You don't have any 'Greens'… It just so happens I can sell you one…	『野菜』を１つも持ってないみたいだけど……なんなら売ってあげるよ？
Feed?	エサ？
Mating?	カップリング？
Chocobo by the fence?	サクのチョコボは？
Ride it outside?	外で乗れる？
What are "Classes"?	クラスってなに？
Yeah, you can ride this one.	うん、乗れるよ
And even if you take it outside, this Chocobo won't run away when you get off of it.	それに、ここから外にもちだした、チョコボはおりても逃げださなくなるよ
If you want to return it to your 'Chocobo Stable', just ride it onto the farm.	それから『チョコぼう』にもどしたければ、チョコボに乗ったまま牧場に入って来てよ
Then, you'll be able to feed it again.	そうすれば、また、エサをあげたり出来るようになるよ
What the Chocobo eats are 'Greens'. The most famous one is the 'Gizzard Greens'.	チョコボのエサは『野菜』なんだ『ギザールの野菜』が一番有名だよね
Chocobos will mature differently depending on which 'Greens' they eat. Certain 'Greens' will boost their stamina.	それとね、チョコボは食べる『野菜』によって、育ち方が違ったりするんだよ。ある『野菜』を食べさせてるとスタミナモリモリになったりとかね
You'll have to figure out which kinds have what effects for yourselves.	そこらへんの、効果は自分で覚えていくのがいいね
Oh, and Chocobos are born with certain natural abilities. So, no matter how much they mature, they can't get more abilities than what they're born with.	それと、チョコボにはもって生まれた能力があってね自分の持っている能力以上は育たないんだ
If a Chocobo's abilities don't increase even when you feed it, that means it's reached its limit.	エサをあげても、能力が上がらなくなったらそのチョコボの限界がきてると思っていいよ
It's best to let those kinds of Chocobo go or mate them to get a new Chocobo.	そういうチョコボはもう、逃がしちゃうかカップリングさせて、次の子供を育てるといいんじゃないかな
A male and a female Chocobo together can produce an egg.	カップリングっていうのはオスのチョコボとメスのチョコボを
The Chocobo out there is part of the stock that you caught.	外のチョコボは、お客さんが捕まえたチョコボのストックさ
We can only keep 4 Chocobos here at once. If you get a fifth one, the first one will have to be let go.	けど、４匹までしか置いておけないから５匹目を送ってくると、最初の１匹を逃がしちゃうからね
If you don't want that to happen, come back and put it in your own stable.	それがイヤだったら途中でもどってきて『チョコぼう』にいれるなりした方がいいね
Chocobos' strengths are divided by 'Class'.	クラスはチョコボの強さをあらわすものさ
Which Chocobo are you going to let go?	どのチョコボを逃がすんだい？
There's still lots of room to grow.	まだまだ成長の余地はありそうだね
It might mature a bit more.	もう少し成長するかもね
Don't expect it to mature anymore.	もう、成長は望めないかも
Class	クラス
Your 'Chocobo Stable' is empty.	『チョコぼう』には１匹もいないけど…
Is it all right to let this one go?	これを逃がすよ？
Go ahead	いいよ
Gizzard Greens =	ギザールの野菜
Karaka Greens =	カラッカの野菜
Tantal Greens =	タンタルの野菜
Pasana Greens =	パサーナの野菜
Kurie Greens =	クリーエの野菜
Memit Greens =	ミメットの野菜
Reagan Greens =	レイゲンの野菜
Sylkis Greens =	シルキスの野菜
Don't feed it	やっぱりあげない
Looks like you don't have any 'Nuts'… To get them to produce an egg, you need a 'Nut'. Do you want to buy some?	『実』を１つも持ってないみたいだけど…タマゴを生ませるには『実』も必要なんだなんなら売ってあげるよ？
You better have a 'Chocobo Stable' prepared for the little ones, too.	子供をいれる『チョコぼう』を用意しておいてもらわないとダメだよ
I can't give you anything I don't have.	もってないのは、あげれないよ
Which 'Nut' are you going to give 'em?	どの実をあげるんだい？
Which Chocobo are you going to feed it to?	どのチョコボにあげるんだい？
Is this all right?	これでいいかい？
Give it a different Nut	他の『実』にする
Quit	やっぱりやめる
Pipio Nut =	ピピオの実
Ruchin Nut =	ルチルの実
Saraha Nut =	サラハの実
Lasan Nut =	ラサンの実
Param Nut =	パラムの実
Porofu Nut =	ポロフの実
Carob Nut =	カラブの実
Zeio Nut =	ゼイオの実
They gotta be male and female.	オスとメスじゃなきゃダメだよ
Which two Chocobos are you going to mate? Talk to the two you like and make your decision.	どのチョコボをカップルにするんだい？２匹に話しかけて決めてよ
This one	これにする
Never mind	やっぱりやめた
There's only one…	１匹しかいないんだけど…
So let's mate these two.	じゃあ、その２匹をカップルにするよ
No, I changed my mind	やっぱりダメ
Speed Plus!	スピードアップ！
Stamina Plus!	スタミナアップ！
Intelligence Plus!	かしこさアップ！
They're getting along better!	すこし仲良くなった！
Their personalities improved!	性格がよくなった！
No improvement…	なにも上がらなかった…
You got yourself a new Chocobo!	チョコボが生まれたよ！
Looks like it's got good speed.	スピードがありそうだね
Looks like it's got good stamina.	スタミナがありそうだね
Looks intelligent.	あたまがよさそうだね
Too much energy?	元気ありすぎかな？
You shouldn't mate those that just mated or those that were just born.	１回カップリングした後や生まれてすぐのカップリングはやめておいた方がいいよ
There doesn't seem to be any others you could mate it with.	それ以外では、カップリングできそうなのはいないみたいだけど
Hey, do you know what a Chocobo Sage is?	ねぇ、チョコボせんにんって知ってる？
What!? You've actually met him!?	えっ！？会ったことあるの！？
Wow! What did he tell you?	すご～いねぇ、どんなお話聞いたの？
Wow, that's amazing! …Let me take some notes.	へぇ、おもしろ～いメモっとこ
Hey, did you ever see the Chocobo Sage again? What did he tell you?	ねぇ、チョコボせんにんにまた会った？どんなお話聞いたの？
Let me jot this down	メモをみせてもらう
Chole's Chocobo inspection	クリンのチョコボしんだん
For telling me that story, I'll tell you about each Chocobo's abilities.	面白い話聞かせてくれたお礼にクリンがチョコボの能力を見抜いてあげる
I think it's `$& .	じゃないかなぁ？
That's `$& 	　ね
From what I see, the fastest sprinter is…	クリンが見たところダッシュが１番速そうなのは…
And, the fastest one is…	それから、クリンが見たところスピードが１番速そうなのは…
Also, from what I can tell, the one with the most stamina is…	それと、クリンが見たところスタミナが１番ありそうなのは…
Finally, the most intelligent one is…	最後に、クリンが見たところ１番かしこそうなのは…
There are no Chocobos.	ねぇ、チョコボ１匹もいないよ
Hey, there's only one Chocobo.	ねぇ、チョコボ１匹しかいないよ
Chole's Memo #1	クリンのメモ１
Other than regular Chocobo, there are Mountain Chocobo' and 'River-Chocobo'.	チョコボには普通のチョコボ以外に『山チョコボ』と『川チョコボ』がいるんだって。
Chole's Memo #2	クリンのメモ２
In order for the 'Mountain Chocobo' and River Chocobo' to be born, Feed the 'Carob Nut' to a 'Great Chocobo' or a 'Good Chocobo' and have it produce an egg. But we don't sell any Carob Nuts'.	『山チョコボ』や『川チョコボ』が生まれる条件は『すごくいいチョコボ』か『いい感じのチョコボ』に『カラブの実』っていうのを使ってタマゴを生ませるんだって。けど、うちじゃあ『カラブの実』売ってないよ。
Chole's Memo #3	クリンのメモ３
A 'Great Chocobo' and a 'Good Chocobo' are found… on an island southeast of the Chocobo Sage's dwelling at Corel and in the area west of Corel. The 'Carob Nut' can be found south of the Chocobo Sage's dwelling. Monsters carry them. Let's see, is Bone Village just south of there?	『すごくいいチョコボ』と『いい感じのチョコボ』はチョコボせんにんがいる所から南東の島とコレル。それとコレルの西の方でとれるんだって。それから『カラブの実』はチョコボせんにんのいる所から南にいるモンスターがよく持ってるんだってさ。あそこから南って言うとボーンビレッジあたりかしら？
Chole's Memo #4	クリンのメモ４
One surprise: If you get the "Mountain Chocobo" and the "River Chocobo" to produce an egg, You'll get a Chocobo that can cross mountains and rivers. I bet that the right nut for that is the "Carob Nut."	ちょっとビックリ『山チョコボ』と『川チョコボ』にタマゴを生ませると山も川も越えられるチョコボが出来るんだって。きっと、実は『カラブの実』がいいと思うな。
Chole's Memo #5	クリンのメモ５
Bigger surprise: There seems to be a Chocobo that can cross the ocean. If you could cross the ocean, mountains, and rivers, there'd be no place you couldn't go.	さらにビックリ海を渡れるチョコボもいるらしいの。海も山も川も渡れちゃったら行けない所なんてなくなっちゃうね。
Chole's Memo #6	クリンのメモ６
In order to get an Ocean Chocobo you need to get a Mountain-and-River Chocobo to mate with something else.	海を渡れるチョコボを生ませるには山と川を渡れるチョコボと何かをカップリングさせればいいらしいの。
Chole's Memo #7	クリンのメモ７
If you mate the Mountain-and-River Chocobo with a 'Wonderful Chocobo', you'll get an Ocean Chocobo.   But to do that you can't use an ordinary Nut.	山と川を渡れるチョコボとせんにんのいる所から南で取れる『すごいチョコボ』をカップリングさせると海を渡れるチョコボが生まれるんだって。けど、実は普通の実じゃダメみたい。
Chole's Memo #8	クリンのメモ８
The 'Nut' that produces Ocean Chocobos is the 'Zeio Nut'. This is the first I've ever heard of it. I wonder where you get them?	『海チョコボ』を生ませる実は『ゼイオの実』っていうらしいの。これも、初めて聞く名前ね。どこで手に入るのかしら？
Chole's Memo #9	クリンのメモ９
Zeio Nuts are found on a little island east of the Chocobo Sage. Goblins' have them. With this, you can produce an 'Ocean Chocobo'.	『ゼイオの実』はチョコボせんにんがいる所から東の小さな小島にいる『ゴブリン』がもってるんだってこれで『海チョコボ』も生ませられるね。
Chole's Memo #10	クリンのメモ１０
According to my research, Mountain, River, and Ocean Chocobos are hard to produce. But, if you take the right care of the Chocobo and increase their Class ranking by winning at the races, it'll increase your chances of getting one.	クリンの研究によると山、川、海チョコボはメモの条件だけだとチョット、生まれにくいみたい。けど、うまく育ててレースにだしてクラスをあげてやるととっても生まれやすくなるみたいね.
