Kalm	カーム
Yeah, maybe	そうかもしれない
You're full of it	そんなことはない
See!? How would we get by without Mako energy?	そうでしょ！もう、魔晄エネルギーのない生活なんて考えられないわね
Hmm. But I'd hate to think of what life'd be like without Mako energy.	ふ～ん。でも、魔晄エネルギーのない生活なんて、私は考えられないわね
Mako energy's made things a lot more convenient…	魔晄エネルギーのおかげでいろいろと便利になったけど……
But a lot of plants and animals have been disappearing at a rapid pace.	でも、そのかわりに動物や植物がどんどんへっているような気がするわ
I think the old life was better.	わたしは、むかしの方がよかったんじゃないかと思うの
Don't you think so?	ね、そうよね？
Yeah, maybe	そうかもしれない
No way	そんなことはない
Yeah, sure I'm right! You think so, don't you?	そうでしょ？　そう思うわよね
That's just what my mom said.	お母さんとおなじことを言うのね
Yeah, Mako energy's made life much easier. And it's all thanks to Shinra, Inc.	魔晄エネルギーのおかげで生活が色々と便利になったわ。神羅さまさまよね
Things were better when you could play with animals…	私は、動物とあそべたころの方がよかったと思うわ……
Listen to me! Something really big's happening in Midgar.	あっ、聞いてくれよ！なんかミッドガルにでっかい大砲がついちゃって、すごい事になっているよ
They were just saying on TV it was Rufus' second strategy and…	テレビによると、ルーファウスの２つめの作戦だとか……
That big cannon's pointed due north… Do you think the target is Sephiroth?	あの大砲は真北に向いてるけど……目標は……セフィロス？？
Everyone at Shinra's in an uproar because they heard Weapon's coming.	ウェポンがやってくるって神羅カンパニーの人間は大騒ぎしとるよ
I heard a big hydroplane carrying secret weapons, was attacked by Weapon and was sunk at sea…	秘密兵器を運んでいた飛空艇が空を飛ぶウェポンに襲われて海に沈んでしまったとか何やら……
If something ever happened to President Rufus, That'd be the end of Shinra, Inc. and the rest of the world, too.	ルーファウス社長がいなくなってはもう、神羅カンパニーもおしまいじゃな。……そして、この世界も
Did you say you came from Midgar?	おまえたち、ミッドガルから来たんじゃと？
I used to live there, too. But I heard they got lots of troubles lately.	わしも以前ミッドガルに住んでいたんじゃが近頃はあそこも色々あるようじゃな
Is it true that Shinra makes monsters?	モンスターってのは神羅がつくったってウワサがあるがホントかねえ？
It's true	そのとおり
Just a rumor	たんなるウワサ
Yeah, well either way, as long as we use reactors, we can't stand up to Shinra.	どっちにしたって魔晄炉の世話になってるかぎり神羅にゃさからえないんだけどね
There was a suspicious-looking man in a black cloak! He was carrying a mean-looking sword.	怪しい黒マントの男がこの町にいたんだ！ぶっそうな刀なんか持ち歩いてさ
They say Midgar's in the middle of a war between the Shinra and some terrorists called AVALANCHE.	ミッドガルじゃ、神羅とアバランチとかいうヤツらが戦争しているそうじゃないか
20 gil a night. What's it gonna be?	一泊、２０ギルです。とまっていかれますか？
Stay?	はい
Move on	いいえ
Mr…CLOUD? Your party is waiting for you on the 2nd floor.	CLOUDさまですね。お連れさまが２階でお待ちです
Shinra's leading the world around by the nose, and you guys are just gonna sit back and take it?	この世界は、神羅カンパニーの動きにふりまわされているのさ。あんたたちも、それを受け入れる事だな
Me? I used to work in a mine down south called Mythril Mine	オレはよぉ、この町の南にある鉱山【ミスリルマイン】で働いていたんだ
But, awhile back, monsters started appearing.	しかしよぉ、その鉱山にモンスターがわんさか出るようになっちまってな
After that, business went to pot and now I spend the days here drinking.	おかげで、商売あがったり。ここで日がな１日飲んだくれてるのさ
Urrrp!…hic… I'm stinking drunk!!	ウィ～、ひっく。オレはヨってるぞォ～！！
Seems like you're a little short. Why don't you drop by again… when you have money.	お金が足りないようですね。またのおこしを、お待ちしています
Why doesn't anyone believe me? I'm so lonely…	なんで、誰も信じてくれないんだ～！……こどくなボク
Listen to me! Just now, some guy in a black cloak walked east towards that grassy field.	あっ、聞いてくれよ！たった今、黒マントの男が東の草原に向かって歩いていったんだ
He's got this killer sword, and looks REAL scary…	ぶっそうな刀なんか持ち歩いてさ。なんか、おっかないヤツだったよ……
Aw, c'mon! Listen to me! Got anything interesting to say?	あっ、聞いてくれよ！
Locked. Can't open it…	何か、おもしろいことでもないかなぁ……？
I gotta hurry up and get strong so I can crush Meteor to bits! But I gotta train real hard to do it.	カギがかかっていて、開かない……　
Oh man, oh man!	ぼく、はやく強くなってメテオをぶっこわしてやるんだ！そのために、いまからモウクンレンするんだ！！
Meteor's gonna fall on us, and now some huge monster like I've never seen is wandering around out there!	見たことも聞いたこともないようなでっかいモンスターはうろつきまわるしメテオは落っこってくるし……
What's going to happen to all of us?	あ～、ボクたちはどーなってしまうんだ～～～～～！！
I want you to stop that talk about Meteor falling on us!	メテオが落ちてくるだって！？やめてほしいぜ、そーゆーことはよ
Listen, I work hard…and now you're tellin' me Meteor's gonna smash everything to bits?	今までいっしょうけんめい働いてきたのによぉ メテオでみんな、パーになっちまうってか！？ 
Well, I ain't standin' around listenin' to fool talk like this. Makes a person lose the will to work, that's what it does!	ケッ、ばからしくて、やってられっかよ。まじめに働く気なんか失せちまったぜ
What're ya, dense? Something like that'll never happen! It's ridiculous!	ケッ、やってらんねーよ。ばからしいったら、ありゃしねぇ
And all of Midgar's gonna be destroyed by a falling meteor? Oh, don't make me laugh!	ミッドガルじゃ、メテオを破壊しようとおおわらわらしいぜ
There's been a number of scary incidents lately. I hate it. Just hate it!	最近、ぶっそうな事が多いよな。やだ、やだ
I heard the remaining members of AVALANCHE smashed the Shinra troops at Midgar.	ミッドガルじゃ、アバランチの残堂が神羅カンパニーを叩きつぶしたらしいぜ
Lately, there's been a number of scary incidents. I hate it. Just hate it!	最近、ぶっそうな事が多いよな。やだ、やだ
They say the remaining members of AVALANCHE broke Shinra's resistance and destroyed the Mako cannon at Midgar.	ミッドガルでは、アバランチの残堂が神羅カンパニーの抵抗をはねのけて魔晄キャノンを破壊したという話だ
What's going to happen to the world?	これから、この世界はどうなってしまうのだろう……
I heard Shinra's taking it's biggest artillery from Junon and other facilities and gathering it in Midgar to fight Meteor and Weapon.	神羅カンパニーは、メテオやウェポンに対抗するため、各地の施設から役にたちそうなものを、ジュノンやミッドガルに集めているという話だ
Even if Meteor falls, you ought to be safe as long as you're in Midgar.	ミッドガルに行けば、あのメテオが落ちても大丈夫なんじゃないかしら？
They say it's a "Mako Metropolis" so it will survive.	『魔晄都市』って言うくらいだからなんとかなりそうな気がするんだけど……
Ah, youth… You really believe that big meteor filling up the sky is going to fall?	お若いの、空いっぱいに見えとるあのメテオが落ちてくるなんて信じられるかの？
If that's the case then all we can do is put our hope in Shinra, Inc.	こうなってしもうては神羅カンパニーだけがわしらの頼りじゃて
If Shinra, Inc. was our last hope, and they've been beaten by terrorists… Are we all going to die?	最後の頼みの神羅カンパニーもテロリストにやられてしもうて……わしらはこのまま死ぬのかのぉ？
Meteor's going to fall, isn't it? Then we're all history unless Shinra does something about it!	メテオが落ちてくるんだろ？神羅カンパニーがなんとかしてくれないとみんな死んでしまうことになるな
Why're you checking the Mako energy pressure at a time like this? It's probably already too late.	いまさら魔晄エネルギーの圧力をチェックなんてしてもしかたがないのだろうけど……
You can't go into a tail spin at a time like this. You've got to keep living just like before. At least that's what I think…	こんな時だからこそ、ヤケにならずに今までどおりキチンと生活していかなきゃいけない、そう思うんだ
They say Meteor's going to fall, but that's okay! I'm sure Shinra'll come through for us in the end!	メテオが落ちてくると言うけど大丈夫！そんなもの、神羅カンパニーがきっとなんとかしてくれるわよ
Dear, can you believe it? They say that Shinra's gone under!!	あなた、信じられる！？あの神羅カンパニーがつぶれちゃったんですって！！
This world is coming to an end all because some terrorists called AVALANCHE stuck their noses in the wrong place!	アバランチなんていうテロリストが余計なことしてくれたおかげでもう、この世はおしまいよ
I can't believe Meteor's really falling this way… What's going to happen to us?	メテオが落ちてくるなんて……わたしたちは、どうなってしまうのかしら？
I can't believe Meteor's really falling this way… What's going to happen to us?	メテオが落ちてくるなんて……わたしたちは、どうなってしまうのかしら？
Meteor's coming, right? Where will I stash my money? Wait, maybe I'd better take it with me and get out of here!	メテオが落ちてくるんでしょ？ヘソクリ、どこにかくそうかしら……いや、それよりもヘソクリを持ってどこかへ逃げ出した方がいいのかしら？
One night, 300 gil. Wanna check in?	一泊、３００ギルです。とまっていかれますか？
Yes	はい
No	いいえ
Tourists, huh? Here are a few things you should know that will come in handy when you travel around the world…	ん？　あんた、旅行者だね。世界を旅する時に知っておくと役立つことがあるのだけれど……
Want to hear what they are?	教えて欲しいかい？
Tell me	はい
I already know	いいえ
Then let me explain how to use the world map.	それじゃ、ワールドマップでのコントローラ操作について説明してあげるとしよう
Well then, what do you want to know?	さて、何を教えてあげようか？
Changing camera angles	視点の切替について
Map indicators	地図の表示について
Operating the buttons	ボタン操作について
Anything else you'd like to know?	他に何か、ききたいことがあるかい？
Map indicators	地図の表示について
Operating the buttons	ボタン操作について
Nope, I got it	もう、いいです
Anything else you want to ask?	他に何か、ききたいことがあるかい？
Changing camera angles	視点の切替について
Operating the buttons	ボタン操作について
No, that's all	もう、いいです
Anything else you want to ask?	他に何か、ききたいことがあるかい？
Changing camera angles	視点の切替について
Map indicators	地図の表示について
No, that's all	もう、いいです
First press [CAMERA] to change the camera angle.	まず、ワールドマップではコントローラの【Ｌ２ボタン】を押すと視点を変えることができる
There are 2 angles to choose from, select the one you like.	選べる視点は２種類あるから自分の好きな方を選ぶといいね
Then rotate the camera either way by pressing [PAGEUP] or [PAGEDOWN].	そして【Ｌ１ボタン】や【Ｒ１ボタン】を押してやれば、視点を左右に回してやることができるんだ
Try different angles until you find the one you like best. It makes the journey a lot more fun!	いろいろ試してみて自分にあった視点をさがしてやれば旅は、もっと楽しくなると思うよ
Press [START] once to view the World Map.	この世界の地図は【スタートボタン】を押してやると、見ることができる
There is a large and small map. Learn when to use which and you won't get lost.	地図には、大きいものと小さいものがあるから場合によって使い分けてやれば道に迷うことも少なくなると思うよ
Push [START] twice to change the size of the map, and once more to turn it off.	【スタートボタン】を何回か押してやれば地図を切り替えたり、消すことができるんだ。便利だろ？
Pretty easy, huh?	[COULDN'T FIND]
Ride things by pressing [ASSIST] and get off by pressing [CANCEL]. This isn't so hard, either!	【決定ボタン】を押せば、乗り物に乗り【キャンセルボタン】を押せば乗りものから下りる。このへんは、そんなに難しくないね
Oh, right. You can't dash on the World Map, so make sure not to press [CANCEL] unless you want to get off.	あ、そうそう。ワールドマップではダッシュができないから【キャンセルボタン】は、乗り物から下りるときにしか押さない方がいいね
Remember this because Chocobos will run away as soon as you get off them, so be careful.	特にチョコボは下りると逃げちゃうからね。気をつけた方がいいよ
Once on the World Map you can access the menu to save your game anywhere. It's a good idea to save frequently!	ワールドマップではメニューを開けばどこでもセーブできるからセーブはこまめにとったほうがいいよ
Well then, bon voyage!	それじゃ、よい旅を
Is that so? Well, that's that. Have a nice trip.	そうかい？　それは残念。それじゃ、よい旅を
Damn!!	……いいかげんに、しろっ！！
Oh! You!!	ん、もうっ！！
…don't mess with me!!	……なめてんじゃねぇっ！！
Huh? You're looking for your friend? You want to know where the Lifestream is?	え？　友人をさがしてる？ライフストリームはどこかって？
Hmm, I can't help you find your friend, but I've heard about the Lifestream.	ん～、君の友人の事はしらないけどライフストリームについては聞いたことあるよ
When I traveled to the Southern islands, a doctor was very kind to me. I seem to recall him telling me something about the Lifestream…	【南の島】に旅行に言った時ある医者に世話になったんだけどその時に医者からそんな言葉を聞いたような覚えがあるけど……
Hey, listen to me! The Shinra troops are on the move.	あっ、聞いてくれよ！神羅軍の動きが活発になってきたんだ
The TV news said Rufus came up with two plans. One, is to launch a rocket into space containing Huge Materia…	テレビによると、ルーファスは２つの作戦を打ち立てたらしいね。なんでもその１つはヒュージマテリアを集めて、ロケットで宇宙に飛ばすとか……
Is Huge Materia really that destructive?	ヒュージマテリアの破壊力ってのはそんなにすごいのかなぁ？
Sephiroth put up a huge barrier around the North Crater.	北のクレーターにセフィロスは巨大なバリアをはったんだ
Rufus wants to use a mammoth cannon to smash the barrier.	ルーファスは、あの大砲でそれをぶち壊す計画なんだ
He plans to have Shinra troops rush in and attack Sephiroth after the barrier falls.	バリアがなくなったスキに神羅軍でセフィロスを直接攻撃するつもりなのさ
The North Crater barrier's been demolished?	北のクレーターのバリアがブッこわれたんだって！？
So now's the time to defeat Sephiroth.	じゃあ今こそが、セフィロスを倒す好機なわけだ
Hey, listen to me! I heard the barrier protecting Sephiroth is gone!	あっ、聞いてくれよ！セフィロスを守っていたバリアはなくなったんだって！
But with Rufus dead, the Shinra troops don't know what to do. Heidegger and Scarlet don't have what it takes to lead the troops.	でも、ルーファスが死んでしまったから神羅軍は右往左往するばかり。ハイデッカーやスカーレットじゃ神羅をまとめるには力不足だし……
I really thought something was finally going to happen, but everything's the same… Not a damn thing changes around here!	せっかくなんとかなると思ったのにこれじゃ、何も変わってないのと同じじゃないか～！
My old man was a miner, but he couldn't go to work after monsters started appearing in the Mythril Mines.	ボクのお父さん、炭鉱夫なんだけどミスリルの鉱山にモンスターがでてきて仕事ができなくなっちゃったんだ
Now all he does is sit around getting drunk in the bar…	今じゃ、この奥の酒場でお酒ばっかり飲んで酔っぱらっているよ
My dad still just sits at the bar drinking, even though he knows Meteor's coming!	ボクのお父さん、もうすぐメテオが落ちてくるというのにこの奥の酒場でお酒ばっかり……
It's sad. Even though he's an adult, he just doesn't want to see the world as it really is. I dunno what to do.	いい大人のクセに、現実見えていないってのは、情けないよね。まいっちゃうなぁ、もう
South of this town past the Mythril Mine and far to the west is a Shinra harbor called Junon.	この町の南にある【ミスリルマイン】を抜けてさらに西へ行くと【ジュノン】という神羅カンパニーの港があるの
They say there's a reactor and many tall buildings there. I hope to see it someday.	そこにも魔晄炉があって大きな建物がたくさん建っているそうよ。ああ、行ってみたいわぁ
The world's at peace… all's well.	すべて、世は事もなし……、っと。和平じゃのう
Tomorrow's another day… all's well.	明日は明日の風がふく……、っと。和平じゃのう
I got my health, and enough to eat… all's well.	今日も元気だ、ごはんがうまい……、っと。和平じゃのう
The world's changed a lot in the past few days…	この数日で、この世界は大きく様変わりしてしまった……
That huge Meteor is covering up the sky and acting like it owned it.	天空をおおうメテオ……我が物顔でかっぽする巨大なモンスター……
A lot of my friends have died…	……ワシの友人も、おおぜい死んでしまった
I'm goin' on a journey to pray for their souls.	ワシは、死んでしまった友人たちのめいふくをいのる旅に出ようと思う
A map that was sunk along with the ship. ..."Guidebook" A rose that blooms once every 1000 years in the desert. ..."Desert Rose" A harp that soothes those who hear it. ..."Earth Harp"	沈ぼつ船とともに沈んだというめい界の地図。……【ガイドブック】千年に一度、砂ばくにさくという花。……【デザートローズ】きく者の心をおだやかにするたてごと。……【アースハープ】
I wonder if there's anyone who'll bring it to me?	誰かワシのもとに持ってきてくれる人はおらんかのう……
Now if I can just get the "Guidebook", I can start my journey…	あとは【ガイドブック】さえあれば旅に出られるのじゃが……
Now if I can just get "Desert Rose", I can stary my journey…	あとは【デザートローズ】さえあれば旅に出られるのじゃが……
Now if I can just get "Earth Harp", I can start my journey…	あとは【アースハープ】さえあれば旅に出られるのじゃが……
"Guidebook" and "Desert Rose"… Will you guys look for them for me?	【ガイドブック】と【デザートローズ】……おぬしたち、探してきてくれんか？
"Guidebook" and "Earth Harp"… Will you guys look for them for me?	【ガイドブック】と【アースハープ】……おぬしたち、探してきてくれんか？
"Desert Rose" and "Earth Harp"… Will you guys look for them for me?	【デザートローズ】と【アースハープ】……おぬしたち、探してきてくれんか？
OH! It's "Guidebook"! Wanna trade it for this Underwater Materia?	おお、それは【ガイドブック】！ワシの持っている【水中呼吸マテリア】と交換せぬか？
How about it?	どうじゃ？
Trade	交換する
Don't trade	交換しない
OH! It's "Desert Rose"! Wanna trade it for that Chocobo over there?	おお、それは【デザートローズ】！ワシのペットの【チョコボ】と交換せぬか？
How about it?	どうじゃ？
Trade	交換する
Don't trade	交換しない
OH! It's the Earth Harp! Wanna trade it for some Master Materia?	おお、それは【アースハープ】！ワシの持っている【マスターマテリア】と交換せぬか？
I'm not bein' stingy either! I'll give you all three of 'em!	１個なんてケチな事は言わん！３個セットにして渡すぞ
How about it?	どうじゃ？
Trade	交換する
Don't trade	交換しない
Ok then, it's a done deal!	よし、交換成立じゃな
I dunno…	何が不満なんじゃ……
it's Underwater Materia. Go on, it's yours!	【潜水マテリア】じゃ。持っていってくれ
It's a Chocobo. Take it, it's yours!	【ウルトラチョコボ】じゃ。連れてゆくがええ
It's a 3-piece Master Materia set, …and it's all yours!	【マスターマテリア３点セット】じゃ。持っていってくれ
I guess it's time to go on a journey for the souls of my departed friends…	では、ワシはとむらいの旅に行くとするか……
Looks like my Stable's full. I'll come back when I have room.	『チョコぼう』がいっぱいだな。空きをつくってから連れていくことにしよう
